企业名称,企业类型
北京歌华有线电视网络股份有限公司密云分公司不老屯营业厅,其他股份有限公司分公司(上市)
北京歌华有线电视网络股份有限公司密云分公司巨各庄营业厅,其他股份有限公司分公司(上市)
北京歌华有线电视网络股份有限公司密云分公司太师屯营业厅,其他股份有限公司分公司(上市)
中国邮政储蓄银行股份有限公司北京密云区行宫营业所,股份有限公司分公司(上市、国有控股)
中国邮政储蓄银行股份有限公司北京密云区果园西路营业所,股份有限公司分公司(上市、国有控股)
金诚信矿业管理股份有限公司,其他股份有限公司(上市)
中国电信股份有限公司北京密云区营业厅,其他股份有限公司分公司(上市)
江苏飞力达国际物流股份有限公司北京分公司,其他股份有限公司分公司(上市)
新华人寿保险股份有限公司北京分公司密云区鼓楼营销服务部,其他股份有限公司分公司(上市)
中国国检测试控股集团股份有限公司北京技术服务分公司,股份有限公司分公司(上市、国有控股)
中国银行股份有限公司北京密云鼓楼东大街支行,其他股份有限公司分公司(上市)
中国建设银行股份有限公司北京密云沿湖支行,其他股份有限公司分公司(上市)
北京菜市口百货股份有限公司密云滨河路店,其他股份有限公司分公司(上市)
北京铜牛信息科技股份有限公司,其他股份有限公司(上市)
中国人寿保险股份有限公司北京市分公司密云滨河路营销服务部,股份有限公司分公司(上市、国有控股)
中国农业银行股份有限公司北京密云保利花园支行,股份有限公司分公司(上市、国有控股)
中信银行股份有限公司北京密云支行,股份有限公司分公司(上市、外商投资企业投资)
永安财产保险股份有限公司北京分公司密云支公司,其他股份有限公司分公司(上市)
中国建设银行股份有限公司北京密云南大街支行,其他股份有限公司分公司(上市)
中国邮政储蓄银行股份有限公司北京密云区巨各庄营业所,股份有限公司分公司(上市、国有控股)
金诚信矿业管理股份有限公司北京竖井工程分公司,其他股份有限公司分公司(上市)
中国建设银行股份有限公司北京密云支行,其他股份有限公司分公司(上市)
中国电信股份有限公司北京密云水源路营业厅,其他股份有限公司分公司(上市)
金诚信矿业管理股份有限公司北京矿山新技术研发中心,其他股份有限公司分公司(上市)
中国建设银行股份有限公司北京密云工业开发区支行,其他股份有限公司分公司(上市)
深圳大通实业股份有限公司北京分公司,其他股份有限公司分公司(上市)
北汽福田汽车股份有限公司北京多功能汽车厂,其他股份有限公司分公司(上市)
中国建设银行股份有限公司北京阳光街支行,其他股份有限公司分公司(上市)
平安银行股份有限公司北京密云支行,其他股份有限公司分公司(上市)
北京歌华有线电视网络股份有限公司密云分公司鼓楼营业厅,其他股份有限公司分公司(上市)
北京银行股份有限公司新中街支行,其他股份有限公司分公司(上市)
新大正物业集团股份有限公司北京第二分公司,其他股份有限公司分公司(上市)
新大正物业集团股份有限公司北京第三分公司,其他股份有限公司分公司(上市)
新大正物业集团股份有限公司北京第一分公司,其他股份有限公司分公司(上市)
