序号,单位名称,所属区,组织机构代码
276,北京创新爱尚家科技股份有限公司,房山区,911101080627636876
278,北京永华晴天科技发展有限公司,房山区,911101116000044009
283,北京博康健基因科技有限公司,昌平区,911100006343911035
289,北京和欣运达科技有限公司,昌平区,91110114688369286G
305,国家电投集团科学技术研究院有限公司,昌平区,91110000576861612E
327,北京京仪自动化装备技术股份有限公司,经开区,91110302MA006M0XXU
339,北京通嘉宏瑞科技有限公司,经开区,91110302MA01LMXL4Q
5,北京融数联智科技有限公司,西城区,91110102MA01M67W0Q
32,北京航天驭星科技有限公司,海淀区,91110108MA008PK575
56,北京中建建筑科学研究院有限公司,丰台区,911101061021634844
62,北京英视睿达科技股份有限公司,丰台区,91110108MA001CY36Q
111,北京海纳川汽车部件股份有限公司,经开区,91110000671702505K
123,中科鼎实环境工程有限公司,密云区,911101027351329441
137,北京疯景科技有限公司,石景山区,91110107344276668K
141,北京路德永泰环保科技有限公司,顺义区,91110105320515505N
153,智道网联科技（北京）有限公司,东城区,91110101MA01G4YK61
172,北京优材百慕航空器材有限公司,海淀区,91110108318145509T
173,北京微视威信息科技有限公司,海淀区,91110108099026277L
200,北京珞安科技有限责任公司,海淀区,91110108MA008Q837U
264,北京华睿博视医学影像技术有限公司,大兴区,91110108MA00FG1F1A
288,北京豪思生物科技股份有限公司,昌平区,91110115MA0048EL1E
311,图湃（北京）医疗科技有限公司,昌平区,91110108MA01850A7Y
312,北京镁伽机器人科技有限公司,昌平区,91110108MA006K8Y3P
314,北京显芯科技有限公司,经开区,91110108MA00EWHA0U
349,北京幸福益生再生医学科技有限公司,平谷区,91110117MA009XXY4J
55,北京物芯科技有限责任公司,海淀区,91110105MA006RX46D
114,北京星河动力装备科技有限公司,经开区,911101070805104647
118,北京行易道科技有限公司,经开区,911101083181357140
124,北京康华远景科技股份有限公司,密云区,91110228801187995B
133,北京中铁建建筑科技有限公司,石景山区,91110107102313171M
134,北京理工亘舒科技有限公司,石景山区,91110302MA00AHCW6R
147,北京卓越信通电子股份有限公司,通州区,91110108790650445R
159,北京长亭未来科技有限公司,朝阳区,91110105MA01KETL15
165,中交一公局集团有限公司,朝阳区,911100001017004524
179,北京百分点科技集团股份有限公司,海淀区,91110108691663275R
187,烽台科技（北京）有限公司,海淀区,9111010835295529XG
196,北京志凌海纳科技股份有限公司,海淀区,91110108074188608K
209,恒安嘉新（北京）科技股份公司,海淀区,91110108678762578N
240,中铁建设集团机电安装有限公司,石景山区,91110107592393011P
241,北京中航天业科技有限公司,石景山区,91110107556846458L
272,清航空天（北京）科技有限公司,大兴区,91110108MA01JGHG49
294,北京朗迪制药有限公司,昌平区,911101147560300581
300,北京鑫源寰宇环保科技有限公司,昌平区,91110114MA01CDK9XC
320,国汽（北京）智能网联汽车研究院有限公司,经开区,91110302MA01AUHX2M
338,北方集成电路技术创新中心（北京）有限公司,经开区,91110302MA017TPY2A
1,中交第三公路工程局有限公司,东城区,911100007596009847
13,北京好运达智创科技有限公司,朝阳区,91110105MA00AGXN3L
26,布比（北京）网络技术有限公司,海淀区,91110108335446303D
30,航天信息股份有限公司,海淀区,91110000710927388B
38,远江盛邦（北京）网络安全科技股份有限公司,海淀区,91110108565775188E
71,北京众博达石油科技有限公司,昌平区,9111011410265366XJ
88,北京华宇辉煌生态环保科技股份有限公司,房山区,91110108MA002XLW33
91,北京金朋达航空科技有限公司,房山区,9111011159606037XJ
102,北京华益精点生物技术有限公司,经开区,91110302567442395W
103,北京斯年智驾科技有限公司,经开区,91110302MA01QL0W9K
115,北京天星医疗股份有限公司,经开区,91110302MA00GRMLX4
120,北京铝能清新环境技术有限公司,门头沟区,91110108MA00634J9K
176,北京挑战生物技术有限公司,海淀区,91110108789958215J
189,北京开源芯片研究院,海淀区,52110000MJ015106XK
211,北京电科智芯科技有限公司,海淀区,91110108MA01QK4T77
230,华戎技术有限公司,丰台区,91110108335510416D
244,北京易兴元石化科技有限公司,顺义区,91110113MA01JCK795
266,北京天恒安科集团有限公司,大兴区,9111011533554363X3
274,太和康美（北京）中医研究院有限公司,房山区,91110111MA01H39T3P
318,北京胜能能源科技有限公司,经开区,91110400MA02MBELXB
345,达斯玛环境科技（北京）有限公司,怀柔区,911101087655041631
28,鹿客科技（北京）股份有限公司,海淀区,91110108399514950D
43,北京鹰瞳科技发展股份有限公司,海淀区,91110108355313321X
74,北京海林自控科技股份有限公司,昌平区,91110114700200484W
92,中铁十四局集团房桥有限公司,房山区,91110000101208038T
97,北京民利储能技术有限公司,经开区,91110302MA00GUUD3W
101,阿尔特汽车技术股份有限公司,经开区,91110302662152417W
119,北京北科环境工程有限公司,门头沟区,91110108670588069G
155,天翼云科技有限公司,东城区,91110101MA04CBKC17
182,北京声迅电子股份有限公司,海淀区,911101081011420915
183,北京数字绿土科技股份有限公司,海淀区,9111010805361441XR
188,北京金轮坤天特种机械有限公司,海淀区,9111010875130307XM
204,北京领雁科技股份有限公司,海淀区,91110108726175213J
215,北京智谱华章科技有限公司,海淀区,91110108MA01KP2T5U
224,北京能高普康测控技术有限公司,丰台区,91110106MA01MWLQ1A
235,北京东土军悦科技有限公司,石景山区,91110107697710984C
252,北京科净源科技股份有限公司,顺义区,91110108802019598M
259,北京瑷格干细胞科技有限公司,大兴区,91110115MA01YEGB3X
267,北京天科合达半导体股份有限公司,大兴区,91110108792101765W
275,北京瑞普同创科技发展有限公司,房山区,911101117747256E17
285,北京创衡控制技术有限公司,昌平区,91110108MA005LFA9W
291,北京金隅北水环保科技有限公司,昌平区,91110114634391832B
299,北京特希达科技有限公司,昌平区,91110114634349001T
336,北斗启明（北京）节能科技服务有限公司,经开区,91110105576889543M
6,北京利仁科技股份有限公司,西城区,91110102634381829U
14,华电智控（北京）技术有限公司,海淀区,9111010831808657XK
20,北京凌宇智控科技有限公司,海淀区,91110105339737925C
58,北京三月雨文化传播有限责任公司,丰台区,91110108771588789U
67,三一机器人科技有限公司,昌平区,91110114MA01Q13G2B
73,北京三一智造科技有限公司,昌平区,911101143483444029
156,中国电力工程顾问集团华北电力设计院有限公司,西城区,91110000100010724P
157,云粒智慧科技有限公司,西城区,91110102MA01D6NF4Y
229,北京源堡科技有限公司,丰台区,91110111MA01G7581D
253,北京特思迪半导体设备有限公司,顺义区,91110113MA01QD507X
255,北京实耐固连接技术有限公司,通州区,91110112688351326H
256,北京德利得物流有限公司,通州区,91110112801722943H
329,北京中航智科技有限公司,经开区,91110302057391444C
343,北京奥康达体育产业股份有限公司,怀柔区,911101168017794135
3,海尔优家智能科技（北京）有限公司,西城区,91110108MA0012UB91
17,北京中交兴路信息科技股份有限公司,海淀区,91110302764222236K
76,北京石油机械有限公司,昌平区,91110114101929281W
81,北京金茂人居环境科技有限公司,大兴区,91110115306317908G
82,宝都国际工程技术有限公司,大兴区,911101158028665350
90,中化学科学技术研究有限公司,房山区,91110105MA01L3WX4B
96,北京铁力山科技股份有限公司,怀柔区,911101165858298331
100,北京星途探索科技有限公司,经开区,9111010834829509X5
105,北京中交兴路车联网科技有限公司,经开区,91110112057324524L
136,中铁二十二局集团电气化工程有限公司,石景山区,91110107802105760L
174,北京安帝科技有限公司,海淀区,91110108MA007NW87C
198,北京蓝天航空科技股份有限公司,海淀区,91110108101998244B
201,北京维德维康生物技术有限公司,海淀区,911101086796241695
205,脉冲视觉（北京）科技有限公司,海淀区,91110108MA04GAM215
210,中科方德软件有限公司,海淀区,91110108797552733T
219,中科驭数(北京)科技有限公司,海淀区,91110108MA01BP1P7B
239,北京鼎创环保有限公司,石景山区,91110107748829660F
270,北京铸正机器人有限公司,大兴区,91110115MA01Q2QM07
277,北京中成康富科技股份有限公司,房山区,91110108758705776A
279,北京他山科技有限公司,门头沟区,91110109MA019GTL7J
280,联合瑞升（北京）科技有限公司,门头沟区,91110108780244531T
293,北京昆仑隆源石油开采技术有限公司,昌平区,9111011459766292XY
298,北京水研环境科技股份有限公司,昌平区,91110114330366769G
302,北京中因科技有限公司,昌平区,91110108MA0036544R
323,雅客智慧（北京）科技有限公司,经开区,91110302MA0180NWX2
331,东方晶源微电子科技（北京）股份有限公司,经开区,91110302092433638Y
340,金篆信科有限责任公司,经开区,91110400MA04GTH21X
2,北京城建设计发展集团股份有限公司,西城区,91110000101360785M
8,北京蔚领时代科技有限公司,朝阳区,91110105MA01GMU81R
18,北京北大千方科技有限公司,海淀区,9111010880202395XM
24,如你所视（北京）科技有限公司,海淀区,91110108MA7FXE4A9Y
25,北京可信华泰信息技术有限公司,海淀区,91110108051412312G
48,中国科学院空天信息创新研究院,海淀区,12100000MB1E85344J
54,北京华力创通科技股份有限公司,海淀区,91110000802098193D
66,北京市腾河电子技术有限公司,昌平区,91110114582515556F
117,北京升鑫网络科技有限公司,经开区,91110108078573028T
145,北京澳合药物研究院有限公司,通州区,91110112554859343N
184,北京北分瑞利分析仪器（集团）有限责任公司,海淀区,9111010810110401X3
193,北京双杰电气股份有限公司,海淀区,91110000745459158T
217,麒麟合盛网络技术股份有限公司,海淀区,91110108396039023L
218,中国矿业大学（北京）,海淀区,12100000400010937G
237,北京唐智科技发展有限公司,石景山区,911101088011707638
251,北京罗克维尔斯科技有限公司,顺义区,91110105MA019EX05G
284,北京博鹏中科环保科技有限公司,昌平区,91110114MA017MLD62
304,德瑞洁能科技有限公司,昌平区,91110111MA01QG1Y82
335,中科艾尔（北京）科技有限公司,经开区,9111030267280057XU
21,国网汇通金财（北京）信息科技有限公司,海淀区,91110108675715688R
27,北京仁光科技有限公司,海淀区,911101086883645225
35,北京汉仪创新科技股份有限公司,海淀区,9111010860002169X7
51,北京国双科技有限公司,海淀区,9111010878398835XQ
68,北京宸控科技有限公司,昌平区,91110114327153359F
94,有研资源环境技术研究院（北京）有限公司,怀柔区,91110116MA01L25T7M
98,北京和合医学诊断技术股份有限公司,经开区,91110302565797010A
122,搏世因（北京）高压电气有限公司,密云区,911102280805044274
126,今麦郎饮品股份有限公司,密云区,911102287817303123
138,中铁二十二局集团有限公司,石景山区,9111000071092227XH
144,北京莱伯泰科仪器股份有限公司,顺义区,911100006000953578
164,中国国检测试控股集团股份有限公司,朝阳区,91110000101123421K
168,北京来也网络科技有限公司,朝阳区,91110108336442398F
177,北京芯格诺微电子有限公司,海淀区,91110108MA01W9P81L
191,北醒（北京）光子科技有限公司,海淀区,911101083443180558
194,亿海蓝（北京）数据技术股份公司,海淀区,91110108756734135L
195,远江盛邦（北京）网络安全科技股份有限公司,海淀区,91110108565775188E
203,北京中科慧眼科技有限公司,海淀区,91110108318058456U
207,北京软通智慧科技有限公司,海淀区,91110108330269213R
216,机科发展科技股份有限公司,海淀区,91110108738240764W
254,北京四维纵横数据技术有限公司,顺义区,91110108MA01UDEN4E
269,北京云中融信网络科技有限公司,大兴区,91110108335481926M
306,国能信控技术股份有限公司,昌平区,91110114749385547C
313,新石器慧通（北京）科技有限公司,经开区,91110105MA01AEWR5C
315,北京贝能达信息技术股份有限公司,经开区,911103023180035355
7,北京天泽电力集团有限公司,朝阳区,911101056336607540
11,北京卡路里信息技术有限公司,朝阳区,911101013363855736
33,北京掌行通信息技术有限公司,海淀区,91110108051446387B
65,北京直真科技股份有限公司,昌平区,91110114682851688K
84,北京诚益通控制工程科技股份有限公司,大兴区,91110000752630339B
86,北京开云汽车有限公司,大兴区,91130581320091159L
99,北京先通国际医药科技股份有限公司,经开区,9111010677157669X2
104,北京京东拓先科技有限公司,经开区,91110302MA01M65D2E
127,北京达新新创机械有限公司,平谷区,911101171030193026
140,电王精密电器（北京）有限公司,顺义区,91110113741581703F
150,北京环都拓普空调有限公司,延庆区,91110229055636778W
180,北京恒泰洁能科技有限公司,海淀区,91110108MA00GK4K8J
206,北京纳米维景科技有限公司,海淀区,91110108093366967W
208,北京汇元网科技股份有限公司,海淀区,91110108682887867N
213,北京神州普惠科技股份有限公司,海淀区,91110108756043078T
220,中石化石油化工科学研究院有限公司,海淀区,91110108MABM7W643L
271,呈诺再生医学科技（北京）有限公司,大兴区,91110400MA04D47P1L
295,北京三清互联科技股份有限公司,昌平区,91110108573155691W
296,北京世纪沃德生物科技有限公司,昌平区,91110108738218778W
309,鲲鹏基因（北京）科学仪器有限公司,昌平区,91110302MA004N2T15
342,北京万维盈创科技发展有限公司,怀柔区,91110116767502874D
29,北京和升达信息安全技术有限公司,海淀区,911101087582455976
45,北京魔门塔科技有限公司,海淀区,91110108MA00A2RM9M
89,中建八局检测科技有限公司,房山区,91110106565783110T
108,北京国家新能源汽车技术创新中心有限公司,经开区,91110302MA0191990R
113,北京捷杰西科技股份有限公司,经开区,91110302686901486L
161,来也科技（北京）有限公司,朝阳区,91110108587659081E
166,中熵科技（北京）有限公司,朝阳区,91110108MA020WJ74K
167,中国农业机械化科学研究院集团有限公司,朝阳区,9111000040000158XH
171,拓尔思天行网安信息技术有限责任公司,海淀区,91110108718777804Y
185,北京极光星通科技有限公司,海淀区,91110108MA01UFKR00
247,北京首钢气体有限公司,顺义区,91110107102284454Q
249,北京麦戈龙科技有限公司,顺义区,91110113565846089M
261,北京飞讯数码科技有限公司,大兴区,911103027684695000
263,北京华脉泰科医疗器械股份有限公司,大兴区,9111011557322196X4
297,北京市腾河智慧能源科技有限公司,昌平区,9111011408549335X2
321,北京安诺优达医学检验实验室有限公司,经开区,91110302082837620A
344,北京科拓恒通生物技术股份有限公司,怀柔区,91110116754160123E
347,北京达成生物科技有限公司,平谷区,911101060951742212
4,咪咕文化科技有限公司,西城区,911101023182628446
31,北京灵犀微光科技有限公司,海淀区,91110108318250771T
46,北京火山引擎科技有限公司,海淀区,91110108MA01R70K8D
112,北京悦康科创医药科技股份有限公司,经开区,91110302689200132B
125,北京自如信息科技有限公司,密云区,911102283512805187
146,北京中农富通园艺有限公司,通州区,91110112679634367T
162,新港海岸（北京）科技有限公司,朝阳区,911101055977289680
186,北京市石墨烯研究院有限公司,海淀区,91110108MA019JK81U
212,北京海量数据技术股份有限公司,海淀区,911101086656289355
221,北京汇通天下物联科技有限公司,海淀区,911101085694855326
222,北京衡燃科技有限公司,海淀区,911101080556405664
238,中国司法大数据研究院有限公司,石景山区,91110000MA009DYQ08
245,恒壹（北京）医疗科技有限公司,顺义区,91110113397030055A
246,北京梦天门科技股份有限公司,顺义区,91110113633017101E
257,北京创思工贸有限公司,通州区,911101127177330000
273,运怡（北京）医疗器械有限公司,大兴区,911101153484116368
282,北京百慕合金有限责任公司,昌平区,91110108771553906A
316,北京索莱宝科技有限公司,经开区,9111011276754883X7
317,北京锐达仪表有限公司,经开区,91110112799960466Y
328,北京集度科技有限公司,经开区,91110400MA04GQ7E8Q
337,银河航天（北京）网络技术有限公司,经开区,91110111MA01L2H65N
19,北京北斗星通导航技术股份有限公司,海淀区,91110000802017541K
36,北京星辰天合科技股份有限公司,海淀区,91110108339836368E
40,北京钢研高纳科技股份有限公司,海淀区,911100007447282723
63,北京动力源科技股份有限公司,丰台区,911100001021218238
87,北京新安特风机有限公司,大兴区,91110115633771665F
107,北京旌准医疗科技有限公司,经开区,91110302348317009L
116,北京奕斯伟计算技术股份有限公司,经开区,91110302MA01MT7522
128,北京有竹居网络技术有限公司,平谷区,91110117MA017C682B
154,中交水运规划设计院有限公司,东城区,91110000400007594G
175,北京万里红科技有限公司,海淀区,91110108X00380429T
192,北京中科原动力科技有限公司,海淀区,91110108MA01B7Q37M
199,北京字跳网络技术有限公司,海淀区,91110108MA01F2L25J
231,北京海鑫科金高科技股份有限公司,丰台区,91110106633709925Y
232,北京海鑫智圣技术有限公司,丰台区,91110106691661771E
233,北京天兵科技有限公司,丰台区,91110105348350415D
258,首都医科大学附属北京潞河医院,通州区,121101124009623800
268,北京云力境安科技有限公司,大兴区,91110115MA7F5XGD9W
286,北京光华荣昌汽车部件有限公司,昌平区,91110114801184540U
310,民航协发机场设备有限公司,昌平区,91110114100028190G
319,北京智愈医疗科技有限公司,经开区,91110400MA02MDYY91
326,新毅东（北京）科技有限公司,经开区,91110107093082163F
332,北京路凯智行科技有限公司,经开区,91110105MA01RC7D9T
333,北京德益达美医疗科技有限公司,经开区,91110112348292796Q
12,北京云测信息技术有限公司,朝阳区,91110105664641441Q
22,北京亚鸿世纪科技发展有限公司,海淀区,911101080573333759
39,北京朗视仪器股份有限公司,海淀区,911101085712826384
49,航天宏图信息技术股份有限公司,海淀区,91110108671708384H
61,华电蓝科科技股份有限公司,丰台区,91110106MA04B5JK9N
83,北京诚益通科技有限公司,大兴区,91110115565760314E
85,北京科牧丰生物制药有限公司,大兴区,91110115596092451Y
106,蓝星（北京）化工机械有限公司,经开区,91110302795955432X
110,北京合康新能变频技术有限公司,经开区,9111030276014420XA
121,北京夏禾科技有限公司,门头沟区,91110109MA00EN719Q
130,北京建筑材料检验研究院股份有限公司,石景山区,91110107795114924J
131,中铁二十二局集团轨道工程有限公司,石景山区,91110107793400871F
132,北京光年无限科技有限公司,石景山区,911101075585272233
135,中航信移动科技有限公司,石景山区,9111011309982691X6
149,中材科技风电叶片股份有限公司    ,延庆区,911100006631043290
151,北京轻松怡康信息技术有限公司,东城区,911101013295775507
170,北京联创信安科技股份有限公司,海淀区,91110108794077893T
214,新东方教育科技集团有限公司,海淀区,91110108726367151N
226,北京中星时代科技有限公司,丰台区,91110106071697378P
242,中铁二十二局集团第二工程有限公司,石景山区,911101077635068515
281,安路普（北京）汽车技术有限公司,昌平区,911101085751656748
287,北京国科融智生物技术有限公司,昌平区,91110108MA003XJJXM
292,北京科力丹迪技术开发有限责任公司,昌平区,91110114744749508L
324,中国石化催化剂有限公司,经开区,911103020648600770
330,盛吉盛半导体科技（北京）有限公司,经开区,91110400MA020QB85Y
9,中建材中岩科技有限公司,朝阳区,911101056923262891
10,北京东方国信科技股份有限公司,朝阳区,91110000633027609B
16,北京新联铁集团有限公司,海淀区,911101086336124379
37,北京蜂巢世纪科技有限公司,海淀区,91110108MA01WFKL2Q
42,北京恒泰实达科技股份有限公司,海淀区,91110000723951109B
47,北京眼神智能科技有限公司,海淀区,911101087740615606
52,完美世界（北京）软件科技发展有限公司,海淀区,91110108318094211Y
60,中船海丰航空科技有限公司,丰台区,91110106082890640P
64,北京国电光宇机电设备有限公司,昌平区,91110114795111598X
69,北京寻因生物科技有限公司,昌平区,91110116358313263P
95,有研工程技术研究院有限公司,怀柔区,91110116MA019ULE7X
129,北京七星华创微电子有限责任公司,平谷区,91110105327191056L
139,中铁建设集团北京工程有限公司,石景山区,9111010706489893X2
163,中国公路车辆机械有限公司,朝阳区,911100001016881906
169,北京车晓科技有限公司,朝阳区,91110105MA009NFP9C
181,众芯汉创（北京）科技有限公司,海淀区,91110108MA00175970
228,中钞特种防伪科技有限公司,丰台区,91110106757701087N
236,北京首融汇科技发展有限公司,石景山区,911101075808161440
290,北京金威焊材有限公司,昌平区,91110114600024735P
303,博雅辑因（北京）生物科技有限公司,昌平区,911101083443039021
307,国珍健康科技（北京）有限公司,昌平区,91110114MA006D9P7W
