序号,行政相对人名称,行政相对人代码_1(统一社会信用代码),行政处罚决定书文号,处罚决定日期
842,泛海物业管理有限公司北京第三分公司,9111010569502637XE,京建法罚(朝房)字〔2021〕第600070号,2021-06-15
843,北京圣馨大地物业服务有限公司,91110112717733180R,京建法罚(朝房)字〔2021〕第600071号,2021-05-26
844,北京城建物业管理有限责任公司,91110108723957674K,京建法罚(朝房)字〔2021〕第600072号,2021-07-09
845,北京中云物业管理有限公司,91110107MA01TG8511,京建法罚(朝房)字〔2021〕第600073号,2021-05-20
846,北京尤尚尤美文化传播有限公司,91110105MA029MDF34,京建法罚(朝房)字〔2021〕第600074号,2021-06-04
847,北京如家物业有限公司,91110107MA01YAM27X,京建法罚(朝房)字〔2021〕第600075号,2021-06-08
849,中青旅酒店物业管理(北京)有限公司泰悦豪庭分公司,91110105769363310D,京建法罚(朝房)字〔2021〕第600077号,2021-06-24
854,北京中开盈泰房地产开发有限公司,91110105MA01QY9G0P,京建法罚(朝房)字〔2021〕第600082号,2021-06-11
855,北京懒人仓仓储服务有限公司,91110112MA00BDJC1U,京建法罚(朝房)字〔2021〕第600083号,2021-07-07
857,北京圣馨大地物业服务有限公司,91110112717733180R,京建法罚(朝房)字〔2021〕第600085号,2021-07-05
858,北京力群房地产经纪有限公司,91110105096276596J,京建法罚(朝房)字〔2021〕第600086号,2021-06-23
862,北京海晟苑房地产经纪有限公司,911101055923187836,京建法罚(朝房)字〔2021〕第600090号,2021-07-14
863,北京世杰佳园房地产经纪有限公司,911101055621495287,京建法罚(朝房)字〔2021〕第600091号,2021-07-07
867,北京居无忧房地产经纪有限公司,91110105MA004YYE2M,京建法罚(朝房)字〔2021〕第600095号,2021-07-22
870,北京蚂蚁快租物业管理有限公司,91110112MA01PLHXXG,京建法罚(朝房)字〔2021〕第600098号,2021-07-26
