序号,企业名称
125,北京加华恒业房地产经纪有限公司
126,北京澳达伟展房地产经纪有限公司
127,北京胜馨家园房地产经纪有限公司
128,北京国瑞嘉业房地产经纪有限公司
129,北京泽通浩业房地产经纪有限公司
130,北京幸福置家房地产经纪有限公司
131,晟嘉行房地产经纪（北京）有限公司
132,北京新贰壹世纪房地产经纪有限公司
133,北京福泽万家房地产经纪有限公司
134,北京宝亨房地产经纪有限公司
135,北京好家好房网络科技有限公司
136,北京中驰伟业房地产经纪有限公司
137,北京市吉祥诚信房地产经纪有限公司
138,北京博思源房地产咨询有限公司
139,北京天赐佳业房地产经纪有限公司
140,北京市博友园房地产经纪中心
141,北京天兴苑房地产经纪有限公司
142,北京金地房地产经纪有限公司
143,北京广汇房地产经纪有限公司
144,北京金地房地产土地评估有限公司
145,北京吉宇房地产经纪有限公司
146,北京振兰房地产经纪有限公司
147,北京凤凰鑫业房地产经纪有限公司
148,北京世纪双赢房地产经纪有限公司
149,北京市嘉年德宝房地产经纪有限公司
150,北京嘉泰龙房地产经纪有限公司
