认证主体名称,认证产品,颁证日期,截至日期
北京本忠盛达种植专业合作社,茄子,13/10/2023 00:00:00,12/10/2026 00:00:00
北京王木营蔬菜种植专业合作社,生菜,26/7/2021 00:00:00,25/7/2024 00:00:00
北京清岗绿洲农业发展有限公司,芹菜,25/8/2023 00:00:00,24/8/2026 00:00:00
北京清岗绿洲农业发展有限公司,普通白菜,25/8/2023 00:00:00,24/8/2026 00:00:00
北京南山农业生态园有限公司,西葫芦,9/10/2022 00:00:00,8/10/2025 00:00:00
仲海春生源（北京）农业发展有限公司 ,黄瓜,28/12/2021 00:00:00,27/12/2024 00:00:00
北京双阳农业有限公司,西瓜,9/8/2023 00:00:00,8/8/2026 00:00:00
北京绿奥蔬菜合作社,苤蓝,3/9/2022 00:00:00,2/9/2025 00:00:00
北京中农富通园艺有限公司,西瓜,21/12/2020 00:00:00,20/12/2023 00:00:00
北京御樽庄园农业生态科技专业合作社,红薯,23/8/2023 00:00:00,22/8/2026 00:00:00
北京王木营蔬菜种植专业合作社,小油菜,26/7/2021 00:00:00,25/7/2024 00:00:00
北京伊泰华府生态农庄有限公司,黄瓜,4/8/2023 00:00:00,3/8/2026 00:00:00
北京天润园农业发展有限公司,油菜,23/12/2021 00:00:00,22/12/2024 00:00:00
北京京翊峰生态农业发展中心,辣椒,10/8/2022 00:00:00,9/8/2025 00:00:00
北京中农富通园艺有限公司,结球生菜,21/12/2020 00:00:00,20/12/2023 00:00:00
北京玉树种植专业合作社,番茄,29/12/2022 00:00:00,28/12/2025 00:00:00
北京泰民同丰农业科技有限公司,甘薯,18/1/2022 00:00:00,17/1/2025 00:00:00
北京金篮子生态种植有限公司,草莓,30/12/2022 00:00:00,29/12/2025 00:00:00
北京中农富通园艺有限公司,菠菜,21/12/2020 00:00:00,20/12/2023 00:00:00
北京绿奥蔬菜合作社,甘蓝,3/9/2022 00:00:00,2/9/2025 00:00:00
北京东升跃阳农业生态观光园,番茄,29/12/2022 00:00:00,28/12/2025 00:00:00
北京绿奥蔬菜合作社,番茄,3/9/2022 00:00:00,2/9/2025 00:00:00
北京泰华芦村种植专业合作社,黄瓜,8/4/2022 00:00:00,7/4/2025 00:00:00
北京康顺达农业科技有限公司,辣椒,13/10/2020 00:00:00,12/10/2023 00:00:00
北京圣泉农业专业合作社 ,白萝卜,6/12/2022 00:00:00,5/12/2025 00:00:00
北京慧田蔬菜种植专业合作社,莴苣,28/12/2021 00:00:00,27/12/2024 00:00:00
北京中农富通园艺有限公司,红玉堂萝卜,21/12/2020 00:00:00,20/12/2023 00:00:00
北京永长福生物科技有限公司,杏鲍菇,6/8/2021 00:00:00,5/8/2024 00:00:00
北京圃美多绿色食品有限公司,韧豆腐,18/2/2021 00:00:00,17/2/2024 00:00:00
北京奥仪凯源蔬菜种植专业合作社,梨,6/6/2021 00:00:00,5/6/2024 00:00:00
北京海华文景农业科技有限公司,黄瓜,12/6/2021 00:00:00,11/6/2024 00:00:00
北京巨海阔种植专业合作社,番茄,23/12/2021 00:00:00,22/12/2024 00:00:00
北京康顺达农业科技有限公司,黄瓜,13/10/2020 00:00:00,12/10/2023 00:00:00
北京双阳农业有限公司,西瓜,9/8/2023 00:00:00,8/8/2026 00:00:00
北京绿奥蔬菜合作社,苤蓝,3/9/2022 00:00:00,2/9/2025 00:00:00
北京中农富通园艺有限公司,西瓜,21/12/2020 00:00:00,20/12/2023 00:00:00
北京御樽庄园农业生态科技专业合作社,红薯,23/8/2023 00:00:00,22/8/2026 00:00:00
北京王木营蔬菜种植专业合作社,小油菜,26/7/2021 00:00:00,25/7/2024 00:00:00
北京伊泰华府生态农庄有限公司,黄瓜,4/8/2023 00:00:00,3/8/2026 00:00:00
北京天润园农业发展有限公司,油菜,23/12/2021 00:00:00,22/12/2024 00:00:00
北京京翊峰生态农业发展中心,辣椒,10/8/2022 00:00:00,9/8/2025 00:00:00
北京中农富通园艺有限公司,结球生菜,21/12/2020 00:00:00,20/12/2023 00:00:00
北京玉树种植专业合作社,番茄,29/12/2022 00:00:00,28/12/2025 00:00:00
北京泰民同丰农业科技有限公司,甘薯,18/1/2022 00:00:00,17/1/2025 00:00:00
北京金篮子生态种植有限公司,草莓,30/12/2022 00:00:00,29/12/2025 00:00:00
北京中农富通园艺有限公司,菠菜,21/12/2020 00:00:00,20/12/2023 00:00:00
北京绿奥蔬菜合作社,甘蓝,3/9/2022 00:00:00,2/9/2025 00:00:00
北京东升跃阳农业生态观光园,番茄,29/12/2022 00:00:00,28/12/2025 00:00:00
北京绿奥蔬菜合作社,番茄,3/9/2022 00:00:00,2/9/2025 00:00:00
北京泰华芦村种植专业合作社,黄瓜,8/4/2022 00:00:00,7/4/2025 00:00:00
北京康顺达农业科技有限公司,辣椒,13/10/2020 00:00:00,12/10/2023 00:00:00
北京圣泉农业专业合作社 ,白萝卜,6/12/2022 00:00:00,5/12/2025 00:00:00
北京慧田蔬菜种植专业合作社,莴苣,28/12/2021 00:00:00,27/12/2024 00:00:00
北京中农富通园艺有限公司,红玉堂萝卜,21/12/2020 00:00:00,20/12/2023 00:00:00
北京永长福生物科技有限公司,杏鲍菇,6/8/2021 00:00:00,5/8/2024 00:00:00
北京圃美多绿色食品有限公司,韧豆腐,18/2/2021 00:00:00,17/2/2024 00:00:00
北京奥仪凯源蔬菜种植专业合作社,梨,6/6/2021 00:00:00,5/6/2024 00:00:00
北京海华文景农业科技有限公司,黄瓜,12/6/2021 00:00:00,11/6/2024 00:00:00
北京巨海阔种植专业合作社,番茄,23/12/2021 00:00:00,22/12/2024 00:00:00
北京康顺达农业科技有限公司,黄瓜,13/10/2020 00:00:00,12/10/2023 00:00:00
北京老田农业科技发展有限公司 ,番茄,27/11/2020 00:00:00,26/11/2023 00:00:00
北京绿奥蔬菜合作社,甜瓜（薄皮）,3/9/2022 00:00:00,2/9/2025 00:00:00
北京地源遂航农业发展有限公司,辣椒,7/9/2022 00:00:00,6/9/2025 00:00:00
北京东升跃阳农业生态观光园,辣椒,29/12/2022 00:00:00,28/12/2025 00:00:00
北京军兴广达农产品产销专业合作社,黄瓜,29/12/2022 00:00:00,28/12/2025 00:00:00
北京金宏帝怡园农业开发有限公司,萝卜,8/8/2023 00:00:00,7/8/2026 00:00:00
北京博特园农业发展有限公司,芝麻,2/5/2023 00:00:00,1/5/2026 00:00:00
 北京市广泰农场有限公司,黄瓜,31/12/2021 00:00:00,30/12/2024 00:00:00
北京三元农业有限公司,葡萄,17/12/2022 00:00:00,16/12/2025 00:00:00
北京双塔绿谷农业有限公司,菠菜,11/3/2022 00:00:00,10/3/2025 00:00:00
北京京东绿谷蔬菜产销专业合作社,番茄,8/2/2023 00:00:00,7/2/2026 00:00:00
北京双塔绿谷农业有限公司,辣椒,23/12/2020 00:00:00,22/12/2023 00:00:00
北京赵家场春华西甜瓜产销专业合作社,红薯,9/12/2022 00:00:00,8/12/2025 00:00:00
融通农业发展（北京）有限责任公司,黄瓜,28/12/2021 00:00:00,27/12/2024 00:00:00
北京双塔绿谷农业有限公司,茼蒿,23/12/2020 00:00:00,22/12/2023 00:00:00
北京京翊峰生态农业发展中心,番茄,10/8/2022 00:00:00,9/8/2025 00:00:00
北京博特园农业发展有限公司,红小豆,2/5/2023 00:00:00,1/5/2026 00:00:00
北京二商希杰食品有限责任公司,绿色北豆腐,14/1/2021 00:00:00,13/1/2024 00:00:00
北京海华文景农业科技有限公司,普通白菜,29/12/2022 00:00:00,28/12/2025 00:00:00
北京老田农业科技发展有限公司 ,草莓,27/11/2020 00:00:00,26/11/2023 00:00:00
北京中农富通园艺有限公司,空心菜,21/12/2020 00:00:00,20/12/2023 00:00:00
北京老田农业科技发展有限公司 ,番茄,27/11/2020 00:00:00,26/11/2023 00:00:00
北京绿奥蔬菜合作社,甜瓜（薄皮）,3/9/2022 00:00:00,2/9/2025 00:00:00
北京地源遂航农业发展有限公司,辣椒,7/9/2022 00:00:00,6/9/2025 00:00:00
北京东升跃阳农业生态观光园,辣椒,29/12/2022 00:00:00,28/12/2025 00:00:00
北京军兴广达农产品产销专业合作社,黄瓜,29/12/2022 00:00:00,28/12/2025 00:00:00
北京金宏帝怡园农业开发有限公司,萝卜,8/8/2023 00:00:00,7/8/2026 00:00:00
北京博特园农业发展有限公司,芝麻,2/5/2023 00:00:00,1/5/2026 00:00:00
 北京市广泰农场有限公司,黄瓜,31/12/2021 00:00:00,30/12/2024 00:00:00
北京三元农业有限公司,黄瓜,17/12/2022 00:00:00,16/12/2025 00:00:00
北京博特园农业发展有限公司,葵花籽,2/5/2023 00:00:00,1/5/2026 00:00:00
北京双阳农业有限公司,番茄,9/8/2023 00:00:00,8/8/2026 00:00:00
北京双塔绿谷农业有限公司,苤蓝,11/3/2022 00:00:00,10/3/2025 00:00:00
北京中农富通园艺有限公司,花生,21/12/2020 00:00:00,20/12/2023 00:00:00
北京汇源康民有机农业有限公司,芹菜,7/3/2022 00:00:00,6/3/2025 00:00:00
北京地源遂航农业发展有限公司,大葱,7/9/2022 00:00:00,6/9/2025 00:00:00
北京颐景园种植专业合作社,甜椒,10/6/2021 00:00:00,9/6/2024 00:00:00
北京王木营蔬菜种植专业合作社,韭菜,26/7/2021 00:00:00,25/7/2024 00:00:00
北京双阳农业有限公司,红颜草莓,9/8/2023 00:00:00,8/8/2026 00:00:00
北京凤采军辉农产品产销专业合作社,黄瓜,9/8/2023 00:00:00,8/8/2026 00:00:00
北京康蔬源种植专业合作社,甜椒,23/8/2023 00:00:00,22/8/2026 00:00:00
北京奥金达蜂产品专业合作社,荆花蜂蜜,31/5/2022 00:00:00,30/5/2025 00:00:00
北京中农富通园艺有限公司,秋葵,21/12/2020 00:00:00,20/12/2023 00:00:00
北京燕京啤酒股份有限公司,燕京啤酒（9o P干啤酒）（山西专供）,11/7/2022 00:00:00,10/7/2025 00:00:00
北京双塔绿谷农业有限公司,黄瓜,23/12/2020 00:00:00,22/12/2023 00:00:00
北京谷新投资管理有限公司,鲜食玉米,11/8/2021 00:00:00,10/8/2024 00:00:00
北京赵家场春华西甜瓜产销专业合作社,大兴永定河西瓜,9/12/2022 00:00:00,8/12/2025 00:00:00
北京中农富通园艺有限公司,萝卜,21/12/2020 00:00:00,20/12/2023 00:00:00
北京绿奥蔬菜合作社,黄瓜,3/9/2022 00:00:00,2/9/2025 00:00:00
北京玉树种植专业合作社,甜椒,29/12/2022 00:00:00,28/12/2025 00:00:00
北京立春农业科技有限公司,西瓜,28/1/2023 00:00:00,27/1/2026 00:00:00
北京三元农业有限公司,黄瓜,17/12/2022 00:00:00,16/12/2025 00:00:00
北京博特园农业发展有限公司,葵花籽,2/5/2023 00:00:00,1/5/2026 00:00:00
北京双阳农业有限公司,番茄,9/8/2023 00:00:00,8/8/2026 00:00:00
北京双塔绿谷农业有限公司,苤蓝,11/3/2022 00:00:00,10/3/2025 00:00:00
北京中农富通园艺有限公司,花生,21/12/2020 00:00:00,20/12/2023 00:00:00
北京汇源康民有机农业有限公司,芹菜,7/3/2022 00:00:00,6/3/2025 00:00:00
北京地源遂航农业发展有限公司,大葱,7/9/2022 00:00:00,6/9/2025 00:00:00
北京双塔绿谷农业有限公司,西瓜,23/12/2020 00:00:00,22/12/2023 00:00:00
北京中农富通园艺有限公司,韭菜,21/12/2020 00:00:00,20/12/2023 00:00:00
北京本忠盛达种植专业合作社,西葫芦,13/10/2023 00:00:00,12/10/2026 00:00:00
北京绿奥蔬菜合作社,西葫芦,3/9/2022 00:00:00,2/9/2025 00:00:00
北京海华文景农业科技有限公司,番茄,29/12/2022 00:00:00,28/12/2025 00:00:00
北京中农富通园艺有限公司,甜瓜,21/12/2020 00:00:00,20/12/2023 00:00:00
北京中农坤威农业技术开发有限公司,番茄,9/8/2023 00:00:00,8/8/2026 00:00:00
北京南套里蔬菜种植专业合作社,生菜,22/10/2021 00:00:00,21/10/2024 00:00:00
北京首农畜牧发展有限公司,生鲜牛乳,1/9/2020 00:00:00,31/8/2023 00:00:00
北京伊泰华府生态农庄有限公司,番茄,4/8/2023 00:00:00,3/8/2026 00:00:00
北京华山天甲农林技术中心,鲜桃,9/8/2023 00:00:00,8/8/2026 00:00:00
北京绿奥蔬菜合作社,韭菜,3/9/2022 00:00:00,2/9/2025 00:00:00
北京桃山月亮湖种养殖专业合作社,尖椒,29/12/2022 00:00:00,28/12/2025 00:00:00
北京古北口镇龙洋蔬菜种植专业合作社,辣椒,6/6/2021 00:00:00,5/6/2024 00:00:00
北京绿奥蔬菜合作社,芹菜,3/9/2022 00:00:00,2/9/2025 00:00:00
北京圃美多绿色食品有限公司,老豆腐,18/2/2021 00:00:00,17/2/2024 00:00:00
北京中农富通园艺有限公司,番茄,21/12/2020 00:00:00,20/12/2023 00:00:00
北京泰民同丰农业科技有限公司,鲜食玉米,18/1/2022 00:00:00,17/1/2025 00:00:00
北京立春农业科技有限公司,番茄,28/1/2023 00:00:00,27/1/2026 00:00:00
北京中农富通园艺有限公司,黄瓜,21/12/2020 00:00:00,20/12/2023 00:00:00
北京百旺农业种植园,茄子,29/12/2021 00:00:00,28/12/2024 00:00:00
北京伊泰华府生态农庄有限公司,大葱,4/8/2023 00:00:00,3/8/2026 00:00:00
北京本忠盛达种植专业合作社,草莓,13/10/2023 00:00:00,12/10/2026 00:00:00
北京百旺农业种植园,苹果,29/12/2021 00:00:00,28/12/2024 00:00:00
北京通农种业有限责任公司,罗马生菜,29/12/2022 00:00:00,28/12/2025 00:00:00
北京海华文景农业科技有限公司,胡萝卜,29/12/2022 00:00:00,28/12/2025 00:00:00
北京本忠盛达种植专业合作社,花椰菜,13/10/2023 00:00:00,12/10/2026 00:00:00
北京绿丰远通农业科技发展有限责任公司,辣椒,31/3/2022 00:00:00,30/3/2025 00:00:00
北京双塔绿谷农业有限公司,胡萝卜,11/3/2022 00:00:00,10/3/2025 00:00:00
北京中农富通园艺有限公司,辣椒,21/12/2020 00:00:00,20/12/2023 00:00:00
北京王木营蔬菜种植专业合作社,小茴香,26/7/2021 00:00:00,25/7/2024 00:00:00
北京南山农业生态园有限公司,辣椒,9/10/2022 00:00:00,8/10/2025 00:00:00
北京御樽庄园农业生态科技专业合作社,樱桃,28/12/2021 00:00:00,27/12/2024 00:00:00
北京东升跃阳农业生态观光园,南瓜,29/12/2022 00:00:00,28/12/2025 00:00:00
北京海华文景农业科技有限公司,青椒,12/6/2021 00:00:00,11/6/2024 00:00:00
北京双塔绿谷农业有限公司,甜瓜,23/12/2020 00:00:00,22/12/2023 00:00:00
北京双阳农业有限公司,黄瓜,9/8/2023 00:00:00,8/8/2026 00:00:00
北京清水云峰果业有限公司,奇异莓,24/1/2022 00:00:00,23/1/2025 00:00:00
北京宏杰农业有限公司,结球甘蓝,29/12/2022 00:00:00,28/12/2025 00:00:00
北京德润通农业科技发展有限公司,京一根番薯粉,6/6/2022 00:00:00,5/6/2025 00:00:00
北京通农种业有限责任公司,油麦菜,29/12/2022 00:00:00,28/12/2025 00:00:00
北京京纯养蜂专业合作社,荆花蜜,10/4/2022 00:00:00,9/4/2025 00:00:00
 北京市长水园艺农场,草莓,6/6/2022 00:00:00,5/6/2025 00:00:00
北京纯然生态科技有限公司,球生菜,18/7/2022 00:00:00,17/7/2025 00:00:00
北京中农富通园艺有限公司,油麦菜,21/12/2020 00:00:00,20/12/2023 00:00:00
北京中农富通园艺有限公司,梨,21/12/2020 00:00:00,20/12/2023 00:00:00
北京绿奥蔬菜合作社,南瓜,3/9/2022 00:00:00,2/9/2025 00:00:00
北京京林绿色科技有限公司,草莓,31/12/2021 00:00:00,30/12/2024 00:00:00
北京地源遂航农业发展有限公司,西瓜,7/9/2022 00:00:00,6/9/2025 00:00:00
北京绿思维农副产品产销专业合作社,苹果,25/3/2022 00:00:00,24/3/2025 00:00:00
北京佛国缘种植专业合作社,苹果,25/7/2022 00:00:00,24/7/2025 00:00:00
北京御樽庄园农业生态科技专业合作社,韭菜,23/8/2023 00:00:00,22/8/2026 00:00:00
北京王木营蔬菜种植专业合作社,胡萝卜,26/7/2021 00:00:00,25/7/2024 00:00:00
北京京东绿谷蔬菜产销专业合作社,黄瓜,8/2/2023 00:00:00,7/2/2026 00:00:00
北京慧田蔬菜种植专业合作社,菊花,28/12/2021 00:00:00,27/12/2024 00:00:00
北京泰华芦村种植专业合作社,茄子,8/4/2022 00:00:00,7/4/2025 00:00:00
北京谷新投资管理有限公司,大葱,11/8/2021 00:00:00,10/8/2024 00:00:00
北京市长阳农场有限公司,樱桃,19/5/2021 00:00:00,18/5/2024 00:00:00
北京双塔绿谷农业有限公司,油麦菜,23/12/2020 00:00:00,22/12/2023 00:00:00
北京天润园农业发展有限公司,茴香,23/12/2021 00:00:00,22/12/2024 00:00:00
碧森园生物科技（北京）有限公司,青花菜,27/7/2023 00:00:00,26/7/2026 00:00:00
融通农业发展（北京）有限责任公司,甜椒,28/12/2021 00:00:00,27/12/2024 00:00:00
北京康蔬源种植专业合作社,黄瓜,23/8/2023 00:00:00,22/8/2026 00:00:00
北京百旺农业种植园,韭菜,29/12/2021 00:00:00,28/12/2024 00:00:00
 北京市广泰农场有限公司,娃娃菜,31/12/2021 00:00:00,30/12/2024 00:00:00
碧森园生物科技（北京）有限公司,结球甘蓝,27/7/2023 00:00:00,26/7/2026 00:00:00
北京玉树种植专业合作社,茄子,29/12/2022 00:00:00,28/12/2025 00:00:00
北京中农富通园艺有限公司,草莓,21/12/2020 00:00:00,20/12/2023 00:00:00
北京双塔绿谷农业有限公司,柚子,11/3/2022 00:00:00,10/3/2025 00:00:00
 北京市广泰农场有限公司,马铃薯,31/12/2021 00:00:00,30/12/2024 00:00:00
北京全聚德仿膳食品有限责任公司,咸鸭蛋（熟）,9/5/2021 00:00:00,8/5/2024 00:00:00
北京御樽庄园农业生态科技专业合作社,甘蓝,23/8/2023 00:00:00,22/8/2026 00:00:00
北京通农种业有限责任公司,娃娃菜,29/12/2022 00:00:00,28/12/2025 00:00:00
北京绿奥蔬菜合作社,生菜,3/9/2022 00:00:00,2/9/2025 00:00:00
北京中农富通园艺有限公司,樱桃,21/12/2020 00:00:00,20/12/2023 00:00:00
北京双塔绿谷农业有限公司,茴香,11/3/2022 00:00:00,10/3/2025 00:00:00
融通农业发展（北京）有限责任公司,辣椒,28/12/2021 00:00:00,27/12/2024 00:00:00
北京兄弟新贵种植专业合作社,西瓜,17/1/2022 00:00:00,16/1/2025 00:00:00
北京双塔绿谷农业有限公司,水果玉米,23/12/2020 00:00:00,22/12/2023 00:00:00
北京纯然生态科技有限公司,土豆,18/7/2022 00:00:00,17/7/2025 00:00:00
北京王木营蔬菜种植专业合作社,圆白菜,26/7/2021 00:00:00,25/7/2024 00:00:00
北京双塔绿谷农业有限公司,甘蓝,23/12/2020 00:00:00,22/12/2023 00:00:00
五星种植（北京）有限公司,玉米,20/9/2023 00:00:00,19/9/2026 00:00:00
北京双塔绿谷农业有限公司,油麦菜,23/12/2020 00:00:00,22/12/2023 00:00:00
北京天润园农业发展有限公司,茴香,23/12/2021 00:00:00,22/12/2024 00:00:00
碧森园生物科技（北京）有限公司,青花菜,27/7/2023 00:00:00,26/7/2026 00:00:00
融通农业发展（北京）有限责任公司,甜椒,28/12/2021 00:00:00,27/12/2024 00:00:00
北京三元食品股份有限公司,极致纯牛奶,4/8/2023 00:00:00,3/8/2026 00:00:00
北京谷新投资管理有限公司,黄瓜,11/8/2021 00:00:00,10/8/2024 00:00:00
北京伊泰华府生态农庄有限公司,辣椒,4/8/2023 00:00:00,3/8/2026 00:00:00
北京采育喜山葡萄专业合作社,葡萄,20/12/2021 00:00:00,19/12/2024 00:00:00
北京圃美多绿色食品有限公司,汤用豆腐,18/2/2021 00:00:00,17/2/2024 00:00:00
北京康蔬源种植专业合作社,茄子,23/8/2023 00:00:00,22/8/2026 00:00:00
北京双塔绿谷农业有限公司,娃娃菜,11/3/2022 00:00:00,10/3/2025 00:00:00
北京谷新投资管理有限公司,茄子,11/8/2021 00:00:00,10/8/2024 00:00:00
北京泰华芦村种植专业合作社,韭菜,8/4/2022 00:00:00,7/4/2025 00:00:00
北京绿奥蔬菜合作社,苦瓜,3/9/2022 00:00:00,2/9/2025 00:00:00
北京中农坤威农业技术开发有限公司,茄子,9/8/2023 00:00:00,8/8/2026 00:00:00
北京地源遂航农业发展有限公司,番茄,7/9/2022 00:00:00,6/9/2025 00:00:00
北京圣泉农业专业合作社 ,大白菜,6/12/2022 00:00:00,5/12/2025 00:00:00
北京圃美多绿色食品有限公司,内脂豆腐,18/2/2021 00:00:00,17/2/2024 00:00:00
北京本忠盛达种植专业合作社,番茄,13/10/2023 00:00:00,12/10/2026 00:00:00
北京地源遂航农业发展有限公司,玉米,7/9/2022 00:00:00,6/9/2025 00:00:00
北京三元农业有限公司,樱桃,17/12/2022 00:00:00,16/12/2025 00:00:00
北京赵家场春华西甜瓜产销专业合作社,黄瓜,9/12/2022 00:00:00,8/12/2025 00:00:00
北京王木营蔬菜种植专业合作社,西葫芦,26/7/2021 00:00:00,25/7/2024 00:00:00
北京顺沿特种蔬菜基地,甜椒,9/10/2022 00:00:00,8/10/2025 00:00:00
北京正大果业有限公司,桃,11/8/2023 00:00:00,10/8/2026 00:00:00
北京亿亩地农业发展集团有限公司,黄瓜,23/12/2021 00:00:00,22/12/2024 00:00:00
北京谷新投资管理有限公司,甘蓝,11/8/2021 00:00:00,10/8/2024 00:00:00
北京三元食品股份有限公司,极致纯牛奶,4/8/2023 00:00:00,3/8/2026 00:00:00
北京谷新投资管理有限公司,黄瓜,11/8/2021 00:00:00,10/8/2024 00:00:00
北京伊泰华府生态农庄有限公司,辣椒,4/8/2023 00:00:00,3/8/2026 00:00:00
北京采育喜山葡萄专业合作社,葡萄,20/12/2021 00:00:00,19/12/2024 00:00:00
北京圃美多绿色食品有限公司,汤用豆腐,18/2/2021 00:00:00,17/2/2024 00:00:00
北京康蔬源种植专业合作社,茄子,23/8/2023 00:00:00,22/8/2026 00:00:00
北京双塔绿谷农业有限公司,娃娃菜,11/3/2022 00:00:00,10/3/2025 00:00:00
北京中农富通园艺有限公司,冬瓜,21/12/2020 00:00:00,20/12/2023 00:00:00
北京中农富通园艺有限公司,“迷你”大白菜,21/12/2020 00:00:00,20/12/2023 00:00:00
北京绿奥蔬菜合作社,葱,3/9/2022 00:00:00,2/9/2025 00:00:00
   北京春禾盛辉农业科技发展有限公司  ,草莓,3/12/2021 00:00:00,2/12/2024 00:00:00
北京谷新投资管理有限公司,韭菜,11/8/2021 00:00:00,10/8/2024 00:00:00
北京南套里蔬菜种植专业合作社,架豆,22/10/2021 00:00:00,21/10/2024 00:00:00
北京德润通农业科技发展有限公司,京一根一分钟火锅粉,6/6/2022 00:00:00,5/6/2025 00:00:00
