2023年市级以上农业产业化重点龙头企业名单,,,,
序号,名称,注册地址,法人代表,电话
29,北京红螺食品有限公司,北京市怀柔区庙城镇郑重庄村631号,李*华,010-60695300
30,北京御食园食品有限公司,北京市怀柔区雁栖经济开发区牤牛河路71号院,董*军,010-61668198
31,北京沃德辰龙生物科技股份有限公司,北京市平谷区中关村科技园区平谷园兴谷A区7号-129,孙*,010-61901223
32,金果园老农(北京)食品有限公司,北京市延庆区八达岭镇飞东路1号,马*红,010-84598760-8001
33,北京首农食品集团有限公司,北京市西城区裕民中路4号,马*梅,010-62014068
34,北京三元食品股份有限公司,北京市大兴区瀛海瀛昌街8号,唐*,010-56306665
35,北京市华都峪口禽业有限责任公司,北京市平谷区峪口镇兴隆庄北街3号,杜*山,010-61905280
36,北京德润通农业科技发展有限公司　,北京市房山区城关街道东瓜地村村委会北30米,尹*刚,010-69316885
37,北京粮食集团有限责任公司,北京市西城区广安门内大街316号,狄*清,010-51672480
38,北京二商肉类食品集团有限公司,北京市通州区潞城镇食品工业园区武兴北路1号,吴*成,010-61574980
39,中国粮油食品（集团）有限公司,北京市朝阳区朝阳门南大街8号中粮福临门大厦,栾*成,010-85006688
40,中国土产畜产进出口总公司（中粮）,北京市朝阳区朝阳门南大街8号,殷*豪,010-85018070
41,中牧实业股份有限公司,北京市丰台区南四环西路188号八区16-19号楼,吴*荀,010-63702195
42,中华棉花集团有限公司,北京市西城区宣武门外大街甲1号环球财讯中心B座11层,何*玉,010-59338117
43,国投中鲁果汁股份有限公司,北京市丰台区科兴路7号205室,陈*,010-88009088
44,国能生物发电集团有限公司,北京市朝阳区北沙滩1号院37号楼,杨*岐,010-63505405
45,中国农业发展集团有限公司,北京市西城区民丰胡同31号中水大厦,万*,010-88067008
46,中化现代农业有限公司,北京市西城区复兴门内大街28号818室,应*杰,010-59569601
47,北京世纪阿姆斯生物技术有限公司,北京市海淀区天秀路10号中国农大国际创业园3号楼5层5061,邓*科,010-56690599
48,北京京鹏环宇畜牧科技股份有限公司,北京市海淀区丰慧中路7号新材料创业大厦704号,薛*友,010-58711562
49,北京京研益农科技发展中心,北京市海淀区紫竹院街道板井村,温*龙,010-51502530
50,北京德农种业有限公司,北京市海淀区中关村南大街甲6号17层1701,谢*,010-51583999
51,中博农畜牧科技股份有限公司,北京市海淀区上地信息路1号7层A栋,张*宏,010-82896933
52,北京京丰岳各庄农副产品批发市场中心,北京市丰台区西四环中路136号,李*波,010-63894923
53,北京航天农业生物科技有限公司,北京市房山区青龙湖镇大苑村良坨路甲2号,周*,010-60347706
54,北京琦彩鸿农业发展有限公司,北京市房山区张坊镇西白岱村北30米处,郄*金,010-61337475
55,北京昊屹畜牧有限公司　,北京市房山区良乡镇江村村东南-2,于*华,010-84921818?
56,康莱德国际环保植被（北京）有限公司,北京市房山区长阳镇镇政府北2000米路西,冉*会,010-80361590
57,北京澳特舒尔保健品开发有限公司,北京市房山区窦店镇秋实工业园1号,赵*真,010-69398655
58,北京燕都立民屠宰有限公司,北京市房山区琉璃河镇平各庄村东,褚*林,010-80394366
59,北京三江宏利牧业有限公司,北京市房山区琉璃河镇常舍村,孙*立,010-80390109
60,京之源（北京）农业有限公司,北京市房山区琉璃河东大街,连*乐,010-89388658
61,北京金利圆养殖有限公司,北京市房山区良乡镇江村村东1号,王*民,010-80357101
62,北京南河北星农业发展有限公司,北京市房山区大石窝镇南河村北1号,张*,010-61388265
63,北京永长福生物科技有限公司,北京市房山区大石窝镇辛庄村南3号,崔*柱,010-61321688
64,北京利民恒华科技有限公司,北京市房山区石楼镇襄驸马庄村委会南二大路西侧,张*华,010-89353536
65,北京香豆豆食品有限公司,北京市房山区窦店镇久安路38号,刘*,010-60334972
66,北京中科天利水产科技有限公司,北京市房山区石楼镇吉羊村北二区33号,刘*新,1358***0602
67,北京窦店益生清真肉业有限公司,北京市房山区窦店镇窦店村,吴*方,010-60368825
68,北京艾克赛德生物工程有限公司,北京市房山区窦店镇望楚村北京深路东5米,周*云,010-80318900
69,北京莱恩堡葡萄酒业有限公司,北京市房山区长阳镇稻田一村长周路西侧,王*飞,010-80365588
70,北京市金盛福食品有限公司,北京市昌平区小汤山镇酸枣岭八十八号,曹*涛,010-61714145
71,北京华耐农业发展有限公司,北京市昌平区南邵镇姜屯村南,贾*,010-60781300
72,北京天安农业发展有限公司,北京市昌平区小汤山镇大柳树环岛南500米,林*,010-53205581
73,北京古船食品有限公司,北京市大兴区黄村镇大庄村东北京大兴国家粮食储备库院内3-5幢平房、20幢1-2层,陈*锋,010-56456609
74,北京澳佳生态农业股份有限公司,北京市通州区中关村科技园区通州园国际种业科技园区聚和七街1号-569,冯*祥,010-61502790
75,北京嘉和一品企业管理股份有限公司,北京市顺义区南陈路南法信段29号,唐*,010-53216688
76,北京峰盈新顺餐饮管理有限公司,北京市顺义区北石槽镇良善庄村,张*新,010-60423369
77,北京顺鑫农业股份有限公司鹏程食品分公司,北京市顺义区南法信地区顺沙路南侧,林*开,010-69474053
78,北京顺鑫农业股份有限公司创新食品分公司,北京市顺义区金马工业区2街16号,赵*田,010-69490568
79,北京大风家禽育种有限责任公司,北京市顺义区汇海南路1号院11号楼12层1509,田*,010-50935941
80,北京金维福仁清真食品有限公司,北京市大兴区魏善庄镇半壁店工业区36号,赵*荣,010-89233788
81,北京市美丹食品有限公司,北京市大兴区庞各庄镇工业区10排19号,陈*斌,010-89280978
82,中粮丰通（北京）食品有限公司,北京市大兴区生物工程与医药产业基地永大路21号,穆*凤,010-61253302
83,万丰大地（北京）蔬菜有限公司,北京市海淀区沙窝九条27号万寿路街道人防仓库1幢27号,闫*全,010-86332222
84,北京宏福国际农业科技有限公司,北京市大兴区庞各庄镇曹各庄路北曹各庄村委会向东100米,郑*,010-89204818
85,北京本来工坊科技有限公司,北京市大兴区经济开发区科苑路9号3号楼二层S3208室,刘*才,010-84109218
86,北京资源亚太食品有限公司,北京市大兴区黄村镇西磁村村委会北350米,张*,010-69266376
87,北京伟农生物科技有限公司,北京市怀柔区北房镇裕华路7号,徐*寅,010-60663388
88,北京富亿农板栗有限公司,北京市怀柔区庙城镇郑重庄633号,王*志,010-60697900
89,北京顺通虹鳟鱼养殖中心,北京市怀柔区渤海镇田仙峪村北一公里,沈*顺,010-61626188
90,北京西餐食品有限公司,北京市怀柔区庙城镇郑重庄村东,沈*顺,010-60697824
91,颐寿园（北京）蜂产品有限公司,北京市怀柔区桥梓镇桥梓村北150米,陈*军,1380***1663
92,北京市裕农优质农产品种植有限公司,北京市怀柔区雁栖经济开发区,常*光,010-62925200
93,中和农信项目管理有限公司,北京市怀柔区开放路113号南三层302室,刘*文,010-88578681
94,北京千喜鹤食品有限公司,北京市平谷区兴谷工业开发区9区,于*,010-52790268-8000
95,北京市老才臣食品有限公司,北京市平谷区兴谷经济开发区5号区,陈*平,010-89988811
96,北京康安利丰农业有限公司,北京市平谷区马坊镇,张*利,010-60998803
97,北京世纪京纯蜂产品有限责任公司,北京市密云区太师屯镇龙潭沟村村西,李*侠,010-69038812
98,北京奥斯云肉食品有限公司,北京市密云区十里堡镇岭东村西500米,陈*兰,010-89023652
99,北京康顺达农业科技有限公司,北京市密云区河南寨镇平头村西500米,李*伟,010-61086967
100,北京邑仕山谷旅游科技发展有限公司,北京市密云区太师屯镇流河峪村邑仕庄园院内,王*亮,010-89088720
101,北京绿富隆农业股份有限公司,北京市延庆区东外大街60号,韩*敏,010-69101463
102,北京庆和食品有限责任公司,北京市延庆区沈家营镇中鲁科技园区1号,曹*峰,010-61131065
103,北京瓷茗缘文化发展有限公司,北京市门头沟区剧场东街甲10号,李*,010-69856597
104,北京三元种业科技股份有限公司,北京市大兴区德茂庄德裕街5号,张*涛,010-62948024
105,北京家禽育种有限责任公司,北京市顺义区赵全营镇昌临58号,王*玲,010-60435567
106,北京二商龙和食品有限公司,北京市丰台区南苑西路52号,崔*顺,010-67912322
107,北京大红门京深海鲜批发市场有限公司,北京市丰台区石榴庄西街232号,刘*苗,010-51228666
108,北京王致和食品集团有限公司,北京市海淀区阜石路41号,吴*栋,010-68210156
109,北京六必居食品有限公司,北京市西城区北礼士路8号,俞*富,010-68363799
110,北京二商大红门五肉联食品有限公司,北京市昌平区沙河镇巩华城大街6号,徐*江,010-69731857
111,北京二商希杰食品有限责任公司,北京市通州区潞城镇武兴路1号,刘*明,010-61529717
112,北京月盛斋清真食品有限公司,北京市丰台区南顶路6号,常*志,010-67223928
113,北京市东方友谊食品配送公司,北京市丰台区郑王坟140号,郭*宝,010-63300232
114,北京水产有限责任公司,北京市丰台区角门路18号院,武*华,010-87582070
115,北京首农股份有限公司,北京市西城区冰窖口胡同75号,刘*彤,010-82079010
116,北京二商穆香源清真肉类食品有限公司,北京市怀柔区庙城镇高各庄村南,常*志,010-89610082
117,北京市南郊农场有限公司,北京市大兴区旧宫镇旧宫西路15号,刘*波,010-67856248
118,北京百花蜂产品科技发展有限公司,北京市大兴区亦庄经济技术开发区同济中路7号3号楼,闵*良,010-67869021
119,北京市花木公司,北京市西城区文兴东街2号,于*斌,010-87428825
120,北京农产品中央批发市场有限责任公司,北京市丰台区新发地168号,许*林,010-83729569
