序号,企业名称,年份
166,北京世纪津程企业管理有限公司,2023年
167,北京晟世恒源科技发展有限公司,2023年
168,北京益生汇康生物技术有限公司,2023年
169,北京涞澈科技发展有限公司,2023年
170,北京德为智慧科技有限公司,2023年
171,北京众智立业企业管理有限公司,2023年
172,北京佰乐云间商贸有限公司,2023年
173,北京市蔚蓝时代商业管理有限公司,2023年
174,北京恩卓服装服饰有限公司,2023年
175,北京天牧恩顺科技有限公司,2023年
176,北京格瑞吉电气技术服务有限公司,2023年
177,北京盛秦建筑装饰装修工程有限公司,2023年
178,北京天鸿浩建装饰工程有限公司,2023年
179,百弘（北京）医学科技有限公司,2023年
180,北京药素科技有限公司,2023年
181,北京瑞祥茂和科技有限公司,2023年
182,北京博兴永欣企业管理咨询有限公司,2023年
183,北京助创科技有限公司,2023年
184,北京驰海天翔科技发展有限公司,2023年
185,北京新艾进生物科技有限公司,2023年
186,北京东富净化技术有限公司,2023年
187,北京泌康医疗科技有限公司,2023年
188,北京安德保安服务有限公司,2023年
189,北京润沃达新能源有限公司,2023年
190,北京安拓智联科技有限公司,2023年
191,北京数仿科技有限公司,2023年
192,益都智能技术（北京）集团有限公司,2023年
193,北京盛世民安科技发展有限公司,2023年
194,北京攀岩鸟商贸有限公司,2023年
195,北京佳诺德医药科技有限公司,2023年
196,中北奕林（北京）工程科技咨询有限公司,2023年
197,捷希达（北京）科技有限公司,2023年
198,北京恒晨医药信息咨询有限公司,2023年
199,北京京杰锐思技术开发有限公司,2023年
200,北京中康极韵科技有限公司,2023年
201,北京道中行商贸有限公司,2023年
202,北京丁香先生家居设计有限公司,2023年
203,北京中衡云天计量检测技术有限公司,2023年
204,北京海月智家科技有限公司,2023年
205,北京泰禾餐饮有限公司,2023年
206,企租（北京）网络科技有限公司,2023年
207,北京广和正弘贸易有限公司,2023年
208,北京艾德摩生物技术有限公司,2023年
209,北京唯得科技有限公司,2023年
210,德普威环保建材（北京）有限公司,2023年
211,北京博联众睿机器人科技有限公司,2023年
212,大象云电（北京）科技有限公司,2023年
213,北京至美印刷有限责任公司,2023年
214,北京誉风新能源科技有限公司,2023年
215,北京和川真空科技有限公司,2023年
216,北京光雅力华科技发展有限公司,2023年
217,中谱（北京）测试科技有限公司,2023年
218,北京宇极芯光光电技术有限公司,2023年
219,北京晶水石信息系统技术有限公司,2023年
220,北京联帕智能科技有限公司,2023年
221,北京星途探索科技有限公司,2023年
222,北京万丰恒业电工科技有限公司,2023年
223,北京亦丰餐饮有限公司,2023年
224,安诺伦（北京）生物科技有限公司,2023年
225,新研氢能源科技有限公司,2023年
226,北京平安美科贸有限公司,2023年
227,北京兴聚源餐饮服务有限公司,2023年
228,汇泽丰（北京）餐饮管理有限公司,2023年
229,北京互时科技股份有限公司,2023年
230,北京亦盛精密半导体有限公司,2023年
231,中鸿杰建设有限公司,2023年
232,北京航天信诺科技有限责任公司,2023年
233,未来（北京）黑科技有限公司,2023年
234,北京博比风电科技有限公司,2023年
235,北京新网长千科技有限公司,2023年
236,北京联工密封科技有限公司,2023年
237,北京择荣科技有限公司,2023年
238,北京宏达顺时代环境艺术设计有限责任公司,2023年
239,北京天鸿经典装饰工程设计有限公司,2023年
240,北京铭塾教育科技有限公司,2023年
241,北京平七科技发展有限公司,2023年
242,控软自动化技术（北京）有限公司,2023年
243,北京凯因格领生物技术有限公司,2023年
244,北京悦洋兴隆商贸有限公司,2023年
245,北京枫美科技有限公司,2023年
246,北京创盈光医疗科技有限公司,2023年
247,北京大地科恩科技发展有限责任公司,2023年
248,北京科华源创新能源技术服务有限公司,2023年
249,北京西汇环境科技有限公司,2023年
250,北京亦马联传动科技有限公司,2023年
251,北京科仪邦恩医疗器械科技有限公司,2023年
252,北京仁合兴餐饮管理有限公司,2023年
253,北京华驭科贸有限公司,2023年
254,北京帕菲诺精密机械有限公司,2023年
255,北京五洲港电子商务有限公司,2023年
256,北京育华能源有限公司,2023年
257,沃德林科环保设备（北京）有限公司,2023年
258,北京玖泰特种电缆有限公司,2023年
259,北京旌准医疗科技有限公司,2023年
260,北京一测精密仪器有限公司,2023年
261,北京会盛百模具材料技术有限公司,2023年
262,北京怡合通机电设备安装工程有限公司,2023年
263,北京速联兴盛自动化设备有限公司,2023年
264,北京第七阁服装服饰有限公司,2023年
265,北京京彩工贸有限责任公司,2023年
266,北京可清环保科技有限公司,2023年
267,北京敬业君诚建筑工程有限公司,2023年
268,北京电务通能源科技（集团）有限公司,2023年
269,北京朝晖鸿利品牌管理有限公司,2023年
270,北京稻稻咨询有限公司,2023年
271,中科政通（北京）人力资源有限公司,2023年
272,北京汇霖泽谷生物科技有限公司,2023年
273,北京众达行汽车销售有限公司,2023年
274,北京胡桃计算机技术有限公司,2023年
275,北京益普希环境咨询顾问有限公司,2023年
276,盈泰智能（北京）科技有限公司,2023年
277,北京博达盛业企业管理有限公司,2023年
278,北京百泰恒生商贸有限公司,2023年
279,北京瑞峰宏达金属材料科技有限公司,2023年
280,北京今三鼎科技有限公司,2023年
281,名将宠美教育科技（北京）有限公司,2023年
282,北京四合联创装饰设计有限公司,2023年
283,北京海纳通达科技有限公司,2023年
284,摩胜（北京）科技有限公司,2023年
285,北京安德易商贸有限公司,2023年
286,北京艾德创机器人科技有限公司,2023年
287,北京永邦安信科技有限公司,2023年
288,北京炫光美洁科技有限公司,2023年
289,北京朝晖鸿利环保设备有限公司,2023年
290,北京畅宜洋文化发展有限公司,2023年
291,北京市攀信钛晔贸易有限公司,2023年
292,北京天地汇云科技有限公司,2023年
293,北京蓝际信息技术有限公司,2023年
294,北京融智汇鑫资源科技有限公司,2023年
295,北京葡萄藤信息技术有限公司,2023年
296,北京亦城坤元投资管理有限公司,2023年
297,沃海森（北京）户外用品有限公司,2023年
298,北京洛尼家具有限公司,2023年
299,北京国瑞晟建筑工程有限公司,2023年
300,北京泛太嘉瑞机电设备有限公司,2023年
301,中创宏远（北京）环保科技有限公司,2023年
302,北京中润致远体育发展有限公司,2023年
303,北京旗利永盛科贸有限公司,2023年
304,仕林（北京）文化体育产业发展有限公司,2023年
305,北京海西晟景贸易有限公司,2023年
306,北京冠美品尚家具有限公司,2023年
307,北京零重空间技术有限公司,2023年
308,北京橡鑫生物科技有限公司,2023年
309,北京苍昊川泉信息科技有限公司,2023年
310,禾金正生物科技（北京）股份有限公司,2023年
311,北京吉正服饰有限公司,2023年
312,北京大艾机器人科技有限公司,2023年
313,北京航天弘润科贸有限公司,2023年
314,北京时代全印科技有限公司,2023年
315,北京艾思吉教育咨询有限公司,2023年
316,北京汇智慧众汽车技术研究院,2023年
317,北京太洋树康药业有限责任公司,2023年
318,北京竣屹建设工程有限公司,2023年
319,龙玉艺墅（北京）装配科技有限公司,2023年
320,锐趣科技（北京）有限公司,2023年
321,北京中城营造工程管理咨询有限公司,2023年
322,思路迪（北京）医药科技有限公司,2023年
323,北京三力新能科技有限公司,2023年
324,中泰德信（北京）档案管理有限公司,2023年
325,北京万豪基业商贸有限公司,2023年
326,北京易诚体信科技有限公司,2023年
327,北京亦庄国际生物试剂物流中心有限公司,2023年
328,北京仁智盛兴电子商务有限公司,2023年
329,北京天翼祥云科技有限公司,2023年
330,北京爱贝宫健悦国际母婴护理有限公司,2023年
331,北京东方富林液化气体有限公司,2023年
332,北京陌尚森商贸有限公司,2023年
333,北京朝林君道源企业服务有限公司,2023年
334,北京广筑腾达建筑工程有限公司,2023年
335,北京瑞泰朋鸿科技有限公司,2023年
336,北京天远方信科技有限公司,2023年
337,甲乙赢（北京）医疗科技有限公司,2023年
338,北京乐为智天科技有限公司,2023年
339,北京清山科技有限公司,2023年
340,北京博瑞鑫创科技有限公司,2023年
341,北京因心四季装饰有限责任公司,2023年
342,北京亿丰博锐紧固件有限公司,2023年
343,北京金华科生物技术有限公司,2023年
344,蓓安科仪（北京）技术有限公司,2023年
345,北京恒安辉泰科技有限公司,2023年
346,北京博清科技有限公司,2023年
347,北京众伦科技有限公司,2023年
348,北京博奥森生物技术有限公司,2023年
349,北京御盛泽餐饮管理有限公司,2023年
350,北京华夏恒基建筑装饰工程有限公司,2023年
351,北京瑞达天润科技有限公司,2023年
352,北京海缘恒润国际贸易有限公司,2023年
353,北京京亦宏源科技有限公司,2023年
354,北京北方北阳春餐饮有限公司,2023年
355,北京羿龙商贸有限公司,2023年
356,北京雷铂锐特冶金工程技术有限公司,2023年
357,华配（北京）科技有限公司,2023年
358,北京首信圆方机电设备有限公司,2023年
359,北京盛世财源餐饮有限公司,2023年
360,北京融力机械有限公司,2023年
361,北京海顺德钛石油化工技术有限公司,2023年
362,北京慧普环境保护技术有限公司,2023年
363,世洁卫仕（北京）科技有限公司,2023年
364,北京中泰德信科技有限公司,2023年
365,北京创智辉煌科技有限公司,2023年
366,北京中矿天诚科技有限公司,2023年
367,北京慧云工程管理有限公司,2023年
368,北京大秦行者餐饮有限公司,2023年
369,北京郅隆网络科技有限公司,2023年
370,北京康格瑞科技有限公司,2023年
371,北京国华恒源科技开发有限公司,2023年
372,北京快舒尔医疗技术有限公司,2023年
373,北京安拓伟业科技发展有限公司,2023年
374,北京金维尼服装有限公司,2023年
375,北京莱斯达电子科技股份有限公司,2023年
376,铂元智能科技（北京）有限公司,2023年
377,北京诺芝源国际贸易有限公司,2023年
378,山鹰永安消防设备（北京）有限公司,2023年
379,北京华盛中能科技有限公司,2023年
380,北斗启明（北京）节能科技服务有限公司,2023年
381,北京同励健康科技集团有限公司,2023年
382,北京互联汇聚科技有限公司,2023年
383,北京云际机电设备安装有限公司,2023年
384,北京丞铭文化传媒有限公司,2023年
385,北京慧水通达环保科技有限公司,2023年
386,北京信义腾达机电设备有限公司,2023年
387,北京圣开景科技有限公司,2023年
388,北京戌华防务技术有限公司,2023年
389,北京中亦亿家商贸有限公司,2023年
390,中嘉盛昌供应链管理（北京）有限公司,2023年
391,北京高派高新技术有限公司,2023年
392,北京信加科技有限公司,2023年
393,北京安快创业科技有限公司,2023年
394,北京京达金鼎消防安全技术有限公司,2023年
395,中星联华科技（北京）有限公司,2023年
396,北京诺仕隆工业表面材料有限公司,2023年
397,北京航天华腾科技有限公司,2023年
398,富锦博（北京）建筑工程有限公司,2023年
399,北京佳和誉泰家政服务有限公司,2023年
400,北京千乘科技有限公司,2023年
401,北京德美科创科技有限公司,2023年
402,北京天乙长科技发展有限公司,2023年
403,卡尔尼克工业设备（北京）有限公司,2023年
404,北京百瑞视光电技术有限公司,2023年
405,北京和裕智诚企业管理有限公司,2023年
406,水西庄餐饮管理（北京）有限公司,2023年
407,北京辉旺科技有限公司,2023年
408,北京云顶信达信息技术有限公司,2023年
409,北京市十月印刷有限公司,2023年
410,成器智造（北京）科技有限公司,2023年
411,北京汇智泰康医药技术有限公司,2023年
412,北京兴亦博荣商贸有限公司,2023年
413,北京集创隆明酒业有限公司,2023年
414,北京华威鸿盛商贸有限公司,2023年
415,乾江（北京）信息技术有限公司,2023年
416,趋势中科（北京）网络科技有限公司,2023年
417,北京迈东科技有限公司,2023年
418,北京皓洋泰人力资源有限公司,2023年
419,北京博安成建设工程有限公司,2023年
420,中港新业机电工程（北京）有限公司,2023年
421,北京亦隆伟业商贸有限公司,2023年
422,北京鑫维建筑安装工程有限公司,2023年
423,北京玛尔斯精密设备有限公司,2023年
424,北京汉威机电股份有限公司,2023年
425,北京亦星健身有限公司,2023年
426,汇通联合（北京）能源工程技术有限公司,2023年
427,北京汇通聚原风电技术集团有限公司,2023年
428,北京盛通兴源供应链管理有限公司,2023年
429,北京博岩盛达机械设备租赁有限公司,2023年
430,北京自然美光学有限公司,2023年
431,北京智象云中医科技有限公司,2023年
432,北京中天路业科技有限公司,2023年
433,北京艺博伟业机械设备租赁有限公司,2023年
434,北京创天世达科技有限公司,2023年
435,北京亦程科技有限公司,2023年
436,北京阳光中海国际体育科技有限公司,2023年
437,北京天诚运通国际物流有限公司,2023年
438,卓越昊维（北京）电气科技有限公司,2023年
439,北京华源泰克油田技术有限公司,2023年
440,北京麦家晟餐饮管理有限责任公司,2023年
441,北京荣丰科技有限公司,2023年
442,北京嘉诺科技有限公司,2023年
443,爱彼思（北京）贸易有限责任公司,2023年
444,北京山屿科技有限公司,2023年
445,新泽东科贸（北京）有限公司,2023年
446,北京动力节点教育科技有限公司,2023年
447,新能动力（北京）电气科技有限公司,2023年
448,洛威克（北京）科技有限公司,2023年
449,北京聚宝顺通寄卖行有限公司,2023年
450,北京嘉洁能科技股份有限公司,2023年
451,百恒合众自动化技术（北京）有限公司,2023年
452,北京桐欣逸诚商贸有限公司,2023年
453,北京甄致美化妆品有限公司,2023年
454,霍尔姆斯（北京）生物科技有限公司,2023年
455,北京明尼特环保设备有限公司,2023年
456,北京威信文化传播有限责任公司,2023年
457,紫成卓悦（北京）物业管理有限公司,2023年
458,北京德利沃物流机械设备有限公司,2023年
459,北京通一盈企业管理有限公司,2023年
460,北京奥特恒业电气设备有限公司,2023年
461,北京隆海物业管理有限公司,2023年
462,北京宜林科技有限公司,2023年
463,北京和睦安医院管理科技有限公司,2023年
464,北京厚德厚朴医疗器械有限责任公司,2023年
465,北京锐达仪表有限公司,2023年
466,北京核纳德科技有限公司,2023年
467,微岩医学科技（北京）有限公司,2023年
468,北京荣华卓越商贸有限公司,2023年
469,北京源合筑企业管理服务有限公司,2023年
470,北京勤友竣达贸易有限公司,2023年
471,北京高丰建筑工程有限公司,2023年
472,北京鸿利家和装饰设计有限公司,2023年
473,中科宜康（北京）生物科技有限公司,2023年
474,北京中航科宇计量测试技术有限公司,2023年
475,北京博莱德光电技术开发有限公司,2023年
476,格林博尔机械（北京）有限公司,2023年
477,北京泰拓精密清洗设备有限公司,2023年
478,北京人多多人力资源管理有限公司,2023年
479,北京从平技术有限公司,2023年
480,亦鑫（北京）建设工程有限公司,2023年
481,国坤建设工程（北京）有限公司,2023年
482,北京海顺德水处理工程技术有限公司,2023年
483,北京国网电力技术股份有限公司,2023年
484,北京千春亦浩餐饮有限公司,2023年
485,北京杨子艺苑文化艺术发展有限公司,2023年
486,北京雅美联合科技有限公司,2023年
487,嘉捷鑫源（北京）科技有限公司,2023年
488,北京艾姆泰克矿业技术有限公司,2023年
489,北京宝昂电子有限公司,2023年
490,北京长兴鼎丰品牌管理有限公司,2023年
491,盛加华（北京）科技发展有限公司,2023年
492,北京德盾无限国际门窗有限公司,2023年
493,北阀科技集团股份有限公司,2023年
494,北京杰恒利安工程技术有限公司,2023年
495,北京联和互通印刷技术集团有限公司,2023年
496,北京信豪婷商贸有限公司,2023年
497,北京百利健科贸有限公司,2023年
498,北京华材中泰科技有限公司,2023年
499,北京华仕伟业科技有限公司,2023年
500,北京中盈环球自动化设备有限公司,2023年
501,北京博睿晟科技有限公司,2023年
502,北京东方百士电子有限公司,2023年
503,北京万创科技有限公司,2023年
504,北京思尔成生物技术有限公司,2023年
505,北京滨沾鸿盛酒店管理有限公司,2023年
506,北京鸿测科技发展有限公司,2023年
507,北京新百发缘科技有限公司,2023年
508,北京美信康年大药房有限责任公司,2023年
509,北京捷杰西科技股份有限公司,2023年
510,北京顺祥隆建设工程有限公司,2023年
511,北京爱智嘉诚科技有限公司,2023年
512,北京网来科技发展有限公司,2023年
513,北京新基永康生物科技有限公司,2023年
514,永承（北京）文化传播有限公司,2023年
515,北京忠源顺园林绿化工程有限公司,2023年
516,中安龙源（北京）科技发展有限公司,2023年
517,北京至和鑫诚科技有限公司,2023年
518,北京医康健科技发展有限公司,2023年
519,北京高德利华科技有限公司,2023年
520,北京洁雅德暖通设备有限公司,2023年
521,北京大绥基业商贸有限公司,2023年
522,北京京燕宇飞建筑工程有限公司,2023年
523,北京龙翼天鼎百货有限公司,2023年
524,北京龙艳浪腾体育有限责任公司,2023年
525,北京联创鼎新石化设备有限公司,2023年
526,北京百颖机电设备有限公司,2023年
527,北京天空卫士信息安全技术有限公司,2023年
528,北京德邦大为科技股份有限公司,2023年
529,泰姆瑞（北京）精密技术有限公司,2023年
530,蔻芳（北京）贸易有限公司,2023年
531,北京峰业永诚金属材料有限公司,2023年
532,北京润沃达科技集团有限公司,2023年
533,北京维奥服装有限公司,2023年
534,北京福瑞宝能源科技有限公司,2023年
535,北京亮道智能汽车技术有限公司,2023年
536,北京行易道科技有限公司,2023年
537,北京华科智行科技有限公司,2023年
538,北京正霖建设有限公司,2023年
539,北京易家和泰生活服务有限公司,2023年
540,可瑞特（北京）科技有限公司,2023年
541,北京智联创合人力资源顾问有限公司,2023年
542,北京嘉华顺久网络科技有限公司,2023年
543,德为显示科技股份有限公司,2023年
544,北京力佳图科技有限公司,2023年
545,北京中星天宏建筑工程有限公司,2023年
546,欧必翼太赫兹科技（北京）有限公司,2023年
547,北京纤毫装饰有限公司,2023年
548,北京博海康源医疗器械有限公司,2023年
549,北京原杰电子有限责任公司,2023年
550,北京智同精密传动科技有限责任公司,2023年
551,北京信永鸿科技有限公司,2023年
552,北京迅佰网络科技有限公司,2023年
553,瑞升昌铝业（北京）有限公司,2023年
554,北京奕涵环境科技有限公司,2023年
555,天诚联泰（北京）科技有限公司,2023年
556,北京和中施拉德科技有限公司,2023年
557,北京优品必成包装有限公司,2023年
558,北京圣安平泰物业管理有限公司,2023年
559,北京正禾超市连锁有限公司,2023年
560,北京都市假日酒店管理有限公司,2023年
561,北京欣奕华科技有限公司,2023年
562,北京风光源科技有限公司,2023年
563,北京万向博瑞科技发展有限公司,2023年
564,北京稻香村鹿海园食品有限公司,2023年
565,灿烂星光（北京）数字科技有限公司,2023年
566,博雅工道（北京）机器人科技有限公司,2023年
567,北京亦庄大数据科技发展有限公司,2023年
568,北京千河智能科技有限公司,2023年
569,北京悦和旅行社有限责任公司,2023年
570,北京一控系统技术有限公司,2023年
571,北京晶莱华科生物技术有限公司,2023年
572,北京英福环试科技有限公司,2023年
573,北京埃驰服装设计有限公司,2023年
574,北京科创利源商贸有限公司,2023年
575,北京微旅时光网络科技有限公司,2023年
576,珹信（北京）科技有限公司,2023年
577,北京正胜科技发展有限公司,2023年
578,北京冬华迅餐饮管理有限公司,2023年
579,北京京车双洋轨道交通牵引设备有限公司,2023年
580,龙铝（北京）建材有限公司,2023年
581,北京酸甜儿商贸有限公司,2023年
582,北京中科生仪科技有限公司,2023年
583,北京安捷易讯科技有限公司,2023年
584,北京昭元工程建设有限公司,2023年
585,北京嘉利信得科技发展有限公司,2023年
586,北京合众鼎新信息技术有限公司,2023年
587,北京宏升万和物业管理有限公司,2023年
588,北京拓景园林绿化工程有限公司,2023年
589,北京龙格自动化系统工程有限公司,2023年
590,北京天润森茂餐饮管理有限公司,2023年
591,百思美（北京）信息科技发展有限公司,2023年
592,永旭腾风新能源动力科技（北京）有限公司,2023年
593,北京雪诺经贸有限公司,2023年
594,北京北方永达智能电气有限公司,2023年
595,北京本色印易科技有限公司,2023年
596,北京晋阳弘业企业管理有限公司,2023年
597,蓝色兄弟（北京）公关广告有限公司,2023年
598,北京京伦睿创建筑劳务有限公司,2023年
599,北京海汇达科技有限公司,2023年
600,国信医药科技（北京）有限公司,2023年
601,北京兴通伟业科技有限公司,2023年
602,北京国瑞华宇科技有限公司,2023年
603,北京福满鑫装饰有限公司,2023年
604,康为控股集团有限公司,2023年
605,初心印象文化传媒（北京）有限公司,2023年
606,中蘅建筑工程（北京）有限公司,2023年
607,北京铠博新材料技术有限公司,2023年
608,北京深航润达科技有限公司,2023年
609,北京瑞海尚达机电设备有限公司,2023年
610,北京雷纳特科技有限公司,2023年
611,京城镇远（北京）保安服务有限公司,2023年
612,赛诺威盛科技（北京）股份有限公司,2023年
613,北京智伟杰装饰工程有限公司,2023年
614,北京五色服装有限责任公司,2023年
615,北京分享家商贸有限公司,2023年
616,北京科创天龙智能电气设备有限公司,2023年
617,北京科锐昂科技发展有限公司,2023年
618,天三和（北京）企业管理有限公司,2023年
619,北京洁创环保科技有限公司,2023年
620,北京吉勤科技有限公司,2023年
621,马沃贸易（北京）有限公司,2023年
622,北京瑞风环艺科技有限公司,2023年
623,北京盛世帝标科技发展有限公司,2023年
624,北京经开智辰电子商务有限公司,2023年
625,北京三源中和科技有限公司,2023年
626,北京广海迪航科技发展有限公司,2023年
627,北京兆东万荣机械有限公司,2023年
628,北京爱尔斯特贸易有限公司,2023年
629,北京亦通工程规划设计有限公司,2023年
630,北京鸿科国际工程有限公司,2023年
631,恩莱登（北京）工业技术有限公司,2023年
632,北京麦千电子商务有限公司,2023年
