姓名,认定年份,合作社/家庭农场名称,产业方向
张*军,2023,北京景华聚兴农业科技有限公司,种植业
刘*,2023,北京丰隆万兴农业种植服务中心,种植业
齐*,2023,龙泽宇农有机农业（北京）有限公司,种植业
许*,2023,北京葡萄大观园,种植业
张*,2024,北京农汇生态农业科技有限公司,乡村休闲旅游业
李*,2023,北京绿多乐农业有限公司工作,养殖业
杨*兴,2024,北京亲然薄荷客栈,乡村休闲旅游业
林*,2024,北京市昌平区南口镇羊台子村股份经济合作社,其他
夏*桐,2022,北京天润园草莓专业合作社,种植业
周*龙,2024,北京龙湾齐莲农产品产销专业合作社,种植业
韩*良,2023,北京市平谷区兴谷街道办事处中胡家务村经济合作社,种植业
崔*芳,2023,北京雁翔蓝天农业专业合作社,种植业
李*隆,2024,北京密云区新城子镇崔家峪股份经济合作社,农业生产资料制造及销售
刘*春,2023,初心（北京）生态农业有限公司,种植业
刘*力,2024,北京市密云区东邵渠镇小岭股份经济合作社,养殖业
田*涛,2022,北京华海田园农业科技有限公司,种植业
王*军,2023,北京情怀民俗旅游专业合作社,乡村休闲旅游业
杜*娟,2023,北京兰惠种植专业合作社,种植业
周*杰,2024,北京绿惠种植专业合作社,种植业
张*洁,2024,北京盛开绿谷农业专业合作社,种植业
朱*红,2024,温育银芽（北京）蔬菜加工有限责任公司,加工业
隗*龙,2024,北京十渡蜂业专业合作社,养殖业
齐*,2023,北京谷氏农业专业合作社,种植业
陈*,2022,北京安定贾尚种植有限公司,
关*宝,2023,北京林淼有机果蔬种植有限公司,零售业
陈*东,2023,北京东篱产销专业合作社,种植业
孙*明,2023,北京春雨惠明家庭农场,种植业
杨*辉,2024,北京金水湖旅游开发有限公司,乡村休闲旅游业
赵*石,2024,北京市顺义区北务镇珠宝屯村经济合作社,种植业
周*华,2023,北京市门头沟区清水镇江水河村股份经济合作社,乡村休闲旅游业
李*松,2022,北京市门头沟区龙泉镇龙泉务村股份经济合作社,
齐*辉,2023,北京春禾盛辉农业科技发展有限公司,种植业
黄*华,2023,北京市门头沟区斋堂镇龙门口村股份经济合作社,种植业
晁*国,2022,北京市顺义区李桥镇后桥村经济合作社,其他
徐*,2024,北京市北务广峰养殖场,养殖业
李*,2024,北京市房山区韩村河镇崇义村经济合作社,乡村休闲旅游业
曾*明,2024,北京御地鑫红种植专业合作社,种植业
周*,2023,北京东升跃阳农业生态观光园,种植业
李*东,2023,北京市平谷区金海湖镇水峪村经济合作社,种植业
崔*,2024,北京森岚酒店管理有限公司,乡村休闲旅游业
李*,2022,北京广阳大地农业发展有限公司,种植业
杨*,2022,北京洪信利友商贸有限公司,种植业
张*强,2023,土木生态（北京）有限公司,种植业
黄*丰,2023,北京小丰农机服务专业合作社,农林牧渔服务业
张*男,2024,北京慈慧缘旅游管理有限公司,乡村休闲旅游业
张*华,2023,北京兴颜农业专业合作社,种植业
李*军,2023,北京花果峪生态农业有限公司,种植业
宋*新,2024,北京桃山月亮湖种养殖专业合作社,种植业
王*,2024,北京山前花荟种植专业合作社			,种植业
王*丽,2023,北京赵家场春华西甜瓜产销专业合作社			,种植业
王*平,2023,北京金旺果品产销专业合作社,种植业
张*凡,2023,北京永兴缘农产品产销专业合作社			,种植业
谭*,2023,北京龙潭湾生态休闲农业专业合作社,种植业
郑*云,2023,北京旺生源农业科技发展有限公司,种植业
刘*良,2023,北京神农之乡养蜂专业合作社,养殖业
李*,2024,泽熙恒业（北京）科技有限公司,种植业
高*义,2024,北京市门头沟区雁翅镇高台村股份经济合作社,种植业
孙*民,2023,北京怀柔宝山寻宝种植专业合作社,种植业
刘*龙,2024,北京中泽凯华农业科技有限公司,种植业
赫*芳,2024,北京卧佛山庄养殖有限公司,乡村休闲旅游业
李*峰,2022,北京永盛园农业种植中心,种植业
张*松,2023,北京寰宇优品商贸有限公司,电商平台
姚*,2023,北京崔村山霞种养殖基地,种植业
张*菊,2023,北京开心庄园农庄有限公司,乡村休闲旅游业
李*民,2023,北京悦民嘉誉种植专业合作社,种植业
田*宏,2024,北京梦璐田园科技发展有限公司,种植业
陈*龙,2022,北京兴农鼎力种植专业合作社,种植业
刘*丽,2023,北京市光成长旅游发展有限公司,乡村休闲旅游业
崔*军,2022,北京市北寨红杏销售中心,种植业
赵*宇,2024,北京新宇阳光农副产品产销专业合作社,零售业
韩*聪,2023,北京这里乡居文化旅游开发有限公司,乡村休闲旅游业
赵*利,2022,北京上英水云隐里民宿店,乡村休闲旅游业
杨*,2022,北京草根堂种养殖专业合作社,种植业
瓮*松,2024,北京奕如鸿天科技发展有限公司,种植业
杨*,2023,北京金惠农农业专业合作社,种植业
李*霞,2024,树霞家庭农场,种植业
史*娇,2024,北京众福之乡民俗旅游农民专业合作社联合社,乡村休闲旅游业
杨*,2024,北京辛庄营蔬菜果品专业合作社,种植业
毛*,2023,博宇空间(北京)电子商务有限公司,零售业
安*辉,2023,北京泰民同丰农业科技有限公司,农林牧渔服务业
郑*然,2024,北京南套里蔬菜种植专业合作社,种植业
王*军,2024,北京市房山区长沟镇东良各庄村经济合作社,种植业
张*,2023,北京鑫莱盛农业发展有限公司,种植业
王*,2024,北京庞各庄乐平农产品产销有限公司			,种植业
梁*娟,2024,北京锦绣环球文化旅游产业有限公司,乡村休闲旅游业
高*宁,2023,北京市房山区中鑫实业公司,种植业
刘*安,2023,北京东昇农业技术开发（集团）有限公司,加工业
贺*玲,2022,北京妫水人家农业发展有限公司旅游投资分公司,乡村休闲旅游业
来*,2022,北京海源通德水产养殖技术开发有限公司,农林牧渔服务业
王*丽,2024,北京小溪嘟嘟黑汉岭酒店管理有限公司,乡村休闲旅游业
孙*,2023,北京优帝生态农业专业合作社,养殖业
张*,2024,北京拴马庄种植专业合作社,种植业
雷*,2022,北京禧宝露文化中心,乡村休闲旅游业
何*玮,2022,北京善萱种植专业合作社,种植业
岳*云,2022,北京绿农兴云果品产销专业合作社,种植业
王*,2024,北京麦庄天育种植园			,种植业
王*林,2024,北京四座楼农场,种植业
邹*,2023,北京康依家生态农业专业合作社,零售业
王*雨,2023,北京顺沿特种蔬菜基地,种植业
于*鑫,2024,北京怡悦生态农业有限公司,种植业
佟*,2022,金果天地（北京）生态科技有限公司,种植业
高*民,2023,北京弘德圣地红色文化发展有限公司,其他
唐*轮,2024,北京市门头沟区斋堂镇沿河口村股份经济合作社,乡村休闲旅游业
代*刚,2024,北京平谷东辛撞股份经济合作社,种植业
王*军,2023,北京立军老诶种植专业合作社,种植业
王*,2024,北京张书安农业技术服务专业合作社,农林牧渔服务业
李*,2023,北京万德园农业科技发展有限公司,种植业
胡*泉,2023,北京五福兴农种植农民专业合作社联合社,种植业
李*明,2022,北京振明顺通果品种植专业合作社,种植业
张*东,2022,北京东瑞盛农机专业合作社,农林牧渔服务业
周*霞,2022,北京上方山穗晟农业种植专业合作社,乡村休闲旅游业
刘*虎,2024,北京首通田园农业发展有限公司,种植业
杨*,2023,北京面由心生实业文化创意公司,其他
袁*征,2023,北京立征春雨农业专业合作社			,种植业
郑*满,2023,北京月联兴种植专业合作社,养殖业
李*华,2024,北京圆梦缘农业专业合作社,种植业
王*智,2023,北京市通州区潞城镇南刘各庄村经济合作社,种植业
傅*超,2024,北京栖湖富强种养殖专业合作社,养殖业
贾*伟,2023,北京市门头沟区清水镇椴木沟村股份经济合作社,种植业
刘*娟,2022,北京四季阳坤农业科技发展有限公司,种植业
胡*君,2022,北京立赢中药材种植专业合作社,种植业
韩*,2024,北京凤河联盈农业专业合作社联合社			,种植业
王*,2024,北京白云瑞鹤文化传播有限公司,种植业
聂*生,2023,北京绿富农果蔬产销专业合作社,种植业
张*维,2023,北京市顺义区木林镇大韩庄村经济合作社,种植业
薛*,2023,北京华世奥业生态科技有限公司,种植业
崔*刚,2022,北京汇康农业专业合作社,种植业
何*豪,2024,北京众合聚养殖专业合作社,加工业
毛*玉,2023,北京密之蓝天农业科技有限公司			,电商平台
孙*敏,2022,北京渤海长城梅花种植专业合作社,乡村休闲旅游业
高*菊,2023,北京睿扬通源商贸有限公司,种植业
王*龙,2022,北京自龙有机果品产销合作社,种植业
张*静,2022,北京正蓝勤业民俗旅游专业合作社,种植业
卓*伟,2024,北京卓越大枣种植合作社,零售业
李*,2022,北京玫瑰谷香露有限公司,农业生产资料制造及销售
彭*国,2024,北京市浩凯种养殖专业合作社,种植业
于*,2024,北京超源农业合作社,种植业
张*疆,2022,北京黑山寨果品专业合作社,种植业
杨*根,2023,北京南山健源农业发展有限公司,种植业
唐*杰,2024,北京聚之源农业专业合作社,种植业
李*鹏,2022,北京老栗树聚源德农业科技发展有限公司,
肖*阳,2022,北京顺康益品农业有限公司,种植业
王*焜,2023,北京润丰生态农业有限责任公司,种植业
孙*海,2023,北京盛世果王农业科技发展有限公司,种植业
梁*,2024,西辛房村股份经济合作社,乡村休闲旅游业
李*忠,2024,北京市永乐店西槐庄村社区股份合作社,种植业
靳*,2024,北 京君信康中药种植专业合作社,种植业
张*阔,2022,北京军都山红苹果专业合作社,种植业
郝*建,2024,北京南山农业生态园有限公司,种植业
廉*翔,2022,北京吉祥八宝葫芦手工艺品产销专业合作社,乡村休闲旅游业
李*,2024,北京怀红旅游开发有限公司,乡村休闲旅游业
王*桢,2023,北京鑫玺富民哈省种植专业合作社,种植业
李*增,2023,北京富瑞盛通农业科技有限公司,种植业
李*勃,2024,北京京草生态科技有限公司,种植业
汪*,2024,北京市古韵流村食品科技有限公司,加工业
张*文,2024,北京东方硕果农业专业合作社,种植业
杨*,2024,北京良华秋实蔬菜种植专业合作社,种植业
张*,2023,北京荣涛豌豆产销专业合作社,种植业
杨*文,2022,北京绿养道农产品产销专业合作社,零售业
李*忠,2023,北京世博园林绿化有限公司,农业生产资料制造及销售
赵*军,2023,北京中顺种植专业合作社,种植业
朱*旭,2024,北京三合樱源种植专业合作社			,种植业
刘*莲,2023,北京万顺旺农机服务专业合作社,农林牧渔服务业
耿*焕,2022,北京大地群生养殖专业合作社,养殖业
康*,2024,擎创科技（北京）有限公司,乡村休闲旅游业
肖*,2023,北京市房山区青龙湖镇辛庄村经济合作社,种植业
宋*,2023,北京君合海峰农业科技有限公司,种植业
金*钰,2024,北京八道河古槐民俗旅游专业合作社,乡村休闲旅游业
崔*勇,2023,北京中兴万佳农业科技发展有限公司,种植业
杜*光,2023,北京采育喜山葡萄专业合作社			,种植业
张*成,2023,北京清水河谷民俗旅游专业合作社			,乡村休闲旅游业
王*媚,2024,北京慧农信息咨询有限公司,农林牧渔服务业
张*,2024,北京市大兴区长子营镇留民营村股份经济合作社			,种植业
陈*坤,2022,北京营坊新宇农业观光园,种植业
陶*,2023,北京禾硕嘉果品产销合作社,种植业
王*,2024,北京伊泰华府生态农庄有限公司,种植业
卢*阳,2022,北京芦庄鑫汇民民俗旅游专业合作社,乡村休闲旅游业
王*想,2024,北京王木营蔬菜种植专业合作社,种植业
孙*元,2023,北京物阜源丰农产品专业合作社			,种植业
张*,2024,北京密水农家农产品产销专业合作社,零售业
田*明,2023,北京老田农业科技发展有限公司,种植业
邬*芳,2023,北京食为先生态农业园有限责任公司,种植业
韩*存,2024,北京清水豆伊农产品产销专业合作社			,种植业
赵*苹,2024,北京小白河种植专业合作社,种植业
张*伟,2023,北京伟杰雨寒蔬菜种植专业合作社,种植业
张*春,2024,北京妙峰曹建国旅游观光园,乡村休闲旅游业
陈*松,2024,北京鑫桃源商贸有限公司,零售业
金*,2023,北京市鑫利农机服务专业合作社,农林牧渔服务业
王*宣,2023,北京达明种植专业合作社,种植业
马*刚,2022,北京隐北叶崖民俗旅游专业合作社,乡村休闲旅游业
徐*媛,2024,懿嘉文化传媒（北京）有限公司,其他
李*涛,2024,北京慧明果林业有限公司,种植业
安*,2023,北京红雁初心文化发展有限公司,乡村休闲旅游业
李*,2024,李震家庭农场,种植业
高*全,2024,北京汤河惠农农机专业合作社,加工业
陈*,2023,北京草帽人家农业科技有限公司,种植业
褚*峰,2024,北京艺园绿泽科技有限公司,种植业
郭*,2024,北京鑫逸农场旅游观光有限公司,种植业
许*霞,2023,北京丹墨园文化艺术发展有限公司,种植业
李*杰,2022,北京山水甜源养蜂专业合作社,养殖业
郑*燕,2024,北京奥仪凯源蔬菜种植专业合作社			,种植业
刘*萍,2023,北京市,种植业
黄*,2023,北京歇歇角岑舍农家院旅店,乡村休闲旅游业
梁*,2024,北京老友季乡村花园民宿,乡村休闲旅游业
杨*,2022,北京聚丰源果品产销专业合作社,零售业
张*雨,2023,北京天源渔港农庄有限公司,养殖业
靳*丽,2024,北京悦心生态种植专业合作社,种植业
王*河,2023,德吉五岳（北京）农业科技发展有限公司,其他
王*寻,2023,贾峪股份经济合作社,乡村休闲旅游业
田*,2023,北京神农天地农业科技有限公司,种植业
刘*阳,2024,北京市禧宝露农业专业合作社,种植业
陈*,2024,北京通农种业有限责任公司,种植业
张*超,2022,大隐于世（北京）酒店管理有限公司,乡村休闲旅游业
王*,2024,北京天河珍园种养殖专业合作社,种植业
