序号,单位名称,所属区,统一社会信用代码
97,北京四季慧谷园区管理有限公司,海淀区,91110108MABT163L6W
98,北京万上科创科技有限公司,丰台区,91110106MA0074H8X3
35,北京极东科技有限公司,昌平区,911101147567122945
80,北京中安恒鑫科技发展有限公司,丰台区,91110114MA0177B727
10,北京永同昌丰益科技孵化器有限公司,丰台区,91110106788974889P
56,北京北农企业管理有限公司,昌平区,91110114102641108Q
4,北京九州众创科技孵化器有限公司,大兴区,91110115MA001G460N
30,北京创业公社产业运营管理股份有限公司,石景山区,91110107067280246M
18,北京康华伟业孵化器有限责任公司,西城区,91110102738242663U
45,北京首科凯奇电气技术有限公司,昌平区,91110114762183333Q
3,北京东联同创科技孵化器有限公司,昌平区,91110114563640343H
36,北京金丰和科技企业孵化器有限责任公司,西城区,91110102746128481B
5,北京绿创环保集团科技孵化器有限公司,昌平区,91110114794056056H
59,北京丰科世纪科技孵化器有限公司,丰台区,911101065548184884
79,北京智慧长阳文化产业基地,房山区,91110111MA0029G127
14,紫荆花科技孵化器（北京）有限公司,海淀区,91110108327172242M
85,北京北仪创新真空技术有限责任公司,大兴区,91110115101177737Q
61,北京海高创新科技服务有限公司,顺义区,91110112MA01HC513N
43,北京赛欧科园科技孵化中心有限公司,丰台区,911101068022009600
92,北京汇金世达科技有限公司,朝阳区,91110105MA00G3328C
39,北京牡丹科技孵化器有限公司,海淀区,9111010868835915XH
52,北京中兴投文化有限公司,大兴区,91110107MA0052CW8T
22,北京设计之都发展有限公司,西城区,91110102306756521D
54,中关村意谷（北京）科技服务有限公司,海淀区,911101085938422456
90,北京弘祥嘉泰科技文化有限公司,海淀区,91110108MA018CC6XM
40,北京普天德胜科技孵化器有限公司,西城区,91110102745496565L
57,北京创新谷科技孵化器有限公司,房山区,91110111335462880M
50,北京中关村软件园孵化服务有限公司,海淀区,911101087334451469
41,北京启迪创业孵化器有限公司,海淀区,911101088020680157
21,北京牡丹创新科技孵化器有限公司,朝阳区,911101057481166528
24,北京望京科技孵化服务有限公司,朝阳区,91110105797566617Q
76,北京顺城盛世科技有限公司,顺义区,91110113MA01JMJW4N
49,北京中关村科学城科创服务有限公司,海淀区,91110108MA04FC3Q7Y
51,北京中关村生命科学园生物医药科技孵化有限公司,昌平区,91110114752611285L
67,北京九州通科技孵化器有限公司,丰台区,911101060592525016
