序号,单位名称,所属区,服务类别,统一社会信用代码
9,瀚海智业控股集团有限公司,东城区,创业辅导,91110101782529987W
127,北京易二零环境股份有限公司,海淀区,综合咨询,911101087501068753
148,北京大兴国际商业服务有限公司,大兴区,综合咨询,91110115MA01UWT114
139,北京软件和信息服务交易所有限公司,海淀区,综合咨询,9111010857524839XF
23,北京鸿测科技发展有限公司,经济技术开发区,技术创新,911103023483808929
17,北京汇智泰康医药技术有限公司,经济技术开发区,技术创新,91110302678753559T
48,电信科学技术仪表研究所有限公司,通州区,技术创新,91110112400000958E
134,中财大科技园（北京）有限公司,海淀区,综合咨询,9111010879674731XX
95,北京金山云网络技术有限公司,海淀区,数字化应用,9111010857121431XA
70,北京恩格威认证中心有限公司,朝阳区,技术创新,91110101802077755E
163,北京惠企易点通科技有限公司,大兴区,综合咨询,91110114MA01LYHA5G
37,北京苏试创博环境可靠性技术有限公司,昌平区,技术创新,91110114567449722P
7,北京顺然天成咨询有限公司,丰台区,创业辅导,91110106688381453J
99,北京京东世纪贸易有限公司,经济技术开发区,数字化应用,911103026605015136
143,北京文创板发展有限公司,东城区,综合咨询,91110101MA01X7PU1C
110,北京蛰龙科技集团有限公司,密云区,数字化应用,91110113MA01F1RH38
64,国检测试控股集团北京有限公司,通州区,技术创新,91110112055561374G
2,北创营（北京）科技孵化器有限公司,房山区,创业辅导,91110111089692209L
167,北京亦庄科技创新有限公司,经济技术开发区,综合咨询,91110302700244145L
169,北京知企科技有限公司,石景山,综合咨询,911101070556336731
112,好心情健康产业集团有限公司,海淀区,数字化应用,91110108MA004HDR9K
20,中关村芯园（北京）有限公司,海淀区,技术创新,91110108MA002KW9X5
123,北京国融工发投资管理有限公司,东城区,综合咨询,91110102101603185L
42,广电计量检测（北京）有限公司,经济技术开发区,技术创新,91110302774079218X
144,北京医药行业协会,丰台区,综合咨询,51110000500306508K
153,北京企业联合会,朝阳区,综合咨询,511100005003090206
22,北京烽火万家科技有限公司,海淀区,技术创新,911101080649193741
117,泛华建设集团有限公司,丰台区,数字化应用,91110000722604658T
113,中项永达科技（北京）有限公司,海淀区,数字化应用,911101080828366363
174,中金大通（北京）咨询有限公司,朝阳区,综合咨询,91110228MA008YC69B
172,亚太建设科技信息研究院有限公司,西城区,综合咨询,911100007109315204
114,北京科转化科技有限公司,丰台区,数字化应用,91110105MA01L18C4R
168,北京云桥智海科技服务有限公司,丰台区,综合咨询,91110106MA01TJX24E
54,北京奥达清环境检测有限公司,经济技术开发区,技术创新,91110102765522249H
67,中科星图股份有限公司,顺义区,技术创新,91110108784807231Q
49,国标（北京）检验认证有限公司,怀柔区,技术创新,911101163065639308
130,汉唐信通（北京）咨询股份有限公司,朝阳区,综合咨询,911101057889696760
41,钢研纳克检测技术股份有限公司,海淀区,技术创新,91110108802071804M
160,创元帮企业管理有限公司,房山区,综合咨询,91110111MA020EJX8U
156,北京一城龙域科技有限公司,昌平区,综合咨询,91110105MA01H98Y4Y
76,北京万龙精益科技有限公司,昌平区,技术创新,91110114590663348R
21,北京北大医疗创新谷科技有限公司,昌平区,技术创新,91110114059221414Y
141,北京盛世大唐科技发展中心,朝阳区,综合咨询,91110105760123273B
24,北京华大吉比爱生物技术有限公司,海淀区,技术创新,91110108600023388J
51,中国食品发酵工业研究院有限公司,朝阳区,技术创新,91110000400001598H
132,掘金企服（北京）科技有限公司,朝阳区,综合咨询,91110108MA00A2920B
158,北京金隅文化科技发展有限公司,海淀区,综合咨询,91110108MA003RM4XB
