企业名称,许可文书号,许可证号,许可日期,有效期至,许可范围,许可机关,数据获取时间
北京北斗兴业工程项目管理有限公司,0014230227003206,E211004030,2015-08-03,2023-12-31,/,北京市住房和城乡建设委员会,/
北京环亚恒信建设工程咨询有限公司,0014230607002757,E211002326,2016-11-22,2023-12-31,/,北京市住房和城乡建设委员会,/
北京市顺金盛建设工程监理有限责任公司,0014230601000591,E211007238,2020-07-14,2025-07-14,/,北京市住房和城乡建设委员会,/
北京百信今典工程项目管理有限公司,0014230423001088,E211006622,2020-06-28,2023-12-31,/,北京市住房和城乡建设委员会,/
航天规划设计集团有限公司,0014230627001567,E211028342,2019-01-24,2023-12-31,/,北京市住房和城乡建设委员会,/
航天规划设计集团有限公司,0014221024007801,E211028342,2019-01-24,2023-12-31,/,北京市住房和城乡建设委员会,/
北京国网安能电力工程监理有限公司,0014230226000246,E211031392,2018-06-04,2023-12-31,/,北京市住房和城乡建设委员会,/
北京磐石建设监理有限责任公司,0014230302002939,E211006210,2018-03-29,2023-12-31,/,北京市住房和城乡建设委员会,/
建银工程咨询有限责任公司,0014230105009555,E211026008,2020-06-17,2024-03-11,/,北京市住房和城乡建设委员会,/
建银工程咨询有限责任公司,0014230201001329,E211026008,2020-06-17,2024-03-11,/,北京市住房和城乡建设委员会,/
中安恒屹工程管理服务有限公司,0014230216007860,E211005898,2020-05-07,2024-10-15,/,北京市住房和城乡建设委员会,/
北京国网泽霖建设监理有限公司,0014230201006009,E211033602,2020-02-03,2025-02-02,/,北京市住房和城乡建设委员会,/
北京长峰新联工程管理有限责任公司,0014230302001769,E211033628,2020-02-19,2025-02-19,/,北京市住房和城乡建设委员会,/
北京中集协工程管理有限公司,0014230412005507,E111008863,2020-05-22,2025-01-06,/,北京市住房和城乡建设委员会,/
北京天瑞峰工程管理有限公司,0014230427005671,E211004870,2020-05-27,2025-05-27,/,北京市住房和城乡建设委员会,/
北京优奈特能源工程技术有限公司,0014230518006976,E211010834,2020-06-10,2024-08-08,/,北京市住房和城乡建设委员会,/
北京华宏工程咨询有限公司,0014230619008969,E211034032,2020-07-15,2025-07-14,/,北京市住房和城乡建设委员会,/
北京顺政通工程监理有限公司,0014230605000708,E211006938,2020-09-22,2025-09-21,/,北京市住房和城乡建设委员会,/
北京嘉泰瑞和工程管理有限公司,0014230403000311,E211034524,2020-12-01,2025-11-30,/,北京市住房和城乡建设委员会,/
北京吉星工程项目管理有限公司,0014230107001571,E111007329,2019-11-05,2024-11-05,/,北京市住房和城乡建设委员会,/
北京中立鸿建设工程咨询有限公司,0014230324006836,E211016328,2021-01-06,2026-01-05,/,北京市住房和城乡建设委员会,/
北京中立鸿建设工程咨询有限公司,0014230206008905,E211016328,2021-01-06,2026-01-05,/,北京市住房和城乡建设委员会,/
北京龙泓电力咨询有限公司,0014230619008565,E111029397,2021-08-19,2026-08-19,/,北京市住房和城乡建设委员会,/
北京吉星工程项目管理有限公司,0014230107001571,E211007326,2021-10-19,2026-10-18,/,北京市住房和城乡建设委员会,/
北京华阳兴创工程管理有限公司,0014230313005271,E211036528,2021-10-13,2026-10-12,/,北京市住房和城乡建设委员会,/
北京光华建设监理有限公司,0014230109001483,E211001622,2022-02-25,2027-02-24,/,北京市住房和城乡建设委员会,/
北京晨铁建设有限公司,0014230412002784,E211037772,2022-05-12,2027-05-11,/,北京市住房和城乡建设委员会,/
北京晨铁建设有限公司,0014230407002575,E211037772,2022-05-12,2027-05-11,/,北京市住房和城乡建设委员会,/
北京中景正信工程监理有限公司,0014230421007644,E211038014,2022-07-07,2027-07-06,/,北京市住房和城乡建设委员会,/
中咨公路工程监理咨询有限公司,0014230329007685,E111038189,2022-08-16,2024-05-16,/,北京市住房和城乡建设委员会,/
北京中奥景程工程管理有限公司,0014221227006737,E211038870,2023-01-03,2028-01-02,/,北京市住房和城乡建设委员会,/
名科(北京)科学技术有限公司,0014221214001503,E211038888,2023-01-05,2028-01-04,/,北京市住房和城乡建设委员会,/
北京优品精诚建设工程管理咨询有限公司,0014221206008084,E211038862,2023-01-03,2028-01-02,/,北京市住房和城乡建设委员会,/
中铁第五勘察设计院集团有限公司,0014230109003148,E111001755,2022-03-21,2027-03-21,/,北京市住房和城乡建设委员会,/
北京华安保信息技术有限公司,0014230519001680,E211037336,2022-11-08,2027-11-07,/,北京市住房和城乡建设委员会,/
北京华安保信息技术有限公司,0014230604000325,E211037336,2022-11-08,2027-11-07,/,北京市住房和城乡建设委员会,/
北京信永中和工程项目管理有限公司,0014230518005403,E211010132,2023-01-13,2028-01-12,/,北京市住房和城乡建设委员会,/
北京信永中和工程项目管理有限公司,0014221121000970,E211010132,2023-01-13,2028-01-12,/,北京市住房和城乡建设委员会,/
京晟项目管理有限公司,0014230217002866,E111038033,2023-02-10,2025-11-05,/,北京市住房和城乡建设委员会,/
北京磐石建设监理有限责任公司,0014230302002939,E111006213,2023-02-27,2024-05-16,/,北京市住房和城乡建设委员会,/
中安恒屹工程管理服务有限公司,0014230216007860,E111005891,2023-02-07,2024-07-18,/,北京市住房和城乡建设委员会,/
中熹慧雯(北京)规划设计有限公司,0014230428004806,E211039066,2023-03-15,2028-03-14,/,北京市住房和城乡建设委员会,/
中熹慧雯(北京)规划设计有限公司,0014230307002035,E211039066,2023-03-15,2028-03-14,/,北京市住房和城乡建设委员会,/
北京中建工程顾问有限公司,0014230612000357,E111006659,2023-02-27,2023-12-31,/,北京市住房和城乡建设委员会,/
北京中建工程顾问有限公司,0014230512003652,E111006659,2023-02-27,2023-12-31,/,北京市住房和城乡建设委员会,/
北京中建工程顾问有限公司,0014230313007509,E111006659,2023-02-27,2023-12-31,/,北京市住房和城乡建设委员会,/
北京中建工程顾问有限公司,0014230206000750,E111006659,2023-02-27,2023-12-31,/,北京市住房和城乡建设委员会,/
北京忆胜电力工程有限公司,0014230207006140,E211039058,2023-03-10,2028-03-09,/,北京市住房和城乡建设委员会,/
北京和润盛鑫工程监理有限公司,0014230110005579,E211038968,2023-02-07,2028-02-06,/,北京市住房和城乡建设委员会,/
北京鼎信建业工程管理有限公司,0014230110005221,E111005341,2023-01-06,2024-08-23,/,北京市住房和城乡建设委员会,/
北京鼎信建业工程管理有限公司,0014230118002013,E111005341,2023-01-06,2024-08-23,/,北京市住房和城乡建设委员会,/
北京中润百汇工程监理有限公司,0014230105011873,E211038976,2023-02-09,2028-02-08,/,北京市住房和城乡建设委员会,/
北京九源兴业工程监理有限公司,0014230116001942,E211038992,2023-02-24,2028-02-23,/,北京市住房和城乡建设委员会,/
北京盛利建邺建设工程有限公司,0014230223005877,E211039008,2023-02-24,2028-02-23,/,北京市住房和城乡建设委员会,/
中京远创(北京)工程监理有限公司,0014230313004685,E211039162,2023-03-28,2028-03-27,/,北京市住房和城乡建设委员会,/
北京锦仁德明项目管理有限公司,0014230325000842,E211039170,2023-03-29,2028-03-28,/,北京市住房和城乡建设委员会,/
北京兴业建城工程管理咨询有限责任公司,0014230306003787,E211039188,2023-03-29,2028-03-28,/,北京市住房和城乡建设委员会,/
中咨公路工程监理咨询有限公司,0014230329007685,E211038186,2023-03-30,2028-03-29,/,北京市住房和城乡建设委员会,/
北京昊天宏图工程建设监理有限公司,0014230128002003,E211039226,2023-03-31,2028-03-30,/,北京市住房和城乡建设委员会,/
北京中盛鼎业项目管理有限公司,0014230320006168,E211039242,2023-04-03,2028-04-02,/,北京市住房和城乡建设委员会,/
北京海建工程建设监理有限责任公司,0014230330008789,E111005199,2016-08-19,2023-12-31,/,北京市住房和城乡建设委员会,/
北京科立达技术服务有限公司,0014230113004931,E211038942,2023-02-01,2028-01-31,/,北京市住房和城乡建设委员会,/
中外天利(北京)工程管理咨询有限公司,0014230209002340,E111006125,2016-12-15,2023-12-31,/,北京市住房和城乡建设委员会,/
建银工程咨询有限责任公司,0014230105009555,E111026001,2022-11-21,2027-01-28,/,北京市住房和城乡建设委员会,/
建银工程咨询有限责任公司,0014230201001329,E111026001,2022-11-21,2027-01-28,/,北京市住房和城乡建设委员会,/
北京鑫驰源建设工程监理有限公司,0014230222001209,E111000761,2008-05-08,2023-12-31,/,北京市住房和城乡建设委员会,/
北京汉华建筑设计有限公司,0014230301004301,E111011275,2022-09-28,2027-09-28,/,北京市住房和城乡建设委员会,/
北京航青工程建设监理有限责任公司,0014230328000610,E111006117,2023-02-27,2024-07-03,/,北京市住房和城乡建设委员会,/
北京航青工程建设监理有限责任公司,0014230302005370,E111006117,2023-02-27,2024-07-03,/,北京市住房和城乡建设委员会,/
中科汇金管理咨询(北京)有限公司,0014230103014548,E211038984,2023-02-21,2028-02-20,/,北京市住房和城乡建设委员会,/
北京象科工程监理有限公司,0014230302005178,E211039074,2023-03-21,2028-03-20,/,北京市住房和城乡建设委员会,/
北京兴盛京都建筑工程有限公司,0014230329002882,E211039196,2023-03-30,2028-03-29,/,北京市住房和城乡建设委员会,/
北京山崎电气设备有限公司,0014230314005979,E211039082,2023-03-22,2028-03-21,/,北京市住房和城乡建设委员会,/
中科华工项目管理(北京)集团有限公司,0014230323003843,E211039120,2023-03-27,2028-03-26,/,北京市住房和城乡建设委员会,/
北京宏盈建邺建设工程有限公司,0014230323009557,E211039154,2023-03-27,2028-03-26,/,北京市住房和城乡建设委员会,/
北京建元达工程管理有限公司,0014230314008310,E211039090,2023-03-23,2028-03-22,/,北京市住房和城乡建设委员会,/
北京双鹏工程监理有限责任公司,0014230330002806,E111056713,2017-07-20,2023-12-31,/,北京市住房和城乡建设委员会,/
北京东方华太建设监理有限公司,0014230329010252,E111005921,2023-03-22,2024-08-23,/,北京市住房和城乡建设委员会,/
北京鸿谊工程咨询有限公司,0014230427001116,E211039348,2023-04-28,2028-04-27,/,北京市住房和城乡建设委员会,/
北京中宏华远工程项目管理有限公司,0014230419006718,E211039364,2023-05-05,2028-05-04,/,北京市住房和城乡建设委员会,/
北京天瑞峰工程管理有限公司,0014230427005671,E111004873,2020-12-30,2025-12-30,/,北京市住房和城乡建设委员会,/
北京正翔工程咨询有限公司,0014230329001959,E211039250,2023-04-12,2028-04-11,/,北京市住房和城乡建设委员会,/
北京国金汇德工程管理有限公司,0014230408000619,E211029692,2023-04-12,2028-04-11,/,北京市住房和城乡建设委员会,/
北京中建合信工程管理有限公司,0014230412002256,E211039292,2023-04-20,2028-04-19,/,北京市住房和城乡建设委员会,/
北京中建合信工程管理有限公司,0014230418009451,E211039292,2023-04-20,2028-04-19,/,北京市住房和城乡建设委员会,/
北京电研创智科技有限公司,0014230407005512,E211039306,2023-04-20,2028-04-19,/,北京市住房和城乡建设委员会,/
北京宏晟合工程管理有限公司,0014230413008129,E211039268,2023-04-17,2028-04-16,/,北京市住房和城乡建设委员会,/
北京亦庄久筑工程管理有限公司,0014230302001264,E211039284,2023-04-19,2028-04-18,/,北京市住房和城乡建设委员会,/
北京中尊鼎盛建筑工程有限公司,0014230420006844,E211039314,2023-04-23,2028-04-22,/,北京市住房和城乡建设委员会,/
北京利奥弘扬建筑工程有限公司,0014230420007441,E211039322,2023-04-26,2028-04-25,/,北京市住房和城乡建设委员会,/
北京盛世昊德工程项目管理有限公司,0014230505000842,E211039380,2023-05-12,2028-05-11,/,北京市住房和城乡建设委员会,/
北京凯泰园林绿化工程有限公司,0014230504002089,E211039372,2023-05-06,2028-05-05,/,北京市住房和城乡建设委员会,/
北京顺正通工程管理有限公司,0014230412003314,E211039276,2023-04-18,2028-04-17,/,北京市住房和城乡建设委员会,/
北京华厦工程项目管理有限责任公司,0014220217004092,E211006404,2023-05-25,2028-05-24,/,北京市住房和城乡建设委员会,/
北京高屋工程咨询监理有限公司,0014230608001713,E211007002,2023-06-09,2028-06-08,/,北京市住房和城乡建设委员会,/
北京自信工程管理有限公司,0014230602004833,E211039460,2023-06-09,2028-06-08,/,北京市住房和城乡建设委员会,/
北京蜜蜂兄弟科技有限公司,0014230529003964,E211039410,2023-06-05,2028-06-04,/,北京市住房和城乡建设委员会,/
北京鑫证科技有限公司,0014230531003440,E211039428,2023-06-05,2028-06-04,/,北京市住房和城乡建设委员会,/
联信丰创(北京)工程管理有限公司,0014230515006322,E211039444,2023-06-07,2028-06-06,/,北京市住房和城乡建设委员会,/
北京中电安质技术有限责任公司,0014230524006636,E211039452,2023-06-08,2028-06-07,/,北京市住房和城乡建设委员会,/
中国城市建设研究院有限公司,0014230531005105,E111000795,2021-06-30,2024-09-17,/,北京市住房和城乡建设委员会,/
北京中建工程顾问有限公司,0014230612000357,E211006656,2023-06-13,2028-06-12,/,北京市住房和城乡建设委员会,/
北京中建工程顾问有限公司,0014230512003652,E211006656,2023-06-13,2028-06-12,/,北京市住房和城乡建设委员会,/
北京中建工程顾问有限公司,0014230313007509,E211006656,2023-06-13,2028-06-12,/,北京市住房和城乡建设委员会,/
北京中建工程顾问有限公司,0014230206000750,E211006656,2023-06-13,2028-06-12,/,北京市住房和城乡建设委员会,/
京延工程咨询有限公司,0014230507000158,E211039398,2023-05-19,2028-05-18,/,北京市住房和城乡建设委员会,/
北京铁城建设监理有限责任公司,0014230511006463,E111005665,2023-04-27,2028-04-27,/,北京市住房和城乡建设委员会,/
北京中集协工程管理有限公司,0014230412005507,E211008860,2023-05-17,2028-05-16,/,北京市住房和城乡建设委员会,/
中汇宏盛(北京)建筑工程有限公司,0014230519006595,E211039402,2023-05-22,2028-05-21,/,北京市住房和城乡建设委员会,/
北京优奈特能源工程技术有限公司,0014230518006976,EW111010837,2017-05-05,2023-12-31,/,北京市住房和城乡建设委员会,/
北京信永中和工程项目管理有限公司,0014230518005403,E111010135,2023-05-15,2025-03-16,/,北京市住房和城乡建设委员会,/
北京信永中和工程项目管理有限公司,0014221121000970,E111010135,2023-05-15,2025-03-16,/,北京市住房和城乡建设委员会,/
北京鑫潮建设工程有限公司,0014230618000656,E211039532,2023-06-27,2028-06-26,/,北京市住房和城乡建设委员会,/
北京北粤工程造价咨询有限公司,0014230625001846,E211039540,2023-06-28,2028-06-27,/,北京市住房和城乡建设委员会,/
中企华建友工程管理有限公司,0014230613003250,E132000248,2023-04-27,2028-04-27,/,北京市住房和城乡建设委员会,/
中企华建友工程管理有限公司,0014230516002947,E132000248,2023-04-27,2028-04-27,/,北京市住房和城乡建设委员会,/
北京金都园林绿化有限责任公司,0014230609008058,E111016977,2020-12-30,2025-12-30,/,北京市住房和城乡建设委员会,/
北京海策工程咨询有限公司,0014230606006738,E211039494,2023-06-15,2028-06-14,/,北京市住房和城乡建设委员会,/
环通达瑞(北京)管理咨询有限公司,0014230620010649,E211039516,2023-06-25,2028-06-24,/,北京市住房和城乡建设委员会,/
北京中铁诚业工程建设监理有限公司,0014230616001723,E111007055,2019-12-04,2024-09-23,/,北京市住房和城乡建设委员会,/
北京迈恩工程管理有限公司,0014230620010111,E211039524,2023-06-26,2028-06-25,/,北京市住房和城乡建设委员会,/
北京龙泓电力咨询有限公司,0014230619008565,E211029394,2023-06-26,2028-06-25,/,北京市住房和城乡建设委员会,/
航天规划设计集团有限公司,0014230627001567,E111028345,2022-07-07,2024-08-01,/,北京市住房和城乡建设委员会,/
航天规划设计集团有限公司,0014221024007801,E111028345,2022-07-07,2024-08-01,/,北京市住房和城乡建设委员会,/
北京知信工程咨询有限公司,0014220905002207,E211006874,2023-06-30,2028-06-29,/,北京市住房和城乡建设委员会,/
北京博地天成工程管理有限公司,0014230612002359,E211039508,2023-06-16,2028-06-15,/,北京市住房和城乡建设委员会,/
北京华宏工程咨询有限公司,0014230619008969,E111034035,2023-06-07,2028-06-07,/,北京市住房和城乡建设委员会,/
