房山区国家高新技术企业名单,Unnamed: 1,Unnamed: 2,Unnamed: 3
39,北京风笛指媒信息科技有限公司,GR202111000818,电子信息
40,北京诸葛云游科技有限公司,GR202111001873,电子信息
41,北京智驿信息技术有限责任公司,GR202111002554,电子信息
42,北京辰与逸信息科技有限公司,GR202111001253,电子信息
43,北京触点互动信息技术有限公司,GR202111001855,电子信息
44,北京蓝诺畅想科技有限公司,GR202111001508,电子信息
45,北京元兴恒业科技有限公司,GR202111001180,电子信息
46,北京车慧达科技有限公司,GR202111001068,电子信息
47,北京尼诺时空文化科技有限公司,GR202111002768,电子信息
48,北京新水光谷科技有限公司,GR202111002301,电子信息
49,中云智慧（北京）科技有限公司,GR202111002916,电子信息
50,北京中海瑞飞科技有限公司,GR202111002526,电子信息
51,北京瑞鹏天乘信息技术有限公司,GR202111001628,电子信息
52,北京今朝在线科技有限公司,GR202111000963,电子信息
53,北京创云行科技有限公司,GR202111001779,高技术服务
54,北京智慧长阳文化产业基地,GR202111000825,高技术服务
55,北京营安科技有限公司,GR202111000869,高技术服务
56,北京中设泛华工程咨询有限公司,GR202111000956,高技术服务
57,北京松田程科技有限公司,GR202111000983,高技术服务
58,长华体育设施工程（北京）有限公司,GR202111000919,高技术服务
59,北京德尔塔伽科技有限公司,GR202111001968,高技术服务
60,北京三立慧评化妆品科技有限公司,GR202111002154,高技术服务
61,北京北达智汇微构分析测试中心有限公司,GR202111002836,高技术服务
62,鸿蒙天禄（北京）科技有限责任公司,GR202111001014,高技术服务
63,北京创元天成科技发展有限公司,GR202111001837,高技术服务
64,北京爱普天天网络科技有限责任公司,GR202111002930,高技术服务
65,北京溢润伟业软件科技有限公司,GR202111001163,高技术服务
66,云岚空间（北京）科技有限公司,GR202111001219,高技术服务
67,中铁十四局集团房桥有限公司,GR202111002264,新能源与节能
68,北京昊屹畜牧有限公司,GR202111001264,生物与新医药
69,北京远大九和药业有限公司,GR202111000886,生物与新医药
70,好得康（北京）保健食品有限公司,GR202111001674,生物与新医药
71,北京凯佰特科技股份有限公司,GR202111002886,生物与新医药
72,北京航天农业生物科技有限公司,GR202111003015,生物与新医药
73,北京遥领医疗科技有限公司,GR202111001287,生物与新医药
74,北京九州一轨环境科技股份有限公司,GR202111002453,资源与环境
75,北京中科瑞升资源环境技术有限公司,GR202111001165,资源与环境
76,北京京林园林集团有限公司,GR202111001108,资源与环境
77,北京晋萃环保科技有限责任公司,GR202111001503,资源与环境
78,北京燕山翔宇环保工程技术有限公司,GR202111002731,资源与环境
79,北京生态岛科技有限责任公司,GR202111002823,资源与环境
80,北京日盛袜业有限公司,GR202111004684,新材料
81,北京乐文科技发展有限公司,GR202111005022,新材料
82,北京中建瑞特新材料股份有限公司,GR202111004719,新材料
83,中化学科学技术研究有限公司,GR202111003631,新材料
84,北京吉海川科技发展有限公司,GR202111004271,新材料
85,北京八达电缆管有限公司,GR202111004853,新材料
86,北京瀚文智远信息技术有限公司,GR202111005005,电子信息
87,北京中科晟宇科技有限公司,GR202111003224,电子信息
88,北京正成科技有限公司,GR202111004745,电子信息
89,北京唯触技术有限公司,GR202111004901,电子信息
90,北京扔了么网络科技有限公司,GR202111004109,电子信息
91,北京普安资本管理有限公司,GR202111004114,电子信息
92,北京网众共创科技有限公司,GR202111004596,电子信息
93,北京酷数智能科技有限公司,GR202111003193,电子信息
94,北京视运盛业科技有限公司,GR202111003708,电子信息
95,北京部品科技有限公司,GR202111004924,电子信息
96,北京可利邦信息技术股份有限公司,GR202111004276,电子信息
97,北京思源智通科技有限责任公司,GR202111004117,电子信息
98,北京巨臻实创文化科技有限公司,GR202111003434,电子信息
99,北京奕杭嘉业科技有限公司,GR202111004842,电子信息
100,北京信思贤科技有限公司,GR202111003445,电子信息
101,北京北亚宸星科技有限公司,GR202111005071,电子信息
102,北京任之信息技术有限公司,GR202111003891,电子信息
103,北京技捷信通科技有限公司,GR202111004031,电子信息
104,北京花生云仓科技有限公司,GR202111004293,电子信息
105,北京华体创研工程设计咨询有限公司,GR202111003137,高技术服务
106,北京百观科技有限公司,GR202111004250,高技术服务
107,北京巨臻互联网科技有限公司,GR202111003335,高技术服务
108,北京中油东方诚信认证咨询有限公司,GR202111003754,高技术服务
109,银顿建设（北京）有限公司,GR202111003134,高技术服务
110,北京航灜精诚检测技术有限公司,GR202111004041,高技术服务
111,易程智行（北京）科技有限公司,GR202111003127,高技术服务
112,北京君通惠森通信技术有限公司,GR202111004064,高技术服务
113,北京金鑫雅居工程技术有限公司,GR202111004572,高技术服务
114,北京世安莱博实验室科技有限公司,GR202111004284,高技术服务
115,北京睿优铭管理咨询有限公司,GR202111005009,高技术服务
116,北京新中元测控仪器有限公司,GR202111005220,高技术服务
117,兴农邦本（北京）工程设计股份有限公司,GR202111005057,高技术服务
118,三维六度（北京）科技股份有限公司,GR202111005061,高技术服务
119,北京烽火力胜展览展示有限公司,GR202111004867,高技术服务
120,北京谷火平文化传播有限公司,GR202111004490,高技术服务
121,北京鑫洋水产高新技术有限公司,GR202111004903,生物与新医药
122,北京首诚农业生物科技有限公司,GR202111003529,生物与新医药
123,北京协尔鑫生物资源研究所有限责任公司,GR202111005116,生物与新医药
124,北京蓉山食品有限公司,GR202111004377,生物与新医药
125,泽普联合科技（北京）有限公司,GR202111003426,生物与新医药
126,北京华科拓普电子仪器有限公司,GR202111004258,先进制造与自动化
127,北京市航天兴华波纹管制造有限公司,GR202111003588,先进制造与自动化
128,北京航天奥祥通风科技股份有限公司,GR202111003185,先进制造与自动化
129,北京五隆兴科技发展有限公司,GR202111004093,先进制造与自动化
130,北京君光伟业科技有限公司,GR202111004801,先进制造与自动化
131,北京海斯特科技有限公司,GR202111004655,先进制造与自动化
132,北京兴业建达电气有限公司,GR202111003837,先进制造与自动化
133,北京明誉百佳科技有限公司,GR202111003927,先进制造与自动化
134,中煤北京煤矿机械有限责任公司,GR202111003214,先进制造与自动化
135,北京嘉德奥通智能科技有限公司,GR202111004454,先进制造与自动化
136,驭势科技（北京）有限公司,GR202111003351,先进制造与自动化
137,北京中友伟皓科技发展有限公司,GR202111003671,先进制造与自动化
138,华太圣阳（北京）新能源有限公司,GR202111004772,新能源与节能
139,北京卫蓝新能源科技有限公司,GR202111004892,新能源与节能
140,北京天韵太阳科技发展有限公司,GR202111003873,新能源与节能
141,北京国蓝环保科技有限公司,GR202111004275,资源与环境
142,北京中设水处理有限公司,GR202111003554,资源与环境
143,北京康洁源环保科技有限公司,GR202111003413,资源与环境
144,北京达源环保科技有限公司,GR202111004256,资源与环境
145,北京科丽力尔净水科技有限公司,GR202111005120,资源与环境
146,北京燕山时代仪表有限公司,GR202111004519,资源与环境
147,北京碧圣联合水务有限公司,GR202111004244,资源与环境
148,中城园林工程有限公司,GR202111004700,资源与环境
149,北京迭代科技有限公司,GR202111006964,先进制造与自动化
150,北京尚信安信息技术有限公司,GR202111006344,电子信息
151,北京中科赛天科技有限公司,GR202111007674,电子信息
152,北京军威义建设工程有限公司,GR202111007511,高技术服务
153,北京华典苏艺建设工程有限公司,GR202111007758,高技术服务
154,北京通泰恒盛科技有限责任公司,GR202111006022,高技术服务
155,北京瑞绮宏业机电设备有限公司,GR202111005680,新能源与节能
156,北京兴科绿源绿化工程有限公司,GR202111005884,新能源与节能
157,北京京帝源机电工程技术有限公司,GR202111007624,新能源与节能
158,北京启航包装制品有限公司,GR202111007755,新材料
159,北京海源通航科技有限公司,GR202111008136,新材料
160,北京普惠三航科技有限公司,GR202111006972,航空航天
161,北京特普丽装饰装帧材料有限公司,GR202111005794,新材料
162,北京飞航吉达航空科技有限公司,GR202111006072,新材料
163,北京飞涂科技有限公司,GR202111007817,新材料
164,北京云基科技有限公司,GR202111005778,新材料
165,北京燕联化工技术有限公司,GR202111007287,新材料
166,北京德润通农业科技发展有限公司,GR202111007213,生物与新医药
167,北京窦店恒升畜牧养殖中心,GR202111007621,生物与新医药
168,金西盟（北京）仪器有限公司,GR202111007128,生物与新医药
169,北京四方中药饮片有限公司,GR202111007677,生物与新医药
170,北京工信节联国际技术有限公司,GR202111007186,生物与新医药
171,北京莱恩堡葡萄酒业有限公司,GR202111007490,生物与新医药
172,北京神鹿腾飞医疗科技有限公司,GR202111007781,生物与新医药
173,北京盈科瑞生物医药研究有限公司,GR202111008321,生物与新医药
174,北京图灵微创医疗科技有限公司,GR202111005480,生物与新医药
175,北京思源生态科技有限公司,GR202111006765,生物与新医药
176,北京大农丰牧药业有限公司,GR202111006837,生物与新医药
177,北京佳诚英杰科技有限公司,GR202111008143,生物与新医药
178,北京南艾科技有限公司,GR202111008146,生物与新医药
179,北京迈石科创监测技术有限公司,GR202111005437,先进制造与自动化
180,北京烽远网络科技有限公司,GR202111007368,先进制造与自动化
181,北京帕尔普线路器材有限公司,GR202111007133,先进制造与自动化
182,北京万恒博创科技有限公司,GR202111006195,先进制造与自动化
183,北京尘逸物联网科技有限公司,GR202111005333,先进制造与自动化
184,北京丰得源水务科技有限公司,GR202111007498,资源与环境
185,北京新水京威水务工程有限公司,GR202111007809,资源与环境
186,中铁装配式建筑股份有限公司,GR202111006362,资源与环境
187,北京市兴南园林绿化有限责任公司,GR202111005427,资源与环境
188,北京仁源生态工程技术有限公司,GR202111006255,资源与环境
189,北京众盈蓝天科技有限公司,GR202111007093,资源与环境
190,北京燕山和成节能环保工程技术有限公司,GR202111005612,资源与环境
191,北京通航启能电子科技有限公司,GR202111007056,电子信息
192,北京颐和海纳科技有限公司,GR202111006692,电子信息
193,北京艺海光音科技有限公司,GR202111007381,电子信息
194,北京欧百拓信息科技发展有限公司,GR202111006990,电子信息
195,北京御恒明科技有限公司,GR202111007703,电子信息
196,北京航英科技有限公司,GR202111008003,电子信息
197,北京中芯控科技有限公司,GR202111006973,电子信息
198,多洛塔（北京）安全技术有限公司,GR202111005573,电子信息
199,北京古藤云计算有限公司,GR202111006842,电子信息
200,北京航达青云科技有限公司,GR202111006705,电子信息
201,北京佳付通网络科技有限公司,GR202111008073,电子信息
202,北京联农在线信息技术有限公司,GR202111008401,电子信息
203,北京众足科技有限公司,GR202111005863,电子信息
204,北京信宜嘉科技有限公司,GR202111005476,电子信息
205,北京思卓博瑞科技有限公司,GR202111006055,电子信息
206,北京启恒星科技有限公司,GR202111007452,电子信息
207,北京五环伟业科技有限公司,GR202111008332,电子信息
208,北京美兰德信息咨询有限公司,GR202111007355,电子信息
209,北京满井智信科技发展有限责任公司,GR202111008345,电子信息
210,北京书岭数字科技发展有限公司,GR202111005830,电子信息
211,北京杉地科技有限公司,GR202111007437,电子信息
212,仁心善源（北京）科技有限公司,GR202111005565,电子信息
213,北京昊欣洁业科技有限责任公司,GR202111006698,高技术服务
214,北京恒晟伟业科技有限公司,GR202111007884,高技术服务
215,北京瑞索咨询股份有限公司,GR202111007299,高技术服务
216,北京飞燕石化环保科技发展有限公司,GR202111006142,高技术服务
217,北京飞凌佳杰电子科技有限公司,GR202111008016,高技术服务
218,北京中燕建设工程有限公司,GR202111006653,高技术服务
219,科普创客（北京）科技有限公司,GR202111005679,高技术服务
220,北京科卓同创信息技术有限公司,GR202111005548,高技术服务
221,北京青丘医疗科技有限责任公司,GR202111008436,高技术服务
222,大诚嘉禾（北京）信息咨询服务有限公司,GR202111008412,高技术服务
223,北京中德启锐安全设备有限公司,GR202111007358,高技术服务
224,中岩房勘（北京）建设工程有限公司,GR202111007070,高技术服务
225,北京华艺智汇科技有限公司,GR202111005652,高技术服务
226,北京耘数科技有限责任公司,GR202111006849,高技术服务
227,北京摩迅筑路机械有限公司,GR202111007191,高技术服务
228,北京九六九文化科技有限公司,GR202111006385,高技术服务
229,北京鑫钰兴业工程服务有限公司,GR202111005304,高技术服务
230,北京月儿湾文化发展有限公司,GR202111005231,高技术服务
231,北京优博林机械设备有限公司,GR202111008135,先进制造与自动化
232,北京市昆仑线缆制造有限公司,GR202111007661,先进制造与自动化
233,碧圣开元仪表科技（北京）有限公司,GR202111005888,先进制造与自动化
234,北京中资燕京汽车有限公司,GR202111005815,先进制造与自动化
235,北京北继德泰电气成套有限公司,GR202111007204,先进制造与自动化
236,北京斯凯瑞达电气有限公司,GR202111006770,先进制造与自动化
237,北京瑞欧威科技有限公司,GR202111006466,先进制造与自动化
238,北京文源同创科技有限公司,GR202111006406,先进制造与自动化
239,北京燕山华龙建筑工程有限公司,GR202111007824,新能源与节能
240,京开建设集团有限公司,GR202111007278,新能源与节能
241,北京新发展教育科技集团有限公司,GR202111005513,电子信息
242,北京骞途科技有限公司,GR202111007472,电子信息
243,北京智尚轩科技有限公司,GR202111007039,高技术服务
244,网联互通（北京）电子商务有限责任公司,GR202111006098,高技术服务
245,北京一站一街网络科技有限公司,GR202111007799,高技术服务
246,北京凯达恒业农业技术开发有限公司,GR202111008123,生物与新医药
247,北京百利康生化有限公司,GR202111005945,生物与新医药
248,北京恒年伟业矿物纤维加工有限公司,GR202111005919,新材料
249,北京京城久筑节能科技有限公司,GR202111005425,新材料
250,北京海若科技有限公司,GR202111006065,先进制造与自动化
251,康莱德国际环保植被（北京）有限公司,GR202111006305,资源与环境
252,北京中矿科技集团有限公司,GR202111007693,资源与环境
253,北京大石河报废汽车解体有限公司,GR202111007990,资源与环境
254,北京凯徕源环保科技有限公司,GR202111008243,资源与环境
255,北京环宇京辉京城气体科技有限公司,GR202111006282,新能源与节能
256,新兴华北（北京）建设工程有限公司,GR202111006623,新能源与节能
257,北京宇能建设工程有限公司,GR202111007733,新能源与节能
258,北京首位幕墙装饰工程有限公司,GR202111006174,新能源与节能
259,北京冰力科技有限公司,GR202111007242,新能源与节能
260,北京晟翼佳工程技术有限公司,GR202111007004,新能源与节能
261,北京英洋凌悦科技有限公司,GR202111008409,新能源与节能
262,北京云悦共创网络技术有限公司,GR202111003061,电子信息
263,北京八叉树科技有限公司,GR202111003055,电子信息
264,北京安信信通科技有限公司,GR202111008458,电子信息
265,北京晟元宇讯科技有限公司,GR202111008504,电子信息
266,北京智博高科生物技术有限公司,GS202111000051,生物与新医药
267,北京泰格科信生物科技有限公司,GS202111000074,生物与新医药
268,北京燕华工程建设有限公司,GR202111008579,高技术服务
269,北京鼎好鑫源科技有限公司,GR202211000750,电子信息
270,北京宇川科技有限公司,GR202211000763,电子信息
271,北京华益盛世科技有限公司,GR202211000068,电子信息
272,北京国信融信科技产业有限公司,GR202211001057,电子信息
273,北京四海图宇科技有限公司,GR202211001106,电子信息
274,北京国能信达能源工程技术有限公司,GR202211000337,电子信息
275,北京泽邦科技发展有限公司,GR202211000662,电子信息
276,北京乾源创世技术有限公司,GR202211000212,电子信息
277,北京升源聚业科技有限公司,GR202211000398,电子信息
278,塑贸网互联网信息服务有限公司,GR202211000305,电子信息
279,北京锋泰科技有限公司,GR202211000442,电子信息
280,北京恒宇纪元科技有限公司,GR202211001133,电子信息
281,北京腾蓝智能科技有限公司,GR202211001007,高技术服务
282,北京华宇暖家供暖设备有限公司,GR202211000261,高技术服务
283,东易日盛家居装饰集团股份有限公司,GR202211000808,高技术服务
284,北京尽调云科技有限公司,GR202211000501,高技术服务
285,北京云帆沧海安全防范技术有限公司,GR202211000304,高技术服务
286,诺信恒业（北京）科技有限公司,GR202211000922,高技术服务
287,北京心智悦科技有限公司,GR202211000511,高技术服务
288,北京秋设科技有限责任公司,GR202211000390,高技术服务
289,中控智网（北京）能源技术有限公司,GR202211000189,高技术服务
290,北京京鑫绿石干混砂浆有限公司,GR202211000951,新材料
291,北京京都大成新材料科技有限公司,GR202211001040,新材料
292,北京永华晴天科技发展有限公司,GR202211001108,新材料
293,北京燕开新源科技有限公司,GR202211000559,新能源与节能
294,北京点阵智能科技有限公司,GR202211000882,新能源与节能
295,京源中科科技股份有限公司,GR202211000840,先进制造与自动化
296,慧安金科（北京）科技有限公司,GR202211001267,电子信息
297,北京滔迈国际电子技术有限公司,GR202211001724,电子信息
298,北京中燕信息技术有限公司,GR202211002331,电子信息
299,北京虎符科技股份有限公司,GR202211001861,电子信息
300,台衡中科（北京）信息系统有限公司,GR202211002337,电子信息
301,北京均赢智慧科技有限公司,GR202211002132,电子信息
302,北京捷升通达信息技术有限公司,GR202211002348,电子信息
303,北京铁咨信息技术有限公司,GR202211002197,电子信息
304,北京阿尔法视觉科技有限公司,GR202211001815,电子信息
305,金安巨臻（北京）科技有限公司,GR202211001517,电子信息
306,北京众力互创科技有限公司,GR202211001851,电子信息
307,北京摩弈信息科技有限公司,GR202211001988,电子信息
308,易华路集成科技有限责任公司,GR202211002507,电子信息
309,北京顺为互联科技有限公司,GR202211001837,电子信息
310,北京天予运通科技有限公司,GR202211002607,高技术服务
311,北京云杉智达科技有限公司,GR202211001211,高技术服务
312,北京联络加科技有限公司,GR202211001776,高技术服务
313,北京中科中电电力工程管理有限公司,GR202211002685,高技术服务
314,北京华益瑞科技有限公司,GR202211002677,高技术服务
315,北京龙宇众科技发展有限公司,GR202211001903,高技术服务
316,北京住总第四开发建设有限公司,GR202211001476,高技术服务
317,北京恭科光电科技有限公司,GR202211002661,高技术服务
318,北京富瑞勒斯科技开发有限公司,GR202211001345,高技术服务
319,北京航天至信检测技术有限公司,GR202211001716,高技术服务
320,北京镨锐机械设备有限公司,GR202211002089,高技术服务
321,北京永峻科技有限公司,GR202211001391,高技术服务
322,北京中科纳泰生物科技有限公司,GR202211002647,生物与新医药
323,凯卓科技（北京）有限公司,GR202211002606,生物与新医药
324,北京中成康富科技股份有限公司,GR202211002692,生物与新医药
325,北京众吉联信息科技有限公司,GR202211002929,生物与新医药
326,北京丰泽晟华农业科技发展有限公司,GR202211003818,生物与新医药
327,北京走岂清酿科技有限公司,GR202211001430,生物与新医药
328,北京美康堂医药科技有限公司,GR202211003842,生物与新医药
329,君联益能（北京）科技有限公司,GR202211002217,先进制造与自动化
330,北京智拓博科技有限公司,GR202211001203,先进制造与自动化
331,北京上德时代建设工程有限公司,GR202211002669,先进制造与自动化
332,中琛建设工程有限公司,GR202211001753,先进制造与自动化
333,北京知形科技有限公司,GR202211002118,先进制造与自动化
334,深速达（北京）科技有限公司,GR202211002021,先进制造与自动化
335,北京军威世纪野战装备科技有限公司,GR202211002114,先进制造与自动化
336,北京钮因上晟科技开发有限公司,GR202211002722,先进制造与自动化
337,北京中仪宇盛科技有限公司,GR202211002629,先进制造与自动化
338,北京金隅水泥节能科技有限公司,GR202211002725,新材料
339,北京旭锐科技有限公司,GR202211002559,新材料
340,北京易联结科技发展有限公司,GR202211001533,新材料
341,中国石化润滑油北京有限责任公司,GR202211004409,新材料
342,北京奥克森节能环保科技有限公司,GR202211002855,新材料
343,北京智天新航科技有限公司,GR202211002605,新材料
344,北京博君智能科技有限公司,GR202211001820,新能源与节能
345,北京华电力拓能源科技有限公司,GR202211002591,资源与环境
346,北京誉天利化工有限公司,GR202211002569,资源与环境
347,北京中丹节能环保科技有限公司,GR202211001973,资源与环境
348,北京金甲壳虫环境科技股份有限公司,GR202211001572,资源与环境
349,华航环境发展有限公司,GR202211002059,资源与环境
350,绿源通环保科技（北京）有限公司,GR202211002252,资源与环境
351,北京燕山威立雅水务有限责任公司,GR202211002575,资源与环境
352,北京中科绿电节能环保工程有限责任公司,GR202211001652,资源与环境
353,北京净河佳业环保科技有限公司,GR202211001359,资源与环境
354,北京新远时代环境技术有限公司,GR202211001307,资源与环境
355,北京智汇盈科信息工程有限公司,GR202211003045,电子信息
356,北京翊云科技有限公司,GR202211004454,电子信息
357,北京众晖同创科技有限公司,GR202211003119,电子信息
358,北京浩鸿达科技发展股份公司,GR202211003185,电子信息
359,北京时代科华科技有限公司,GR202211003747,电子信息
360,安途保（北京）信息技术有限公司,GR202211003419,电子信息
361,北京信银智达科技有限公司,GR202211003423,电子信息
362,北京亿柯科技服务有限公司,GR202211004890,高技术服务
363,北京科易多闻工程技术有限公司,GR202211004740,高技术服务
364,北京乐文石油化工研究院,GR202211004932,高技术服务
365,北京星诺科技有限公司,GR202211004781,高技术服务
366,北京启龙图教育科技有限公司,GR202211003017,高技术服务
367,北京渡众机器人科技有限公司,GR202211003441,先进制造与自动化
368,北京拓疆者智能科技有限公司,GR202211003276,先进制造与自动化
369,北京晋太机械设备有限公司,GR202211004757,先进制造与自动化
370,中巨建设有限公司,GR202211002994,新能源与节能
371,北京江山恒远科技有限公司,GR202211005069,资源与环境
372,北京艾森泰科科技有限责任公司,GR202211004885,资源与环境
373,高路易航（北京）科技有限公司,GR202211003918,电子信息
374,北京青矩互联科技有限公司,GR202211004957,电子信息
375,北京意中意教育装备有限公司,GR202211004325,电子信息
376,达闼机器人（北京）有限公司,GR202211003820,电子信息
377,北京能科瑞元数字技术有限公司,GR202211004092,电子信息
378,北京电联港电器设备有限责任公司,GR202211004938,电子信息
379,北京国信融通科技有限公司,GR202211004219,电子信息
380,智慧云显（北京）科技有限公司,GR202211003294,电子信息
381,精诚工坊电子集成技术（北京）有限公司,GR202211004642,电子信息
382,中广宽带网络有限公司,GR202211004552,电子信息
383,国华鹏源股份有限公司,GR202211004660,电子信息
384,北京电科智擎科技有限公司,GR202211004752,电子信息
385,北京线点科技有限公司,GR202211003071,电子信息
386,北京小马科技有限公司,GR202211004209,电子信息
387,北京凌欧科技有限公司,GR202211005039,电子信息
388,北京湜沅科技有限公司,GR202211004930,电子信息
389,中安华智（北京）工程技术有限公司,GR202211003867,电子信息
390,北京申朴信息技术有限公司,GR202211004414,电子信息
391,北京弘毅重远科技有限公司,GR202211003094,电子信息
392,北京百赛盛科技有限公司,GR202211003202,高技术服务
393,北京仁和惠康科技有限公司,GR202211003928,高技术服务
394,北京中科蓝图科技有限公司,GR202211004653,高技术服务
395,北京智慧科林新能源科技有限公司,GR202211003476,高技术服务
396,北京奥祥智造科技有限公司,GR202211004575,高技术服务
397,北京智仁通和岩土科技有限公司,GR202211004621,高技术服务
398,北京云科凯创信息技术有限公司,GR202211003010,高技术服务
399,北京鼎尖世纪广通物流有限公司,GR202211003383,高技术服务
400,北京丰和嘉业电力工程设计有限公司,GR202211004630,高技术服务
401,网博雅乐（北京）文化传媒有限公司,GR202211003599,高技术服务
402,北京一建工程有限公司,GR202211003308,高技术服务
403,北京北重中顺汽车技术检测有限公司,GR202211003746,高技术服务
404,北京兴源联合医药科技有限公司,GR202211004707,高技术服务
405,北京方象科技有限公司,GR202211003065,高技术服务
406,北京联能利达科技有限公司,GR202211003084,高技术服务
407,北京乐居旅游文化发展有限公司,GR202211003292,高技术服务
408,北京元鲜记食品科技有限公司,GR202211005037,生物与新医药
409,北京神鹿医疗器械有限公司,GR202211003945,生物与新医药
410,北京怡诺科技有限公司,GR202211004005,生物与新医药
411,北京晨淼科技有限公司,GR202211004396,先进制造与自动化
412,北京枢享科技有限公司,GR202211003034,先进制造与自动化
413,北京市重型电缆厂,GR202211004606,先进制造与自动化
414,北京韩建河山管业股份有限公司,GR202211005023,先进制造与自动化
415,北京丁力达矿山设备有限公司,GR202211005045,先进制造与自动化
416,北京昊泽瑞鑫节能设备有限公司,GR202211004223,新能源与节能
417,北京燕化天钲建筑工程有限责任公司,GR202211004520,新能源与节能
418,联方云天能源技术（北京）有限公司,GR202211004972,新能源与节能
419,中锦泰（北京）建筑工程有限公司,GR202211003166,新能源与节能
420,北京超拓能源科技有限公司,GR202211003661,新能源与节能
421,北京新华高科新能源技术有限公司,GR202211004368,新能源与节能
422,北京长远腾飞建筑工程有限公司,GR202211003114,新能源与节能
423,德瑞洁能科技有限公司,GR202211003159,新能源与节能
424,北京韩晶苡琳科技有限公司,GR202211003676,新能源与节能
425,新源智储能源发展（北京）有限公司,GR202211003584,新能源与节能
426,北京燕钲混凝土配送有限公司,GR202211004118,资源与环境
427,北京晟龙伟嘉科技有限公司,GR202211004181,资源与环境
428,北京碧鑫水务有限公司,GR202211004016,资源与环境
429,北京百秀京林园林绿地养护有限公司,GR202211004722,资源与环境
430,北京中天恒远环保设备有限公司,GR202211003469,资源与环境
431,北京众悦安燃气设备有限公司,GR202211004417,资源与环境
432,北京金隅琉水环保科技有限公司,GR202211004365,资源与环境
433,北京首铁总建环保工程有限公司,GR202211004110,资源与环境
434,北京晶电华阳科技发展有限公司,GR202211003168,电子信息
435,北京国原新技术有限公司,GR202211006551,资源与环境
436,北京京大元环保技术有限公司,GR202211008315,资源与环境
437,北京华禹清源水务科技有限公司,GR202211008169,资源与环境
438,北京日月兴彩印包装有限公司,GR202211007682,资源与环境
439,北京沁润泽环保科技有限公司,GR202211006652,资源与环境
440,北京碧源嘉德水务有限公司,GR202211007376,资源与环境
441,北京碧圣达优检测技术有限公司,GR202211006843,资源与环境
442,北京美景华夏环保科技有限公司,GR202211005659,资源与环境
443,中恒国盛能源科技有限公司,GR202211006727,新能源与节能
444,中国原子能科学研究院,GR202211006414,新能源与节能
445,北京易生综合能源有限公司,GR202211006359,新能源与节能
446,北京环宇盈享建筑有限公司,GR202211005584,新能源与节能
447,氢山科技有限公司,GR202211008258,新能源与节能
448,北京东霖混凝土制品有限公司,GR202211005397,新能源与节能
449,北京德克浦智慧能源科技有限公司,GR202211006237,新能源与节能
450,北京航宇顺昌装饰工程有限公司,GR202211007052,新能源与节能
451,北京中进开元科技发展有限公司,GR202211007005,新能源与节能
452,北冰建设工程（北京）有限公司,GR202211007415,新能源与节能
