ID,项目名称,项目代码,建设单位,项目地址,计划投资总额,投资额单位,投资额币种,建设单位统一社会信用代码,建设规模及内容,文件名称,文件类型,文号,发文日期
1053087,良乡镇中心区供水工程,2.01908E+17,良乡镇人民政府,良乡镇人民政府,6082.21,万元,人民币,11110111000078377P,"该项目包括给水及再生水输水管线工程及良乡镇集中供水厂改扩建工程两部分：
（一）给水及再生水输水管线工程共新建给水输水管道2975m，管径dn400~dn630mm，附属构筑物20座；新建再生水管道总长538m，管径dn400mm，附属构筑物5座，拆除及恢复路面638m2，围网90m。
（二）良乡镇集中供水厂改扩建工程改造水厂1座，供水规模1.2万m3/d，水厂内主要建构筑物包括：清水池、综合泵房（",关于良乡镇中心区供水工程项目建议书（代可研）的批复,区级,京房山发改（审）[2019]64号,21/8/2019 16:19:27
1087132,南口及沙沟河蓄滞洪区,2.02312E+17,昌平区水务局,昌平区水务局,156682,万元,人民币,11110221000102859X,蓄洪涝量1100万立方米,关于南口及沙沟河蓄滞洪区项目建议书的批复,区级,京昌平发改（审）[2023]214号,6/12/2023 20:04:31
1087407,坝河口蓄滞洪区建设工程,2.023E+17,北京市朝阳区水务建设管理中心,北京市朝阳区水务建设管理中心,490227,万元,人民币,,主要包括水利水生态工程、生态绿化工程、外电源工程、管线改移工程和征地拆迁五部分。,关于坝河口蓄滞洪区建设工程项目建议书（代可研）的批复,区级,京朝阳发改（审）[2023]125号,6/12/2023 16:15:09
1070958,密云区美丽乡村新城子镇蔡家甸村等11个村污水配套管网基础设施建设工程,2.02215E+17,密云区水务局,密云区水务局,9648,万元,人民币,11110228000107959W,敷设街区污水骨干管网56728米；新建骨干管网污水检查井3506座；新建泵站16座；骨干管网路面破除189982平方米，路面恢复18415平方米。,关于密云区美丽乡村新城子镇蔡家甸村等11个村污水配套管网基础设施建设工程实施方案的批复,区级,京密云发改（审）[2022]14号,23/2/2022 12:16:57
XMG1029016,房山良乡水厂,1201300328,房山区水务局,房山区水务局,44071,万元,人民币,1.11101E+17,新建供水能力15万立方米/日,"关于房山良乡水厂项目建议书
（代可行性研究报告）的批复",市级,京发改[2013]1409号,8/7/2013 00:00:00
1087244,孟祖河讲礼段护坡整治工程,2.02312E+17,北京市昌平区小汤山镇人民政府,北京市昌平区小汤山镇人民政府,357.95,万元,人民币,11110221000103421J,对孟祖河讲礼段河道护砌、护栏、护坡挡墙、排水设施及污水处理设施进行新建和改造。新建框架梁锚杆护砌河道750平米，新建河道外侧护栏84米，C25片石混凝土挡墙68米，新建D=400mm混凝土排水预埋管12米，新建玻璃钢化粪池1座（3立方米），预埋DN200HDPE双壁波纹污水管18米。,关于孟祖河讲礼段护坡整治工程项目建议书的批复,区级,京昌平发改（审）[2023]165号,6/12/2023 13:37:30
1085247,房山区南部山区沟道水毁修复工程（第二批）,2.02308E+17,北京市房山区水务局,北京市房山区水务局,52137.4,万元,人民币,1.11101E+17,项目对千河口沟、六合沟、马鞍沟沟、下庄沟、五合沟等13 条南部山区沟道进行水毁修复，建设内容包括沟道清理疏浚受损岸坡及挡墙修复、沟底护砌修复等。本次总计疏浚沟道约96 公里，修复沟道岸坡损毁约 32 公里，沟道沿线涉及十渡镇.张坊镇、大石窝镇共 3 个镇，均位于生态涵养区范围内。,关于房山区南部山区沟道水毁修复工程（第二批）实施方案的批复,区级,京房山发改（审）[2023]103号,13/9/2023 09:38:37
1087507,顺义城区排水管线病害消隐工程 （一期）,2.0241E+17,北京市顺义区水务局,北京市顺义区水务局,201.76,万元,人民币,11110110000092937B,涉及顺和路（顺平路-平沿路）、通顺路（燕京桥-减河）、集汇大街（通顺路-顺仁路）、建新东街（新顺街-通顺路）4条道路。管道疏通沉积129.7米、疏通障碍物115.1米、修复残墙坝根53.2米、紫外光修复腐蚀549.2米、现状检查井修复16座。,关于顺义城区排水管线病害消隐工程 （一期）实施方案的批复,区级,京顺义发改（审）[2024]17号,27/2/2024 11:56:00
QXSP1500567,昌平区牤牛河治理工程（防洪工程）,1.4012E+12,北京燕龙水务集团有限公司,北京燕龙水务集团有限公司,6030,万元,人民币,9.111E+17,,关于第三、四阶段昌平区中小河道治理工程—昌平区牤牛河治理工程（防洪工程）项目建议书（代可行性研究报告）的批复,区级,昌发改〔2015〕18号,3/4/2015 00:00:00
1081519,海淀区上庄片区补水及循环工程,2.02304E+17,北京市海淀区水务局,北京市海淀区水务局,13255.2,万元,人民币,1111010800005827XC,新建上庄水循环泵站一座(取水规模11.07万m3/d)，沿上庄后河及二干渠新建补水管线9.7公里；二干渠拆除恢复治理2.7公里；新开河道2.46公里。,关于海淀区上庄片区补水及循环工程项目建议书（代可行性研究报告）的批复,区级,京海淀发改（审）[2023]56号,3/3/2023 09:42:36
1073383,密云区溪翁庄镇农村污水设施建设工程,2.02115E+17,北京市密云区溪翁庄镇人民政府,北京市密云区溪翁庄镇人民政府,3316.96,万元,人民币,1.11102E+17,本项目主要为密云区溪翁庄镇东智北村、黑山寺村、东营子村、东智东村、东智西村和立新庄村的污水支管网和污水处理设施新建工程。主要建设内容包括：新建污水管网16131米（DN300 HDPE双壁波纹管长度为590米，DN200HDPE双壁波纹管长度为8786米，DN200UPVC管长度为340米，DN150UPVC管长度为6415米），新建检查井669座。新建6座污水处理站，新建6座中水回用池。,关于密云区溪翁庄镇农村污水设施建设工程项目建议书（代可研）的批复,区级,京密云发改（审）[2021]91号,6/12/2021 16:32:45
1086283,庙城镇区排水系统能力提升工程,2.02314E+17,北京市怀柔区庙城镇人民政府,北京市怀柔区庙城镇人民政府,20211,万元,人民币,11110227000098327D,项目主要涉及范围为兵山路、庙城中路、仓储路等，主要建设内容包括雨水工程、一体化泵站及外电源工程、道路及绿化恢复工程等。,关于庙城镇区排水系统能力提升工程项目建议书（代可研）的批复,区级,京怀柔发改（审）[2023]55号,9/11/2023 13:38:44
1077413,旧宫镇德贤路东辅路DN800给水工程,2.02211E+17,北京市大兴区旧宫镇人民政府,北京市大兴区旧宫镇人民政府,2915.31,万元,人民币,1.11102E+17,本项目建设内容包括：管线及设备安装工程、井室砌筑、路面破除恢复以及绿化破除恢复工程等。建设规模：1、管线及设备安装工程主要包括新敷设DN800的球墨铸铁管长度1658.7米2、井室砌筑工程主要包括DN800的蝶阀井4座，DN400的闸井2座3、破除恢复路面工程包括破除并恢复沥青路3618.2平方4、破除恢复绿化工程包括移植并恢复国槐树200株,关于旧宫镇德贤路东辅路DN800给水工程项目建议书（代可研）的批复,区级,京大兴发改（审）[2022]80号,15/7/2022 17:13:06
XMX681804,东干渠工程,1201100336,北京市南水北调工程建设管理中心,北京市南水北调工程建设管理中心,1283980,万元,人民币,1.211E+17,新建水源管线44.7公里，同步扩建亦庄调节池及进、退水管线，新增容积207.5万立方米，总调蓄容积260万立方米。,"关于批准东干渠工程项目建议书
（代可行性研究报告）的函",市级,京发改[2011]876号,8/6/2011 00:00:00
1087180,华都酒厂及南庄水库上游片区 污水治理工程,2.02312E+17,北京市昌平区水务局,北京市昌平区水务局,1730.99,万元,人民币,11110221000102859X,新建污水管线总长度1643米，其中钢筋混凝土污水管367米，聚乙烯PE100管1276米；各类检查井22座，其中污水检查井5座、压力检查井11座、阀门井3座；新建一体化污水提升泵站2座；新建钢筋混凝土污水调蓄池2座；破复沥青路面867平方米。,关于华都酒厂及南庄水库上游片区 污水治理工程项目建议书的批复,区级,京昌平发改（审）[2023]164号,6/12/2023 13:36:06
1087331,北京大兴国际机场滞洪工程（二期）北区,2.02311E+17,北京新航城控股有限公司,北京新航城控股有限公司,126423,万元,人民币,9.11101E+17,开挖蓄滞洪区，形成233万立方米蓄洪空间；新建连通渠1座；配套机电设备及管理房、巡护路等其他设施；生态绿化74公顷；电气一次、自动化等配套工程。,关于北京大兴国际机场滞洪工程（二期）北区项目建议书（代可研）的批复,区级,京大兴发改（审）[2023]185号,6/12/2023 15:11:34
1087128,小汤山镇尚信村污水管线工程,2.02312E+17,北京市昌平区小汤山镇人民政府,北京市昌平区小汤山镇人民政府,650.84,万元,人民币,11110221000103421J,新建DN160PE污水主管 2100米；改造一体化小型污水提升泵站1座，路面结构恢复1590平米，土方开挖6167.7平方米，顶管（DN500Ⅲ级钢筋混凝土管）20米，维修现状检查井1座。,关于小汤山镇尚信村污水管线工程项目建议书的批复,区级,京昌平发改（审）[2023]154号,6/12/2023 11:03:06
1087105,白羊城蓄滞洪区,2.02312E+17,昌平区水务局,昌平区水务局,57087.3,万元,人民币,11110221000102859X,蓄洪涝量1100万立方米,关于白羊城蓄滞洪区项目建议书的批复,区级,京昌平发改（审）[2023]209号,6/12/2023 19:12:54
1086949,延庆区山区河道水毁修复及生态功能提升工程,2.02316E+17,北京市延庆区水务局,北京市延庆区水务局,49272.6,万元,人民币,11110229000117938X,工程建设内容主要包括9条山区河道进行防洪提升治理及20条沟道水毁修复，治理河道长度总计约139.50km。河道疏挖、清障1457632m3，局部河道拓宽10～30m，新建或改建河道护岸35km、护坡及护底36.1km、防洪堤2.2km等，新建或改造河道方涵57座、消力池4座、跌水2座、巡河路3.3km等，翻建桥梁1座。,关于延庆区山区河道水毁修复及生态功能提升工程项目建议书（代可研）的批复,区级,京延庆发改（审）[2023]43号,6/12/2023 03:45:23
1071393,密云区美丽乡村穆家峪镇西穆峪村等132个村供水及污水前端收集系统建设工程,2.02115E+17,密云区水务局,密云区水务局,62200.7,万元,人民币,11110228000107959W,"供水工程：新建供水管线1615562米；新建、改造水表井18557座，其中新建矩形水表井1895座、圆形水表井12311座、塑料水表井73座，改造圆形水表井4278座；新装智能水表56561块；新建阀门井2883座、排泥阀井453座、排泥湿井453座、排气井605座、取水栓井1961座。
污水工程：新建De110污水入户支管1119480米，化粪池51248座，污水集水池56004座。",关于密云区美丽乡村穆家峪镇西穆峪村等132个村供水及污水前端收集系统建设工程实施方案的批复,区级,京密云发改（审）[2021]57号,14/9/2021 16:16:10
1083019,京西生态公园北侧截洪滞洪工程（房山段）,2.02308E+17,北京市房山区水务局,北京市房山区水务局,30979.3,万元,人民币,1.11101E+17,项目区东侧至山湖路，南侧至规划沙羊路、生态公园，西侧至生态公园，北侧到京原铁路。包括截洪堤及滞洪绿地工程，滞洪绿地滞洪容积447万立方米。截洪堤东接山湖路，西接现状地形，房山区长度1.4公里，滞洪绿地面积64公顷。,关于京西生态公园北侧蓄滞洪工程（房山段）项目建议书（代可研）的请示,区级,京房山发改（审）[2023]262号,15/12/2023 19:56:25
1081842,顺义区积水点治理（一期）工程,2.0231E+17,北京市顺义区水务局,北京市顺义区水务局,1146.4,万元,人民币,11110110000092937B,新建一体化截水沟173.40米、连接管479.10米、排水明沟45.00米、盖板沟293.00米、雨水检查井20座、箅式雨水口49座，新建闸门2座、可调溢流堰1个，挖除淤泥557.34立方米，清理连接管100.00米，同步实施拆改移工程。,关于顺义区积水点治理（一期）工程实施方案的批复,区级,京顺义发改（审）[2023]32号,4/4/2023 10:52:06
1082939,京西生态公园北侧截洪滞洪工程（丰台段）,2.02305E+17,北京恒盛宏大基础设施建设管理有限公司,北京恒盛宏大基础设施建设管理有限公司,31364.5,万元,人民币,,滞洪绿地范围东侧至山湖路，南侧至规划沙羊路、生态公园、西至生态公园、北至京原铁路。滞洪绿地南侧设截洪堤。截洪堤东接山湖路，西接现状地形，总长2.5km，其中丰台段1.1km。滞洪绿地共计174公顷，其中丰台区110公顷。主要工程内容包括清基、堤防填筑、护坡、防浪墙、堤顶路、排水沟、安全监测、绿化等。,关于京西生态公园北侧蓄滞洪工程（丰台段）项目建议书（代可研）的请示,区级,京丰台发改（审）[2023]60号,15/12/2023 19:56:48
QXSP1501109,海淀区军福沟、南河滩沟排蓄工程,8.01202E+11,北京市海淀区四季青镇人民政府,北京市海淀区四季青镇人民政府,4552.26,万元,人民币,11110108000058456E,调减南河滩沟相关建设内容，调整后建设内容为：军福沟治理长度2255m，其中主沟长1655m，支渠长600m；改建桥梁5座，改建暗涵1处，改建雨水口7座；新建桥梁1座，新建陡坡1座，新建暗涵1座，长93m；铺设截污管线1667m，河道边坡绿化6176.84平方米，岸顶种植槐树484株。五环路东侧雨洪利用工程新建雨洪利用设施3处；新建进水口，出水口各3处；新建渗水井23处。,"关于海淀区军福沟、南河滩沟排蓄工程实施方案调整的批复
",区级,京海淀发改（审）[2015]19号,31/12/2015 00:00:00
1088299,北沙河整体行洪能力提升,2.02304E+17,北京市海淀区水务局,北京市海淀区水务局,53249.2,万元,人民币,1111010800005827XC,工程主要建设内容包括河道改道、河道拓宽、边坡护砌、堤顶路、跨河建筑物改建、河道疏浚和交叉建筑物改建等工程。其中河道改道546m，河道拓宽长度约4.47km ，护砌长度总长约8.8km，堤顶路总长度约8.07km，改建桥梁2座，河道清淤疏浚2.7km，改建雨污排口27个。,关于北沙河整体行洪能力提升项目建议书（代可行性研究报告）的批复,区级,京海淀发改（审）[2024]150号,31/5/2024 16:13:42
1087382,琉璃河西区供水厂新建工程,2.02308E+17,北京市房山区琉璃河镇人民政府,北京市房山区琉璃河镇人民政府,19715,万元,人民币,11110111MB04841802,本项目建设规模为2.5万立方米/日，主要建设内容为新建2.5万立方米/日供水厂1座，包含综合楼、膜车间、清水池、吸水井、雨水调蓄池及配套设备用房等建构筑物；新建地下水取水井16座，新建原水输水管线约6.5公里。,关于琉璃河西区供水厂新建工程项目建议书（代可研）的批复,区级,京房山发改（审）[2023]196号,6/12/2023 23:20:42
1087266,2024年昌平区标准测流断面建设工程,2.02312E+17,昌平区水务局,昌平区水务局,4491.45,万元,人民币,11110221000102859X,新建10条河道（四家庄河，葫芦河，秦屯河，南口西河，肖村河，舒畅河，幸福河，创新河，孟祖河和北小营西河）标准测流断面一座、基本水尺、标志牌等,关于2024年昌平区标准测流断面建设工程项目建议书的批复,区级,京昌平发改（审）[2023]202号,6/12/2023 18:34:32
