附件7,,,,,,,,
2022年延庆区卫生健康委员会国家随机抽查结果,,,,,,,,
序号,抽查计划名称,检查任务名称,检查对象名称,检查内容,检查部门,检查日期,检查结果,处理结果
33,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京山涧人家农家餐厅,公共场所,北京市延庆区卫生健康委员会,2022-08-30 09:03,合格,\
34,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京市延庆区沈家营中心小学,学校卫生,北京市延庆区卫生健康委员会,2022-08-29 14:05,合格,\
35,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京市延庆区永宁学校,学校卫生,北京市延庆区卫生健康委员会,2022-08-29 13:39,合格,\
36,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京市延庆区香营学校,学校卫生,北京市延庆区卫生健康委员会,2022-08-29 12:38,合格,\
37,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京市延庆区第三小学,学校卫生,北京市延庆区卫生健康委员会,2022-08-29 11:03,不合格,警告，责令改正
38,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京市延庆区十一学校,学校卫生,北京市延庆区卫生健康委员会,2022-08-29 10:31,不合格,警告，责令改正
39,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京中踏鞋业有限公司延庆购物广场,公共场所,北京市延庆区卫生健康委员会,2022-08-29 10:28,合格,\
40,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,广东大地影院建设有限公司北京延庆电影放映分公司,公共场所,北京市延庆区卫生健康委员会,2022-08-29 09:57,合格,\
41,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京市延庆区西屯中心小学,学校卫生,北京市延庆区卫生健康委员会,2022-08-29 09:52,不合格,警告，责令改正
42,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京市延庆区小丰营中心小学,学校卫生,北京市延庆区卫生健康委员会,2022-08-29 09:22,不合格,警告，责令改正
43,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京金钰福康美容有限公司,公共场所,北京市延庆区卫生健康委员会,2022-08-29 09:19,合格,\
44,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京市延庆区太平庄中心小学,学校卫生,北京市延庆区卫生健康委员会,2022-08-29 08:47,不合格,警告，责令改正
45,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京一棵树农家院餐厅,公共场所,北京市延庆区卫生健康委员会,2022-08-26 16:27,合格,\
46,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京姚官岭民俗旅游专业合作社,公共场所,北京市延庆区卫生健康委员会,2022-08-26 15:14,合格,\
47,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京广源居农家餐厅,公共场所,北京市延庆区卫生健康委员会,2022-08-26 14:59,已不存在,\
48,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京观山暖巢农家院餐厅,公共场所,北京市延庆区卫生健康委员会,2022-08-26 14:34,合格,\
49,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京心享花养农家院餐厅,公共场所,北京市延庆区卫生健康委员会,2022-08-26 09:36,合格,\
50,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京今天晚安遁舍农家餐厅,公共场所,北京市延庆区卫生健康委员会,2022-08-25 16:33,合格,\
51,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京榆林堡小隐农家院餐厅,公共场所,北京市延庆区卫生健康委员会,2022-08-25 15:43,合格,\
52,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京云之端农家院餐厅,公共场所,北京市延庆区卫生健康委员会,2022-08-25 15:16,合格,\
53,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京昱涧农家院餐厅,公共场所,北京市延庆区卫生健康委员会,2022-08-25 14:45,合格,\
54,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京奥飞智慧场馆运营管理有限公司,公共场所,北京市延庆区卫生健康委员会,2022-08-25 12:28,合格,\
55,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京海棠观星居民宿,公共场所,北京市延庆区卫生健康委员会,2022-08-25 12:21,合格,\
56,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京八达岭朗居园农家院餐厅,公共场所,北京市延庆区卫生健康委员会,2022-08-25 11:56,合格,\
57,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京揽宿农家院餐厅,公共场所,北京市延庆区卫生健康委员会,2022-08-25 11:52,合格,\
58,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京清雅园居民宿,公共场所,北京市延庆区卫生健康委员会,2022-08-25 11:36,合格,\
59,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京妫川睿夕美容美发中心,公共场所,北京市延庆区卫生健康委员会,2022-08-25 11:23,合格,\
60,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京八达岭滑雪俱乐部有限公司,公共场所,北京市延庆区卫生健康委员会,2022-08-25 11:09,合格,\
61,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京市延庆区第一中学,公共场所,北京市延庆区卫生健康委员会,2022-08-25 10:56,合格,\
62,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京贤庭雅居餐饮服务有限公司,公共场所,北京市延庆区卫生健康委员会,2022-08-25 10:50,已不存在,\
63,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京敬雅居农家院餐厅,公共场所,北京市延庆区卫生健康委员会,2022-08-25 10:41,合格,\
64,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京星光之都娱乐有限公司,公共场所,北京市延庆区卫生健康委员会,2022-08-25 10:27,合格,\
65,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京洋洋得驿农家院餐厅,公共场所,北京市延庆区卫生健康委员会,2022-08-25 10:21,合格,\
66,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京绿韵斯达特体育发展有限公司,公共场所,北京市延庆区卫生健康委员会,2022-08-25 10:06,合格,\
67,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京鑫蕴农家院餐厅,公共场所,北京市延庆区卫生健康委员会,2022-08-25 10:05,合格,\
68,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京栖身憩息农家院餐厅,公共场所,北京市延庆区卫生健康委员会,2022-08-25 09:37,合格,\
69,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京市延庆区八达岭镇乔淑英农家餐厅,公共场所,北京市延庆区卫生健康委员会,2022-08-25 09:31,合格,\
70,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京四路聚饭店,公共场所,北京市延庆区卫生健康委员会,2022-08-25 09:02,合格,\
71,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京人文研修学院医务室,传染病与消毒,北京市延庆区卫生健康委员会,2022-08-24 15:10,合格,\
72,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京人文研修学院医务室,医疗机构,北京市延庆区卫生健康委员会,2022-08-24 15:04,合格,\
73,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京映山居酒店管理有限公司,公共场所,北京市延庆区卫生健康委员会,2022-08-23 11:02,合格,\
74,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京金正弘美苑美发中心,公共场所,北京市延庆区卫生健康委员会,2022-08-22 10:05,合格,\
75,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京金隅八达岭温泉度假村有限责任公司,公共场所,北京市延庆区卫生健康委员会,2022-08-19 09:37,合格,\
76,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京市延庆区四海镇南湾村卫生室,传染病与消毒,北京市延庆区卫生健康委员会,2022-08-17 16:06,合格,\
77,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京市延庆区四海镇郭家湾村卫生室,传染病与消毒,北京市延庆区卫生健康委员会,2022-08-17 15:21,合格,\
78,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京红颜佳丽美容中心,公共场所,北京市延庆区卫生健康委员会,2022-08-16 10:47,合格,\
79,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京映山别苑农家院餐厅,公共场所,北京市延庆区卫生健康委员会,2022-08-16 10:01,不合格,责令限期改正
80,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京妫川华奕酒店有限公司,公共场所,北京市延庆区卫生健康委员会,2022-08-16 09:46,合格,\
81,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京市延庆区张山营镇下板泉村卫生室,医疗机构,北京市延庆区卫生健康委员会,2022-08-16 09:44,合格,\
82,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京妫川新潮理发店,公共场所,北京市延庆区卫生健康委员会,2022-08-16 09:09,合格,\
83,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京吉祥拾光农家院餐厅,公共场所,北京市延庆区卫生健康委员会,2022-08-11 09:49,合格,\
84,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,中交富力和美（北京）置业有限公司万豪酒店分公司,公共场所,北京市延庆区卫生健康委员会,2022-08-10 16:15,合格,\
85,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京市自来水集团缙阳水业有限责任公司,生活饮用水,北京市延庆区卫生健康委员会,2022-08-08 15:02,合格,\
86,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京山涧花海农家院餐厅,公共场所,北京市延庆区卫生健康委员会,2022-08-08 08:36,合格,\
