​行政相对人名称,统一社会信用代码,行政许可决定文书名称,行政许可决定文书号,许可证书名称,许可编号,许可内容,许可决定日期,有效期自,有效期至,许可机关
北京怀柔医院,121102274009934436,怀柔区 —— 行政许可决定书（准予）,决字（2024）第011000019号,母婴保健技术服务执业许可证,,放置宫内节育器术、取出宫内节育器术、孕10周以内人工流产负压吸引术（宫腔镜技术不得用于终止妊娠手术）、孕7周内药物流产术、孕10-13周钳刮术、女性绝育术、应用麻醉镇痛技术实施负压吸宫术、孕中期妊娠引产术、孕10-16周药物引产术、腹腔镜输卵管节育技术服务、宫腔镜节育技术服务。,2024-01-10 00:00:00,2024-01-10 00:00:00,2026-12-29 00:00:00,北京市怀柔区卫生健康委员会
北京怀柔医院,121102274009934436,怀柔区 —— 行政许可决定书（准予）,决字（2024）第011000018号,母婴保健技术服务执业许可证,,产前筛查技术：临床咨询、医学影像、生化免疫（实验室）,2024-01-10 00:00:00,2024-01-10 00:00:00,2025-04-14 00:00:00,北京市怀柔区卫生健康委员会
北京放山瓦舍农家院餐厅,92110116MA01CCW77U,准予行政许可决定书,怀卫环许决字[2024]006号,卫生许可证,怀卫环监字[2024]第006号,新办公共场所住宿（乡村民宿）卫生许可,2024-01-09 00:00:00,2024-01-09 00:00:00,2028-01-08 00:00:00,北京市怀柔区卫生健康委员会
北京市怀柔区桥梓镇社区卫生服务中心,121102274009950353,准予延续/变更行政许可决定书,京怀卫放许决字[2024]002号,放射诊疗许可证,京卫放证字[2006]第1600003号,校验X射线影像诊断（不含CT）***放射诊疗许可,2024-01-18 00:00:00,2024-01-18 00:00:00,2099-12-31 00:00:00,北京市怀柔区卫生健康委员会
北京雅怡源健康管理中心,92110116MAC3N4UF1Y,准予行政许可决定书,怀卫环许决字[2024]010号,卫生许可证,怀卫环监字[2024]第010号,新办公共场所美容（非医疗美容）、理发卫生许可,2024-01-18 00:00:00,2024-01-18 00:00:00,2028-01-17 00:00:00,北京市怀柔区卫生健康委员会
北京雅怡源健康管理中心,92110116MAC3N4UF1Y,行政许可注销决定书,怀卫环许销字[2024]001号,卫生许可证,怀卫环监字[2023]第162号,注销公共场所理发卫生许可,2024-01-18 00:00:00,2024-01-18 00:00:00,2099-12-31 00:00:00,北京市怀柔区卫生健康委员会
北京京北健永口腔医院,52110116057362547B,准予延续/变更行政许可决定书,京怀卫放许决字[2024]004号,放射诊疗许可证,京卫放证字[2019]第1600036号,变更X射线影像诊断（含CT）***放射诊疗许可,2024-01-26 00:00:00,2024-01-26 00:00:00,2099-12-31 00:00:00,北京市怀柔区卫生健康委员会
北京汇都中医医院有限责任公司,91110116MA01DHU14M,准予延续/变更行政许可决定书,京怀卫放许决字[2024]005号,放射诊疗许可证,京卫放证字[2019]第1600034号,校验X射线影像诊断（不含CT）***放射诊疗许可,2024-01-26 00:00:00,2024-01-26 00:00:00,2099-12-31 00:00:00,北京市怀柔区卫生健康委员会
北京通号北房置业有限公司,91110116MA0079LDXW,准予行政许可决定书,怀卫水许决字[2024]003号,卫生许可证,怀卫水监字[2024]第003号  ,新办二次供水卫生许可,2024-01-25 00:00:00,2024-01-25 00:00:00,2028-01-24 00:00:00,北京市怀柔区卫生健康委员会
北京金御鑫曼美容中心(个体工商户),92110116MAD904GU7T,准予行政许可决定书,怀卫环许决字[2024]014号,卫生许可证,怀卫环监字[2024]第014号  ,新办公共场所美容（非医疗美容）卫生许可,2024-01-25 00:00:00,2024-01-25 00:00:00,2028-01-24 00:00:00,北京市怀柔区卫生健康委员会
北京峪水缘农家院餐厅,92110116MA00CXX7XX,准予行政许可决定书,怀卫环许决字[2024]013号,卫生许可证,怀卫环监字[2024]第013号  ,新办公共场所住宿卫生许可,2024-01-24 00:00:00,2024-01-24 00:00:00,2028-01-23 00:00:00,北京市怀柔区卫生健康委员会
北京怀柔医院,121102274009934000,准予延续/变更行政许可决定书,怀卫水许决字[2024]002号,卫生许可证,怀卫水监字[2024]第002号,变更二次供水卫生许可,2024-01-23 00:00:00,2024-01-23 00:00:00,2026-09-20 00:00:00,北京市怀柔区卫生健康委员会
北京怀柔医院,121102274009934000,准予延续/变更行政许可决定书,怀卫水许决字[2024]001号,卫生许可证,怀卫水监字[2024]第001号,变更二次供水卫生许可,2024-01-23 00:00:00,2024-01-23 00:00:00,2026-03-31 00:00:00,北京市怀柔区卫生健康委员会
北京柒杯茶民俗餐厅(个体工商户),92110116MAD9L1YJ89,准予行政许可决定书,怀卫环许决字[2024]012号,卫生许可证,怀卫环监字[2024]第012号,新办公共场所住宿（乡村民宿）卫生许可,2024-01-23 00:00:00,2024-01-23 00:00:00,2028-01-22 00:00:00,北京市怀柔区卫生健康委员会
北京竹林溪水民宿中心(个体工商户),92110116MADA8JJF9M,准予行政许可决定书,怀卫环许决字[2024]011号,卫生许可证,怀卫环监字[2024]第011号,新办公共场所住宿（乡村民宿）卫生许可,2024-01-23 00:00:00,2024-01-23 00:00:00,2028-01-22 00:00:00,北京市怀柔区卫生健康委员会
北京中唐中医医院有限公司,91110116MACE7QW980,准予延续/变更行政许可决定书,京怀卫放许决字[2024]003号,放射诊疗许可证,京卫放证字[2006]第1600006号,校验X射线影像诊断（不含CT）***放射诊疗许可,2024-01-22 00:00:00,2024-01-22 00:00:00,2099-12-31 00:00:00,北京市怀柔区卫生健康委员会
北京怀柔医院,121102274009934000,准予延续/变更行政许可决定书,京怀卫放许决字[2024]008号,放射诊疗许可证,京卫放证字[2007]第1600019号,变更介入放射学、X射线影像诊断（含CT）***放射诊疗许可,2024-02-02 00:00:00,2024-02-02 00:00:00,2099-12-31 00:00:00,北京市怀柔区卫生健康委员会
北京清溪源民俗旅店,92110116MA00L9UG88,准予行政许可决定书,怀卫环许决字[2024]027号,卫生许可证,怀卫环监字[2024]第027号  ,新办公共场所住宿（乡村民宿）卫生许可,2024-02-02 00:00:00,2024-02-02 00:00:00,2028-02-01 00:00:00,北京市怀柔区卫生健康委员会
北京学良农家院旅店,92110116MA015CBAXC,准予行政许可决定书,怀卫环许决字[2024]026号,卫生许可证,怀卫环监字[2024]第026号  ,新办公共场所住宿（乡村民宿）卫生许可,2024-02-02 00:00:00,2024-02-02 00:00:00,2028-02-01 00:00:00,北京市怀柔区卫生健康委员会
北京海子家民俗旅店,92110116MA00QUAR5Q,准予行政许可决定书,怀卫环许决字[2024]025号,卫生许可证,怀卫环监字[2024]第025号  ,新办公共场所住宿（乡村民宿）卫生许可,2024-02-02 00:00:00,2024-02-02 00:00:00,2028-02-01 00:00:00,北京市怀柔区卫生健康委员会
北京李梦雅农家院餐厅,92110116MA010XNG5T,准予行政许可决定书,怀卫环许决字[2024]024号,卫生许可证,怀卫环监字[2024]第024号  ,新办公共场所住宿（乡村民宿）卫生许可,2024-02-02 00:00:00,2024-02-02 00:00:00,2028-02-01 00:00:00,北京市怀柔区卫生健康委员会
北京圣泉水湾农家院旅店,92110116MA00RG7W40,准予行政许可决定书,怀卫环许决字[2024]023号,卫生许可证,怀卫环监字[2024]第023号  ,新办公共场所住宿（乡村民宿）卫生许可,2024-02-02 00:00:00,2024-02-02 00:00:00,2028-02-01 00:00:00,北京市怀柔区卫生健康委员会
北京市怀柔区渤海镇卫生院,12110227400995078G,准予延续/变更行政许可决定书,京怀卫放许决字[2024]006号,放射诊疗许可证,京卫放证字[2008]第1600022号,校验X射线影像诊断（不含CT）***放射诊疗许可,2024-02-01 00:00:00,2024-02-01 00:00:00,2099-12-31 00:00:00,北京市怀柔区卫生健康委员会
北京中唐中医医院有限公司  ,91110116MACE7QW980,准予延续/变更行政许可决定书,京怀卫放许决字[2024]007号,放射诊疗许可证,京卫放证字[2006]第1600006号,变更X射线影像诊断（不含CT）***放射诊疗许可,2024-02-01 00:00:00,2024-02-01 00:00:00,2099-12-31 00:00:00,北京市怀柔区卫生健康委员会
北京暂闲铭苑民俗餐厅,92110116MACYHHX849,准予行政许可决定书,怀卫环许决字[2024]022号,卫生许可证,怀卫环监字[2024]第022号  ,新办公共场所住宿（乡村民宿）卫生许可,2024-02-01 00:00:00,2024-02-01 00:00:00,2028-01-31 00:00:00,北京市怀柔区卫生健康委员会
北京金云学立农家院餐厅,92110116MA00RG7N0D,准予行政许可决定书,怀卫环许决字[2024]021号,卫生许可证,怀卫环监字[2024]第021号  ,新办公共场所住宿（乡村民宿）卫生许可,2024-02-01 00:00:00,2024-02-01 00:00:00,2028-01-31 00:00:00,北京市怀柔区卫生健康委员会
北京葆莱商贸有限公司,92110116L19419293L,准予行政许可决定书,怀卫环许决字[2024]020号,卫生许可证,怀卫环监字[2024]第020号  ,新办公共场所美容（非医疗美容）卫生许可,2024-02-01 00:00:00,2024-02-01 00:00:00,2028-01-31 00:00:00,北京市怀柔区卫生健康委员会
北京鑫瑜民俗餐厅,92110116MA04CP5659,准予行政许可决定书,怀卫环许决字[2024]019号,卫生许可证,怀卫环监字[2024]第019号  ,新办公共场所住宿（乡村民宿）卫生许可,2024-02-01 00:00:00,2024-02-01 00:00:00,2028-01-31 00:00:00,北京市怀柔区卫生健康委员会
北京北控雁栖岛酒店度假村管理有限公司栖湖饭店分公司,91110116MAC7883XXR,准予行政许可决定书,怀卫水许决字[2024]005号,卫生许可证,怀卫水监字[2024]第005号  ,新办二次供水卫生许可,2024-01-31 00:00:00,2024-01-31 00:00:00,2028-01-30 00:00:00,北京市怀柔区卫生健康委员会
北京统实饮品有限公司,9111000006732953XP,准予延续/变更行政许可决定书,怀卫水许决字[2024]004号,卫生许可证,怀卫水监字[2024]第004号  ,变更自备水源井供水卫生许可,2024-01-31 00:00:00,2022-06-27 00:00:00,2026-06-26 00:00:00,北京市怀柔区卫生健康委员会
北京旭日朝冉农家院餐厅,92110116MA00U2DGXD,准予行政许可决定书,怀卫环许决字[2024]018号,卫生许可证,怀卫环监字[2024]第018号  ,新办公共场所住宿（乡村民宿）卫生许可,2024-01-30 00:00:00,2024-01-30 00:00:00,2028-01-29 00:00:00,北京市怀柔区卫生健康委员会
北京客居闲庭民宿店,92110116MABWP72R5F,准予行政许可决定书,怀卫环许决字[2024]017号,卫生许可证,怀卫环监字[2024]第017号  ,新办公共场所住宿（乡村民宿）卫生许可,2024-01-30 00:00:00,2024-01-30 00:00:00,2028-01-29 00:00:00,北京市怀柔区卫生健康委员会
北京山居日记乡村民宿店,92110116MAC70H6D63,准予行政许可决定书,怀卫环许决字[2024]016号,卫生许可证,怀卫环监字[2024]第016号  ,新办公共场所住宿（乡村民宿）卫生许可,2024-01-29 00:00:00,2024-01-29 00:00:00,2028-01-28 00:00:00,北京市怀柔区卫生健康委员会
北京沐拾光客栈,92110116MA01FKHM26,准予行政许可决定书,怀卫环许决字[2024]015号,卫生许可证,怀卫环监字[2024]第015号  ,新办公共场所住宿（乡村民宿）卫生许可,2024-01-29 00:00:00,2024-01-29 00:00:00,2028-01-28 00:00:00,北京市怀柔区卫生健康委员会
北京觅越管理顾问有限公司 ,91110116MAD8RB1449,准予行政许可决定书,怀卫环许决字[2024]028号,卫生许可证,怀卫环监字[2024]第028号  ,新办公共场所住宿（乡村民宿）卫生许可,2024-02-02 00:00:00,2024-02-02 00:00:00,2028-02-01 00:00:00,北京市怀柔区卫生健康委员会
北京漫拾光文化有限公司,91110116MAD9AMA31Q,准予行政许可决定书,怀卫环许决字[2024]029号,卫生许可证,怀卫环监字[2024]第029号  ,新办公共场所住宿（乡村民宿）卫生许可,2024-02-02 00:00:00,2024-02-02 00:00:00,2028-02-04 00:00:00,北京市怀柔区卫生健康委员会
北京沅居山舍民宿中心 ,92110116MACW7BYG36,准予行政许可决定书,怀卫环许决字[2024]030号,卫生许可证,怀卫环监字[2024]第030号  ,新办公共场所住宿（乡村民宿）卫生许可,2024-02-06 00:00:00,2024-02-06 00:00:00,2028-02-05 00:00:00,北京市怀柔区卫生健康委员会
北京湖光栖舍民宿中心(个体工商户) ,92110116MAD9F53E82,准予行政许可决定书,怀卫环许决字[2024]031号,卫生许可证,怀卫环监字[2024]第031号  ,新办公共场所住宿（乡村民宿）卫生许可,2024-02-08 00:00:00,2024-02-08 00:00:00,2028-02-07 00:00:00,北京市怀柔区卫生健康委员会
北京京呆好眠民宿服务有限公司 ,91110116MAD9MX3X8G,准予行政许可决定书,怀卫环许决字[2024]042号,卫生许可证,怀卫环监字[2024]第042号  ,新办公共场所住宿（乡村民宿）卫生许可,2024-02-29 00:00:00,2024-02-29 00:00:00,2028-02-28 00:00:00,北京市怀柔区卫生健康委员会
北京京怀中医医院有限公司,91110116MA020Y9J4W,准予延续/变更行政许可决定书,京怀卫放许决字[2024]012号,放射诊疗许可证,京卫放证字[2023]第1600043号,校验X射线影像诊断（不含CT）***放射诊疗许可,2024-02-28 00:00:00,2024-02-28 00:00:00,2099-12-31 00:00:00,北京市怀柔区卫生健康委员会
北京世纪兴华中医医院有限公司 ,91110116740408968P,准予延续/变更行政许可决定书,京怀卫放许决字[2024]011号,放射诊疗许可证,京卫放证字[2019]第1600035号,校验X射线影像诊断（含CT）***放射诊疗许可,2024-02-28 00:00:00,2024-02-28 00:00:00,2099-12-31 00:00:00,北京市怀柔区卫生健康委员会
北京清山雅居农家院旅店,92110116MA7DQB2KXQ,准予行政许可决定书,怀卫环许决字[2024]041号,卫生许可证,怀卫环监字[2024]第041号  ,新办公共场所住宿（乡村民宿）卫生许可,2024-02-28 00:00:00,2024-02-28 00:00:00,2028-02-27 00:00:00,北京市怀柔区卫生健康委员会
北京市怀柔区牙病防治所,12110227662155896M,准予延续/变更行政许可决定书,京怀卫放许决字[2024]010号,放射诊疗许可证,京卫放证字[2013]第1600027号,校验X射线影像诊断（不含CT）***放射诊疗许可,2024-02-27 00:00:00,2024-02-27 00:00:00,2099-12-31 00:00:00,北京市怀柔区卫生健康委员会
北京怀北来顺餐厅 ,92110116MABWR5YP8N,准予行政许可决定书,怀卫环许决字[2024]040号,卫生许可证,怀卫环监字[2024]第040号  ,新办公共场所住宿（乡村民宿）卫生许可,2024-02-27 00:00:00,2024-02-27 00:00:00,2028-02-26 00:00:00,北京市怀柔区卫生健康委员会
北京白桦小筑民俗餐厅,92110116MA0203RC7L,准予行政许可决定书,怀卫环许决字[2024]039号,卫生许可证,怀卫环监字[2024]第039号  ,新办公共场所住宿（乡村民宿）卫生许可,2024-02-27 00:00:00,2024-02-27 00:00:00,2028-02-26 00:00:00,北京市怀柔区卫生健康委员会
北京语颜美容服务有限公司,91110116MA019DPG2C,准予延续/变更行政许可决定书,怀卫环许决字[2024]038号,卫生许可证,怀卫环监字[2024]第038号  ,变更公共场所美容（非医疗美容）卫生许可,2024-02-27 00:00:00,2024-02-27 00:00:00,2026-04-06 00:00:00,北京市怀柔区卫生健康委员会
北京仕贤居民宿有限公司 ,92110116MA00P9446A,准予延续/变更行政许可决定书,怀卫环许决字[2024]060号,卫生许可证,怀卫环监字[2024]第060号  ,变更公共场所住宿（乡村民宿）卫生许可,2024-03-15 00:00:00,2024-03-15 00:00:00,2025-10-27 00:00:00,北京市怀柔区卫生健康委员会
北京英华永乐商店,92110116MA00FH5M7G,准予延续/变更行政许可决定书,怀卫环许决字[2024]059号,卫生许可证,怀卫环监字[2024]第059号  ,变更公共场所理发卫生许可,2024-03-15 00:00:00,2024-03-15 00:00:00,2026-02-02 00:00:00,北京市怀柔区卫生健康委员会
北京轻野民宿有限公司 ,92110116MA01LT9H8G,准予行政许可决定书,怀卫环许决字[2024]058号,卫生许可证,怀卫环监字[2024]第058号  ,新办公共场所住宿（乡村民宿）卫生许可,2024-03-14 00:00:00,2024-03-14 00:00:00,2028-03-13 00:00:00,北京市怀柔区卫生健康委员会
北京刘金凤民俗餐厅 ,92110116MA00C9KK80,准予行政许可决定书,怀卫环许决字[2024]057号,卫生许可证,怀卫环监字[2024]第057号  ,新办公共场所住宿（乡村民宿）卫生许可,2024-03-14 00:00:00,2024-03-14 00:00:00,2028-03-13 00:00:00,北京市怀柔区卫生健康委员会
北京老温民俗餐厅,92110116MA01H6F7XH,准予行政许可决定书,怀卫环许决字[2024]056号,卫生许可证,怀卫环监字[2024]第056号  ,新办公共场所住宿卫生许可,2024-03-13 00:00:00,2024-03-13 00:00:00,2028-03-12 00:00:00,北京市怀柔区卫生健康委员会
北京柔颜美容中心 ,92110116MA00DBK134,准予行政许可决定书,怀卫环许决字[2024]055号,卫生许可证,怀卫环监字[2024]第055号  ,新办公共场所美容（非医疗美容）卫生许可,2024-03-13 00:00:00,2024-03-13 00:00:00,2028-03-12 00:00:00,北京市怀柔区卫生健康委员会
北京冯胖子民俗餐厅,92110116MA01YC241X,行政许可注销决定书,怀卫环许销字[2024]003号,卫生许可证,怀卫环监字[2021]第783号  ,注销公共场所住宿（乡村民宿）卫生许可,2024-03-11 00:00:00,2024-03-11 00:00:00,2099-12-31 00:00:00,北京市怀柔区卫生健康委员会
北京御源臻坊科技有限公司,91110116MA7NFYJL8H,行政许可注销决定书,怀卫环许销字[2024]002号,卫生许可证,怀卫环监字[2022]第304号  ,注销公共场所美容（非医疗美容）卫生许可,2024-03-11 00:00:00,2024-03-11 00:00:00,2099-12-31 00:00:00,北京市怀柔区卫生健康委员会
北京玖瑰彷美容有限公司 ,91110116MADBQRQA34,准予行政许可决定书,怀卫环许决字[2024]054号,卫生许可证,怀卫环监字[2024]第054号  ,新办公共场所美容（非医疗美容）卫生许可,2024-03-11 00:00:00,2024-03-11 00:00:00,2028-03-10 00:00:00,北京市怀柔区卫生健康委员会
北京友间客栈农家院餐厅 ,92110116MA017QLX0F,准予行政许可决定书,怀卫环许决字[2024]053号,卫生许可证,怀卫环监字[2024]第053号  ,新办公共场所住宿（乡村民宿）卫生许可,2024-03-11 00:00:00,2024-03-11 00:00:00,2028-03-10 00:00:00,北京市怀柔区卫生健康委员会
北京市高金鸣化妆品商店,92110116L214669967,准予行政许可决定书,怀卫环许决字[2024]052号,卫生许可证,怀卫环监字[2024]第052号  ,新办公共场所美容（非医疗美容）卫生许可,2024-03-11 00:00:00,2024-03-11 00:00:00,2028-03-10 00:00:00,北京市怀柔区卫生健康委员会
贾*媛,******************,行政许可（审批）决定书,决字（2024）第030500184号,母婴保健技术考核合格证书,03505808,产前筛查技术服务（生化免疫）,2024/3/5,2024/3/5,2027/3/4,北京市怀柔区卫生健康委员会
北京市怀柔区喇叭沟门满族乡卫生院,12110227400995182L,准予延续/变更行政许可决定书,京怀卫放许决字[2024]009号,放射诊疗许可证,京卫放证字[2007]第1600012号,校验X射线影像诊断（不含CT）***放射诊疗许可,2024-02-23 00:00:00,2024-02-23 00:00:00,2099-12-31 00:00:00,北京市怀柔区卫生健康委员会
北京和佳益文化活动中心,92110116MA00JH904F,准予延续/变更行政许可决定书,怀卫环许决字[2024]037号,卫生许可证,怀卫环监字[2024]第037号  ,变更公共场所住宿卫生许可,2024-02-23 00:00:00,2024-02-23 00:00:00,2026-08-22 00:00:00,北京市怀柔区卫生健康委员会
北京八道河古槐民俗旅游专业合作社,93110116MA01C6JR1L,准予延续/变更行政许可决定书,怀卫环许决字[2024]036号,卫生许可证,怀卫环监字[2024]第036号  ,变更公共场所住宿（乡村民宿）卫生许可,2024-02-23 00:00:00,2024-02-23 00:00:00,2026-03-14 00:00:00,北京市怀柔区卫生健康委员会
北京丽乡钰缘农家院餐厅 ,92110116MA01RLG55X,准予行政许可决定书,怀卫环许决字[2024]035号,卫生许可证,怀卫环监字[2024]第035号  ,新办公共场所住宿（乡村民宿）卫生许可,2024-02-20 00:00:00,2024-02-20 00:00:00,2028-02-19 00:00:00,北京市怀柔区卫生健康委员会
北京铭浩温馨农家院餐厅,92110116MA01JL2D8R,准予行政许可决定书,怀卫环许决字[2024]034号,卫生许可证,怀卫环监字[2024]第034号  ,新办公共场所住宿（乡村民宿）卫生许可,2024-02-20 00:00:00,2024-02-20 00:00:00,2028-02-19 00:00:00,北京市怀柔区卫生健康委员会
北京古城伊园民宿中心,92110116MA013C1894,准予行政许可决定书,怀卫环许决字[2024]033号,卫生许可证,怀卫环监字[2024]第033号  ,新办公共场所住宿（乡村民宿）卫生许可,2024-02-20 00:00:00,2024-02-20 00:00:00,2028-02-19 00:00:00,北京市怀柔区卫生健康委员会
瑞森星迈酒店管理(北京)有限公司 ,91110116MA01WDCQ7Q,准予行政许可决定书,怀卫环许决字[2024]032号,卫生许可证,怀卫环监字[2024]第032号  ,新办公共场所住宿（乡村民宿）卫生许可,2024-02-18 00:00:00,2024-02-18 00:00:00,2028-02-17 00:00:00,北京市怀柔区卫生健康委员会
 北京物美京北商业管理有限公司 ,91110116MA01B3GF0L,准予延续/变更行政许可决定书,怀卫环许决字[2024]076号,卫生许可证,怀卫环监字[2020]第016号  ,延续公共场所商场、游艺厅卫生许可,2024-03-22 00:00:00,2024-03-22 00:00:00,2028-03-21 00:00:00,北京市怀柔区卫生健康委员会
北京怀鑫口腔诊所有限公司尚齿怀鑫口腔诊所,91110116MA01TC9L80,准予延续/变更行政许可决定书,京怀卫放许决字[2024]015号,放射诊疗许可证,京卫放证字[2021]第1600040号,变更X射线影像诊断（不含CT）***放射诊疗许可,2024-03-21 00:00:00,2024-03-21 00:00:00,2099-12-31 00:00:00,北京市怀柔区卫生健康委员会
北京缘惠景美美容有限公司,91110116MA04GWLU47 ,行政许可注销决定书,怀卫环许销字[2024]005号,卫生许可证,怀卫环监字[2021]第864号  ,注销公共场所、美容（非医疗美容）卫生许可,2024-03-21 00:00:00,2024-03-21 00:00:00,2099-12-31 00:00:00,北京市怀柔区卫生健康委员会
北京帅安明旺商贸有限公司 ,91110116MABYTALL92,准予行政许可决定书,怀卫环许决字[2024]075号,卫生许可证,怀卫环监字[2024]第074号  ,新办公共场所住宿（乡村民宿）卫生许可,2024-03-21 00:00:00,2024-03-21 00:00:00,2028-03-20 00:00:00,北京市怀柔区卫生健康委员会
北京慕溪花园乡村民宿店,92110116MAC7WHEG6C,准予行政许可决定书,怀卫环许决字[2024]074号,卫生许可证,怀卫环监字[2024]第073号  ,新办公共场所住宿（乡村民宿）卫生许可,2024-03-21 00:00:00,2024-03-21 00:00:00,2028-03-20 00:00:00,北京市怀柔区卫生健康委员会
北京怀鑫口腔诊所有限公司尚齿怀鑫口腔诊所,91110116MA01TC9L80,准予延续/变更行政许可决定书,京怀卫放许决字[2024]014号,放射诊疗许可证,京卫放证字[2021]第1600040号,校验X射线影像诊断（不含CT）***放射诊疗许可,2024-03-20 00:00:00,2024-03-20 00:00:00,2099-12-31 00:00:00,北京市怀柔区卫生健康委员会
北京渤海跃桐农家院餐厅 ,92110116MA00DPL26T,准予行政许可决定书,怀卫环许决字[2024]073号,卫生许可证,怀卫环监字[2024]第072号  ,新办公共场所住宿（乡村民宿）卫生许可,2024-03-20 00:00:00,2024-03-20 00:00:00,2028-03-19 00:00:00,北京市怀柔区卫生健康委员会
北京无事酒店管理有限公司 ,91110116MAD92B552B,准予行政许可决定书,怀卫环许决字[2024]072号,卫生许可证,怀卫环监字[2024]第071号  ,新办公共场所住宿（乡村民宿）卫生许可,2024-03-20 00:00:00,2024-03-20 00:00:00,2028-03-19 00:00:00,北京市怀柔区卫生健康委员会
北京胜仟佳美容美发有限公司顶秀美泉分公司,91110116MA01U4YC7R,行政许可注销决定书,怀卫环许销字[2024]004号,卫生许可证,怀卫环监字[2023]第312号  ,注销公共场所理发、美容（非医疗美容）卫生许可,2024-03-19 00:00:00,2024-03-19 00:00:00,2099-12-31 00:00:00,北京市怀柔区卫生健康委员会
北京娜甫民宿中心(个体工商户) ,92110116MADA9P6G65,准予行政许可决定书,怀卫环许决字[2024]071号,卫生许可证,怀卫环监字[2024]第070号  ,新办公共场所住宿（乡村民宿）卫生许可,2024-03-19 00:00:00,2024-03-19 00:00:00,2028-03-18 00:00:00,北京市怀柔区卫生健康委员会
北京秀明利华商店,92110116L19442426N,准予延续/变更行政许可决定书,怀卫环许决字[2024]070号,卫生许可证,怀卫环监字[2016]第019号  ,延续公共场所理发卫生许可,2024-03-19 00:00:00,2024-03-19 00:00:00,2028-03-18 00:00:00,北京市怀柔区卫生健康委员会
北京乐意李民俗餐厅(个体工商户) ,92110116MADAU0NH9F,准予行政许可决定书,怀卫环许决字[2024]069号,卫生许可证,怀卫环监字[2024]第069号  ,新办公共场所住宿（乡村民宿）卫生许可,2024-03-19 00:00:00,2024-03-19 00:00:00,2028-03-18 00:00:00,北京市怀柔区卫生健康委员会
北京怀兴缘农家院餐厅 ,92110116MA00CUC35G,准予行政许可决定书,怀卫环许决字[2024]068号,卫生许可证,怀卫环监字[2024]第068号  ,新办公共场所住宿（乡村民宿）卫生许可,2024-03-18 00:00:00,2024-03-18 00:00:00,2028-03-17 00:00:00,北京市怀柔区卫生健康委员会
