获奖年度,获奖奖种,获奖编号,获奖项目名称,项目完成单位
2024,"科学技术进步奖(技术开发类)	","2024-J11-2-07	","长寿命航天器超大功率供配电系统设计技术与应用	",中国空间技术研究院
2024,"科学技术进步奖(技术开发类)	","2024-J02-2-11	","面向数字供应链安全的“代码疫苗”一体化防护体系研究与实践	",北京大学
2024,"科学技术进步奖(社会公益类)	","2024-J08-2-02	","糖尿病肾脏病病络理论体系构建与应用	",北京中医药大学东直门医院
2024,"自然科学奖	","2024-Z02-2-06	","多维光域信号解析理论与方法	",北京邮电大学
2024,"科学技术进步奖(技术开发类)	","2024-J11-2-05	","高速列车车轴服役性能保障关键技术及应用	",北京交通大学
2024,"技术发明奖	","2024-F03-2-02	","高温结构热损伤超声在线检测技术及装备	",中国特种设备检测研究院
2024,"技术发明奖	","2024-F01-2-04	","三维信息自适应调控的光场显示技术与应用	",北京邮电大学
2024,"科学技术进步奖(技术开发类)	","2024-J03-2-02	","高性能稀土永磁重稀土减量化技术及应用	",北京工业大学
2024,"自然科学奖	","2024-Z03-2-04	","纯蓝发射金属卤化物半导体纳米晶及其二极管	",北京科技大学
2024,"自然科学奖	","2024-Z01-2-05	","高强度爆炸材料冲击激活机理与能量释放调控研究	",北京理工大学
2024,"科学技术进步奖(技术开发类)	","2024-J09-2-04	","大容积车用液化天然气气瓶设计与试验检验关键技术研究及应用	",中国特种设备检测研究院
2024,"科学技术进步奖(技术开发类)	","2024-J11-1-01	","智能车辆行驶安全关键技术及产业化应用	",清华大学
2024,"科学技术进步奖(技术开发类)	","2024-J04-2-02	","海外“六高”超大型油田地面工程关键技术与规模化应用	",中国石油工程建设有限公司
2024,"科学技术进步奖(社会公益类)	","2024-J05-2-05	","北京冬奥会安全风险全局感知和应急保障关键技术及应用推广	",清华大学
2024,"科学技术进步奖(技术开发类)	","2024-J02-1-02	","面向海量软件的未知威胁高效检测与防护关键技术研发及应用	",中国科学院信息工程研究所
2024,"技术发明奖	","2024-F03-2-01	","长寿命耐原子氧涂层柔性制造关键技术及应用	",中国科学院化学研究所
2024,"科学技术进步奖(技术开发类)	","2024-J11-2-06	","基于空天车地一体化的轨道交通综合安全保障关键技术及应用	",国能朔黄铁路发展有限责任公司
2024,"科学技术进步奖(技术开发类)	","2024-J11-1-02	","北京三号高分辨率超精超稳超敏捷光学成像卫星工程及应用	",航天东方红卫星有限公司
2024,"科学技术进步奖(社会公益类)	","2024-J06-2-01	","提高肝癌预后的理论和技术创新与应用	",中国人民解放军总医院第一医学中心
2024,"自然科学奖	","2024-Z03-2-05	","高效热-磁-电能量转化相变材料的机理研究及器件设计	",北京科技大学
2024,"技术发明奖	","2024-F01-1-01	","星载合成孔径雷达模糊抑制关键技术与应用	",中国科学院空天信息创新研究院
2024,"自然科学奖	","2024-Z04-2-03	","作物产量耐逆的表观遗传调控网络构建和设计改良	",中国农业科学院生物技术研究所
2024,"自然科学奖	","2024-Z03-2-06	","高效光催化CO2还原催化剂构筑及其产物选择性调控机制研究	",中国石油大学（北京）
2024,"自然科学奖	","2024-Z01-2-04	","复杂数据分析的最优模型平均理论与方法	",首都师范大学
2024,"自然科学奖	","2024-Z01-1-01	","材料基因技术揭示高温超导普适物理规律	",中国科学院物理研究所
2024,"科学技术进步奖(技术开发类)	","2024-J01-2-01	","跨技术代绝缘体上硅制造技术开发与应用	",中国科学院微电子研究所
2024,"自然科学奖	","2024-Z02-2-02	","深度学习模型推理优化及域自适应理论与方法	",清华大学
2024,"自然科学奖	","2024-Z04-2-05	","失重性骨丢失的多层级调控机制解析	",中国航天员科研训练中心
2024,"科学技术进步奖(社会公益类)	","2024-J06-2-04	","肩关节脱位诊治关键技术创新及推广应用	",北京大学第三医院
2024,"科学技术进步奖(社会公益类)	","2024-J12-2-05	","国家重大活动食品安全风险识别分析关键技术体系构建与应用	",北京市食品检验研究院（北京市食品安全监控和风险评估中心）
2024,"科学技术进步奖(技术开发类)	","2024-J01-2-05	","多程融合协同辨识微波雷达系统关键技术及应用	",北京信息科技大学
2024,"科学技术进步奖(技术开发类)	","2024-J02-1-01	","数据和知识驱动的智慧诊疗关键技术及产业化应用	",中国人民解放军总医院
2024,"科学技术进步奖(社会公益类)	","2024-J06-1-03	","急性缺血性卒中再灌注治疗关键技术研发与应用	",首都医科大学附属北京天坛医院
2024,"科学技术进步奖(技术开发类)	","2024-J05-1-02	","月球钻取采样与拟实验证技术及应用	",北京卫星制造厂有限公司
2024,"科学技术进步奖(技术开发类)	","2024-J05-2-03	","重要承载结构损伤相控阵超声检测技术及产业化	",中国特种设备检测研究院
2024,"科学技术进步奖(技术开发类)	","2024-J01-2-03	","网络数字孪生架构与技术攻关、标准制定及关键场景应用	",中国移动通信集团有限公司
2024,"自然科学奖	","2024-Z02-1-01	","深度认知神经网络理论与方法	",中国科学院自动化研究所
2024,"技术发明奖	","2024-F04-2-02	","特种车辆动力系统智能协同管控关键技术及应用	",北京工业大学
2024,"科学技术进步奖(技术开发类)	","2024-J07-2-01	","眼科高相干性超高速扫频OCT系列成像设备的研发与产业化	",图湃（北京）医疗科技有限公司
2024,"科学技术进步奖(社会公益类)	","2024-J04-2-03	","冬奥百米分钟级气象预报技术创新及其在国家和首都关键场景的应用	",北京城市气象研究院
2024,"自然科学奖	","2024-Z02-2-04	","多维域无人飞行器空地协同通信理论与方法	",北京理工大学
2024,"科学技术进步奖(技术开发类)	","2024-J05-2-07	","运动医学植入物制备关键技术及产业化应用	",北京天星医疗股份有限公司
2024,"科学技术进步奖(技术开发类)	","2024-J04-1-01	","钢铁行业减污协同降碳关键技术与应用	",中国科学院过程工程研究所
2024,"科学技术进步奖(技术开发类)	","2024-J02-2-12	","面向复杂网络空间环境的安全威胁智能分析关键技术及应用	",北京航空航天大学
2024,"科学技术进步奖(社会公益类)	","2024-J06-2-07	","抑郁症量化诊疗全病程技术体系的创建与应用	",首都医科大学附属北京安定医院
2024,"科学技术进步奖(科普类)	","2024-J13-1-01	","《胃,你好吗》建立消化系统肿瘤科普新范式	",中国医学科学院肿瘤医院
2024,"科学技术进步奖(技术开发类)	","2024-J12-2-01	","高性能竹质工程材料制造关键技术与应用	",中国林业科学研究院木材工业研究所
2024,"科学技术进步奖(社会公益类)	","2024-J06-2-12	","重大免疫和炎症性皮肤病诊疗的创新研究与临床应用	",中国医学科学院北京协和医院
2024,"科学技术进步奖(技术开发类)	","2024-J09-2-01	","保障超大城市用电安全的需求侧资源灵活调节关键技术及工程应用	",中国电力科学研究院有限公司
2024,"科学技术进步奖(技术开发类)	","2024-J09-2-05	","第四代先进核能高温气冷堆核电站常规岛关键技术产业化	",国核电力规划设计研究院有限公司
2024,"科学技术进步奖(社会公益类)	","2024-J12-2-02	","基于能肥循环的城乡有机废弃物污染减控关键技术装备研发与应用	",中国农业大学
2024,"技术发明奖	","2024-F01-1-02	","氮化镓基发光器件关键衬底技术研发与产业化	",北京大学
2024,"科学技术进步奖(技术开发类)	","2024-J02-1-04	","深海可控式交互作业机器人关键技术与应用	",清华大学
2024,"技术发明奖	","2024-F04-2-03	","道路交通基础设施环境低影响建设及其智慧运维关键技术	",北京航空航天大学
2024,"自然科学奖	","2024-Z05-2-06	","人群移动的时空模式与关键机制研究	",北京大学
2024,"科学技术进步奖(社会公益类)	","2024-J01-2-02	","电离层高精度探测阵列雷达技术及应用	",中国科学院国家空间科学中心
2024,"科学技术进步奖(技术开发类)	","2024-J10-2-02	","超长无缝混凝土结构长寿命服役性能预测和调控关键技术与应用	",北京市建筑工程研究院有限责任公司
2024,"科学技术进步奖(社会公益类)	","2024-J06-2-09	","多重耐药菌耐药性和致病性实验室诊断关键技术平台建立与临床推广	",中国医学科学院北京协和医院
2024,"科学技术进步奖(技术开发类)	","2024-J04-2-06	","面向复杂深层的页岩气钻-压-采一体化关键技术与应用	",中国石油大学（北京）
2024,"科学技术进步奖(社会公益类)	","2024-J04-1-03	","再生水超净处理与电子级超纯水制备关键技术及设备	",清华大学
2024,"科学技术进步奖(技术开发类)	","2024-J11-2-01	","智能驾驶建模与仿真测试验证平台关键技术研发及应用	",北京赛目科技股份有限公司
2024,"科学技术进步奖(社会公益类)	","2024-J04-1-02	","可持续发展目标地球大数据评估关键技术及应用	",中国科学院空天信息创新研究院
2024,"技术发明奖	","2024-F03-2-03	","轻质薄壁结构高质高效激光精密焊接成套技术装备及应用	",北京工业大学
2024,"科学技术进步奖(社会公益类)	","2024-J02-2-02	","航天测发领域可重构高可信工业控制系统关键技术与工程应用	",北京特种工程设计研究院
2024,"自然科学奖	","2024-Z05-2-07	","青藏高原地区极端环境生态价值的新认识	",北京师范大学
2024,"科学技术进步奖(技术开发类)	","2024-J04-2-04	","氯代有机物污染场地绿色修复关键技术与材料研究及应用	",北京建工环境修复股份有限公司
2024,"科学技术进步奖(技术开发类)	","2024-J10-1-01	","高速铁路轮轨关系关键技术及在轨道系统中的应用	",中国铁道科学研究院集团有限公司
2024,"科学技术进步奖(技术开发类)	","2024-J02-2-04	","多模多维的大模型驱动型金融风险感知与评估系统开发及应用	",度小满科技（北京）有限公司
2024,"自然科学奖	","2024-Z04-2-10	","农产品挥发物的红外与激光光谱学测量机理、方法与器件	",北京市农林科学院智能装备技术研究中心
2024,"科学技术进步奖(技术开发类)	","2024-J05-2-02	","大型石化装置全流程智能控制关键技术及应用	",北京世纪隆博科技有限责任公司
2024,"科学技术进步奖(技术开发类)	","2024-J12-2-03	","蛋鸡智能化育繁推关键技术创新与应用	",北京市农林科学院信息技术研究中心
2024,"科学技术进步奖(技术开发类)	","2024-J02-2-05	","可控数据自驱的多样态AI训练数据高质效生产系统研发及应用	",北京海天瑞声科技股份有限公司
2024,"技术发明奖	","2024-F05-2-01	","基于微流控技术的遗传性耳聋相关基因检测系统研制及临床应用	",清华大学
2024,"自然科学奖	","2024-Z05-1-02	","核酸化学修饰的精准分析与环境表观遗传机制研究	",中国科学院生态环境研究中心
2024,"技术发明奖	","2024-F03-1-01	","高安全固态化锂离子电池关键材料和技术开发及应用	",中国科学院物理研究所
2024,"科学技术进步奖(技术开发类)	","2024-J02-2-09	","异质异构网络的安全协同机制、关键技术及应用	",清华大学
2024,"自然科学奖	","2024-Z01-2-02	","主动和被动粒子弥散理论与方法	",清华大学
2024,"自然科学奖	","2024-Z01-2-03	","原位电子显微学方法和纳米材料结构-性能关系的研究	",北京大学
2024,"科学技术进步奖(技术开发类)	","2024-J08-1-01	","基于网络靶标的中药复杂体系理论创新及关键技术示范应用	",清华大学
2024,"自然科学奖	","2024-Z05-2-11	","前泥盆系海相页岩气的烃源岩有机质成因演化与成藏富集机制	",中国石油大学（北京）
2024,"自然科学奖	","2024-Z02-2-07	","高维数据概念表示与解释的理论方法	",北京交通大学
2024,"自然科学奖	","2024-Z05-2-04	","搅拌摩擦焊界面摩擦-焊合过程建模及机理解析	",清华大学
2024,"科学技术进步奖(社会公益类)	","2024-J04-2-08	","全流程多维抗污染膜法废水低碳再生技术及应用	",北京市科学技术研究院资源环境研究所
2024,"科学技术进步奖(技术开发类)	","2024-J09-2-02	","双碳目标下提升新能源受入能力的直流分层运行控制关键技术与应用	",中国电力科学研究院有限公司
2024,"科学技术进步奖(社会公益类)	","2024-J06-2-06	","心血管疾病核医学精准诊断创新性技术的建立与应用	",首都医科大学附属北京安贞医院
2024,"科学技术进步奖(社会公益类)	","2024-J06-1-05	","罕见病诊疗研体系的建立及应用	",中国医学科学院北京协和医院
2024,"科学技术进步奖(社会公益类)	","2024-J06-2-03	","慢性肾脏病监测与精准防控策略的建立与推广应用	",北京大学第一医院
2024,"科学技术进步奖(技术开发类)	","2024-J01-1-02	","无线密集网络动态多连接技术及应用	",北京邮电大学
2024,"自然科学奖	","2024-Z05-2-05	","纳米连接的器件集成机理与性能调控	",清华大学
2024,"自然科学奖	","2024-Z01-1-03	","低维超导的新奇量子相变与量子态	",北京大学
2024,"技术发明奖	","2024-F06-2-02	","动植物产品多目标高效率风险监测与防控关键技术装备研发及应用	",中国质量检验检测科学研究院
2024,"技术发明奖	","2024-F01-2-03	","面向孪生场景的感传算关键技术及应用	",中国移动通信集团有限公司
2024,"科学技术进步奖(技术开发类)	","2024-J10-2-04	","小净距超大跨隧道建造关键技术及应用	",北京工业大学
2024,"自然科学奖	","2024-Z03-1-02	","新型薄膜光伏材料与器件	",北京大学
2024,"科学技术进步奖(技术开发类)	","2024-J01-2-07	","电力主动应急指挥平台关键技术及行业推广应用	",国网北京市电力公司
2024,"科学技术进步奖(技术开发类)	","2024-J03-1-01	","超厚板坯连铸技术开发与应用	",中冶京诚工程技术有限公司
2024,"科学技术进步奖(技术开发类)	","2024-J11-2-04	","特大城市轨道交通路网运营安全态势获取与协同应急关键技术及应用	",北京交通大学
2024,"科学技术进步奖(技术开发类)	","2024-J05-2-06	","大型空间复合材料构件高精度光学检测关键技术及应用	",北京卫星制造厂有限公司
2024,"科学技术进步奖(社会公益类)	","2024-J08-2-01	","常见腰椎退行性疾病的中医方案规范创新及推广应用	",中国中医科学院望京医院
2024,"科学技术进步奖(技术开发类)	","2024-J12-1-01	","牛用安全高效新兽药关键技术创新与应用	",中国农业科学院饲料研究所
2024,"科学技术进步奖(社会公益类)	","2024-J10-2-05	","工矿与建筑固废高效利用混凝土及工程结构关键技术	",北京工业大学
2024,"科学技术进步奖(社会公益类)	","2024-J04-2-01	","静止气象卫星干涉式红外高光谱探测仪谱定标技术及应用	",国家卫星气象中心
2024,"自然科学奖	","2024-Z04-1-01	","葡萄糖转运蛋白的结构与机理研究	",清华大学
2024,"自然科学奖	","2024-Z01-2-01	","智能制造中的机构设计与运动控制理论与方法	",中国科学院数学与系统科学研究院
2024,"科学技术进步奖(社会公益类)	","2024-J10-2-01	","建筑结构综合性能提升关键技术与工程应用	",北京市建筑设计研究院股份有限公司
2024,"自然科学奖	","2024-Z05-1-01	","大气氧化性和二次污染形成机制	",中国科学院化学研究所
2024,"科学技术进步奖(社会公益类)	","2024-J02-1-05	","开源生态成长式构建关键技术研发及大规模应用	",北京大学
2024,"科学技术进步奖(社会公益类)	","2024-J06-2-05	","难治性癫痫诊疗体系的创建与应用	",首都医科大学三博脑科医院
2024,"自然科学奖	","2024-Z01-1-02	","金属单晶基底上二维原子晶体材料制备方法的发现和物性调控	",中国科学院物理研究所
2024,"科学技术进步奖(技术开发类)	","2024-J02-2-03	","建筑信息模型三维图形关键技术体系构建及产业化应用	",广联达科技股份有限公司
2024,"科学技术进步奖(技术开发类)	","2024-J07-2-02	","新型肺炎球菌系列疫苗的研制及产业化	",北京民海生物科技有限公司
2024,"科学技术进步奖(科普类)	","2024-J13-2-01	","《穿山跨海的中国奇迹》系列科普图书	",中国交通建设股份有限公司
2024,"科学技术进步奖(技术开发类)	","2024-J03-2-01	","薄规格高性能软磁合金及制品关键技术开发及产业化	",北京北冶功能材料有限公司
2024,"自然科学奖	","2024-Z02-2-05	","复杂环境下有人-无人自主系统先进控制理论与技术	",北京理工大学
2024,"科学技术进步奖(社会公益类)	","2024-J11-2-02	","城市交通规划数字化底座平台构建关键技术与应用	",北京城建交通设计研究院有限公司
2024,"自然科学奖	","2024-Z03-2-03	","层状金属氢氧化物设计合成、拓扑转化与电解水应用	",北京化工大学
2024,"科学技术进步奖(技术开发类)	","2024-J05-2-01	","汽车动力总成智能化自动装配测试生产线装备研发及产业化	",北京机械工业自动化研究所有限公司
2024,"科学技术进步奖(技术开发类)	","2024-J02-1-03	","桌面操作系统安全自主可控关键技术及应用	",清华大学
2024,"自然科学奖	","2024-Z05-2-02	","蒸散遥感机理与耗水调控方法	",中国科学院空天信息创新研究院
2024,"自然科学奖	","2024-Z01-2-06	","编织复合材料多尺度结构力学与功能研究	",北京航空航天大学
2024,"科学技术进步奖(技术开发类)	","2024-J04-2-07	","复杂储层井孔成像资料精细处理解释关键技术与规模应用	",中国石油大学（北京）
2024,"自然科学奖	","2024-Z04-2-09	","食管鳞癌分子分型基础及驱动事件的调控机制	",中国医学科学院肿瘤医院
2024,"科学技术进步奖(技术开发类)	","2024-J02-2-14	","航天器强实时高可信操作系统关键技术及应用	",北京控制工程研究所
2024,"自然科学奖	","2024-Z05-2-01	","中高层大气气辉的辐射机制、变化特性和观测方法研究	",中国科学院国家空间科学中心
2024,"科学技术进步奖(技术开发类)	","2024-J02-2-07	","城市治理智能体底层关键技术研究与应用	",中关村科学城城市大脑股份有限公司
2024,"自然科学奖	","2024-Z03-2-02	","基于表界面有效调控的纳米颗粒生化活性研究	",北京工业大学
2024,"自然科学奖	","2024-Z05-2-09	","特种车辆增益可调鲁棒故障诊断和优化控制理论	",北京航空航天大学
2024,"科学技术进步奖(技术开发类)	","2024-J06-2-02	","基于多维影像的冠脉粥样硬化病变诊疗关键技术体系建立与推广应用	",中国人民解放军总医院第六医学中心
2024,"自然科学奖	","2024-Z04-2-08	","中国子宫颈癌病因流行病学及综合防控研究	",中国医学科学院肿瘤医院
2024,"科学技术进步奖(技术开发类)	","2024-J01-2-04	","40GHz超宽带高密度电路环境精确快速电磁评测技术及其应用	",北京邮电大学
2024,"科学技术进步奖(社会公益类)	","2024-J06-2-08	","艾滋病中国诊疗方案的创立和推广应用	",中国医学科学院北京协和医院
2024,"自然科学奖	","2024-Z04-2-04	","胚胎发育与调控机理研究	",中国科学院动物研究所
2024,"科学技术进步奖(科普类)	","2024-J13-2-02	","《奇妙的中国植物》系列科普作品	",首都师范大学
2024,"科学技术进步奖(技术开发类)	","2024-J10-1-02	","低品位热源大规模热泵供暖关键技术及应用	",中国建筑科学研究院有限公司
2024,"自然科学奖	","2024-Z02-2-01	","多自由度涡旋光束的调控机理及应用	",清华大学
2024,"技术发明奖	","2024-F03-1-02	","先进飞机部件装配的智能高精测量控制技术及应用	",清华大学
2024,"科学技术进步奖(技术开发类)	","2024-J10-2-06	","桥梁缆索服役性态感知与全寿命周期运维关键技术及应用	",中交公路规划设计院有限公司
2024,"自然科学奖	","2024-Z04-2-01	","氧化应激介导的肝脏活性氧微环境再平衡机制研究	",中国人民解放军总医院
2024,"技术发明奖	","2024-F02-1-01	","电子式大容量直流电压变换技术及其系列化装备	",清华大学
2024,"科学技术进步奖(社会公益类)	","2024-J08-2-03	","月经病中西医协同治疗方案制定与基础临床验证及推广应用体系构建	",中国医学科学院北京协和医院
2024,"科学技术进步奖(技术开发类)	","2024-J09-1-01	","强温室效应电工绝缘气体六氟化硫环保替代关键技术与装备	",中国电力科学研究院有限公司
2024,"自然科学奖	","2024-Z05-2-10	","非常规储层水力压裂裂缝扩展机理及声发射特征研究	",中国石油大学（北京）
2024,"科学技术进步奖(技术开发类)	","2024-J09-2-07	","陆相强非均质油气储层智能表征关键技术创新及工业化应用	",中国石油大学（北京）
2024,"技术发明奖	","2024-F01-2-02	","高效高质量激光熔覆关键技术研发及应用	",中国科学院半导体研究所
2024,"科学技术进步奖(技术开发类)	","2024-J02-2-01	","全栈信创混合云关键技术研发及规模应用	",天翼云科技有限公司
2024,"自然科学奖	","2024-Z02-1-02	","异构融合类脑计算基础理论和架构	",清华大学
2024,"自然科学奖	","2024-Z04-2-06	","脑白质营养不良的新致病基因鉴定及发病机制研究	",北京大学第一医院
2024,"技术发明奖	","2024-F01-2-01	","复杂工业过程感知-诊断-决策一体化系统关键技术及应用	",中国科学院自动化研究所
2024,"自然科学奖	","2024-Z02-2-08	","复杂网络化动态系统安全主动控制与鲁棒滤波	",北方工业大学
2024,"自然科学奖	","2024-Z02-1-03	","大容量高分辨超宽带硅基光电子集成芯片与系统	",北京大学
2024,"自然科学奖	","2024-Z04-1-03	","生物机械力学信号调节肿瘤免疫逃逸的机制及应用研究	",中国医学科学院基础医学研究所
2024,"技术发明奖	","2024-F06-2-01	","二氧化碳驱油与埋存一体化实验装置研制及关键技术应用	",中国石油大学（北京）
2024,"科学技术进步奖(技术开发类)	","2024-J02-2-08	","基于多源时空数据和大模型的海量位置信息动态更新关键技术及应用	",高德软件有限公司
2024,"科学技术进步奖(技术开发类)	","2024-J09-1-03	","大型风电叶片复材拉挤成套技术开发及产业化	",中材科技风电叶片股份有限公司
2024,"科学技术进步奖(技术开发类)	","2024-J01-2-06	","面向隧道工程智能运维的多域感知融合关键技术、装备与应用	",北京信息科技大学
2023,科学技术进步奖,2023-J08-2-03-D02,“生熟异治”中药饮片炮制及质量评价关键技术研究与应用,
2023,科学技术进步奖,2023-J02-1-02-R02,大规模异质知识计算关键技术及应用,叶　蔚
2023,科学技术进步奖,2023-J05-1-02-R12,航天大型复杂构件精准成形关键技术与装备开发及应用,罗　平
2023,科学技术进步奖,2023-J03-2-04-R01,热控涂层光谱特性精细调控关键技术及应用,卢　鹉
2023,科学技术进步奖,2023-J09-2-09-D03,复杂断陷勘探理论技术创新与京东南油气规模储量发现,
2023,科学技术进步奖,2023-J10-1-01-D05,国家速滑馆（冰丝带）绿色建造关键技术研究与应用,
2023,科学技术进步奖,2023-J09-1-03-R03,超高速真空机械开关关键技术及应用,杨兵建
2023,科学技术进步奖,2023-J06-2-01-D01,国民营养改善重大干预技术与应用,
2023,科学技术进步奖,2023-J06-2-12-R03,骨质疏松症防治体系的建立及应用,宋纯理
2023,自然科学奖,2023-Z03-2-05-R05,掺杂策略设计先进电化学材料及关键科学问题研究,柳守杰
2023,科学技术进步奖,2023-J03-1-01-D02,高能量密度锂离子电池用硅基负极材料的开发与产业化,
2023,自然科学奖,2023-Z04-2-06-D01,Tribble 3加速肿瘤和纤维化进展的机制及药靶发现,
2023,科学技术进步奖,2023-J05-2-08-R09,应急现场协同感知与融合推演关键技术及应用,赵荣华
2023,自然科学奖,2023-Z02-2-04-R02,微表情表达机制与稀疏深度运动感知研究,傅小兰
2023,科学技术进步奖,2023-J03-2-03-R09,车用高性能燃料电池关键材料、技术及应用,沈雪松
2023,科学技术进步奖,2023-J12-2-02-R09,设施蔬菜绿色高效精准生产关键技术装备研发与应用,方　慧
2023,科学技术进步奖,2023-J06-2-12-R05,骨质疏松症防治体系的建立及应用,王临虹
2023,科学技术进步奖,2023-J04-1-02-R09,锂电固废绿色低碳短程循环利用技术与应用,沈建中
2023,自然科学奖,2023-Z02-1-03-R07,自旋存储芯片及器件基础研究,朱道乾
2023,自然科学奖,2023-Z03-2-06-R07,气体水合物形成的热/动力学机理模型与过程调控方法,李　楠
2023,科学技术进步奖,2023-J02-2-02-D03,面向双碳优化的高效能数据中心关键技术研究与应用,
2023,自然科学奖,2023-Z05-2-12-R03,机械装备运动部件强化修复涂层设计、成形理论与长效安全服役,朱丽娜
2023,自然科学奖,2023-Z05-1-02-D02,气溶胶传播呼吸系统感染疾病的研究,
2023,科学技术进步奖,2023-J01-2-01-R10,集成电路光刻中光源与掩模协同优化技术及产业化应用,何建芳
2023,技术发明奖,2023-F02-1-01-R04,三床多分级多流程多燃料循环流化床清洁高效燃烧技术及应用,高　洁
