企业名称,统一社会信用代码
北京市平谷区夏各庄镇人民政府,11110226000113478D
北京市食品研究所,91110115400661692F
北京市平谷区金海湖镇人民政府,11110226000113443T
北京市金融工作局,
密云区园林绿化局,
门头沟区园林绿化局,
北京市房山区园林绿化局,
丰台区园林绿化局,
北京市海淀区园林绿化局,
门头沟区经信委,
北京海国鑫泰投资控股中心,91110108599642586E
北京延庆野鸭湖湿地自然保护区管理处,1211022974472778XD
北京市自来水集团有限责任公司,91110000101358044Q
北京市自来水集团有限责任公司,91110000101358044Q
北京市东城区发展和改革委员会,11110101000032686W
北京市西城区住房和城市建设委员会,11110102000037874K
北京广播电影电视设备制造厂,
北京市怀柔区渤海镇人民政府,11110227000098386G
北京市怀柔区长哨营满族乡人民政府,11110227000098626B
北京市怀柔区九渡河镇人民政府,11110227000098394B
房山区消防救援支队,
北京海融达投资建设有限公司,91110108777085234D
北京市昌平区延寿镇人民政府,1.11E+17
北京市通州区城市管理委员会,
北京市通州区城市管理委员会,
北京大龙供热中心,
北京大龙供热中心,
门头沟区园林绿化局,
北京市房山区人民政府燕山办事处,1.11E+17
北京中铁房山桥梁有限公司,
门头沟区消防救援支队,
北京市平谷区金海湖镇人民政府,11110226000113443T
北京市经济和信息化局,11110000693225666K
北京市朝阳区教育国有资产管理中心,12110105400840869H
北京市平谷区金海湖镇人民政府,11110226000113443T
北京市门头沟区城市管理委员会（北京市门头沟区城乡环境建设管理委员会办公室）,
北京兴振顺达投资管理有限公司,
北京市基础设施投资有限公司,
国网北京市电力公司,9.11E+17
门头沟区园林绿化局,
北京天桥衡融投资有限公司,91110102318013506J
北京市大兴区教育委员会,1.11E+17
北京金博羊绒制品有限公司,9.11E+17
北京市延庆区水务局,11110229000117938X
北京市大兴区教育委员会,1.11E+17
北京市水文地质工程地质大队,1.21E+17
北京市政路桥集团有限公司,91110000567482258Y
北京市地质研究所,1.21E+17
北京市石景山区体育局,11110107000067889K
北京市通州区食品药品监督管理局,1.11E+17
北京市门头沟区文化和旅游局,1.11E+17
北京市房山区食品药品监督管理局,11110000400606175B
北京市延庆区食品药品监督管理局,11110000400605375F
北京易华录信息技术股份有限公司,91110000802085421K
北京国信冠群技术有限公司,9.11E+17
中国建材检验认证集团股份有限公司,91110000101123421K
北京金山安全管理系统技术有限公司,9.11E+17
北京人民在线网络有限公司,9.11E+17
北京有色金属与稀土应用研究所,91110105400614650L
北京动力源科技股份有限公司,9.11E+17
普天信息技术有限公司,91110108710929105M
天地阳光通信科技（北京）有限公司,
中国科学院信息工程研究所,12100000717830706J
北京优纳科技有限公司,91110108779500729F
北京安控科技股份有限公司,91110000633710213T
北京麦邦光电仪器有限公司,9.11E+17
北京千方科技股份有限公司,9111000074614377XB
北京四方继保自动化股份有限公司,91110000625904675J
小米科技有限责任公司,91110108551385082Q
首钢集团有限公司,9.11E+17
恒安嘉新（北京）科技有限公司,
北京中关村软件园发展有限责任公司,9.11E+17
中寰卫星导航通信有限公司,91110000710932646M
北京北信源软件股份有限公司,91110000101967333M
北京海林节能设备股份有限公司,
北京新雷能科技股份有限公司,91110114102699924C
北京匡恩网络科技有限责任公司,9.11E+17
北京格林伟迪科技股份有限公司,9.11E+17
全时云商务服务股份有限公司,91110108802016856N
北京纬纶华业环保科技股份有限公司,91110108802070297Y
北京双鹭药业股份有限公司,91110000102299779W
北京立思辰新技术有限公司,9.11E+17
北京中关村微纳能源投资有限公司,9.11E+17
北京市民政局,11110000000021039C
通州区园林绿化局,
通州区园林绿化局,
通州区园林绿化局,
通州区园林绿化局,
通州区园林绿化局,
通州区园林绿化局,
通州区园林绿化局,
北京市首都公路发展集团有限公司,91110000700221058P
北京市门头沟区生态环境综合治理项目管理办公室（临时）,
北京市房山区生态环境建设办公室,11110111695027030L
北京市怀柔区生态环境建设特色示范区工作领导小组办公室,
北京市延庆区生态环境建设办公室,
北京市昌平区生态环境建设领导小组办公室,
通州区园林绿化局,
北京市顺义区水务局,11110110000092937B
通州区园林绿化局,
通州区园林绿化局,
北京市基础设施投资有限公司,
北京市基础设施投资有限公司,
北京市基础设施投资有限公司,
北京市基础设施投资有限公司,
北京市平谷区国家生态环境建设领导小组办公室,
北京市顺义区发展和改革委员会,11110110000092726U
北京市通州区发展和改革委员会,11110112000082907D
北京市昌平区发展和改革委员会,11110221000102912R
大兴区发展和改革委员会,
北京市房山区发展和改革委员会,1.11E+17
北京市海淀区发展和改革委员会,11110108000057701K
北京市丰台区发展和改革委员会,11110106000062711B
北京市石景山区发展和改革委员会,11110107000068435J
密云区发展和改革委员会,
通州区水务局,
北京市门头沟区潭柘寺镇人民政府,11110109000073373B
北京市昌平区流村镇人民政府,11110221000103798G
北京市交通委员会顺义公路分局,1211000040070914XP
北京市密云区生态环境建设领导小组办公室,
团市委,
北京市交通委员会路政局,11110000749353334T
北京市交通委员会门头沟公路分局,12110000400709203Q
北京市海淀区教育委员会,11110108000057883P
北京市丰台区公安消防支队,
北京市昌平区水务局,11110221000102859X
北京市密云区生态环境建设领导小组办公室,
北京市密云区新城子镇人民政府,11110228000108572R
北京海融达投资建设有限公司,91110108777085234D
北京市密云区穆家峪镇人民政府,11110228000108513N
北京长龙房地产开发有限公司,91110111102814101B
北京天景泰房地产开发有限公司,9111011110281403XF
北京市自来水集团有限责任公司,91110000101358044Q
北京市园林绿化局防沙治沙办公室,
北京市燃气集团有限责任公司,91110000795951626B
北京星湖投资开发公司,9.11E+17
北京星湖投资开发公司,9.11E+17
北京市燃气集团有限责任公司,91110000795951626B
北京海融达投资建设有限公司,91110108777085234D
北京星湖投资开发公司,9.11E+17
北京菜篮子集团有限公司,91110000101181883N
顺义区推进浅山区建设办公室,
北京菜篮子集团有限公司,91110000101181883N
北京菜篮子集团有限公司,91110000101181883N
北京市门头沟区潭柘寺镇人民政府,11110109000073373B
北京市门头沟区妙峰山镇人民政府,1.11E+17
北京市房山区园林绿化局,
北京市朝阳区机关后勤服务中心,12110105K00116455R
北京陆军预备役高射炮兵师,
北京市延庆区水务局,11110229000117938X
房山区阎村镇人民政府,
北京市基础设施投资有限公司,
北京市基础设施投资有限公司,
北京红蓝服装集团,9.11E+17
北京市大兴区教育委员会,1.11E+17
北京世纪阿姆斯生物工程有限公司,9.11E+17
北京市经济信息中心,12110000400591890H
通州区园林绿化局,
通州区园林绿化局,
通州区园林绿化局,
通州区园林绿化局,
通州区园林绿化局,
通州区园林绿化局,
通州区园林绿化局,
北京绿都基础设施投资有限公司,9.11E+17
北京市延庆区八达岭镇人民政府,1.11E+17
北京市通州区永乐店镇人民政府,11110112K0017644XQ
北京市通州区永乐店镇人民政府,11110112K0017644XQ
北京市通州区永乐店镇人民政府,11110112K0017644XQ
北京市公联公路联络线有限责任公司,9.11E+17
北京市教育矫治局双河办事处,
长阳镇张家场村村民委员会,
北京市丰台区房屋经营管理中心,12110106736487560P
北京石龙葡东物业管理中心,
北京大成房地产开发有限责任公司,9.11E+17
北京市机动车排放管理中心,12110000758203653A
北京市门头沟区龙泉镇人民政府,11110109000073496C
普天新能源（北京）有限公司,
北京峪口龙翔投资管理中心,91110117669936003K
北汽特来电（北京）新能源科技有限公司,
北京金银建科技发展有限公司,91110107717727418A
北京市怀柔区发展和改革委员会,11110227000097834A
北京市昌平区发展和改革委员会,11110221000102912R
北京市房山区发展和改革委员会,1.11E+17
北京市延庆区发展和改革委员会,1.11E+17
北京市顺义区发展和改革委员会,11110110000092726U
北京市丰台区发展和改革委员会,11110106000062711B
北京市平谷区发展和改革委员会,1.11E+17
北京金银建科技发展有限公司,91110107717727418A
普天新能源（北京）有限公司,
北京市石景山区发展和改革委员会,11110107000068435J
北京市延庆区城市管理委员会,
北京市延庆区城市管理委员会,
北京市延庆区城市管理委员会,
北京市延庆区城市管理委员会,
北京市延庆区城市管理委员会,
北京市延庆区城市管理委员会,
北京市顺义区城市管理委员会,
北京市顺义区市政市容建设服务中心,12110110556817825E
北京市顺义区市政市容建设服务中心,12110110556817825E
北汽特来电（北京）新能源科技有限公司,
北京城市排水集团有限责任公司,9.11E+17
北京市朝阳区发展和改革委员会,1.11E+17
北京华商三优新能源科技有限公司,91110112551433697H
北汽特来电（北京）新能源科技有限公司,
普天新能源（北京）有限公司,
普天新能源（北京）有限公司,
北京金银建科技发展有限公司,91110107717727418A
普天新能源（北京）有限公司,
北京市首都公路发展集团有限公司,91110000700221058P
密云区城市管理委员会,
北京大龙供热中心,
北京市保障房配套市政基础设施建设有限公司,91110000MA004XM095
北京市保障房配套市政基础设施建设有限公司,91110000MA004XM095
北京市保障房配套市政基础设施建设有限公司,91110000MA004XM095
北京悦居热力有限公司,9.11E+17
北京市保障房配套市政基础设施建设有限公司,91110000MA004XM095
北京市保障房配套市政基础设施建设有限公司,91110000MA004XM095
北京市保障房配套市政基础设施建设有限公司,91110000MA004XM095
北京市水务工程建设与管理事务中心,12110000749350790J
通州区园林绿化局,
通州区园林绿化局,
通州区园林绿化局,
通州区园林绿化局,
北京市工程咨询公司,91110102MA0196J71P
北京市市文投集团,
北京市热力集团有限责任公司,91110000101100238R
北京市密云区城市管理委员会,11110228000108118F
北京市延庆区水务局,11110229000117938X
北京市交通委员会路政局房山公路分局,
北京首儿药厂,9.11E+17
北京富华房地产开发有限公司,91110000101767008U
北京市延庆区康庄镇人民政府,11110229000118340B
北京市自来水集团有限责任公司,91110000101358044Q
北京市自来水集团有限责任公司,91110000101358044Q
北京市自来水集团有限责任公司,91110000101358044Q
区路政局,
北京天街集团有限公司,9.11E+17
北京永安热力有限公司,9.11E+17
北京生命科学研究所,12110000801187020R
北京永安热力有限公司,9.11E+17
北京市官厅水库管理处,12110000400638847Q
北京天街集团有限公司,9.11E+17
北京市延庆区珍珠泉乡人民政府,11110229000118500J
北京嘉宏供热有限公司,9111022874263749XJ
北京温彻斯工贸有限公司,9.11E+17
北京市朝阳区水务局,1111010500005296XC
中经云数据存储科技（北京）有限公司,91110302076600643D
北京市密云区民政局,
北京市水文总站,1211000040063888X1
中国石化集团北京燕山石油化工有限公司,91110304102767480H
溪翁庄镇政府,
通州区园林绿化局,
通州区园林绿化局,
北京祥龙公交客运有限公司,9.11E+17
北京市公联公路联络线有限责任公司,9.11E+17
北京市公联公路联络线有限责任公司,9.11E+17
北京京投城市管廊投资有限公司,91110228MA006BF569
北京市基础设施投资有限公司,
北京京投城市管廊投资有限公司,91110228MA006BF569
北京市昌平区生态环境建设领导小组办公室,
国家发展和改革委员会招待所,12100000E01031839F
北京市大兴区发展和改革委员会,11110224000087708T
北京怡展医疗器械有限责任公司,9.11E+17
北京市房山区生态环境建设办公室,11110111695027030L
北京市延庆区生态环境建设办公室,
北京市平谷区国家生态环境建设领导小组办公室,
北京市密云区生态环境建设领导小组办公室,
北京市门头沟区生态环境综合治理项目管理办公室（临时）,
北京市停车管理事务中心,
北京市怀柔区生态环境建设特色示范区工作领导小组办公室,
北京市人民政府国有资产监督管理委员会,1.11E+17
北京市园林绿化局防沙治沙办公室,
北京市城市管理综合行政执法局,11110000746105829M
房山区新农村建设办公室,
北京燃气平谷有限公司,9.11E+17
北京市怀柔区桥梓镇人民政府,1.11E+17
北京市凉水河管理处,1.21E+17
北京市北运河管理处,12110000400638783T
北京市城市河湖管理处,12110000400638804B
北京怀胜城市建设开发有限公司,91110116597746840E
北京市大兴区农业农村局,1.11E+17
北京市水务工程建设与管理事务中心,12110000749350790J
丰台区水务局,
北京市朝阳区水务局,1111010500005296XC
北京城市排水集团有限责任公司,9.11E+17
北京城市排水集团有限责任公司,9.11E+17
丰台区水务局,
丰台区水务局,
丰台区水务局,
北京市房山区水务局,1.11E+17
北京市延庆区水务局,11110229000117938X
北京市房山区城市管理委员会,
北京市房山区水务局,1.11E+17
北京城市排水集团有限责任公司,9.11E+17
丰台区水务局,
北京市首都公路发展集团有限公司,91110000700221058P
丰台区水务局,
北京市房山区水务局,1.11E+17
北京石泰基础设施投资有限公司,91110107093089824Q
北京市房山区燃气开发中心,12110111400914645M
北京云湖度假村有限公司,
北京世界园艺博览会事务协调局,1.21E+17
通州区园林绿化局,
通州区园林绿化局,
北京市天房市政工程管理中心,
北京市丰台区教育委员会,11110106000062930M
通州区园林绿化局,
北京市平谷区大华山镇人民政府,11110226000113312Y
北京市基础设施投资有限公司,
北京市平谷区大华山镇人民政府,11110226000113312Y
北京市石景山区国有资产经营公司,9.11E+17
通州区园林绿化局,
北京海融达投资建设有限公司,91110108777085234D
北京市房山区园林绿化局,
北京市公安局平谷分局,11110000000026884K
北京吉利学院,52110000400589571F
北京市交通委员会房山公路分局,1.21E+17
北京市延庆区大庄科乡人民政府,1.11E+17
北京市怀柔区喇叭沟门满族乡人民政府,11110227000098490L
北京市延庆区千家店镇人民政府,1.11E+17
石城镇人民政府,
北京海融达投资建设有限公司,91110108777085234D
北京公共交通控股（集团）有限公司,9111000010110591XL
北京公共交通控股（集团）有限公司,9111000010110591XL
首都医科大学附属北京潞河医院,1.21E+17
北京世界园艺博览会事务协调局,1.21E+17
北京市园林绿化局,1111000078480249XC
北京市公联公路联络线有限责任公司,9.11E+17
通州区园林绿化局,
通州区园林绿化局,
通州区园林绿化局,
通州区园林绿化局,
通州区园林绿化局,
通州区园林绿化局,
通州区园林绿化局,
通州区园林绿化局,
北京市朝阳区园林绿化局,11110105733481657Q
北京市交通委员会路政局,11110000749353334T
北京市大兴区园林绿化局,1.11E+17
北京市顺义区园林绿化局,
昌平区园林绿化局,
北京市房山区园林绿化局,
北京市怀柔区园林绿化局,
北京市延庆区园林绿化局,
丰台区园林绿化局,
北京市密云区水务局,11110228000107959W
北京市昌平区水务局,11110221000102859X
北京二商大红门肉类食品有限公司,9.11E+17
北京新福润达绝缘材料有限责任公司,9.11E+17
通州区水务局,
将台乡人民政府,
北京环境卫生工程集团有限公司,9.11E+17
北京建工国通建设公司,
北京建工国通建设公司,
北京建工国通建设公司,
通州区水务局,
通州区园林绿化局,
北京市首都公路发展集团有限公司,91110000700221058P
北京嘉宏供热有限公司,9111022874263749XJ
北京市食品药品监督管理局,
通州区水务局,
北京市消防救援总队,1.11E+17
国网北京市电力公司,9.11E+17
北京市八达岭林场,1.21E+17
中科宇图科技股份有限公司,91110105802963618A
奇安信科技集团股份有限公司,91110105397625067T
国家计算机网络与信息安全管理中心,12100000717800056Q
北京华航无线电测量研究所,12100000400009530D
北京中超伟业信息安全技术有限公司,
通州区园林绿化局,
通州区园林绿化局,
北京天诚同创电气有限公司,91110302682855128U
北京和合医学诊断技术股份有限公司,91110302565797010A
北京汉氏联合生物技术股份有限公司,9.11E+17
北京世纪金光半导体有限公司,9.11E+17
北京天广实生物技术股份有限公司,91110302747501137G
东易日盛家居装饰集团股份有限公司,9.11E+17
达闼科技（北京）有限公司,
北京大恒图像视觉有限公司,91110108600001947F
北京首都在线科技股份有限公司,9.11E+17
北京经纬恒润科技有限公司,91110105754668875A
北京航天测控技术有限公司,91110107101901035B
联动优势科技有限公司,9.11E+17
北京航天宏图信息技术股份有限公司,91110108671708384H
北京睿至大数据有限公司,9111011630650122XC
暴风集团股份有限公司,91110000798532048H
北京数字绿土科技有限公司,9111010805361441XR
东方网力科技股份有限公司,91110000721497432T
北京金隅水泥环保工程技术有限公司,9.11E+17
中科钢研节能科技有限公司,91110108348391639Q
北京永信至诚科技股份有限公司,91110108562135265P
北京飞利信科技股份有限公司,91110000743325201J
凌云光技术集团有限责任公司,91110108742342210W
北京伯肯节能科技股份有限公司,9.11E+17
谱尼测试集团股份有限公司,91110108740053589U
北京四海华辰科技有限公司,9.11E+17
北京中科飞鸿科技有限公司,9111010872357215XK
中国科学院自动化研究所,12100000400010945B
北京智芯微电子科技有限公司,91110108061292553X
北京首佳利华科技有限公司,91110108055605138M
北京大北农科技集团股份有限公司,91110000102006956C
北京金山云网络技术有限公司,9111010857121431XA
中粮营养健康研究院有限公司,91110114563653929H
北京嘀嘀无限科技发展有限公司,9.11E+17
北京东方惠尔图像技术有限公司,91110108700002867E
天闻数媒科技（北京）有限公司,
北京京能科技有限公司,
轨道交通节能北京市工程研究中心有限公司,9.11E+17
交控科技股份有限公司,91110106697684368N
北京真视通科技股份有限公司,91110000722672781M
海丰通航科技有限公司,91110106082890640P
国信优易数据有限公司,91110106335528376J
北京市延庆区水务局,11110229000117938X
北京华源热力管网有限公司,9111010566560241XT
北京兴谷发展公司,9.11E+17
北京市房山区水务局,1.11E+17
北京市通州区发展和改革委员会,11110112000082907D
北京市昌平区水务局,11110221000102859X
北京市怀柔区北房镇人民政府,11110227000098300M
北京兴振顺达投资管理有限公司,
通州区水务局,
北京新能源汽车股份有限公司,91110000696364303P
北京市延庆区井庄镇人民政府,1.11E+17
北京市门头沟区潭柘寺镇人民政府,11110109000073373B
北京市延庆区水务局,11110229000117938X
北京市公安局门头沟分局,11110000000073592E
北京市交通委员会通州公路分局,1.21E+17
北京五木服装有限责任公司,91110112102424269U
北京海融达投资建设有限公司,91110108777085234D
北京市房山区水务局,1.11E+17
北京首寰文化旅游投资有限公司,91110000082812693T
北京天地同创能源科发展有限公司,
北京市房山区水务局,1.11E+17
北京市延庆区社会办,
北京市水产技术推广站,12110000400639065E
北京燃气怀柔有限公司,91110116553104897B
北京星湖投资开发公司,9.11E+17
北京市门头沟区水务局,11110109000072813A
北京市永定河休闲森林公园管理处,12110000400639153W
北京星湖投资开发公司,9.11E+17
漷县镇政府,
通州区园林绿化局,
通州区园林绿化局,
通州区园林绿化局,
通州区园林绿化局,
通州区园林绿化局,
北京星湖投资开发公司,9.11E+17
北京星湖投资开发公司,9.11E+17
北京星湖投资开发公司,9.11E+17
北京星湖投资开发公司,9.11E+17
北京星湖投资开发公司,9.11E+17
北京星湖投资开发公司,9.11E+17
通州区园林绿化局,
通州区园林绿化局,
北京市通州区台湖镇人民政府,1.11E+17
北京市通州区漷县镇人民政府,11110112000084646U
漷县镇政府,
通州区园林绿化局,
通州区园林绿化局,
通州区园林绿化局,
通州区园林绿化局,
通州区园林绿化局,
北京市房山区园林绿化局,
北京市延庆区园林绿化局,
北京市延庆区园林绿化局,
北京市丰台区市政市容管理委员会,
北京天阳供暖有限公司,91110114746134750D
北京市基础设施投资有限公司,
北京市基础设施投资有限公司,
北京奥力斯特投资管理有限公司,91110107695022766W
北京丰盛供暖中心,
通州区水务局,
北京市自来水集团有限责任公司,91110000101358044Q
北京市基础设施投资有限公司,
北京市自来水集团有限责任公司,91110000101358044Q
北京市燃气集团有限责任公司,91110000795951626B
北京燃气集团怀柔有限公司,
北京燃气密云有限公司,91110228553092232R
北京燃气昌平有限公司,9.11E+17
北京市交通委员会路政局,11110000749353334T
北京市房山区城市管理委员会,
北京市工商行政管理局怀柔分局（慕田峪工商所）,
北京市应急管理局,11110000742603767K
北京市公安局西城分局,1.11E+17
北京市公安局朝阳分局,11110000000028943G
北京市朝阳区城市管理委员会,11110105000053882C
北京恩信达热能科技有限公司,91110114678789922D
北京二商希杰食品有限公司,
北京市门头沟区城市管理委员会（北京市门头沟区城乡环境建设管理委员会办公室）,
北京科蕊复合肥有限公司,91110117802940010N
山水文园凯湖房地产开发有限公司,9.11E+17
北京市首都公路发展集团有限公司,91110000700221058P
北京金隅琉水环保科技有限公司,9.11E+17
昌平区园林绿化局,
北京市大兴区城市管理委员会,1.11E+17
北京市延庆区第二中学,12110229401028290G
北京市延庆区第八中学,1211022979164029X4
北京市延庆区大榆树中学,12110229401027976H
北京市延庆区大榆树中心小学,12110229401021566E
北京市昌平区热力供应管理中心,12110221584478517T
中国石化集团北京燕山石油化工有限公司,91110304102767480H
北京市朝阳区常营回族乡人民政府,11110105K00116930P
北京市公联公路联络线有限责任公司,9.11E+17
北京未来科技城昌融置业有限公司,
北京市门头沟区龙泉镇人民政府,11110109000073496C
北京首华物业管理有限公司,9.11E+17
北京恒通园供暖有限公司,91110228788966934G
北京热必达供暖有限公司,91110228795106393X
北京市燃气集团有限责任公司,91110000795951626B
北京博锐新型建材有限公司,91110117576925321M
北京市顺义区发展和改革委员会,11110110000092726U
北京蒙京天然气销售有限公司,91110117MA005A634U
北京燃气平谷有限公司,9.11E+17
北京市密云区文化和旅游局,1.11E+17
北京市大兴区魏善庄镇人民政府,1.11E+17
北京博辉瑞进生物科技有限公司,91110115596057832U
国网北京市电力公司,9.11E+17
国网北京市电力公司,9.11E+17
国网北京市电力公司,9.11E+17
北京市热力集团有限责任公司,91110000101100238R
国网北京市电力公司,9.11E+17
国网北京市电力公司,9.11E+17
北京市延庆区旧县镇人民政府,1.11E+17
顺义区赵全营镇人民政府,
北京公共交通控股（集团）有限公司,9111000010110591XL
北京市顺义区造林工程建设办公室,
北京公共交通控股（集团）有限公司,9111000010110591XL
通州区园林绿化局,
通州区园林绿化局,
北京大兴国家粮食储备库,91110115102846656U
通州区园林绿化局,
北京市园林绿化局,1111000078480249XC
北京市房山区良乡镇人民政府,11110111000078377P
北京大兴国家粮食储备库,91110115102846656U
北京市人民政府口岸办公室,1.11E+17
北京市朝阳区发展和改革委员会,1.11E+17
北京市延庆区水务局,11110229000117938X
北京市平谷区发展和改革委员会,1.11E+17
房山区商务委员会,
北京市通州区发展和改革委员会,11110112000082907D
北京市昌平区发展和改革委员会,11110221000102912R
北京市大兴区发展和改革委员会,11110224000087708T
平谷区商务委员会,
北京市丰台区发展和改革委员会,11110106000062711B
北京市朝阳区园林绿化局,11110105733481657Q
北京市延庆区发展和改革委员会,1.11E+17
北京建新市政工程管理有限公司,91110101774091989W
北京建新市政工程管理有限公司,91110101774091989W
北京建新市政工程管理有限公司,91110101774091989W
北京建新市政工程管理有限公司,91110101774091989W
北京建新市政工程管理有限公司,91110101774091989W
北京建新市政工程管理有限公司,91110101774091989W
北京住总房地产开发有限责任公司,9.11E+17
通州区园林绿化局,
通州区园林绿化局,
通州区园林绿化局,
通州区园林绿化局,
通州区园林绿化局,
通州区园林绿化局,
通州区园林绿化局,
通州区园林绿化局,
北京市园林绿化局,1111000078480249XC
北京新航城开发建设有限公司,91110000MA00A22E4K
北京新航城开发建设有限公司,91110000MA00A22E4K
北京新航城开发建设有限公司,91110000MA00A22E4K
北京市密云区商务局,
顺义区商务委员会,
门头沟区商务委员会,
丰台区商务委员会,
石景山区商务委员会,
朝阳区商务委员会,
北京市海淀区商务局,1111010876629206XR
北京市房山区城市管理委员会,
北京市房山区城市管理委员会,
