   序号,证书状态,证书形式,证号,企业名称,法人代表,行政相对人代码,注册地址,经济类型,许可机关,核发日期,前一次有效期,延期有效期,,
21,有效,电子,(京)JZ安许证字〔2022〕010359,北京市机械施工集团有限公司,/,91110000101112503E,北京市大兴区金苑路23号院1号楼3层B座303,有限责任公司(法人独资),北京市住房和城乡建设委员会,2022-10-28,2022-11-18,2025-10-27,,
22,有效,电子,(京)JZ安许证字〔2022〕120203,北京天源建筑工程有限责任公司,/,91110113633699173P,北京市顺义区空港工业区B区裕民大街甲6号,其他有限责任公司,北京市住房和城乡建设委员会,2022-11-11,2022-11-05,2025-11-10,,
23,有效,电子,(京)JZ安许证字〔2022〕010262,中国京冶工程技术有限公司,/,91110108102055141N,北京市海淀区西土城路33号,其他有限责任公司,北京市住房和城乡建设委员会,2022-11-07,2022-11-24,2025-11-06,,
24,有效,电子,(京)JZ安许证字〔2023〕010971,中冶节能环保有限责任公司,/,9111010810195169X3,北京市海淀区西土城路33号,有限责任公司(法人独资),北京市住房和城乡建设委员会,2023-01-11,2023-01-16,2026-01-10,,
25,有效,电子,（京）JZ安许证字[2023]013156,北京密云市政工程有限公司,/,91110228102968194X,北京市密云区新南路11号,有限责任公司(法人独资),北京市住房和城乡建设委员会,2023-04-10,2023-05-20,2026-04-09,,
26,有效,电子,(京)JZ安许证字〔2022〕010800,北京今希建设集团有限公司,/,911100001023720241,北京市门头沟区石龙经济开发区永安路20号3号楼B1-4197室,其他有限责任公司,北京市住房和城乡建设委员会,2022-12-29,2023-02-02,2025-12-28,,
27,有效,电子,(京)JZ安许证字〔2022〕110618,北京正成市政工程有限责任公司,/,911101067002383001,北京市丰台区西三环南路57号4层405室,其他有限责任公司,北京市住房和城乡建设委员会,2022-07-05,2022-08-29,2025-07-04,,
28,有效,电子,(京)JZ安许证字〔2022〕012518,北京万泉建设投资集团有限公司,/,911100007000549748,北京市通州区张家湾镇三间房村(北京京空铝合金厂)3幢101室,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2022-12-26,2022-12-29,2025-12-25,,
29,有效,电子,(京)JZ安许证字〔2022〕210623,北京中消长城消防安全工程有限公司,/,91110112802431136B,北京市通州区工业开发区,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2022-05-20,2022-07-31,2025-05-19,,
30,有效,电子,(京)JZ安许证字〔2022〕011293,北京中集信达建设集团有限公司,/,91110109748116193W,北京市门头沟区石龙经济开发区永安路20号3号楼B1-2272室,其他有限责任公司,北京市住房和城乡建设委员会,2022-06-22,2022-08-01,2025-06-21,,
31,有效,电子,(京)JZ安许证字〔2022〕210625,铭基电子技术(北京)有限公司,/,911101056000643665,北京市朝阳区裕民路12号元辰鑫大厦E2二层,其他有限责任公司,北京市住房和城乡建设委员会,2022-07-21,2022-10-08,2025-07-20,,
32,有效,电子,（京）JZ安许证字[2023]012067,北京银泰永辉智能科技有限公司,/,91110108633699288N,北京市海淀区学清路16号学知轩1615室,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-04-13,2023-05-17,2026-04-12,,
33,有效,电子,(京)JZ安许证字〔2022〕210018,北京长迪建筑装饰工程有限公司,/,911101081013944916,北京市海淀区翠微路2号1幢西半部四层406,有限责任公司(外商投资、非独资),北京市住房和城乡建设委员会,2023-02-03,2022-10-30,2025-10-17,,
34,有效,电子,(京)JZ安许证字〔2022〕210020B,北京四海消防工程有限公司,/,911101051013901089,北京市海淀区紫竹院路116号6层D座706,有限责任公司(法人独资),北京市住房和城乡建设委员会,2022-11-04,2022-12-08,2025-11-03,,
35,有效,电子,(京)JZ安许证字〔2022〕110026,北京建工双兴建设集团有限公司,/,91110108700216232K,北京市海淀区西三环北路87号5层1-504-4,其他有限责任公司,北京市住房和城乡建设委员会,2022-10-10,2022-09-22,2025-10-09,,
36,有效,电子,(京)JZ安许证字〔2023〕011378,六建兴泰建设集团有限公司,/,911101087334626915,北京市海淀区紫竹院路116号嘉豪国际中心A座716号,有限责任公司(法人独资),北京市住房和城乡建设委员会,2023-01-19,2023-01-15,2026-01-18,,
37,有效,电子,(京)JZ安许证字〔2022〕210608,中建电子信息技术有限公司,/,91110108100018355R,北京市北京经济技术开发区科谷一街8号院1号楼15层1501,有限责任公司(法人独资),北京市住房和城乡建设委员会,2022-07-12,2022-08-05,2025-07-11,,
38,有效,电子,（京）JZ安许证字[2022]010219,北京融城建设工程有限公司,/,9111010780295544XN,北京市石景山区实兴大街30号院17号楼9层902-192(集群注册),有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-06-28,2022-10-22,2025-09-12,,
39,有效,电子,(京)JZ安许证字〔2022〕012170,中铁城建集团北京工程有限公司,/,911100006766024236,北京市朝阳区五里桥一街1号院21号楼1层101、2层201、3层301、4层401,有限责任公司(法人独资),北京市住房和城乡建设委员会,2022-09-19,2022-12-03,2025-09-18,,
40,有效,电子,(京)JZ安许证字〔2023〕011407,北京合谐致远建筑劳务有限公司,/,91110111080474387E,北京市房山区周口店镇车厂村四区266号,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-02-06,2023-02-24,2026-02-05,,
41,有效,电子,（京）JZ安许证字[2023]327880,北京布衣鼎盛建筑劳务有限公司,/,911101110592919146,北京市房山区青龙湖镇岗上村25号,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-06-21,2023-03-31,2026-03-28,,
42,有效,电子,（京）JZ安许证字[2022]010427,北京牛建建筑集团有限公司,/,911100001024392683,北京市通州区张家湾镇后街村244号,其他有限责任公司,北京市住房和城乡建设委员会,2023-05-25,2022-11-03,2025-09-06,,
43,有效,电子,(京)JZ安许证字〔2023〕220410,北京东大消防安全工程有限公司,/,911101121024726902,北京市通州区新华北街75号,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-02-06,2023-02-23,2026-02-05,,
44,有效,电子,（京）JZ安许证字[2023]011473,北京格林贝斯装饰工程有限公司,/,911101128024337483,北京市通州区漷县开发区鑫隅街158号,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-16,2023-04-15,2026-03-15,,
45,有效,电子,(京)JZ安许证字〔2022〕230414,北京久恒送变电工程安装有限公司,/,91110112756016213P,北京市通州区口子村东1号院9号楼3层,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2022-06-17,2022-08-27,2025-06-16,,
46,有效,电子,(京)JZ安许证字〔2022〕130416,北京通州永安建筑公司,/,91110112102450934B,北京市通州区张家湾镇广源西街9号1层155室,集体所有制(股份合作),北京市住房和城乡建设委员会,2022-07-18,2022-08-28,2025-07-17,,
47,有效,电子,(京)JZ安许证字〔2022〕012718,北京潞电电力建设有限公司,/,91110112102455604B,北京市通州区张家湾镇垡头村西807号,有限责任公司(法人独资),北京市住房和城乡建设委员会,2022-07-19,2022-09-11,2025-07-18,,
48,有效,电子,(京)JZ安许证字〔2022〕010905,北京市洪义设备租赁有限责任公司,/,91110112737680426R,北京市通州区漷县镇靛庄村村委会西南1000米,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2022-11-28,2023-01-12,2025-11-27,,
49,有效,电子,(京)JZ安许证字〔2022〕210627,捷通智慧科技股份有限公司,/,91110105600032532B,北京市朝阳区酒仙桥北路甲10号院108号楼,其他股份有限公司(非上市),北京市住房和城乡建设委员会,2022-05-07,2022-06-25,2025-05-06,,
50,有效,电子,(京)JZ安许证字〔2022〕010398,北京蓝图建筑装饰工程有限责任公司,/,91110115102905505A,北京市大兴区长子营镇朱庄村新区北二排1号,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2022-10-09,2022-07-25,2025-07-19,,
51,有效,电子,(京)JZ安许证字〔2022〕110630,中国通信建设北京工程局有限公司,/,91110108101112378J,北京市丰台区凤凰嘴街1号楼9层,有限责任公司(法人独资),北京市住房和城乡建设委员会,2022-09-14,2022-11-04,2025-09-13,,
52,有效,电子,(京)JZ安许证字〔2022〕220633,北京嘉和兴建设工程有限公司,/,911101098023702571,北京市门头沟区新城东街17号院6号楼13层1302,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2022-09-09,2022-10-31,2025-09-08,,
53,有效,电子,（京）JZ安许证字[2023]013584,北京东方银虹照明工程有限公司,/,911101157560304109,北京市大兴区安定镇兴安营村东原老镇政府院内,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-05-15,2023-07-30,2026-05-14,,
54,有效,电子,(京)JZ安许证字〔2022〕121091,北京市宣武华厦市政工程有限责任公司,/,91110102101592332D,北京市西城区牛街8号四层,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2022-08-19,2022-09-08,2025-08-18,,
55,有效,电子,(京)JZ安许证字〔2023〕241094,北京渤东博土木工程有限公司,/,91110105717782636Y,北京市朝阳区北苑东路19号院2号楼12层1205,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-01-31,2023-03-09,2026-01-30,,
56,有效,电子,（京）JZ安许证字[2023]011905,北京宝源建筑工程有限公司,/,911101157002426176,北京市大兴区庞各庄镇瓜乡路10号3号楼一层881室,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-05-16,2023-06-18,2026-05-15,,
57,有效,电子,(京)JZ安许证字〔2022〕221105,青龙腾(北京)消防工程有限公司,/,911102297351299647,北京市延庆区经济开发区百泉街10号A座501室,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2022-09-29,2022-08-15,2025-08-11,,
58,有效,电子,（京）JZ安许证字[2022]011352,中化岩土集团股份有限公司,/,91110000710929148A,北京市大兴区科苑路13号院1号楼,股份有限公司(上市、自然人投资或控股),北京市住房和城乡建设委员会,2023-03-10,2022-09-29,2025-08-28,,
59,有效,电子,(京)JZ安许证字〔2022〕101111,北京首钢建设集团有限公司,/,91110000633700269T,北京市石景山区古城路首钢总公司第一机械运输工程公司院内,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2022-06-09,2022-07-11,2025-06-08,,
60,有效,电子,(京)JZ安许证字〔2023〕011324,北京中都嘉业电力工程有限公司,/,91110106102137921N,北京市丰台区大瓦窑339号,有限责任公司(法人独资),北京市住房和城乡建设委员会,2023-01-31,2023-03-24,2026-01-30,,
61,有效,电子,（京）JZ安许证字[2020]012516,北京博大经开建设有限公司,/,91110302783950546E,北京市北京经济技术开发区景园北街2号25楼,有限责任公司(法人独资),北京市住房和城乡建设委员会,2023-06-06,2023-06-17,2026-06-05,,
62,有效,电子,（京）JZ安许证字[2021]231569,北京东源设备安装有限公司,/,91110115802870454M,北京市大兴区庆祥南路29号院4号楼3层301,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-05-31,2021-06-25,2024-05-18,,
63,有效,电子,(京)JZ安许证字〔2022〕211134,北京中航弱电系统工程有限公司,/,911101056337088694,北京市朝阳区霞光里9号11层1101房间,其他有限责任公司,北京市住房和城乡建设委员会,2022-08-03,2022-09-10,2025-08-02,,
64,有效,电子,（京）JZ安许证字[2022]001138,北京中淼防水工程有限公司,/,911101167423079765,北京市怀柔区宝山镇宝山寺村380号107室,其他有限责任公司,北京市住房和城乡建设委员会,2023-03-20,2022-11-26,2025-10-10,,
65,有效,电子,(京)JZ安许证字〔2022〕010513,北京中煤矿山工程有限公司,/,91110105101701244J,北京市朝阳区青年沟路5号64号楼4层400-453室,其他有限责任公司,北京市住房和城乡建设委员会,2022-09-20,2022-10-20,2025-09-19,,
66,有效,电子,(京)JZ安许证字〔2022〕221142,北京天文弘建筑装饰集团有限公司,/,91110108802041875Q,北京市海淀区黑泉路8号1幢康健宝盛广场C座七层7001号,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2022-09-13,2022-11-12,2025-09-12,,
67,有效,电子,（京）JZ安许证字[2023]011979,北京建研拓能空调工程安装有限公司,/,91110115757725230L,北京市大兴区西红门镇四村福伟路甲一区2条1号,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-16,2023-04-19,2026-03-15,,
68,有效,电子,(京)JZ安许证字〔2022〕211152,北京京航安机场工程有限公司,/,911101177355908225,北京市平谷区林荫北街13号信息大厦1312室,有限责任公司(法人独资),北京市住房和城乡建设委员会,2022-11-11,2022-12-08,2025-11-10,,
69,有效,电子,（京）JZ安许证字[2022]121153,北京诺和兴建设工程有限公司,/,911101151028391811,北京市大兴区魏善庄镇龙海路3号一层199室,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-05-11,2022-10-29,2025-08-28,,
70,有效,电子,(京)JZ安许证字〔2022〕010699,中咨华科交通建设技术有限公司,/,911101087239694210,北京市海淀区通汇路16号101、102、201,有限责任公司(法人独资),北京市住房和城乡建设委员会,2022-12-29,2023-01-20,2025-12-28,,
71,有效,电子,(京)JZ安许证字〔2022〕211414,北京建黎建设工程有限公司,/,91110106101178705M,北京市丰台区汽车博物馆东路1号院2号楼2层206,其他有限责任公司,北京市住房和城乡建设委员会,2022-06-10,2022-08-07,2025-06-09,,
72,有效,电子,(京)JZ安许证字〔2022〕131416B,中机建工有限公司,/,911101051011523962,北京市朝阳区德胜门外北沙滩1号,其他有限责任公司,北京市住房和城乡建设委员会,2022-09-14,2022-11-17,2025-09-13,,
73,有效,电子,(京)JZ安许证字〔2022〕221428,北京中建智能建筑系统集成有限公司,/,91110105700222464P,北京市朝阳区东三环北路甲2号楼13层1301内1339,有限责任公司(法人独资),北京市住房和城乡建设委员会,2022-12-09,2022-12-19,2025-10-24,,
74,有效,电子,(京)JZ安许证字〔2022〕211578,北京天图设计工程有限公司,/,91110105101158210W,北京市东城区青龙胡同甲1号、3号2幢2层209-13室,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2022-07-13,2022-09-19,2025-07-12,,
75,有效,电子,（京）JZ安许证字[2023]012407,北京通达安市政工程有限公司,/,911101151030252008,北京市大兴区长子营镇企融路1号,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-04-18,2023-05-06,2026-04-17,,
76,有效,电子,（京）JZ安许证字[2023]013210,北京中盛泰和建筑装饰有限公司,/,91110113801164574D,北京市顺义区赵全营镇兆丰产业基地园盈路18号院,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-10,2023-04-28,2026-03-09,,
77,有效,电子,(京)JZ安许证字〔2022〕010361,北京中利建筑有限公司,/,9111010676504243X6,北京市丰台区大成路6号院1号楼12层1218,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2022-09-21,2022-11-05,2025-09-20,,
78,有效,电子,(京)JZ安许证字〔2022〕231584,北京希福电气安装工程有限公司,/,91110108802066626Y,北京市昌平区百善镇狮子营村177号,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2022-11-28,2023-01-01,2025-11-23,,
79,有效,电子,(京)JZ安许证字〔2023〕231585,北京东龙建筑装饰工程有限公司,/,9111011474810765XC,北京市昌平区北七家镇科技园区,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-01-16,2023-02-12,2026-01-15,,
80,有效,电子,(京)JZ安许证字〔2022〕011264,北京迪兴市政工程有限公司,/,91110115740415754J,北京市北京经济技术开发区(大兴)双羊路15号(北京自贸试验区高端产业片区亦庄组团),其他有限责任公司,北京市住房和城乡建设委员会,2022-12-30,2023-03-10,2025-12-29,,
81,有效,电子,(京)JZ安许证字〔2022〕100088,北京城建集团有限责任公司,/,91110000101909934T,北京市海淀区北太平庄路18号,有限责任公司(国有独资),北京市住房和城乡建设委员会,2022-11-01,2022-11-24,2025-10-31,,
82,有效,电子,(京)JZ安许证字〔2022〕012644,北京城建建设工程有限公司,/,91110108101905626T,北京市海淀区学清路38号B座611室,有限责任公司(法人独资),北京市住房和城乡建设委员会,2022-11-08,2022-11-27,2025-11-07,,
83,有效,电子,(京)JZ安许证字〔2022〕012720,国泰建设集团有限责任公司,/,91110000722678497K,北京市丰台区双林东路1号院1号楼,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2022-09-23,2022-10-10,2025-09-08,,
84,有效,电子,（京）JZ安许证字[2023]012831,北京泰立嘉消防工程有限公司,/,91110106633773679A,北京市丰台区纪家庙8号,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-04-26,2023-06-23,2026-04-25,,
85,有效,电子,(京)JZ安许证字〔2022〕010450,北京朝方供用电安装有限公司,/,91110105801707380T,北京市朝阳区豆各庄乡金田公园内8号,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2022-08-04,2022-10-11,2025-08-03,,
86,有效,电子,(京)JZ安许证字〔2022〕010978,北京市龙源宝山电力工程有限公司,/,91110107754681500C,北京市石景山区石景山路乙18号院3号楼5层609,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2022-11-22,2023-01-08,2025-11-21,,
87,有效,电子,(京)JZ安许证字〔2022〕011912,北京中航空港建设工程有限公司,/,91110115802866746F,北京市大兴区魏善庄镇原半壁店工业公司院内,其他有限责任公司,北京市住房和城乡建设委员会,2022-09-19,2022-10-20,2025-09-18,,
88,有效,电子,（京）JZ安许证字[2022]221779,北京天筑蓝图装饰工程有限公司,/,91110112721430924W,北京市门头沟区新城东街19号院2号楼4层410,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-06-01,2022-11-11,2025-09-05,,
89,有效,电子,(京)JZ安许证字〔2023〕131780,北京丰供送变电工程有限责任公司,/,91110106101111068C,北京市丰台区新发地(变电站院内),有限责任公司(法人独资),北京市住房和城乡建设委员会,2023-02-24,2023-03-03,2026-02-23,,
90,有效,电子,（京）JZ安许证字[2020]012812,北京市大兴区庞各庄建筑工程公司,/,911101151028582949,北京市大兴区庞各庄,集体所有制,北京市住房和城乡建设委员会,2023-05-26,2023-06-11,2026-05-25,,
91,有效,电子,(京)JZ安许证字〔2022〕131719,北京绿谷光明电力工程有限公司,/,91110117102943085K,北京市平谷区府前街27号,有限责任公司(法人独资),北京市住房和城乡建设委员会,2022-10-26,2022-10-23,2025-10-25,,
92,有效,电子,(京)JZ安许证字〔2023〕011011,北京阜达宏安系统工程有限公司,/,91110112700259021H,北京市通州区新华北街75号,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-01-10,2023-02-09,2026-01-09,,
93,有效,电子,(京)JZ安许证字〔2022〕221724,北京森桦建业防水工程有限公司,/,9111010675465238XL,北京市丰台区大瓦窑中路16号院15号楼2层201,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2022-12-29,2023-01-18,2025-12-28,,
94,有效,电子,(京)JZ安许证字〔2023〕221728,北京工正装饰工程有限公司,/,91110117102963289T,北京市平谷区刘家店镇银店大街26号1幢104,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-01-16,2023-03-12,2026-01-15,,
95,有效,电子,(京)JZ安许证字〔2022〕010252,北京高能时代环境技术股份有限公司,/,911100001022884121,北京市海淀区地锦路9号院13号楼-1至4层101内一层,其他股份有限公司(上市),北京市住房和城乡建设委员会,2022-09-06,2022-10-13,2025-09-05,,
96,有效,电子,（京）JZ安许证字[2020]013257,北京中富通电气安装工程有限公司,/,91110101663112572P,北京市平谷区峪口镇峪口村峪新大街9号223室,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-05-26,2023-08-10,2026-05-25,,
97,有效,电子,（京）JZ安许证字[2023]011765,北京麦思德装饰工程有限公司,/,911101137400833904,北京市顺义区马坡镇姚店村兴安路1号,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-31,2023-04-27,2026-03-30,,
98,有效,电子,(京)JZ安许证字〔2023〕211447,北京北方世纪建筑装饰工程有限公司,/,91110108102113700N,北京市海淀区紫竹院路81号院3号楼北方地产大厦1011室,其他有限责任公司,北京市住房和城乡建设委员会,2023-02-07,2023-03-05,2026-02-06,,
99,有效,电子,(京)JZ安许证字〔2021〕001448,北京宏基富隆建筑装饰工程有限公司,/,91110105742638628D,北京市朝阳区十八里店乡大洋路168号,其他有限责任公司,北京市住房和城乡建设委员会,2021-02-03,2021-04-23,2024-02-02,,
100,有效,电子,(京)JZ安许证字〔2022〕010161,建峰建设集团股份有限公司,/,91110000102079653X,北京市怀柔区杨宋镇北凤翔科技开发区五号,股份有限公司(非上市、自然人投资或控股),北京市住房和城乡建设委员会,2022-10-11,2022-11-11,2025-10-10,,
101,有效,电子,(京)JZ安许证字〔2022〕010209,北京城建二建设工程有限公司,/,91110108101542386Y,北京市海淀区复兴路81号,有限责任公司(法人独资),北京市住房和城乡建设委员会,2022-12-07,2022-12-16,2025-12-06,,
102,有效,电子,(京)JZ安许证字〔2022〕010459,北京城建远东建设投资集团有限公司,/,91110000101105143R,北京市昌平区北七家镇燕丹3号,其他有限责任公司,北京市住房和城乡建设委员会,2022-11-30,2022-12-05,2025-11-29,,
103,有效,电子,(京)JZ安许证字〔2022〕110093,北京城建五建设集团有限公司,/,91110000101640752H,北京市朝阳区安苑东里三区十号楼,有限责任公司(法人独资),北京市住房和城乡建设委员会,2023-04-06,2022-11-19,2025-10-16,,
104,有效,电子,(京)JZ安许证字〔2022〕110094,北京城建六建设集团有限公司,/,91110000102028784U,北京市密云区河南寨镇滨河工业开发区,其他有限责任公司,北京市住房和城乡建设委员会,2022-10-18,2022-10-29,2025-10-17,,
105,有效,电子,（京）JZ安许证字[2023]012818,天华久盛设备安装工程(北京)有限公司,/,911103047667606879,北京市房山区燕山北庄路6号,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-05-08,2023-07-01,2026-05-07,,
106,有效,电子,（京）JZ安许证字[2023]012610,宏安达建设集团有限公司,/,91110117802944839Y,北京市平谷区平谷镇府前西街40号205室,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-16,2023-05-08,2026-03-15,,
107,有效,电子,（京）JZ安许证字[2023]012478,北京沂鑫建筑机械租赁有限公司,/,91110117700065817E,北京市平谷区兴谷经济开发区6区303-215号,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-21,2023-04-19,2026-03-20,,
108,有效,电子,(京)JZ安许证字〔2023〕011307,北京凯基建筑工程有限公司,/,9111011780293661X6,北京市平谷区平谷镇府前街36号,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-02-17,2023-03-11,2026-02-16,,
109,有效,电子,（京）JZ安许证字[2022]130343,北京首兴安成电力工程有限公司,/,91110115102860247B,北京市大兴区庞各庄镇瓜乡路10号3号楼一层1060室,有限责任公司(法人独资),北京市住房和城乡建设委员会,2023-05-15,2022-12-10,2025-11-03,,
110,有效,电子,（京）JZ安许证字[2023]011794,北京昌盛伟业建筑工程有限公司,/,91110106760905814C,北京市丰台区杜家坎南8号南楼5层101室,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-03-23,2023-04-21,2026-03-22,,
