质量安全认证,年产量,生产规模,产品类别,所属区域,联系人,主体类型,主体名称,ID,所属行业,主要销售渠道,联系电话,统一社会信用代码,更新时间
HACCP,,2,奶站,顺义区,付**,企业,北京天辰乳业有限公司,E113006000000021,畜牧业,其他,***1139,911101137567225727,45210
HACCP,,,奶站,顺义区,付**,企业,北京天辰乳业有限公司,E113006000000021,畜牧业,其他,***1139,911101137567225727,45210
HACCP,,1380,畜禽养殖,顺义区,于**,企业,北京雄特牧业有限公司,E113109000000001,畜牧业,其他,***8200,91110113691677546N,45267
HACCP,360.0,650,畜禽养殖,顺义区,贾**,企业,北京小段奶牛合作社,E113109000000018,畜牧业,其他,***5716,91110113MA00FEQX27,45549
HACCP,,,畜禽养殖,顺义区,贾**,企业,北京小段奶牛合作社,E113109000000018,畜牧业,其他,***5716,	91110113MA00FEQX27,43385
HACCP,,45350,畜禽养殖,昌平区,崔**,企业,中国农业科学院北京畜牧兽医研究所种鸡场,E114003000000001,畜牧业,其他,***0190,12100000400882305E,45223
HACCP,,,蔬菜种植,昌平区,周**,企业,北京天通泰农业科技发展有限公司,E114110000000029,种植业,其他,***0449,91110114554895424C,42625
HACCP,,200,蔬菜种植,昌平区,周**,企业,北京天通泰农业科技发展有限公司,E114110000000029,种植业,其他,***0449,91110114554895424C,42625
HACCP,10.0,8671,养殖,昌平区,刘**,企业,恒远养殖场,E114112000000010,渔业,其他,***0966,,45268
HACCP,,,养殖,昌平区,刘**,企业,恒远养殖场,E114112000000010,水产业,其他,***0966,/,45268
HACCP,,50,蔬菜种植,昌平区,刘**,企业,中农盛丰（北京）农业发展有限公司,E114113000000025,种植业,其他,***8526,911101146995861471,43280
HACCP,160.0,100,畜禽养殖,平谷区,集**,企业,北京首农畜牧发展有限公司奶牛中心,E117006000000001,畜牧业,其他,***9258,911102290918860379,45457
HACCP,160.0,100,畜禽养殖,平谷区,集**,企业,北京首农畜牧发展有限公司奶牛中心,E117006000000001,畜牧业,其他,***9258,911102290918860379,45457
HACCP,,,其他(渔业),密云区,张**,企业,北京聚盛源养殖场,E118102000000015,水产业,其他,***2610,91110228689220176U,45229
HACCP,500.0,12000,其他(渔业),密云区,张**,企业,北京聚盛源养殖场,E118102000000015,渔业,其他,***2610,91110228689220176U,45719
HACCP,40.0,30,蔬菜种植,延庆区,蒋**,企业, 北京妫州牡丹农业科技有限公司（原天地润泽）,E119104000000002,种植业,其他,***0599,91110229694980604W,45275
HACCP,2000.0,690,畜禽养殖,延庆区,李**,企业,北京利源永兆养殖中心,E119104000000008,畜牧业,其他,***0084,91110229L31190620M,45504
HACCP,4950.0,41218,畜禽养殖,延庆区,李**,企业,北京丰森源农业发展有限公司,E119104000000009,畜牧业,其他,***0354,91110229MA01QYMW4J,45275
HACCP,450.0,,粮经作物生产,延庆区,郑**,企业,爱菩瑞德（北京）种植有限公司,E119104000000010,种植业,其他,***3077,91110229MA001M5N2M,45275
"无公害,无",687.0,8597,畜禽屠宰,昌平区,杨**,企业,北京二商大红门五肉联食品有限公司,E114004000000001,畜牧业,其他,***4002,110114003414638,44827
"无公害,绿色,有机,GAP,其他",,,蔬菜种植,昌平区,邹**,企业,北京金六环农业科技有限公司,E114111000000010,种植业,其他,***5746,91110114742315159B,45077
"无公害,绿色,有机,GAP,其他",10.0,30,蔬菜种植,昌平区,邹**,企业,北京金六环农业科技有限公司,E114111000000010,种植业,其他,***5746,91110114742315159B,45077
"无公害,绿色,有机,其他",,9000,蔬菜种植,大兴区,冯**,企业,北京庞各庄乐平农产品产销有限公司,E115108000000007,种植业,其他,***1685,91110115802862390E,45170
"无公害,绿色,有机,其他",,,蔬菜种植,大兴区,冯**,企业,北京庞各庄乐平农产品产销有限公司,E115108000000007,种植业,其他,***1685,91110115802862390E,45170
国家地理标识,,23.8,蔬菜种植,朝阳区,张**,合作社,北京市朝阳区崔各庄乡崔各庄村经济合作社,C105038000000001,种植业,其他,***7386,91110105801110437N,45520
国家地理标识,20.0,50,蔬菜种植,海淀区,苗**,合作社,北京市海淀区西北旺镇永丰屯村股份经济合作社,C108028000000001,种植业,其他,***6979,N2110108MF25496163,45275
国家地理标识,20.0,,蔬菜种植,门头沟区,崔**,合作社,北京京西红满天民宿旅游专业合作社,C109105000000003,种植业,其他,***2680,93110109575209948U,44747
国家地理标识,20.0,,粮经作物生产,门头沟区,芦**,合作社,北京灵之秀生态农业专业合作社,C109105000000006,种植业,其他,***6183,93110109674275801T,45259
国家地理标识,20.0,,粮经作物生产,门头沟区,杨**,合作社,北京市门头沟区斋堂镇杨家峪村股份经济合作社,C109106000000001,种植业,其他,***4957,N2110109A027615787,44861
国家地理标识,16.0,,粮经作物生产,门头沟区,索**,合作社,北京市门头沟区沿河城村股份经济合作社,C109106000000013,种植业,其他,***1749,/,45266
国家地理标识,500.0,,粮经作物生产,房山区,许**,合作社,北京市房山区城关街道羊头岗村经济合作社,C111001000000001,种植业,其他,***1305,N2110111770444724B,45069
国家地理标识,150.0,,粮经作物生产,房山区,高**,合作社,北京市房山区城关街道田各庄村经济合作社,C111001000000002,种植业,其他,***5828,N2110111802749099F,45062
国家地理标识,76.0,,粮经作物生产,房山区,赵**,合作社,北京拴马庄种植专业合作社,C111009000000001,种植业,其他,***3649,93110111071701269N,45062
国家地理标识,500.0,,粮经作物生产,房山区,刘**,合作社,北京市房山区周口店镇娄子水村经济合作社,C111009000000006,种植业,其他,***8869,N21101117848360405,45062
国家地理标识,130.0,,蔬菜种植,房山区,赵**,合作社,北京市房山区周口店镇黄山店村经济合作社,C111009000000007,种植业,其他,***8686,N2110111053626429W,45062
国家地理标识,10.0,,蔬菜种植,房山区,吴**,合作社,北京清河绿畔种植专业合作社,C111010000000006,种植业,其他,***8037,93110111589087873T,45069
国家地理标识,50.0,10,蔬菜种植,房山区,韩**,合作社,北京康希水乡种植专业合作社,C111010000000008,种植业,其他,***2782,93110111MA006K776P,45069
国家地理标识,,,养殖,房山区,范**,合作社,北京市房山区琉璃河镇立教村经济合作社,C111010000000011,水产业,其他,***6134,N21101118027403777,45069
国家地理标识,200.0,,粮经作物生产,房山区,刘**,合作社,北京生生堂种植专业合作社,C111010000000013,种植业,其他,***0898,93110111MA00EN5C65,45069
国家地理标识,300.0,,粮经作物生产,房山区,郝**,合作社,北京金立农机服务专业合作社,C111010000000022,种植业,其他,***2772,93110111693213921F,45069
国家地理标识,0.0,,蔬菜种植,房山区,郭**,合作社,北京市房山区琉璃河镇窑上村经济合作社,C111010000000029,种植业,其他,***8038,/,45069
国家地理标识,70.0,5,蔬菜种植,房山区,侯**,合作社,北京市房山区琉璃河镇福兴村经济联合社,C111010000000031,种植业,其他,***5878,N2110111681225538W,45069
国家地理标识,15.0,,蔬菜种植,房山区,任**,合作社,北京市房山区琉璃河镇任营村经济合作社,C111010000000033,种植业,其他,***8938,N21101115658319954,45069
国家地理标识,,4,蔬菜种植,房山区,刘**,合作社,北京宇朋种植专业合作社,C111010000000039,种植业,其他,***4580,110111012720043,45069
国家地理标识,21.0,,蔬菜种植,房山区,龚**,合作社,绿色常有种植专业合作社,C111012000000001,种植业,其他,***8801,93110111565784201T,45069
国家地理标识,,150,食用菌生产,房山区,王**,合作社,北京鸿泽嘉园种植专业合作社,C111104000000004,种植业,其他,***3303,/,45062
国家地理标识,,50,蔬菜种植,房山区,靳**,合作社,北京悦心生态种植专业合作社,C111104000000007,种植业,其他,***1109,/,45062
国家地理标识,8.0,,粮经作物生产,房山区,杨**,合作社,北京黄土坡种植专业合作社,C111107000000002,种植业,其他,***1913,93110111680468941W,45069
国家地理标识,90.0,20,蔬菜种植,房山区,张**,合作社,北京市星冠弘成蔬菜专业合作社,C111108000000001,种植业,其他,***0249,93110111668407812Y,45069
国家地理标识,120.0,,蔬菜种植,房山区,石**,合作社,北京市房山区长沟镇黄元井村经济合作社,C111108000000002,种植业,其他,***1150,N21101117934332195,45069
国家地理标识,8.0,,蔬菜种植,房山区,石**,合作社,北京乐福家园种植专业合作社,C111108000000003,种植业,其他,***4314,931101110555594505,45069
国家地理标识,20.0,20,粮经作物生产,房山区,于**,合作社,北京市房山区长沟镇太和庄村经济合作社,C111108000000004,种植业,其他,***8829,N21101116637462413,45069
国家地理标识,6.0,,粮经作物生产,房山区,张**,合作社,北京市房山区长沟镇南甘池村经济合作社,C111108000000005,种植业,其他,***5233,N2110111802734444M,45069
国家地理标识,,,畜禽养殖,房山区,王**,合作社,北京金英富达生态养殖专业合作社,C111109000000003,畜牧业,其他,***5806,931101116876330145,45260
国家地理标识,0.35,1000,畜禽养殖,房山区,王**,合作社,北京市房山区大石窝镇广润庄村经济合作社,C111109000000004,畜牧业,其他,***7610,N21101118027364747,45260
国家地理标识,70.0,,粮经作物生产,房山区,丁**,合作社,北京喜乐佳种植专业合作社,C111109000000006,种植业,其他,***4417,93110111569468505N,45069
国家地理标识,120.0,,粮经作物生产,房山区,蔡**,合作社,北京市房山区张坊镇蔡家口村经济合作社,C111110000000001,种植业,其他,***9590,N21101118027353838,45069
国家地理标识,480.0,,粮经作物生产,房山区,齐**,合作社,北京市房山区十渡镇卧龙村经济合作社,C111111000000003,种植业,其他,***8904,N2110111788629823B,45069
国家地理标识,225.0,,粮经作物生产,房山区,母**,合作社,北京市房山区青龙湖镇沙窝村经济合作社,C111112000000001,种植业,其他,***5185,N2110111802725927Q,45062
国家地理标识,10.0,,蔬菜种植,房山区,翟**,合作社,北京聚源惠众农业专业合作社,C111112000000003,种植业,其他,***0159,93110111MA00HE0Y6Q,45062
无,,,蔬菜种植,门头沟区,李**,合作社,北京市门头沟区王平镇安家庄村股份经济合作社,C109005000000001,种植业,其他,***6312,,45533
无,,,蔬菜种植,门头沟区,张**,合作社,北京市门头沟区龙泉镇西辛房村经济合作社,C109007212000001,种植业,其他,***7166,,45300
无,5.5,,蔬菜种植,门头沟区,张**,合作社,北京市门头沟区龙泉镇西辛房村经济合作社,C109007212000001,种植业,其他,***7166,/,45300
无,,,粮经作物生产,门头沟区,孙**,合作社,赵家台股份经济合作社,C109101000000001,种植业,其他,***6696,N2110109A027609548,45565
无,,,粮经作物生产,门头沟区,杨**,合作社,北京市门头沟区斋堂镇杨家村股份经济合作社,C109106000000001,种植业,其他,***4957,N2110109A027615787,45533
无,,,蔬菜种植,门头沟区,唐**,合作社,北京市门头沟区斋堂镇沿河口村股份经济合作社,C109106000000010,种植业,其他,***2044,N2110109560439628R,45477
无,,,蔬菜种植,门头沟区,唐**,合作社,北京市门头沟区斋堂镇沿河口村股份经济合作社,C109106000000010,种植业,其他,***2044,N2110109560439628R,45477
无,,,粮经作物生产,门头沟区,王**,合作社,北京市门头沟区斋堂镇王龙口村股份经济合作社,C109106000000012,种植业,其他,***5880,N21101095548402202,45477
无,25.59,,粮经作物生产,门头沟区,任**,合作社,北京市门头沟区清水镇黄安坨村股份经济合作社,C109107000000004,种植业,其他,***3158,N2110109762963508X,45471
无,,,粮经作物生产,门头沟区,任**,合作社,北京市门头沟区清水镇黄安坨村股份经济合作社,C109107000000004,种植业,其他,***3158,N2110109762963508X,45471
无,,,蔬菜种植,房山区,李**,合作社,北京绿马汇德种植专业合作社,C111008237000001,种植业,其他,***1470,/,45485
无,,,蔬菜种植,房山区,李**,合作社,北京绿马汇德种植专业合作社,C111008237000001,种植业,其他,***1470,,45485
无,,,蔬菜种植,通州区,蒋**,合作社,北京绿洲亿丰种植专业合作社,C112105000000001,种植业,其他,***2388,93110112053576679A,45590
无,,,蔬菜种植,通州区,赵**,合作社,北京后坨胜兴种植专业合作社,C112105000000003,种植业,其他,***5186,93110112571249467Y,45590
无,,,蔬菜种植,通州区,熊**,合作社,北京梓灿蔬菜种植专业合作社,C112105000000004,种植业,其他,***8786,93110112571280237E,45590
无,,,食用菌生产,通州区,马**,合作社,北京金阳食用菌菌种生产专业合作社,C112105000000005,种植业,其他,***6125,93110112699635973N,45590
无,,,蔬菜种植,通州区,胡**,企业,北京通达都市种植专业合作社,C112106000000001,种植业,其他,***1215,931101120765789174,45819
无,,,蔬菜种植,通州区,刘**,合作社,北京鑫农禾农业发展有限公司,C112110201000001,种植业,其他,***0614,91110112MABP76GUIX,45505
无,,,蔬菜种植,通州区,戎**,合作社,北京禾硕蔬菜专业合作社,C112117000000005,种植业,其他,***3835,93110112788971055L,45553
无,,,"蔬菜种植,其他(种植)",顺义区,韩**,合作社,北京松各庄瓜菜产销专业合作社,C113006227000001,种植业,其他,***9166,931101135790282716,45436
无,,200,"蔬菜种植,其他(种植)",顺义区,韩**,合作社,北京松各庄瓜菜产销专业合作社,C113006227000001,种植业,其他,***9166,931101135790282716,45436
无,,,粮经作物生产,顺义区,刘**,合作社,北京凤山为民种植业专业合作社,C113105000000001,种植业,其他,***7866,93110113688362500F,45849
无,4986.46,,粮经作物生产,顺义区,刘**,合作社,北京凤山为民种植业专业合作社,C113105000000001,种植业,其他,***7866,93110113688362500F,45495
无,4857.9,,粮经作物生产,顺义区,龙**,合作社,北京市荣萍种植专业合作社,C113105000000002,种植业,其他,***1838,931101136717413953,45495
无,,,粮经作物生产,顺义区,张**,合作社,北京市荣萍种植专业合作社,C113105000000002,种植业,其他,***9064,931101136717413953,45849
无,,,粮经作物生产,顺义区,山**,合作社,北京万顺旺农机服务专业合作社,C113105000000003,种植业,其他,***1238,93110113554887598F,45849
无,4699.45,,粮经作物生产,顺义区,山**,合作社,北京万顺旺农机服务专业合作社,C113105000000003,种植业,其他,***1238,93110113554887598F,45495
无,25550.0,1000,畜禽养殖,顺义区,崔**,合作社,北京金翅鸟农业专业合作社,C113109214000001,畜牧业,其他,***6362,,45749
无,,,其他(种植),顺义区,于**,合作社,北京兴绿发果品专业合作社,C113110216000001,种植业,其他,***5104,,45629
无,,,蔬菜种植,顺义区,聂**,合作社,北京绿富农果蔬产销专业合作社,C113112000000001,种植业,其他,***7404,93110113666934475N,45573
无,,,蔬菜种植,昌平区,周**,合作社,北京市睿智义禾庄园种植专业合作社,C114110210000001,种植业,其他,***3134,93110114589131088R,45734
无,,,蔬菜种植,大兴区,姚**,合作社,北京兴采育农种植专业合作社,C115104000000002,种植业,其他,***7302,931101150573927465,45540
无,10.0,20,蔬菜种植,大兴区,王**,合作社,北京绿禾都示食用菌专业合作社,C115106000000004,种植业,其他,***6631,931101156684143181,45484
无,,,蔬菜种植,大兴区,王**,合作社,北京绿禾都示食用菌专业合作社,C115106000000004,种植业,其他,***6631,931101156684143181,45750
无,,,蔬菜种植,大兴区,吴**,合作社,北京建平蔬菜产销专业合作社,C115106000000006,种植业,其他,***9953,110115011418450,45840
无,1000.0,,"蔬菜种植,粮经作物生产",大兴区,杨**,合作社,北京惠众蝗虫养殖专业合作社,C115106233000001,种植业,其他,***5236,93110115560363520L,45506
无,,,蔬菜种植,大兴区,王**,合作社,北京新风西瓜专业合作社,C115107000000001,种植业,其他,***9435,93110115055554131T,45511
无,160.0,1450,蔬菜种植,大兴区,王**,合作社,北京新风西瓜专业合作社,C115107000000001,种植业,其他,***9435,93110115055554131T,45511
无,,,蔬菜种植,大兴区,曹**,合作社,北京市爱农农产品产销专业合作社,C115107000000002,种植业,其他,***1868,931101156691332863,45511
无,,300,蔬菜种植,大兴区,曹**,合作社,北京市爱农农产品产销专业合作社,C115107000000002,种植业,其他,***1868,931101156691332863,45511
其他,,,其他(种植),门头沟区,李**,合作社,北京妙峰玫瑰种植专业合作社,C109108000000001,种植业,其他,***8042,92110109L58078049H,44874
其他,10.0,,其他(种植),门头沟区,李**,合作社,北京妙峰玫瑰种植专业合作社,C109108000000001,种植业,其他,***8042,92110109L58078049H,44874
其他,10.0,10,蔬菜种植,通州区,刘**,合作社,北京田麦谷农业专业合作社,C112110205000001,种植业,其他,***0614,93110112MAC3G4KJ2C,45505
其他,1.0,,蔬菜种植,平谷区,屈**,合作社,北京夏各庄田丰果品产销专业合作社,C117106000000009,种植业,其他,***9376,/,45401
其他,,,蔬菜种植,平谷区,屈**,合作社,北京夏各庄田丰果品产销专业合作社,C117106000000009,种植业,其他,***9376,,45401
其他,,,"蔬菜种植,粮经作物生产",密云区,卢**,合作社,北京金源密水种植专业合作社,C118104202000001,种植业,其他,***1702,,45859
其他,,,蔬菜种植,密云区,刘**,合作社,北京柿橙休闲农场有限公司,C118104205000001,种植业,其他,***1936,,45859
其他,,,蔬菜种植,密云区,曹**,合作社,北京双富孟阳农机服务专业合作社,C118104211000001,种植业,其他,***2930,93110228690810704c,45610
其他,,,"蔬菜种植,粮经作物生产",密云区,刘**,合作社,北京一山一柿生态农场有限公司,C118104227000001,种植业,其他,***1936,,45859
其他,,,其他(种植),密云区,尹**,合作社,北京盛泽丰销售专业合作社,C118107213000001,种植业,其他,***0144,93110118MA7EUEEJ97,45631
其他,,,蔬菜种植,延庆区,徐**,合作社,北京延菜农业科技有限公司,C119103217000004,种植业,其他,***3412,91110119MACD4CM48X,45807
其他,,,粮经作物生产,延庆区,丁**,合作社,北京市延庆区沈家营镇下郝庄村股份经济合作社,C119108215000001,种植业,其他,***5985,,45833
其他,,,粮经作物生产,延庆区,郭**,合作社,北京市延庆区沈家营镇下花园村股份经济合作社,C119108220000002,种植业,其他,***1087,,45833
"有机,无公害,GAP",,,蔬菜种植,房山区,赵**,企业,北京二渡大海种植有限公司,E111110207000001,种植业,其他,***7797,91110111MA01D2H10U,45534
