序号,行政相对人名称,事项名称,文号,公告日期
24,北京未来科技城发展集团有限公司,北京市昌平区未来科技城鲁疃西路综合管沟（二期）工程,京水行许字[2017]第89号,2017-04-10
25,北京未来科技城发展集团有限公司,北京市昌平区未来科技城南区路网市政配套工程鲁疃南路道路工程,京水行许字[2017]第86号,2017-04-10
26,北京未来科技城发展集团有限公司,北京市昌平区未来科技城南区路网市政配套工程海德堡花园东路道路工程,京水行许字[2017]第88号,2017-04-10
27,北京未来科技城发展集团有限公司,北京未来科技城（南区）岭上北路（北七家村中路-南区四路）道路工程,京水行许字[2017]第87号,2017-04-10
28,北京北控城市开发有限公司,北京雁栖湖生态发展示范区环境整治定向安置房项目一期,京水行许字[2017]第80号,2017-04-04
29,北京金水兴业房地产开发有限公司,北京市大兴区孙村组团三期B－07地块二类居住用地项目,京水行许字[2017]第72号,2017-03-25
30,北京海赋兴业房地产开发有限公司,北京市大兴区生物医药基地东配楼10号地二类居住用地、托幼用地项目,京水行许字[2017]第73号,2017-03-25
31,北京中粮万科房地产开发有限公司,房山区长阳镇居住、文化娱乐1号地项目水土保持设施竣工验收的审批,京水行许字[2017]第68号,2017-03-19
32,北京市交通委员会路政局密云公路分局,密兴路（巨各庄—市界）改建工程,京水行许字[2017]第65号,2017-03-19
33,北京城建胜茂房地产开发有限责任公司,房山区房山新城良乡组团04街区04-06-11、12二类居住、商业金融用地项目,京水行许字[2017]第70号,2017-03-19
34,北京中粮万科置业有限公司,房山区长阳镇起步区3号地南侧居住文化娱乐项目水土保持设施竣工验收的审批,京水行许字[2017]第69号,2017-03-19
35,北京市交通委员会路政局密云公路分局,密云县马北路支线（京承高速公路司马台立交~司曹路一期）道路工程,京水行许字[2017]第58号,2017-03-13
36,北京首城置业有限公司,北京市平谷区马坊镇A03-02、A03-03、A04-01、A04-02、A05-02地块居住、商业金融、社会停车场库项目,京水行许字[2017]第50号,2017-03-06
37,北京新奥通城房地产开发有限公司,北京通州运河核心区市政配套工程通燕高速辅路改造工程水土保持设施竣工验收的审批,京水行许字[2017]第51号,2017-03-06
38,北京新奥通城房地产开发有限公司,北京通州运河核心区市政配套工程故城东路道路工程水土保持设施竣工验收的审批,京水行许字[2017]第55号,2017-03-06
39,北京怀胜青春广场置业有限公司,怀柔新城03街区HR00-0003-0018地块B4综合性商业金融服务业用地项目（原青春广场项目（一期））水土保持方案变更,京水行许字[2017]第43号,2017-02-12
40,百度在线网络技术（北京）有限公司,百度科技园项目水影响评价竣工验收的审批,京水行许字[2017]第35号,2017-01-27
41,北京惠通华远国际会展中心有限公司,北京市房山区阎村镇02-0026地块R2二类居住用地项目的水土保持设施竣工验收的审批,京水行许字[2017]第34号,2017-01-27
42,北京新华联悦谷商业地产有限公司,平谷区马坊镇B07-02地块商业金融用地项目,京水行许字[2017]第24号,2017-01-23
43,北京乐多港发展有限公司,北京昌平大型旅游商业文化综合体（奥莱欢乐城）项目（一期）,京水行许字[2017]第23号,2017-01-23
44,北京新华联伟业房地产有限公司,平谷区马坊镇B05-01、B05-02居住及社会停车场库项目,京水行许字[2017]第22号,2017-01-23
45,北京市广厦房地产开发公司,延庆县第七中学西侧保障性住房（经济适用房、廉租房）建设项目,京水行许字[2017]第9号,2017-01-15
46,北京华电密云太阳能科技发展有限公司,北京华电密云20兆瓦光伏发电项目（不含光伏大棚和宿舍楼）,京水行许字[2017]第12号,2017-01-15
47,北京住总万科房地产开发有限公司,北京市昌平区回龙观1818-028地块二类居住用地（配建限价房）项目,京水行许字[2016]第408号,2016-12-29
48,北京密云华电太阳能科技发展有限公司,北京华电密云20兆光伏发电项目（不含光伏大棚和宿舍楼）水土保持方案变更报告,京水行许字[2016]第410号,2016-12-29
49,北京市密云区石城镇人民政府,密云水库西线路（七孔桥～白河大桥）改扩建工程,京水行许字[2016]第405号,2016-12-29
50,北京香江盛富房地产开发有限公司,2-1#住宅楼等43项（嘉泽生态住宅小区二期）水土保持设施竣工验收的审批,京水行许字[2016]第409号,2016-12-29
51,北京市燃气集团有限责任公司,京包高速路高压管线二期工程水土保持设施竣工验收的审批,京水行许字[2016]第401号,2016-12-22
52,中铁房地产集团北京金达世纪房地产开发有限公司,昌平区中关村科技园昌平园东区二期0303-04地块住宅混合公建用地项目,京水行许字[2016]第391号,2016-12-16
53,北京京投万科房地产开发有限公司,房山区长阳镇水碾屯村改造一期10-03-11、10-03-15、10-03-21项目水土保持设施竣工验收的审批,京水行许字[2016]第385号,2016-12-15
54,北京住总房地产开发有限责任公司,通州区马驹桥镇中心区06-02-1A、06-02-2A地块项目水土保持设施竣工验收,京水行许字[2016]第387号,2016-12-15
55,北京市首都公路发展集团有限公司,北京市六环路（良乡至寨口段）工程水土保持设施竣工验收,京水行许字[2016]第386号,2016-12-15
56,北京延庆野鸭湖湿地自然保护区管理处,北京野鸭湖湿地自然保护区湿地保护工程,京水行许字[2016]第388号,2016-12-15
57,北京首钢生物质能源科技有限公司,北京首钢生物质能源项目,京水行许字[2016]第389号,2016-12-15
58,北京市昌平房地产开发有限责任公司,北京市昌平房地产开发有限责任公司富松住宅小区西区项目,京水行许字[2016]第390号,2016-12-15
59,北京未来科技城发展集团有限公司,昌平区未来科技城南区（岭上村）定向安置房项目,京水行许字[2016]第375号,2016-12-09
60,北京未来科技城发展集团有限公司,昌平区未来科技城南区（北七家村）定向安置房项目,京水行许字[2016]第374号,2016-12-09
61,北京市交通委员会路政局门头沟公路分局,鲁坨路（京原公路旧路—鲁家山生物质能源厂）道路工程,京水行许字[2016]第379号,2016-12-09
62,北京乐多港发展有限公司,北京昌平大型旅游商业文化综合体（奥莱欢乐城）项目水土保持方案变更的审批,京水行许字[2016]第370号,2016-12-06
63,北京金雁饭店,金雁饭店重建项目水土保持设施方案变更,京水行许字[2016]第368号,2016-12-06
64,北京现代汽车有限公司,北京现代汽车有限公司第三生产厂区建设项目,京水行许字[2016]第369号,2016-12-06
65,北京北控城市开发有限公司,怀柔区新贤街定向安置房项目水土保持设施变更方案的审批,京水行许字[2016]第358号,2016-11-28
66,北京华世柏利房地产开发有限公司,延秋园住宅小区项目水土保持设计变更报告的审批,京水行许字[2016]第359号,2016-11-28
67,首都航天机械公司,中国航天科技集团公司第一研究院二一 一厂47号厂房建设项目水土保持设施竣工验收的审批,京水行许字[2016]第356号,2016-11-22
68,北京世纪泰丰国际会展中心有限公司,北京市通州区台湖镇H3-03地块F3其他类多功能用地项目水土保持设施竣工验收的审批,京水行许字[2016]第342号,2016-11-14
69,北京首都开发股份有限公司,北京市通州区宋庄镇C02地块商品住房建设项目,京水行许字[2016]第343号,2016-11-14
70,北京宁科置业有限责任公司,北京市昌平区北七家镇公建混合住宅用地（配建公共租赁住房）项目水土保持设施竣工验收的审批,京水行许字[2016]第344号,2016-11-14
71,北京安顺园房地产开发有限公司,房山区黄辛庄小区二期项目回迁楼水土保持设施竣工验收,京水行许字[2016]第328号,2016-11-03
72,北京城建胜茂房地产开发有限责任公司,房山区房山新城良乡组团04街区04-06-11、12二类居住、商业金融用地项目水土保持方案变更报告的审批,京水行许字[2016]第329号,2016-11-03
73,中建京西建设发展有限公司,门头沟区永定镇冯村、何各庄地区土地一级开发（A地块）定向安置房项目,京水行许字[2016]第314号,2016-10-24
74,北京创瑞祥安置业有限公司,北京市大兴区孙村组团居住区B-19、B-20地块R2二类居住用地、F3其它类多功能用地项目,京水行许字[2016]第312号,2016-10-24
75,北京北控国际会都房地产开发有限责任公司,北京雁栖湖国际会都（核心岛）项目,京水行许字[2016]第313号,2016-10-24
76,北京市房山区体育局,良乡体育中心项目,京水行许字[2016]第305号,2016-10-17
77,北京市密云区石城镇人民政府,密云水库西线路（七孔桥～白河大桥）改扩建工程水土保持设计报告变更,京水行许字[2016]第304号,2016-10-17
78,中国电建地产集团有限公司,中关村科技园区昌平园东区三期联合储备开发项目0303-32-3地块限价商品住房项目及0303-32-2地块幼儿园项目,京水行许字[2016]第286号,2016-09-22
79,北京良誉房地产开发有限公司,房山区拱辰街道办事处05-12-02、05-13-09、05-13-02等地块商业金融、二类居住、文化娱乐用地（配建限价商品住房）项目一期工程,京水行许字[2016]第265号,2016-09-08
80,北京金隅长阳嘉业房地产开发有限公司,房山区房山新城良乡组团10-01-05等地块（理工大学1号地）住宅混合公建、商业金融及社会停车场库用地项目,京水行许字[2016]第266号,2016-09-08
81,北京金科纳帕置业有限公司,昌平区常兴庄组团北部地区B地块居住项目,京水行许字[2016]第267号,2016-09-08
82,北京海赋兴业房地产开发有限公司,北京市大兴区生物医药基地东配套10号地二类居住用地、托幼用地项目水土保护设计变更报告,京水行许字[2016]第271号,2016-09-08
83,北京金隅嘉业房地产开发有限公司,北京市昌平区东沙河中区住宅及商业项目（一期）（嘉和园1-5楼、红石座7-10楼）工程,京水行许字[2016]第258号,2016-09-01
84,北京市南水北调工程建设管理中心,北京市南水北调配套工程大宁调蓄水库工程（不含小哑叭河工程、大宁调蓄水库工程管理设施）水土保持设施竣工验收,京水行许字[2016]第257号,2016-09-01
85,北京城建房地产开发有限公司,朝阳区东坝乡限价商品住房建设项目水土保持设施竣工验收的审批,京水行许字[2016]第256号,2016-08-30
86,北京首都开发股份有限公司,北京市房山区良乡高教园区中央设施区西区北侧住宅混合公建项目,京水行许字[2016]第251号,2016-08-25
87,北京创誉房地产开发有限公司,房山区长阳镇居住、商业金融项目（一期）,京水行许字[2016]第252号,2016-08-25
88,北京经济技术开发区基建办公室,亦庄新城凉水河万亩滨河森林公园项目,京水行许字[2016]第245号,2016-08-18
89,北京市海淀区水务局,海淀区温榆河（北沙河段）河道治理工程,京水行许字[2016]第238号,2016-08-15
90,北京市燃气集团有限责任公司,西集天然气门站及L-CNG储配站工程项目,京水行许字[2016]第235号,2016-08-10
91,绿地集团北京京腾置业有限公司,北京市昌平区小汤山镇B-04、B-05、B-07地块公建混合住宅用地（配建限价商品住房）项目,京水行许字[2016]第236号,2016-08-10
92,北京世纪鸿城置业有限公司,北京市昌平区北七家镇（平西府组团土地一级开发项目（北区）地块）二类居住、商业金融、托幼用地项目（配建“限价商品住房”）A地块工程,京水行许字[2016]第230号,2016-07-29
93,北京市交通委员会路政局密云公路分局,密关路白河大桥迁建工程,京水行许字[2016]第227号,2016-07-29
94,北京新奥通城房地产开发有限公司,通州运河核心区市政配套工程赵登禹大街道路工程,京水行许字[2016]第219号,2016-07-19
95,北京万筑房地产开发有限责任公司,北京市房山区长阳镇02-2-04等地块居住、混合公建项目、02-2-07地块居住项目,京水行许字[2016]第214号,2016-07-15
96,中国电建地产集团有限公司,门头沟区龙泉镇高家园地区土地储备项目（2号地块）定向安置房建设项目,京水行许字[2016]第210号,2016-07-11
97,北京城建胜茂房地产开发有限责任公司,房山区房山新城良乡组团04街区04-06-11、12二类居住、商业金融用地项目（04-06-12地块）,京水行许字[2016]第207号,2016-07-05
98,北京房开控股集团有限公司,北京市房山区良乡高教园区09-04-14文化娱乐项目水土保持方案变更审批,京水行许字[2016]第191号,2016-06-30
99,北京市海淀区水务局,南旱河截污工程水土保持设施竣工验收,京水行许字[2016]第193号,2016-06-30
100,北京市海淀区水务局,南旱河防洪排水工程（一期）,京水行许字[2016]第195号,2016-06-30
101,北京市海淀区水务局,海淀区北旱河防洪排水工程（一期）水土保持设施竣工验收,京水行许字[2016]第194号,2016-06-30
102,北京市交通委员会路政局昌平公路分局,沙阳路（颐阳路—八达岭高速公路西辅路）改建工程,京水行许字[2016]第176号,2016-06-09
103,北京市昌平区市政市容管理委员会,回龙观十里长街东延（林萃路~建材城东侧路）道路工程,京水行许字[2016]第179号,2016-06-09
104,北京汽车动力总成有限公司,北京汽车动力总成基地建设项目,京水行许字[2016]第168号,2016-06-02
105,北京城建和泰房地产开发有限责任公司,北京市房山区窦店镇（沁园春景二期）（配建回迁安置房）居住项目,京水行许字[2016]第169号,2016-06-02
106,北京市燃气集团有限责任公司,大唐煤质气市内接收工程（北石槽门站出线）,京水行许字[2016]第157号,2016-05-20
107,北京市燃气集团有限责任公司,西沙屯门站天然气工程,京水行许字[2016]第155号,2016-05-20
108,北京市燃气集团有限责任公司,大唐煤制气市内接收工程北石槽门站工程,京水行许字[2016]第156号,2016-05-20
109,北京未来科技城发展集团有限公司,未来科技城第一小学,京水行许字[2016]第110号,2016-04-17
110,北京未来科技城发展集团有限公司,未来科技城第一中学建设工程,京水行许字[2016]第109号,2016-04-17
111,首创天顺基础设施投资有限公司,顺义区赵全营镇板桥村定向安置房项目,京水行许字[2016]第100号,2016-04-10
112,北京北控国际会都房地产开发有限责任公司,北京雁栖湖国际会都（核心岛）建设项目水土保持方案变更,京水行许字[2016]第101号,2016-04-10
113,北京市首都公路发展集团有限公司,机场南线（京承高速公路-东六环路）公路工程,京水行许字[2016]第96号,2016-04-08
114,北京市交通委员会路政局延庆公路分局,110辅路应急线工程,京水行许字[2016]第88号,2016-04-01
115,北京金地房地产开发有限责任公司,怀柔区杨宋镇文化娱乐、商业金融及居住用地项目（配建租赁房）一期工程,京水行许字[2016]第87号,2016-04-01
116,北京新兴联华房地产开发有限公司,9#住宅楼等8项和3#住宅楼等9项（北京长城石湖村住宅二期项目）水土保持方案变更审批,京水行许字[2016]第82号,2016-03-26
117,北京首创奥特莱斯房山置业有限公司,长阳镇居住、商业项目（长阳西站1、2号地）第一期工程,京水行许字[2016]第78号,2016-03-26
118,北京市交通委员会路政局延庆公路分局,延庆县旧小路（旧县~小鲁庄）改建工程,京水行许字[2016]第73号,2016-03-26
119,北京昂内中天置业有限公司,北京市平谷区王辛庄镇贾各庄村东侧居住项目,京水行许字[2016]第77号,2016-03-26
120,北京市公联公路联络线有限责任公司,京良路（京石高速公路~五环路）道路工程,京水行许字[2016]第64号,2016-03-17
121,北京京能高安屯燃气热电有限责任公司,北京东北热电中心京能燃气热电厂工程,京水行许字[2016]第58号,2016-03-17
122,明发集团北京房地产开发有限公司,大兴区生物医药基地东配套7号地0505－052/055地块（北京明发广场）项目,京水行许字[2016]第46号,2016-02-22
123,北京市公联公路联络线有限责任公司,京良路（京石高速~五环路段）道路工程水土保持设计变更审批,京水行许字[2016]第38号,2016-02-05
124,北京安顺园房地产开发有限公司,房山区黄辛庄小区一期项目水土保持竣工验收,京水行许字[2016]第24号,2016-01-25
125,北京众美房地产开发有限公司,北京市大兴区庞各庄镇镇区改造4号地PGZ02-18、PGZ02-28地块二类居住、商业金融用地项目（一期）,京水行许字[2016]第25号,2016-01-25
126,北京市自来水集团有限责任公司,郭公庄水厂张新路配水干线工程水土保持竣工验收审批,京水行许字[2016]第282号,2016-01-14
127,北京未来科技城发展集团有限公司,北京市昌平区未来科技城鲁疃西路综合管沟（一期）工程水土保持竣工验收的审批,京水行许字[2015]第275号,2015-12-28
128,中铁嘉业（北京）投资有限公司,房山区城关街道（圣水嘉名）居住、公建混合项目（第一、二期）水土保持设施竣工验收审批,京水行许字[2015]第281号,2015-12-28
129,北京京能高安屯燃气热电有限责任公司,北京东北热电中心京能燃气热电厂工程水土保持方案后续设计变更的审批,京水行许字[2015]第280号,2015-12-28
130,北京燕翔饭店有限责任公司,燕翔饭店改扩建项目水土保持设施竣工验收审批,京水行许字[2015]第262号,2015-12-07
