序号,企业名称,区县,负责人,电话,产品
111,北京九度阳光农业发展有限公司,顺义区,王*娟,186****5565,"苹果,樱桃,大樱桃"
112,北京市善果农业科技有限公司,顺义区,魏*杰,186****8509,樱桃
113,北京七彩佳合花卉有限公司,顺义区,邹*,010****5276,"苹果,红色之爱苹果"
114,北京市顺义区龙湾屯镇张银霞果园,顺义区,张*霞,137****1463,"葡萄,苹果"
115,北京市俸伯苗圃,顺义区,赵*国,136****7408,"樱桃、苹果,樱桃"
116,北京百业众发农业有限公司,顺义区,王*,150****7088,樱桃
117,北京焦庄户文静农产品产销专业合作社,顺义区,靳*杰,156****5518,苹果
118,山东九间棚农业科技有限公司北京分公司,顺义区,王*,155****3910,"苹果,桃,梨,樱桃"
119,北京开心庄园农庄有限公司,顺义区,顾*平,159****3838,葡萄
120,北京可渡生态农业科技中心（有限合伙）,顺义区,陶*,133****3758,樱桃
121,北京大美龙湾生态农业发展有限公司,顺义区,王*军,133****7772,樱桃
122,北京旭曰东成生态农业科技有限公司,顺义区,张*,139****2115,苹果
123,北京宏博果业有限公司,顺义区,刘*,135****7985,樱桃
124,北京三村菇业专业合作社,顺义区,于*东,137****5443,樱桃
125,北京自然之光农业发展有限公司,顺义区,张*雷,158****8508,"樱桃,桃"
126,北京花果峪生态农业有限公司,顺义区,李*军,137****2618,"梨,桃"
127,北京亦辰园果蔬专业合作社,大兴区,陈*山,186****9554,梨
128,北京丽城嘉苑农业发展有限公司,平谷区,岳*华,138****5601,桃
129,北京金果丰果品产销专业合作社,平谷区,张*合,699****6038,"桃,九号"
130,北京硕华祥林木专业合作社,怀柔区,孙*华,137****5690,"苹果,梨,樱桃,蜂蜜,桃,板栗"
131,北京双利双鑫樱桃种植专业合作社,怀柔区,曹*伟,138****3015,樱桃
132,北京三合庄春刚果品专业合作社,昌平区,沈*秀,137****8513,苹果
133,北京蜜芝耘养蜂专业合作社,密云区,郭*力,139****8208,蜂蜜
134,北京三山蔬菜产销专业合作社,怀柔区,单*桐,136****5268,苹果
135,北京假日农夫科技有限公司,朝阳区,徐*勇,138****0386,苹果
136,碧森园生物科技（北京）有限公司,延庆区,乔*,133****7018,苹果
137,北京睿景至远农产品有限公司,昌平区,杨*,184****6816,"黄金蜜桃,苹果"
138,北京后白虎涧京白梨种植专业合作社,昌平区,蔡*清,133****3015,京白梨
139,北京葡香苑园艺场,通州区,许*,135****1295,葡萄
140,北京军都山红苹果专业合作社,昌平区,张*营,137****3400,"苹果,桃"
141,北京长子营福源冬枣种植园,大兴区,李*锁,137****5693,冬枣
142,北京金冠果业有限公司,房山区,刘*静,136****4045,"樱桃,苹果,葡萄,桃"
143,北京晨曙采摘中心,房山区,孟*,133****0422,桃
144,北京东方盛元农业专业合作社,大兴区,华*波,185****0508,"葡萄,桃,梨,冬枣"
145,北京青龙湖沙窝瑞海种植专业合作社,房山区,李*云,150****8061,"核桃,核桃"
146,北京仙峰云海生态农业有限公司,密云区,杨*权,133****9107,"梨,苹果"
147,北京凤凰山益农果蔬产销专业合作社,平谷区,周*英,136****8645,桃
148,北京邑仕庄园国际酒庄有限公司,密云区,王*,138****6224,葡萄
149,圣雅圣露国际酒庄（北京）有限公司,朝阳区,孟*涛,137****0913,葡萄
150,北京榆树湾水果种植专业合作社,密云区,倪*国,137****5713,苹果
151,北京黄土坎农产品产销专业合作社,密云区,丁*珠,139****1758,梨
152,北京桃林富林水果专业合作社,昌平区,齐*林,130****3842,苹果
153,北京京采盛芳农业专业合作社,大兴区,刘*波,138****8870,大白杏
154,北京上店盛华种植园,昌平区,刘*梅,185****8796,"苹果,桃"
155,北京德艺风尚物业管理有限公司,平谷区,朱*平,139****6776,"樱桃,佛见喜梨"
156,北京老栗树聚源德种植专业合作社,怀柔区,胡*凤,139****5870,"板栗,怀柔板栗"
157,北京绿思维农副产品产销专业合作社,大兴区,王*,135****7775,"葡萄,苹果"
158,北京盛世果王农业科技发展有限公司,怀柔区,孙*海,150****0822,"苹果,黄桃"
159,北京芳园农业科技发展有限公司,怀柔区,刘*芳,139****6082,"苹果,渔阳苹果"
160,北京市北寨红杏销售中心,平谷区,刘*东,137****3388,北寨红杏
161,北京正大果业有限公司,平谷区,张*君,133****6826,桃
162,北京市平谷区金海湖镇茅山后村民委员会,平谷区,马*勇,159****1081,"茅山后佛见喜梨,茅山后佛见喜梨"
163,北京仙栖水岸农业发展有限公司,房山区,王*军,156****2565,桃
164,北京永民腾飞果树种植园,怀柔区,缐*民,137****1110,"苹果,华硕苹果"
165,北京龙潭湾生态休闲农业专业合作社,昌平区,谭*,137****6998,"桃、苹果、樱桃,桃,苹果"
166,北京市豪联夏都农业科技发展有限责任公司,延庆区,张*雅,131****8377,"葡萄,京艳葡萄,爱神玫瑰"
167,北京十三陵御馨园种植有限公司,昌平区,赵*睿,139****5148,苹果
168,北京东坝观光果园,朝阳区,王*,654****1802,"樱桃,杏"
169,北京五彩田园种植专业合作社,通州区,张*芬,138****6227,樱桃
170,北京惠农流河峪农业发展有限公司,密云区,王*达,139****6605,樱桃
171,北京市裕隆万方农产品产销专业合作社,大兴区,韩*党,186****6285,梨
172,北京振明顺通果品种植专业合作社,昌平区,李*明,139****6551,苹果
173,北京海德农业发展有限公司,密云区,杨*,139****3232,
174,北京黑山寨果品专业合作社,昌平区,张*疆,139****7883,板栗
175,北京绿之森生态农业科技有限公司,海淀区,田*,624****3152,樱桃
176,北京紫雨果香生态种植园,顺义区,陈*胜,137****1818,"苹果,苹果"
177,北京特高特农业开发有限公司,顺义区,陶*华,133****8909,樱桃
178,北京莲顺农业开发有限公司,顺义区,常*明,158****3574,樱桃
179,北京葫芦娃生态农业有限公司,顺义区,王*平,614****1167,"王林、富士,袖珍苹果"
180,北京三合樱源种植专业合作社,顺义区,朱*旭,158****8585,樱桃
181,北京益康园生态农业发展有限公司,顺义区,李*林,135****7807,桃子
182,庄园1946,顺义区,苗*华,134****0977,"油桃,桃"
183,北京鑫港绿野种植有限公司,顺义区,李*宇,186****0980,"苹果,樱桃"
184,北京甜利农果品产销专业合作社,顺义区,杜*成,159****3098,樱桃
185,北京龙湾齐莲农产品产销专业合作社,顺义区,周*龙,136****8215,樱桃
186,北京长亦兴赤鲁民俗旅游专业合作社,大兴区,尤*凤,156****1675,梨
187,北京真顺好山好水果品专业合作社,昌平区,米*,136****3804,苹果
188,北京绿叶丰融种植有限公司,房山区,张*国,188****8191,"樱桃,文玩核桃"
189,北京市西山农场有限责任公司【合格证主体】,海淀区,陈*巧,624****5523,
190,北京百安园食用菌种植专业合作社【合格证主体】,门头沟区,王*庆,137****2618,
191,北京三荷农业科技发展有限公司,顺义区,贾*涛,139****9929,樱桃
192,北京崇盛养殖专业合作社【合格证主体】,门头沟区,赵*忠,137****7756,
193,北京聚兰兴养殖专业合作社【合格证主体】,门头沟区,尚*兰,137****9310,
194,北京岭西果蔬种植有限公司【合格证主体】,门头沟区,王*丽,185****0916,
195,张俊超【合格证主体】,顺义区,张*超,137****2459,
196,北京天下大农种植专业合作社,延庆区,吕*成,156****9860,
197,北京市瑞合丰种植业专业合作社,顺义区,田*,157****6142,苹果
198,北京吕万如种植基地,顺义区,吕*如,131****0424,樱桃
199,北京李木子种植基地,顺义区,李*文,137****7060,苹果
200,北京顺丰华夏生态农业发展有限公司,顺义区,魏*,138****3295,"冬枣,樱桃"
201,北京昌顺普蓝特采摘园,顺义区,冯*刚,010****6988,葡萄
202,北京绿之杰园林绿化有限公司,顺义区,郭*,139****3654,苹果
203,北京绿富隆农业科技发展有限公司,延庆区,祁*锋,138****6069,葡萄
204,北京市前庙村葡萄专业合作社【合格证主体】,延庆区,张*元,139****0958,
205,北京大胡子种植中心,顺义区,刘*平,139****1369,"桃,樱桃"
206,北京亿鑫实创农业科技发展有限公司,顺义区,杨*娟,137****5580,樱桃
207,北京东生农业科技发展有限公司,顺义区,郭*升,137****0100,樱桃
208,北京张裕爱斐堡生态农业开发有限公司,密云区,严*伟,890****6028,
209,北京市房山区琉璃河镇贾河村经济合作社,房山区,魏*明,136****9371,
210,北京后得云丰果品专业合作社,平谷区,马*勇,159****1081,佛见喜梨
