序号,企业名称,试点示范,最新认定_复审年份,最新认定_复审情况
162,北京百通科信机械设备有限公司,试点单位,2024年,2021年试点复审通过（2021年新认定或复审单位）
163,北京北方永达智能电气有限公司,试点单位,2024年,2021年试点复审通过（2021年新认定或复审单位）
164,北京国卫生物科技有限公司,试点单位,2024年,2021年试点复审通过（2021年新认定或复审单位）
165,北京海力奇增压器制造有限公司,试点单位,2024年,2021年试点复审通过（2021年新认定或复审单位）
166,北京凌空天行科技有限责任公司,试点单位,2024年,2021年试点复审通过（2021年新认定或复审单位）
167,北京宇极芯光光电技术有限公司,试点单位,2024年,2021年试点复审通过（2021年新认定或复审单位）
168,北京中科生仪科技有限公司,试点单位,2024年,2021年试点复审通过（2021年新认定或复审单位）
169,弗瑞尔(北京)科技有限公司,试点单位,2024年,2021年试点复审通过（2021年新认定或复审单位）
170,北京章光101科技股份有限公司,试点单位,2024年,2021年试点复审通过（2021年新认定或复审单位）
171,北京求臻医疗器械有限公司,试点单位,2024年,2021年试点复审通过（2021年新认定或复审单位）
172,银谷制药有限责任公司,试点单位,2024年,2021年试点复审通过（2021年新认定或复审单位）
173,北京九辰智能医疗设备有限公司,试点单位,2024年,2021年试点复审通过（2021年新认定或复审单位）
174,北京爱普益医学检验中心有限公司,试点单位,2024年,2021年试点复审通过（2021年新认定或复审单位）
175,北京康派特医疗器械有限公司,试点单位,2024年,2021年试点复审通过（2021年新认定或复审单位）
176,北京宜清源科技有限公司,试点单位,2024年,2021年试点复审通过（2021年新认定或复审单位）
177,中经云数据存储科技(北京)有限公司,试点单位,2024年,2021年试点复审通过（2021年新认定或复审单位）
178,北京义翘神州科技股份有限公司,试点单位,2024年,2021年试点复审通过（2021年新认定或复审单位）
179,北京科途医学科技有限公司,试点单位,2024年,2021年试点复审通过（2021年新认定或复审单位）
180,北京天空卫士网络安全技术有限公司,试点单位,2024年,2021年试点复审通过（2021年新认定或复审单位）
181,天星数科科技有限公司,试点单位,2024年,2021年试点复审通过（2021年新认定或复审单位）
182,北京思瑞德医疗器械有限公司,试点单位,2024年,2024年新认定试点
183,轩竹（北京）医药科技有限公司,试点单位,2024年,2024年新认定试点
184,润美时光（北京）生物科技有限公司,试点单位,2024年,2024年新认定试点
185,北京航天迈未科技有限公司,试点单位,2024年,2024年新认定试点
186,北京神州心辰科技有限公司,试点单位,2024年,2024年新认定试点
187,北京博联众睿机器人科技有限公司,试点单位,2024年,2024年新认定试点
188,北京胡曼智造科技有限责任公司,试点单位,2024年,2024年新认定试点
189,北京人形机器人创新中心有限公司,试点单位,2024年,2024年新认定试点
190,联通数字科技有限公司,试点单位,2024年,2024年新认定试点
191,长鑫集电（北京）存储技术有限公司,试点单位,2024年,2024年新认定试点
192,铂元智能科技（北京）有限公司,试点单位,2024年,2024年新认定试点
193,海辉医学（北京）科技有限公司,试点单位,2024年,2024年新认定试点
194,京东城市（北京）数字科技有限公司,试点单位,2024年,2024年新认定试点
195,瀚德（中国）汽车密封系统有限公司,试点单位,2024年,2024年新认定试点
196,赛维航电科技有限公司,试点单位,2024年,2024年新认定试点
197,艾斯拓康医药科技（北京）有限公司,试点单位,2024年,2024年新认定试点
198,为麦智能科技（北京）有限公司,试点单位,2024年,2024年新认定试点
199,北京德默高科医药技术有限公司,试点单位,2024年,2024年新认定试点
200,北京迪玛克医药科技有限公司,试点单位,2024年,2024年新认定试点
201,北京京东远升科技有限公司,试点单位,2024年,2024年新认定试点
202,北京智享嘉网络信息技术有限公司,试点单位,2024年,2024年新认定试点
203,北交振安轨道科技（北京）有限公司,试点单位,2024年,2024年新认定试点
204,北京京东方传感技术有限公司,试点单位,2024年,2024年新认定试点
205,北京能工荟智机器人有限责任公司,试点单位,2024年,2024年新认定试点
206,北京软体机器人科技股份有限公司,试点单位,2024年,2024年新认定试点
207,北京久事神康医疗科技有限公司,试点单位,2024年,2024年新认定试点
208,中珀（北京）新材料科技有限公司,试点单位,2024年,2024年新认定试点
209,福氏工业（北京）有限公司,试点单位,2024年,2024年新认定试点
210,北京华诺泰生物医药科技有限公司,试点单位,2024年,2024年新认定试点
211,精效新软新技术（北京）有限公司,试点单位,2024年,2024年新认定试点
212,北京左文科技有限公司,试点单位,2024年,2024年新认定试点
213,京微齐力（北京）科技股份有限公司,试点单位,2024年,2024年新认定试点
214,北京万得嘉瑞汽车技术有限公司,试点单位,2024年,2024年新认定试点
215,北京马威电动力技术有限公司,试点单位,2024年,2024年新认定试点
216,传麒科技（北京）股份有限公司,试点单位,2024年,2024年新认定试点
217,北京中天路业科技有限公司,试点单位,2024年,2024年新认定试点
218,北京歌锐科技有限公司,试点单位,2024年,2024年新认定试点
219,碳和科技（北京）有限公司,试点单位,2024年,2024年新认定试点
220,北京和崎精密科技有限公司,试点单位,2024年,2024年新认定试点
221,北京长顺安达测控技术有限公司,试点单位,2024年,2024年新认定试点
222,托普威尔石油技术股份公司,试点单位,2024年,2024年新认定试点
223,北京注色影视科技有限公司,试点单位,2024年,2024年新认定试点
224,北京开运联合信息技术集团股份有限公司,试点单位,2024年,2024年新认定试点
225,北京神导科技股份有限公司,试点单位,2024年,2024年新认定试点
226,昕传生物科技（北京）有限公司,试点单位,2024年,2024年新认定试点
227,北京黎阳之光科技有限公司,试点单位,2024年,2024年新认定试点
228,北京理工睿行电子科技有限公司,试点单位,2024年,2024年新认定试点
229,北京瞳沐医疗科技有限公司,试点单位,2024年,2024年新认定试点
230,北京翊博生物集团有限公司,试点单位,2024年,2024年新认定试点
231,北京唯迈医疗科技股份有限公司,试点单位,2024年,2024年新认定试点
232,光科芯图（北京）科技有限公司,试点单位,2024年,2024年新认定试点
233,逸超医疗科技（北京）有限公司,试点单位,2024年,2024年新认定试点
234,北京开运平行空间技术有限公司,试点单位,2024年,2024年新认定试点
235,北京空间智筑技术有限公司,试点单位,2024年,2024年新认定试点
236,北京互时科技股份有限公司,试点单位,2024年,2024年新认定试点
237,北京志健金瑞生物医药科技有限公司,试点单位,2024年,2024年新认定试点
238,北京国网电力技术股份有限公司,试点单位,2024年,2024年新认定试点
