项目ID,单位名称,营业执照注册号,统一社会信用代码,违法事实认定依据（处罚类别）,处罚依据,处罚决定（处罚事由）,处罚机关单位,立案日期
025f1560442d47e2b81c33cd6507fdd9,北京北控污水净化及回用有限公司,,911101146892493075,水,《中华人民共和国水污染防治法》第八十二条第一款第二项“违反本法规定，有下列行为之一的，由县级以上人民政府环境保护主管部门责令限期改正，处二万元以上二十万元以下的罚款；逾期不改正的，责令停产整治：（二）未按照规定安装水污染物排放自动监测设备，未按照规定与环境保护主管部门的监控设备联网，或者未保证监测设备正常运行的；”,对你单位处二万元罚款。,北京市生态环境局,21/8/2024 00:00:00
0272bb2cead54597a848705d9801b414,中国石油化工股份有限公司北京燕山分公司,91110304802763501L,91110304802763501L,,,,北京市生态环境局,
02de4227-26c5-4383-81d5-81cc2725e978,北京盛辰世代建筑工程有限公司,91110112MA01QRKW23 ,91110112MA01QRKW23,《北京市机动车和非道路移动机械排放污染防治条例》第二十五条第一款,《北京市机动车和非道路移动机械排放污染防治条例》第四十五条第一款,责令三日内改正，处五千元罚款。,北京市生态环境局,
02dfbe4d-3b01-454b-aec1-b84cb73c2793,北京鼎华方基玻璃有限公司,911101137635106079,911101137635106079,《北京市机动车和非道路移动机械排放污染防治条例》第二十五条第一款,《北京市机动车和非道路移动机械排放污染防治条例》第四十五条第一款,责令三日内改正，处五千元罚款。,北京市生态环境局,
02f00a44-bb7c-4bce-b18a-61dd46679814,北京旭阳科技有限公司,911101065732312016,911101065732312016,《建设项目环境影响报告书（表）编制监督管理办法》第三条,《建设项目环境影响报告书（表）编制监督管理办法》第二十六条第一款第（七）项,责令改正，对你单位给予通报批评。,北京市生态环境局,
03099550-22c8-432c-9e46-943732724cc1,北京八达岭信达资产管理中心,110229010564556,,《建设项目环境保护管理条例》第二十三条,《建设项目环境保护管理条例》第二十八条,责令停止生产或者使用，处陆万元罚款。,北京市生态环境局,
0327ea27-e840-491c-ad0b-dc1c70853bf9,北京能达建设工程有限公司,91110109MA01BQPY62 ,91110109MA01BQPY62,《北京市机动车和非道路移动机械排放污染防治条例》第二十五条第一款,《北京市机动车和非道路移动机械排放污染防治条例》第四十五条第一款,责令三日内改正，两台机械分别处五千元，共计一万元罚款。,北京市生态环境局,
036e58e5-d122-4414-8215-1c67e2262038,河南嘉景建筑劳务分包有限公司,91411700MA3XC4CW74 ,91411700MA3XC4CW74,《北京市大气污染防治条例》第七十四条第二款,《北京市大气污染防治条例》第一百一十六条,责令停止违法行为，处六万元罚款。,北京市生态环境局,
038e50e1-f96f-42e5-84f9-64ff6c0fb49d,北京年味道餐饮有限公司,91110101MA09125R5H ,91110101MA09125R5H,《北京市大气污染防治条例》第五十九条第一款,《北京市大气污染防治条例》第一百零八条第一款,责令十日内改正，处八千元罚款。,北京市生态环境局,
03b2f5aa-120c-4ab3-b5aa-a4400db42e7d,北京国门天翔加油站有限公司,911101136857515276,911101136857515276,《北京市大气污染防治条例》第三十五条第二款,《北京市大气污染防治条例》第九十七条,责令三日内改正，处二万元罚款。,北京市生态环境局,
03bbaec7-d16a-473f-9263-957309d317c8,北京金隅嘉业房地产开发有限公司,110000002100440,,《中华人民共和国水污染防治法》第十七条第三款,《中华人民共和国水污染防治法》第七十一条,责令常营二期经济适用住房项目B标段项目停止使用，处贰拾万元罚款。,北京市生态环境局,
03c1748b-d28e-4481-b831-ffc83b042557,廊坊市秀俊商贸有限公司,91131002MA07L3QQ43 ,91131002MA07L3QQ43,《北京市机动车和非道路移动机械排放污染防治条例》第二十五条第一款,《北京市机动车和非道路移动机械排放污染防治条例》第四十五条第一款,责令三日内改正，处五千元罚款。,北京市生态环境局,
03ea726c-a106-445b-a0d9-133db61633f4,北京大兴宾馆有限责任公司,110115007129550,,《北京市实施〈中华人民共和国大气污染防治法〉办法》第十条第二款,《北京市实施〈中华人民共和国大气污染防治法〉办法》第三十四条,责令停止违法行为，限三日内改正，处以叁万元罚款。,北京市生态环境局,
0413c95d-aa52-447d-ad08-5cfb96d03366,北京霆瀚能源技术有限公司,10108002119257,,《北京市大气污染防治条例》第三十六条第二款,《北京市大气污染防治条例》第一百条,责令停止违法行为，限三日内改正，处以贰万元罚款。,北京市生态环境局,
0465adf6-b42c-4a0a-86cc-83f29092c9d7,北京燕龙世纪餐饮管理有限公司第一分公司,91110108801187901H ,91110108801187901H,《北京市大气污染防治条例》第五十九条第一款,《北京市大气污染防治条例》第一百零八条第一款,责令十日内改正，处一万四千元罚款。,北京市生态环境局,
0474d07a-6d04-4bf1-8552-bda46fbb4765,河北合众建材有限公司,91131002550437610A ,91131002550437610A,《中华人民共和国大气污染防治法》第五十一条第一款,《中华人民共和国大气污染防治法》第一百一十四条第一款,责令三日内改正，处五千元罚款。,北京市生态环境局,
048bcabc-5a17-4194-a493-272cad521e5e,北京博丰长久丰田汽车销售服务有限公司,110113013094288,,《中华人民共和国固体废物污染环境防治法》第十七条第一款,《中华人民共和国固体废物污染环境防治法》第七十五条第一款第（十一）项和第二款,责令停止违法行为，限三十日内改正，处以贰万元罚款。,北京市生态环境局,
04e07381-2cd7-4b5a-8308-8b57c534b7f2,北京国信恒望热力有限公司,110109195705110017,,《北京市大气污染防治条例》第三十六条第二款,《北京市大气污染防治条例》第一百条,责令停止违法行为，限三日内改正，处伍万元罚款,北京市生态环境局,
04f729df-0869-4905-870f-454d377efb9c,北京真强物业管理有限责任公司,110115005039167,,《北京市实施〈中华人民共和国大气污染防治法〉办法》第十五条第二款,《北京市实施〈中华人民共和国大气污染防治法〉办法》第三十五条第一款第（四）项,责令停止违法行为，限三日内改正，处以壹万元罚款,北京市生态环境局,
04fcaaf6-aba1-4f62-b15a-4714851aa201,北京绿园春污水处理有限公司,110115012850998,,《北京市水污染防治条例》第二十九条第一款,《北京市水污染防治条例》第八十二条第一款第（十）项和第二款,责令停止违法行为，限三日内采取治理措施，消除污染，处以壹万元罚款。,北京市生态环境局,
04ff75bc-31b8-48e7-8445-216b19d0c1fc,太平洋制罐（北京）有限公司,110000410057239,,《中华人民共和国固体废物污染环境防治法》第三十三条第一款,《中华人民共和国固体废物污染环境防治法》第六十八条第一款第（二）项和第二款,责令停止违法行为，限三十日内改正，处以壹万元罚款。,北京市生态环境局,
04ffc8f4-ef34-4aad-91e9-412132671805,围场满族蒙古族自治县利文建筑劳务分包有限公司,91130828MA0E5JW61T ,91130828MA0E5JW61T,《北京市大气污染防治条例》第七十四条第二款,《北京市大气污染防治条例》第一百一十六条,责令停止违法行为，处六万元罚款。,北京市生态环境局,
054c65e3-bd9a-4715-8265-3b934c745ff7,北京市珍品金阁餐饮管理有限公司,91110102699635957P ,91110102699635957P,《北京市大气污染防治条例》第五十九条第一款,《北京市大气污染防治条例》第一百零八条第一款,责令十日内改正，处一万四千元罚款。,北京市生态环境局,
05653d4d-98b3-48ab-8d02-c9d4b131f8ad,北京五和万科房地产开发有限公司,110000015822843,,《中华人民共和国环境保护法》第十九条第二款和《中华人民共和国环境影响评价法》第二十二条第一款、第二十五条,《中华人民共和国环境保护法》第六十一条和《中华人民共和国环境影响评价法》第三十一条第二款,责令停止建设，处罚款捌万元。,北京市生态环境局,
0580d3f2-3450-4b1f-bd54-c12f550bc99e,北京瑞泰祥和运输有限公司,91110105MA01AUWY6J ,91110105MA01AUWY6J,《北京市大气污染防治条例》第六十六条第一款,《北京市大气污染防治条例》第一百一十二条第一款,责令三日内改正，处五百元罚款。,北京市生态环境局,
059bdd71-374b-497a-bb65-b31e8d436a1c,桐城市利涛建筑劳务有限公司,91340881MA2UJ8RH42（1-1） ,91340881MA2UJ8RH42,《北京市大气污染防治条例》第七十四条第二款,《北京市大气污染防治条例》第一百一十六条,责令停止违法行为，处六万元罚款。,北京市生态环境局,
06166226-beea-4ba1-9152-1b7d8ff691cc,北京铁路局北京工电大修段,110106016606312,,《中华人民共和国固体废物污染环境防治法》第五十九条第一款,《中华人民共和国固体废物污染环境防治法》第七十五条第一款第（六）项和第二款,责令你单位停止违法行为，限三十日内改正，处叁万元罚款。,北京市生态环境局,
063689d2-c890-4224-a1ef-b34632e47c0c,北京花园桥雷克萨斯汽车销售服务有限公司,110108010712041,91110108670569765K,《北京市大气污染防治条例》第六十四条第二款,《北京市大气污染防治条例》第一百一十一条第一款,责令停止违法行为，没收违法所得十八万九千零九十四元，并处三百四十六万五千元罚款，共计三百六十五万四千零九十四元。,北京市生态环境局,
06538728-de90-48ce-baf3-198f98f86209,北京市北奔汽车修理厂角门分厂,110000010233182,,《中华人民共和国固体废物污染环境防治法》第五十二条,《中华人民共和国固体废物污染环境防治法》第七十五条第一款第（一）项和第二款,责令停止违法行为，限三日内改正，处以壹万元罚款。,北京市生态环境局,
0659b05e-14d2-4167-b2c1-83bda82b62ff,中国石化催化剂有限公司北京奥达分公司,911101121024521124,911101121024521124,《中华人民共和国固体废物污染环境防治法》第五十七条第三款,《中华人民共和国固体废物污染环境防治法》第七十五条第一款第五项和第二款,责令你单位停止违法行为，限三日内改正，处二十万元罚款。,北京市生态环境局,
0695656a-132e-4a8d-915f-c2bec9a517b5,北京燕京啤酒股份有限公司一分公司,1102221604106（1-1） ,,《污染源自动监控设施现场监督检查办法》第八条第二款,《污染源自动监控设施现场监督检查办法》第十九条第三项和《中华人民共和国大气污染防治法》第四十六条第（三）项,责令停止违法行为，限三日内改正，处以伍万元罚款。,北京市生态环境局,
06e285c6-9d1e-43a3-aaf3-d5e9a4cad0d4,北京市海淀区供暖和楼房设备经营管理中心,111010800009,,《北京市实施〈中华人民共和国大气污染防治法〉办法》第十五条第二款,《北京市实施〈中华人民共和国大气污染防治法〉办法》第三十五条第一款第（四）项,责令停止违法行为，限三十日内改正，处以壹万元罚款。,北京市生态环境局,
06ec1f12-b351-43d2-8a60-a80f7f33553c,北京霆瀚能源技术有限公司,10108002119257,,《北京市大气污染防治条例》第二十八条,《北京市大气污染防治条例》第九十三条,责令停止违法行为，限三日内改正，处贰万元罚款。,北京市生态环境局,
06f3d6a2-8bd1-4588-9aa6-7046e3cb2281,北京皇家现代家具有限公司,110000008089868,,《北京市实施〈中华人民共和国大气污染防治法〉办法》第十条第三款,《北京市实施〈中华人民共和国大气污染防治法〉办法》第三十五条第一款第（一）项,责令停止违法行为，限三日内改正，处以肆万元罚款。,北京市生态环境局,
06fd1fc5-9106-42a8-9b1e-4e3cc16f161b,北京嘉程润景汽车销售服务有限公司,110302008620182,,《北京市实施〈中华人民共和国大气污染防治法〉办法》第二十七条第一款,《北京市实施〈中华人民共和国大气污染防治法〉办法》第三十五条第一款第（六）项,责令停止违法行为，限七日内改正，处以贰千元罚款。,北京市生态环境局,
07561e8b-5dc3-4a75-b759-f731c46d2e6b,北京八达岭信达资产管理中心,110229010564556,,《北京市大气污染防治条例》第二十八条,《北京市大气污染防治条例》第九十三条,责令停止违法行为，限三日内改正，处贰万元罚款。,北京市生态环境局,
0756691b0c1d4715bbac585b33045e80,廊坊市居善地建筑装饰工程有限公司,,91131002MA0EKDNQ37,气（移动源）,《中华人民共和国大气污染防治法》第一百一十四条第一款，“违反本法规定，使用排放不合格的非道路移动机械，或者在用重型柴油车、非道路移动机械未按照规定加装、更换污染控制装置的，由县级以上人民政府生态环境等主管部门按照职责责令改正，处五千元的罚款。”,处五千元罚款。,北京市生态环境局,
0785d88a-bf9c-4a45-90ff-5729627ce052,北京泽昌鑫宇酒店管理有限公司,91110113MA004TLH0F ,91110113MA004TLH0F,《北京市大气污染防治条例》第五十九条第一款,《北京市大气污染防治条例》第一百零八条第一款,责令十日内改正，处四万元罚款。,北京市生态环境局,
079101bf9f1f436e837f44896416db83,北京市阳光丽城温泉度假酒店有限公司,,91110113554868418P,,,,北京市生态环境局,
07983665-5f6c-4a3a-9ada-b35e384a772e,北京南车时代机车车辆机械有限公司,110114005308208,,《北京市大气污染防治条例》第二十八条,《北京市大气污染防治条例》第九十三条,责令停止违法行为，限三日内治理达标，处二万元罚款。,北京市生态环境局,
07b23300-4686-4d85-ad43-ec769036dd9f,北京悦居热力有限公司,110228007804429,,《北京市大气污染防治条例》第二十八条,《北京市大气污染防治条例》第九十三条,责令停止违法行为，限三日内治理达标，处四万元罚款。,北京市生态环境局,
082370a4-0c8c-4d0e-810f-1954195ee56e,北京沙龙宴酒店管理有限责任公司,110102007887193,,《北京市实施〈中华人民共和国大气污染防治法〉办法》第十条第三款,《北京市实施〈中华人民共和国大气污染防治法〉办法》第三十五条第一款第（一）项,责令停止违法行为，限三日内改正，处以壹万元罚款。,北京市生态环境局,
0835f1f7-4387-480a-8fe8-570466058341,北京市房山区腾飞物资供应处,110111008460685,,《北京市大气污染防治条例》第五十七条第二款,《北京市大气污染防治条例》第一百零八条第二款,责令停止违法行为，限三日内改正，处拾万元罚款。,北京市生态环境局,
0840b944e5684ea9b5ff0938a603551a,王*宇,142322************,,气（移动源）,依据《北京市机动车和非道路移动机械排放污染防治条例》第三十九条第一项，“违反本条例第十七条规定，城市公交、道路运输、环卫、邮政、快递、出租车等企业事业单位和其他生产经营者有下列情形之一的，生态环境部门对其直接负责的主管人员和其他直接责任人员分别处一万元以上五万元以下罚款：（一）本单位注册车辆二十辆以上，在一个自然年内经排放检验不合格的车辆数量超过注册车辆数量百分之十的”，并参照《北京市生态环境行政处罚裁量权基准》第三部分表（二十二）的规定,"限于接到本处罚决定书之日起十五日内持北京市非税收入缴款通知单、采取柜面缴费或网上缴费方式缴纳罚款。未在银行开立账户，以现金方式就近到银行的对公营业机构缴纳。如确有经济困难，可以自收到本处罚决定书之日起十五日内，向本行政机关申请延期或者分期缴纳罚款，经批准可以暂缓或者分期缴纳。逾期不缴纳罚款也未申请延期或者分期缴纳罚款的，本机关将依据《中华人民共和国行政处罚法》第七十二条第一款第（一）项的规定，每日将按罚款数额的百分之三加处罚款。 依据《北京市优化营商环境条例》第六十三条和《北京市公共信用信息管理办法》第十一条第一款第(三)项的规定,本行政机关将对本行政处罚信息进行公示并纳入公共信用信息服务平台。",北京市生态环境局,
08871c3e-1186-4024-8df6-758cac9a6c53,北京铁路局丰台车辆段,110106015198331,,《北京市大气污染防治条例》第二十八条,《北京市大气污染防治条例》第九十三条,责令停止违法行为，限三日内改正，处壹万元罚款。,北京市生态环境局,
08a3b654-b120-4b28-b793-9db042d50d49,北京市顺义区水务局,未提供 ,11110110000092937B,《中华人民共和国水污染防治法》第二十三条第一款,《中华人民共和国行政处罚法》第二十七条第二款,对你单位不予行政处罚。,北京市生态环境局,
08dfab79-f222-4a2d-ac02-7b55e0da5fab,北京中粮龙泉山庄有限公司,110000009965955,,《北京市水污染防治条例》第七条,《北京市水污染防治条例》第七十八条第一款,处一百五十八万八千九百七十四元三角六分罚款。,北京市生态环境局,
08fa28f7-7f4f-41d4-a8a6-82b43c0e44e2,北京天金石油销售有限公司,110115007201060,,《北京市实施〈中华人民共和国大气污染防治法〉办法》第十条第二款、第三款,《北京市实施〈中华人民共和国大气污染防治法〉办法》第三十四条,责令停止违法行为，限三日内改正，处以肆万元罚款,北京市生态环境局,
09323cf2-e130-4be3-8548-70bb06ee8631,北京易成混凝土有限公司,91110105600044074F ,91110105600044074F,《北京市水污染防治条例》第二十七条第一款第（六）项,《北京市水污染防治条例》第八十三条第一款第（十）项及第二款,责令停止违法行为，限三日内采取治理措施，消除污染，处二万元罚款。,北京市生态环境局,
09388043-7511-499d-aa6a-4642f3aa262f,眉州东坡餐饮管理（北京）有限公司怀柔第二分公司,91110116592346266P ,91110116592346266P,《中华人民共和国大气污染防治法》第二十条第一款,《中华人民共和国大气污染防治法》第一百条第五项,处二万元罚款。,北京市生态环境局,
09940c9b-ae9a-4367-801d-8af299b10db9,北京汇源食品饮料有限公司,110000410093487,,《北京市实施〈中华人民共和国大气污染防治法〉办法》第十条第三款,《北京市实施〈中华人民共和国大气污染防治法〉办法》第三十五条第一款第（一）项,责令停止违法行为，限三日内改正，处以贰万元罚款。,北京市生态环境局,
09b7af8d-ad74-4297-8e81-defeae091702,北京市汽车解体厂有限公司,91110114102661328M ,91110114102661328M,《北京市大气污染防治条例》第三十一条,《北京市大气污染防治条例》第九十四条,责令停止违法行为，限三日内改正，处一万元罚款。,北京市生态环境局,
0a07546c-c116-4cd6-9162-3b4cd4233e11,北京宠爱亮佳宠物医院,92110113L63115617L ,92110113L63115617L,《建设项目环境保护管理条例》第十九条第一款,《建设项目环境保护管理条例》第二十三条第一款,责令六个月内改正，处三十万元罚款。,北京市生态环境局,
0a4cee83-b937-4904-a3ef-70a6a9c7e227,北京四季民福餐饮管理有限公司东四十条分店,911101015890740281,911101015890740281,《北京市大气污染防治条例》第五十九条第一款,《北京市大气污染防治条例》第一百零八条第一款,责令十日内改正，处一万四千三百元罚款。,北京市生态环境局,
0a5d97de-18ea-441e-9a33-a2346b6ec1fa,北京恒泰保洁服务有限公司,91110228MA006A63X4 ,91110228MA006A63X4,《北京市机动车和非道路移动机械排放污染防治条例》第十二条第一款,《北京市机动车和非道路移动机械排放污染防治条例》第三十六条第一款,责令三日内改正，八辆车分别处八千元，共计六万四千元罚款。,北京市生态环境局,
0aea0ef7-9b77-446a-a9e3-c062797bac78,北京鸿华绿苑运动休闲中心有限公司,110000410156534,,《建设项目环境保护管理条例》第二十三条,《建设项目环境保护管理条例》第二十八条,责令你单位停止高尔夫球场产生污染的行为，并处拾万元罚款。,北京市生态环境局,
0b0ac160-2fa0-46ee-844f-4627729efa26,北京广联汽车服务有限公司,110108004649821,,《中华人民共和国固体废物污染环境防治法》第五十八条第三款,《中华人民共和国固体废物污染环境防治法》第七十五条第一款第（七）项和第二款,责令停止违法行为，限三十日内改正，处以贰万元罚款。,北京市生态环境局,
0b3c7e23-d3d1-4cb5-b6d1-7f6bb277979e,北京路新恒通沥青混凝土有限公司,110112006621956,,《中华人民共和国大气污染防治法》第四十二条,《中华人民共和国大气污染防治法》第五十六条第（三）项,责令停止违法行为，限三日内改正，处以壹万元罚款。,北京市生态环境局,
0baf2b54-4a3a-46ff-81a2-3077fe047c76,北京铁路局怀柔北机务段,110116015459311,,《中华人民共和国固体废物污染环境防治法》第五十九条第一款,《中华人民共和国固体废物污染环境防治法》第七十五条第一款第（六）项和第二款,责令停止违法行为，限三十日内改正，处以贰拾万元罚款。,北京市生态环境局,
0bc6f565-61a3-4054-a5af-3ef54c1f4e26,中国矿业大学（北京）,110000002241,,《北京市水污染防治条例》第二十九条第一款,《北京市水污染防治条例》第八十二条第一款第（十）项和第二款,责令停止违法行为，限三日内采取治理措施，消除污染，处以贰万元罚款。,北京市生态环境局,
0bd71a72-75b1-4673-8afa-846303a48936,北京长丰园供暖中心,110115007809677,,《中华人民共和国大气污染防治法》第四十二条,《中华人民共和国大气污染防治法》第五十六条第（三）项,责令停止违法行为，限三日内改正，处以叁千元罚款。,北京市生态环境局,
0bd96ef6-5037-4a44-b83f-cf7b2a6390be,北京环春宇投资管理有限公司,91110111553140310T ,91110111553140310T,《中华人民共和国大气污染防治法》第十八条,《中华人民共和国大气污染防治法》第九十九条第二项,责令改正，处十万元罚款。,北京市生态环境局,
0bf2ff1b-22a6-475b-b4fc-e312fdce197a,北京国服信奥兴汽车有限公司,110000001004653,,《北京市实施〈中华人民共和国大气污染防治法〉办法》第十条第三款,《北京市实施〈中华人民共和国大气污染防治法〉办法》第三十五条第一款第（一）项,责令停止违法行为，限三日内改正，处以伍千元罚款。,北京市生态环境局,
0c013e0b-7836-4381-ad1d-a74ae4f13bfb,北京铁路局怀柔北机务段,110116015459311,,《北京市水污染防治条例》第七条,《北京市水污染防治条例》第七十八条第一款,限于三十日内治理，并处罚款拾叁万零捌佰玖拾贰元柒角贰分。,北京市生态环境局,
0c0f851f-ba1a-4b5b-8783-c91ecb4348e8,北京市通州区住宅锅炉供暖中心,111011200209,,《北京市实施〈中华人民共和国大气污染防治法〉办法》第十条第二款,《北京市实施〈中华人民共和国大气污染防治法〉办法》第三十四条,责令停止违法行为，限十日内改正，处以肆万元罚款。,北京市生态环境局,
0c5e0de9-e822-454c-abf4-fc2089229a35,北京同顺斋餐饮有限公司,91110111L49341386E ,91110111L49341386E,《北京市大气污染防治条例》第五十九条第一款,《北京市大气污染防治条例》第一百零八条第一款,责令十日内改正，处一万六千元罚款。,北京市生态环境局,
0c5fd709-348d-4ca3-b80c-b86d9c6ebd7c,北京市丰台区房屋经营管理中心供暖设备服务所,111010600545,,《北京市实施〈中华人民共和国大气污染防治法〉办法》第十条第二款,《北京市实施〈中华人民共和国大气污染防治法〉办法》第三十四条,责令停止违法行为，限十日内改正，处以贰万元罚款,北京市生态环境局,
0c85dfde-00f3-4a4a-b70a-117a132bc05c,北京花乡世界花卉大观园有限公司,110106001637637,,《中华人民共和国大气污染防治法》第四十二条,《中华人民共和国大气污染防治法》第五十六条第（三）项,责令停止违法行为，限三日内改正，处以壹万元罚款。,北京市生态环境局,
0cad4371-b4ab-42d2-abbd-e5261b95f8d6,中国石化销售有限公司北京昌平石油分公司,911101141011194731,911101141011194731,《突发环境事件应急管理办法》第十三条,《突发环境事件应急管理办法》第三十八条第（三）项,责令改正，处三万元罚款。,北京市生态环境局,
0d09c29c-25f4-486d-ad02-17f640cf7bd4,北京山河工程机械有限公司,110105011821204,911101056876161696,《北京市大气污染防治条例》第六十五条第二款,《北京市大气污染防治条例》第一百一十四条第一款,责令停止违法行为，没收违法所得13675.21元，并处13675.21元罚款，共计二万七千三百五十元四角二分。,北京市生态环境局,
0d36ffd9-359a-44fe-94ea-b9e9649924df,北京市同和鑫动物医院,91110102758747669K ,91110102758747669K,《放射性同位素与射线装置安全和防护条例》第十五条第一款,《放射性同位素与射线装置安全和防护条例》第五十二条第一项,责令停止违法行为，限三个月内改正，没收违法所得六百元，处一万元罚款。,北京市生态环境局,
0d57cac4-4d6e-4977-bd40-285e5189a372,北京太和东园物业管理服务中心,110117004787474,,《北京市实施〈中华人民共和国大气污染防治法〉办法》第十条第二款,《北京市实施〈中华人民共和国大气污染防治法〉办法》第三十四条,责令停止违法行为，限三日内改正，处以捌万元罚款。,北京市生态环境局,
0d6e9943-9544-425b-8bb7-8ba1b5a51fd4,北京锅炉厂,10107003607066,,《北京市实施〈中华人民共和国大气污染防治法〉办法》第二十七条第一款,《北京市实施〈中华人民共和国大气污染防治法〉办法》第三十五条第一款第（六）项,责令停止违法行为，限十日内改正，处以贰万伍仟元罚款,北京市生态环境局,
0d9fa976-52ee-4f3e-9742-a1ecb2eae7ca,北京香驰园满天红酒楼,91110106794069180J ,91110106794069180J,《北京市大气污染防治条例》第五十九条第一款,《北京市大气污染防治条例》第一百零八条第一款,责令十日内改正，处一万四千元罚款。,北京市生态环境局,
0de32e0e-948e-41e8-9126-aa06b0d2fc4d,北京航隆考格尔汽车有限公司,91110115MA01QFPJ5U ,91110115MA01QFPJ5U,《北京市大气污染防治条例》第六十四条第二款,《北京市大气污染防治条例》第一百一十一条第一款,责令停止违法行为，没收违法所得二千六百五十四元。,北京市生态环境局,
0e505d5b-0891-478b-8972-40451fd80a88,北京安捷路帮汽车租赁有限公司,91110228335467139J ,91110228335467139J,《北京市大气污染防治条例》第六十六条第一款,《北京市大气污染防治条例》第一百一十二条第一款,责令三日内改正，处六百元罚款。,北京市生态环境局,
0e6037fb1af34cc2a0a12e9f2fad3b8e,京辰苏望（北京）检测科技有限公司,,91110106MA02M68P0M,气（移动源）,《北京市机动车和非道路移动机械排放污染防治条例》第四十一条,责令停止违法行为，十日内改正，处六万元罚款。,北京市生态环境局,
0e7c4164-7ff1-4759-ba38-0549f641792b,北京市顺鑫福源石油制品有限公司,91110113102567382K ,91110113102567382K,《中华人民共和国大气污染防治法》第四十七条第二款,《中华人民共和国大气污染防治法》第一百零八条第四项,责令改正，处二万元罚款。,北京市生态环境局,
0e81a3b1-b917-4ad1-bafe-214964599972,中铁十六局集团地铁工程有限公司,11000004288321,,《北京市实施〈中华人民共和国大气污染防治法〉办法》第二十七条第一款,《北京市实施〈中华人民共和国大气污染防治法〉办法》第三十五条第一款第（六）项,责令停止违法行为，限七日内改正，处壹万元罚款。,北京市生态环境局,
0e865b31-b90b-449b-adea-2db8dc197bf1,北京市京亿通建设工程有限公司,91110228MA00BG457Q ,91110228MA00BG457Q,《中华人民共和国大气污染防治法》第五十一条第一款,《中华人民共和国大气污染防治法》第一百一十四条第一款,责令三日内改正，处五千元罚款。,北京市生态环境局,
0e95b615-57a2-4264-9dc8-d60d3d7d7ea5,北京广运行汽车销售服务有限公司,110116015804214,,《北京市实施〈中华人民共和国大气污染防治法〉办法》第十条第三款,《北京市实施〈中华人民共和国大气污染防治法〉办法》第三十五条第一款第（一）项,责令停止违法行为，限三日内改正，处以伍千元罚款。,北京市生态环境局,
0eb46d26-1911-41e9-81c0-5c8657952135,中国政法大学,420106195812154916,,《中华人民共和国大气污染防治法》第四十二条,《中华人民共和国大气污染防治法》第五十六条第（三）项,责令停止违法行为，限三日内改正，处以伍千元罚款。,北京市生态环境局,
