序号,单位名称,所在区,检查日期,问题名称,拟处理方式
111,赛莱克斯微系统科技（北京）有限公司,经开区,45761,未发现涉嫌违法行为,/
112,SMC（中国）有限公司第二工厂,经开区,45761,未发现涉嫌违法行为,/
113,北京中天云测检测技术有限公司,经开区,45761,未发现涉嫌违法行为,/
114,北京和谐远达汽车销售服务有限公司,经开区,45763,未发现涉嫌违法行为,/
115,北京博大开拓热力有限公司（二号热源厂）,经开区,45764,未发现涉嫌违法行为,/
116,北京悦康科创医药科技股份有限公司,经开区,45764,未发现涉嫌违法行为,/
117,中冶赛迪电气技术有限公司,经开区,45764,未发现涉嫌违法行为,/
118,中戎动力（北京）科技开发有限公司,经开区,45765,未发现涉嫌违法行为,/
119,北京新能源汽车股份有限公司（创新科技中心）,经开区,45765,未发现涉嫌违法行为,/
120,康龙化成（北京）新药技术股份有限公司,经开区,45765,未发现涉嫌违法行为,/
121,北京冀财奥汽车贸易有限公司,经开区,45770,未发现涉嫌违法行为,/
122,北京亦庄环境科技集团有限公司东区污水处理厂,经开区,45772,未发现涉嫌违法行为,/
123,诺兰特移动通信配件（北京）有限公司隆盛工业园区分厂,经开区,45772,未发现涉嫌违法行为,/
124,北京友邦众星汽车技术有限公司,经开区,45772,未发现涉嫌违法行为,/
125,北京奔驰汽车有限公司整车工厂（亦庄）,经开区,45772,未发现涉嫌违法行为,/
126,北京安通林汽车饰件有限公司,经开区,45772,未发现涉嫌违法行为,/
127,诺兰特移动通信配件（北京）有限公司兴盛工业园区分厂,经开区,45772,未发现涉嫌违法行为,/
128,北京奔驰汽车有限公司（发动机和动力电池工厂）,经开区,45775,未发现涉嫌违法行为,/
129,北京德默高科医药技术有限公司,经开区,45776,未发现涉嫌违法行为,/
130,萨玛汽车内饰(北京)有限公司,经开区,45776,未发现涉嫌违法行为,/
131,北京江语测试技术有限公司,经开区,45776,未发现涉嫌违法行为,/
132,北京兴斐电子有限公司第二工厂,经开区,45776,未发现涉嫌违法行为,/
133,北京融一餐饮有限责任公司,经开区,45776,未发现涉嫌违法行为,/
134,北京北汽李尔汽车系统有限公司,经开区,45776,未发现涉嫌违法行为,/
135,北京引正基因科技有限公司,经开区,45777,未发现涉嫌违法行为,/
136,中芯国际集成电路制造（北京）有限公司,经开区,45777,未发现涉嫌违法行为,/
137,爱克精医（北京）生物医药科技有限公司,经开区,45777,未发现涉嫌违法行为,/
138,北京运通博泰汽车销售服务有限公司,经开区,45777,未发现涉嫌违法行为,/
139,北京联合康力医疗器械有限公司,经开区,45777,未发现涉嫌违法行为,/
140,北京ABB贝利工程有限公司,经开区,45777,未发现涉嫌违法行为,/
141,北京吉洛华制药有限公司,经开区,45777,未发现涉嫌违法行为,/
142,北京博大开拓热力有限公司（七号热源厂）,经开区,45777,未发现涉嫌违法行为,/
143,联通云数据有限公司,经开区,45777,未发现涉嫌违法行为,/
144,利乐包装（北京）有限公司,经开区,45777,未发现涉嫌违法行为,/
145,北京普利生仪器有限公司,经开区,45783,未发现涉嫌违法行为,/
146,北京中科生仪科技有限公司,经开区,45783,未发现涉嫌违法行为,/
147,北京京东方光电科技有限公司,经开区,45783,未发现涉嫌违法行为,/
148,北京四环生物制药有限公司,经开区,45783,未发现涉嫌违法行为,/
149,佛吉亚排气控制系统（北京）有限公司,经开区,45783,未发现涉嫌违法行为,/
150,北京新特电气有限公司,经开区,45783,未发现涉嫌违法行为,/
151,北京公共交通控股（集团）有限公司保修分公司三厂（开发区亦庄场站）,经开区,45783,未发现涉嫌违法行为,/
152,创新型疫苗研发新建项目,经开区,45783,未发现涉嫌违法行为,/
153,沃特世科技（北京）有限公司,经开区,45783,未发现涉嫌违法行为,/
154,悦康药业集团股份有限公司（科创七街厂区）,经开区,45783,未发现涉嫌违法行为,/
155,北京益善医学检验所,经开区,45783,未发现涉嫌违法行为,/
156,北京天骥智谷资产经营管理有限公司,经开区,45783,未发现涉嫌违法行为,/
157,北京奔驰汽车有限公司M254 EVO发动机技改项目,经开区,45783,未发现涉嫌违法行为,/
158,信维创科通信技术（北京）有限公司,经开区,45784,未发现涉嫌违法行为,/
159,X因子激活剂原液生产线及其制剂生产线改造项目,经开区,45784,未发现涉嫌违法行为,/
160,北京亦庄环境科技集团有限公司经开污水处理厂,经开区,45784,未发现涉嫌违法行为,/
161,北京荣京检测科技有限公司,经开区,45784,未在固体废物综合管理平台查询到该单位年度危险废物管理计划,转现场核查
162,中芯北方集成电路制造（北京）有限公司,经开区,45784,未发现涉嫌违法行为,/
163,SMC（中国）有限公司第一工厂,经开区,45784,未发现涉嫌违法行为,/
164,瓦里安医疗器械贸易（北京）有限公司,经开区,45784,未发现涉嫌违法行为,/
165,北京通力盛达节能设备股份有限公司,经开区,45784,未发现涉嫌违法行为,/
166,北京爱普益医学检验中心有限公司,经开区,45784,未在固体废物综合管理平台查询到该单位年度危险废物管理计划,转现场核查
167,北京据德医药科技有限公司,经开区,45784,未在固体废物综合管理平台查询到该单位年度危险废物管理计划,转现场核查
168,北京智飞绿竹生物制药有限公司（同济北路厂区）,经开区,45784,未发现涉嫌违法行为,/
169,北京亚力特检科技有限公司,经开区,45789,未发现涉嫌违法行为,/
170,北京据德医药科技有限公司,经开区,45789,未发现涉嫌违法行为,/
171,北京秦海室内环境科技有限公司,经开区,45805,未发现涉嫌违法行为,/
172,北京赛升药业股份有限公司,经开区,45805,未发现涉嫌违法行为,/
173,德汇八方(北京）科技发展有限公司,经开区,45805,未发现涉嫌违法行为,/
174,北京博大开拓热力有限公司（N5锅炉房）,经开区,45805,未发现涉嫌违法行为,/
175,北京博大开拓热力有限公司（一号热源厂）,经开区,45805,未发现涉嫌违法行为,/
176,北京博大开拓热力有限公司（五号热源厂）,经开区,45805,未发现涉嫌违法行为,/
177,北京曼可顿食品科技有限公司,经开区,45805,未发现涉嫌违法行为,/
178,北京智飞绿竹生物制药有限公司（泰河三街厂区）,经开区,45805,未发现涉嫌违法行为,/
179,蓝星（北京）化工机械有限公司,经开区,45806,未发现涉嫌违法行为,/
180,采埃孚传动系统（北京）有限公司,经开区,45806,未发现涉嫌违法行为,/
181,北京景行盛科贸有限公司,经开区,45806,未发现涉嫌违法行为,/
182,北京怡斯宝特面包工业有限公司,经开区,45806,未发现涉嫌违法行为,/
183,赛诺菲（北京）制药有限公司,经开区,45806,未发现涉嫌违法行为,/
184,北京之星汽车服务有限公司,经开区,45806,未发现涉嫌违法行为,/
185,北京车爵仕汽车科技有限公司,经开区,45806,未发现涉嫌违法行为,/
186,北京碧水源博大水务科技有限公司,经开区,45806,未发现涉嫌违法行为,/
187,北京延锋北汽汽车内饰件有限公司新能源乘用车零部件产品生产项目,经开区,45806,未发现涉嫌违法行为,/
188,北京腾飞真龙面食店,经开区,45806,未发现涉嫌违法行为,/
189,中国石油天然气股份有限公司北京经济技术开发区加油站,经开区,45806,未发现涉嫌违法行为,/
190,北京奥力恒通投资管理有限公司（南海家园六里锅炉房）,经开区,45806,未发现涉嫌违法行为,/
191,北京科宇金鹏自动化设备有限公司,经开区,45806,未发现涉嫌违法行为,/
192,中芯北方集成电路制造（北京）有限公司,经开区,45806,未发现涉嫌违法行为,/
193,北京天骥智谷资产经营管理有限公司,经开区,45806,未发现涉嫌违法行为,/
194,北京亦庄环境科技集团有限公司南区污水处理厂,经开区,45806,未发现涉嫌违法行为,/
195,北京兴源恒通热力科技有限公司（南海家园七里小区锅炉房）,经开区,45806,未发现涉嫌违法行为,/
196,北京亦庄环境科技集团有限公司,经开区,45806,未发现涉嫌违法行为,/
197,北京生物制品研究所有限责任公司,经开区,45806,未发现涉嫌违法行为,/
198,北京鑫邦达汽车油料服务有限公司,经开区,45806,未发现涉嫌违法行为,/
199,北京智飞绿竹生物制药有限公司（同济北路厂区）,经开区,45806,未发现涉嫌违法行为,/
200,北京博奥晶典生物技术有限公司,经开区,45806,未发现涉嫌违法行为,/
201,北京轩竹康明生物科技有限公司,经开区,45807,未发现涉嫌违法行为,/
202,岩德物业管理（北京）有限公司二园,经开区,45807,未发现涉嫌违法行为,/
203,北京巨能制药有限责任公司,经开区,45807,未发现涉嫌违法行为,/
204,北京世纪互联科技有限公司,经开区,45807,未发现涉嫌违法行为,/
205,北京思达医用装置有限公司,经开区,45807,未发现涉嫌违法行为,/
206,施耐德（北京）中压电器有限公司班固项目技改项目,经开区,45807,未发现涉嫌违法行为,/
207,北京航天兴达科技有限公司,经开区,45807,未发现涉嫌违法行为,/
208,北京京运通科技股份有限公司（开发区）,经开区,45807,未发现涉嫌违法行为,/
209,北京星网宇达科技股份有限公司,经开区,45807,未发现涉嫌违法行为,/
210,北京梓熙生物科技有限公司,经开区,45807,未发现涉嫌违法行为,/
211,悦康药业集团股份有限公司（科创七街厂区）,经开区,45807,未发现涉嫌违法行为,/
212,北京迈克斯切削刀具有限公司,经开区,45807,未发现涉嫌违法行为,/
213,北京汉氏联合生物技术股份有限公司,经开区,45807,未发现涉嫌违法行为,/
214,络派模切（北京）有限公司（二）,经开区,45807,未发现涉嫌违法行为,/
215,北京康乐卫士生物技术股份有限公司,经开区,45807,未发现涉嫌违法行为,/
216,博世力士乐（北京）液压有限公司,经开区,45807,未发现涉嫌违法行为,/
217,北京亦昭生物医药中试研发生产基地项目,经开区,45807,未发现涉嫌违法行为,/
218,北京电子科技职业学院,经开区,45807,未发现涉嫌违法行为,/
219,北京安和加利尔科技有限公司,经开区,45807,未发现涉嫌违法行为,/
220,北京加科思新药研发有限公司,经开区,45807,未发现涉嫌违法行为,/
221,SMC（中国）有限公司第一工厂,经开区,45807,未发现涉嫌违法行为,/
222,国检安评（北京）医学研究院有限公司,经开区,45807,未发现涉嫌违法行为,/
223,北京德特汽车贸易有限公司维修中心,经开区,45807,未发现涉嫌违法行为,/
224,北京诺康达医药科技股份有限公司,经开区,45807,未发现涉嫌违法行为,/
225,北京京仪自动化装备技术股份有限公司,经开区,45807,未发现涉嫌违法行为,/
226,北京志健金瑞生物医药科技有限公司,经开区,45807,未发现涉嫌违法行为,/
227,特斯拉汽车销售服务（北京）有限公司,经开区,45807,未发现涉嫌违法行为,/
228,北京德快帮机动车检验有限公司,经开区,45807,未发现涉嫌违法行为,/
229,北京京东方显示技术有限公司,经开区,45807,未发现涉嫌违法行为,/
230,北京智创芯源科技有限公司,经开区,45807,未发现涉嫌违法行为,/
231,华润华光（北京）热电有限公司,经开区,45807,未发现涉嫌违法行为,/
232,北京博大开拓热力有限公司（三号热源厂）,经开区,45824,未发现涉嫌违法行为,/
233,北京电子科技职业学院,经开区,45824,未发现涉嫌违法行为,/
234,北京奥力恒通投资管理有限公司（南海家园六里锅炉房）,经开区,45825,未发现涉嫌违法行为,/
235,北京昭衍生物技术有限公司,经开区,45826,未发现涉嫌违法行为,/
236,亿滋食品（北京）有限公司,经开区,45826,未发现涉嫌违法行为,/
237,北京东进世美肯科技有限公司（一厂）,经开区,45834,未发现涉嫌违法行为,/
238,航卫通用电气医疗系统有限公司,经开区,45834,未发现涉嫌违法行为,/
239,北京碧水源博大水务科技有限公司,经开区,45834,未发现涉嫌违法行为,/
240,北京蒙太因医疗器械有限公司,经开区,45834,未发现涉嫌违法行为,/
241,北京神州细胞生物技术集团股份公司,经开区,45834,未发现涉嫌违法行为,/
242,予果智造科技（北京）有限公司,经开区,45834,未发现涉嫌违法行为,/
243,北京爱育华妇儿医院有限公司,经开区,45835,未发现涉嫌违法行为,/
244,北京兴斐电子有限公司第一工厂,经开区,45835,未发现涉嫌违法行为,/
245,北京燕东微电子科技有限公司,经开区,45835,未发现涉嫌违法行为,/
246,北京百普赛斯生物科技股份有限公司,经开区,45835,未发现涉嫌违法行为,/
247,北京博大开拓热力有限公司（X90锅炉房）,经开区,45835,未发现涉嫌违法行为,/
248,比泽尔制冷技术（中国）有限公司,经开区,45835,未发现涉嫌违法行为,/
249,北京市新里程医药科技有限公司,经开区,45835,未发现涉嫌违法行为,/
250,北京博大开拓热力有限公司（五号热源厂）,经开区,45835,未发现涉嫌违法行为,/
251,兰沙燕（北京）生物科技有限公司,经开区,45835,未发现涉嫌违法行为,/
252,北京易美新创科技有限公司,经开区,45835,未发现涉嫌违法行为,/
253,北京利达永信电子集团有限公司,经开区,45835,未发现涉嫌违法行为,/
254,北京兆维自服装备技术有限公司,经开区,45835,未发现涉嫌违法行为,/
255,舒迪安医药研发（北京）有限公司,经开区,45837,未发现涉嫌违法行为,/
256,北京亦庄环境科技集团有限公司南区污水处理厂,经开区,45837,未发现涉嫌违法行为,/
257,天蓝碧海（北京）环保工程技术有限公司（林肯B区锅炉房）,经开区,45837,未发现涉嫌违法行为,/
258,舒泰神（北京）生物制药股份有限公司,经开区,45837,未发现涉嫌违法行为,/
259,北京亚宝生物药业有限公司,经开区,45837,未发现涉嫌违法行为,/
260,北京友邦众星汽车科技有限公司,经开区,45837,未发现涉嫌违法行为,/
261,北京奔驰汽车有限公司（发动机和动力电池工厂）,经开区,45837,未发现涉嫌违法行为,/
262,北京云菱生物技术有限公司,经开区,45837,未发现涉嫌违法行为,/
263,北京源德生物医学工程有限公司,经开区,45837,未发现涉嫌违法行为,/
264,北京豪骏行汽车销售服务有限公司,经开区,45837,未发现涉嫌违法行为,/
265,北京华卓精科科技股份有限公司,经开区,45837,未发现涉嫌违法行为,/
266,首都医科大学附属北京同仁医院（亦庄院区）,经开区,45837,未发现涉嫌违法行为,/
267,捷鹏威电子（北京）有限公司,经开区,45837,未发现涉嫌违法行为,/
268,（北京凯因科技股份有限公司）,经开区,45837,未发现涉嫌违法行为,/
269,北京莱盟君泰国际医疗技术开发有限公司,经开区,45837,未发现涉嫌违法行为,/
270,普华赛尔生物医疗科技有限公司,经开区,45837,未发现涉嫌违法行为,/
271,北京同仁堂股份有限公司同仁堂制药厂,经开区,45837,未发现涉嫌违法行为,/
272,钣喷维修产能扩建项目,经开区,45838,未发现涉嫌违法行为,/
273,北京卓越航空工业有限公司,经开区,45838,未发现涉嫌违法行为,/
274,北京永泰生物制品有限公司（利德曼厂区）,经开区,45838,未发现涉嫌违法行为,/
275,北京晟邦物业管理有限公司（林肯公园C区）,经开区,45838,未发现涉嫌违法行为,/
276,北京和谐远达汽车销售服务有限公司,经开区,45838,未发现涉嫌违法行为,/
277,北京新能源汽车股份有限公司（创新科技中心）,经开区,45838,未发现涉嫌违法行为,/
278,北京中金云网科技有限公司,经开区,45838,未发现涉嫌违法行为,/
279,超云数字技术集团有限公司,经开区,45838,未发现涉嫌违法行为,/
280,北京和蕴餐饮有限公司,经开区,45838,未发现涉嫌违法行为,/
281,北京瑞沃医疗器械有限公司,经开区,45838,未发现涉嫌违法行为,/
282,北京同仁堂科技发展股份有限公司亦庄分厂,经开区,45838,未发现涉嫌违法行为,/
283,北京春跃顺福汽车清洗服务中心,经开区,45838,未发现涉嫌违法行为,/
284,北京康博瑞莱医疗器械有限公司,经开区,45838,未发现涉嫌违法行为,/
285,加多宝（中国）饮料有限公司,经开区,45838,未发现涉嫌违法行为,/
286,北京奔驰汽车有限公司,经开区,45838,未发现涉嫌违法行为,/
287,北京扶正肿瘤医院有限公司,经开区,45838,未发现涉嫌违法行为,/
288,北京美东科技有限公司,经开区,45838,未发现涉嫌违法行为,/
289,北京巨能制药有限责任公司,经开区,45838,未发现涉嫌违法行为,/
290,北京大琛高科技有限公司,经开区,45838,未发现涉嫌违法行为,/
291,北京东旭利医药科技有限公司,经开区,45838,未发现涉嫌违法行为,/
292,北京燃气能源发展有限公司亦庄X92地块项目锅炉房,经开区,45838,未发现涉嫌违法行为,/
293,康弘国际生产及研发中心建设项目,经开区,45838,未发现涉嫌违法行为,/
