法人代表,电话,名称,注册地址,序号,统一社会信用代码
连*乐,010-8938****,京之源（北京）农业有限公司,北京市房山区琉璃河东大街,60,91110111791625372B
王*民,010-8035****,北京金利圆养殖有限公司,北京市房山区良乡镇江村村东1号,61,91110111785543813R
张*,010-6138****,北京南河北星农业发展有限公司,北京市房山区大石窝镇南河村北1号,62,91110111686907415C
崔*柱,010-6132****,北京永长福生物科技有限公司,北京市房山区大石窝镇辛庄村南3号,63,911101115548869742
张*华,010-8935****,北京利民恒华科技有限公司,北京市房山区石楼镇襄驸马庄村委会南二大路西侧,64,91110111783995867E
刘*,010-6033****,北京香豆豆食品有限公司,北京市房山区窦店镇久安路38号,65,91110111790655027M
刘*新,1358***0602,北京中科天利水产科技有限公司,北京市房山区石楼镇吉羊村北二区33号,66,9111011139906323XA
吴*方,010-6036****,北京窦店益生清真肉业有限公司,北京市房山区窦店镇窦店村,67,911101111027449676
周*云,010-8031****,北京艾克赛德生物工程有限公司,北京市房山区窦店镇望楚村北京深路东5米,68,91110111799027211W
王*飞,010-8036****,北京莱恩堡葡萄酒业有限公司,北京市房山区长阳镇稻田一村长周路西侧,69,91110111575227943F
曹*涛,010-6171****,北京市金盛福食品有限公司,北京市昌平区小汤山镇酸枣岭八十八号,70,91110114102657601J
贾*,010-6078****,北京华耐农业发展有限公司,北京市昌平区南邵镇姜屯村南,71,911101147868651605
林*,010-5320****,北京天安农业发展有限公司,北京市昌平区小汤山镇大柳树环岛南500米,72,91110114786171273X
陈*锋,010-5645****,北京古船食品有限公司,北京市大兴区黄村镇大庄村东北京大兴国家粮食储备库院内3-5幢平房、20幢1-2层,73,9111000080244157XK
冯*祥,010-6150****,北京澳佳生态农业股份有限公司,北京市通州区中关村科技园区通州园国际种业科技园区聚和七街1号-569,74,91110112742305428H
唐*,010-5321****,北京嘉和一品企业管理股份有限公司,北京市顺义区南陈路南法信段29号,75,9111011372396468XB
张*新,010-6042****,北京峰盈新顺餐饮管理有限公司,北京市顺义区北石槽镇良善庄村,76,9111011366911398XU
林*开,010-6947****,北京顺鑫农业股份有限公司鹏程食品分公司,北京市顺义区南法信地区顺沙路南侧,77,911101136000470219
赵*田,010-6949****,北京顺鑫农业股份有限公司创新食品分公司,北京市顺义区金马工业区2街16号,78,91110113786859465C
田*,010-5093****,北京大风家禽育种有限责任公司,北京市顺义区汇海南路1号院11号楼12层1509,79,91110109744734090M
赵*荣,010-8923****,北京金维福仁清真食品有限公司,北京市大兴区魏善庄镇半壁店工业区36号,80,91110115752622486G
陈*斌,010-8928****,北京市美丹食品有限公司,北京市大兴区庞各庄镇工业区10排19号,81,91110115721492471L
穆*凤,010-6125****,中粮丰通（北京）食品有限公司,北京市大兴区生物工程与医药产业基地永大路21号,82,91110115783202249W
闫*全,010-8633****,万丰大地（北京）蔬菜有限公司,北京市海淀区沙窝九条27号万寿路街道人防仓库1幢27号,83,91110108571227591L
郑*,010-8920****,北京宏福国际农业科技有限公司,北京市大兴区庞各庄镇曹各庄路北曹各庄村委会向东100米,84,91110115MA006R3R3M
刘*才,010-8410****,北京本来工坊科技有限公司,北京市大兴区经济开发区科苑路9号3号楼二层S3208室,85,91110117593846449U
张*,010-6926****,北京资源亚太食品有限公司,北京市大兴区黄村镇西磁村村委会北350米,86,911101157214951893
徐*寅,010-6066****,北京伟农生物科技有限公司,北京市怀柔区北房镇裕华路7号,87,91110116593852144P
王*志,010-6069****,北京富亿农板栗有限公司,北京市怀柔区庙城镇郑重庄633号,88,9111011671775140X7
沈*顺,010-6162****,北京顺通虹鳟鱼养殖中心,北京市怀柔区渤海镇田仙峪村北一公里,89,9111011610258959XW
沈*顺,010-6069****,北京西餐食品有限公司,北京市怀柔区庙城镇郑重庄村东,90,91110116102594428J
陈*军,1380***1663,颐寿园（北京）蜂产品有限公司,北京市怀柔区桥梓镇桥梓村北150米,91,911101166615635806
常*光,010-6292****,北京市裕农优质农产品种植有限公司,北京市怀柔区雁栖经济开发区,92,91110116101108168C
刘*文,010-8857****,中和农信项目管理有限公司,北京市怀柔区开放路113号南三层302室,93,9111010568195591XN
于*,010-5279****-8000,北京千喜鹤食品有限公司,北京市平谷区兴谷工业开发区9区,94,91110000741567725K
陈*平,010-8998****,北京市老才臣食品有限公司,北京市平谷区兴谷经济开发区5号区,95,91110117700009698W
张*利,010-6099****,北京康安利丰农业有限公司,北京市平谷区马坊镇,96,91110117051437798N
李*侠,010-6903****,北京世纪京纯蜂产品有限责任公司,北京市密云区太师屯镇龙潭沟村村西,97,9111022866841369XA
陈*兰,010-8902****,北京奥斯云肉食品有限公司,北京市密云区十里堡镇岭东村西500米,98,91110228783214557Y
李*伟,010-6108****,北京康顺达农业科技有限公司,北京市密云区河南寨镇平头村西500米,99,91110228692313322W
王*亮,010-8908****,北京邑仕山谷旅游科技发展有限公司,北京市密云区太师屯镇流河峪村邑仕庄园院内,100,91110228053642920A
韩*敏,010-6910****,北京绿富隆农业股份有限公司,北京市延庆区东外大街60号,101,91110229746100649B
曹*峰,010-6113****,北京庆和食品有限责任公司,北京市延庆区沈家营镇中鲁科技园区1号,102,9111022910303756XX
李*,010-6985****,北京瓷茗缘文化发展有限公司,北京市门头沟区剧场东街甲10号,103,91110109748842726D
张*涛,010-6294****,北京三元种业科技股份有限公司,北京市大兴区德茂庄德裕街5号,104,91110115753301473X
王*玲,010-6043****,北京家禽育种有限责任公司,北京市顺义区赵全营镇昌临58号,105,91110000600012689Y
崔*顺,010-6791****,北京二商龙和食品有限公司,北京市丰台区南苑西路52号,106,
刘*苗,010-5122****,北京大红门京深海鲜批发市场有限公司,北京市丰台区石榴庄西街232号,107,91110106756734274E
吴*栋,010-6821****,北京王致和食品集团有限公司,北京市海淀区阜石路41号,108,91110108MA7E0A4Y31
俞*富,010-6836****,北京六必居食品有限公司,北京市西城区北礼士路8号,109,91110102101537739F
徐*江,010-6973****,北京二商大红门五肉联食品有限公司,北京市昌平区沙河镇巩华城大街6号,110,91110114102688731R
刘*明,010-6152****,北京二商希杰食品有限责任公司,北京市通州区潞城镇武兴路1号,111,911100001019061008
常*志,010-6722****,北京月盛斋清真食品有限公司,北京市丰台区南顶路6号,112,91110106753304500P
郭*宝,010-6330****,北京市东方友谊食品配送公司,北京市丰台区郑王坟140号,113,91110106102172153D
武*华,010-8758****,北京水产有限责任公司,北京市丰台区角门路18号院,114,9111000010206278XW
刘*彤,010-8207****,北京首农股份有限公司,北京市西城区冰窖口胡同75号,115,911100001011436095
常*志,010-8961****,北京二商穆香源清真肉类食品有限公司,北京市怀柔区庙城镇高各庄村南,116,911101161025838769
刘*波,010-6785****,北京市南郊农场有限公司,北京市大兴区旧宫镇旧宫西路15号,117,91110000102860538H
闵*良,010-6786****,北京百花蜂产品科技发展有限公司,北京市大兴区亦庄经济技术开发区同济中路7号3号楼,118,91110302101143182P
于*斌,010-8742****,北京市花木公司,北京市西城区文兴东街2号,119,91110000400708796B
许*林,010-8372****,北京农产品中央批发市场有限责任公司,北京市丰台区新发地168号,120,91110106633710766H
