2025年单用途商业预付卡备案企业列表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
31,2025年,91110302MA01QB982B,北京人人馋餐饮管理有限公司,110000BBE0030,集团发卡
32,2025年,91110000055590239L,中粮海优（北京）有限公司,110000BAC0025,集团发卡
33,2025年,91110108558521630L,小米通讯技术有限公司,110000BAB0023,集团发卡
34,2025年,91110108MA7CH8TBXT,北京城乡商业集团有限公司,110000BAA0002,集团发卡
35,2025年,911101053302561996,北京小仙炖生物科技有限公司,110000BAC0028,集团发卡
36,2025年,91110000748102517U,国美电器有限公司,110000BAB0001,集团发卡
37,2025年,91110108660511594M,北京三快科技有限公司,110000BAC0029,集团发卡
38,2025年,911101013067763112,叮当快药科技集团有限公司,110000BAB0029,集团发卡
39,2025年,91110000067270013U,罗森（北京）有限公司,110000BAA0029,集团发卡
40,2025年,91110115330326951H,北京本来鲜科技有限公司,110000BAB0025,集团发卡
41,2025年,911103026605015136,北京京东世纪贸易有限公司,110000BAC0021,集团发卡
42,2025年,911101057906974463,北京孩思乐商业有限公司,110000BAA0028,集团发卡
43,2025年,91110117593846449U,北京本来工坊科技有限公司,110000BAC0022,集团发卡
44,2025年,91110000717742634C,乐友国际商业集团有限公司,110000BAA0012,集团发卡
45,2025年,91110105MA0088248Y,北京贝黎诗商业管理有限公司,110000BCF0026,集团发卡
46,2025年,91110105MA009T9F5J,北京品诺优创科技有限公司,110000BAC0027,集团发卡
47,2025年,91110000102072929U,物美科技集团有限公司 ,110000BAA0031,集团发卡
48,2025年,9111010578484880X9,北京新辣道餐饮管理有限公司,110000BBE0024,集团发卡
49,2025年,911101051016888870,北京蓝岛大厦有限责任公司,110000BAA0007,集团发卡
50,2025年,911100001013053805,王府井集团股份有限公司,110000BAA0006,集团发卡
51,2025年,91110000633791930G,北京北辰实业股份有限公司,110000BAA0005,集团发卡
52,2025年,91110000101782670P,北京京客隆商业集团股份有限公司,110000BAA0011,集团发卡
53,2025年,91110000101116627F,北京华天饮食控股集团有限公司,110000BBE0026,集团发卡
54,2025年,911100008029439243,北京迪信通商贸股份有限公司,110000BAB0027,集团发卡
55,2025年,91110000600013542N,百盛商业发展有限公司,110102AAA0021,规模发卡
56,2025年,911101055906947506,北京天水来餐饮管理有限公司,110102ABE0031,规模发卡
57,2025年,91110000101373404N,北京金象复星医药股份有限公司,110102AAA0042,规模发卡
58,2025年,91110108306650655B,北京生活榜样网络科技有限公司,110108AAC0024,规模发卡
59,2025年,91110108059264035C,北京普天同庆酒店管理有限公司,110108ABE0021,规模发卡
60,2025年,91110108102120783A,华光商厦有限责任公司,110108AAA0003,规模发卡
61,2025年,91110106089623588L,北京鑫洲隆源商贸有限公司  ,110106AAC0038,规模发卡
62,2025年,91371100MA3RPYPF82,北京中首粮网络科技有限公司,110106AAC0054,规模发卡
63,2025年,91110106553097973U,智美汇（北京）科技有限公司,110106AAC0034,规模发卡
64,2025年,91110106335476465R,北京华亚斯特商贸有限公司,110106AAC0023,规模发卡
65,2025年,91110107MA0219439F,北京礼道和食品有限公司,110107AAA0024,规模发卡
66,2025年,91110107567464076Q,北京环球国广媒体科技有限公司,110107AAC0021,规模发卡
67,2025年,911101050573521973,北京粮仓上商贸有限公司,110105AAC0026,规模发卡
68,2025年,91110000717865677H,北京华联（SKP）百货有限公司,110105AAA0005,规模发卡
69,2025年,91110105721420005Y,北京市好利来食品有限公司,110105AAB0023,规模发卡
70,2025年,91110000600064374J,北京八达岭精奥莱商业有限公司,110114AAA0025,规模发卡
71,2025年,91110114078564607W,迈沃（北京）科技有限公司,110114AAA0024,规模发卡
72,2025年,911101131025220027,北京市顺义国泰商业大厦有限公司,110113AAA0003,规模发卡
73,2025年,91110115MA0056U01W,北京礼拍档科技有限公司,110115ABE0024,规模发卡
74,2025年,91110000678753882W,呷哺呷哺餐饮管理有限公司,110115ABE0001,规模发卡
75,2025年,91110000678753882W,呷哺呷哺餐饮管理有限公司,110115ABE0001,规模发卡
76,2025年,91110302MA003FJL72,布瑞琳科技（北京）有限公司,110550ACF0021,规模发卡
77,2025年,911101065752208720,山南水北（北京）生态科技发展有限公司,110106AAC0063,规模发卡
78,2025年,911101017433148799,北京市上品商业发展有限责任公司,110101AAA0005,规模发卡
79,2025年,911101021015474862,北京金源千业超市有限公司,110102AAA0026,规模发卡
80,2025年,9111010210144636XP,北京京饮华天商厦有限公司,110102AAA0022,规模发卡
81,2025年,911101027985086629,北京华联精品超市有限公司,110102AAA0044,规模发卡
82,2025年,911100006337468570,北京元隆雅图文化传播股份有限公司,110102AAC0026,规模发卡
83,2025年,91110102MA0018MN29,北京汇月轩酒店管理有限公司,110102ABI0022,规模发卡
84,2025年,91110010270000116XW,北京娜韵伊媚之美容美发有限公司,110102ACF0021,规模发卡
85,2025年,9111010276423216XM,北京三元梅园食品有限公司,110102AAA0032,规模发卡
86,2025年,9111000056213860XF,拉法耶特百货（北京）有限公司,110102AAA0031,规模发卡
87,2025年,91110108339785003L,北京民商智惠电子商务有限公司,110108AAA0025,规模发卡
88,2025年,91110108336463754C,多点生活（中国）网络科技有限公司,110108AAC0021,规模发卡
89,2025年,91110106MA02141CX3,北京聚福宝科贸有限公司,110106AAC0062,规模发卡
90,2025年,91110101MA01WPNA9R,北京米粒数科信息技术有限公司,110106AAC0060,规模发卡
91,2025年,91110106685791035F,宇伦信达国际贸易（北京）有限公司,110106AAC0021,规模发卡
92,2025年,91110109700083329p,北京顺天府商贸有限公司,110109AAA0021,规模发卡
93,2025年,91110000100027884X,中国国际贸易中心股份有限公司,110105ABI0022,规模发卡
94,2025年,911101056000016486,北京贵友大厦有限公司,110105AAA0002,规模发卡
95,2025年,911101131025043304,北京鑫海韵通商业大楼有限公司,110113AAA0001,规模发卡
96,2025年,91110115336454348L,湊湊餐饮管理有限公司,110115ABE0022,规模发卡
97,2025年,91110102796725639E,日播创美服饰（北京）有限公司,110228AAA0022,规模发卡
98,2025年,91110228562140937A,北京金地来商务会馆有限责任公司,110228ABI0021,规模发卡
99,2025年,91110106MA7D95YJ6K,北京花乡园艺科技有限公司,110106AAA0031,规模发卡
100,2025年,91110101717746117P,北京大食代餐饮有限公司,110101ABE0022,规模发卡
101,2025年,9111010579903282XL,北京松鹤楼餐饮管理有限公司,110101ABE0024,规模发卡
102,2025年,91110102MA01N8RX7U,北京常安兰溪小馆餐饮管理有限公司,110102ABE0032,规模发卡
103,2025年,911101027177938371,北京红莲浒记餐饮有限责任公司,110102ABE0028,规模发卡
104,2025年,911101027975536486,中化金茂物业管理（北京）有限公司,110102ABE0025,规模发卡
105,2025年,91110102318340750R,北京礼家家商贸有限公司,110102AAC0022,规模发卡
106,2025年,91110108600012910M,北京银都房地产发展有限公司,110108ADI0021,规模发卡
107,2025年,91110108712024609F,北京华夏风云科技有限公司,110108AAA0024,规模发卡
108,2025年,91110000625907630L,北京香格里拉饭店有限公司,110108ABE0005,规模发卡
109,2025年,91110106MA04DQKC8T,全汇数据科技（北京）有限公司,110106AAI0024,规模发卡
110,2025年,91110106MA01QCQ40W,法慕斯（北京）科技发展有限公司,110106AAC0044,规模发卡
111,2025年,91110106MA00EM6R2K,北京中科优粮农业科技有限公司,110106AAB0021,规模发卡
112,2025年,91110106MA01QARX9R,北京慧达致晟科技有限公司,110106AAC0043,规模发卡
113,2025年,91110106057343485T,尚味缘（北京）食品发展有限公司,110106AAC0025,规模发卡
114,2025年,91110106565757975K,北京中大惠农商贸有限公司,110106AAC0026,规模发卡
115,2025年,911101065658107720,绿田园丰（北京）生态科技有限公司,110106AAA0023,规模发卡
116,2025年,91110106573195220X,北京盘古农业发展有限公司,110106AAA0024,规模发卡
117,2025年,91110109745488143H,北京大有上九商贸有限公司,110109AAB0021,规模发卡
118,2025年,91110105700219847G,北京华汇华辰超市有限责任公司,110105AAA0026,规模发卡
119,2025年,911101056259058110,北京燕莎友谊商城有限公司,110105AAA0001,规模发卡
120,2025年,91110105MA01C7P79N,北京好糕兴餐饮管理有限公司,110105AAB0026,规模发卡
121,2025年,91110108MA01KM2A1G,北海牧场（北京）乳品有限公司,110105AAC0031,规模发卡
122,2025年,91110105MA01BJBD67,乐胜（北京）商业发展有限公司,110105AAA0038,规模发卡
123,2025年,91110000553111480L,北京首创奥特莱斯房山置业有限公司,110111AAA0023,规模发卡
124,2025年,91110229690818490N,北京环球新意百货有限公司,110229AAA0004,规模发卡
125,2025年,91110106MAC80G085P,北京金桔时代科技有限公司,110106AAA0032,规模发卡
126,2025年,91110000774050386P,北京故宫宫廷文化发展有限公司,110101AAC0025,规模发卡
127,2025年,91110101774063179M,北京御茶膳房食品有限责任公司,110101AAI0021,规模发卡
128,2025年,91110101MA01DM0RXP,北京德川和风餐饮有限责任公司,110101ABE0025,规模发卡
129,2025年,91110101102263522P,北京金鼎轩酒楼有限责任公司,110101ABE0003,规模发卡
130,2025年,911101027393671261,北京比格餐饮管理有限责任公司,110102ABE0024,规模发卡
131,2025年,91110000717880076P,连卡佛百货商贸(北京)有限公司,110102AAA0030,规模发卡
132,2025年,91110102MA001BTD35,新华互联电子商务有限责任公司,110102AAA0043,规模发卡
133,2025年,91110102579045493U,北京天福号食品销售有限公司,110102AAA0036,规模发卡
134,2025年,911100006000650192,北京吉野家快餐有限公司,110102ABE0026,规模发卡
135,2025年,91110108584420390D,北京木槿梵香科技有限公司,110108ACF0024,规模发卡
136,2025年,9111010806734991XL,北京德之家汇餐饮有限责任公司,110108ABE0023,规模发卡
137,2025年,91110106MA0208LB4M,北京鼎礼上彩文化发展有限公司,110106AAC0058,规模发卡
138,2025年,91110106318354802Y,北京购实惠电子商务有限公司,110106AAC0041,规模发卡
139,2025年,91110106MA01M9KR09,北京礼跃商贸有限公司,110106AAC0045,规模发卡
140,2025年,91110106327278995W,北京京食商贸有限公司,110106AAC0042,规模发卡
141,2025年,91110106MA01QRAG8G,北京京储食品有限公司,110106AAC0057,规模发卡
142,2025年, 91110106MA0043CQ6H,北京三肴生鲜食品有限公司,110106AAC0027,规模发卡
143,2025年,911101067832396665,北京亿潼隆连锁超市有限公司,110106AAA0028,规模发卡
144,2025年,91110106802233041T,北京潇湘甲鱼村酒家,110106ABE0023,规模发卡
145,2025年,91110000102166642Y,北京方庄购物中心股份有限公司,110106AAA0022,规模发卡
146,2025年,91110105098485586K,北京顶全便利店有限公司,110105AAA0033,规模发卡
147,2025年,91110105685792150G,北京悦燃时代贸易有限公司,110105ACF0021,规模发卡
148,2025年,91110105590683269P,贝拉吉奥（北京）餐饮管理有限公司,110105ABE0032,规模发卡
149,2025年,91110105680453694Y,麦西姆杜特商业（北京）有限公司,110105AAA0029,规模发卡
150,2025年,9111000070000052X6,北京嘉里大酒店有限公司,110105ABI0021,规模发卡
151,2025年, 91110105667548613R,北京市丽雅玉指美甲连锁有限责任公司,110105ACF0023,规模发卡
152,2025年,91110105102062405N,北京月福汽车装饰有限公司,110105ACH0021,规模发卡
153,2025年,91110113MA006M5T9T,北京嘉和一品餐饮管理有限公司,110113ABE0003,规模发卡
154,2025年,91110113102547787A,北京隆华购物中心有限公司,110113AAA0004,规模发卡
155,2025年,91110116750107130H,北京九州溪谷大酒店有限公司,110116ACF0021,规模发卡
156,2025年,91110106MA00CJE97T,北京鼎礼万家电子商务有限公司,110106AAB0022,规模发卡
157,2025年,91110106318193092D,北京简影美容美发有限公司,110106ACF0023,规模发卡
158,2025年,91110000625902389G,王府饭店有限公司,110101ABI0021,规模发卡
159,2025年,91110101766792849N,北京当当科文电子商务有限公司,110101AAA0021,规模发卡
160,2025年,91110000101148653U,北京便宜坊烤鸭集团有限公司,110101ABE0001,规模发卡
161,2025年,91110102101337059L,北京味多美食品有限责任公司,110102ABE0023,规模发卡
162,2025年,91110102755264020U,北京君太太平洋百货有限公司,110102AAA0028,规模发卡
163,2025年,911101028013704584,北京金象大药房医药连锁有限责任公司,110102AAB0024,规模发卡
164,2025年,91110000769934849T,北京金融街里兹置业有限公司,110102ABI0021,规模发卡
165,2025年,91110102756709204A,北京和合谷餐饮服务有限公司,110102ABE0027,规模发卡
166,2025年,91110108589090853R,北京科大天工科技服务有限公司,110108ABE0032,规模发卡
167,2025年,91110108MA01Q4QJ1H,北京乐和信科技有限公司,110108AAC0022,规模发卡
168,2025年,91110108MA01J6411E,北京超时空餐饮管理有限公司,110108ABE0029,规模发卡
169,2025年,91110108685131889D,北京九十九顶毡房餐饮有限公司,110108ABE0006,规模发卡
170,2025年,9111010863372421XQ,北京超市发连锁股份有限公司,110108AAA0002,规模发卡
171,2025年,91110106MA01WGR083,北京汲度金泽美容科技有限公司,110106ACF0021,规模发卡
172,2025年,91110106MA001YUW8W,京粮时代（北京）科技有限公司,110106AAC0032,规模发卡
173,2025年,91110105MA01NJ4G18,北京京畅享文创科技有限公司,110106AAI0021,规模发卡
174,2025年,911101065891377541,北京天润绿源商贸有限公司,110106AAA0026,规模发卡
175,2025年,911100007999882821,北京资和信百货商场有限公司,110106AAA0021,规模发卡
176,2025年,91110107MA04C14128,北京果臻妙食品有限公司,110109AAA0023,规模发卡
177,2025年,91110105677402378K,北京中信书店有限责任公司,110105AAA0032,规模发卡
178,2025年,911100007940509306,飒拉商业(北京)有限公司,110105AAA0007,规模发卡
179,2025年,91110000600043354R,北京星巴克咖啡有限公司,110105ABE0026,规模发卡
180,2025年,91110105633630141C,北京德川家饮食有限责任公司,110105ABE0039,规模发卡
181,2025年,911101050513900538,北京可味餐饮有限公司,110105ABE0038,规模发卡
182,2025年,91110105633630141C,北京德川和食餐饮有限责任公司,110114ABE0023,规模发卡
183,2025年,911101053442299927,北京康泰嘉怡商贸有限公司,110115AAC0025,规模发卡
184,2025年,91110400MA7FC70246,卡券礼供应链管理（北京）有限公司,110115AAC0021,规模发卡
185,2025年,911101102MA01UJNW1,北京聚宝源饮食管理有限公司,110102ABE0033,规模发卡
186,2025年,9111010977196553XW,北京顺天府投资管理有限公司,110102AAA0041,规模发卡
187,2025年,911101085923903477,北京九妙坊餐饮管理有限责任公司,110108ABE0031,规模发卡
188,2025年,911101087906600295,北京湘水之珠大酒楼有限公司,110108ABE0026,规模发卡
189,2025年,91110106MA0203MP1A,北京瑞卡嘉汇科技有限公司,110106AAI0025,规模发卡
190,2025年,91110106782535535X,北京草桥南国水乡美食广场有限公司,110106ABE0032,规模发卡
191,2025年,911101060855322246,北京联农乐家农业科技有限公司,110106AAC0022,规模发卡
192,2025年,91110106567467963Q,北京中科农业发展有限公司,110106AAA0025,规模发卡
193,2025年,91110105579048360T,裕福电子商务有限公司,110105AAC0024,规模发卡
194,2025年,91110105069559443Q,北京元和利兴贸易有限公司,110105AAA0031,规模发卡
195,2025年,91110000625906195N,中国国际贸易中心有限公司,110105ABI0023,规模发卡
196,2025年,91110108600027661Q,畅食屋餐饮管理（北京）有限公司,110105ABE0021,规模发卡
197,2025年,911100007000007736,北京壳牌石油有限公司,110105AAA0006,规模发卡
198,2025年,91110105795959206R,北京市雍雅餐饮有限公司,110105ABE0022,规模发卡
199,2025年,911101055825313617,中茶（北京）连锁商业有限公司,110105AAB0024,规模发卡
200,2025年,91110106355223692H,北京谷润伟业农业发展有限公司,110115AAB0021,规模发卡
201,2025年,91110115798543433K,北京丽家丽婴婴童用品股份有限公司,110115AAB0001,规模发卡
202,2025年,911101167684655858,北京物美京北大世界商贸有限公司,110116AAA0001,规模发卡
203,2025年,911102297334744571,北京妫川双信商城有限公司,110229AAA0003,规模发卡
204,2025年,91110229793419951W,北京中踏鞋业有限公司延庆购物广场,110229AAA0002,规模发卡
205,2025年,91110302MA00DGB60T,北京瀚达天下农业科技有限公司,110550AAB0021,规模发卡
206,2025年,91110105MA01C0900H,憨猴科技集团有限公司,110106AAC0065,规模发卡
207,2025年,91110101071654167B,北京华峰杰礼经贸有限公司,110101AAC0024,规模发卡
208,2025年,91110101801284074N,北京四联美发美容有限责任公司,110101ACF0004,规模发卡
209,2025年,91110102101542829P,北京菜市口百货股份有限公司,110102AAA0029,规模发卡
210,2025年,911101026343842455,北京汉光百货有限责任公司,110102AAA0024,规模发卡
211,2025年,91110108675732752K,北京四季御园餐饮服务有限公司,110108ABE0024,规模发卡
212,2025年,911101063355376865,北京玉泽粮农商贸有限公司,110106AAC0035,规模发卡
213,2025年,91110106MA01FPTJ89,北京红熙文创科技有限公司,110106AAC0037,规模发卡
214,2025年,91110106055592939N,北京畅享人生网络科技发展有限公司,110106AAC0024,规模发卡
215,2025年,91110105663727067Y,北京云南大厦酒店有限公司,110105ABD0021,规模发卡
216,2025年,91110000625912499Y,华糖洋华堂商业有限公司,110105AAA0003,规模发卡
217,2025年,91110105801714484Y,北京一轩珍味餐饮管理有限公司,110105ABE0024,规模发卡
218,2025年,91110105MA01WNR90G,北京椒爱餐饮管理有限公司,110105ABE0036,规模发卡
219,2025年,911101056916990403,北京海德休闲酒店管理有限公司,110105ABD0022,规模发卡
220,2025年,91110114634394187X,北京昌平阳光商厦有限公司,110114AAA0023,规模发卡
221,2025年,91110000722613108R,中国航油集团北京石油有限公司,110113AAA0005,规模发卡
222,2025年,91110113760118810W,北京国泰平安百货有限公司,110113AAA0002,规模发卡
223,2025年,91110111MA007RR78D,北京华冠商业科技发展有限公司,110111AAA0024,规模发卡
224,2025年,91110116600420471Q,北京大星发商贸有限公司,110116AAA0006,规模发卡
225,2025年,91110106MACM6QE01C,北京众福瑞商贸有限公司,110106AAA0033,规模发卡
226,2025年,911101015603664730,北京欣选欣礼商务服务有限公司,110101ACH0021,规模发卡
227,2025年,9111010210138412X6,北京市复兴商业城有限公司,110102AAA0027,规模发卡
228,2025年,9111000067055263X2,咖世家咖啡（北京）有限公司,110102ABE0021,规模发卡
229,2025年,91110102801548391L,北京水族浒记饮食有限责任公司,110102ABE0030,规模发卡
230,2025年,91110108344333618T,北京果儿科技有限公司,110108AAC0023,规模发卡
231,2025年,9111010867059547X8,北京市新宏状元餐饮管理有限公司,110108ABE0008,规模发卡
232,2025年,91110106590677344F,巴音浩日娲民族餐饮管理（北京）有限责任公司,110106ABE0028,规模发卡
233,2025年,91110106575226721D,北京志广富庶农产品有限公司,110106AAA0029,规模发卡
234,2025年, 91110106585830885K,北京汉风源味商贸有限公司,110106AAC0033,规模发卡
235,2025年,91110304MA01HH2J59,职工之家（北京）科技股份有限公司,110106AAC0059,规模发卡
236,2025年,91110106799018374A,五色养科技（北京）有限公司,110106AAC0030,规模发卡
237,2025年,911101075674531231,北京市力拓通达商贸有限公司,110107AAB0021,规模发卡
238,2025年,91110107335542661M,北京礼道和供应链管理有限公司,110107AAC0022,规模发卡
239,2025年,91110107330409466U,世纪易联（北京）科技有限公司,110107AAA0021,规模发卡
240,2025年,91110105697739496T,北京派悦坊餐饮管理有限公司,110105AAB0027,规模发卡
241,2025年,911101056869158887,眉州东坡餐饮管理（北京）有限公司,110105ABE0040,规模发卡
242,2025年,91110105752607796P,北京龙爪商贸有限公司,110105AAA0037,规模发卡
243,2025年,91110105MA0077N78L,北京北纬三十度网络科技有限公司,110105AAC0029,规模发卡
244,2025年, 91110105MA008A0N6E,匠心工坊生活服务（北京）有限公司,110105ACF0022,规模发卡
245,2025年,91110105699576934B,北京佳诚一品商贸有限公司,110105AAA0035,规模发卡
246,2025年,91110113MA02A43X39,福礼汇（北京）商贸有限公司,110113AAA0023,规模发卡
247,2025年,9111000076675368X2,北京棒约翰餐饮发展有限公司,110113ABE0005,规模发卡
248,2025年,91110112MA01UUCR0P,北京京喜万家科技有限公司,110115AAA0022,规模发卡
249,2025年,91110115MA00CB0539,北京中谷鑫农商贸有限公司,110115AAC0026,规模发卡
250,2025年,91110106MA004QG28F,北京嘉铭桐辰科技股份有限公司,110115AAA0021,规模发卡
251,2025年,911101115844830178,北京臻味坊食品有限公司,110111AAA0025,规模发卡
252,2025年,91110302MA00BDMF57,北京鱼你在一起品牌管理有限公司,110550ABE0021,规模发卡
