行政相对人名称,行政相对人代码1(统一社会信用代码),行政相对人代码2(工商注册号),行政相对人代码3(组织机构代码),行政相对人代码4(税务登记号),行政相对人代码5(事业单位证书号),行政相对人代码6(社会组织登记证号),法定代表人,法定代表人证件类型,行政处罚决定书文号,违法行为类型,违法事实,处罚依据,处罚类别,处罚内容,罚款金额（万元）,没收违法所得、没收非法财物的金额（万元）,暂扣或吊销证照名称及编号,处罚决定日期,处罚有效期,公示截止期,处罚机关,处罚机关统一社会信用代码,数据来源单位,数据来源单位统一社会信用代码,备注,/
中建二局第三建筑工程有限公司,9111000063370987XW,/,/,/,/,/,张*宾,/,京建法罚(延建)字[2020]第720062号,"1、施工现场存在4层11段楼梯非正式防护栏杆高度不足1.2米,2、施工升降机070号开关箱同时控制两个箱笼","2020年07月8日10点00分至11点00分,北京市延庆区住房和城乡建设委员会执法人员检查延庆区延庆新城03街区会展中心东侧地块土地一级开发(二期)YQ00—0003—0024地块B4综合性商业金融服务业用地项目(综合性商业)施工现场安全生产情况时,发现延庆区延庆新城03街区会展中心东侧地块土地一级开发(二期)YQ00—0003—0024地块B4综合性商业金融服务业用地项目(综合性商业)由北京京延万达商业管理有限公司建设,由中建二局第三建筑工程有限公司施工,由大连和至工程项目管理有限公司监理。经查发现施工现场存在:1、施工现场存在4层11段楼梯非正式防护栏杆高度不足1.2米,与《建设工程施工现场安全防护、场容卫生及消防保卫标准》(DB11/945-2012)第2.7.2条要求不符。2、施工升降机070号开关箱同时控制两个箱笼,与《施工现场临时用电安全技术规范》(JGJ46-2005)第8.1.3条要求不符。建二局第三建筑工程有限公司施工时未严格按照建筑业安全作业规程或者标准进行施工,造成事故隐患,施工单位的行为不符合《建设工程施工现场安全防护、场容卫生及消防保卫标准》(DB11/945-2012)第2.7.2条技术标准,及《施工现场临时用电安全技术规范》(JGJ46-2005)第8.1.3条的强制性条文事故隐患情节。",《中华人民共和国建筑法》第七十一条第一款;《北京市建设工程施工现场管理办法》第三十一条,罚款,处10000.00元罚款的行政处罚,1,/,/,2020-08-25,2020-09-09,/,北京市延庆区住房和城乡建设委员会,89110229MCL004126C,/,北京市延庆区住房和城乡建设委员会,89110229MCL004126C,/
河北京鹏外派劳务派遣有限公司,91130100738711925Q,/,/,/,/,/,崔*军,/,京建法罚(延建)字[2020]第720060号,"1、施工现场存在个别人员未佩戴安全帽2、3号楼二层东侧临边防护未设置密目式安全立网,3、高处作业未系挂安全带,","2020年08月18日,北京市延庆区住房和城乡建设委员会执法人员在百泉街道莲花池C-1老年服务用房等七项项目施工现场检查河北京鹏外派劳务派遣有限公司施工时,发现施工现场存在1、施工现场存在个别人员未佩戴安全帽现象,与《建设工程施工现场安全防护、场容卫生及消防保卫标准》(DB11/945-2012)第2.1.6条要求不符,2、3号楼二层东侧临边防护未设置密目式安全立网,与《建设工程施工现场安全防护、场容卫生及消防保卫标准》(DB11/945-2012)第2.7.1条要求不符,3、高处作业未系挂安全带,《建设工程施工现场安全防护、场容卫生及消防保卫标准》(DB11/945-2012)第2.8.11条要求不符。河北京鹏外派劳务派遣有限公司施工时未严格按照建筑业安全作业规程或者标准进行施工,造成事故隐患,符合违反了《建设工程施工现场安全防护、场容卫生及消防保卫标准》(DB11/945-2012)1-5条技术标准,但不违反强制性条文的的事故隐患情节。",《中华人民共和国建筑法》第七十一条第一款;《北京市建设工程施工现场管理办法》第三十一条,罚款,处10000.00元罚款的行政处罚,1,/,/,2020-08-24,2020-09-08,/,北京市延庆区住房和城乡建设委员会,89110229MCL004126C,/,北京市延庆区住房和城乡建设委员会,89110229MCL004126C,/
北京青山绿水养殖发展中心,91110229L13864038D,/,/,/,/,/,牛*利,身份证,延动监罚【2020】23号,《北京市动物防疫条例》第五十二条第二款,"当事人购买了53头肉牛,但当事人提供的五张《动物检疫合格证明(动物A)》均未加盖动物卫生监督机构监督检查专用章。",《北京市动物防疫条例》第七十一条,罚款,罚款人民币7000元整。,0.7,/,/,2020-08-07,2020-08-07,/,北京市延庆区动物卫生监督所,111102296835755313,/,北京市延庆区动物卫生监督所,111102296835755313,/
北京京冀鹏飞道路运输有限公司,91110114MA00H7HC5J,/,/,/,/,/,王*成,/,京交法(13)字稽20081901,违反了《道路货物运输及站场管理规定》第五十九条第(一)款之规定。,"使用无道路运输证的车辆参加货物运输的行为,此行为违反了《道路货物运输及站场管理规定》第五十九条第(一)款之规定。根据《道路货物运输及站场管理规定》第五十九条第(一)款之规定,应予处罚。",",根据《道路货物运输及站场管理规定》第五十九条第(一)款之规定",罚款,"2020年8月19日9时30分,陈鸽驾驶的京ALP010、冀GWV18挂号货物运输车辆 ,行驶至延庆区延庆东桥,经执法人员孙旭东(执法证号:11310108)、聂征(执法证号:11310151)示证检查:车辆所人是北京京冀鹏飞道路运输有限公司, 运输货物为石子,从怀来到永宁。该道路货物运输经营者已取得道路运输经营许可证,但参加货物运输的京ALP010号货物运输车辆无道路运输证,此行为属于取得道路货物运输经营许可的道路货物运输经营者使用无道路运输证的车辆参加货物运输的行为,此行为违反了《道路货物运输及站场管理规定》第五十九条第(一)款之规定。以上违法事实有现场笔录、询问笔录、证件复印件等予以佐证。当事人无陈述申辩意见。",0.3,/,/,2020-08-19,2020-08-19,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
中擎(北京)建设有限公司,91110109MA01P3CC79,/,/,/,/,/,梁*,/,京建法罚(延建)字[2020]第720053号,"1、施工现场存在个别人员未佩戴安全帽现象,2、施工现场存在施工人员吸烟现象","2020年07月30日10点00分至11点00分,北京市延庆区住房和城乡建设委员会执法人员在43#商品房住宅-47#商品房住宅、48#配套商业、49#配套公建、YQ00-0300-0069地库项目施工现场检查中擎(北京)建设有限公司施工时,发现施工现场存在:1、施工现场存在个别人员未佩戴安全帽现象,与《建设工程施工现场安全防护、场容卫生及消防保卫标准》(DB11/945-2012)第2.1.6条要求不符,2、施工现场存在施工人员吸烟现象,与《建设工程施工现场安全防护、场容卫生及消防保卫标准》(DB11/945-2012)第4.3.22条要求不符,劳务分包单位中擎(北京)建设有限公司施工时未严格按照建筑业安全作业规程或者标准进行施工,造成事故隐患,符合违反了《建设工程施工现场安全防护、场容卫生及消防保卫标准》(DB11/945-2012)1-5条技术标准,但不违反强制性条文的的事故隐患情节。",《中华人民共和国建筑法》第七十一条第一款;《北京市建设工程施工现场管理办法》第三十一条,罚款,处5000.00元罚款的行政处罚,0.5,/,/,2020-08-06,2020-08-21,/,北京市延庆区住房和城乡建设委员会,89110229MCL004126C,/,北京市延庆区住房和城乡建设委员会,89110229MCL004126C,/
北京京西北汇通商贸公司物资经销部,911102298030537475,/,/,/,/,/,李*增,身份证,延环保车罚字【2020】50号,《中华人民共和国大气污染防治法》第四十七条第二款,"我局于2020年6月19日对你(单位)进行了调查,发现你(单位)卸油区92#卸油口未按要求保持关闭状态。",《中华人民共和国大气污染防治法》第一百零八条第一款第四项,罚款,处人民币贰万元罚款。,2,/,/,2020-08-17,2099-12-31,/,延庆区生态环境局,11110229000117903B,/,延庆区生态环境局,11110229000117903B,/
北京天安达建筑工程公司,91110229103057077X,/,/,/,/,/,吕*岩,身份证,(京延)应急罚〔2020〕069号,违反了《中华人民共和国安全生产法》第三十二条的规定,未在有较大危险因素的配电箱上设置明显的安全警示标志,依据《中华人民共和国安全生产法》第九十六条第(一)项的规定,罚款,罚款陆仟元的行政处罚,0.6,/,/,2020-08-10,2030-08-10,/,北京市延庆区应急管理局,11110229764241445C,/,北京市延庆区应急管理局,11110229764241445C,/
张家口新天地运输有限公司,91130701670315669K,/,/,/,/,/,苏*臣,身份证,京交法(13)字稽20081802,违反了《危险货物道路运输安全管理办法》第二十四条第一款之规定,"该公司在运营中未按照规定制作危险货物运单。此行为违反了《危险货物道路运输安全管理办法》第二十四条第一款之规定。根据《危险货物道路运输安全管理办法》第六十条第一款第(二)项的规定,应予处罚。",根据《危险货物道路运输安全管理办法》第六十条第一款第(二)项的规定,罚款,"2020年8月12日10时03分,司机陈新生押运员贺刚驾驶的冀G.XN187号危险货物道路运输车辆,行驶至延庆区大浮坨收费站,经执法人员陈萌(执法证号:11310090)、刘玉山(执法证号:11310055)示证检查:该车所有人为张家口新天地运输有限公司,从康庄油库到松山城建集团,运输货物为柴油,在此次检查中该公司在运营中未按照规定制作危险货物运单。此行为违反了《危险货物道路运输安全管理办法》第二十四条第一款之规定。以上违法事实有现场笔录、询问笔录、证件复印件等予以佐证。当事人无陈述申辩意见。",0.3,/,/,2020-08-19,2020-08-19,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
张家口慧俊建筑工程有限公司,91130730MA0DURT194,/,/,/,/,/,王*敏,身份证,延环保车罚字〔2020〕58号,《中华人民共和国大气污染防治法》第五十一条第一款,"我局于2020年7月24日对你(单位)进行了调查,发现你(单位)负责京张高铁延庆支线四孔桥工程工地土方施工,所使用的型号为PC200-7,编号为DBB5709的小松牌挖掘机排气烟度光吸收系数为4.40m-1,超过《非道路柴油移动机械排气烟度限值及测量方法》(GB 36886-2018)规定的烟度排放限值。",《中华人民共和国大气污染防治法》第一百一十四条第一款,罚款,"责令改正,并处人民币伍仟元罚款。",0.5,/,/,2020-08-17,2099-12-31,/,延庆区生态环境局,11110229000117903B,/,延庆区生态环境局,11110229000117903B,/
北京洲顺达加油站有限公司,91110229103047784M,/,/,/,/,/,许*亮,身份证,延环保车罚字【2020】53号,《中华人民共和国大气污染防治法》第四十七条第二款,"我局于2020年6月8日对你(单位)进行了调查,发现你(单位)PV阀门(汽油)未按要求保持开启状态。",《中华人民共和国大气污染防治法》第一百零八条第一款第四项,罚款,处人民币贰万元罚款。,2,/,/,2020-08-17,2099-12-31,/,延庆区生态环境局,11110229000117903B,/,延庆区生态环境局,11110229000117903B,/
北京市首发京昌加油站有限公司,91110229757725855N,/,/,/,/,/,戴*宇,身份证,延环保车罚字【2020】54号,《中华人民共和国大气污染防治法》第四十七条第二款,"我局于2020年7月7日对你(单位)进行了调查,发现你(单位)在线监控系统埋地油罐零压报警。",《中华人民共和国大气污染防治法》第一百零八条第一款第四项,罚款,处人民币肆万元罚款。,4,/,/,2020-08-17,2099-12-31,/,延庆区生态环境局,11110229000117903B,/,延庆区生态环境局,11110229000117903B,/
北京京冀鹏飞道路运输有限公司,91110114MA00H7HC5J,/,/,/,/,/,王*成,身份证,京交法(13)字稽20081902,违反了《北京市道路运输条例》第十三条第(五)项之规定,"北京京冀鹏飞道路运输有限公司未按规定携带驾驶员从业资格证驾驶京AMV908冀GCJ03挂号货物运输车辆,此行为违反了《北京市道路运输条例》第十三条第(五)项之规定。根据《北京市道路运输条例》第五十七条第(三)项的规定,应予处罚。",根据《北京市道路运输条例》第五十七条第(三)项的规定,罚款,"2020年8月19日9时00分,高江驾驶的京AMV908冀GCJ03挂号货物运输车辆,行驶至延庆区东桥,经执法人员孙旭东(执法证号:11310108)、聂征(执法证号:11310151)示证检查:该车取得普通货物道路运输证,运输货物为石子,从怀来到延庆,该企业专业人员在运营中未携带驾驶员《从业资格证》。此行为违反了《北京市道路运输条例》第十三条第(五)项之规定。以上违法事实有现场笔录、询问笔录、证件复印件等予以佐证。当事人无陈述申辩意见。",0.02,/,/,2020-08-19,2020-08-19,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
北京快易达运输有限公司,91110304MA01BXA1XP,/,/,/,/,/,薛*,身份证,京交法(13)字稽20082105,违反了《道路货物运输及站场管理规定》第五十九条第(一)款之规定,"取得道路货物运输经营许可的道路货物运输经营者使用无道路运输证的车辆参加货物运输的行为,此行为违反了《道路货物运输及站场管理规定》第五十九条第(一)款之规定。根据《道路货物运输及站场管理规定》第五十九条第(一)款之规定,应予处罚。",根据《道路货物运输及站场管理规定》第五十九条第(一)款之规定,罚款,"2020年8月21日10时00分,徐红卫驾驶的京ADE200号货物运输车辆 ,行驶至延庆区康庄镇,经执法人员刘玉山(执法证号:11310055)、陈萌(执法证号:11310090)示证检查:车辆所人是北京快易达运输有限公司, 车内未拉货物,从顺义区到沙城。该道路货物运输经营者已取得道路运输经营许可证,但参加货物运输的京ADE200号货物运输车辆无道路运输证,此行为属于取得道路货物运输经营许可的道路货物运输经营者使用无道路运输证的车辆参加货物运输的行为,此行为违反了《道路货物运输及站场管理规定》第五十九条第(一)款之规定。以上违法事实有现场笔录、询问笔录、证件复印件等予以佐证。当事人无陈述申辩意见。",0.3,/,/,2020-08-21,2020-08-21,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
天津市蓟州区通顺达车队,92120225MA05PKA9X8,/,/,/,/,/,刘*森,身份证,京交法(13)字高2020228,违反了《道路货物运输及站场管理规定》第五十九条第(一)款之规定,"天津市蓟州区通顺达车队取得道路货物运输经营许可使用无道路运输证车辆参加货物运输,此行为违反了《道路货物运输及站场管理规定》第五十九条第(一)款之规定,根据《道路货物运输及站场管理规定》第五十九条第(一)款之规定,应给予处罚。",根据《道路货物运输及站场管理规定》第五十九条第(一)款之规定,罚款,"2020年8月4日22时00分,时永驾驶的辽PB8212号货物运输车辆 ,行驶至北京市延庆区康庄高速综检站,经执法人员李海涛(执法证号:11310097)、贾静坤(执法证号:11310161)示证检查:车辆所属天津市蓟州区通顺达车队, 空车,从河北省张家口市到天津市蓟县,该道路货物运输经营者已取得道路运输经营许可证,但参加货物运输的辽PB8212号货物运输车辆无道路运输证,此行为属于取得道路货物运输经营许可的道路货物运输经营者使用无道路运输证的车辆参加货物运输的行为,此行为违反了《道路货物运输及站场管理规定》第五十九条第(一)款之规定。以上违法事实有现场笔录、询问笔录、证件复印件等予以佐证。当事人无陈述申辩意见。",0.3,/,/,2020-08-04,2021-08-04,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
熠晨(北京)国际经贸有限公司,91110115MA01NGX66C,/,/,/,/,/,许*勇,身份证,京交法(13)字高2020195,违反了《北京市道路运输条例》第十三条第(五)项之规定,"该企业驾驶员在运营中未携带驾驶员《从业资格证》。此行为违反了《北京市道路运输条例》第十三条第(五)项之规定。根据《北京市道路运输条例》第五十七条第(三)项的规定,应予处罚。",根据《北京市道路运输条例》第五十七条第(三)项的规定,罚款,"2020年8月2日8时00分,贾江飞驾驶的京AKW375号货物运输车辆,行驶至北京市延庆区康庄高速综检站,经执法人员李文俊(执法证号:11310135)、孟灏男(执法证号:11310220)示证检查:该车取得普通货物道路运输证,运输货物为沙子,从河北省张家口市到北京市顺义区,该企业专业人员在运营中未携带驾驶员《从业资格证》。此行为违反了《北京市道路运输条例》第十三条第(五)项之规定。以上违法事实有现场笔录、询问笔录、证件复印件等予以佐证。当事人无陈述申辩意见。",0.02,/,/,2020-08-02,2021-08-02,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
