数据类型,行政相对人名称,统一社会信用代码,工商注册号,组织机构代码,税务登记号,事业单位证书号,社会组织登记证号,法定代表人,行政处罚决定书文号,违法行为类型,违法事实,处罚依据,处罚类别,处罚内容,罚款金额（万元）,没收违法所得、没收非法财务的金额（万元）,暂扣或吊销证照名称及编号,处罚决定日期,处罚有效期,公示截止期,处罚机关,处罚机关统一社会信用代码,数据来源单位,数据来源单位统一社会信用代码,备注,上报日期
企业,重庆市伟田消防工程有限公司,91500106756241728X,,,,,,陈伟,怀柔镇 罚字〔2020〕009号,《北京市环境噪音污染防治法》第十八条第二款,重庆市伟田消防工程有限公司2020年8月20日22时15分在北京市怀柔区怀柔镇永泰街9号北京市怀柔区医院二期项目工地进行浇注混凝土施工作业，无夜间施工许可证。其行为涉嫌违反了《北京市环境噪声污染防治办法》第十八条第二款之规定，应予处罚，依据《北京市环境噪声污染防治办法》第四十条规定，建议立案调查。,《北京市环境噪声污染防治办法》第四十条,罚款,重庆市伟田消防工程有限公司于2020年8月20日22时15分在北京市怀柔区怀柔镇永泰街9号北京市怀柔区医院二期项目工地进行浇注混凝土施工作业，无夜间施工许可证,1,0,,2020/8/26,2099/8/26,2021/8/26,北京市怀柔区怀柔镇政府,111102270000982982,北京市怀柔区怀柔镇政府,111102270000982982,,2020年9月14日
企业,北京天和万通建筑工程有限公司,91110115MA002N1W9B,,,,,,宋素学,怀柔镇 罚字〔2020〕010号,《北京市环境噪音污染防治法》第十八条第二款,北京天和万通建筑工程有限公司2020年8月26日22时30分在北京市怀柔区怀柔镇滨河馨居西侧100米处施工工地进行夜间施工作业，无夜间施工许可证。其行为涉嫌违反了《北京市环境噪声污染防治办法》第十八条第二款之规定，应予处罚，依据《北京市环境噪声污染防治办法》第四十条规定，建议立案调查。,《北京市环境噪声污染防治办法》第四十条,罚款,北京天和万通建筑工程有限公司2020年8月26日22时30分在北京市怀柔区怀柔镇滨河馨居西侧100米处施工工地进行夜间施工作业，无夜间施工许可证。,1,0,,2020/8/27,2099/8/27,2021/8/27,北京市怀柔区怀柔镇政府,111102270000982982,北京市怀柔区怀柔镇政府,111102270000982982,,2020年9月14日
企业,北京进东建筑装饰工程有限公司,91110114765514580X,,,,,,郭有江,怀柔镇 罚字〔2020〕008号,《北京市环境噪音污染防治法》第十八条第二款,北京进东建筑装饰工程有限公司2020年8月27日0时30分在北京市怀柔区怀柔镇滨河馨居北侧150米处施工工地进行夜间施工作业，无夜间施工许可证。其行为涉嫌违反了《北京市环境噪声污染防治办法》第十八条第二款之规定，应予处罚，依据《北京市环境噪声污染防治办法》第四十条规定，建议立案调查。,《北京市环境噪声污染防治办法》第四十条,罚款,北京进东建筑装饰工程有限公司2020年8月27日0时30分在北京市怀柔区怀柔镇滨河馨居北侧150米处施工工地进行夜间施工作业，无夜间施工许可证。,1,0,,2020/8/31,2099/8/26,2021/8/26,北京市怀柔区怀柔镇政府,111102270000982982,北京市怀柔区怀柔镇政府,111102270000982982,,2020年9月14日
企业,北京佳达通建筑装饰工程有限公司,91110116MA01D9YP4K,,,,,,吉建龙,怀柔镇 罚字〔2020〕011号,《北京市环境噪音污染防治法》第十八条第二款,北京佳达通建筑装饰工程有限公司2020年9月6日23时30分在北京市怀柔区怀柔镇滨河馨居北侧100米处施工工地进行夜间施工作业，无夜间施工许可证。其行为涉嫌违反了《北京市环境噪声污染防治办法》第十八条第二款之规定，依据《北京市环境噪声污染防治办法》第四十条规定，应予处罚，建议立案调查。,《北京市环境噪声污染防治办法》第四十条,罚款,北京佳达通建筑装饰工程有限公司2020年9月6日23时30分在北京市怀柔区怀柔镇滨河馨居北侧100米处施工工地进行夜间施工作业，无夜间施工许可证,1,0,,2020/9/7,2099/9/7,2021/9/7,北京市怀柔区怀柔镇政府,111102270000982982,北京市怀柔区怀柔镇政府,111102270000982982,,2020年9月17日
企业,山东京昌建筑工程有限公司,91370400MA3C7HDX0N,,,,,,黄振江,京怀怀柔镇罚字〔2020〕020号,《北京市大气污染防治条例》第八十一条第一款第（六）项,山东京昌建筑工程有限公司于2020年10月12日09时10分，在北京市怀柔区怀柔镇刘各长村棚户区改造土地开发安置房项目二标段施工现场道路有泥土，污染道路长58米。其行为涉嫌违反了第八十一条第一款第（六）项的规定，属于施工现场道路及进出口周边一百米以内的道路有泥土和建筑垃圾的行为，依据《北京市大气污染防治条例》第一百一十九条的规定，应予处罚，建议立案调查。,《北京市大气污染防治条例》第一百一十九条,罚款,山东京昌建筑工程有限公司于2020年10月12日09时10分，，在北京市怀柔区怀柔镇刘各长村棚户区改造土地开发安置房项目二标段施工现场道路有泥土，污染道路长58米。,5,0,,2020/10/15,2099/10/15,2021/10/15,北京市怀柔区怀柔镇政府,111102270000982982,北京市怀柔区怀柔镇政府,111102270000982982,,2020年11月3日
企业,北京大能建设工程有限公司,91110109MA019FLP69,,,,,,洪胜能,怀柔镇 罚字〔2020〕018号,《北京市环境噪音污染防治法》第十八条第二款,北京大能建设工程有限公司2020年9月23日23时10分，在北京市怀柔新城04街区棚户区改造项目四区6016地块工地，无夜间施工许可证。其行为涉嫌违反了《北京市环境噪声污染防治办法》第十八条第二款之规定，依据《北京市环境噪声污染防治办法》第四十条规定，应予处罚，建议立案调查。,《北京市环境噪声污染防治办法》第四十条,罚款,北京大能建设工程有限公司2020年9月23日23时10分，在北京市怀柔新城04街区棚户区改造项目四区6016地块工地，无夜间施工许可证。,1,0,,2020/9/24,2099/9/7,2021/9/24,北京市怀柔区怀柔镇政府,111102270000982982,北京市怀柔区怀柔镇政府,111102270000982982,,2020年11月3日
企业,天津万鼎基建筑安装有限公司,91120113789398422G,,,,,,郭卫兵,怀柔镇 罚字〔2020〕012号,《北京市环境噪音污染防治法》第十八条第二款,天津万鼎基建筑安装有限公司于2020年9月10日23时07分在北京市怀柔区怀柔镇滨河馨居南侧50米处施工工地进行混凝土浇筑作业，无夜间施工许可证。其行为涉嫌违反了《北京市环境噪声污染防治办法》第十八条第二款之规定，依据《北京市环境噪声污染防治办法》第四十条规定，应予处罚，建议立案调查。,《北京市环境噪声污染防治办法》第四十条,罚款,天津万鼎基建筑安装有限公司于2020年9月10日23时07分在北京市怀柔区怀柔镇滨河馨居南侧50米处施工工地进行混凝土浇筑作业，无夜间施工许可证。,1,0,,2020/9/14,2099/9/7,2021/9/14,北京市怀柔区怀柔镇政府,111102270000982982,北京市怀柔区怀柔镇政府,111102270000982982,,2020年11月3日
企业,北京金桥长兴建筑装饰工程有限公司,91110116MA01BAH54Y,,,,,,王永新,怀柔镇 罚字〔2020〕021号,《北京市大气污染防治条例》第八十二条第二款,北京金桥长兴建筑装饰工程有限公司于2020年10月15日13时10分，在北京市怀柔区怀柔镇刘各长村棚户区改造土地开发安置房项目一标段工地存在未按规定覆盖建筑土方的行为，未覆盖的建筑土方占地面积69平方米。其行为涉嫌违反了《北京市大气污染防治条例》第八十二条第二款的规定，属于未按规定覆盖建筑土方的行为，依据《北京市大气污染防治条例》第一百二十条的规定，应予处罚，建议立案调查。,《北京市大气污染防治条例》第一百二十条,罚款,北京金桥长兴建筑装饰工程有限公司于2020年10月15日13时10分，在北京市怀柔区怀柔镇刘各长村棚户区改造土地开发安置房项目一标段工地存在未按规定覆盖建筑土方的行为，未覆盖的建筑土方占地面积69平方米。,5,0,,2020/10/15,2099/10/15,2021/10/15,北京市怀柔区怀柔镇政府,111102270000982982,北京市怀柔区怀柔镇政府,111102270000982982,,2020年11月3日
企业,北京永恒兴业物业管理有限公司,91110228MA01P8P567,,,,,,成福远,怀柔镇 罚字〔2020〕028号,《北京市生活垃圾管理条例》第三十六条第一款第（四）项,北京永恒兴业物业管理有限公司于2020年11月9日8时55分，在北京市怀柔新城04街区21地块项目生活区存在分类管理责任人未分类收集、贮存生活垃圾的行为。其行为涉嫌违反了《北京市生活垃圾管理条例》第三十六条第一款第（四）项的规定，属于分类管理责任人未分类收集、贮存生活垃圾的行为，依据《北京市生活垃圾管理条例》第六十九条第一款的规定，应予处罚，建议立案调查。,《北京市生活垃圾管理条例》第六十九条第一款,罚款,北京永恒兴业物业管理有限公司于2020年11月9日8时55分，在北京市怀柔新城04街区21地块项目生活区存在分类管理责任人未分类收集、贮存生活垃圾的行为。,0.3,0,,2020/11/9,2099/11/9,2021/11/9,北京市怀柔区怀柔镇政府,111102270000982982,北京市怀柔区怀柔镇政府,111102270000982982,,2020年11月23日
企业,赤峰市安泰运输有限公司,91150428078350430E,,,,,,杨喜峰,京交法（怀）罚字01911107,《中华人民共和国道路运输条例》,擅自改装,《中华人民共和国道路运输条例》,罚款,擅自改装,0.9,,,2020/4/7,2020/10/7,2099/12/31,怀柔交通局,11110227000098036A,怀柔交通局,11110227000098036A,,2020年4月23日
企业,北京范立军信息咨询有限公司,91110116L631160543,,,,,,范立军,京交法（怀）罚字01911108,《道路货物运输及站场管理规定》,货运有许可使用无证车,《道路货物运输及站场管理规定》,罚款,货运有许可使用无证车,0.3,,,2020/4/13,2020/10/13,2099/12/31,怀柔交通局,11110227000098036A,怀柔交通局,11110227000098036A,,2020年4月23日
企业,北京晋嘉商贸有限公司,91110228MA003EDN2H,,,,,,胡海军,京交法（怀）罚字01911116,《道路货物运输及站场管理规定》,货运有许可使用无证车,《道路货物运输及站场管理规定》,罚款,货运有许可使用无证车,0.4,,,2020/4/15,2020/10/15,2099/12/31,怀柔交通局,11110227000098036A,怀柔交通局,11110227000098036A,,2020年4月23日
个体工商户,北京市顺义区木林镇张淑文运输队,92110113L15412887B,,,,,,张淑文,京交法（怀）罚字01911901,《道路货物运输及站场管理规定》,货运有许可使用无证车,《道路货物运输及站场管理规定》,罚款,货运有许可使用无证车,0.5,,,2020/6/24,2020/12/24,2099/12/31,怀柔交通局,11110227000098036A,怀柔交通局,11110227000098036A,,2020年7月1日
企业,北京润德轩商贸有限公司,91110116668439902P,,,,,,魏俊花,京交法（怀）罚字01911665,《道路运输车辆动态监督管理方法》,未确保卫星定位正常使用,《道路运输车辆动态监督管理方法》,罚款,未确保卫星定位正常使用,0.08,,,2020/6/22,2020/12/22,2099/12/31,怀柔交通局,11110227000098036A,怀柔交通局,11110227000098036A,,2020年7月1日
企业,北京孙海清运输有限公司,91110116MA006836X6,,,,,,孙海清,京交法（怀）罚字01911336,《中华人民共和国道路运输条例》,超期等评,《中华人民共和国道路运输条例》,罚款,超期等评,0.3,,,2020/5/20,2020/11/20,2099/12/31,怀柔交通局,11110227000098036A,怀柔交通局,11110227000098036A,,2020年7月2日
企业,北京昊然伟业建筑工程有限公司,91110116MA01BWJM6D,,,,,,赵清同,京交法（怀）罚字01911314,《中华人民共和国道路运输条例》,超期等评,《中华人民共和国道路运输条例》,罚款,超期等评,0.1,,,2020/5/19,2020/11/19,2099/12/31,怀柔交通局,11110227000098036A,怀柔交通局,11110227000098036A,,2020年7月2日
企业,北京华捷顺通运输有限公司分公司,91110116681214556J,,,,,,刘守让,京交法（怀）罚字01911151,《中华人民共和国道路运输条例》,超期等评,《中华人民共和国道路运输条例》,罚款,超期等评,0.1,,,2020/5/18,2020/11/18,2099/12/31,怀柔交通局,11110227000098036A,怀柔交通局,11110227000098036A,,2020年7月2日
企业,张家口圣云道路运输有限公司,91130701MA07XMHG2X,,,,,,邹德华,京交法（怀）罚字01911302,《中华人民共和国道路运输条例》,擅自改装,《中华人民共和国道路运输条例》,罚款,擅自改装,1.5,,,2020/5/21,2020/11/21,2099/12/31,怀柔交通局,11110227000098036A,怀柔交通局,11110227000098036A,,2020年7月2日
企业,承德志远客运有限公司,91130825109223670X,,,,,,王志奇,京交法（怀）罚字01911304,《中华人民共和国道路运输条例》,站外上客或沿途揽客,《中华人民共和国道路运输条例》,罚款,站外上客或沿途揽客,0.11,,,2020/5/20,2020/11/20,2099/12/31,怀柔交通局,11110227000098036A,怀柔交通局,11110227000098036A,,2020年7月2日
企业,北京浩呈运输有限责任公司,91110116306605002T,,,,,,佟小征,京交法（怀）罚字0180571,《中华人民共和国道路运输条例》,超期等评,《中华人民共和国道路运输条例》,罚款,超期等评,0.1,,,2020/1/13,2020/7/13,2099/12/31,怀柔交通局,11110227000098036A,怀柔交通局,11110227000098036A,,2020年7月2日
个体工商户,北京张振荣运输部,92110116MA011RKE9Y,,,,,,张振荣,京交法（怀）罚字0180572,《道路货物运输及站场管理规定》,货运有许可使用无证车,《道路货物运输及站场管理规定》,罚款,货运有许可使用无证车,0.5,,,2020/1/14,2020/7/14,2099/12/31,怀柔交通局,11110227000098036A,怀柔交通局,11110227000098036A,,2020年7月2日
企业,北京恒创天迹文化发展有限公司,91110116MA0191F13U,,,,,,马海伟,京交法（怀）罚字0180570,《道路货物运输及站场管理规定》,货运有许可使用无证车,《道路货物运输及站场管理规定》,罚款,货运有许可使用无证车,0.5,,,2020/1/10,2020/7/10,2099/12/31,怀柔交通局,11110227000098036A,怀柔交通局,11110227000098036A,,2020年7月2日
企业,北京海达陆通物流有限公司,91110116554873786Q,,,,,,吴建国,京交法（怀）罚字0180568,《中华人民共和国道路运输条例》,超期等评,《中华人民共和国道路运输条例》,罚款,超期等评,0.1,,,2020/1/10,2020/7/10,2099/12/31,怀柔交通局,11110227000098036A,怀柔交通局,11110227000098036A,,2020年7月2日
企业,元氏县旭安汽车运输有限公司,91130132MA0A663H3R,,,,,,李进辉,京交法（怀）罚字0180952,《中华人民共和国道路运输条例》,货运未携带营运证,《中华人民共和国道路运输条例》,罚款,货运未携带营运证,0.02,,,2020/1/14,2020/7/14,2099/12/31,怀柔交通局,11110227000098036A,怀柔交通局,11110227000098036A,,2020年7月2日
企业,北京运通福达机械设备租赁有限公司,91110116675735208W,,,,,,周景和,京交法（怀）罚字0180923,《中华人民共和国道路运输条例》,超期等评,《中华人民共和国道路运输条例》,罚款,超期等评,0.5,,,2020/1/16,2020/7/16,2099/12/31,怀柔交通局,11110227000098036A,怀柔交通局,11110227000098036A,,2020年7月2日
企业,北京鑫凯建筑材料有限责任公司,91110116633664712G,,,,,,崔永凯,京交法（怀）罚字0180930,《中华人民共和国道路运输条例》,擅自改装,《中华人民共和国道路运输条例》,罚款,擅自改装,0.5,,,2020/4/24,2020/10/24,2099/12/31,怀柔交通局,11110227000098036A,怀柔交通局,11110227000098036A,,2020年7月2日
企业,北京兴旺盛业投资有限公司,91110116306773524R,,,,,,黄桂芳,京交法（怀）罚字01911092,《道路货物运输及站场管理规定》,货运有许可使用无证车,《道路货物运输及站场管理规定》,罚款,货运有许可使用无证车,0.5,,,2020/4/22,2020/10/22,2099/12/31,怀柔交通局,11110227000098036A,怀柔交通局,11110227000098036A,,2020年7月2日
企业,北京瑞安克运输有限公司,91110116MA00414QXC,,,,,,张文涛,京交法（怀）罚字01911095,《中华人民共和国道路运输条例》,超期等评,《中华人民共和国道路运输条例》,罚款,超期等评,0.3,,,2020/4/23,2020/10/23,2099/12/31,怀柔交通局,11110227000098036A,怀柔交通局,11110227000098036A,,2020年7月2日
企业,高安市联诚物流有限公司,91360983MA35K55D8J,,,,,,喻桃林,京交法（怀）罚字0180569,《中华人民共和国道路运输条例》,擅自改装,《中华人民共和国道路运输条例》,罚款,擅自改装,0.8,,,2020/1/10,2020/7/10,2099/12/31,怀柔交通局,11110227000098036A,怀柔交通局,11110227000098036A,,2020年7月2日
企业,北京兴旺盛业投资有限公司,91110116306773524R,,,,,,黄桂芳,京交法（怀）罚字0180922,《道路货物运输及站场管理规定》,货运有许可使用无证车,《道路货物运输及站场管理规定》,罚款,货运有许可使用无证车,0.5,,,2020/1/15,2020/7/15,2099/12/31,怀柔交通局,11110227000098036A,怀柔交通局,11110227000098036A,,2020年7月2日
企业,大秦铁路股份有限公司茶坞工务段,91110116802596811G,,,,,,郭涛,京交法（怀）罚字01911097,《中华人民共和国道路运输条例》,超期等评,《中华人民共和国道路运输条例》,罚款,超期等评,0.1,,,2020/4/30,2020/10/30,2099/12/31,怀柔交通局,11110227000098036A,怀柔交通局,11110227000098036A,,2020年7月2日
个体工商户,兴隆县赵宗强货运户,92130822MA0EKK1C87,,,,,,赵宗强,京交法（怀）罚字01911065,《道路货物运输及站场管理规定》,货运有许可使用无证车,《道路货物运输及站场管理规定》,罚款,货运有许可使用无证车,0.5,,,2020/4/28,2020/10/28,2099/12/31,怀柔交通局,11110227000098036A,怀柔交通局,11110227000098036A,,2020年7月2日
企业,北京海明昌达科技发展有限公司,91110112MA01P3PCX6,,,,,,周景环,京交法（怀）罚字01911028,《道路货物运输及站场管理规定》,货运有许可使用无证车,《道路货物运输及站场管理规定》,罚款,货运有许可使用无证车,0.5,,,2020/5/7,2020/11/7,2099/12/31,怀柔交通局,11110227000098036A,怀柔交通局,11110227000098036A,,2020年7月2日
企业,北京天天速尔速通物流有限公司,91110116053605126L,,,,,,韦卫东,京交法（怀）罚字01911054,《中华人民共和国道路运输条例》,超期等评,《中华人民共和国道路运输条例》,罚款,超期等评,0.1,,,2020/4/27,2020/10/27,2099/12/31,怀柔交通局,11110227000098036A,怀柔交通局,11110227000098036A,,2020年7月2日
企业,北京海达陆通物流有限公司,91110116554873786Q,,,,,,吴建国,京交法（怀）罚字01911229,《中华人民共和国道路运输条例》,超期等评,《中华人民共和国道路运输条例》,罚款,超期等评,0.1,,,2020/4/29,2020/10/29,2099/12/31,怀柔交通局,11110227000098036A,怀柔交通局,11110227000098036A,,2020年7月2日
企业,北京畅达同创物流有限公司,91110116692318748T,,,,,,米雪林,京交法（怀）罚字01911061,《道路货物运输及站场管理规定》,货运有许可使用无证车,《道路货物运输及站场管理规定》,罚款,货运有许可使用无证车,0.5,,,2020/4/28,2020/10/28,2099/12/31,怀柔交通局,11110227000098036A,怀柔交通局,11110227000098036A,,2020年7月2日
企业,北京市北房秀发商贸中心,92110116L091937963,,,,,,李秀发,京交法（怀）罚字01911067,《道路货物运输及站场管理规定》,货运有许可使用无证车,《道路货物运输及站场管理规定》,罚款,货运有许可使用无证车,0.5,,,2020/4/28,2020/10/28,2099/12/31,怀柔交通局,11110227000098036A,怀柔交通局,11110227000098036A,,2020年7月2日
企业,北京环瑞洁环保科技有限公司,91110116MA01D2098L,,,,,,杨宇,京交法（怀）罚字01911613,《中华人民共和国道路运输条例》,擅自改装,《中华人民共和国道路运输条例》,罚款,擅自改装,1,,,2020/7/29,2021/1/29,2099/12/31,怀柔交通局,11110227000098036A,怀柔交通局,11110227000098036A,,2020年8月5日
