公司名称,所属区县,统一社会信用代码,注册地址,入选类别
小格创新科技（北京）有限公司,海淀区,91110108MA007ETM8P,北京市海淀区清河永泰园甲1号综合楼二层270-282-001号,U30
宇内贤达智能科技（北京）有限责任公司,海淀区,91110108MA0199EM0Q,北京市海淀区信息路甲28号D座05B-5068,U30
中财园在线网络技术（北京）有限公司,海淀区,91110108MA005W8A4F,北京市海淀区高梁桥斜街59号院1号楼11层1110,U30
北京石酒塑送科技有限公司（曾用名：北京智滕教育科技有限公司）,海淀区,91110108MA01AR0R7E,北京市海淀区北清路103号1幢1层101-16,U30
北京觉醒纪科技有限公司,海淀区,91110108MA01AHUN8X,北京市海淀区上地信息路26号01层0112-109室,U30
零晓（北京）科技有限公司,海淀区,91110108MA00DE3L7F,北京市海淀区学院路35号世宁大厦14层(1410-027),U30
云孚科技（北京）有限公司,海淀区,91110108MA00G8CB2M,北京市海淀区上地信息路2号(北京实创高科技发展总公司2-2号D栋1-8层)三层306室,U30
中瀛（北京）科技有限公司,海淀区,91110108MA00B2AP0E,北京市海淀区中关村大街1号16层1601-07号,U30
北京乐享奇迹信息科技有限公司,海淀区,91110228MA005702XK,北京市海淀区学院南路15号16号楼二层2021,U30
巴里斯特（北京）科技有限公司,海淀区,91110108MA009GMF2G,北京市海淀区西四环北路158号1幢8层8096号,获得投资类
北京阿博茨科技有限公司,海淀区,91110108MA00567H42,北京市海淀区学清路8号1号楼4层A403室,获得投资类
北京波巴布信息技术有限责任公司,海淀区,91110108MA009AJA6B,北京市海淀区西三环北路89号8层A-385,获得投资类
北京长木谷医疗科技股份有限公司（曾用名：北京长木谷医疗科技有限公司）,海淀区,91110108MA01BFUXXF,北京市北京经济技术开发区凉水河二街8号院5号楼3层101-301,获得投资类
北京冲浪科技有限公司,海淀区,91110108MA00EQAT57,北京市海淀区上地三街9号D座8(7)层D812-4,获得投资类
北京衡石科技有限公司,海淀区,91110108MA008NRC3T,北京市海淀区西小口路66号中关村东升科技园·北领地B-2楼三层A301,获得投资类
北京欢聚时刻科技有限公司,海淀区,91110108MA00CLAX3P,北京市海淀区大钟寺13号院1号楼地下一层FC102-47,获得投资类
北京慧尔树科技有限公司,海淀区,91110108MA01B88271,北京市海淀区高梁桥斜街59号院6号楼3层302-11,获得投资类
北京坤飞航天科技有限公司,海淀区,91110108MA017Y2282,北京市海淀区海淀中街16号9层5单元908,获得投资类
北京萝卜青菜教育科技有限公司,海淀区,91110105MA018GXK97,北京市海淀区北三环中路44号10号楼3层315,获得投资类
北京高科众诚科技有限公司（曾用名：北京美信众诚科技有限公司）,海淀区,91110108MA006GBN1L,北京市海淀区西四环北路15号2层206,获得投资类
北京启迪开智教育科技有限公司,海淀区,91110108MA00EF3K7D,北京市海淀区中关村大街18号B座9层909室608号,获得投资类
北京天赋通教育科技有限公司,海淀区,91110105MA01A1N796,北京市海淀区北三环西路甲23号院1号楼4层417,获得投资类
北京相数科技有限公司,海淀区,91110108MA00CCTA1Y,北京市海淀区天秀路10号中国农大国际创业园3号楼6层6022,获得投资类
