2022年顺义区农业标准化基地名录,,,,,,
序号,基地编号,基地名称,基地地址,行业,评定等级,评定年份
27,2220120150028,北京爱农天地农业有限公司,顺义区木林镇荣各庄村北1000米,种植业,优级,2015
28,2220120150096,北京新地绿源番茄种植专业合作社,顺义区北务镇郭家务村,种植业,优级,2022
29,2220120150011,北京高天顺农业生态科技有限公司,北京顺义区北务镇小珠宝村东,种植业,优级,2018
30,2220120160115,北京松各庄瓜菜产销专业合作社,北京市顺义区杨镇松各庄村,种植业,优级,2022
31,2220120150006,北京绿奥蔬菜合作社,顺义区大孙各庄镇四福庄村,种植业,优级,2022
32,2220120150001,北京沿河绿地瓜菜种植合作社,顺义区李桥镇沿河村,种植业,优级,2021
33,2220120150025,北京市太阳村儿童教育咨询中心,顺义区赵全营镇板桥村,种植业,优级,2019
34,1130120220001,北京红合永泰生态农业科技有限公司,顺义区李桥镇沙浮村南小巷266号,种植业,备案,NULL
35,2220120150030,北京当益生态农业科技有限公司,顺义区杨镇焦各庄村,种植业,优级,2015
36,1130120200005,北京水云天采摘园,北京市顺义区木林镇东沿头村,种植业,良好级,2022
37,1130120200006,北京久日远洋商贸有限公司,北京市顺义区大孙各庄镇东尹家府村,种植业,良好级,2022
38,2220120160143,北京龙湾巧嫂艺农果蔬农业科技有限公司,顺义区李桥镇后桥村,种植业,优级,2022
39,1130120180013,北京龙湾西坡生态农业有限公司,顺义区龙湾屯镇大北坞村,种植业,优级,2019
40,1130120180015,北京福劳尔花卉有限公司,顺义区北务镇庄子村木燕辅路18号,种植业,良好级,2020
41,1130120200004,北京新成美业农业科技有限公司,北京市顺义区马坡镇毛家营村,种植业,良好级,2022
42,2220120150010,北京安利隆生态农业有限公司,北京市顺义区龙湾屯镇山里辛庄村东,种植业,优级,2018
43,1130120200001,北京凯泰晟达农产品产销专业合作社,北京市顺义区木林镇王泮庄村,种植业,良好级,2022
44,1130120180022,北京晨安秾坊生态农业有限公司,顺义区李遂镇后营村,种植业,良好级,2020
45,2220120150023,北京前陆马村果蔬产销专业合作社,顺义区大孙各庄镇前陆马村,种植业,优级,2019
46,2220120150095,北京浮士德生态农业有限公司,顺义区张镇驻马庄村,种植业,优级,2022
47,2220120150013,北京嘉博文生物科技有限公司,北京市顺义区龙塘路3号,种植业,优级,2018
48,1130120210002,北京伊泰华府生态农庄有限公司,北京市顺义区北小营镇后礼务村,种植业,优级,2022
49,2220120150012,北京海顺宏远芦笋产销专业合作社,北京市顺义区北小营镇大胡营村委会东南500米,种植业,优级,2018
50,2220120150020,北京博特园农业发展有限公司,顺义区大孙各庄镇赵家峪村,种植业,优级,2019
51,1130120180003,仲元（北京）绿色农业技术开发有限公司,北京市顺义区高丽营镇文化营村,种植业,优级,2019
52,2220120150016,北京听澜生态农庄有限公司,北京市顺义区高丽营镇火寺路南郎中村,种植业,优级,2018
53,2220120150027,绿尚农园,顺义区杨镇鲜花港南路9号,种植业,优级,2019
54,1130120200009,中海外业兴福盛农业科技发展（北京）有限公司,北京市顺义区龙湾屯镇史中坞村北横街3号,种植业,优级,2021
55,2220120150032,北京瑞禾园生态农业有限公司,顺义区李遂镇前营村,种植业,优级,2015
56,1130120190006,北京市顺义区木林镇贾山村经济合作社,顺义区木林镇贾山村,种植业,达标级,2020
57,2220120150004,北京万科艺园农业科技发展有限公司,顺义区高丽营七村,种植业,优级,2021
58,1130120180021,北京箭杆河边农业科技发展专业合作社,顺义区北小营镇前鲁村,种植业,达标级,2020
59,1130120190001,北务镇道口村经济合作社,北京市顺义区北务镇道口村,种植业,达标级,2020
60,2220120150042,北京世外苑农场,顺义区李桥镇南庄头村,种植业,优级,2021
61,1130120190004,北务镇林上村经济合作社,顺义区北务镇林上村,种植业,达标级,2020
62,2220120150021,北京丰顺恒农业科技发展有限公司,顺义区大孙各庄镇湘王庄村,种植业,优级,2019
63,2220120150022,北京绿富田园农业发展有限公司,顺义区木林镇王泮庄村,种植业,优级,2019
64,2220120150040,北京美田有馨科技有限公司,顺义区大孙各庄镇东尹家府村,种植业,优级,2021
65,2220120150003,北京顺沿特种蔬菜基地,顺义区李桥镇西树行村,种植业,优级,2021
66,2220120160114,北京七彩佳合花卉有限公司,顺义区北石槽镇东石槽村,种植业,优级,2020
67,2220120150017,北京维基特博农产品产销专业合作社,北京市顺义区赵全营镇大官庄村委会西,种植业,优级,2018
68,2220120150026,北京兴农鼎力种植专业合作社,北京市顺义区赵全营镇前桑园村村东200米,种植业,优级,2019
69,2220120170123,北京兴农天力农机服务专业合作社,顺义区赵全营镇前桑园村,种植业,优级,2018
70,1130120180005,北京万海瑞通农业科技发展有限公司,顺义区杨镇曾庄村顺平路沙岭段8号,种植业,优级,2019
71,2220120150041,东焦各庄 北京市神农天地农业科技有限公司,顺义区杨镇东焦各庄村,种植业,优级,2021
72,1130120180006,北京羽翔南山农业科技有限公司,北京市顺义区李桥镇沙浮村,种植业,良好级,2020
73,2220120170124,北京市北郎中诺金蔬菜种植专业合作社,北京市顺义区赵全营镇北郎中村,种植业,达标级,2020
74,1130120210003,北京荆坨村绿畅果蔬种植园,北京市顺义区杨镇荆坨村,种植业,良好级,2022
75,1130120180010,北京天昊养殖场,北京市顺义区赵全营镇马家堡村西北2000米,种植业,达标级,2020
76,1130120210001,北京食为先生态农业园有限责任公司,北京市顺义区北石槽镇刘各庄村,种植业,优级,2022
77,1130120180016,分享收获（北京）农业发展有限公司,顺义区龙湾屯镇龙湾屯村,种植业,优级,2021
78,1130120180008,北京海龙兴园林工程有限公司,顺义区张镇港西村,种植业,优级,2018
79,1130120180004,北京纯然生态科技有限公司,顺义区大孙各庄镇东尹家府村,种植业,优级,2018
80,2220220150054,北京天鹏兴旺养殖有限公司,顺义区木林镇前王各庄村,畜牧业,优级,2018
81,1130220180001,北京精正缘农业发展有限公司,北京市顺义区木林镇东沿头村,畜牧业,优级,2018
82,2220220150056,北京中地畜牧科技有限公司,顺义区大孙各庄镇赵家峪村,畜牧业,优级,2018
83,2220220150048,北京顺鑫农业茶棚原种猪场,顺义区木林镇茶棚村,畜牧业,优级,2022
84,2220220150061,北京秀洪养殖场,顺义区龙湾屯镇史中坞村,畜牧业,优级,2019
85,2220220150045,北京奥鑫牧业有限公司,顺义区杨各庄镇红寺村,畜牧业,优级,2022
86,2220220150044,北京市北务广峰养殖场,顺义区杨镇高各庄村,畜牧业,优级,2021
87,2220220160116,北京市龙湾屯四发种猪场,顺义区龙湾屯镇张中坞村,畜牧业,良好级,2018
88,2220220150101,北京小段奶牛合作社,顺义区大孙各庄镇小段村,畜牧业,良好级,2018
89,1130220180003,北京梦渌通养殖有限公司,顺义区杨镇小店村,畜牧业,达标级,2020
90,2220220150102,北京雄特牧业有限公司,北京市顺义区大孙各庄镇大孙各庄村东500米（雄特牛场）,畜牧业,良好级,2018
91,2220220150049,北京顺鑫农业股份有限公司小店畜禽良种场,顺义区大孙各庄镇客家庄村村委会西500米,畜牧业,优级,2022
92,2220220150064,北京六马养猪科技有限公司,顺义区大孙各庄镇后六马村,畜牧业,良好级,2015
93,2220220150065,北京顺鑫农业小店畜禽良种场,顺义区龙湾屯镇丁甲庄村,畜牧业,优级,2015
94,1130320180013,崔秀平,顺义区大孙各庄镇东尹村,水产业,达标级,2019
95,1130320210003,北京洪程养殖场,北京市顺义区南彩镇北彩村,水产业,达标级,2022
96,1130320210001,北京北务绿水渔业有限公司,北京市顺义区北务镇珠宝屯村,水产业,良好级,2022
97,1130320210002,北京顺义区李成德渔场,北京市顺义区大孙各庄镇后岭村,水产业,良好级,2022
98,1130320180009,北京平方辰辰水族店,顺义区北务镇庄子村,水产业,优级,2019
99,2220320150077,北京当益生态农业科技有限公司,顺义区杨镇焦各庄村,水产业,优级,2019
100,2220320150075,北京中金证投资有限公司,顺义区牛栏山镇先进村,水产业,优级,2018
101,2220320160118,北京万海瑞通农业科技发展有限公司,顺义区杨镇曾庄村,水产业,优级,2022
102,1130320180004,北京市顺义区北小营镇万紫薇养殖场,顺义区北小营镇前鲁村,水产业,优级,2022
103,2220320170133,北京奇凯垂钓园,李遂镇牌楼村,水产业,优级,2018
104,1130320210006,史进军,北京市顺义区张镇赵各庄村,水产业,达标级,2022
105,2220320160120,北京子煜华雨垂钓场,顺义区杨镇焦各庄村,水产业,良好级,2019
106,2220320170138,北京英华顺垂钓园,北务镇庄子村,水产业,良好级,2019
107,1130320210009,顺义区马坡镇王乃福渔场,顺义区马坡镇衙门口村,水产业,达标级,2022
108,2220320150076,北京朱民垂钓园,顺义区张镇柏树庄村,水产业,优级,2018
109,2220320150089,北京万家恒业水产销售专业合作社,顺义区南彩镇桥头村,水产业,优级,2015
110,2220320150071,北京梓婷佳苑垂钓园,顺义区南彩镇桥头村,水产业,优级,2022
111,1130320180010,北京鑫龙康盛垂钓中心,顺义区大孙各庄镇东尹村,水产业,达标级,2019
112,1130320200002,北京盛世紫溪农业科技有限公司,北京市顺义区北务镇林上村,水产业,优级,2021
113,1130320200007,北京精诚至远娱乐文化有限公司,北京市顺义区高丽营镇一村,水产业,优级,2022
114,2220320150083,北京市顺康源生态农业有限责任公司,顺义区南彩镇东江头村,水产业,优级,2019
115,1130320180015,北京文权垂钓园,顺义区大孙各庄镇湘王各庄村,水产业,优级,2019
116,2220320150088,北京市顺义区南彩镇李建国养殖场,顺义区南彩镇河北村,水产业,优级,2015
117,1130320220003,北京地源遂航农业发展有限公司,顺义区李遂镇后营村,水产业,备案,NULL
118,2220320150091,北京陈金明垂钓园,顺义区大孙各庄镇前岭村,水产业,优级,2021
119,1130320200005,北京市城宫饭庄所属渔场,北京市顺义区张镇行宫村南,水产业,达标级,2022
120,1130320180008,佟海蛟,顺义区张镇赵各庄村,水产业,达标级,2019
121,2220320150073,北京后鲁养鱼场,顺义区北小营镇后鲁村,水产业,优级,2018
122,2220320150081,北京利园养鱼场,顺义区赵全营镇解放村,水产业,优级,2019
123,2220320150084,北京绿色大地垂钓服务中心,顺义区马坡镇马卷村,水产业,优级,2015
124,2220320170130,北京高国华养殖场,北小营镇仇店村,水产业,优级,2018
125,1130320180007,顺义佟连合渔场,顺义区张镇张各庄村,水产业,达标级,2019
126,1130320220002,北京崔学柱垂钓园,顺义区大孙各庄镇东尹村,水产业,备案,NULL
127,2220320160121,北京晟野宇川养殖场,顺义区杨镇小店村,水产业,优级,2022
128,2220320150110,北京水色时光养殖场,顺义区北小营镇北小营村,水产业,优级,2019
129,2220320150109,北京春梅养殖场,顺义区大孙各庄镇大孙各庄村,水产业,优级,2021
130,1130320190001,北京春铭垂钓园,顺义区大孙各庄镇前陆马村,水产业,优级,2020
131,2220320170139,北京安联垂钓园,北务镇庄子村,水产业,良好级,2019
132,2220320170136,北京牌楼宏波水产养殖厂,李遂牌楼村,水产业,优级,2018
133,2220320170137,北京王连山养殖场,杨镇别庄村,水产业,优级,2018
134,1130320180005,北京德睿恒昌农业发展有限公司,杨镇二郎庙,水产业,优级,2020
135,1130320210007,顺义区张镇赵各庄村杨敬伟渔场,北京市顺义区张镇赵各庄村,水产业,达标级,2022
136,2220320160119,北京金鑫紫溪种植有限公司,顺义区杨镇高各庄村,水产业,优级,2022
137,1130320200003,北京盛世鱼悦农业科技有限公司,北务镇闫渠村,水产业,优级,2021
138,1130320200001,北京才克海仓储服务有限公司,北京市顺义区北小营镇东府村,水产业,优级,2021
139,1130320200004,北京刘学海垂钓园,大孙各庄镇大崔各庄村,水产业,优级,2022
140,1130320180014,北京绿康园养殖场,顺义区张镇聂庄村,水产业,优级,2020
141,1130320200008,北京东方红垂钓园,北京市顺义区杨镇白塔村,水产业,达标级,2022
142,2220320170141,北京山红松养殖场,杨镇周庄村,水产业,良好级,2019
143,2220320150087,北京盛普建设工程有限公司垂钓园,顺义区大孙各庄镇后岭上村,水产业,优级,2015
144,2220320150072,北京金港碧波垂钓有限公司,顺义区高丽营镇六村,水产业,优级,2018
145,2220320170132,柳季山,北小营镇前鲁村,水产业,优级,2019
146,1130320220001,北京市连英养鱼场,顺义区赵全营镇联庄村,水产业,备案,NULL
147,1130320180012,北京单凤才垂钓园,顺义区大孙各庄镇前岭上村,水产业,优级,2022
148,1130320220004,北京碧波庄园生态农业有限公司,顺义区李遂镇太平辛庄,水产业,备案,NULL
149,2220320150079,北京国庆兴发养殖场,顺义区大孙各庄镇后岭上村,水产业,优级,2019
150,2220320150070,北京巴沙鑫泉养殖场,顺义区南彩镇南彩村,水产业,优级,2022
151,2220320150108,北京市杨镇水产养殖场,顺义区杨镇三街村,水产业,优级,2019
152,1130320200006,北京三顷芳塘农业科技有限公司,北京市顺义区马坡镇马卷村,水产业,优级,2021
153,1130320210005,北京史进宝垂钓园,北京市顺义区张镇小曹庄村,水产业,优级,2022
154,1130320180011,北京崔凤凯垂钓园,顺义区大孙各庄镇东尹村,水产业,优级,2021
155,1130320180002,北京市顺义区北小营镇高士利养殖场,北京市顺义区北小营镇前鲁村,水产业,优级,2021
156,2220320150069,北京进忠养殖场,顺义区李遂镇牌楼村,水产业,优级,2021
157,1130320210008,顺义区李家洼子渔场,北京市顺义区张镇李家洼子村,水产业,达标级,2022
158,1130320210004,顺义杨镇东庞村渔场,顺义杨镇东庞村,水产业,达标级,2022
159,2220320150113,北京碧水蓝天垂钓有限公司,顺义区马坡镇马卷村,水产业,优级,2022
160,1130320190002,北京金满库垂钓服务有限公司,北京市顺义区杨镇王辛庄村,水产业,优级,2020
161,1130320180006,北京建民渔场,顺义区杨镇曾庄村,水产业,达标级,2019
162,2220320150092,北京海清琦种植园,顺义区木林镇荣各庄村,水产业,优级,2021
