序号,企业名称,试点示范,最新认定/复审年份,最新认定/复审情况
64,中晶环境科技股份有限公司,优势单位,2023年,2020年度示范复审通过
65,中冶交通集团有限公司,优势单位,2023年,2020年度示范复审通过
66,阿尔特汽车技术股份有限公司,优势单位,2023年,2023年度新认定优势
67,北京国家新能源汽车技术创新中心有限公司,优势单位,2023年,2023年度新认定优势
68,北京海纳川汽车部件股份有限公司,优势单位,2023年,2023年度新认定优势
69,北京合康新能变频技术有限公司,优势单位,2023年,2023年度新认定优势
70,北京和合医学诊断技术股份有限公司,优势单位,2023年,2023年度新认定优势
71,北京华益精点生物技术有限公司,优势单位,2023年,2023年度新认定优势
72,北京捷杰西石油设备有限公司,优势单位,2023年,2023年度新认定优势
73,北京京东拓先科技有限公司,优势单位,2023年,2023年度新认定优势
74,北京旌准医疗科技有限公司,优势单位,2023年,2023年度新认定优势
75,北京民利储能技术有限公司,优势单位,2023年,2023年度新认定优势
76,北京升鑫网络科技有限公司,优势单位,2023年,2023年度新认定优势
77,北京斯年智驾科技有限公司,优势单位,2023年,2023年度新认定优势
78,北京天星医疗股份有限公司,优势单位,2023年,2023年度新认定优势
79,北京先通国际医药科技股份有限公司,优势单位,2023年,2023年度新认定优势
80,北京星河动力装备科技有限公司,优势单位,2023年,2023年度新认定优势
81,北京星途探索科技有限公司,优势单位,2023年,2023年度新认定优势
82,北京行易道科技有限公司,优势单位,2023年,2023年度新认定优势
83,北京奕斯伟计算技术股份有限公司,优势单位,2023年,2023年度新认定优势
84,北京悦康科创医药科技股份有限公司,优势单位,2023年,2023年度新认定优势
85,北京中交兴路车联网科技有限公司,优势单位,2023年,2023年度新认定优势
86,北京中科宇航技术有限公司,优势单位,2023年,2023年度新认定优势
87,蓝星（北京）化工机械有限公司,优势单位,2023年,2023年度新认定优势
88,北京博清科技有限公司,优势单位,2024年,2021年优势复审通过（2021年新认定或复审单位）
89,北京创盈光医疗科技有限公司,优势单位,2024年,2021年优势复审通过（2021年新认定或复审单位）
90,北京慧荣和科技有限公司,优势单位,2024年,2021年优势复审通过（2021年新认定或复审单位）
91,北京集创北方科技股份有限公司,优势单位,2024年,2021年优势复审通过（2021年新认定或复审单位）
92,北京凌天智能装备集团股份有限公司,优势单位,2024年,2021年优势复审通过（2021年新认定或复审单位）
93,北京智行者科技股份有限公司,优势单位,2024年,2021年优势复审通过（2021年新认定或复审单位）
94,奇点新源国际技术开发(北京)有限公司,优势单位,2024年,2021年优势复审通过（2021年新认定或复审单位）
95,北京融安特智能科技股份有限公司,优势单位,2024年,2021年优势复审通过（2021年新认定或复审单位）
96,华泰永创(北京)科技股份有限公司,优势单位,2024年,2021年优势复审通过（2021年新认定或复审单位）
97,北京华海基业机械设备有限公司,优势单位,2024年,2021年优势复审通过（2021年新认定或复审单位）
98,北京天广实生物技术股份有限公司,优势单位,2024年,2021年优势复审通过（2021年新认定或复审单位）
99,北京金风科创风电设备有限公司,优势单位,2024年,2021年优势复审通过（2021年新认定或复审单位）
100,北京沃东天骏信息技术有限公司,优势单位,2024年,2021年优势复审通过（2021年新认定或复审单位）
101,京东科技信息技术有限公司,优势单位,2024年,2021年优势复审通过（2021年新认定或复审单位）
102,安诺优达基因科技(北京)有限公司,优势单位,2024年,2021年优势复审通过（2021年新认定或复审单位）
103,北京智飞绿竹生物制药有限公司,优势单位,2024年,2021年优势复审通过（2021年新认定或复审单位）
104,北京百普赛斯生物科技股份有限公司,优势单位,2024年,2021年优势复审通过（2021年新认定或复审单位）
105,北京经纬纺机新技术有限公司,优势单位,2024年,2021年优势复审通过（2021年新认定或复审单位）
106,永旭腾风新能源动力科技(北京)有限公司,优势单位,2024年,2021年优势复审通过（2021年新认定或复审单位）
107,北京德为智慧科技有限公司,优势单位,2024年,2021年优势复审通过（2021年新认定或复审单位）
108,北京星际荣耀科技有限责任公司,优势单位,2024年,2021年优势复审通过（2021年新认定或复审单位）
109,赛诺威盛科技(北京)股份有限公司,优势单位,2024年,2021年优势复审通过（2021年新认定或复审单位）
110,北京擎科生物科技股份有限公司,优势单位,2024年,2021年优势复审通过（2021年新认定或复审单位）
111,北京京东方茶谷电子有限公司,优势单位,2024年,2021年优势复审通过（2021年新认定或复审单位）
112,新石器慧通（北京）科技有限公司,优势单位,2024年,2024年新认定优势
113,北京显芯科技有限公司,优势单位,2024年,2024年新认定优势
114,北京贝能达信息技术股份有限公司,优势单位,2024年,2024年新认定优势
115,北京索莱宝科技有限公司,优势单位,2024年,2024年新认定优势
116,北京锐达仪表有限公司,优势单位,2024年,2024年新认定优势
117,北京胜能能源科技有限公司,优势单位,2024年,2024年新认定优势
118,北京智愈医疗科技有限公司,优势单位,2024年,2024年新认定优势
119,国汽（北京）智能网联汽车研究院有限公司,优势单位,2024年,2024年新认定优势
120,北京安诺优达医学检验实验室有限公司,优势单位,2024年,2024年新认定优势
121,北京友通上昊科技有限公司,优势单位,2024年,2024年新认定优势
122,雅客智慧（北京）科技有限公司,优势单位,2024年,2024年新认定优势
123,中国石化催化剂有限公司,优势单位,2024年,2024年新认定优势
124,北京宏诚创新科技有限公司,优势单位,2024年,2024年新认定优势
125,新毅东（北京）科技有限公司,优势单位,2024年,2024年新认定优势
126,北京京仪自动化装备技术股份有限公司,优势单位,2024年,2024年新认定优势
127,北京集度科技有限公司,优势单位,2024年,2024年新认定优势
128,北京中航智科技有限公司,优势单位,2024年,2024年新认定优势
129,盛吉盛半导体科技（北京）有限公司,优势单位,2024年,2024年新认定优势
130,东方晶源微电子科技（北京）股份有限公司,优势单位,2024年,2024年新认定优势
131,北京路凯智行科技有限公司,优势单位,2024年,2024年新认定优势
132,北京德益达美医疗科技有限公司,优势单位,2024年,2024年新认定优势
133,中航技进出口有限责任公司,优势单位,2024年,2024年新认定优势
134,中科艾尔(北京)科技有限公司,优势单位,2024年,2024年新认定优势
135,北斗启明(北京)节能科技服务有限公司,优势单位,2024年,2024年新认定优势
136,银河航天(北京)网络技术有限公司,优势单位,2024年,2024年新认定优势
137,北方集成电路技术创新中心(北京)有限公司,优势单位,2024年,2024年新认定优势
138,北京通嘉宏瑞科技有限公司,优势单位,2024年,2024年新认定优势
139,金篆信科有限责任公司,优势单位,2024年,2024年新认定优势
