决定书编号,处罚类别,处罚事由,处罚依据,纳税人名称,统一社会信用代码,组织机构代码,处罚结果,处罚生效期,处罚截止期,处罚机关,当前状态
京海三税罚202013,发票违法,"丢失空白通用机打卷式发票91份，发票代码：111001173051，发票号码:07698501-07698591。",《中华人民共和国发票管理办法》第三十六条第二款,北京京蔬种子有限公司,,600385610,罚款1820,2020/4/28,2020/5/13,国家税务总局北京市海淀区税务局,注销
京顺一税罚202013,发票违法,"遗失增值税普通发票36张，发票代码：011001800304,发票号码：11857630-11857665。",《中华人民共和国发票管理办法》第三十六条第二款,北京小马智睿企业咨询有限公司,91110113MA01KLM47Q,MA01KLM47,罚款1080,2020/4/28,2020/5/13,国家税务总局北京市顺义区税务局第一税务所（办税服务厅）,正常
京海税罚2020271,违反税收管理,纳税人、扣缴义务人编造虚假计税依据，在2017年11月12月期间存在个人所得税身份信息冒用行为，虚列成本77500元。,《中华人民共和国税收征收管理法》第六十四条第一款,北京创天隆元科技有限公司,91110108691671347U,691671347,罚款5000,2020/5/9,2020/6/4,国家税务总局北京市海淀区税务局第一税务所（办税服务厅）,正常
京海税罚2020298,违反税收管理,该企业在2019年1月-2020年3月期间，存在冒用他人个人信息做个税明细申报行为，涉及金额73800元，根据《中华人民共和国税收征收管理法》第六十四条第一款的规定，纳税人、扣缴义务人编造虚假计税依据的。由税务机关责令限期改正，并对该企业处以5000元的罚款。,《中华人民共和国税收征收管理法》第六十四条第一款,北京全星商务有限责任公司,91110108697724702M,697724702,罚款5000,2020/5/14,2020/6/2,国家税务总局北京市海淀区税务局,正常
京海八税罚202048,违反税收管理,2010年4月增值税未按照规定期限办理纳税申报和报送纳税资料,《中华人民共和国税收征收管理法》第六十二条，纳税人未按照规定的期限办理纳税申报和报送纳税资料的，或者扣缴义务人未按照规定的期限向税务机关报送代扣代缴、代收代缴税款报告表和有关资料的，由税务机关责令限期改正，可以处二千元以下的罚款；情节严重的，可以处二千元以上一万元以下的罚款,北京市海淀区海淀建华餐厅,,,罚款1000,2020/4/23,2020/5/8,国家税务总局北京市海淀区税务局第八税务所,注销
京朝一税罚20209,违反税收管理,未按照规定设置和保管账簿或保管记账凭证和有关资料,《中华人民共和国税收征收管理法》第六十条第一款第（二）项,北京安维肯电子科技研发有限公司,91110105306589751Y,306589751,罚款2000,2020/4/23,2020/5/8,国家税务总局北京市朝阳区税务局第一税务所（办税服务厅）,注销
京海三税罚202012,发票违法,丢失空白通用机打发票70份，发票代码为111001373051，发票号码为15493601-15493629、15493660-15493700,《中华人民共和国发票管理办法》第三十六条第二款,网际唯真（北京）科技有限公司,,095802099,罚款1750,2020/4/23,2020/5/8,国家税务总局北京市海淀区税务局,注销
京朝三税罚202011,发票违法,"2019年10月31日声明丢失北京增值税专用发票5份,发票代码：1100181130,发票号码：06136736-06136740								",《中华人民共和国发票管理办法》第三十六条第二款,北京拜拜科技有限公司,91110105MA01GR6L9L,MA01GR6L9,罚款2000,2020/4/23,2020/5/8,国家税务总局北京市朝阳区税务局第三税务所（办税服务厅）,正常
京通四税罚202077,发票违法,"丢失发票,丢失增值税普通发票（16版增值税普通发票（二联折叠式）），发票代码：1100173320，发票起止号码：15457286---15457335，共计50份",《中华人民共和国发票管理办法》第三十六条第二款,北京市通汇龙永春汽车修理部,92110112L00224111B,,罚款1000,2020/4/23,2020/5/8,国家税务总局北京市通州区税务局第四税务所,正常
京平税罚20204,发票违法,你单位违反《中华人民共和国发票管理办法》第二十九条之规定，于2018年4月丢失“2016版增值税普通发票”50份，发票代码为：1100173320，发票号码为：46286550-46286599，向税务机关书面报告。,《中华人民共和国发票管理办法》第三十六条第二款,安享科智（北京）婴童用品有限公司,91110117327122405G,327122405,罚款2500,2020/4/24,2020/5/11,国家税务总局北京市平谷区税务局第一税务所（办税服务厅）,注销
京平税罚20205,发票违法,你单位违反《中华人民共和国发票管理办法》第二十九条之规定，于2018年4月丢失“北京增值税专用发票”10份，发票代码为：1100171130，发票号码为：10812182——10812191，向税务机关书面报告。,《中华人民共和国发票管理办法》第三十六条第二款,安享科智（北京）婴童用品有限公司,91110117327122405G,327122405,罚款4000,2020/4/27,2020/5/13,国家税务总局北京市平谷区税务局第一税务所（办税服务厅）,注销
京海一税罚202017,违反税收管理,未按照规定设置和保管2018年1月至2018年12月账簿、记账凭证和有关资料,《中华人民共和国税收征收管理法》第六十条第一款第（二）项,北京盛世佳悦文化发展有限公司,91110108680499035F,680499035,罚款2000,2020/4/23,2020/5/8,国家税务总局北京市海淀区税务局第一税务所（办税服务厅）,注销
京密一税罚20207,发票违法,丢失税控，编号：928902028051,《国务院 关于修改〈中华人民共和国发票管理办法〉的决定》（中华人民共和国国务院令〔2010〕第587号）第三十五条,北京市密云县燕雪凤苗木种植园,,,罚款500,2020/4/23,2020/5/8,国家税务总局北京市密云区税务局第一税务所（办税服务厅）,正常
京海税罚2020229,违反税收管理,该企业在2019年3月期间，存在冒用他人个人信息做个税明细申报行为，涉及人员10人，合计虚列成本48000元。,《中华人民共和国税收征收管理法》第六十四条第一款,北京饼干互娱文化传媒有限公司,91110108MA01CB6P6M,MA01CB6P6,罚款5000,2020/4/28,2020/5/15,国家税务总局北京市海淀区税务局,正常
京海税罚2020232,违反税收管理,"该企业在2017年12月,2018年1-2月期间，存在冒用他人个人信息做个税明细申报行为，涉及虚列成本72000元",《中华人民共和国税收征收管理法》第六十四条第一款,北京环尚博科技发展有限公司,91110108693248294F,693248294,罚款5000,2020/4/28,2020/5/13,国家税务总局北京市海淀区税务局,正常
京通四税罚202078,违反税收管理,未按照规定期限办理纳税申报和报送纳税资料， 城镇土地使用税 城市土地使用税等级6 2019-01-01至2019-06-30逾期未申报,《中华人民共和国税收征收管理法》第六十二条,北京市次渠称重站,,,罚款1000,2020/4/24,2020/5/9,国家税务总局北京市通州区税务局第四税务所,正常
京西一税罚20204,发票违法,该单位2020年3月丢失空白北京增值税普通发票22份，发票代码1100153320，发票号码68380624至68380645。,《中华人民共和国发票管理办法》第三十六条第二款,北京美泊韩博仕美容诊所,911101026787777888,678777788,罚款1100,2020/4/24,2020/5/9,国家税务总局北京市西城区税务局第一税务所（办税服务厅）,正常
京海税罚2020255,发票违法,"丢失未开具北京市商业企业专用发票共125份，发票代码为111000432322，发票号码为03258701-03258750，50份；发票代码为111000321324，发票号码为06796451-06796475，25份；发票代码为111000421011，发票号码为10914726-10914775，50份。",《中华人民共和国发票管理办法》第三十六条第二款,北京埃德尔博锋检测技术有限责任公司,,71772222X,罚款2500,2020/5/7,2020/5/29,国家税务总局北京市海淀区税务局,注销
京顺一税罚202014,发票违法,"发票违法，丢失北京增值税普通发票39份，发票代码为1100123620，发票号码为02649168、02649160；发票代码为1100133620，发票号码为06584201；发票代码为1100141620，发票号码为03012021、03012019；发票代码为1100143320，发票号码为04220060；发票代码为1100153320，发票号码为09142919、09142912、09142911、09142921、09142937；发票代码为1100151320，发票号码为05359398；发票代码为1100142620，发票号码为05714308；发票代码为1100144320，发票号码为05545063；发票代码为1100151320，发票号码为05359388；发票代码为1100144320，发票号码为05545081；发票代码为1100151320，发票号码为05359371；发票代码为1100153320，发票号码为44662905；发票代码为1100154320，发票号码为33410918、33410920；发票代码为1100153320，发票号码为44662907、09355451；发票代码为1100172320，发票号码为07746849；发票代码为1100164320，发票号码为35230255；发票代码为1100172320，发票号码为07746820；发票代码为1100162320，发票号码为86581656；发票代码为1100172320，发票号码为07746847、48888015；发票代码为1100162320，发票号码为86581604；发票代码为011001800104，发票号码为58099743；发票代码为1100174320，发票号码为76223048、76223031；发票代码为011001800104，发票号码为57883985、57883881、58099757；发票代码为1100173320，发票号码为38243406、53383013；发票代码为011001800104，发票号码为21159017、57883882。丢失北京增值税专用发票2份，发票代码为1100154130，丢失发票号码13738381；发票代码为1100171130，丢失发票号码03646775。",《中华人民共和国发票管理办法》第三十六条第二款,北京华大蛋白质研发中心有限公司,91110113749352462X,749352462,罚款1970,2020/4/30,2020/5/15,国家税务总局北京市顺义区税务局第一税务所（办税服务厅）,正常
京海一税罚202012,发票违法,丢失北京市商业企业专用发票75份，发票代码：111000421011，发票号码：10852701-10852725，01465776-01465800；发票代码：111000421323，发票号码：0125151-0125175,《中华人民共和国发票管理办法》第三十六条第二款,北京迪卡瑞科技有限公司,,759645533,罚款1500,2020/4/8,2020/4/23,国家税务总局北京市海淀区税务局第一税务所（办税服务厅）,注销
京海税罚2020194,违反税收管理,纳税人、扣缴义务人编造虚假计税依据金额，在2016年10月、11月；2017年2-6月、8月、10-12月；2018年2-6月、8-12月；2019年1-12月期间存在虚报个人所得税身份信息冒用行为，虚列成本1068980元。,《中华人民共和国税收征收管理法》第六十四条第一款,北京瑞曦科技有限公司,91110108MA005NRL0J,MA005NRL0,罚款31000,2020/4/16,2020/5/6,国家税务总局北京市海淀区税务局,正常
京朝一税罚20207,发票违法,"丢失北京增值税普通发票63份,发票代码：011001800204,发票号码：31836798-31836860",《中华人民共和国发票管理办法》第三十六条第二款,北京隆兴智达商贸有限公司,911101056963598621,696359862,罚款1260,2020/4/8,2020/4/23,国家税务总局北京市朝阳区税务局第一税务所（办税服务厅）,注销
京通四税罚202056,违反税收管理,"未按照规定期限办理纳税申报和报送纳税资料,2019-10-01至2019-12-31所属期间增值税未按期进行申报",《中华人民共和国税收征收管理法》第六十二条,北京天宇福华商店,,,罚款200,2020/4/9,2020/4/24,国家税务总局北京市通州区税务局第四税务所,正常
京通四税罚202057,违反税收管理,未按照规定期限办理纳税申报和报送纳税资料，增值税2019-10-01 2019-12-31逾期未申报,《中华人民共和国税收征收管理法》第六十二条,北京梨园丽茹复印部,,,罚款200,2020/4/9,2020/4/24,国家税务总局北京市通州区税务局第四税务所,正常
京通四税罚202058,违反税收管理,"未按照规定期限办理纳税申报和报送纳税资料,2019-10-01至2019-12-31所属期间增值税未按期进行申报",《中华人民共和国税收征收管理法》第六十二条,北京博大浩业电脑修理部,,,罚款200,2020/4/9,2020/4/24,国家税务总局北京市通州区税务局第四税务所,正常
京通四税罚202059,违反税收管理,未按照规定期限办理纳税申报和报送纳税资料，增值税2019-10-01至2019-12-31逾期未申报,《中华人民共和国税收征收管理法》第六十二条,北京云景有旺钟表维修部,,,罚款200,2020/4/9,2020/4/24,国家税务总局北京市通州区税务局第四税务所,正常
京门一税罚20202,发票违法,北京华成宏扬广告传媒有限公司（91110109MA01L7KH8Y）不慎丢失增值税普通发票100份，发票代码：011001900104，发票号码：06029916-06030015,《中华人民共和国发票管理办法》第三十六条第二款,北京华成宏扬广告传媒有限公司,91110109MA01L7KH8Y,MA01L7KH8,罚款2000,2020/4/9,2020/4/24,国家税务总局北京市门头沟区税务局第一税务所（办税服务厅）,正常
京海四税罚202011,发票违法,于2020年4月9日丢失2016版增值税普通发票（二联折叠票）空白票9张，发票代码：011001800104，发票号码：04506062-04506070；丢失2008版增值税普通发票（二联无金额限制版）空白票51张，发票代码：1100174320，发票号码：97635625-97635675。,《中华人民共和国发票管理办法》第三十六条第二款,北京崇学大有文化传播中心,91110108786198310G,786198310,罚款1200,2020/4/9,2020/4/24,国家税务总局北京市海淀区税务局,正常
京丰卢税罚20203,发票违法,"未按未定保管发票，将北京市工商企业资金往来专用发票丢失25张，发票代码111000329011，发票号码1126351-1126375。北京市商业企业专用发票票丢失25张，发票代码111000321325发票号码3959401- 3959425。北京市工商企业资金往来专用发票丢失25张，发票代码111000561011，发票号码00994476- 00994500。北京市商业企业专用发票丢失25张，发票代码111000421011发票号码43934676- 43934700共计100张。",《中华人民共和国发票管理办法》第三十六条第二款,北京中宇华地商贸有限公司,,758720765,罚款2000,2020/4/24,2020/5/9,国家税务总局北京市丰台区税务局卢沟桥税务所,注销
京海税罚2020234,违反税收管理,"该企业在2017年1月至2018年3月，存在冒用晏仁义个人信息做个税明细申报行为，每月给晏仁义申报收入3500元,,共计15个月,该公司累计虚增成本52500元",《中华人民共和国税收征收管理法》第六十四条第一款,北京欣荣科技有限公司,91110108097554244H,097554244,罚款5000,2020/4/29,2020/5/14,国家税务总局北京市海淀区税务局,注销
京海税罚2020265,违反税收管理,该企业在2018年12月至2019年8期间，存在冒用他人个人信息做个税明细申报行为，涉及虚列成本71630元（赵觅美23010319840427394X、孔繁华371302198012281218）,《中华人民共和国税收征收管理法》第六十四条第一款,北京晴川广告有限责任公司,911101055530820428,553082042,罚款10000,2020/5/9,2020/5/28,国家税务总局北京市海淀区税务局,正常
京海税罚2020238,违反税收管理,纳税人、扣缴义务人编造虚假计税依据，在2019年期间存在个人所得税身份信息冒用行为，虚列成本44400元。,《中华人民共和国税收征收管理法》第六十四条第一款,北京辰利体育培训有限公司,911101085960896827,596089682,罚款5000,2020/4/29,2020/5/15,国家税务总局北京市海淀区税务局第一税务所（办税服务厅）,正常
京海税罚2020230,违反税收管理,"纳税人、扣缴义务人编造虚假计税依据金额，违反《中华人民共和国税收征管法》第六十四条第一款，在2018年10月至12月期间存在虚报个人所得税身份信息冒用行为，虚列成本29600元。",《中华人民共和国税收征收管理法》第六十四条第一款,北京《风景园林》杂志社有限公司,9111010878778459XY,78778459X,罚款7000,2020/4/28,2020/5/25,国家税务总局北京市海淀区税务局,正常
京海税罚2020268,违反税收管理,"该企业存在冒用朱晓亮,张骞,刘书豪等三人信息做个税明细申报行为，6月给朱晓亮申报收入19592.41元,12月给朱晓亮申报收入14474.47元,2019年奖金26532.51元,2020年01月给朱晓亮申报收入20630.99元;12月给张骞申报收入8443.99元,2019年奖金12671.81元,2020年01月给张骞申报收入10263.32元;12月给刘书豪申报收入8013.03元,2019年奖金8218.24元,2020年01月给刘书豪申报收入14815.44元;涉及虚列成本143656.21元。",《中华人民共和国税收征收管理法》第六十四条第一款,北京晓数聚传媒科技有限公司,91110108MA003NLMXH,MA003NLMX,罚款10000,2020/5/9,2020/5/26,国家税务总局北京市海淀区税务局,正常
京朝税罚202041,发票违法,"声明丢失北京增值税普通发票130份,发票代码：57978375,发票号码：57978246-57978375。",《中华人民共和国发票管理办法》第三十六条第二款,北京金故事餐饮管理有限公司,911101053303475929,330347592,罚款2700,2020/4/28,2020/5/13,国家税务总局北京市朝阳区税务局第一税务所（办税服务厅）,正常
京海税罚2020235,违反税收管理,纳税人、扣缴义务人编造虚假计税依据，在2019年2月至2019年10月期间存在个人所得税身份信息冒用行为，虚列成本21600元。,《中华人民共和国税收征收管理法》第六十四条第一款,企赋科技（北京）有限公司,91110108MA01AJCN93,MA01AJCN9,罚款5500,2020/4/29,2020/5/15,国家税务总局北京市海淀区税务局第一税务所（办税服务厅）,正常
京朝税罚202042,违反税收管理,编造虚假计税依据，虚假申报个人所得税,《中华人民共和国税收征收管理法》第六十四条第一款,北京丝韵春风文化传播有限公司,91110105MA01ARGAXJ,MA01ARGAX,罚款5000,2020/4/28,2020/5/13,国家税务总局北京市朝阳区税务局第一税务所（办税服务厅）,正常
京海税罚2020242,违反税收管理,该企业在2017年11月至2018年3月期间，存在冒用他人个人信息做个税明细申报行为（孙华、张春），涉及虚列成本36000元,《中华人民共和国税收征收管理法》第六十四条第一款,中游智慧（北京）数据科技有限公司,91110108330347760N,330347760,罚款5000,2020/4/29,2020/5/25,国家税务总局北京市海淀区税务局,正常
京海税罚2020239,违反税收管理,经核实该企业在2019年8、9、10月期间，存在冒用他人个人信息做个税明细申报行为，涉及虚列成本11500元，根据《中华人民共和国税收征收管理法》第六十四条第一款的规定，纳税人、扣缴义务人编造虚假计税依据的。由税务机关责令限期改正，并对该企业处以5000元的罚款。,《中华人民共和国税收征收管理法》第六十四条第一款,北京顺祥嘉华建筑工程有限公司,9111010805362022XA,05362022X,罚款5000,2020/4/29,2020/5/21,国家税务总局北京市海淀区税务局,正常
京海税罚2020240,违反税收管理,该企业在2019年2月至11月期间，存在冒用他人个人信息做个税明细申报行为，涉及虚列成本48000元。,《中华人民共和国税收征收管理法》第六十四条第一款,北京一拍智合文化传媒有限公司,91110108MA00C95A0Y,MA00C95A0,罚款7000,2020/4/29,2020/5/14,国家税务总局北京市海淀区税务局,正常
京海税罚2020266,违反税收管理,纳税人、扣缴义务人编造虚假计税依据，在2019年1-8月期间存在个人所得税身份信息冒用行为，虚列成本132484.66元。,《中华人民共和国税收征收管理法》第六十四条第一款,索意互动（北京）信息技术有限公司,91110108789996166M,789996166,罚款10000,2020/5/9,2020/6/1,国家税务总局北京市海淀区税务局第一税务所（办税服务厅）,正常
京海税罚2020193,违反税收管理,企业在2017年1月1日至2018年12月31日，冒用武学媛身份信息，虚列管理费用84000元整,《中华人民共和国税收征收管理法》第六十四条第一款,北京九六鑫元科技有限公司,91110108562084955B,562084955,罚款5000,2020/4/15,2020/5/6,国家税务总局北京市海淀区税务局,正常
京东一税罚20203,发票违法,丢失增值税专用发票3张，发票代码：1100181130，发票号码： 09959968-09959970,《中华人民共和国发票管理办法》第三十六条第二款,北京奥士凯安龙商贸公司,91110101101309293A,101309293,罚款1200,2020/4/9,2020/4/24,国家税务总局北京市东城区税务局第一税务所（办税服务厅）,正常
京海八税罚202044,发票违法,丢失发票,《中华人民共和国发票管理办法》第三十六条第二款，丢失发票或者擅自损毁发票的，由税务机关责令改正，可以处1万元以下的罚款；情节严重的，处1万元以上3万元以下的罚款；有违法所得的予以没收,北京美阁靓度服装店,92110108MA01JC952A,MA01JC952,罚款1000,2020/4/9,2020/4/24,国家税务总局北京市海淀区税务局第八税务所,注销
京丰卢税罚20202,发票违法,"未按规定保管发票，将通用机打卷式发票空白发票丢失,发票代码111001273051，发票号码00264901-00265000, 共计100张。",《中华人民共和国发票管理办法》第三十六条第二款,北京龙建众运贸易有限公司,911101066851139390,685113939,罚款2000,2020/4/9,2020/4/24,国家税务总局北京市丰台区税务局卢沟桥税务所,正常
京通四税罚202060,违反税收管理,未按照规定期限办理纳税申报和报送纳税资料，增值税2019-10-01至2019-12-31逾期未申报,《中华人民共和国税收征收管理法》第六十二条,北京市通州区宋庄春凤小卖部,92110112MA00CLUT8A,,罚款200,2020/4/9,2020/4/24,国家税务总局北京市通州区税务局第四税务所,正常
京东税罚20207,发票违法,丢失通用机打卷式发票77张，发票代码：111001173051，发票号码： 19540824-19540900。,《中华人民共和国发票管理办法》第三十六条第二款,善慧文化发展（北京）有限公司,,055597449,罚款3850,2020/4/23,2020/5/8,国家税务总局北京市东城区税务局,注销
京顺一税罚20209,发票违法,丢失北京增值说普通发票50份，发票代码为111001175021；丢失发票号码为11246751——11246800。,《中华人民共和国发票管理办法》第三十六条第二款,北京市顺义长旺饲料加工厂,,,罚款1500,2020/4/9,2020/4/24,国家税务总局北京市顺义区税务局第一税务所（办税服务厅）,注销
京海税罚2020292,违反税收管理,该企业在2018年11月-2019年4月期间，存在为员工虚假申报做个税行为，涉及虚列成本306381.96元,《中华人民共和国税收征收管理法》第六十四条第一款,科盾科技股份有限公司北京分公司,91110108330358590D,330358590,罚款10000,2020/5/12,2020/5/28,国家税务总局北京市海淀区税务局,正常
京密税罚20204,发票违法,纳税人北京联中联科技有限公司（911101157226756598）丢失增值税专用发票13张，发票代码1100193130， 发票号码：06819503-06819515，共计13张。,《中华人民共和国发票管理办法》第三十六条第二款,北京联中联科技有限公司,911101157226756598,722675659,罚款5200,2020/4/29,2020/5/14,国家税务总局北京市密云区税务局第一税务所（办税服务厅）,正常
京海税罚2020274,违反税收管理,该企业在2018年1-12月属期，存在冒用他人个人信息做个税明细申报行为，涉及虚列成本89600元,《中华人民共和国税收征收管理法》第六十四条第一款,北京汇海槠桓国际医疗器械有限公司,91110108348415012G,348415012,罚款5000,2020/5/11,2020/5/27,国家税务总局北京市海淀区税务局,正常
京通四税罚202079,违反税收管理,未按照规定期限办理纳税申报和报送纳税资料，2019-04-01至2019-06-30所属期间增值税未按期进行申报,《中华人民共和国税收征收管理法》第六十二条,北京台湖桂芝小卖部,,650224462,罚款1000,2020/4/29,2020/5/14,国家税务总局北京市通州区税务局第四税务所,正常
京海税罚2020259,违反税收管理,纳税人、扣缴义务人编造虚假计税依据金额，在2017年7月-2017年12月，2018年4月-2018年12月期间存在虚报个人所得税身份信息冒用行为，虚列成本12000元。,《中华人民共和国税收征收管理法》第六十四条第一款,致元宬文献修复技术（北京）有限公司,91110108MA00283P3M,MA00283P3,罚款5000,2020/5/7,2020/5/26,国家税务总局北京市海淀区税务局,正常
京丰东税罚20202,违反税收管理,编造虚假计税依据，根据丰0303200100402（自然人身份冒用异议申诉2020年第2批）刘方圆等45人申诉该企业冒用身份信息申报个人所得税。 该企业2019年1月至2019年2月个人所得税明细申报按劳务报酬申报刘方圆等45人个人所得税，申诉人未与该企业签订用工合同，未发生实际用工行为，属于冒用个人所得税身份信息申报个人所得税，编造虚假计税依据。,"《中华人民共和国税收征收管理法》第六十四条第一款,《中华人民共和国税收征收管理法》（中华人民共和国主席令〔2001〕第49号）第六十四条",北京悦宁建筑工程有限公司,91110106306719202X,306719202,罚款2000,2020/4/29,2020/5/14,国家税务总局北京市丰台区税务局东铁匠营税务所,正常
京海税罚2020276,违反税收管理,纳税人、扣缴义务人编造虚假计税依据，在2016年2月至2017年2月期间存在个人所得税身份信息冒用行为，虚列成本28757元。,《中华人民共和国税收征收管理法》第六十四条第一款,北京文腾翻译有限公司,91110108685108267E,685108267,罚款6000,2020/5/12,2020/6/1,国家税务总局北京市海淀区税务局第一税务所（办税服务厅）,正常
京海税罚2020258,违反税收管理,该企业在2018年1月-2018年3月期间，存在冒用他人个人信息做个税明细申报行为，涉及虚列成本10500元,《中华人民共和国税收征收管理法》第六十四条第一款,凯济隆（北京）科技有限公司,91110108MA018FH6XP,MA018FH6X,罚款5000,2020/5/7,2020/5/25,国家税务总局北京市海淀区税务局,注销
京平四税罚20204,发票违法,丢失通用定额发票，发票代码：111001641001，号码：06563651-06563700；发票代码：111001440501，号码：12138651-12138700；发票代码：111001440101，号码：01178601-01178650；发票代码：111001440051，号码：03652101-03652150；发票代码：111001440011，号码：00881601-00881650,《中华人民共和国发票管理办法》第三十六条,北京霏霏信息咨询部,,,罚款1000,2020/4/26,2020/5/11,国家税务总局北京市平谷区税务局第四税务所,注销
京海税罚2020192,违反税收管理,纳税人、扣缴义务人编造虚假计税依据，违反《中华人民共和国税收征管法》第六十四条第一款，在2015年1月至2018年12月期间存在虚报个人所得税身份信息冒用行为，共计虚列成本154934元。,《中华人民共和国税收征收管理法》第六十四条第一款,北京艾诺亚电力科技有限公司,91110108584437790E,584437790,罚款15000,2020/4/15,2020/5/6,国家税务总局北京市海淀区税务局,正常
京通四税罚202046,违反税收管理,未按照规定期限办理纳税申报和报送纳税资料，2019-10-01至2019-12-31所属期间增值税未按期进行申报,《中华人民共和国税收征收管理法》第六十二条,北京饰画空间商贸中心,92110112MA01LN961Q,,罚款200,2020/4/1,2020/4/16,国家税务总局北京市通州区税务局第四税务所,正常
京海税罚2020172,违反税收管理,"纳税人、扣缴义务人编造虚假计税依据金额，在2017年12月-2018年5月期间存在虚报个人所得税身份信息冒用行为，虚列成本38500元。",《中华人民共和国税收征收管理法》第六十四条第一款,北京释天环境科技有限公司,91110105355297798E,355297798,罚款6000,2020/4/8,2020/5/6,国家税务总局北京市海淀区税务局,正常
京海税罚2020191,违反税收管理,不进行纳税申报，不缴印花税应纳税款（经核查，你单位应报未报2019年所属期印花税申报表， 应缴未缴印花税税款723681.50元，应补缴印花税税款723681.50元）,《中华人民共和国税收征收管理法》第六十四条第二款,北京锐安科技有限公司,91110108746736751Q,746736751,罚款723681.5,2020/4/15,2020/5/6,国家税务总局北京市海淀区税务局第一税务所（办税服务厅）,正常
京海税罚2020196,发票违法,该企业2017年11月丢失原地税发票：购票三本150份，用票量109份，丢失发票41份.,《中华人民共和国发票管理办法》第三十六条第二款,北京和源商通信息技术有限公司,91110108554878827W,554878827,罚款2050,2020/4/21,2020/5/7,国家税务总局北京市海淀区税务局,注销
