序号,法人代码,法人单位名称,所属园区,所属技术领域
100,MA00C3HE-3,北京兴艺凯晨文化传媒有限公司,大兴园,与上述十大领域配套的相关技术产品，以及适合首都经济发展特点的其他高新技术及其产品
101,74811629-X,若普自动化技术（北京）有限公司,大兴园,电子与信息
102,34838066-5,瑞莱思（北京）医疗器械有限公司,大兴园,生物工程和新医药
103,70035460-0,北京星光凯明智能科技有限公司,大兴园,先进制造技术
104,79213020-8,北京合源汇丰医药科技有限公司,大兴园,生物工程和新医药
105,MA01DJ75-6,北京国润九和健康科技有限公司,大兴园,生物工程和新医药
106,76552313-7,北京百姓裕德科技发展有限公司,大兴园,环境保护技术
107,77196458-8,北京龙邦科技发展有限公司,大兴园,电子与信息
108,55140054-5,北京卓越永泰国际贸易有限公司,大兴园,电子与信息
109,MA0048DE-8,北京店帮科技有限公司,大兴园,与上述十大领域配套的相关技术产品，以及适合首都经济发展特点的其他高新技术及其产品
110,73822520-6,北京瑞禾彩色印刷有限公司,大兴园,电子与信息
111,MA0194JA-0,北京天工矩阵信息技术有限公司,大兴园,电子与信息
112,74939036-2,北京大津硅藻新材料股份有限公司,大兴园,新材料及应用技术
113,75602054-6,北京兴泰思达电子技术有限公司,大兴园,电子与信息
114,09977500-8,荣昌耀华网络技术（北京）有限公司,大兴园,电子与信息
115,63362925-5,北京华盛康科技发展有限公司,大兴园,与上述十大领域配套的相关技术产品，以及适合首都经济发展特点的其他高新技术及其产品
116,72149242-0,北京创安利市政建设（集团）有限责任公司,大兴园,新能源与高效节能技术
117,78480710-0,北京味多美食品科技有限责任公司,大兴园,先进制造技术
118,10288896-0,统一石油化工有限公司,大兴园,新能源与高效节能技术
119,MA001GAC-8,北京华钽生物科技开发有限公司,大兴园,新材料及应用技术
120,78615962-9,北京德润俊科技有限公司,大兴园,新材料及应用技术
121,30650370-0,北京畅游环宇环保科技研究有限公司,大兴园,环境保护技术
122,MA00B84X-4,北京宏帆态金节能科技有限公司,大兴园,新能源与高效节能技术
123,30631743-0,科睿驰（北京）医疗科技发展有限公司,大兴园,先进制造技术
124,33549892-0,科赫生物科技（北京）有限公司,大兴园,生物工程和新医药
125,MA0057Y5-0,北京爱宠族科技有限公司,大兴园,生物工程和新医药
126,34841163-6,运怡（北京）医疗器械有限公司,大兴园,先进制造技术
127,79514723-2,北京天衡军威医药技术开发有限公司,大兴园,生物工程和新医药
128,69638030-3,北京迈伦斯科技有限公司,大兴园,电子与信息
129,56213161-9,北京万通宇节能科技有限公司,大兴园,新能源与高效节能技术
130,66370161-7,北京向阳天科技有限公司,大兴园,电子与信息
131,06130543-0,北京联动泰克汽车技术有限公司,大兴园,电子与信息
132,30660916-9,职路科技（北京）有限公司,大兴园,电子与信息
133,MA004LH1-2,北京伊娃机器人科技有限公司,大兴园,先进制造技术
134,66691094-0,北京多元水务企业管理有限公司,大兴园,环境保护技术
135,07169199-6,北京天一恒康医疗器械有限公司,大兴园,生物工程和新医药
136,MA002DYU-5,奇竹（北京）科技发展有限公司,大兴园,新材料及应用技术
137,33029284-3,北京安盾兰达科技有限公司,大兴园,电子与信息
138,07660179-3,北京鼎元融通科技有限公司,大兴园,电子与信息
139,59964079-1,北京光辉天成医疗科技有限公司,大兴园,生物工程和新医药
140,06129352-1,优比交互（北京）科技有限公司,大兴园,电子与信息
141,09188925-4,北京雅果科技有限公司,大兴园,生物工程和新医药
142,MA0184UB-3,北京素玄科技有限公司,大兴园,电子与信息
143,76676010-X,北京朗禾众鑫真空科技有限公司,大兴园,先进制造技术
144,35530419-3,华科精准（北京）医疗科技有限公司,大兴园,先进制造技术
145,75960631-5,北京立科新兴数字化技术有限公司,大兴园,电子与信息
146,MA00655M-5,北京启慧生物医药有限公司,大兴园,先进制造技术
147,55850728-1,北京讯客信息技术有限公司,大兴园,电子与信息
148,66374580-4,北京华鑫志和科技有限公司,大兴园,电子与信息
149,55485590-8,北京五和博澳药业有限公司,大兴园,生物工程和新医药
150,79851234-6,中光高科（北京）节能工程管理股份有限公司,大兴园,新能源与高效节能技术
151,58446323-5,北京华卫迪特健康科技有限公司,大兴园,电子与信息
152,69503670-3,北京润道油液监测技术有限公司,大兴园,环境保护技术
153,MA002MN5-5,北京易铺平机房设备有限公司,大兴园,新材料及应用技术
154,MA0191Y1-4,北京天玑科技有限公司,大兴园,与上述十大领域配套的相关技术产品，以及适合首都经济发展特点的其他高新技术及其产品
155,MA0013MM-0,北京盛之雅林科技有限公司,大兴园,电子与信息
156,35793224-9,北京理工华汇智能科技有限公司,大兴园,先进制造技术
157,MA007438-0,北京领为智康科技发展有限公司,大兴园,电子与信息
158,69327335-0,北京优尼康通医疗科技有限公司,大兴园,先进制造技术
159,77336605-5,北京一川创业数控设备有限责任公司,大兴园,先进制造技术
160,57317766-3,北京健坤禾润科技有限公司,大兴园,生物工程和新医药
161,57687191-7,北京锆年领航科技有限公司,大兴园,新材料及应用技术
162,32217528-4,卓然天工自动化仪表（北京）有限公司,大兴园,先进制造技术
163,05558279-X,华润生命科学产业发展有限公司,大兴园,电子与信息
164,35832773-7,捍能国际文化（北京）有限公司,大兴园,与上述十大领域配套的相关技术产品，以及适合首都经济发展特点的其他高新技术及其产品
165,07663399-8,北京爱信德科技有限公司,大兴园,电子与信息
166,68436712-8,北京易美森特软件开发有限公司,大兴园,电子与信息
167,59382285-0,北京市光影无限科技有限公司,大兴园,电子与信息
168,75962157-4,北京特一生物化工有限公司,大兴园,生物工程和新医药
169,59605783-2,北京博辉瑞进生物科技有限公司,大兴园,生物工程和新医药
170,33035105-7,北京中科智捷科技有限公司,大兴园,电子与信息
171,69634992-0,北京途牛天下信息技术有限公司,大兴园,电子与信息
172,39910278-8,北京四季通能源科技有限公司,大兴园,新能源与高效节能技术
173,06486471-3,北京德昌祥科技有限公司,大兴园,先进制造技术
174,MA003WL9-8,北京则鸣新能源技术有限公司,大兴园,新能源与高效节能技术
175,67822201-0,北京太阳雨物业管理有限责任公司,大兴园,新能源与高效节能技术
176,68762956-8,北京蓉坤农业科技有限公司,大兴园,生物工程和新医药
177,10291258-8,北京市希玛保龄设备有限责任公司,大兴园,电子与信息
178,MA001PP1-8,北京立迈胜控制技术有限责任公司,大兴园,先进制造技术
179,67383617-9,北京秦海节能门窗有限公司,大兴园,环境保护技术
180,66691757-9,北京依生兴业科技有限责任公司,大兴园,生物工程和新医药
181,55683937-0,法荟（北京）医疗科技有限公司,大兴园,生物工程和新医药
182,09644645-2,北京亿实筑业技术开发有限公司,大兴园,新材料及应用技术
183,78616911-4,北京爱特康科贸有限责任公司,大兴园,先进制造技术
184,67384619-0,北京金日恒升科技有限公司,大兴园,电子与信息
185,33033036-0,北京中兴嘉乘仪器有限公司,大兴园,先进制造技术
186,10287200-2,北京航科机械设备厂,大兴园,先进制造技术
187,68437114-3,北京华电嘉实电力设备有限公司,大兴园,先进制造技术
188,MA001QYK-3,北京天芯微鸿科技有限公司,大兴园,电子与信息
189,74671155-4,北京京华派克聚合机械设备有限公司,大兴园,先进制造技术
190,09244886-4,北京易安睿龙科技有限公司,大兴园,电子与信息
191,67962279-6,北京环宇移通科技有限公司,大兴园,电子与信息
192,10117921-4,北京海岸鸿蒙标准物质技术有限责任公司,大兴园,新材料及应用技术
193,79997659-9,北京高鑫伟业滤清器有限责任公司,大兴园,新材料及应用技术
194,31793186-6,北京茗泽中和药物研究有限公司,大兴园,生物工程和新医药
195,10287624-9,北京航华星金属结构厂,大兴园,先进制造技术
196,56947755-9,北京华卫天和生物科技有限公司,大兴园,生物工程和新医药
197,69328744-5,北京运通恒昌驱动技术有限公司,大兴园,电子与信息
198,76141392-6,北京欧陆宝石化产品有限公司,大兴园,新能源与高效节能技术
199,67427068-0,北京市大禹王防水工程集团有限公司,大兴园,新材料及应用技术
200,80286647-1,北京航天东方科技发展有限公司,大兴园,先进制造技术
201,80204985-0,北京中交工程仪器研究所,大兴园,先进制造技术
202,10291316-9,北京泛博科技有限责任公司,大兴园,新材料及应用技术
203,73509511-9,北京南航立科机械有限公司,大兴园,电子与信息
204,75672882-7,北京中汽寰宇机动车检验中心有限公司,大兴园,先进制造技术
205,80242476-1,北京申江风冷发动机有限责任公司,大兴园,先进制造技术
206,06963826-4,北京东方海华科技有限公司,大兴园,新材料及应用技术
207,75418420-5,北京高能科迪科技有限公司,大兴园,新材料及应用技术
208,MA0078AA-2,北京普诺旺康医药科技有限公司,大兴园,生物工程和新医药
209,75774279-4,北京中科远行文化传播有限公司,大兴园,电子与信息
210,78321073-2,孟氏锅炉（北京）有限公司,大兴园,环境保护技术
211,MA0044CP-0,北京科荟测试技术有限公司,大兴园,与上述十大领域配套的相关技术产品，以及适合首都经济发展特点的其他高新技术及其产品
212,67961210-9,北京三奇本草科技有限公司,大兴园,生物工程和新医药
213,57901037-0,北京精勤谐创科技发展有限公司,大兴园,电子与信息
214,30666438-7,北京智源新能电气科技有限公司,大兴园,新能源与高效节能技术
215,67382123-3,北京江河神州水电工程有限公司,大兴园,先进制造技术
216,66843923-2,北京格源天润生物技术有限公司,大兴园,生物工程和新医药
217,10284457-0,北京兴青红精细化学品科技有限公司,大兴园,新材料及应用技术
218,69502939-4,北京博金蜜蜂装饰有限公司,大兴园,电子与信息
219,69231401-8,北京创意银河电子科技有限公司,大兴园,电子与信息
220,31837527-5,优易修网络服务（北京）有限公司,大兴园,电子与信息
221,74234088-0,北京希格诺科技有限公司,大兴园,先进制造技术
222,30670113-3,康美（北京）药物研究院有限公司,大兴园,生物工程和新医药
223,06957366-7,北京天弘天达医药科技有限公司,大兴园,生物工程和新医药
224,73821102-3,北京鸿鹄高翔科技开发有限公司,大兴园,先进制造技术
225,80286991-2,北京弘扬紫东环保科技有限公司,大兴园,新能源与高效节能技术
226,76215826-9,北京赛孚制药股份有限公司,大兴园,生物工程和新医药
227,78099607-1,北京新兴四寰生物技术有限公司,大兴园,生物工程和新医药
228,76215050-7,北京运城印刷机械制造有限公司,大兴园,与上述十大领域配套的相关技术产品，以及适合首都经济发展特点的其他高新技术及其产品
229,68196085-8,北京三义锦程电气科技有限责任公司,大兴园,新能源与高效节能技术
230,76628126-4,北京君立康科技发展有限责任公司,大兴园,生物工程和新医药
231,80287916-8,北京金日新事业技术有限公司,大兴园,先进制造技术
232,66752069-6,北京和利美生物科技有限公司,大兴园,生物工程和新医药
233,32722410-2,北京堡瑞思减震科技有限公司,大兴园,先进制造技术
234,69958219-7,北京中检安泰诊断科技有限公司,大兴园,生物工程和新医药
235,69959979-X,中业天成（北京）电力工程有限公司,大兴园,先进制造技术
236,66627935-1,北京大成生物工程有限公司,大兴园,先进制造技术
237,77635972-3,北京航天合众科技发展有限公司,大兴园,新材料及应用技术
238,74610992-6,北京天坛海乔客车有限责任公司,大兴园,先进制造技术
239,79514636-0,中建材（北京）环保工程发展有限公司,大兴园,环境保护技术
240,72149362-6,北京雨昕阳光太阳能工业有限公司,大兴园,新能源与高效节能技术
241,76013341-2,北京威成亚实验室设备有限公司,大兴园,电子与信息
242,30679363-X,北京亚冷国际供应链管理有限公司,大兴园,电子与信息
243,56576031-4,北京诚益通科技有限公司,大兴园,先进制造技术
244,79901422-6,北京华海中谊节能科技股份有限公司,大兴园,先进制造技术
245,80287945-9,北京世纪蓝箭防水材料有限公司,大兴园,新材料及应用技术
246,30654105-3,北京快行线冷链物流有限公司,大兴园,电子与信息
247,77337641-3,华克医疗科技（北京）股份公司,大兴园,生物工程和新医药
248,10117773-7,北京北仪创新真空技术有限责任公司,大兴园,先进制造技术
249,79211131-4,北京中财万鑫科技有限公司,大兴园,新材料及应用技术
250,MA0054ME-X,煤科院节能技术有限公司,大兴园,新能源与高效节能技术
251,10219356-0,北京威克多制衣中心,大兴园,新材料及应用技术
252,80286670-3,北京京冶轴承股份有限公司,大兴园,先进制造技术
253,MA001DRW-1,中建集成房屋有限公司,大兴园,先进制造技术
254,63377590-6,北京金星鸭业有限公司,大兴园,生物工程和新医药
255,69636430-3,北京新能源汽车股份有限公司,大兴园,新能源与高效节能技术
256,69773627-9,北京百奥赛图基因生物技术有限公司,大兴园,生物工程和新医药
257,10286331-7,北京协和制药二厂,大兴园,生物工程和新医药
258,74472050-2,北京科莱博医药开发有限责任公司,大兴园,生物工程和新医药
259,80286536-4,北京朗博科科技发展有限公司,大兴园,先进制造技术
260,78395811-8,北京雅联百得科贸有限公司,大兴园,生物工程和新医药
261,79850442-6,北京志诚宏业智能控制技术有限公司,大兴园,新能源与高效节能技术
262,09665900-1,北京汇商融通信息技术有限公司,大兴园,电子与信息
263,80285166-7,北京洪树冶金机械厂,大兴园,与上述十大领域配套的相关技术产品，以及适合首都经济发展特点的其他高新技术及其产品
264,80222827-7,北京画中画印刷有限公司,大兴园,电子与信息
265,56746110-7,北京四海华辰科技有限公司,大兴园,电子与信息
266,75525582-9,北京奇耐特长城座椅有限公司,大兴园,与上述十大领域配套的相关技术产品，以及适合首都经济发展特点的其他高新技术及其产品
267,33972750-8,科至达（北京）信息技术有限公司,大兴园,电子与信息
268,72149074-0,北京拓凯化工技术有限公司,大兴园,环境保护技术
269,74545429-3,北京上佳蓝基制冷设备有限公司,大兴园,新能源与高效节能技术
270,06132925-6,北京奇步自动化控制设备有限公司,大兴园,电子与信息
271,75823747-4,北京平和创业科技发展有限公司,大兴园,电子与信息
272,60000161-3,北京星伟体育用品有限公司,大兴园,先进制造技术
273,10284742-1,北京兴达波纹管有限公司,大兴园,电子与信息
274,10162520-2,北京华翔电炉技术有限责任公司,大兴园,先进制造技术
275,67664356-7,北京喜禽药业有限公司,大兴园,生物工程和新医药
276,33024014-6,心睿珂学（北京）供应链管理发展有限公司,大兴园,生物工程和新医药
277,80289118-3,北京科兴大地饲料有限公司,大兴园,现代农业技术动植物优良新品种
278,72149372-2,北京华融塑胶有限公司,大兴园,新材料及应用技术
279,78396149-9,北京北高阀门有限公司,大兴园,与上述十大领域配套的相关技术产品，以及适合首都经济发展特点的其他高新技术及其产品
280,69957781-4,和桥商业设计（北京）有限公司,大兴园,与上述十大领域配套的相关技术产品，以及适合首都经济发展特点的其他高新技术及其产品
281,75602687-6,北京新创椿树整流器件有限公司,大兴园,电子与信息
282,79903549-X,北京科诺锅炉有限公司,大兴园,先进制造技术
283,63377166-5,北京新安特风机有限公司,大兴园,先进制造技术
284,80286707-9,北京好利阀业有限公司,大兴园,先进制造技术
285,66990055-3,唯美度科技（北京）有限公司,大兴园,生物工程和新医药
286,57908265-7,北京华夏兴洋生物科技有限公司,大兴园,生物工程和新医药
287,72260035-8,北京日昌电气有限公司,大兴园,先进制造技术
288,74230899-5,北京瑞拓江南自控设备有限公司,大兴园,先进制造技术
289,MA0096HM-0,北矿检测技术有限公司,大兴园,与上述十大领域配套的相关技术产品，以及适合首都经济发展特点的其他高新技术及其产品
290,73556929-X,北京慨尔康科技发展有限公司,大兴园,先进制造技术
291,55484512-8,北京联众泰克科技有限公司,大兴园,先进制造技术
292,69770864-9,华鼎鸿基采油技术服务（北京）有限公司,大兴园,新能源与高效节能技术
293,10166739-X,北京化学试剂研究所有限责任公司,大兴园,新材料及应用技术
294,73938917-3,北京奥宇科技企业孵化器有限责任公司,大兴园,与上述十大领域配套的相关技术产品，以及适合首都经济发展特点的其他高新技术及其产品
295,79670338-4,北京贝克特太平洋机械电子有限公司,大兴园,先进制造技术
296,76350299-X,北京海利华科教学设备有限公司,大兴园,电子与信息
297,10289693-6,北京敬业达新型建筑材料有限公司,大兴园,新材料及应用技术
298,78484845-5,北京翠祥电器元件有限公司,大兴园,先进制造技术
299,57515163-5,北京华都诗华生物制品有限公司,大兴园,生物工程和新医药
300,63378258-3,北京市群英印刷有限公司,大兴园,先进制造技术
301,60004334-6,北阀集团北京阀门有限公司,大兴园,先进制造技术
302,74751295-2,北京康伟兴业医疗科技有限公司,大兴园,与上述十大领域配套的相关技术产品，以及适合首都经济发展特点的其他高新技术及其产品
303,73345149-0,北京海德利森科技有限公司,大兴园,电子与信息
304,79213728-2,北京万洁天元医疗器械股份有限公司,大兴园,生物工程和新医药
305,71093003-4,华颐药业有限公司,大兴园,生物工程和新医药
306,10288694-9,北京市城南橡塑技术研究所,大兴园,新能源与高效节能技术
307,10183282-6,北京益而康生物工程开发中心,大兴园,生物工程和新医药
308,72261392-5,北京自然绿环境科技发展有限公司,大兴园,先进制造技术
309,70024073-4,北京宝旺印务有限公司,大兴园,新材料及应用技术
310,80289492-3,北京巅峰智业旅游文化创意股份有限公司,大兴园,与上述十大领域配套的相关技术产品，以及适合首都经济发展特点的其他高新技术及其产品
311,76629825-0,北京轩昂环保科技股份有限公司,大兴园,环境保护技术
312,79214193-5,北京铁五院工程机械有限公司,大兴园,先进制造技术
313,78482890-5,北京市交泰电缆有限公司,大兴园,新材料及应用技术
314,30646764-X,北京人福医疗器械有限公司,大兴园,与上述十大领域配套的相关技术产品，以及适合首都经济发展特点的其他高新技术及其产品
315,55684180-9,北京海纳川航盛汽车电子有限公司,大兴园,先进制造技术
316,80286653-5,北京宝都钢结构工程有限公司,大兴园,新材料及应用技术
317,80287301-4,北京永创通达机械设备有限公司,大兴园,先进制造技术
318,66158551-X,北京威派格科技发展有限公司,大兴园,新能源与高效节能技术
319,57690420-5,天普新能源科技有限公司,大兴园,新能源与高效节能技术
320,78320224-9,中粮丰通（北京）食品有限公司,大兴园,先进制造技术
321,74041208-6,北京市永生运佳包装材料有限公司,大兴园,新材料及应用技术
322,05739790-X,中关村医疗器械园有限公司,大兴园,与上述十大领域配套的相关技术产品，以及适合首都经济发展特点的其他高新技术及其产品
323,78778532-2,北京中科日升科技有限公司,大兴园,新材料及应用技术
324,67380631-6,北京迪安临床检验所有限公司,大兴园,生物工程和新医药
325,10182035-8,北京康必得药业有限公司,大兴园,生物工程和新医药
326,77709058-6,北京热景生物技术有限公司,大兴园,生物工程和新医药
327,60004015-3,北京贝尔生物工程股份有限公司,大兴园,生物工程和新医药
328,75770075-4,北京同仁堂制药有限公司,大兴园,生物工程和新医药
329,69637027-9,北京新龙立科技有限公司,大兴园,先进制造技术
330,80286887-2,北京天云动力科技有限公司,大兴园,新能源与高效节能技术
331,58766563-3,华创融盛展示（北京）有限公司,大兴园,新材料及应用技术
332,75872323-7,北鹏建材集团股份有限公司,大兴园,新材料及应用技术
333,70000093-3,北京博得交通设备有限公司,大兴园,先进制造技术
334,MA00FJRM-2,北人智能装备科技有限公司,大兴园,先进制造技术
335,10285973-X,北京人民电器厂有限公司,大兴园,电子与信息
336,10284034-2,阿姆斯壮机械（中国）有限公司,大兴园,新能源与高效节能技术
337,10285194-9,北京三元基因工程有限公司,大兴园,生物工程和新医药
338,71092914-8,中化岩土工程股份有限公司,大兴园,先进制造技术
339,75771487-3,北京秋实农业股份有限公司,大兴园,生物工程和新医药
340,66990378-9,北京亚太汽车底盘系统有限公司,大兴园,先进制造技术
341,10291620-4,北京天罡助剂有限责任公司,大兴园,新材料及应用技术
342,70035604-0,北京西飞世纪门窗幕墙工程有限责任公司,大兴园,新能源与高效节能技术
343,10190987-0,国药集团北京华邈药业有限公司,大兴园,生物工程和新医药
344,76215038-X,北京悦康源通医药有限公司,大兴园,生物工程和新医药
345,56951367-9,北京维冠机电股份有限公司,大兴园,先进制造技术
346,66625089-0,北京京诚凤凰工业炉工程技术有限公司,大兴园,环境保护技术
347,10288222-7,美巢集团股份公司,大兴园,先进制造技术
348,78554040-1,北京好药师大药房连锁有限公司,大兴园,电子与信息
349,72261495-2,北京星光影视设备科技股份有限公司,大兴园,电子与信息
350,56952127-3,富思特新材料科技发展股份有限公司,大兴园,新材料及应用技术
351,80287645-0,北京东方泰洋装饰工程有限公司,大兴园,新能源与高效节能技术
352,70023621-7,北京联馨药业有限公司,大兴园,生物工程和新医药
353,67170250-5,北京海纳川汽车部件股份有限公司,大兴园,新材料及应用技术
354,09186462-0,北京延锋北汽汽车内饰件有限公司,大兴园,先进制造技术
