平谷城管执法局检查单公示（2021年第一季度）,,,,,,,,,,,,,,
区,检查单类型,检查时间,检查单号,检查对象类型,检查对象名称,责任主体单位性质,责任主体类别,责任主体名称,统一社会信用代码,检查对象地址,检查分类,检查结论,检查人,被检查人
平谷区,24.疫情防控常态化检查单,2021-03-17 15:15,京平城管024检2021730068,其他;其他,北京金旺顺发农资经销部,本单位,个体工商户,北京金旺顺发农资经销部,92110117MA00W51X1U,北京市平谷区大华山镇后北宫村后北宫路260号,日常检查,合格,"王菲,张红双",
平谷区,24.疫情防控常态化检查单,2021-03-17 15:18,京平城管024检2021730067,购物;其他,北京安来有农资门市部,本单位,个体工商户,北京安来有农资门市部,92110117MA0124AP8G,中国北京市平谷区刘家店镇胡家店东街8号,日常检查,合格,"张新涛,张红双",
平谷区,24.疫情防控常态化检查单,2021-03-17 15:15,京平城管024检2021730066,其他;其他,北京金旺顺发农资经销部,本单位,个体工商户,北京金旺顺发农资经销部,92110117MA00W51X1U,北京市平谷区大华山镇后北宫村后北宫路260号,日常检查,合格,"王菲,张红双",
平谷区,24.疫情防控常态化检查单,2021-03-17 15:18,京平城管024检2021730065,购物;其他,北京安来有农资门市部,本单位,个体工商户,北京安来有农资门市部,92110117MA0124AP8G,中国北京市平谷区刘家店镇胡家店东街8号,日常检查,合格,"张新涛,张红双",
平谷区,24.疫情防控常态化检查单,2021-03-17 15:18,京平城管024检2021730064,购物;其他,北京安来有农资门市部,本单位,个体工商户,北京安来有农资门市部,92110117MA0124AP8G,中国北京市平谷区刘家店镇胡家店东街8号,日常检查,合格,"张新涛,张红双",
平谷区,24.疫情防控常态化检查单,2021-03-17 15:15,京平城管024检2021730063,其他;其他,北京金旺顺发农资经销部,本单位,个体工商户,北京金旺顺发农资经销部,92110117MA00W51X1U,北京市平谷区大华山镇后北宫村后北宫路260号,日常检查,合格,"王菲,张红双,方俊",
平谷区,24.疫情防控常态化检查单,2021-03-17 15:18,京平城管024检2021730062,购物;其他,北京安来有农资门市部,本单位,个体工商户,北京安来有农资门市部,92110117MA0124AP8G,中国北京市平谷区刘家店镇胡家店东街8号,日常检查,合格,"张新涛,张红双",
平谷区,24.疫情防控常态化检查单,2021-03-17 15:15,京平城管024检2021730061,其他;其他,北京金旺顺发农资经销部,本单位,个体工商户,北京金旺顺发农资经销部,92110117MA00W51X1U,北京市平谷区大华山镇后北宫村后北宫路260号,日常检查,合格,"王菲,张红双",
平谷区,24.疫情防控常态化检查单,2021-03-17 15:15,京平城管024检2021730060,其他;其他,北京金旺顺发农资经销部,本单位,个体工商户,北京金旺顺发农资经销部,92110117MA00W51X1U,北京市平谷区大华山镇后北宫村后北宫路260号,日常检查,合格,"王菲,张红双",
平谷区,24.疫情防控常态化检查单,2021-03-17 15:15,京平城管024检2021730059,其他;其他,北京金旺顺发农资经销部,本单位,个体工商户,北京金旺顺发农资经销部,92110117MA00W51X1U,北京市平谷区大华山镇后北宫村后北宫路260号,日常检查,合格,"王菲,张红双",
平谷区,24.疫情防控常态化检查单,2021-03-17 15:15,京平城管024检2021730058,其他;其他,北京金旺顺发农资经销部,本单位,个体工商户,北京金旺顺发农资经销部,92110117MA00W51X1U,北京市平谷区大华山镇后北宫村后北宫路260号,日常检查,合格,"王菲,张红双",
平谷区,24.疫情防控常态化检查单,2021-03-17 15:16,京平城管024检2021730057,购物;其他,北京刘店向明生产资料门市部,本单位,个体工商户,北京刘店向明生产资料门市部,92110117MA00P3N326,中国北京市平谷区刘家店镇刘家店村西路241号,日常检查,合格,"张新涛,王菲",
平谷区,24.疫情防控常态化检查单,2021-03-17 15:13,京平城管024检2021730056,餐饮;餐馆,吉庆宝民民俗餐厅,本单位,个体工商户,北京刘家店谭宝民民俗餐厅,92110117L75482297N,北京市平谷区刘家店镇前吉山村南大街140号,日常检查,合格,"张新涛,方俊,张洪峰,张红双,王菲",
平谷区,24.疫情防控常态化检查单,2021-03-17 15:13,京平城管024检2021730055,餐饮;餐馆,吉庆宝民民俗餐厅,本单位,个体工商户,北京刘家店谭宝民民俗餐厅,92110117L75482297N,北京市平谷区刘家店镇前吉山村南大街140号,日常检查,合格,"张新涛,方俊,张洪峰,张红双,王菲",
平谷区,24.疫情防控常态化检查单,2021-03-17 15:13,京平城管024检2021730054,餐饮;餐馆,北京桂红小吃店,本单位,个体工商户,北京桂红小吃店,92110117MA01BDFW00,北京市平谷区大华山镇后北宫路125号1室,日常检查,合格,"王菲,方俊",
平谷区,24.疫情防控常态化检查单,2021-03-17 15:10,京平城管024检2021730053,购物;其他,北京赵洪庆五金商店,本单位,个体工商户,北京赵洪庆五金商店,92110117L79114424T,中国北京市平谷区刘家店镇万庄子村东47号-3,日常检查,合格,"张新涛,张欣,张洪峰,张红双,王菲",
平谷区,24.疫情防控常态化检查单,2021-03-17 15:05,京平城管024检2021730052,餐饮;餐馆,谭家大院,本单位,,北京祥家大院旅馆,92110101MA00NF9P53,北京市平谷区刘家店镇前吉山村委会南50米,日常检查,合格,"张新涛,方俊,张欣,张洪峰,张红双",
平谷区,24.疫情防控常态化检查单,2021-03-17 11:10,京平城管024检2021730051,购物;超市,北京刘家店王建明民俗餐厅,本单位,,北京刘建英民俗餐厅,92110116MA012MQN2Q,北京市平谷区刘家店镇前吉山大街8号,日常检查,合格,"张新涛,方俊,张欣,张洪峰,张红双",
平谷区,24.疫情防控常态化检查单,2021-03-17 11:08,京平城管024检2021730050,购物;其他,北京谭保明小卖部,本单位,个体工商户,北京谭保明小卖部,92110117L76301881K,北京市平谷区刘家店镇前吉山大街128号,日常检查,合格,"张新涛,方俊,张洪峰,张红双,王菲",
平谷区,24.疫情防控常态化检查单,2021-03-17 11:06,京平城管024检2021730049,购物;其他,北京迎客隆旺日用品经营部,本单位,个体工商户,北京迎客隆旺日用品经营部,92110117MA01N90Y6P,北京市平谷区刘家店刘家店西路113号北,日常检查,合格,"张新涛,张欣,方俊,张洪峰,张红双",
平谷区,24.疫情防控常态化检查单,2021-03-17 10:50,京平城管024检2021730048,购物;其他,北京义良恒源食品店,本单位,个体工商户,北京市义良恒源食品店,92110117L79243939A,中国北京市平谷区银店大街17号,日常检查,合格,"张新涛,张欣,张洪峰,张红双,王菲",
平谷区,24.疫情防控常态化检查单,2021-03-17 10:48,京平城管024检2021730047,餐饮;餐馆,碧霞源饭店,本单位,个体工商户,北京碧霞源民俗餐厅,111111111111111111,北京市平谷区刘家店镇寅洞大街115号,日常检查,合格,"张新涛,方俊,张欣,张洪峰,张红双",
平谷区,14.清洁燃料加气站,2021-02-09 10:10,京平城管014检2021010001,交通设施;加油加气站,918总站院内LNG橇装加气站,经营管理单位,法人,中国石油化工股份有限公司,91110000710926094P,新平北路20号,专项检查,不合格,"方志广,刘宁",
平谷区,3.电力企业,2021-03-11 09:00,京平城管003检2021010001,企业;公司,国家电网（东高村营业厅）,经营管理单位,非法人组织,北京华商电灯有限公司平谷区供电服务分公司,91110117MA002R386B,北京市平谷区东高村镇大旺务西路7号,专项检查,合格,"孙宇梅,张惠明",
平谷区,7.公园,2021-03-09 15:00,京平城管007检2021010001,旅游景点;公园,北京市平谷世纪广场管理处,本单位,法人,北京市平谷世纪广场管理处,12110226400977830H,北京市平谷区平谷镇府前西街5号,专项检查,合格,"杜春秋,孙宇梅",
平谷区,12.生活垃圾收集、运输环节,2021-03-15 10:00,京平城管012检2021010001,垃圾处理;其他,北京京谷京环环境服务有限公司,本单位,法人,北京京谷京环环境服务有限公司,91110117MA009WPR31,新平西路5号,专项检查,合格,"方志广,任春芳",
平谷区,11.生活垃圾消纳处理环节,2021-02-02 14:30,京平城管011检2021010001,企业;公司,北京京环绿谷环境管理有限公司,本单位,法人,北京京环绿谷环境管理有限公司,9111011733033314XQ,北京市平谷区东高村镇南宅村西南500米(生活垃圾综合处理厂）,专项检查,合格,"张立国,周凤文",
平谷区,19.供热单位,2021-03-02 09:30,京平城管019检2021010001,企业;其他,北燃绿谷兴谷供热厂,经营管理单位,法人,北京北燃绿谷供热科技发展有限公司,9111011759766110XK,平谷北街6号,专项检查,合格,"刘宁,孙宇梅",
平谷区,49.施工单位建筑垃圾,2021-03-03 14:30,京平城管049检2021010001,临时;施工现场,平谷区妇幼保健院拆建工程项目,施工单位,法人,北京鋆昌工程建设有限公司,91110117MA00DWHM3R,王辛庄镇小辛寨村,联合检查,合格,"黄晓晰,张惠明",
平谷区,10.生活垃圾分类投放环节,2021-03-15 08:44,京平城管010检2021770021,餐饮;餐馆,李先生快餐,本单位,个体工商户,北京和平李先生加州牛肉面大王快餐店,92110117L31176626F,北京市西城区地安门外大街9号,专项检查,合格,"张晓梅,刘子堃",
平谷区,24.疫情防控常态化检查单,2021-03-15 08:44,京平城管024检2021770021,餐饮;餐馆,李先生快餐,本单位,个体工商户,北京和平李先生加州牛肉面大王快餐店,92110117L31176626F,北京市西城区地安门外大街9号,专项检查,合格,"张晓梅,刘子堃",
平谷区,10.生活垃圾分类投放环节,2021-03-15 08:41,京平城管010检2021770020,餐饮;小吃快餐店,齐记驴肉火烧(平谷小渔阳店),本单位,个体工商户,北京贾俊兰驴肉烧饼店,92110117L63089332G,北京市平谷区平谷南街39号附近,专项检查,合格,"张晓梅,刘子堃",
平谷区,24.疫情防控常态化检查单,2021-03-15 08:41,京平城管024检2021770020,餐饮;小吃快餐店,齐记驴肉火烧(平谷小渔阳店),本单位,个体工商户,北京贾俊兰驴肉烧饼店,92110117L63089332G,北京市平谷区平谷南街39号附近,专项检查,合格,"张晓梅,刘子堃",
平谷区,10.生活垃圾分类投放环节,2021-03-15 08:35,京平城管010检2021770019,餐饮;餐馆,大红果,本单位,法人,北京市平顺大红果餐饮有限公司,91110117777076899M,北京市平谷区平谷镇谷丰路15号,专项检查,合格,"张晓梅,刘子堃",
平谷区,24.疫情防控常态化检查单,2021-03-15 08:35,京平城管024检2021770019,餐饮;餐馆,大红果,本单位,法人,北京市平顺大红果餐饮有限公司,91110117777076899M,北京市平谷区平谷镇谷丰路15号,专项检查,合格,"张晓梅,刘子堃",
平谷区,24.疫情防控常态化检查单,2021-03-15 08:28,京平城管024检2021770018,餐饮;餐馆,北京家和福面馆,本单位,个体工商户,北京家和福面馆,92110117L6312015XX,北京市平谷区文化北街6号楼,专项检查,合格,"张晓梅,刘子堃",
平谷区,10.生活垃圾分类投放环节,2021-03-11 16:25,京平城管010检2021780015,餐饮;餐馆,北京龙泰发餐饮有限公司,经营管理单位,法人,北京龙泰发餐饮有限公司,91110117327218773Q,北京市平谷区乐园东小区18排1号,专项检查,合格,"崔苹,刘阳",
平谷区,24.疫情防控常态化检查单,2021-03-11 16:25,京平城管024检2021780016,餐饮;餐馆,北京龙泰发餐饮有限公司,经营管理单位,法人,北京龙泰发餐饮有限公司,91110117327218773Q,北京市平谷区乐园东小区18排1号,日常检查,合格,"崔苹,刘阳",
平谷区,10.生活垃圾分类投放环节,2021-03-11 16:15,京平城管010检2021780014,餐饮;餐馆,聚鑫优尔灌汤包,经营管理单位,法人,北京隆鑫优尔聚品火锅有限公司,92110117MA00XB9P9Y,乐园西小区16排1号,专项检查,合格,"崔苹,刘阳",
平谷区,24.疫情防控常态化检查单,2021-03-11 16:15,京平城管024检2021780015,餐饮;餐馆,聚鑫优尔灌汤包,经营管理单位,法人,北京隆鑫优尔聚品火锅有限公司,92110117MA00XB9P9Y,乐园西小区16排1号,日常检查,合格,"崔苹,刘阳",
平谷区,10.生活垃圾分类投放环节,2021-03-11 16:10,京平城管010检2021780013,餐饮;餐馆,聚鑫优尔灌汤包,本单位,法人,北京聚鑫优尔餐饮管理有限公司,9111011733040047XJ,乐园西小区16排1号,专项检查,合格,"崔苹,刘阳",
平谷区,24.疫情防控常态化检查单,2021-03-11 16:10,京平城管024检2021780014,餐饮;餐馆,聚鑫优尔灌汤包,本单位,法人,北京聚鑫优尔餐饮管理有限公司,9111011733040047XJ,乐园西小区16排1号,日常检查,合格,"崔苹,刘阳",
平谷区,10.生活垃圾分类投放环节,2021-03-11 16:00,京平城管010检2021780012,餐饮;餐馆,北京东晓新越酒店,本单位,法人,北京东晓新越酒店,91110117802935633G,北京市平谷区平谷镇乐园西小区17号,专项检查,合格,"崔苹,刘阳",
平谷区,24.疫情防控常态化检查单,2021-03-11 16:00,京平城管024检2021780013,餐饮;餐馆,北京东晓新越酒店,本单位,法人,北京东晓新越酒店,91110117802935633G,北京市平谷区平谷镇乐园西小区17号,日常检查,合格,"崔苹,刘阳",
平谷区,10.生活垃圾分类投放环节,2021-03-11 15:50,京平城管010检2021780011,购物;超市,家家福,经营管理单位,个体工商户,世纪家家福,110106602019557,北京市平谷区贾各庄村东南街甲6号,专项检查,合格,"崔苹,刘阳",
平谷区,24.疫情防控常态化检查单,2021-03-11 15:50,京平城管024检2021780012,购物;超市,家家福,经营管理单位,个体工商户,世纪家家福,110106602019557,北京市平谷区贾各庄村东南街甲6号,日常检查,合格,"崔苹,刘阳",
平谷区,10.生活垃圾分类投放环节,2021-03-11 15:30,京平城管010检2021780010,购物;超市,互惠生鲜,本单位,法人,北京宏图志海商贸有限公司,91110117MA01JUFJ4G,北京市平谷区乐园西小区54号一层101房间,专项检查,合格,"崔苹,刘阳",
平谷区,24.疫情防控常态化检查单,2021-03-11 15:30,京平城管024检2021780011,购物;超市,互惠生鲜,本单位,法人,北京宏图志海商贸有限公司,91110117MA01JUFJ4G,北京市平谷区乐园西小区54号一层101房间,日常检查,合格,"崔苹,刘阳",
平谷区,10.生活垃圾分类投放环节,2021-03-11 15:20,京平城管010检2021780009,购物;商场,物美超市,经营管理单位,法人,北京物美购物中心平谷店,111111111111111111,新平南路,专项检查,合格,"崔苹,刘阳",
平谷区,24.疫情防控常态化检查单,2021-03-11 15:20,京平城管024检2021780010,购物;商场,物美超市,经营管理单位,法人,北京物美购物中心平谷店,111111111111111111,新平南路,日常检查,合格,"崔苹,刘阳",
平谷区,10.生活垃圾分类投放环节,2021-03-11 15:00,京平城管010检2021780008,餐饮;小吃快餐店,北京和奇李先生加州牛肉面大王快餐厅,经营管理单位,个体工商户,北京和奇李先生加州牛肉面大王快餐厅,92110117L311735642,中国北京市平谷区文化北街,专项检查,合格,"崔苹,高宁",
平谷区,24.疫情防控常态化检查单,2021-03-11 15:00,京平城管024检2021780009,餐饮;小吃快餐店,北京和奇李先生加州牛肉面大王快餐厅,经营管理单位,个体工商户,北京和奇李先生加州牛肉面大王快餐厅,92110117L311735642,中国北京市平谷区文化北街,日常检查,合格,"崔苹,高宁",
平谷区,10.生活垃圾分类投放环节,2021-03-11 14:50,京平城管010检2021780007,餐饮;餐馆,老家肉饼,经营管理单位,个体工商户,北京和谐京东快餐店,92110117L447945386,北京市平谷区平谷镇新开街30号楼1至2层30-5,专项检查,合格,"崔苹,高宁",
平谷区,24.疫情防控常态化检查单,2021-03-11 14:50,京平城管024检2021780008,餐饮;餐馆,老家肉饼,经营管理单位,个体工商户,北京和谐京东快餐店,92110117L447945386,北京市平谷区平谷镇新开街30号楼1至2层30-5,日常检查,合格,"崔苹,高宁",
平谷区,10.生活垃圾分类投放环节,2021-03-11 14:30,京平城管010检2021780006,餐饮;餐馆,巫山烤鱼,经营管理单位,其他,北京来就好餐饮服务有限公司,91110117MA01JGWB93,北京市平谷区鼎基公寓3号楼3-7,专项检查,合格,"崔苹,高宁",
平谷区,24.疫情防控常态化检查单,2021-03-11 14:30,京平城管024检2021780007,餐饮;餐馆,巫山烤鱼,经营管理单位,其他,北京来就好餐饮服务有限公司,91110117MA01JGWB93,北京市平谷区鼎基公寓3号楼3-7,日常检查,合格,"崔苹,高宁",
平谷区,10.生活垃圾分类投放环节,2021-03-11 14:00,京平城管010检2021780005,餐饮;餐馆,青和顺涮肉,本单位,法人,北京青和顺餐饮服务有限公司,91110117094568376K,北京市平谷区王辛庄镇齐各庄村南东路134号,专项检查,合格,"崔苹,高宁",
平谷区,24.疫情防控常态化检查单,2021-03-11 14:00,京平城管024检2021780006,餐饮;餐馆,青和顺涮肉,本单位,法人,北京青和顺餐饮服务有限公司,91110117094568376K,北京市平谷区王辛庄镇齐各庄村南东路134号,日常检查,合格,"崔苹,高宁",
平谷区,24.疫情防控常态化检查单,2021-02-24 15:50,京平城管024检2021740022,餐饮;小吃快餐店,北京泓火天成饭庄,本单位,个体工商户,北京泓火天成饭庄,110117604107401,北京市平谷区平谷镇平谷南街39号楼39-11,日常检查,合格,"孙伟伟,刘畅",
平谷区,24.疫情防控常态化检查单,2021-02-24 14:45,京平城管024检2021740021,餐饮;餐馆,北京贾俊兰驴肉烧饼店,本单位,个体工商户,北京贾俊兰驴肉烧饼店,92110117L63089332G,北京市平谷区平谷镇平谷南街39号39-14,日常检查,合格,"孙伟伟,刘畅",
平谷区,10.生活垃圾分类投放环节,2021-03-10 09:55,京平城管010检2021740020,餐饮;小吃快餐店,北京雨朔佳媛小吃店,本单位,个体工商户,北京雨朔佳媛小吃店,92110117MA01XN7W7L,北京市平谷区平谷镇东寺渠新平南路199号,专项检查,合格,"孙伟伟,李学玲",
平谷区,24.疫情防控常态化检查单,2021-03-10 09:50,京平城管024检2021740020,餐饮;小吃快餐店,北京雨朔佳媛小吃店,本单位,个体工商户,北京雨朔佳媛小吃店,92110117MA01XN7W7L,北京市平谷区平谷镇东寺渠新平南路199号,日常检查,合格,"孙伟伟,李学玲",
平谷区,10.生活垃圾分类投放环节,2021-03-10 09:40,京平城管010检2021740019,餐饮;小吃快餐店,北京和悦顺驴肉火烧店,本单位,个体工商户,北京和悦顺驴肉火烧店,92110117MA014TY808,北京市平谷区新平南路102号,专项检查,合格,"孙伟伟,李学玲",
平谷区,24.疫情防控常态化检查单,2021-03-10 09:40,京平城管024检2021740019,餐饮;小吃快餐店,北京和悦顺驴肉火烧店,本单位,个体工商户,北京和悦顺驴肉火烧店,92110117MA014TY808,北京市平谷区新平南路102号,日常检查,合格,"孙伟伟,李学玲",
平谷区,10.生活垃圾分类投放环节,2021-03-10 09:35,京平城管010检2021740018,餐饮;小吃快餐店,北京客闻香小吃店,本单位,个体工商户,北京客闻香小吃店,92110117MA01TM1G3B,北京市平谷区平谷镇新平南路112号,专项检查,合格,"孙伟伟,李学玲",
平谷区,24.疫情防控常态化检查单,2021-03-10 09:30,京平城管024检2021740018,餐饮;小吃快餐店,北京客闻香小吃店,本单位,个体工商户,北京客闻香小吃店,92110117MA01TM1G3B,北京市平谷区平谷镇新平南路112号,日常检查,合格,"孙伟伟,李学玲",
平谷区,10.生活垃圾分类投放环节,2021-03-10 09:25,京平城管010检2021740017,餐饮;餐馆,北京巧阿妹餐饮有限公司,本单位,个体工商户,北京巧阿妹餐饮有限公司,91110117MA01UAY99N,北京市平谷区平谷镇新平南路118号,日常检查,合格,"孙伟伟,李学玲",
平谷区,24.疫情防控常态化检查单,2021-03-10 09:20,京平城管024检2021740017,餐饮;餐馆,北京巧阿妹餐饮有限公司,本单位,个体工商户,北京巧阿妹餐饮有限公司,91110117MA01UAY99N,北京市平谷区平谷镇新平南路118号,日常检查,合格,"孙伟伟,李学玲",
平谷区,10.生活垃圾分类投放环节,2021-03-10 09:15,京平城管010检2021740015,餐饮;小吃快餐店,北京那家小吃店,本单位,个体工商户,北京那家小吃店,92110117MA016W358J,中国北京市平谷区平谷镇西寺渠东路1号,专项检查,合格,"孙伟伟,李学玲",
平谷区,24.疫情防控常态化检查单,2021-03-10 09:10,京平城管024检2021740013,餐饮;小吃快餐店,北京那家小吃店,本单位,个体工商户,北京那家小吃店,92110117MA016W358J,中国北京市平谷区平谷镇西寺渠东路1号,日常检查,合格,"孙伟伟,李学玲",
平谷区,10.生活垃圾分类投放环节,2021-03-10 09:05,京平城管010检2021740014,餐饮;餐馆,华盛园,本单位,法人,北京华盛园餐饮有限公司,92110117L85151408P,中国北京市平谷区平谷镇西寺渠东路3号,专项检查,合格,"孙伟伟,李学玲",
平谷区,24.疫情防控常态化检查单,2021-03-10 09:00,京平城管024检2021740012,餐饮;餐馆,华盛园,本单位,法人,北京华盛园餐饮有限公司,92110117L85151408P,中国北京市平谷区平谷镇西寺渠东路3号,日常检查,合格,"孙伟伟,李学玲",
平谷区,10.生活垃圾分类投放环节,2021-03-09 10:15,京平城管010检2021740013,餐饮;餐馆,北京长顺园餐饮有限公司,本单位,个体工商户,北京长顺园餐饮有限公司,91110117085530261G,北京市平谷区平谷镇西寺渠东路5号,专项检查,合格,"孙伟伟,李学玲",
平谷区,24.疫情防控常态化检查单,2021-03-09 10:10,京平城管024检2021740011,餐饮;餐馆,北京长顺园餐饮有限公司,本单位,个体工商户,北京长顺园餐饮有限公司,91110117085530261G,北京市平谷区平谷镇西寺渠东路5号,日常检查,合格,"孙伟伟,李学玲",
平谷区,10.生活垃圾分类投放环节,2021-03-09 10:05,京平城管010检2021740012,餐饮;餐馆,北京满福盛餐厅,本单位,法人,北京满福盛餐厅,92110117L77176795N,北京市平谷区西寺渠东路9号,专项检查,合格,"孙伟伟,李学玲",
平谷区,24.疫情防控常态化检查单,2021-03-09 10:00,京平城管024检2021740010,餐饮;餐馆,北京满福盛餐厅,本单位,法人,北京满福盛餐厅,92110117L77176795N,北京市平谷区西寺渠东路9号,日常检查,合格,"孙伟伟,李学玲",
平谷区,10.生活垃圾分类投放环节,2021-03-09 09:55,京平城管010检2021740011,餐饮;餐馆,北京渔公移山餐饮服务有限公司,本单位,个体工商户,北京渔公移山餐饮服务有限公司,91110117327247611N,北京市平谷区平谷镇西寺渠东路11号,专项检查,合格,"孙伟伟,李学玲",
平谷区,24.疫情防控常态化检查单,2021-03-09 09:50,京平城管024检2021740009,餐饮;餐馆,北京渔公移山餐饮服务有限公司,本单位,个体工商户,北京渔公移山餐饮服务有限公司,91110117327247611N,北京市平谷区平谷镇西寺渠东路11号,日常检查,合格,"孙伟伟,李学玲",
平谷区,10.生活垃圾分类投放环节,2021-03-09 09:45,京平城管010检2021740010,餐饮;餐馆,北京天地一家亲餐饮管理有限公司,本单位,个体工商户,北京天地一家亲餐饮管理有限公司,91110117327270053K,北京市平谷区平谷镇西寺渠中路48号,专项检查,合格,"刘畅,李学玲",
平谷区,24.疫情防控常态化检查单,2021-03-11 09:37,京平城管024检2021730046,购物;便利店,北京飞燕虹翔百货商店,本单位,个体工商户,北京飞燕虹翔百货商店,92110117MA01QK4E4F,中国北京市平谷区镇罗营镇镇罗营东街104号A,日常检查,合格,"张新涛,张欣,张洪峰,王菲",
平谷区,24.疫情防控常态化检查单,2021-03-09 09:40,京平城管024检2021740008,餐饮;餐馆,北京天地一家亲餐饮管理有限公司,本单位,个体工商户,北京天地一家亲餐饮管理有限公司,91110117327270053K,北京市平谷区平谷镇西寺渠中路48号,日常检查,合格,"刘畅,孙伟伟",
平谷区,24.疫情防控常态化检查单,2021-03-11 09:36,京平城管024检2021730045,其他;其他,北京许家务黄兰秀百货商店,本单位,,北京许家务黄兰秀百货商店,92110117L76835840D,北京市平谷区镇罗营镇上营村东街104号,日常检查,合格,"张新涛,张欣,张洪峰",
平谷区,10.生活垃圾分类投放环节,2021-03-11 09:34,京平城管010检2021730006,其他;其他,北京熊艳百货商店,本单位,个体工商户,北京熊艳百货商店,92110117MA01312BXR,北京市平谷区镇罗营镇东街96号,专项检查,合格,"张新涛,张洪峰,张红双",
平谷区,10.生活垃圾分类投放环节,2021-03-09 09:35,京平城管010检2021740009,餐饮;餐馆,北京虾捞餐饮管理连锁有限公司,本单位,法人,北京虾捞餐饮管理连锁有限公司,91110117MA00B1T12J,北京市平谷区平谷镇西寺渠中路1号,专项检查,合格,"刘畅,李学玲",
平谷区,24.疫情防控常态化检查单,2021-03-09 09:30,京平城管024检2021740007,餐饮;餐馆,北京虾捞餐饮管理连锁有限公司,本单位,法人,北京虾捞餐饮管理连锁有限公司,91110117MA00B1T12J,北京市平谷区平谷镇西寺渠中路1号,日常检查,合格,"刘畅,李学玲",
平谷区,10.生活垃圾分类投放环节,2021-03-09 09:25,京平城管010检2021740008,餐饮;餐馆,芙北京绿萝餐饮有限公司,本单位,法人,北京绿萝餐饮有限公司,92110117MA00Y4K789,北京市平谷区平谷镇西寺渠中路48号,专项检查,合格,"刘畅,李学玲",
平谷区,24.疫情防控常态化检查单,2021-03-09 09:20,京平城管024检2021740006,餐饮;餐馆,芙北京绿萝餐饮有限公司,本单位,法人,北京绿萝餐饮有限公司,92110117MA00Y4K789,北京市平谷区平谷镇西寺渠中路48号,日常检查,合格,"刘畅,李学玲",
平谷区,24.疫情防控常态化检查单,2021-03-11 09:15,京平城管024检2021730044,餐饮;餐馆,北京清水山庄,本单位,个体工商户,北京清水山庄民俗餐厅,92110117MA0168GM40,北京市平谷区镇罗营镇关上村16号,日常检查,合格,"王菲,方俊",
