序号,企业（机构）名称
74,北京弘际商贸有限公司
75,北京利它商贸有限公司
76,北京维继焕桢科技有限公司
77,北京欧亚丝路国际贸易有限公司
78,北京福城商贸有限公司
79,北京鑫祥迪生态种植有限公司
80,北京中科万方科技有限公司
81,北京巧胜装饰工程有限公司
82,北京意足轩健康养生有限公司密云分公司
83,北京振农科技有限公司
84,北京微塑永丰环保科技有限公司
85,珀加索斯（北京）文化发展有限公司
86,北京牛厨私房菜餐饮管理有限公司
87,北京北禾信息技术有限公司
88,北京迪恩商贸有限公司
89,北京明思本创广告有限公司
90,北京微塑环保科技有限公司
91,北京超维世纪科技有限公司
92,北京圣贤聚科技有限公司
93,北京大智为先科技有限公司
94,佰鸿宇（北京）土石方工程有限公司
95,北京正尔创佳商贸有限公司
96,北京微塑包材新材料科技有限公司
97,北京帅牛人纺织品有限公司
98,北京聆音楼科贸有限公司
99,北京辉益瑞科技有限公司
100,中红旅（北京）旅游开发有限公司
101,北京云特华创科技中心
102,北京誉泽维科技有限公司
103,北京海伦逸林商贸有限公司
104,北京中鸿安信科技有限公司
105,北京欣欣昊天物业管理有限公司
106,北京中锦通达科技有限公司
107,北京桉悦科技有限公司
108,奉御（北京）国际贸易有限公司
109,北京金成万佳科技有限公司
110,北京天下粮仓科技有限公司
111,中科育成文化发展有限公司
112,北京谦合益邦科技发展有限公司
113,北京三盈旧机动车经纪有限公司
114,北京爱意天下家政服务有限责任公司
115,北京北方友顺商贸有限公司
116,北京正道之光教育科技有限公司
117,北京亮源创兴知识产权代理有限公司
118,北京时丰商贸有限公司
119,北京兴奥鑫建筑装饰工程有限公司
120,北京六唯科技有限公司
121,北京北方齐鲁珠宝销售有限公司
122,北京宜涟智能科技有限公司
123,北京乐其哈斯商贸有限公司
124,北京悦享成长文化科技有限公司
125,北京易思得信息咨询顾问有限公司
126,北京泽纳梦怡建筑工程有限公司
127,北京亿穆家餐饮有限公司
128,中首新材科技（北京）有限公司
129,北京锐环科技有限公司
130,中海能建科技（北京）有限公司
131,中光华芯科技（北京）有限公司
132,北京富达鑫源因私出入境服务有限公司
133,北京嘉辰智房地产经纪有限公司
134,北京麻由商贸有限公司
135,北京宜可信息咨询服务有限公司
136,北京魏钰商贸有限公司
137,北京强健体育设施工程有限公司
138,北京次元云文化传媒有限公司
139,北京中诚悦达因私出入境服务有限公司
140,北京懿恩科技有限公司
141,北京五湖辰丰科技有限公司
142,北京鑫淼雪月商贸有限公司
143,北京逸芯房地产经纪有限公司
144,北京云霞海曙科技有限公司
145,北京和悦龙川科技有限公司
146,北京米卡驱汽车用品有限公司
147,北京金缕珠宝设计有限公司
148,沃泊（北京）管理资询有限公司
149,北京金林腾达汽车修理有限公司
150,北京辛弘商贸有限公司
151,北京乐播时空文化传播有限公司
152,北京中安慧聚技术有限公司
153,北京鸣岐天成贸易有限公司
154,微企数科（北京）科技有限公司
155,北京吉顺财科技有限公司
156,北京春风洋溢科技有限公司
157,北京翔晨科技有限公司
158,北京韵林荣腾运输有限公司
159,北京大国食安科技有限公司
160,北京市富佳源信息咨询有限公司
161,北京移联信创科技有限公司
162,北京合十汇装饰设计有限公司
163,北京天恒天冀生态科技有限公司
164,北京法客部落投资咨询有限公司
165,北京祥益福满商贸有限公司
166,北京千慧百智科贸有限公司
167,北京六九八零科学技术研究院
168,华中京晟（北京）商业管理有限公司
169,北京碧榕科技有限公司
170,北京力飞伟业商贸有限公司
171,北京梯小智广告有限公司
172,北京紫金珠宝有限公司
173,北京巴歌汽车租赁有限公司密云分公司
174,北京海睿佳信商务咨询有限公司
175,北京凯利宇欣商贸有限公司
176,北京苏佳汇塑料制品有限公司
177,北京平盛科技有限公司
178,北京鼎恒鑫达装饰有限公司
179,中昌恒久（北京）生物科技发展有限公司
180,北京蚂蚁快跑网络科技有限公司
181,北京长信物联科技有限公司
182,北京强龙房地产开发有限公司
183,北京北卫君安咨询服务有限公司
184,北京铭煊科技有限公司
185,北京盛启林科技发展有限公司
186,北京维克斯华科技有限公司
187,库克森电气（北京）有限公司
188,北京中企汇成企业管理咨询有限公司
189,北京路顺国际旅行社有限公司
190,北京金色盛世科技有限公司
191,北京恒汐商贸有限公司
192,北京小蝇力量科技有限公司
193,北京同祥创芯科技有限公司
194,北京创世恒艺装饰工程有限责任公司
195,北京点燊新能源科技有限公司
196,北京赢椿公关顾问有限公司
197,北京鸿运生财建筑工程有限公司
198,华控华新（北京）科技发展有限公司
199,北京格润园林工程有限公司
200,北京博思妮雅商贸有限公司
201,九沅（北京）科技有限公司
202,北京观林炜业商贸有限公司
203,乐驰顺达汽车租赁有限公司
204,北京吉佳房地产经纪有限公司
205,北京金链企腾达电子商务有限公司
206,北京讯恺技术服务有限公司
207,北京烨泉缘商贸有限公司
208,北京华众宇婷酒店管理有限公司
209,北京大美鼎盛超市有限公司
210,北京冬华然商贸有限公司
211,北京可可餐饮店
212,北京林海龙腾商贸有限公司
213,北京康耐科迅科技有限公司
214,北京垚邑建筑工程有限公司
215,北京福展宏兰贸易有限公司
216,龙云发展（北京）体育有限公司
217,北京君易教育咨询中心（有限合伙）
218,北京华圣源文化传播有限公司
219,圣约互娱科技（北京）有限公司
220,北京澳海乐淘网络科技服务中心
221,宝丽金（北京）文化发展有限公司
222,北京如林天达商贸有限公司
223,北京云乐汇祥酒店管理有限公司
224,北京铭彧通学教育咨询有限公司
225,北京信安瑞科技有限责任公司
226,北京黎志餐饮店
227,北京泓溢建筑工程有限公司
228,北京久迎开商贸有限公司
229,北京因思博睿教育咨询有限公司
230,东方山水（北京）劳务咨询服务有限公司
231,北京红旭嘉盛餐饮管理有限公司
232,北京鑫兴龙盛建材有限公司
233,淼晨（北京）餐饮管理有限公司
234,中和安太（北京）建筑工程有限公司
235,北京大正向东文化交流中心
236,北京中关绿谷科技中心
237,北京智善文化传播中心（普通合伙）
238,铭鼎（北京）物业管理有限公司
239,北京优你心悦建筑工程有限公司
240,北京钰井酒店管理有限公司
241,北京顺鑫莱胜机电设备有限公司
242,北京伊鑫伊亿商贸有限公司
243,北京金石亿通电子商务有限公司
244,首邦汇能（北京）科技有限公司
245,北京美鑫艺林美容美发中心
246,北京佳信和房地产经纪有限公司
247,北京智丰协成技术有限公司
248,明秀山河（北京）商贸有限公司
249,北京密云供销合作社生产资料配送中心
250,北京留洋酒店管理有限公司
251,双华尚品（北京）装饰设计有限公司
252,北京晶润乐新酒店管理有限公司
253,北京华汇众创企业管理有限公司
254,北京昕瑞建筑工程有限公司
255,北京纪衡商贸有限公司
256,北京龙宇世耀酒店管理有限公司
257,北京晨阳商贸有限公司
258,北京开超宁璐农业科技有限责任公司
259,北京济世雨商贸有限公司
260,北京聚兴横溢商贸有限公司
261,北京智浩房地产经纪有限公司
262,北京鳞鸿酒店管理有限公司
263,北京辉宏浩达商贸有限公司
264,北京易通达物流有限公司
265,北京悠优综合超市有限公司第一分公司
266,北京茗星汇宠物服务店
267,北京中顺富恒建筑工程有限公司
268,安信小集（北京）商业连锁有限公司第五分公司
269,北京博奥振兴餐饮管理有限公司
270,北京洪伟志远商贸有限公司
271,北京鼎顺拓启科技有限公司
272,北京龙海润泽建筑工程有限公司
273,北京晶芬技术服务有限公司
274,北京亚奥欢驰建筑工程有限公司
275,北京汇宇彩旭酒店管理有限公司
276,北京南云北岩酒店管理有限公司
277,北京瀚祥消防工程有限公司
278,北京首奥宏胜商贸有限公司
279,北京钰达嘉业科技有限公司
280,北京承璋咨询管理有限公司
281,北京东方云水电泵销售维修中心
282,北京墨寒装饰设计有限公司
283,北京祺升惠建筑工程有限公司
284,绿洲牧马（北京）建筑装饰工程有限公司
285,北京鑫丰典当有限责任公司
286,北京元孟科技有限公司
287,北京兴彩华旭酒店管理有限公司
288,京御（北京）商贸有限公司
289,北京瑞凤方元科技有限公司
290,北京创岚筱商贸有限公司
291,北京华亿宝泰科技有限公司
292,北京杉辅汐商贸有限公司
293,寰宇文化娱乐有限公司
294,北京永胜恒辉贸易有限公司
295,北京意足轩健康养生有限公司
296,北京君威永利汽车销售有限公司
297,中科清源（北京）国学文化传播有限公司
298,北京陆阳商贸有限公司
299,北京邻舍装饰设计有限公司
300,北京易联旺达科技有限公司
301,北京立斌商贸有限公司
302,北京密润蔬菜销售有限公司
303,北京君伴朋飞建筑材料有限公司
304,中博万通（北京）建筑劳务有限公司
305,北京鼎翔顺科技有限公司
306,北京梦怡然酒店管理有限公司
307,北京沐宸源广告有限公司
308,北京聚融兴业投资咨询有限公司
309,北京锦钰达科技服务有限公司
310,北京百穗餐饮有限公司
311,北京密豪酒店管理有限公司
312,北京陆舟科技有限公司
313,北京德信恒通科技有限公司
314,北京笠泊景轩酒店管理有限责任公司
315,北京鸿鑫澄机械租赁有限公司
316,北京新桥文化发展有限公司
317,胜裕（北京）酒店管理有限公司
318,北京创智汇企业管理发展中心（有限合伙）
319,北京鑫锋百顺建筑工程有限公司
320,北京康乾光澍影视文化有限公司
321,北京草根懿品投资管理有限公司
322,北京浩宇安信物业有限公司
323,北京麟宇商贸有限公司
324,北京云博信达金属门窗厂
325,北京壹迩科技有限公司
326,北京众物商贸有限公司
327,北京中盛鸿宇咨询管理有限公司
328,北京祥鸿教育咨询有限责任公司
329,边靠边国际贸易（北京）有限公司第一分公司
330,北京嘉驿餐饮管理有限公司
331,北京亚光亚集成房屋科技发展有限公司
332,北京辉誊建筑工程有限公司
333,北京绿康佳欣农业有限责任公司
334,北京景达旺商贸有限公司
335,宜康众惠（北京）健康管理有限公司同和堂中医诊所
336,北京浩玥餐饮有限公司
337,北京中企昊天信息咨询有限公司
338,北京久富运晨商贸有限公司
339,北京旭丽宏盛餐饮管理有限公司
340,北京岚岚餐饮服务有限公司
341,北京益美商贸有限公司
342,北京环益恒通科技发展有限公司
343,北京云达非繁酒店管理有限公司
344,北京物连天下网络科技有限公司
345,北京长和产融商学管理顾问有限公司
346,北京煜湘知餐饮管理有限公司
347,中翰新基建发展有限公司
348,北京茂源科技有限公司
349,北京俊兴腾达贸易有限公司
350,北京智客互联教育科技有限公司
351,蓝天光波（北京）环保科技有限公司
352,北京信博鸿远科技有限公司
353,北京君联众源商贸有限公司
354,北京峰泰鸿运酒店管理有限公司
355,贵州中柏伦建筑工程有限公司北京详宏分公司
356,北京志合众诚体育文化有限公司
357,北京邦达兴盛科技有限公司
358,北方电影有限公司
359,北京鸿基天成环保工程有限公司
360,北京宸纳康商贸有限公司
361,北京晟伟嘉华商贸有限公司
362,北京领峰管理咨询有限公司
363,北京鸿安嘉华商贸有限公司
364,北京和兴昌友酒店管理有限公司
365,北京鸿坤百信能源科技中心（有限合伙）
366,北京月骞建筑工程有限公司
367,北京伟杨科技有限公司
368,北京和睿智源信息科技有限公司
369,北京亿鸿苑晏餐饮管理有限公司
370,北京姜芬商贸有限公司
371,北京秦锦餐饮管理有限公司
372,北京杉蒂商贸有限公司
373,北京欣盛恒商贸有限公司
374,北京仁奇房地产经纪有限公司
375,北京莱今科技有限公司
376,北京隆辰兴建筑工程有限公司
377,北京淳勤物业管理有限公司
378,北京鸿阳普元商贸有限公司
379,北京云多田科技有限公司
380,北京梓瑀文化传媒有限公司
381,北京韵霖商贸有限公司
382,北京花满画酒店管理有限公司
383,北京宏鼎云酒店管理有限公司
384,北京筱时商贸有限公司
385,北京利得五金工具有限公司
386,北京花缘秀酒店管理有限公司
387,北京芝麻家政服务有限公司
388,北京祥厉商贸有限公司
389,北京霖书物业管理有限公司
390,北京汇品福酒店管理有限公司
391,北京喜玮科技有限公司
392,北京成知安物业管理有限公司
393,北京抖营科技中心
394,北京嘉音物业管理有限公司
395,北京归朴华科技服务有限公司
396,北京清若餐饮管理有限公司
397,北京星启航未来可期咨询有限公司
398,北京蓝瞬科贸有限公司
399,北京厚德堂国医有限公司
400,北京爱民企业管理有限公司
401,北京兴谷南兴商贸有限公司
402,北京文舒房地产经纪有限公司
403,北京群橙娱乐文化有限公司
404,北京巨美鸿酒店管理有限公司
405,北京闻香而达餐饮管理有限公司
406,北京嘉晴房地产经纪有限公司
407,北京乐博益明科技有限公司
408,北京萍脆商贸有限公司
409,北京宇东宝威建筑有限公司
410,北京远策建筑劳务有限公司
411,北京众百兴云建筑工程有限公司
412,北京云兴百谷商贸有限公司
413,北京祺闽商贸有限公司
414,北京乐幻缘商贸有限公司
415,北京第五季节咨询有限公司
416,北京花之言花卉有限责任公司
417,北京中嘉开元新能源有限公司
418,北京陆伟凡星商贸有限公司
419,北京佩瑞新商贸有限公司
420,京都四合（北京）物业管理有限公司
421,北京赢智法律咨询有限公司
422,中蒋文化传媒（北京）有限公司
423,北京力顶香餐饮有限公司
424,北京鸿诚兴凯商贸有限公司
425,北京辰杏物业管理有限公司
426,北京旺惠哈源商贸有限公司
427,北京北齐文化传媒有限公司
428,北京甘特斯克帽业有限公司
429,北京花满君酒店管理有限公司
430,北京丰冯酒店管理有限公司
431,北京盛锣商贸有限公司
432,北京伟悦亚朵商贸有限公司
433,北京扁平信息科技有限公司
434,北京丰泰云旅游咨询有限公司
435,北京毅志科技有限公司
436,北京万德惠建筑有限公司
437,北京友铭斯建筑工程有限公司
438,北京景琴科贸有限公司
439,北京雅洺商贸有限公司
440,北京硕扬建筑工程有限公司
441,北京夏汇恒建筑装饰有限公司
442,北京程运祥和汽车租赁有限公司
443,北京福元友倍亲福康健康管理有限公司
444,北京玚代酒店管理有限公司
445,北京亨颐房地产经纪有限公司
446,北京慧茂悦酒店管理有限公司
447,北京彩汇多酒店管理有限公司
448,北京亿快财税服务有限公司
449,北京言华穗建筑工程有限公司
450,北京红辉企业管理咨询有限公司
451,北京盛禾灿餐饮管理有限公司
452,北京名鑫永成法律咨询有限公司
453,北京润为时代科技有限公司
454,北京景伊味酒店管理有限公司
455,北京几年商业管理有限公司
456,北京凡创兴辉科技有限公司
457,北京全思信雅科技有限公司
458,北京京信德通商贸有限公司
459,北京晴枫商贸有限公司
460,北京鼎集酒店管理有限公司
461,北京易彩蕙煌商贸有限公司
462,北京江福春餐饮管理有限公司
463,北京七禾商贸有限公司
464,北京寒锦祥餐饮管理有限公司
465,北京衿瑞服饰有限公司
466,北京吉百诚房地产经纪有限公司
467,北京赢畅物业管理有限公司
468,北京康旺顺商贸有限公司
469,北京滔陶科技有限公司
470,北京梵辰物业有限公司
471,北京云富鑫宝商贸有限公司
472,北京和正元科技有限公司
473,北京灰壁商贸有限公司
474,华夏睿兴科技有限公司
475,北京福庆南餐饮管理有限公司
476,盛信伟业（北京）技术有限公司
477,北京惠永泉康商贸有限公司
478,北京时洺麒商贸有限公司
479,北京新洺园物业管理有限公司
480,北京童瑞物业管理有限公司
481,北京辛语物业管理有限公司
482,北京聚美尚德珠宝有限公司密云第一分公司
483,北京辉满汇商贸有限公司
484,北京鸿诚嘉旺商贸有限公司
485,北京修齐企业管理服务有限公司
486,北京棠乐驿盛商贸有限公司
487,北京清舜阁餐饮管理有限公司
488,北京顺华悦酒店管理有限公司
489,北京泛纳选医疗有限公司
490,北京嘉朔晖丰商贸有限公司
491,付高行（北京）旅行社有限公司
492,北京汇水景酒店管理有限公司
493,北京纳倍商贸有限公司
494,北京志成荣酒店管理有限公司
495,北京摩克德酒店管理有限公司
496,北京益于商贸有限公司
497,北京兴楠酒店管理有限公司
498,北京南凯新元商贸有限公司
499,北京先泰海华商贸有限公司
500,北京奕品商贸有限公司
501,北京益宇诚发商贸有限公司
502,北京邻祥酒店管理有限公司
503,北京豫华建材有限公司
504,北京宇明非达酒店管理有限公司
505,北京悠悠我心科技有限公司
506,北京米诺乐鸿商贸有限公司
507,北京泉沃酒店管理有限公司
508,北京盛浩鑫华商贸有限公司
509,北京开阳兴酒店管理有限公司
510,北京密悦兴鸿商贸有限公司
511,北京缘艾洺餐饮管理有限公司
512,北京廉隆科技有限公司
513,北京顺京建设管理有限公司
514,北京京通万福商贸有限公司
515,北京精汇投科技有限公司
516,北京百康华泽商贸有限公司
517,北京云顶鸿盛体育运动有限公司
518,北京豫龙净美保洁服务有限公司
519,北京思汇闪星科技有限公司
520,北京辰歆万物业管理有限公司
521,北京佰达房地产经纪有限公司
522,北京恒运九方能源科技中心（有限合伙）
523,北京兴东鸿元商贸有限公司
524,北京泰盛同科技有限公司
525,北京顺沂科技有限公司
526,北京满红品酒店管理有限公司
527,北京中科国发文化艺术发展有限公司
528,北京天地人力资源管理中心
529,北京优远幸酒店管理有限公司
530,北京辰迅明达商贸有限公司
531,北京仟家餐饮管理有限公司
532,深圳汇信昌供应链有限公司北京分公司
533,北京凌沄启航科技有限公司
534,北京零昱酒店管理有限公司
535,北京琮嘉科技有限公司
536,北京旭海益达商贸有限公司
537,北京霞远餐饮管理有限公司
538,北京思珍兴旺商贸有限公司
539,北京博吉云达商贸有限公司
540,北京顺芊物业管理有限公司
541,北京鹏博信能源科技中心（有限合伙）
542,北京锦贡餐饮管理有限公司
543,北京程沁鑫房地产经纪有限公司
544,北京好客宾来酒店管理有限公司
545,北京万紫兴博商贸有限公司
546,北京锦亭缘酒店管理有限公司
547,北京勃寰景沅商贸有限公司
548,北京珊琦科贸有限公司
549,北京润志家晟酒店管理有限公司
550,北京世纪威方网络科技有限公司
551,北京邯海科技有限公司
552,北京鑫智荣盛酒店管理有限公司
553,北京麒远商贸有限公司
554,砚铭有鑫（北京）科贸有限责任公司
555,北京禹环惠慷科技有限公司
556,北京锦川新商贸有限公司
557,北京乘鹏科技有限责任公司
558,北京莫乐盛安商贸有限公司
559,北京百路兴商贸有限公司
560,北京云尔永聚商贸有限公司
561,北京壤淼商贸有限公司
562,北京安宝盈科技有限公司
563,北京瀚鸣物业管理有限公司
564,北京蓝图华科贸有限公司
565,北京故嘉房地产经纪有限公司
566,北京翼明建材有限公司
567,北京利世隆物业管理有限公司
568,北京晏凌餐饮管理有限公司
569,北京茂悦盛酒店管理有限公司
570,北京米图乐商贸有限公司
571,北京厨邦厨房设备有限公司
572,北京容享畅食餐饮管理有限公司
573,北京智云聚合科技发展有限公司
574,北京杆珑商贸有限公司
575,北京歆裕商贸有限公司
576,中杭信科（北京）科技有限公司
577,北京格杉酒店管理有限公司
578,北京靳琨商贸有限公司
579,北京鸿艳商务服务有限公司
580,北京金鑫利达建筑装饰有限公司
581,北京苏超达人力资源有限公司
582,北京艾盈酒店管理有限公司
583,北京润源云润商贸有限公司
584,北京鼎恒新美科技有限公司
585,北京国联融合科技有限公司
586,北京龙翔世纪商贸有限公司
587,瑞科斯（北京）体育文化传播有限公司
588,北京奇欣创飞科技有限公司
589,北京津邑建筑工程有限公司
590,北京惠瀚科技有限公司
591,北京辉朋友礼餐饮管理有限公司
592,北京珊月科贸有限公司
593,北京庚申建设工程有限公司
594,北京沐洁酒店管理有限公司
595,北京兴才华远商贸有限公司
596,北京万国领航出入境服务有限公司
597,北京立登克酒店管理有限公司
598,北京超耘商贸有限公司
599,北京晟都食品有限责任公司
600,北京沧海潮书店
601,北京中研国方吉健医药研究院
602,北京钰峰凯翼酒店管理有限公司
603,北京龙达兴旺国际贸易有限公司
604,北京长红装饰工程有限公司
605,北京广角佳业建筑工程有限公司
606,密云县白檀居民服务社经销部
607,北京望祥建坤来商贸有限公司
608,北京久润檀营供热有限公司
609,北京殿伟商贸有限公司
610,北京锐智远航科技有限公司
611,北京爱蓓诺森商贸有限公司
612,北京顺达宏伟装饰工程有限公司
613,北京新炜扬商贸有限公司
614,北京财基恒达商贸有限公司
615,北京益利昌商贸有限公司
616,北京寿星龙腾建筑工程有限公司
617,北京众圣晋商贸有限公司
618,北京东恒易达建材有限公司
619,北京皓腾烁商贸有限公司
620,北京世雅恒联商贸有限公司
621,北京市雷霆建筑声学装饰咨询中心
622,北京鑫春和商贸有限公司
623,北京龙筑房地产经纪有限公司第九分公司
624,北京精品皖美建筑装饰工程有限公司
625,北京京润盛装饰工程有限公司
626,北京力雅药研科技有限责任公司
627,北京顺欣承无机料厂
628,北京东方家家商贸有限公司第一百二十七分店
629,北京裕鑫达科技中心（有限合伙）
630,北京清友万隆商行
631,北京合众达资产管理中心（有限合伙）
632,北京东阳奥成商贸中心
633,北京石塘路工艺品厂
634,北京嘉言善行教育科技有限公司密云分公司
635,北京特普食品有限公司
636,北京利旺服装厂
637,北京鼎夏建筑工程有限公司
638,北京世纪冰峰装饰工程有限公司
639,北京申科可特商贸有限公司
640,北京国民天下股权投资管理中心（有限合伙）
641,北京银泰盛铭投资中心（有限合伙）
642,北京龙筑房地产经纪有限公司第一分公司
643,北京云山丽水旅游投资发展有限公司
644,北京华融和祥投资管理中心（有限合伙）
645,北京津天达房地产开发有限公司
646,北京金新裕通商贸有限公司
647,北京超动力商贸有限公司一分公司
648,北京神龙天宇科技有限公司
649,东信长恒（北京）文化有限公司
650,北京荣新程餐饮服务管理有限公司
651,北京军冶建材开发中心
652,北京创芯汇网络科技有限公司
653,北京超动力商贸有限公司二分公司
654,北京九州汇众商贸有限公司
655,北京荣盛昌华商贸有限公司
656,北京盛天宏润房地产经纪有限公司第二分公司
657,钓岛生态科技有限公司
658,北京龙筑房地产经纪有限公司第四分公司
659,北京众煊伟业商贸有限公司仁爱康乐体检中心
660,北京美亚益生投资有限公司
661,北京宜生源商务会馆有限责任公司
662,北京只点在线信息服务中心（有限合伙）
663,北京彩启丛林商贸有限公司
664,和谐置家（北京）房地产经纪有限公司第八分公司
665,北京金茂翼源商贸有限公司
666,北京密云巨各庄供销合作社焦家坞店
667,北京李青青建筑工程有限公司
668,北京雅宝睿智国际商贸有限公司
669,北京腾源林机械租赁有限公司
670,北京国信汇富投资管理中心（有限合伙）
671,北京明珠投资管理有限公司
672,北京湖西财富投资中心（有限合伙）
673,北京洋恒科技有限公司
674,北京中融华安投资管理中心（有限合伙）
675,北京龙筑房地产经纪有限公司第二分公司
676,北京芯盛高科贸有限公司
677,北京青维艺发商贸有限公司
678,北京宏景天成建筑装饰工程有限公司
679,北京丽源昌盛建材有限公司
680,北京达特音像制品销售中心
681,北京龙筑房地产经纪有限公司第十分公司
682,北京合利通汽车租赁有限公司
683,北京恒汇银基资本管理中心（有限合伙）
684,北京中融富通投资管理中心（有限合伙）
685,北京宝千泰商贸有限公司
686,北京超动力商贸有限公司三分公司
687,北京天使时代科技有限公司
688,北京祥和伟业房地产经纪有限责任公司第二分公司
689,北京湖西嘉盛投资中心（有限合伙）
690,北京天羽嘉龙商贸有限公司
691,密云县太师屯印刷厂
692,北京洪云科技发展有限公司
693,北京文冠佑仑商贸有限公司
694,北京市密云县振兴建筑工程公司
695,北京洪福丰华商贸有限公司
696,北京铭华久驰工程管理有限公司
697,北京远扬伟业装饰工程有限公司
698,北京钜澎扬帆投资中心（有限合伙）
699,北京泰信财富金融服务外包有限公司
700,北京洪坡心怡建材有限公司
701,北京市红星黄佳印刷厂
702,和谐置家（北京）房地产经纪有限公司和谐沿湖分公司
703,北京市密云县南菜园粉丝厂
704,北京慢趣科技有限公司
705,北京铭泰嘉信商贸有限公司
706,北京晶石星火建筑工程有限公司
707,北京凯特嘉华商贸有限公司
708,北京祥通商贸有限公司
709,北京万宝浩涵商贸有限公司
710,北京龙筑房地产经纪有限公司第三分公司
711,北京中金恒盈投资中心（有限合伙）
712,北京麦锐金科技有限公司
713,北京华安融合投资管理中心（有限合伙）
714,北京湖西恒盛投资中心（有限合伙）
715,北京华泰银安投资管理中心（有限合伙）
716,北京令娟建筑工程有限公司
717,哈移视界（北京）医疗科技有限公司
718,北京超动力商贸有限公司第四分公司
719,北京军军建筑工程有限公司
720,北京智伟华通商贸中心（普通合伙）
721,北京龙筑房地产经纪有限公司第八分公司
722,北京龙筑房地产经纪有限公司第十二分公司
723,北京中鑫智通文化传媒有限公司
724,北京融联投资担保有限公司
725,北京新网丰梦广告有限公司
726,北京梦婷建筑工程有限公司
727,北京华瑞建科建筑技术研究中心
728,北京大禹工贸公司农机修理部
729,北京中富纳森园林绿化有限公司
730,北京鸿发鑫顺商贸有限公司
731,北京泽睿餐饮服务有限公司
732,北京中达万荣建筑工程有限公司
733,北京恒宇嘉升商贸有限公司
734,北京喜忠建筑工程有限公司
735,德尚怡华贸易（北京）有限公司
736,北京龙筑房地产经纪有限公司第五分公司
737,北京新兴经济科技服务中心
738,北京点乐资讯广告中心（有限合伙）
739,北京赛奥斯医学文化交流中心
740,北京恒华伟业建筑工程有限公司
741,北京碧山美水农业科技发展有限公司
742,北京昌星绿行商贸有限公司
743,北京锦佳鼎峰工程技术服务有限公司
744,北京东方家家商贸有限公司第一百四十五分店
745,北京裕华宝捷商贸有限公司
746,北京合众德康商贸有限公司
747,北京金益达音商贸有限公司
748,辉德（北京）建筑有限公司
749,北京高岭跃兴木制品厂
750,北京汇福广发商贸有限公司
751,北京郦城嘉业商贸有限公司
752,北京海内择贤酒店管理有限公司
753,东钰（北京）建筑工程有限公司
754,北京龙筑房地产经纪有限公司第十一分公司
755,北京宾至酒店管理咨询有限公司
756,北京美科威商贸有限公司
757,中仪蓝天（北京）自动化仪表有限公司
758,北京中澳联科技发展中心
759,新华延保（北京）技术服务有限公司
760,北京高学荣建筑工程有限公司
761,北京市密云石城电管站
762,北京容创润通商贸有限公司
763,北京欧阁乐佳家具有限公司第一分公司
