统一社会信用代码,企业名称,所属行政区
911101086631036000 ,新奥特（北京）视频技术有限公司,海淀区
911101086631154000 ,北京扬德环保能源科技股份有限公司,海淀区
91110108664619674E,北京速迈医疗科技有限公司,海淀区
911101086646357000 ,北京信而泰科技股份有限公司,海淀区
91110108665601943X,北京曼德克环境科技有限公司,海淀区
91110108666258040N,中瑞恒（北京）科技有限公司,海淀区
91110108666288688W,北京天地和兴科技有限公司,海淀区
9111010866754134X5,北京聚通达科技股份有限公司,海淀区
91110108668438264J,北京优诺信创科技有限公司,海淀区
911101086684483000 ,北斗天汇（北京）科技有限公司,海淀区
911101086691003000 ,北京天维信通科技股份有限公司,海淀区
91110108669918390J,北京航宇创通技术股份有限公司,海淀区
91110108670550116N,北京瑞风协同科技股份有限公司,海淀区
911101086705664000 ,北京和信瑞通电力技术股份有限公司,海淀区
91110108671727577D,北京迪蒙数控技术有限责任公司,海淀区
911101086723550000 ,美芯晟科技（北京）股份有限公司,海淀区
911101086738170000 ,北京宝兰德软件股份有限公司,海淀区
911101086766253000 ,北京锐马视讯科技有限公司,海淀区
911101086766404000 ,联泰集群（北京）科技有限责任公司,海淀区
91110108679611421U,大禹伟业（北京）国际科技有限公司,海淀区
911101086796241000 ,北京维德维康生物技术有限公司,海淀区
91110108685756096T,北京达美盛软件股份有限公司,海淀区
91110108685773283M,北京安华金和科技有限公司,海淀区
91110108685799555L,北京英泰智科技股份有限公司,海淀区
91110108686900942M,和芯星通科技（北京）有限公司,海淀区
91110108690037272G,北京中宸微电子有限公司,海淀区
91110108693213091F,北京赛诺膜技术有限公司,海淀区
911101086950387000 ,北京呈创科技股份有限公司,海淀区
9111010869504894XN,北京中持绿色能源环境技术有限公司,海淀区
91110108696323261L,北京同创永益科技发展有限公司,海淀区
911101086996126000 ,中科天玑数据科技股份有限公司,海淀区
91110108699627252X,北京理工雷科电子信息技术有限公司,海淀区
911101087000327000 ,北京今大禹环境技术股份有限公司,海淀区
91110108700313227Y,北京中科汇联科技股份有限公司,海淀区
91110108717742394A,大唐融合通信股份有限公司,海淀区
91110108718777804Y,拓尔思天行网安信息技术有限责任公司,海淀区
91110108718785556J,北京格林威尔科技发展有限公司,海淀区
91110108721479568X,北京圣博润高新技术股份有限公司,海淀区
91110108722617934K,北京中科科仪股份有限公司,海淀区
9111010872357215XK,北京中科飞鸿科技股份有限公司,海淀区
91110108723952478G,北京和利时电机技术有限公司,海淀区
911101087239689000 ,北京亚控科技发展有限公司,海淀区
91110108723968939Y,北京捷通华声科技股份有限公司,海淀区
91110108726340020Q,大唐微电子技术有限公司,海淀区
9111010872636740X9,北京怡和嘉业医疗科技股份有限公司,海淀区
91110108733488090T,北京东方瑞威科技发展股份有限公司,海淀区
911101087351280000 ,曙光数据基础设施创新技术（北京）股份有限公司,海淀区
9111010873559070X0,北京索英电气技术有限公司,海淀区
91110108735591489G,北京鑫康辰医学科技发展有限公司,海淀区
91110108737656338N,北京致远互联软件股份有限公司,海淀区
911101087376669000 ,北京天地人环保科技有限公司,海淀区
91110108737681533M,中电普信（北京）科技发展有限公司,海淀区
91110108738240764W,机科发展科技股份有限公司,海淀区
91110108740421820F,北京开普云信息科技有限公司,海淀区
91110108742342210W,凌云光技术股份有限公司,海淀区
91110108745465769L,北京中鼎恒业科技股份有限公司,海淀区
91110108746115322U,北京数码大方科技股份有限公司,海淀区
9111010874672948XF,中关村科学城城市大脑股份有限公司,海淀区
91110108746729965F,北京亿赛通科技发展有限责任公司,海淀区
91110108747514552K,北京海泰方圆科技股份有限公司,海淀区
9111010875130307XM,北京金轮坤天特种机械有限公司,海淀区
91110108753333117L,北京国舜科技股份有限公司,海淀区
9111010875333972X7,北京月新时代科技股份有限公司,海淀区
91110108754181864H,北京石晶光电科技股份有限公司,海淀区
9111010875467591XH,北京丹华昊博电力科技有限公司,海淀区
91110108756043078T,北京神州普惠科技股份有限公司,海淀区
91110108756734135L,亿海蓝（北京）数据技术股份公司,海淀区
91110108758242935T,北京全四维动力科技有限公司,海淀区
911101087582455000 ,北京和升达信息安全技术有限公司,海淀区
91110108760138969U,北京世纪航凯电力科技股份有限公司,海淀区
911101087601419000 ,北京伽略电子股份有限公司,海淀区
91110108762181186P,北京九天利建信息技术股份有限公司,海淀区
911101087629781000 ,清大国华环境集团股份有限公司,海淀区
91110108765545862U,北京确安科技股份有限公司,海淀区
9111010876628238XW,北京和隆优化科技股份有限公司,海淀区
91110108766287121Q,泰瑞数创科技（北京）有限公司,海淀区
911101087675309000 ,北京国基科技股份有限公司,海淀区
911101087684682000 ,北京神州飞航科技有限责任公司,海淀区
91110108768471723F,北京华龙通科技有限公司,海淀区
91110108769354705D,北京美尔斯通科技发展股份有限公司,海淀区
91110108769356188B,北京国科环宇科技股份有限公司,海淀区
91110108769900489W,奥精医疗科技股份有限公司,海淀区
91110108770405039J,北京明朝万达科技股份有限公司,海淀区
911101087719621000 ,北京固鸿科技有限公司,海淀区
91110108771986242H,北京江南天安科技有限公司,海淀区
91110108773361465H,北京北科天绘科技有限公司,海淀区
911101087740615000 ,北京眼神智能科技有限公司,海淀区
91110108774714285P,北京波尔通信技术股份有限公司,海淀区
91110108774730509F,昆仑太科（北京）技术股份有限公司,海淀区
91110108776352708P,北京华创瑞风空调科技有限公司,海淀区
91110108776388751R,北京海天瑞声科技股份有限公司,海淀区
9111010877766050XL,北京中科海讯数字科技股份有限公司,海淀区
9111010877767512XU,北京嘉和美康信息技术有限公司,海淀区
91110108779512973K,北京拓盛电子科技有限公司,海淀区
91110108780217285R,北京中科国信科技股份有限公司,海淀区
91110108780955384Y,北京清畅电力技术股份有限公司,海淀区
91110108780964686N,北京博能科技股份有限公司,海淀区
91110108780982729G,北京中讯四方科技股份有限公司,海淀区
91110108780992804C,安荣信科技（北京）股份有限公司,海淀区
91110108783218849X,北京九章环境工程股份有限公司,海淀区
911101087839528000 ,北京科太亚洲生态科技股份有限公司,海淀区
911101087861701000 ,北京约顿气膜建筑技术股份有限公司,海淀区
91110108787791431E,北京中宏立达科技发展有限公司,海淀区
911101087921081000 ,北京摩诘创新科技股份有限公司,海淀区
91110108792119324G,北京国金源富科技有限公司,海淀区
911101087934019000 ,昆腾微电子股份有限公司,海淀区
91110108793443943B,北京博源恒芯科技股份有限公司,海淀区
911101087951375000 ,三环永磁（北京）科技有限公司,海淀区
91110108797552733T,中科方德软件有限公司,海淀区
91110108797556902W,圣邦微电子（北京）股份有限公司,海淀区
911101087990254000 ,北京中航科电测控技术股份有限公司,海淀区
91110108799043123N,中科星图维天信科技股份有限公司,海淀区
911101088019125000 ,北京北冶功能材料有限公司,海淀区
91110108802012337E,北京奥特美克科技股份有限公司,海淀区
91110108802021110U,北京思创贯宇科技开发有限公司,海淀区
911101088020333000 ,北京宏动科技股份有限公司,海淀区
91110108802045657E,北京北化高科新技术股份有限公司,海淀区
91110108802056401A,航天科工（北京）空间信息应用股份有限公司,海淀区
91110108802068007C,北京神网创新科技有限公司,海淀区
911101088020726000 ,北京中庆现代技术股份有限公司,海淀区
91110108802109673L,北京国瑞升科技股份有限公司,海淀区
91110108MA00175970,众芯汉创（北京）科技有限公司,海淀区
91110108MA001N718J,易显智能科技有限责任公司,海淀区
91110108MA00214N4T,北京天圣华信息技术有限责任公司,海淀区
91110108MA0021P69M,北京忆芯科技有限公司,海淀区
91110108MA002TK47B,北京理工新源信息科技有限公司,海淀区
91110108MA002TM238,安泰环境工程技术有限公司,海淀区
91110108MA002XL790,推想医疗科技股份有限公司,海淀区
91110108MA00324D04,中科三清科技有限公司,海淀区
91110108MA003LNY5D,北京佳格天地科技有限公司,海淀区
91110108MA003REE04,北京中安星云软件技术有限公司,海淀区
91110108MA003TAB64,北京凝思软件股份有限公司,海淀区
91110108MA003YWP4D,芯洲科技（北京）有限公司,海淀区
91110108MA0043KP9E,北京维卓致远医疗科技发展有限责任公司,海淀区
91110108MA0044LB3C,北京兰云科技有限公司,海淀区
91110108MA004HMY3K,北京声智科技有限公司,海淀区
91110108MA004RAE05,国开启科量子技术（北京）有限公司,海淀区
91110108MA0053WG7U,灵动科技（北京）有限公司,海淀区
91110108MA005XTL0T,北京科来数据分析有限公司,海淀区
91110108MA0061UDXG,北京观微科技有限公司,海淀区
91110108MA0068GT08,北京中航通用科技有限公司,海淀区
91110108MA0071CR55,北京轻网科技有限公司,海淀区
91110108MA007CCY2G,北京中科富海低温科技有限公司,海淀区
91110108MA007NW87C,北京安帝科技有限公司,海淀区
91110108MA0086HR6G,梅卡曼德（北京）机器人科技有限公司,海淀区
91110108MA008DA429,芯视界（北京）科技有限公司,海淀区
91110108MA008H146F,中咨数据有限公司,海淀区
91110108MA008PK575,北京航天驭星科技有限公司,海淀区
91110108MA008Q837U,北京珞安科技有限责任公司,海淀区
91110108MA0092QT4X,海若斯（北京）环境科技有限公司,海淀区
91110108MA00968A5J,北京炎黄国芯科技有限公司,海淀区
91110108MA00A1P468,华夏高铁技术有限公司,海淀区
91110108MA00AU927M,北京偶数科技有限公司,海淀区
91110108MA00BJ754T,慧之安信息技术股份有限公司,海淀区
91110108MA00CPWN29,北京中科闻歌科技股份有限公司,海淀区
91110108MA00D08D59,禾多科技（北京）有限公司,海淀区
91110108MA00DCJ01Y,北京思路智园科技有限公司,海淀区
91110108MA00F6BM5D,北京信长城科技发展有限公司,海淀区
91110108MA00FA7E5C,北京科健生物技术有限公司,海淀区
91110108MA00GUD41A,北京微纳星空科技有限公司,海淀区
91110108MA017GNJ19,长扬科技（北京）股份有限公司,海淀区
91110108MA0188DW84,北京百瑞互联技术有限公司,海淀区
91110108MA0188UJXA,北京知存科技有限公司,海淀区
91110108MA018J4L08,北京医准智能科技有限公司,海淀区
91110108MA0191HT5L,北京泽石科技有限公司,海淀区
91110108MA019JK81U,北京石墨烯研究院有限公司,海淀区
91110108MA019MEKX7,中科长城海洋信息系统有限公司,海淀区
91110108MA01ABU2XY,北京华顺信安科技有限公司,海淀区
91110108MA01B89L9F,零犀（北京）科技有限公司,海淀区
91110108MA01BBB16K,北京六方云信息技术有限公司,海淀区
91110108MA01BP1P7B,中科驭数（北京）科技有限公司,海淀区
91110108MA01C3U537,北京易控智驾科技有限公司,海淀区
91110108MA01C8JR79,中科星睿科技（北京）有限公司,海淀区
91110108MA01DNC75B,北京瑞莱智慧科技有限公司,海淀区
91110108MA01DPC38P,北京清微智能科技有限公司,海淀区
91110108MA01DWQM1W,北京华龛生物科技有限公司,海淀区
91110108MA01EGPQX2,华控清交信息科技（北京）有限公司,海淀区
91110108MA01FUT49P,北京深势科技有限公司,海淀区
91110108MA01HLYM4D,清云智通（北京）科技有限公司,海淀区
91110108MA01HQR628,北京紫光青藤微系统有限公司,海淀区
91110108MA01NU62X8,钢研昊普科技有限公司,海淀区
91110108X00383785B,北京大清生物技术股份有限公司,海淀区
91110111MA01G7581D,北京源堡科技有限公司,海淀区
91110111MA01L2H65N,银河航天（北京）网络技术有限公司,海淀区
91110114MA018QQ91J,北京一径科技有限公司,海淀区
91110114MA01BAJ65U,北京桦冠生物技术有限公司,海淀区
91110114MA01HCLP19,飞诺门阵（北京）科技有限公司,海淀区
91110228MA006GMF6R,银河水滴科技（北京）有限公司,海淀区
91110302764222236K,北京中交兴路信息科技有限公司,海淀区
91513431MA62HC8C4X,北京远鉴信息技术有限公司,海淀区
