北京市房山区卫生健康委2024年度行政许可公示台账（2024.1.1-2024.4.30）,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
32,房山区卫生健康委员会,北京佛枣酒店管理有限公司,92110111L5805512XR,房卫环许字[2024]第032号,2024-01-24 00:00:00,是,是
33,房山区卫生健康委员会,北京云隐珊舍文化传播有限公司,91110111MAD8PL5G4M,房卫环许字[2024]第030号,2024-01-23 00:00:00,是,是
34,房山区卫生健康委员会,山行集（北京）酒店管理有限公司,91110111MA020KEE7N,房卫环许字[2024]第029号,2024-01-22 00:00:00,是,是
35,房山区卫生健康委员会,北京德隆泰物业管理有限公司,911101117552672211,房卫水许字[2023]第304号,2024-01-05 00:00:00,是,是
36,房山区卫生健康委员会,北京市房山区良乡医院,12110111400911989H,房卫水许字[2023]第303号,2024-01-04 00:00:00,是,是
37,房山区卫生健康委员会,北京市房山区诺德安达学校,52110111MJ0309170U,房卫水许字[2023]第302号,2024-01-04 00:00:00,是,是
38,房山区卫生健康委员会,北京市鼎泽物业管理有限责任公司长阳分公司,91110111085493528X,房卫水许字[2023]第300号,2024-01-04 00:00:00,是,是
39,房山区卫生健康委员会,北京市鼎泽物业管理有限责任公司长阳分公司,91110111085493528X,房卫水许字[2023]第301号,2024-01-04 00:00:00,是,是
40,房山区卫生健康委员会,北京天鸿宝地物业管理经营有限公司第四分公司,91110111082822971E,房卫水许字[2024]第014号,2024-01-12 00:00:00,是,是
41,房山区卫生健康委员会,北京浩然混凝土有限公司,911101117675160612,房卫水许字[2024]第013号,2024-01-12 00:00:00,是,是
42,房山区卫生健康委员会,北京理工大学,12100000400009127B,房卫水许字[2024]第012号,2024-01-12 00:00:00,是,是
43,房山区卫生健康委员会,北京理工大学,12100000400009127B,房卫水许字[2024]第011号,2024-01-12 00:00:00,是,是
44,房山区卫生健康委员会,北京华特物业管理发展有限公司,911101151011831335,房卫水许字[2024]第010号,2024-01-08 00:00:00,是,是
45,房山区卫生健康委员会,深圳市花样年国际住宅物业服务有限公司北京分公司,911101050717287369,房卫水许字[2024]第009号,2024-01-09 00:00:00,是,是
46,房山区卫生健康委员会,深圳市花样年国际住宅物业服务有限公司北京分公司,911101050717287369,房卫水许字[2024]第008号,2024-01-09 00:00:00,是,是
47,房山区卫生健康委员会,深圳市花样年国际住宅物业服务有限公司北京分公司,911101050717287369,房卫水许字[2024]第007号,2024-01-09 00:00:00,是,是
48,房山区卫生健康委员会,深圳市花样年国际住宅物业服务有限公司北京分公司,911101050717287369,房卫水许字[2024]第006号,2024-01-09 00:00:00,是,是
49,房山区卫生健康委员会,深圳市花样年国际住宅物业服务有限公司北京分公司,911101050717287369,房卫水许字[2024]第005号,2024-01-09 00:00:00,是,是
50,房山区卫生健康委员会,深圳市花样年国际住宅物业服务有限公司北京分公司,911101050717287369,房卫水许字[2024]第004号,2024-01-09 00:00:00,是,是
51,房山区卫生健康委员会,中国社会科学院大学,121000004000107779,房卫水许字[2024]第001号,2024-01-12 00:00:00,是,是
52,房山区卫生健康委员会,北京市自来水集团良泉水业有限公司,911100007426428629,房卫水许字[2024]第002号,2024-01-08 00:00:00,是,是
53,房山区卫生健康委员会,北京市自来水集团良泉水业有限公司,911100007426428629,房卫水许字[2024]第003号,2024-01-08 00:00:00,是,是
54,房山区卫生健康委员会,北京市房山区张坊镇张坊中心小学,121101114009100897,房卫水许字[2024]第019号,2024-01-19 00:00:00,是,是
55,房山区卫生健康委员会,北京邦泰达高尔夫球场管理有限公司,9111011174041863X4,房卫水许字[2024]第016号,2024-01-19 00:00:00,是,是
56,房山区卫生健康委员会,北京市房山区机关事务服务中心,12110111400914231H,房卫水许字[2024]第015号,2024-01-15 00:00:00,是,是
57,房山区卫生健康委员会,中国核电工程有限公司,911100001000027329,房卫水许字[2024]第017号,2024-01-24 00:00:00,是,是
58,房山区卫生健康委员会,北京市均豪物业管理股份有限公司,911101171011953295,房卫水许字[2024]第021号,2024-01-30 00:00:00,是,是
59,房山区卫生健康委员会,北京市均豪物业管理股份有限公司,911101171011953295,房卫水许字[2024]第022号,2024-01-30 00:00:00,是,是
60,房山区卫生健康委员会,北京良开物业管理有限公司,9111011159238748XA,房卫水许字[2024]第018号,2024-01-29 00:00:00,是,是
61,房山区卫生健康委员会,北京山涧旧时住宿服务中心（个体工商户）,92110111MAD9EY8F1E,房卫环许字[2023]第039号,2024-02-05 00:00:00,是,是
62,房山区卫生健康委员会,富海昌盛（北京）商贸有限公司,92110111MA00P6X85B,房卫环许字[2023]第038号,2024-02-04 00:00:00,是,是
63,房山区卫生健康委员会,北京悦荟文化传播有限公司,91110111MAD3E0448W,房卫环许字[2023]第037号,2024-02-02 00:00:00,是,是
64,房山区卫生健康委员会,北京佳泽龙达商贸有限公司,91110111MAC10G7F0C,房卫环许字[2023]第036号,2024-02-02 00:00:00,是,是
65,房山区卫生健康委员会,北京绿锦园农业观光有限公司,91110111MA01W8XD0U,房卫环许字[2023]第035号,2024-02-02 00:00:00,是,是
66,房山区卫生健康委员会,北京锦华嘉诚酒店有限公司,91110111MACPMX3X0D,房卫环许字[2023]第034号,2024-02-02 00:00:00,是,是
67,房山区卫生健康委员会,北京中医药大学,12100000400008300P,房卫水许字[2024]第020号,2024-02-05 00:00:00,是,是
68,房山区卫生健康委员会,长城物业集团股份有限公司北京物业管理分公司,911101058019986912,房卫水许字[2024]第023号,2024-02-04 00:00:00,是,是
69,房山区卫生健康委员会,长城物业集团股份有限公司北京物业管理分公司,911101058019986912,房卫水许字[2024]第024号,2024-02-04 00:00:00,是,是
70,房山区卫生健康委员会,北京芬缇美颜科技有限公司,91110111MA01LFWW96,房卫环许字[2023]第051号,2024-02-23 00:00:00,是,是
71,房山区卫生健康委员会,北京鑫睿美容美发有限公司,91110111MA00G5F2XM,房卫环许字[2023]第050号,2024-02-22 00:00:00,是,是
72,房山区卫生健康委员会,北京市房山区十渡镇八渡村张宝燕农家院饭馆,92110111MA00RUH39M,房卫环许字[2023]第049号,2024-02-22 00:00:00,是,是
73,房山区卫生健康委员会,北京市房山区十渡镇八渡村齐士红农家院饭馆,92110111MA00RUH47G,房卫环许字[2023]第046号,2024-02-22 00:00:00,是,是
74,房山区卫生健康委员会,北京市房山区十渡镇八渡村刘秀英农家院饭馆,92110111MA00RUH98Q,房卫环许字[2023]第048号,2024-02-22 00:00:00,是,是
75,房山区卫生健康委员会,北京市房山区十渡滨河餐厅,92110111MA00LCCY92,房卫环许字[2023]第047号,2024-02-22 00:00:00,是,是
76,房山区卫生健康委员会,北京市房山区十渡步步高饭店,92110111MA00D7B74T,房卫环许字[2023]第045号,2024-02-22 00:00:00,是,是
77,房山区卫生健康委员会,韩舍壹号（北京）旅游文化有限公司,91110111MA04DELE8H,房卫环许字[2023]第040号,2024-02-21 00:00:00,是,是
78,房山区卫生健康委员会,北京承运景天科技有限公司,911101110975544711,房卫环许字[2023]第044号,2024-02-21 00:00:00,是,是
79,房山区卫生健康委员会,北京米谰美容美发科技有限公司,91110111MACN54J68G,房卫环许字[2023]第043号,2024-02-20 00:00:00,是,是
80,房山区卫生健康委员会,北京木烁造型有限公司,91110111MACE78HMX3,房卫环许字[2023]第042号,2024-02-20 00:00:00,是,是
81,房山区卫生健康委员会,北京美尼美容美发有限公司,92110111MA00R8P05Y,房卫环许字[2023]第041号,2024-02-19 00:00:00,是,是
82,房山区卫生健康委员会,北京京房苏宁电器有限公司,91110111569511649C,房卫水许字[2024]第026号,2024-02-21 00:00:00,是,是
83,房山区卫生健康委员会,北京京房苏宁电器有限公司,91110111569511649C,房卫水许字[2024]第027号,2024-02-21 00:00:00,是,是
84,房山区卫生健康委员会,北京槠榆树家园物业管理有限公司,91110111697749379R,房卫水许字[2024]第025号,2024-02-09 00:00:00,是,是
85,房山区卫生健康委员会,北京妮佳美容院,92110111MA00F0NX50,房卫环许字[2023]第057号,2024-02-29 00:00:00,是,是
86,房山区卫生健康委员会,北京未妍养生科技有限公司,91110111MAD29T9590,房卫环许字[2023]第056号,2024-02-28 00:00:00,是,是
87,房山区卫生健康委员会,北京添添加商贸有限公司,92110111L33943809F,房卫环许字[2023]第055号,2024-02-28 00:00:00,是,是
88,房山区卫生健康委员会,北京兴宸荣景酒店管理有限公司,91110111MA01J7MB0P,房卫环许字[2023]第054号,2024-02-27 00:00:00,是,是
89,房山区卫生健康委员会,北京振兴君新商贸中心（个体工商户）,92110111MAD9BC562X,房卫环许字[2023]第052号,2024-02-26 00:00:00,是,是
90,房山区卫生健康委员会,北京朝天美容美发有限公司,92110111L687594894,房卫环许字[2024]第061号,2024-03-07 00:00:00,是,是
91,房山区卫生健康委员会,北京华冠商业科技发展有限公司七十二分店,91110111MA020CLH40,房卫环销字[2023]第059号,2024-03-06 00:00:00,是,是
92,房山区卫生健康委员会,北京安阁娜阳化妆品销售店（个体工商户）,92110111MAD9JP8E69,房卫环许字[2024]第060号,2024-03-06 00:00:00,是,是
93,房山区卫生健康委员会,北京温馨久久快捷酒店有限公司,91110111MA01FXDJ82,房卫环许字[2024]第058号,2024-03-05 00:00:00,是,是
94,房山区卫生健康委员会,北京尚艺名剪美容美发有限公司,91110111MA00GB0D0D,房卫环许字[2024]第074号,2024-03-15 00:00:00,是,是
95,房山区卫生健康委员会,北京臻汇美美容美发有限公司,91110111MADE449B3W,房卫环许字[2024]第073号,2024-03-15 00:00:00,是,是
96,房山区卫生健康委员会,北京八零九零造型美发中心（个体工商户）,92110111MADBQFGEXP,房卫环许字[2024]第072号,2024-03-14 00:00:00,是,是
97,房山区卫生健康委员会,北京梦竟美容美发有限公司,91110111MADB1D4R8G,房卫环许字[2024]第071号,2024-03-14 00:00:00,是,是
98,房山区卫生健康委员会,北京玫瑰情人理发店,92110111MA00X3YA3M,房卫环许字[2024]第069号,2024-03-14 00:00:00,是,是
99,房山区卫生健康委员会,北京俊岩红燕理发用品店,92110111MA00T7AK1W,房卫环许字[2024]第070号,2024-03-14 00:00:00,是,是
100,房山区卫生健康委员会,北京星艺美容美发有限公司,91110111MA0198UK3W,房卫环许字[2024]第068号,2024-03-14 00:00:00,是,是
101,房山区卫生健康委员会,北京思美丽妍美容有限公司,91110111MA01PQGK05,房卫环许字[2024]第067号,2024-03-13 00:00:00,是,是
102,房山区卫生健康委员会,北京古贝奇商贸有限公司,91110111MA01HXAA62,房卫环许字[2024]第066号,2024-03-13 00:00:00,是,是
103,房山区卫生健康委员会,北京春臣名绣美容美发有限公司,91110111MA01QP606U,房卫环许字[2024]第065号,2024-03-12 00:00:00,是,是
104,房山区卫生健康委员会,北京京华丽人美容美发有限公司,91110111MA0037HK4Y,房卫环许字[2024]第064号,2024-03-11 00:00:00,是,是
105,房山区卫生健康委员会,北京市房山区顺发百货商场,91110111102756829Q,房卫环许字[2024]第063号,2024-03-11 00:00:00,是,是
106,房山区卫生健康委员会,北京同峰源商贸有限公司,911101116977270738,房卫环许字[2024]第053号,2024-03-11 00:00:00,是,是
107,房山区卫生健康委员会,北京娇飒美容管理有限公司,91110111MAD5YW630R,房卫环许字[2024]第062号,2024-03-11 00:00:00,是,是
108,房山区卫生健康委员会,北京艺镜美容美发有限公司,91110111MACF7D2M9N,房卫环许字[2024]第084号,2024-03-22 00:00:00,是,是
109,房山区卫生健康委员会,竞优（北京）酒店有限公司,91110111MACUMP1Y9X,房卫环许字[2024]第079号,2024-03-21 00:00:00,是,是
110,房山区卫生健康委员会,北京米时升百货店（个体工商户）,92110111MA00Q05K4P,房卫环许字[2024]第082号,2024-03-21 00:00:00,是,是
111,房山区卫生健康委员会,北京锦芳食品有限公司,91110111MA01ENXR8R,房卫环许字[2024]第081号,2024-03-21 00:00:00,是,是
112,房山区卫生健康委员会,北京三三九科技有限公司,91110116MA01BWKQ53,房卫环许字[2024]第080号,2024-03-20 00:00:00,是,是
113,房山区卫生健康委员会,北京祥云来农家院饭庄,92110111MA00TU3L8C,房卫环许字[2024]第078号,2024-03-19 00:00:00,是,是
114,房山区卫生健康委员会,北京护俪港湾美容美发有限公司,91110111MA00EUDN67,房卫环许字[2024]第077号,2024-03-18 00:00:00,是,是
115,房山区卫生健康委员会,北京顺鑫昌科技有限公司,91110111MABYPTH60T,房卫环许字[2024]第076号,2024-03-18 00:00:00,是,是
116,房山区卫生健康委员会,北京昊天永利体育文化传播有限公司,91110111MADBKQH254,房卫环许字[2024]第075号,2024-03-18 00:00:00,是,是
117,房山区卫生健康委员会,北京玲诺美容美发有限公司,91110111MA04BJAC4P,房卫环许字[2024]第105号,2024-03-29 00:00:00,是,是
118,房山区卫生健康委员会,北京张坊大河农家院饭庄,92110111MA00G7FB9C,房卫环许字[2024]第104号,2024-03-29 00:00:00,是,是
119,房山区卫生健康委员会,北京龙源金典洗浴部,92110111MA014MA70T,房卫环许字[2024]第103号,2024-03-28 00:00:00,是,是
120,房山区卫生健康委员会,北京诺美美容美发有限公司,91110111MADDT3M84H,房卫环许字[2024]第101号,2024-03-28 00:00:00,是,是
121,房山区卫生健康委员会,北京君悦伙伴电子游艺厅,91110111067281388M,房卫环许字[2024]第102号,2024-03-28 00:00:00,是,是
122,房山区卫生健康委员会,北京甜嘉管理技术有限公司,91110111MAD8A5L69Y,房卫环许字[2024]第100号,2024-03-28 00:00:00,是,是
123,房山区卫生健康委员会,北京嘉剪时代美发中心,91110111MA01M1QE0P,房卫环许字[2024]第098号,2024-03-28 00:00:00,是,是
124,房山区卫生健康委员会,北京十渡中天商贸有限公司,91110111MA01CY3G61,房卫环许字[2024]第097号,2024-03-27 00:00:00,是,是
125,房山区卫生健康委员会,北京剪约艺名美发有限公司,91110111MA00HB2H1P,房卫环许字[2024]第095号,2024-03-27 00:00:00,是,是
126,房山区卫生健康委员会,北京首艺创兴美容美发管理有限公司,91110111MACXLDY212,房卫环许字[2024]第096号,2024-03-27 00:00:00,是,是
127,房山区卫生健康委员会,北京艾荟美企业管理有限公司第一分店,91110111MA7H5L907U,房卫环许字[2024]第093号,2024-03-27 00:00:00,是,是
128,房山区卫生健康委员会,北京晓岳美发中心,91110111MA0039CW6G,房卫环许字[2024]第092号,2024-03-26 00:00:00,是,是
129,房山区卫生健康委员会,北京雅颜轩美容中心（个体工商户）,92110111MADD7C4D54,房卫环许字[2024]第091号,2024-03-25 00:00:00,是,是
130,房山区卫生健康委员会,北京鑫隆兴旺餐饮服务有限公司,91110111MA01CWWW6W,房卫环许字[2024]第089号,2024-03-25 00:00:00,是,是
131,房山区卫生健康委员会,东方尚品（北京）造型设计有限公司,91110111MADC0X271B,房卫环许字[2024]第090号,2024-03-25 00:00:00,是,是
132,房山区卫生健康委员会,北京兰景丽华美容有限公司,91110111MA018HHQ95,房卫环许字[2024]第087号,2024-03-25 00:00:00,是,是
133,房山区卫生健康委员会,北京美时渼刻美容美发中心,92110111MACKTHEY9B,房卫环许字[2024]第088号,2024-03-25 00:00:00,是,是
134,房山区卫生健康委员会,北京迈向美科技有限公司,91110111MADCNBQP7K,房卫环许字[2024]第085号,2024-03-25 00:00:00,是,是
135,房山区卫生健康委员会,北京朵拉夕颜科技有限公司,91110111MA01G6NG9P,房卫环许字[2024]第086号,2024-03-25 00:00:00,是,是
136,房山区卫生健康委员会,首都师范大学附属中学实验学校,12110111MB058750XF,房卫水许字[2024]第035号,2024-03-06 00:00:00,是,是
137,房山区卫生健康委员会,北京市房山区琉璃河镇窑上村经济合作社,N21101115636196594,房卫水许字[2024]第028号,2024-03-08 00:00:00,是,是
138,房山区卫生健康委员会,北京玉亭房地产开发有限公司,91110111802344470A,房卫水许字[2024]第033号,2024-03-06 00:00:00,是,是
139,房山区卫生健康委员会,北京万科物业服务有限公司新里程家园物业服务中心,91110111076578706C,房卫水许字[2024]第034号,2024-03-06 00:00:00,是,是
140,房山区卫生健康委员会,北京金隅窦店科技企业管理有限公司,91110000101209137L,房卫水许字[2024]第032号,2024-03-01 00:00:00,是,是
141,房山区卫生健康委员会,北京市自来水集团良泉水业有限公司,911100007426428629,房卫水许字[2024]第030号,2024-03-01 00:00:00,是,是
142,房山区卫生健康委员会,北京市自来水集团良泉水业有限公司,911100007426428629,房卫水许字[2024]第029号,2024-03-01 00:00:00,是,是
143,房山区卫生健康委员会,北京市自来水集团良泉水业有限公司,911100007426428629,房卫水许字[2024]第031号,2024-03-06 00:00:00,是,是
144,房山区卫生健康委员会,北京市房山区琉璃河镇任营村经济合作社,N21101115658319954,房卫水许字[2024]第037号,2024-03-13 00:00:00,是,是
145,房山区卫生健康委员会,北京市房山区长阳镇水碾屯第一村社区股份经济合作社,N21101118027213608,房卫水许字[2024]第040号,2024-03-13 00:00:00,是,是
146,房山区卫生健康委员会,北京长阳兴业投资发展有限责任公司,91110111748145568U,房卫水许字[2024]第039号,2024-03-13 00:00:00,是,是
147,房山区卫生健康委员会,北京市鼎泽物业管理有限责任公司房山分公司,91110111556895786T,房卫水许字[2024]第038号,2024-03-12 00:00:00,是,是
148,房山区卫生健康委员会,北京隆阳宫水业有限公司,91110111L17647495J,房卫水许字[2024]第043号,2024-03-22 00:00:00,是,是
149,房山区卫生健康委员会,北京良工投资有限责任公司,911101117629738373,房卫水许字[2024]第042号,2024-03-22 00:00:00,是,是
150,房山区卫生健康委员会,北京乐一生蜂胶生化高新技术有限责任公司蜂胶厂,91110111666260503G,房卫水许字[2024]第041号,2024-03-22 00:00:00,是,是
151,房山区卫生健康委员会,北京鑫汇房地产开发有限公司,91110111MA01YENJ3D,房卫水许字[2024]第045号,2024-03-29 00:00:00,是,是
152,房山区卫生健康委员会,北京安佳瑞福物业管理有限责任公司,91110111750133240A,房卫水许字[2024]第049号,2024-03-29 00:00:00,是,是
153,房山区卫生健康委员会,北京港龙房地产开发有限责任公司,91110111741563193Q,房卫水许字[2024]第048号,2024-03-29 00:00:00,是,是
154,房山区卫生健康委员会,北京市房山区琉璃河镇辛庄村经济合作社,N2110111553083782G,房卫水许字[2024]第047号,2024-03-29 00:00:00,是,是
155,房山区卫生健康委员会,北京市房山区琉璃河镇肖场村经济合作社,N2110111565754723X,房卫水许字[2024]第046号,2024-03-29 00:00:00,是,是
156,房山区卫生健康委员会,北京金良兴业房地产开发有限公司,91110111MA00EH9P1R,房卫水许字[2024]第044号,2024-03-25 00:00:00,是,是
157,房山区卫生健康委员会,北京乐家乐购商贸有限公司,911101115858420501,房卫环许字[2024]第134号,2024-04-09 00:00:00,是,是
158,房山区卫生健康委员会,北京如琪美生商贸店,92110111MACTMXJE0P,房卫环许字[2024]第118号,2024-04-09 00:00:00,是,是
159,房山区卫生健康委员会,北京如琪美生商贸店,92110111MACTMXJE0P,房卫环许字[2024]第119号,2024-04-09 00:00:00,是,是
160,房山区卫生健康委员会,北京良乡飞跃建筑有限责任公司,91110111102795262W,房卫环许字[2024]第133号,2024-04-09 00:00:00,是,是
161,房山区卫生健康委员会,森美飞扬（北京）护肤造型有限公司,91110111MACLHD0KXH,房卫环许字[2024]第130号,2024-04-08 00:00:00,是,是
162,房山区卫生健康委员会,北京申美美容美发有限公司,911101113181392565,房卫环许字[2024]第128号,2024-04-08 00:00:00,是,是
163,房山区卫生健康委员会,北京弘和商贸有限公司,91110111MA00A5486P,房卫环许字[2024]第129号,2024-04-08 00:00:00,是,是
164,房山区卫生健康委员会,北京燕青春美容中心（个体工商户）,92110111MADCWT822B,房卫环许字[2024]第126号,2024-04-08 00:00:00,是,是
165,房山区卫生健康委员会,北京乐侨美肤美容店（个体工商户）,92110111MADEN3RD51,房卫环许字[2024]第127号,2024-04-08 00:00:00,是,是
166,房山区卫生健康委员会,北京创兴盛世汽车配件有限责任公司,91110111L37975162R,房卫环许字[2024]第125号,2024-04-08 00:00:00,是,是
167,房山区卫生健康委员会,北京龙小瑞造型美发店（个体工商户）,92110111MAD3N0J184,房卫环许字[2024]第124号,2024-04-07 00:00:00,是,是
168,房山区卫生健康委员会,北京十渡多米餐饮有限公司,91110111MAC353XR8A,房卫环许字[2024]第122号,2024-04-07 00:00:00,是,是
169,房山区卫生健康委员会,北京市房山区十渡镇七渡金源饭店,92110111MA00MBDBXJ,房卫环许字[2024]第123号,2024-04-07 00:00:00,是,是
170,房山区卫生健康委员会,北京青丝领秀美容美发中心,91110111MA00GQXD13,房卫环许字[2024]第120号,2024-04-07 00:00:00,是,是
171,房山区卫生健康委员会,北京龙丽美容美发中心,92110111MA01LBWE0U,房卫环许字[2024]第121号,2024-04-07 00:00:00,是,是
172,房山区卫生健康委员会,北京珺瑜璟美美容有限公司,91110111MA02AR8M8P,房卫环许字[2024]第113号,2024-04-07 00:00:00,是,是
173,房山区卫生健康委员会,北京华冠商业科技发展有限公司六分店,91110111MA01RN9L75,房卫环许字[2024]第111号,2024-04-07 00:00:00,是,是
174,房山区卫生健康委员会,北京馨悦熙美容美发中心（个体工商户）,92110111MADE982B72,房卫环许字[2024]第117号,2024-04-07 00:00:00,是,是
175,房山区卫生健康委员会,北京市房山区十渡镇八渡村隗有福农家院饭馆,92110111MA00RUHG5N,房卫环许字[2024]第115号,2024-04-03 00:00:00,是,是
176,房山区卫生健康委员会,北京周口店北京人遗址博物馆,12110111746126531K,房卫环许字[2024]第114号,2024-04-02 00:00:00,是,是
177,房山区卫生健康委员会,北京市金点点商贸有限责任公司第二十九分店,91110111MA0085YA2H,房卫环许字[2024]第112号,2024-04-02 00:00:00,是,是
178,房山区卫生健康委员会,北京华冠商业科技发展有限公司怡和南路店,91110111MA01TM7K40,房卫环许字[2024]第110号,2024-04-02 00:00:00,是,是
179,房山区卫生健康委员会,北京市金点点商贸有限责任公司第二十九分店,91110111MA0085YA2H,房卫环许字[2024]第108号,2024-04-02 00:00:00,是,是
180,房山区卫生健康委员会,北京山湖旺业商贸有限公司,92110111MA00PMKK47,房卫环许字[2024]第109号,2024-04-01 00:00:00,是,是
181,房山区卫生健康委员会,北京润红颜美业有限公司,91110111MAD0U2LY18,房卫环许字[2024]第83号,2024-04-01 00:00:00,是,是
182,房山区卫生健康委员会,北京杰顺芯怡美容美发有限公司,91110111MA01R02X8T,房卫环许字[2024]第94号,2024-04-01 00:00:00,是,是
183,房山区卫生健康委员会,维娜美妆（北京）商贸有限公司,91110111MA00AGC44A,房卫环许字[2024]第99号,2024-04-01 00:00:00,是,是
184,房山区卫生健康委员会,北京勾鹏形象设计中心,92110111MAC9KFL27U,房卫环许字[2024]第107号,2024-04-01 00:00:00,是,是
185,房山区卫生健康委员会,北京靓妆一寓美容有限公司,91110111MA00FHJL87,房卫环许字[2024]第106号,2024-04-01 00:00:00,是,是
186,房山区卫生健康委员会,北京天鸿宝地物业管理经营有限公司第四分公司,91110111082822971E,房卫水许字[2024]第059号,2024-04-08 00:00:00,是,是
