密云区2021年经认定的高新技术企业名单信息,,,
序号,企业名称,证书编号,所在区县/园区
109,北京奥科瑞丰节能技术有限公司,GR201911008747,密云区
110,北京伊德气膜建筑技术有限公司,GR201911005823,密云区
111,北京庆阳世纪科技有限公司,GR201911006956,密云区
112,北京福得伟业电梯维护有限公司,GR201911008798,密云区
113,北京顺天城达园林绿化有限公司,GR201911006343,密云区
114,北京金诚信矿山技术研究院有限公司,GR201911006106,密云区
115,北京天空卫士网络安全技术有限公司,GR201911008173,密云区
116,北京合众创思网络技术有限公司,GR201911005593,密云区
117,北京友宝昂莱科技有限公司,GR201911007585,密云区
118,北京首联信通科技有限公司,GR201911008309,密云区
119,北京蓝拓智能科技有限公司,GR201911006824,密云区
120,云峥（北京）科技发展有限公司,GR201911007953,密云区
121,中睿合和物联网技术（北京）有限公司,GR201911008242,密云区
122,站坐（北京）科技有限公司,GR201911007964,密云区
123,北京福源汇丰农副产品有限公司,GR201911007403,密云区
124,北京引信同城网络有限公司,GR201911007924,密云区
125,北京宝华泰安机电设备有限公司,GR201911007784,密云区
126,北京星云通力科技有限公司,GR201911006083,密云区
127,北京星网云际科技有限公司,GR201911008704,密云区
128,北京宏泰伟杰科技有限公司,GR201911007393,密云区
129,北京思锐佳科技有限公司,GR201911006055,密云区
130,北京鸿讯光通科技有限公司,GR201911007627,密云区
131,北京洛比小狸智能科技有限公司,GR201911006173,密云区
132,北京京密鸿图测绘有限公司,GR201911006937,密云区
133,北京天通新创科技有限公司,GR201911007312,密云区
134,帝之东方科技（北京）有限公司,GR201911007638,密云区
135,北京大觥科技有限公司,GR201911008572,密云区
136,北京京昌喜富科技开发有限公司,GR201911008267,密云区
137,北京美兽科技有限责任公司,GR201911005871,密云区
138,北京蜂云无限信息技术有限公司,GR201911006199,密云区
139,北京华运远拓科技有限公司,GR201911006103,密云区
140,北京老友数码科技有限公司,GR201911007286,密云区
141,北京旭日神飞科技有限公司,GR201911007267,密云区
142,北京中农华舒农业科技有限公司,GR201911007955,密云区
143,北京晶佳科技有限公司,GR201911007711,密云区
144,北京成信德瑞科技发展有限公司,GR201911007377,密云区
145,北京中交智控科技有限公司,GR201911006692,密云区
146,北京建龙浩宇科技有限公司,GR201911007081,密云区
147,中航建设集团有限公司,GR201911006381,密云区
148,北京播实之星医药科技有限公司,GR201911005654,密云区
149,北京道勤创景规划设计院有限公司,GR201911006662,密云区
150,北京耀世国际科技有限公司,GR201911006640,密云区
151,雏鹰翊智（北京）教育科技有限公司,GR201911007561,密云区
152,北京一堂教育科技有限公司,GR201911006298,密云区
153,北京弘邦致远信息技术有限公司,GR201911006398,密云区
154,北京学子博奥科技发展有限公司,GR201911007757,密云区
155,北京发祥地科技发展有限责任公司,GR201911006214,密云区
156,速美集家科技有限公司,GR201911006510,密云区
157,北京燃气密云有限公司,GR201911008863,密云区
158,本原绿洲（北京）环保科技发展有限公司,GR201911007682,密云区
159,北京双壹管理咨询有限公司,GR201911007760,密云区
160,北京民生信通科技有限公司,GR201911005977,密云区
161,北京爱特顿精控科技有限责任公司,GR201911006301,密云区
162,绿憬国际环境科技（北京）有限公司,GR201911007862,密云区
163,波力尔科技发展有限公司,GR201911008530,密云区
164,北京央美城市公共艺术院,GR201911006671,密云区
165,北京朗月雅儒科技有限公司,GR201911006033,密云区
166,北京智联众合科技有限公司,GR201911005886,密云区
167,北京金档伟业科技有限公司,GR201911008559,密云区
168,北京博观物联科技有限公司,GR201911007262,密云区
169,北京宇视科技有限公司,GR201911008269,密云区
170,盛隆电气（北京）有限公司,GR201911005609,密云区
171,泰斯福德（北京）科技发展有限公司,GR201911008522,密云区
172,北京思汇达电力科技有限公司,GR201911007583,密云区
173,雅派朗迪（北京）科技发展股份有限公司,GR201911006458,密云区
174,北京云浩印刷有限责任公司,GR201911008122,密云区
175,北京华予人防设备有限公司,GR201911008768,密云区
176,北京宝源润达人防设备有限公司,GR201911006017,密云区
177,北京科瑞尔科技开发有限公司,GR201911008301,密云区
178,北京京华铭诚工贸有限公司,GR201911008261,密云区
179,北京国铁联合科技有限公司,GR201911005903,密云区
180,北京雁林吉兆印刷有限公司,GR201911005633,密云区
181,北京四方路达工程技术有限公司,GR201911005771,密云区
182,北京通力亿鑫电梯科技有限公司,GR201911006201,密云区
183,北京中建翔天勘测工程有限公司,GR201911008682,密云区
184,北京良谷嘉田农业科技服务有限公司,GR201911006251,密云区
185,北京三浦百草绿色植物制剂有限公司,GR201911007991,密云区
186,北京英杰华科技有限公司,GR201911006719,密云区
187,北京晨锦生态农业有限公司,GR201911007853,密云区
188,北京新兴辰宇建筑工程有限公司,GR202011000586,密云区
189,开能康德威健康科技（北京）有限责任公司,GR202011001231,密云区
190,开立基业（北京）阀门制造有限公司,GR202011000896,密云区
191,北京杰利阳能源设备制造有限公司,GR202011000463,密云区
192,北京圣夫亚美印刷有限公司,GR202011000869,密云区
193,北京密兴印刷有限公司,GR202011001304,密云区
194,北京大豪工缝智控科技有限公司,GR202011001017,密云区
195,北京路上智能科技有限公司,GR202011000271,密云区
196,北京放心存空间科技有限公司,GR202011001283,密云区
197,北京华体体育场馆施工有限责任公司,GR202011000394,密云区
198,北京金东高科科技有限公司,GR202011000803,密云区
199,中铁十六局集团路桥工程有限公司,GR202011000130,密云区
200,北京闻达启明科技有限公司,GR202011001139,密云区
201,北京顺仁利达科技有限公司,GR202011001034,密云区
202,北京天地万佳物流有限公司,GR202011000268,密云区
203,北京艺博凌云科技有限公司,GR202011000805,密云区
204,北京庞宇兴正生物科技有限公司,GR202011000855,密云区
205,北京新伟兴业建筑科技有限公司,GR202011000435,密云区
206,北京鼎鑫未来电子商务有限公司,GR202011000307,密云区
207,北京三页网络科技有限公司,GR202011000205,密云区
208,北京四实亨通科技有限公司,GR202011000453,密云区
209,北京纵横时代电子商务有限公司,GR202011000365,密云区
210,北京天意君泰科技有限公司,GR202011001057,密云区
211,智学量子（北京）信息技术有限公司,GR202011000874,密云区
212,北京梦轩缘科技有限公司,GR202011001142,密云区
213,北京丰艺科技有限公司,GR202011001189,密云区
214,北京普凯姆科技有限公司,GR202011000325,密云区
215,北京奇点热采科技信息技术有限公司,GR202011001300,密云区
216,北京善埴宥德技术有限公司,GR202011001222,密云区
217,北京真家科技有限责任公司,GR202011000535,密云区
218,北京至信至远科技有限公司,GR202011000343,密云区
219,北京中环枫叶科技有限公司,GR202011000991,密云区
220,北京中投安能科技有限公司,GR202011001104,密云区
221,北京中研硕福科技有限公司,GR202011001312,密云区
222,北京双鑫佳业科技有限公司,GR202011000427,密云区
223,北京龙江源生物科技有限公司,GR202011000947,密云区
224,北京鹏飞龙越环保科技有限公司,GR202011001165,密云区
225,联通航美网络有限公司,GR202011001246,密云区
226,北京智享嘉网络信息技术有限公司,GR202011000881,密云区
227,北京万名扬传媒有限公司,GR202011003103,密云区
228,睿智合创（北京）科技有限公司,GR202011003527,密云区
229,北京盛世育禾科技发展有限公司,GR202011003597,密云区
230,北京启航康智教育咨询有限公司,GR202011001641,密云区
231,北京数字一百信息技术有限公司,GR202011002622,密云区
232,中普云通（北京）科技有限公司,GR202011002368,密云区
233,中视金策（北京）文化产业发展有限公司,GR202011003484,密云区
234,北京众鑫云工程质量检测有限公司,GR202011002617,密云区
235,诺信诺康（北京）医药科技有限公司,GR202011002130,密云区
236,北京金风智观科技有限公司,GR202011003282,密云区
237,北京深客科技有限公司,GR202011002353,密云区
238,北京城垣数字科技有限责任公司,GR202011002659,密云区
239,卓世未来（北京）科技有限公司,GR202011001722,密云区
240,北京信游互联科技有限公司,GR202011001662,密云区
241,北京诚创互联科技有限公司,GR202011002750,密云区
242,北京国泰信科技发展有限公司,GR202011002415,密云区
243,联通智网科技股份有限公司,GR202011003806,密云区
244,思悟天智能（北京）教育科技有限公司,GR202011002364,密云区
245,北京云想智联技术有限公司,GR202011002194,密云区
246,北京众荟信息技术股份有限公司,GR202011002354,密云区
247,北京通成网联科技有限公司,GR202011003186,密云区
248,北京嘉合未来科技有限公司,GR202011001864,密云区
249,北京腾辉信诚科技发展有限公司,GR202011002404,密云区
250,新图天下（北京）科技有限公司,GR202011001700,密云区
251,北京瑞福缘动网络科技有限公司,GR202011003746,密云区
252,北京城市象限科技有限公司,GR202011003414,密云区
253,北京博识广联科技有限公司,GR202011002142,密云区
254,北京途润荣丰科技有限公司,GR202011003703,密云区
255,清科世纪（北京）科技有限公司,GR202011003516,密云区
256,北京龙旺新材料有限公司,GR202011002620,密云区
257,北京安汀医药生物科技有限公司,GR202011003216,密云区
258,北京大疆实业有限公司,GR202011001894,密云区
259,北京方等传感器研究所股份公司,GR202011002727,密云区
260,北京杜根鸿运科技发展有限公司,GR202011002204,密云区
261,超同步股份有限公司,GR202011001986,密云区
262,北京萃取应用技术研究所,GR202011002395,密云区
263,北京京东方真空电器有限责任公司,GR202011002866,密云区
264,北京火龙升腾科技有限公司,GR202011003689,密云区
265,原生泰科技发展（北京）有限公司,GR202011002872,密云区
266,北京东方艾学信息技术有限责任公司,GR202011002705,密云区
267,北京龙驰科技发展有限公司,GR202011002333,密云区
268,北京米兹科技有限责任公司,GR202011002852,密云区
269,北京乐创酒店管理有限公司,GR202011002469,密云区
270,亮剑开拓科技发展（北京）有限公司,GR202011002563,密云区
271,北京中泰新远市政工程有限公司,GR202011003435,密云区
272,北京质诚捷讯水利工程有限公司,GR202011002919,密云区
273,北京嘉捷汉华机电设备有限公司,GR202011002545,密云区
274,北京密云水泥制品有限责任公司,GR202011002943,密云区
275,北京二十一世纪科技发展有限公司,GR202011004302,密云区
276,北京春播科技有限公司,GR202011004506,密云区
277,北京大地云网科技有限公司,GR202011004306,密云区
278,北京友宝在线科技股份有限公司,GR202011005776,密云区
279,北京北创网联科技股份有限公司,GR202011004528,密云区
280,北京博特电子工贸有限公司,GR202011004571,密云区
281,北京京投信安科技发展有限公司,GR202011006419,密云区
282,北京数字罗盘科技有限公司,GR202011006221,密云区
283,北京英树源生物科技有限公司,GR202011005186,密云区
284,北京华亿高特技术有限公司,GR202011006616,密云区
285,北京华跃博弈科技有限公司,GR202011006017,密云区
286,北京爱博杰思信息科技有限公司,GR202011006350,密云区
287,北京荣创岩土工程股份有限公司,GR202011005543,密云区
288,东为（北京）科贸有限公司,GR202011005532,密云区
289,北京金水源岩土工程有限公司,GR202011005152,密云区
290,北京闻信智远信息科技有限公司,GR202011005159,密云区
291,北京中环鑫融科技有限公司,GR202011004082,密云区
292,大通天成（北京）投资咨询有限公司,GR202011003919,密云区
293,北京博恩特药业有限公司,GR202011005859,密云区
294,北京建生药业有限公司,GR202011004061,密云区
295,北京世纪京纯蜂产品有限责任公司,GR202011004262,密云区
296,康为同创集团有限公司,GR202011005095,密云区
297,北京瑞阳伟业科技有限公司,GR202011006384,密云区
298,北京长信宏正科技发展有限公司,GR202011005285,密云区
299,北京金万众机械科技有限公司,GR202011003863,密云区
300,北京北铃专用汽车有限公司,GR202011004237,密云区
301,北京京隽科技有限公司,GR202011004272,密云区
302,北京力拓铭达机电安装工程有限公司,GR202011005199,密云区
303,北京博兴凯迪科技有限公司,GR202011006166,密云区
304,北京美立方创意科技有限公司,GR202011004362,密云区
305,北京棋淼工贸有限公司,GR202011005480,密云区
306,北京京润环保科技股份有限公司,GR202011005852,密云区
307,北京科勒有限公司,GR202011005577,密云区
308,北京赫宸智慧能源科技股份有限公司,GR202011006023,密云区
309,北京世纪蓝箭防水材料有限公司,GR202011003866,密云区
310,北京斯伯乐科学技术研究院,GR202011004883,密云区
311,北京凯文亨通科技有限公司,GR202011006035,密云区
312,北京喜逢春雨农业科技发展有限公司,GR202011003999,密云区
313,北京人济紫顶信息科技发展有限公司,GR202011004402,密云区
314,北京融拓物联科技有限公司,GR202011008387,密云区
315,北京创捷科技有限公司,GR202011006788,密云区
316,清湖光旭数据科技（北京）有限公司,GR202011008478,密云区
317,北京家源树科技有限公司,GR202011006949,密云区
318,亿豪信达科技企业孵化器（北京）有限公司,GR202011009290,密云区
319,北京顺意成科技有限公司,GR202011007439,密云区
320,北京乐福连华电子有限公司,GR202011007904,密云区
321,北京联纵泰瑞安全技术有限公司,GR202011007743,密云区
322,北京鑫梦信通科技有限公司,GR202011008602,密云区
323,北京瑞和宝信息技术有限公司,GR202011009708,密云区
324,北京快方科技有限公司,GR202011008773,密云区
325,北京振鹏世纪科技有限公司,GR202011009751,密云区
326,北京神州黎明网络技术有限公司,GR202011007597,密云区
327,北京君信安科技有限公司,GR202011009995,密云区
328,北京鸿耀科技发展有限公司,GR202011009743,密云区
329,北京华清互动科技有限公司,GR202011008435,密云区
330,北京精观信息技术有限公司,GR202011009860,密云区
331,启云互联（北京）信息服务有限公司,GR202011009155,密云区
332,北京盈旺生科技有限公司,GR202011009508,密云区
333,好农易电子商务有限公司,GR202011006813,密云区
334,马特欧时代（北京）科技发展有限公司,GR202011009210,密云区
335,北京鑫泰绿能科技有限公司,GR202011008246,密云区
336,北京智美通科技有限公司,GR202011007557,密云区
337,北京神州飞思信息科技有限公司,GR202011009673,密云区
338,北京小替科技有限责任公司,GR202011007103,密云区
339,北京中自云虹环境设备工程有限责任公司,GR202011008216,密云区
340,北京天和丰空间设计工程有限公司,GR202011010094,密云区
341,北京世锦长鸿生物科技有限公司,GR202011007846,密云区
342,北京忠华八方科技有限公司,GR202011007396,密云区
343,格美林（北京）生物科技有限公司,GR202011007225,密云区
344,北京久源盛博科技发展有限公司,GR202011009434,密云区
345,北京仁创科技发展有限公司,GR202011009441,密云区
346,北京沃特迈新材料科技有限公司,GR202011008508,密云区
347,北京雪龙牧业有限公司,GR202011006651,密云区
348,北京华达杰瑞生物技术有限公司,GR202011007613,密云区
349,北京北陆药业股份有限公司,GR202011010191,密云区
350,北京汉典制药有限公司,GR202011007670,密云区
351,北京麦康医疗器械有限公司,GR202011008316,密云区
352,北京奥特翔游乐设备有限公司,GR202011009549,密云区
353,北京德宝锅炉有限公司,GR202011008203,密云区
354,北京元驰液压制造有限公司,GR202011007607,密云区
355,北京恒久实验设备有限公司,GR202011007347,密云区
356,北京中戎华泰科技开发有限公司,GR202011010172,密云区
357,北京华电森源电气有限公司,GR202011010008,密云区
358,斯普屹科技（北京）有限公司,GR202011009556,密云区
359,北京万邦联合科技股份有限公司,GR202011007322,密云区
360,北京科力强电子有限公司,GR202011007121,密云区
361,北京莱比特环保科技有限公司,GR202011007054,密云区
362,北京格林世家服装服饰有限公司,GR202011008553,密云区
363,北京伊联科技有限公司,GR202011007848,密云区
364,北京旋安特传动技术开发有限公司,GR202011008643,密云区
365,北京兴达盛弘模具科技有限公司,GR202011006887,密云区
366,北京汇众融成教育科技股份有限公司,GR202011008789,密云区
367,多加网络科技（北京）有限公司,GR202011009035,密云区
368,北京德力高远科技有限公司,GR202011009943,密云区
369,北京睿持科技发展有限公司,GR202011007651,密云区
370,北京科技建筑设计院有限责任公司,GR202011007331,密云区
371,北京美兰德媒体传播策略咨询有限公司,GR202011006672,密云区
372,北京智慧融成教育科技有限公司,GR202011009873,密云区
373,北京军安中科信息技术有限公司,GR202011010278,密云区
374,琪玥环保设备（北京）有限公司,GR202013002756,密云区
375,安慕斯科技有限公司,GR202111000164,密云区
376,迅博电气（北京）有限公司,GR202111000677,密云区
377,北京中清志成科技有限公司,GR202111000013,密云区
378,北京威云空间信息科技有限公司,GR202111000426,密云区
379,北京北阳绿建科技有限公司,GR202111000529,密云区
380,北京思享聚合科技有限公司,GR202111000309,密云区
381,北京华源泰盟节能设备有限公司,GR202111000646,密云区
382,北京鑫伏伟业新能源科技有限公司,GR202111000236,密云区
383,北京亨通斯博通讯科技有限公司,GR202111000849,密云区
384,北京志灵科技发展有限公司,GR202111002511,密云区
385,北京人和创建信息技术有限公司,GR202111001122,密云区
386,北京友缘在线网络科技股份有限公司,GR202111002786,密云区
387,北京中联晟世科技有限公司,GR202111001221,密云区
388,北京奇誉科技股份有限公司,GR202111001302,密云区
389,北京中视尚轩科技有限公司,GR202111001603,密云区
390,北京华信创银科技有限公司,GR202111002658,密云区
391,北京玛泰科技有限公司,GR202111001801,密云区
392,北京宏扬迅腾科技发展有限公司,GR202111002180,密云区
393,北京普联恒创科技有限公司,GR202111002808,密云区
394,北京星日消防技术有限公司,GR202111001182,密云区
395,北京时代龙博科技有限公司,GR202111001688,密云区
396,北京亿万无线信息技术有限公司,GR202111002931,密云区
397,北京中科聚网信息技术有限公司,GR202111002372,密云区
398,北京美中双和医疗器械股份有限公司,GR202111002894,密云区
399,北京启迪清风科技有限公司,GR202111002978,密云区
400,北京顺捷通畅交通设施工程有限公司,GR202111000861,密云区
401,北京欣环龙节能环保技术有限公司,GR202111001431,密云区
402,北京奥金达农业科技发展有限公司,GR202111001422,密云区
403,北京紫云腾中药饮片有限公司,GR202111000737,密云区
404,北京康华远景科技股份有限公司,GR202111001022,密云区
405,北京中科罗宾雷达技术有限公司,GR202111001750,密云区
406,复星北铃（北京）医疗科技有限公司,GR202111001353,密云区
407,北京慧缘有限责任公司,GR202111002555,密云区
408,北京方鸿智能科技有限公司,GR202111002778,密云区
409,清能环境（北京）有限公司,GR202111001954,密云区
410,北京斯伯乐科技发展有限公司,GR202111003163,密云区
411,北京精益捷检测科技有限公司,GR202111003264,密云区
412,北京友邦优家石膏科技有限公司,GR202111004343,密云区
413,北京华厚能源科技有限公司,GR202111004862,密云区
414,北京众联伟业软件技术有限公司,GR202111003645,密云区
415,北京艾未来科技发展有限公司,GR202111003732,密云区
416,北京微奇互动科技有限公司,GR202111004188,密云区
417,东方飞扬（北京）数据信息有限公司,GR202111004765,密云区
418,北京盛世融达科技开发有限公司,GR202111004947,密云区
419,北京七九七华音电子有限责任公司,GR202111004990,密云区
420,北京欣欣凌云科技有限公司,GR202111003969,密云区
421,北京小悟科技有限公司,GR202111004752,密云区
422,北京爱得米科技有限公司,GR202111004553,密云区
423,北京数可视科技有限公司,GR202111003788,密云区
424,北京艾普希隆生物科技有限公司,GR202111004201,密云区
425,北京微笑海科技有限公司,GR202111004306,密云区
426,康明克斯（北京）机电设备有限公司,GR202111004591,密云区
427,中开印象（北京）电力有限公司,GR202111003888,密云区
428,电科北方智能电气有限公司,GR202111003241,密云区
429,北京事必达汽车有限责任公司,GR202111003486,密云区
430,搏世因（北京）高压电气有限公司,GR202111003566,密云区
431,北京昌益和自动化设备制造有限公司,GR202111004146,密云区
432,北京天力益德工贸有限公司,GR202111004217,密云区
433,北京冠明机械科技有限公司,GR202111003746,密云区
434,北京永兴源工贸有限责任公司,GR202111004663,密云区
435,北京海华云拓能源研发中心有限公司,GR202111005018,密云区
436,北京绿博伟业环保科技有限责任公司,GR202111004323,密云区
437,北京国环莱茵环保科技股份有限公司,GR202111004004,密云区
438,泰享乐科技（北京）有限公司,GR202111003419,密云区
439,北京安洁泰科技有限公司,GR202111008020,密云区
440,北京开元翱天科技有限公司,GR202111007241,密云区
441,北京乐乎未来科技有限公司,GR202111006059,密云区
442,北京邦铁科技有限公司,GR202111007836,密云区
443,北京航天浩海科技有限公司,GR202111007745,密云区
444,北京英铄致远信息技术有限公司,GR202111005534,密云区
445,北京神鸿网络科技有限公司,GR202111007853,密云区
446,北京恒高技术有限责任公司,GR202111006145,密云区
447,中启鼎铉科技（北京）有限公司,GR202111006445,密云区
448,北京闻壹信息技术有限公司,GR202111007428,密云区
449,智数大康（北京）科技发展有限公司,GR202111007132,密云区
450,北京博远飞诚科技有限公司,GR202111007657,密云区
451,北京钱方银通科技有限公司,GR202111005968,密云区
452,北京高佳科技有限公司,GR202111007593,密云区
453,北京国通合众信息技术有限公司,GR202111006476,密云区
454,北京小云淘客科技有限公司,GR202111006082,密云区
455,北京凯斯托普科技有限公司,GR202111007771,密云区
456,北京诺浩文化传媒有限公司,GR202111007849,密云区
457,北京国标建筑科技有限责任公司,GR202111005626,密云区
458,北京育智兴邦教育科技有限公司,GR202111007876,密云区
459,北京金晨曦环保科技发展有限公司,GR202111005376,密云区
460,北京法莫斯达制药科技有限公司,GR202111008418,密云区
461,北京汇源生物科技有限公司,GR202111006101,密云区
462,北京麦康药业有限公司,GR202111007034,密云区
463,北京龙耘种业有限公司,GR202111007083,密云区
464,北京亿亩地农业发展集团有限公司,GR202111006810,密云区
465,北京安力科源电气有限公司,GR202111007991,密云区
466,北京永创众信建筑设计有限公司,GR202111007702,密云区
467,特鲁门（北京）科技有限公司,GR202111006209,密云区
468,北京朗信能源环保科技有限公司,GR202111007448,密云区
469,北京富特盘式电机有限公司,GR202111007322,密云区
470,北京思量测控设备有限公司,GR202111007130,密云区
471,北京庄构人防设备厂,GR202111007848,密云区
472,北京州生能源科技有限公司,GR202111005686,密云区
473,北京中科毓智科技有限公司,GR202111008074,密云区
474,北京佳诚恒兴检测科技有限公司,GR202111006751,密云区
475,欧时表廊（北京）贸易有限公司,GR202111005909,密云区
476,北京城建华威公路工程有限公司,GR202111006926,密云区
477,北京华图卓坤教育科技有限公司,GR202111007443,密云区
478,中创泰科（北京）科技有限公司,GR202111007370,密云区
479,北京华昊水利水电工程有限责任公司,GR202111007036,密云区
480,北京海绵城市建设工程有限公司,GR202111008341,密云区
481,北京真水绿化工程有限公司,GR202111006612,密云区
482,中机物联（北京）节能环保科技有限公司,GR202111006152,密云区
483,北京苪森科技有限公司,GR202111003041,密云区
484,北京中科方盛能源科技有限公司,GR202111003100,密云区
485,中开创建（北京）国际工程技术有限公司,GR202111008459,密云区
486,华清蓝芯科技（北京）有限公司,GR202111008445,密云区
487,北京克尘环保设备有限公司,GR202111008566,密云区
488,北京远东联创科技有限责任公司,GR202111008558,密云区
