2023年东城园国家高新技术企业名单,Unnamed: 1,Unnamed: 2
151,北京中文在线文化传媒有限公司,91110101693280761F
152,北京君则科技发展有限公司,91110108344383770L
153,北京豆萌信息技术有限公司,91110101MA01DGTQX6
154,北京赛西认证有限责任公司,9111010156749550XW
155,北京京德嘉润视觉科技股份有限公司,91110101634336200T
156,北京苏纳可科技有限公司,91110101554886958W
157,北京赛鼎科技有限公司,91110101MA00BPQ86K
158,北京爱普优邦科技有限公司,91110114306575173H
159,威水星空（北京）环境技术有限公司,91110101663122439B
160,中城华宇（北京）矿业技术有限公司,9111010133034472XH
161,北京比利信息技术有限公司,911101013354534232
162,北京通安信息技术有限公司,91110102580813816W
163,蓝诺微银（北京）信息技术有限公司,91110106MA01RRJ34U
164,保利视讯科技（北京）有限公司,91110101MA01UPEA0Q
165,北京华清飞扬网络股份有限公司,91110101666283799D
166,北京天觐科技有限公司,91110105MA01WG428F
167,北京华麒通信科技有限公司,911101011015776853
168,支出宝（北京）信息技术有限公司,91110108MA006TLL47
169,北京蓬阳丰业科技有限公司,91110101763533518G
170,北京联合创业环保工程股份有限公司,91110101683577609W
171,淼中金（北京）体育有限公司,91110101351311388D
172,视联动力信息技术股份有限公司,91110101685758913M
173,北京合众思壮时空物联科技有限公司,91110101571241035D
174,北京招通致晟软件技术有限公司,91110101078508111J
175,中青博联（北京）科技有限公司,91110101MA002Y7N35
176,中交建筑设计研究院有限公司,91110101053578711P
177,在路上（北京）科技有限公司,91110108699575552L
178,北京天海北方系统集成科技有限公司,911101017382073580
179,北京北商西电科技有限公司,91110102592301797X
180,华夏科文（北京）信息技术有限公司,911101013181001591
181,北京历源金成科技有限公司,91110101685791326A
182,诚通互联（北京）科技有限公司, 9111010179512118X4
183,北京希安科电子系统工程有限责任公司,91110101700168031J
184,北京智颖科技有限公司,91110106MA004GDB5L
185,北京元光智行信息技术有限公司,91110011336428051B
186,北京欧德鑫电子商务有限公司,91110302MA01PW9L0L
187,北京朗威视讯科技股份有限公司,91110101802940555G
188,中青旅联科（北京）公关顾问有限公司,9111010166991113X3
189,北京穗彩信息科技有限公司,91110101679622737A
190,保利航空科技有限公司, 911100007109347998
191,赛诺凯尔（北京）科技有限公司,91110108693256139C
192,北京诚品快拍物联网科技股份有限公司,911101015751833466
193,北京国创鼎诚知识产权应用技术研究院,91110114306781962T
194,北京一数科技有限公司,91110101335453570K
195,北京天行远景科技股份有限公司,911101087351227898
196,北京中青在线网络信息技术有限公司,91110101717744250D
197,北京建自凯科系统工程有限公司,91110106802949779K
198,北京弘远博学科技有限公司,91110101560358211Y
199,北京金林伟业科技有限公司,91110105597669347C
200,北京昆孚中科信息科技有限公司,91110101MA01JG0056
201,北京立达智胜科技有限公司,911101010993130064
202,北京融昱信息技术有限公司,91110101558582126A
203,北京外投人力资源有限公司,911101017662906114
204,北京幸福能量健康科技有限公司,91110101MA01F4MC98
205,北京中体网科技股份有限公司,911101087002316942
206,北京中物联联合认证中心,911101018012297454
207,北京中新海针信息技术有限公司,91110101317915970Y
208,波塔斯（北京）科技有限公司,91110101MA007JQ7XN
209,天童通信网络有限公司,91110101722600411C
210,北京拉索生物科技有限公司,91110108MA01BL013W
211,北京市龙顺成中式家具有限公司,91110101101123181C
212,北京万鹏朗格医药科技有限公司,91110108766286911X
213, 西尼亚（北京）环境科技有限公司,911101015530625519
214,宇称智控（北京）科技有限公司,91110101MA01GAGN2K
215,云和恩墨（北京）信息技术有限公司,91110101579007657G
216,智道网联科技（北京）有限公司,91110101MA01G4YK61
217,北京中文在线阅读教育科技有限公司,91110101MA020W0P0C
218,北京斗象信息科技有限公司,91110101MA01JPY659
219,北京华航无线电测量研究所,12100000400009530D
220,北京华夏众康医疗器械有限公司,911101015876846581
221,中创桥水（北京）文化科技有限公司,91110105MA00CMFY6A
222,中国路桥工程有限责任公司,911100007109338178
223,北京金隅天坛家具股份有限公司,911101017002402592
224,北京九章方田数据科技有限公司,91110101MA01XP7G1R
225,北京喜宝动力网络技术股份有限公司,91110101567440728E
226,中工科创文化传媒（北京）有限公司,91110101074174249A
227, 北京梦见星科技有限公司,91110105051352495Q
228,北京铜牛奇安科技有限公司,91110101MA7FK9GH8G
229,北京华恒盛世科技有限公司,91110105MA019UY647
230,北京卓信智恒数据科技股份有限公司,9111010159068849XE
231,中交第三公路工程局有限公司,911100007596009847
232,北京沃资拓管理咨询有限责任公司,911101010918612353
233,北京树米智能科技有限公司,91440300MA5FJAH765
234,国源天顺科技产业集团有限公司,91110105MA00CMFLX7
235,中交三公局工程技术有限公司,91110101576862869F
236,北京远浪潮生态建设有限公司,9111010172143575X8
237,隆瑞三优新能源汽车科技有限公司,91110101MA003L1P1D
238,北京虹景数字技术有限公司,91110105MA003PCC6F
239,北京汇法信息技术有限公司,91110105MA003B1W1B
240,法捕快（北京）科技有限公司,91110101MA01MBN636
241,北京智道世纪信息技术有限公司,91120116MA06T2962P
242,金智东博（北京）教育科技股份有限公司,911101015694738658
243,北京华铁广通电信技术有限公司,911101087754979134
244,北京智慧广通信息技术有限公司,911101013067198947
245,北京中青华云新媒体科技有限公司,91110101567425712F
246,新维畅想数字科技（北京）有限公司,91110101597688046N
247,水电水利规划设计总院有限公司,91110000MA01Q2MN3K
248,中能建(北京)能源研究院有限公司,91110101MA04F98Y6K
249,北京元引科技有限公司,91110101MA01QGYH9W
250,戎易商智（北京）科技有限公司,91110101592388415G
251,北京名洋数字科技股份有限公司,91110101790670235P
252,中联钢信电子商务有限公司,91110101MA0063EW9H
253,小儿方健康科技（北京）有限公司,91110108MA01CP3B0C
254,锋尚文化集团股份有限公司,91110101741558466W
255,北京广亿兴业科技发展有限公司,91110108677438258R
256,北京轻松筹信息技术有限公司,911101013295775507
257,北京中清智辉能源科技有限公司,91110111MA01HRJD16
258,新世纪检验认证有限责任公司, 91110102101514705T
259,中诚信国际信用评级有限责任公司,9111000071092067XR
260,北京特里尼斯石油技术股份有限公司,911101017985139392
261,北京东方仿真控制技术有限公司,911101011012503832
262,北京涌联恒创电力工程设计有限公司,91110101335454143A
263,北京惟望科技发展有限公司,91110101101302796D
264,北京中创碳投科技有限公司,91110101558503117M
265,北京首华建设经营有限公司,91110000722617512U
266,北京鉴衡认证中心有限公司,911101057488192516
267,北京文创动力信息技术有限公司,91110101786868839G
268,北京洞窝数字科技有限公司,91110101MA01XP1P7H
269,北京长城电子商务有限公司,9111010105139955XC
270,北京联飞翔科技股份有限公司,91110101101229584A
271,秒秒测科技（北京）有限公司,91110101318152733K 
272,元动未来（北京）科技有限公司,91110101MA01E1K63N
273,北京华云慧通科技有限公司,91110108MA007PEK6C
274,北京远东仪表有限公司,9111000060001529XW
275,北京保利票务发展有限公司,91110101MA009QTF4P
276,厚德明心(北京)科技有限公司,91110105756722978X
277,遨游太一(北京)科技有限公司,91110101MA01XBNC27
278, 北京七维视觉传媒科技有限公司,91110101MA0065TN6L
279,北京板牙科技有限公司,911101013442807127
280,中能融合智慧科技有限公司,91110102MA01FFJ36J
281,北京博润阳光科技有限公司,91110101575228882J
282,北京挖玖电子商务有限公司,911101050918827578
283,国体科技（北京）有限责任公司,91110101101490491N
284,北京博睿宏远数据科技股份有限公司,91110105672840619D
285,北京中农煦丰生态科技有限公司,91110101MA00GKLR3Y
286,北京和气聚力教育科技有限公司,91110108080457691R
287,北京神工科技有限公司,91110108MA019K0CX2
288,北京思创信息系统有限公司,91110101798522923Y
289,北京光和大健康科技有限公司,91110101MA0217HB1K
290,昆仑数智科技有限责任公司,911101017967003199
291, 北京云杉世界信息技术有限公司,91110108321679624T
292,北京中煤煤炭洗选技术有限公司,91110101558572681M
293,北京枫悦互动科技有限公司,91110101MA01W5G24X
294,北京国体世纪质量认证中心有限公司,911101017475232720
295,中青旅遨游科技发展有限公司,91110101MA00EG6X5L
296,北京卓优云智科技有限公司,91110101318306501A
297,中诚信指数服务（北京）有限公司,91110101MA01WCKL44
298,北京鸿达以太科技有限公司,9111010110120677XW
299,天威新能源系统工程（北京）有限公司,91110101553086377Y
300,北京布逸昊服装服饰有限公司,91110101633708973E
301,北京祥云智通科技有限公司,91110105MA00ALP163
302,北京数智源科技有限公司,911101015790091347
303,中观鼎成生态科技(北京)有限公司,91110108MA01791G83
304,北京建研环保设备有限公司,91110101633602917N
305,北京雨润华科技开发有限公司,91110101801448251R
306,叁岁（北京）科技有限公司,91110101MA01RWMY0R
307,中青智造（北京）科技有限责任公司,91110101MA01MBXY60
308,北京天地立信人力资源科技有限责任公司,911101017415726040
309,今融道（北京）科技有限公司,91110108MA00623JXL
310,中财仁合(北京)科技有限公司,91110111MA01CJH11T
311,北京网聚互通信息科技有限公司,91110107MA0096635H
312,全时云商务服务股份有限公司,91110108802016856N
313,北京花开影视制作有限公司,911101083579465528
314,北京悟空出行科技有限公司,91110101MA009K4F96
315,北京瑞得洁工程科技有限公司,911101015844647051
316,北京中聚盈科科技有限公司,91110101MA00136N71
317,爱云信息技术（北京）有限公司,91110105767521581E
318,中青旅联科（北京）文化科技有限公司,91110101696335107C
319,北京康祝医疗器械有限公司,911101011015206971
320,乐动天下（北京）体育科技有限公司,91110101687602373H
321,北京贝克巴斯科技发展有限公司,91110101700156612F
322,北京捷援通应急技术有限公司,91110101348412727X
323,北京中林联林业规划设计研究院有限公司,911101015768972522
324,北京易来特科技有限公司,91110102MA017CWU8N
325,北京锋尚互动娱乐科技有限公司,91110101MA02077E7Q
326,豆盟（北京）科技股份有限公司,911101010741465632
327,北京冷山体育发展有限公司,911101017959592578
328,中交水运规划设计院有限公司,91110000400007594G
329,北京博克森传媒科技股份有限公司,91110108585826077U
330,中科浩博国际教育科技（北京）有限公司,911101013443698059
331,中矿信安(北京)科技有限公司,91110108MA01JUA66W
332,光环云数据有限公司,91110105MA01C9KD1U
333,北京综建科技有限公司,9111010171775765XB
334,北京国氢中联氢能科技研究院有限公司,91110101MA01WU450F
335,北京绿维文旅科技发展有限公司,91110101771589642E
336,新创职教（北京）科技有限责任公司,91110101MA0202BM49
