平谷区2019年高新技术企业名单,,,
序号 ,企业名称,证书编号,所属区域
54,北京中成科信科技发展有限公司,GR201711007751,平谷区
55,北京诚运惠达商贸有限公司,GR201711008020,平谷区
56,北京世纪达翰科技有限公司,GR201711008462,平谷区
57,北京海纳川瑞延盈泰克汽车部件有限公司,GR201711007488,平谷区
58,北京科星饲料有限公司,GR201711005425,平谷区
59,北京元亨利丰电气设备有限公司,GR201711005884,平谷区
60,北京兴桥电气设备有限公司,GR201711008708,平谷区
61,北京傲威环亚家具有限公司,GR201711007569,平谷区
62,北京灵泽科技有限公司,GR201711005246,平谷区
63,北京飞行博达电子有限公司,GR201711006876,平谷区
64,北京富润成照明系统工程有限公司,GR201711005609,平谷区
65,凯晟互动（北京）文化传播有限责任公司,GR201711006948,平谷区
66,普业科技工程（北京）股份有限公司,GR201711007506,平谷区
67,北京原麦山丘食品有限公司,GR201711008331,平谷区
68,四众互联（北京）网络科技有限公司,GR201711007500,平谷区
69,北京东地岩土工程有限公司,GR201711005491,平谷区
70,北京江南装饰有限公司,GR201711008114,平谷区
71,北京中建润通机电工程有限公司,GR201711007304,平谷区
72,北京网融天下金融信息服务有限公司,GR201711007563,平谷区
73,北京立权科技有限公司,GR201711005693,平谷区
74,北京市华都峪口禽业有限责任公司,GR201811000958,平谷区
75,北京融通智慧科技有限公司,GR201811000046,平谷区
76,北京普扬科技有限公司,GR201811000718,平谷区
77,北京易德筑科技有限公司,GR201811000533,平谷区
78,北京静通科技有限公司,GR201811000604,平谷区
79,北京北方银证软件开发有限公司,GR201811002594,平谷区
80,北京弘雅兴达科技有限公司,GR201811003140,平谷区
81,北京耐威格特科技有限公司,GR201811002537,平谷区
82,北京永信盈科科技有限公司,GR201811003423,平谷区
83,北京城市亮杰科技发展有限公司,GR201811001018,平谷区
84,北京顶点互联网络科技有限公司,GR201811003403,平谷区
85,北京祥云创想科技有限公司,GR201811001254,平谷区
86,北京恒科畅达科技有限公司,GR201811001731,平谷区
87,北京宏威信达科技发展有限公司,GR201811001143,平谷区
88,北京星空百灵科技有限公司,GR201811001304,平谷区
89,北京中海讯通数码科技有限公司,GR201811002354,平谷区
90,中铁电气化铁路运营管理有限公司,GR201811001650,平谷区
91,中竞科技有限公司,GR201811002232,平谷区
92,北京海晟时代科技有限公司,GR201811003028,平谷区
93,华联信通数据技术（北京）有限公司,GR201811002395,平谷区
94,北京善豹科技有限公司,GR201811002780,平谷区
95,北京三更科技有限公司,GR201811003594,平谷区
96,北京恒通思维科技有限公司,GR201811002625,平谷区
97,上谷会（北京）科技有限公司,GR201811001643,平谷区
98,北京鑫瑞通达科技有限公司,GR201811002113,平谷区
99,北京帝威科技有限公司,GR201811002604,平谷区
100,北京七星华创微电子有限责任公司,GR201811001106,平谷区
101,北京聚合众力科技有限公司,GR201811003125,平谷区
102,北京盈昌科技有限公司,GR201811003232,平谷区
103,北京通利广发信息工程有限公司,GR201811002779,平谷区
104,北京百德福科技发展有限公司,GR201811003066,平谷区
105,北京华通恒盛电气设备有限公司,GR201811001451,平谷区
106,北京达新新创机械有限公司,GR201811002519,平谷区
107,北京富耐恩电子设备有限公司,GR201811003724,平谷区
108,北京敏实汽车零部件有限公司,GR201811002982,平谷区
109,北京汇能天下科技发展有限公司,GR201811001516,平谷区
110,铠宏人防设备（北京）有限公司,GR201811002373,平谷区
111,北京长吉加油设备有限公司,GR201811002806,平谷区
112,北京天朗致达节能环保股份有限公司,GR201811003024,平谷区
113,北京斯誉达电气设备有限公司,GR201811002800,平谷区
114,国能风力发电有限公司,GR201811001226,平谷区
115,北京德普新源科技发展有限公司,GR201811003148,平谷区
116,北京京电博天电力工程有限公司,GR201811001855,平谷区
117,北京金峡超滤设备有限责任公司,GR201811001420,平谷区
118,幸知（北京）信息技术有限公司,GR201811003292,平谷区
119,北京恒通威达科技有限公司,GR201811001435,平谷区
120,北京中恒嘉业装饰工程有限公司,GR201811001469,平谷区
121,北京华宇航锋电力技术有限公司,GR201811003127,平谷区
122,北京智慧谷文化传媒有限公司,GR201811002825,平谷区
123,北京怡诺威腾科技发展有限公司,GR201811002343,平谷区
124,北京铭震科技有限公司,GR201811003581,平谷区
125,北京中铁富红保洁服务有限责任公司,GR201811003576,平谷区
126,北京亚戈农生物药业有限公司,GR201811001058,平谷区
127,北京康庭阳光科技发展有限公司,GR201811003141,平谷区
128,北京康鼎医疗科技有限公司,GR201811001313,平谷区
129,北京海泰食品有限公司,GR201811002017,平谷区
130,北京泰华兴食品有限公司,GR201811001833,平谷区
131,北京顺天泰科技发展有限公司,GR201811002921,平谷区
132,北京金山生态动力素制造有限公司,GR201811003332,平谷区
133,北京市富乐科技开发有限公司,GR201811002021,平谷区
134,北京恒源谷科技股份有限公司,GR201811001980,平谷区
135,北京睿信智诚科技有限公司,GR201811006083,平谷区
136,北京车质网信息技术有限公司,GR201811004881,平谷区
137,北京驰尊润科电子商务有限公司,GR201811006128,平谷区
138,北京金科佰通网络技术有限公司,GR201811006430,平谷区
139,北京铭科佰通信息技术有限公司,GR201811005597,平谷区
140,北京通达铭科信息工程技术有限公司,GR201811003943,平谷区
141,北京鑫铭科信息工程技术有限公司,GR201811005230,平谷区
142,北京煜科佰通信息技术有限公司,GR201811005033,平谷区
143,北京智锐新科科技有限公司,GR201811005729,平谷区
144,北京众邦信达科技有限公司,GR201811006373,平谷区
145,北京华宇信安科技有限公司,GR201811004205,平谷区
146,北京惠利消防设备有限公司,GR201811006233,平谷区
147,北京马勒汽车配件有限公司,GR201811005846,平谷区
148,北京同控电力系统技术有限公司,GR201811004853,平谷区
149,北京幸福益生再生医学科技有限公司,GR201811004504,平谷区
150,北京白象新技术有限公司,GR201811004019,平谷区
151,北京宝丰春石油技术有限公司,GR201811004843,平谷区
152,北京纯清浦乐环保科技发展有限公司,GR201811004215,平谷区
153,中煤东方市政建设集团有限公司,GR201811006436,平谷区
154,北京中天油石油天然气科技有限公司,GR201811005543,平谷区
155,北京沃特玛德环境技术股份有限公司,GR201811005318,平谷区
156,北京和盛新源电力工程技术有限公司,GR201811004645,平谷区
157,北京优易租网络技术有限公司,GR201811004471,平谷区
158,华思特（北京）电力工程有限公司,GR201811006948,平谷区
159,北京大林万达汽车部件有限公司,GR201811008214,平谷区
160,合能智造（北京）机械有限公司,GR201811008306,平谷区
161,北京中航智信建设工程有限公司,GR201811009052,平谷区
162,北京易驾卓阳科技有限公司,GR201811009263,平谷区
163,国鹰航空科技有限公司,GR201811007691,平谷区
164,北京农众实业有限公司,GR201811008761,平谷区
165,北京东升制药有限公司,GR201811007751,平谷区
166,北京康安利丰农业有限公司,GR201811009442,平谷区
167,北京正大蛋业有限公司,GR201811007633,平谷区
168,北京京兰非织造布有限公司,GR201811007816,平谷区
169,北京华商能源管理有限公司,GR201811006579,平谷区
170,北京东方远景园林工程有限公司,GR201811006963,平谷区
171,北京华飞兴达环保技术有限公司,GR201811009670,平谷区
172,北京格兰特膜分离设备有限公司,GR201811008791,平谷区
173,北京安国水道自控工程技术有限公司,GR201811008795,平谷区
174,北京中科华凯环保科技有限公司,GR201811006621,平谷区
175,北京恒辉信达技术有限公司,GR201811006787,平谷区
176,北京科翔四方科技有限公司,GR201811009003,平谷区
177,北京锡摩网络科技有限公司,GR201811007459,平谷区
178,北京信普信科技发展有限公司,GR201811009243,平谷区
179,北京亿鸿德利信息技术有限公司,GR201811008501,平谷区
180,北京招通航电科技有限公司,GR201811009101,平谷区
181,北京榆东科技有限公司,GR201811006630,平谷区
182,北京中科亿联网络科技有限公司,GR201811008296,平谷区
183,康盛（北京）保险销售有限公司,GR201811007305,平谷区
184,北京金科佰通电子商务有限公司,GR201811007568,平谷区
185,北京莹笛环宇建设工程有限公司,GR201811008995,平谷区
186,北京大倪实业有限公司,GR201811009441,平谷区
187,北京德士比形象策划有限责任公司,GR201811009768,平谷区
188,北京中盈嘉机电工程有限公司,GR201811008059,平谷区
189,金科新能源有限公司,GR201811007423,平谷区
190,北京智优时代科技有限公司,GR201811006572,平谷区
191,北京龙氏网络科技有限公司,GR201911000244,平谷区
192,北京绿都畅达科技发展有限责任公司,GR201911000916,平谷区
193,欧德易信息技术（北京）有限公司,GR201911000659,平谷区
194,北京天阳宏达通讯设备有限公司,GR201911000053,平谷区
195,北京云靴科技有限责任公司,GR201911001034,平谷区
196,直订网网络科技（北京）有限公司,GR201911000966,平谷区
197,北京添翼行科技有限公司,GR201911000883,平谷区
198,北京北控悦慧环境科技有限公司,GR201911000468,平谷区
199,北京互联农业发展有限责任公司,GR201911000527,平谷区
200,北京鑫桃源商贸有限公司,GR201911000899,平谷区
201,北京泰华食品饮料有限公司,GR201911001066,平谷区
202,北京旭升诚环境工程有限公司,GR201911000231,平谷区
203,北京金华恒源集成房屋有限公司,GR201911000103,平谷区
204,北京非比互动科技发展有限公司,GR201911000389,平谷区
205,爱牧国际农业集团有限公司,GR201911000641,平谷区
206,北京金海城工程建设监理公司,GR201911000473,平谷区
207,北京中天路通工程勘测有限公司,GR201911000553,平谷区
208,北京迪蒙精锐科技有限公司,GR201911000052,平谷区
209,北京云峰利民畜牧设备有限公司,GR201911000361,平谷区
210,恒昶精密组件（北京）有限公司,GR201911001000,平谷区
211,北京米麦克科技发展有限公司,GR201911001126,平谷区
212,北京赛信成机电设备有限公司,GR201911000771,平谷区
213,北京世纪环宇安防装备有限公司,GR201911000298,平谷区
214,北京普洛兰管道科技有限公司,GR201911000453,平谷区
215,北京森沃鑫达开关有限公司,GR201911001100,平谷区
216,北京碧岩特种材料有限公司,GR201911000017,平谷区
217,北京拓尔隔音技术有限公司,GR201911000455,平谷区
218,北京燕脉龙科技有限公司,GR201911003118,平谷区
219,北京琅珑科技有限公司,GR201911002846,平谷区
220,北京宏星腾达环保工程有限公司,GR201911002379,平谷区
221,北京博蕊科技有限公司,GR201911002684,平谷区
222,北京北排膜科技有限公司,GR201911001237,平谷区
223,北京坎普尔环保技术有限公司,GR201911002095,平谷区
224,北京欣江峰市政工程有限责任公司,GR201911002091,平谷区
225,北京丰谷之源科技有限公司,GR201911001728,平谷区
226,云学科技（北京）有限公司,GR201911002422,平谷区
227,北京匠仁通信工程有限公司,GR201911003458,平谷区
228,北京瑞奕科技有限公司,GR201911003020,平谷区
229,北京众智创业科技开发有限公司,GR201911002536,平谷区
230,北京清大天达光电科技股份有限公司,GR201911002699,平谷区
231,北京中航未来科技集团有限公司,GR201911003053,平谷区
232,北京瑞普三元仪表有限公司,GR201911001554,平谷区
233,北京黑马赢创科技有限公司,GR201911003167,平谷区
234,斯磊科技（北京）有限公司,GR201911001315,平谷区
235,北京第三视觉网络科技有限公司,GR201911003301,平谷区
236,北京天运恒通科技有限公司,GR201911002993,平谷区
237,北京世纪天安科技有限公司,GR201911001407,平谷区
238,北京德润风尚科技有限公司,GR201911002907,平谷区
239,北京启名图信息科技有限公司,GR201911003216,平谷区
240,北京远控科技有限公司,GR201911002841,平谷区
241,北京旭升嘉业科技有限公司,GR201911001742,平谷区
242,北京信悦通达科技有限公司,GR201911002784,平谷区
243,北京琦夏共赢科技有限公司,GR201911001681,平谷区
244,北京锐驰思创影视文化有限公司,GR201911002066,平谷区
245,北京两生科技有限公司,GR201911002764,平谷区
246,北京和艺众智科技有限公司,GR201911002346,平谷区
247,北京八度笛韵音乐科技有限公司,GR201911003404,平谷区
248,领途互联（北京）科技有限公司,GR201911002088,平谷区
249,北京扶平建设发展有限公司,GR201911003310,平谷区
250,北京澄游网络科技有限公司,GR201911001376,平谷区
251,北京天高隔膜压缩机有限公司,GR201911002171,平谷区
252,北京晶品赛思科技有限公司,GR201911002270,平谷区
253,北京中冶华润科技发展有限公司,GR201911002246,平谷区
254,北京达成生物科技有限公司,GR201911002024,平谷区
255,北京昊园药业有限公司,GR201911002883,平谷区
256,北京金博羊绒制品有限公司,GR201911001645,平谷区
257,航科院中宇（北京）新技术发展有限公司,GR201911005281,平谷区
258,合众思（北京）环境工程有限公司,GR201911004673,平谷区
259,北京馨泰环境科技有限公司,GR201911004150,平谷区
260,北京创新智造科技有限公司,GR201911004966,平谷区
261,北京利源辉科技发展有限公司,GR201911005309,平谷区
262,北京红杉远景科技有限公司,GR201911005243,平谷区
263,北京彩阳光科技有限公司,GR201911004291,平谷区
264,北京贝格麦斯互联网科技有限公司,GR201911004060,平谷区
265,北京喵喵物语科技有限公司,GR201911004615,平谷区
266,北京诚骋成科技发展有限公司,GR201911004628,平谷区
267,威德尤斯（北京）科技有限公司,GR201911004373,平谷区
268,北京路宝特科技有限公司,GR201911004625,平谷区
269,北京博天世纪科技有限公司,GR201911004106,平谷区
270,北京市英利达标牌制作有限公司,GR201911003523,平谷区
271,北京睿智正道网络信息技术有限公司,GR201911004264,平谷区
272,北京一研科技有限公司,GR201911005190,平谷区
273,北京汇智方舟科技有限公司,GR201911005136,平谷区
274,北京易习科技有限公司,GR201911004147,平谷区
275,北京真实客视听技术有限公司,GR201911005160,平谷区
276,中地宝联（北京）国土资源勘查技术开发集团有限公司,GR201911004013,平谷区
277,北京紫海仙都科技有限公司,GR201911004307,平谷区
278,北京爱奇尔白依科技有限公司,GR201911004339,平谷区
279,北京高光环艺照明设计有限公司,GR201911004856,平谷区
280,北京世慈科技有限公司,GR201911004081,平谷区
281,北京中科兆联科技有限公司,GR201911005022,平谷区
282,北京西新数友信息技术有限公司,GR201911004234,平谷区
283,北京新智远恒计量校准技术有限公司,GR201911004237,平谷区
284,北京现代洋工机械科技发展有限公司,GR201911004862,平谷区
285,北京和信汽车部件有限公司,GR201911005156,平谷区
286,北京欧仕顿电器有限公司,GR201911004105,平谷区
287,北京味食源食品科技有限责任公司,GR201911005349,平谷区
288,北京灵泽医药技术开发有限公司,GR201911004548,平谷区
289,北京北方华创磁电科技有限公司,GR201911004426,平谷区
290,普时力新钢科技（北京）有限公司,GR201911005003,平谷区
291,北京京磁电工科技有限公司,GR201911004360,平谷区
292,北京恒安绿谷环保科技有限公司,GR201911003711,平谷区
293,北京中电佳业科技有限公司,GR201911004776,平谷区
294,北京银创博文信息技术有限公司,GR201911003884,平谷区
295,北京清源洁华膜技术有限公司,GR201911007288,平谷区
296,北京时代蔽连科技有限公司,GR201911006403,平谷区
297,北京源数科技有限公司,GR201911005618,平谷区
298,北京力鼎沃德能源科技有限公司,GR201911005955,平谷区
299,北京鑫新开源新能源科技有限公司,GR201911005552,平谷区
300,北京捷诚威科技发展有限公司,GR201911006469,平谷区
301,北京京蒙新能源工程技术有限公司,GR201911008708,平谷区
302,北京天地建设砼制品有限公司,GR201911008265,平谷区
303,北京擎屹古建筑有限公司,GR201911007359,平谷区
304,北京中标新亚节能工程股份有限公司,GR201911008370,平谷区
305,北京太阳雪机电工程有限公司,GR201911007141,平谷区
306,北京信德源科贸有限公司,GR201911007462,平谷区
307,北京志华伟业制冷设备有限公司,GR201911007151,平谷区
308,北京慧德环境工程有限公司,GR201911007788,平谷区
309,北京坤安思源科技有限公司,GR201911006422,平谷区
310,北京时代动力鸿宇科技发展有限公司,GR201911006967,平谷区
311,北京今世悦创科技有限公司,GR201911005744,平谷区
312,北京瑞通通信工程有限公司,GR201911006884,平谷区
313,北京鲜柚科技有限公司,GR201911007655,平谷区
314,北京创业组教育科技有限公司,GR201911006347,平谷区
315,北京默宣科技有限公司,GR201911007135,平谷区
316,北京鼎通仁通科技有限公司,GR201911008848,平谷区
317,北京千来百大科技有限公司,GR201911006350,平谷区
318,北京字聚科技有限公司,GR201911006026,平谷区
319,北京驿禄轨道交通工程有限公司,GR201911007702,平谷区
320,北京恒泰时代科技发展有限公司,GR201911008276,平谷区
321,北京众盛环中科技发展有限公司,GR201911005972,平谷区
322,北京宇辰致业科技有限公司,GR201911007418,平谷区
323,富通云腾科技有限公司,GR201911005965,平谷区
324,北京春禹浩天科技有限公司,GR201911006358,平谷区
325,北京正信德新型建材有限公司,GR201911008069,平谷区
326,北京锐丰科技有限公司,GR201911008844,平谷区
327,北京滕硕伟业科技有限公司,GR201911008801,平谷区
328,北京鸿创永鑫科技发展有限公司,GR201911007296,平谷区
329,北京秦氏润泽科技有限公司,GR201911008571,平谷区
330,北京数据在线国际供应链管理股份有限公司,GR201911007406,平谷区
331,北京财宏达投资管理有限公司,GR201911008236,平谷区
332,北京希优照明设备有限公司,GR201911007570,平谷区
333,北京简家生活科技有限公司,GR201911007631,平谷区
334,丰润盛泰（北京）科技发展有限公司,GR201911008449,平谷区
335,北京世纪中辉科技发展有限公司,GR201911008058,平谷区
336,北京智联汇通通讯技术有限公司,GR201911005576,平谷区
337,北京昊宇天成科技有限公司,GR201911007039,平谷区
338,北京誉盈建设工程有限公司,GR201911006463,平谷区
339,北京有竹居网络技术有限公司,GR201911005842,平谷区
340,北京盛世豪杰建设有限公司,GR201911005627,平谷区
341,桐屹（北京）文化发展有限公司,GR201911008625,平谷区
342,北京圣林润景科贸有限公司,GR201911008576,平谷区
343,斯卡雷特健康科技（北京）有限公司,GR201911006316,平谷区
344,北京城建华泰土木工程有限公司,GR201911006112,平谷区
345,北京红鱼互联网科技有限公司,GR201911006396,平谷区
346,北京博良胜合科技有限公司,GR201911007676,平谷区
347,北京辰坤悦航教育科技有限公司,GR201911006407,平谷区
348,北京云美家科技有限公司,GR201911007388,平谷区
349,北京奥星电器开关设备有限公司,GR201911005606,平谷区
350,北京京港玻璃钢船艇有限公司,GR201911006482,平谷区
351,北京耀极光机电有限公司,GR201911006995,平谷区
352,北京雷泽科技有限公司,GR201911005968,平谷区
353,建研西南（北京）科技发展有限公司,GR201911008541,平谷区
354,北京大圆亚细亚汽车科技有限公司,GR201911005677,平谷区
355,北京兴达振远工贸有限公司,GR201911005588,平谷区
356,欣佰特科技（北京）有限公司,GR201911006229,平谷区
357,北京富莱尔特科技发展有限公司,GR201911007845,平谷区
358,北京高中压阀门有限责任公司,GR201911008456,平谷区
359,北京奥优石化机械有限公司,GR201911008125,平谷区
360,北京思泰嘉业新能源汽车部件有限公司,GR201911008507,平谷区
361,北京乔基电气有限公司,GR201911006676,平谷区
362,北京乳凝创新生物科技有限公司,GR201911008497,平谷区
363,北京东方淼森生物科技有限公司,GR201911005850,平谷区
364,北京宏济药业有限公司,GR201911008152,平谷区
365,北京中水华峰生物技术有限公司,GR201911008060,平谷区
366,北京金典汉方药业股份有限公司,GR201911006520,平谷区
367,北京九州柏林生物科技有限公司,GR201911005976,平谷区
368,北京史坦纳生物动力农业有限责任公司,GR201911008086,平谷区
369,北京市平谷大华山农业技术推广站,GR201911007011,平谷区
370,北京友恩特科技有限公司,GR201911005525,平谷区
