序号,社会统一信用代码,企业名称,北京市_创新型_中小企业认定年度,北京市_创新型_中小企业认定批次,北京市_创新型_中小企业认定时间
50,91110105MA00BPE47K,北京首创热力股份有限公司,2022,第三批,44871
51,911101017447260032,北京旺达世嘉科技发展有限公司,2022,第三批,44872
52,91110000670551952A,中核大地勘察设计有限公司,2022,第三批,44873
53,91110101562071062D,北京民生智库科技信息咨询有限公司,2022,第三批,44874
54,91110108MA01WA0Y8M,中科链安（北京）科技有限公司,2022,第三批,44875
55,91110108MA006TLL47,支出宝（北京）信息技术有限公司,2022,第三批,44876
56,91110101MA0073CW15,银河威尔科技（北京）有限公司,2022,第三批,44877
57,91110105101158210W,北京天图设计工程有限公司,2022,第三批,44878
58,91110108766289899Y,北京六合联创科技有限公司,2022,第三批,44879
59,91110101678773859J,北京信索咨询股份有限公司,2022,第三批,44880
60,91110108554853478T,北京海晟天恒教育科技有限公司,2022,第三批,44881
61,91110101571241035D,北京合众思壮时空物联科技有限公司,2022,第三批,44882
62,91110101MA01FJ2E9K,金保信社保卡科技有限公司,2022,第四批,44896
63,91110101700246220E,北京星奥科技股份有限公司,2022,第四批,44897
64,911101010612856604,北京酷云互动科技有限公司,2022,第四批,44898
65,911101010918612353,北京沃资拓管理咨询有限责任公司,2022,第四批,44899
66,91110101685758913M,视联动力信息技术股份有限公司,2022,第四批,44900
67,91110116MA005W5A54,北京华创盈讯科技有限公司,2022,第四批,44901
68,91110101069632874C,中航金林科技（北京）有限公司,2022,第四批,44902
69,91350200302969730N,百川信（北京）信息服务有限公司,2022,第四批,44903
70,91110101721479082U,中交公规土木大数据信息技术（北京）有限公司,2022,第四批,44904
71,91110105MA00E0AD3T,北京医联共建科技有限公司,2022,第四批,44905
72,911101013443698059,中科浩博国际教育科技（北京）有限公司,2022,第四批,44906
73,91110000802044347C,中文在线数字出版集团股份有限公司,2022,第四批,44907
74,911101016835676032,北京迈瑞生医药科技有限公司,2023,第一批,44927
75,91110101MA01GLXJ84,北京裕芃科技有限公司,2023,第一批,44928
76,911101015769181212,北京瑞盖科技股份有限公司,2023,第二批,44958
77,91440300MA5DPMWWXH,海量安全技术有限公司,2023,第二批,44959
78,911101010648937416,北京纷扬科技有限责任公司,2023,第二批,44960
79,91110000754196791Q,北京歌华移动电视有限公司,2023,第二批,44961
80,91110108MA01KJY21H,蔷薇聚信（北京）科技有限公司,2023,第二批,44962
81,91110114MA01DT9PXP,北京华顺信安信息技术有限公司,2023,第三批,44986
82,911100001000027404,中国装饰股份有限公司,2023,第三批,44987
83,91110101685791326A,北京历源金成科技有限公司,2023,第三批,44988
84,91110101799956424A,北京沃姆互动行销策划有限公司,2023,第三批,44989
85,91110101MA01LYWB9H,凯弘新创（北京）科技有限公司,2023,第三批,44990
86,91110105MA00BXRE3B,北京伴刻翼科技有限公司,2023,第四批,45017
87,91110101575204565C,北京佳安华创科技有限公司,2023,第四批,45018
88,91110101558582126A,北京移动系统集成有限公司,2023,第四批,45019
89,911101017461426895,力景（北京）系统技术有限公司,2023,第四批,45020
90,91110101MA01F4MC98,北京幸福能量健康科技有限公司,2023,第五批,45047
91,91110101101211843J,北京安信创业信息科技发展有限公司,2023,第五批,45048
92,9111010105139955XC,北京长城电子商务有限公司,2023,第五批,45049
93,91110105MA01KLXG5R,锐合新创科技（北京）有限公司,2023,第六批,45078
94,91110109MA009REX9C,北京康鹤科技有限责任公司,2023,第六批,45079
95,91110101MA04FUP03J,北京北卡星科技有限公司,2023,第六批,45080
96,91110101560434237R,北京靓臣初新再生资源回收有限公司,2023,第六批,45081
97,91110101MA01G4YK61,智道网联科技(北京)有限公司,2023,第六批,45082
98,911101017650376146,北京鼎嘉峰乳品饮料机械有限公司,2023,第六批,45083
99,91110101101302796D,北京惟望科技发展有限公司,2023,第六批,45084
100,91110101MA01WCKL44,中诚信指数服务（北京）有限公司,2023,第六批,45085
101,91110228076584524H,北京宽东方科技集团有限公司,2023,第六批,45086
102,911101083396976014,北京兰博新科信息技术有限公司,2023,第六批,45087
103,91110105597669347C,北京金林伟业科技有限公司,2023,第六批,45088
104,91110101082842470Y,北京德和顺天科技有限公司,2023,第七批,45108
105,91110105699574074X,北京得网时代信息技术有限公司,2023,第七批,45109
106,91110101592388415G,戎易商智（北京）科技有限公司,2023,第七批,45110
107,91110106MA006U0CX5,北京竞娱科技有限公司,2023,第七批,45111
108,91110101MA008A016Y,北京爱车数据技术有限公司,2023,第七批,45112
109,91110101683555995W,北京凯凯金服科技股份有限公司,2023,第七批,45113
110,91110101786868839G,北京文创动力信息技术有限公司,2023,第七批,45114
111,91110000101223393X,北京北电科林电子有限公司,2023,第八批,45139
112,91110000801145381H,北京市政交通一卡通有限公司,2023,第八批,45140
113,911101011015206971,北京康祝医疗器械有限公司,2023,第八批,45141
114,911101011015098691,北京崇建工程有限公司,2023,第八批,45142
115,91110108742305655X,北京恒信通电信服务有限公司,2023,第八批,45143
116,91110116MA007C0F09,北京商鲲教育科技发展有限公司,2023,第八批,45144
117,91110105MA01C9KD1U,光环云数据有限公司,2023,第九批,45170
118,91110101327256403T,北京和缓医疗科技有限公司,2023,第九批,45171
119,9111010166991113X3,中青旅联科（北京）数字营销有限公司,2023,第九批,45172
