实施主体,职权编号,职权名称,职权种类
区公安消防支队,C0592300,对违规使用液化石油气的行为进行处罚,"警告,罚款"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
区公安消防支队,C0592700,对违规存放易燃可燃物品的行为进行处罚,罚款
,,,
,,,
,,,
,,,
区公安消防支队,C0592800,对未按规定安装避雷设施的行为进行处罚,罚款
,,,
,,,
,,,
,,,
区公安消防支队,C0593800,对擅自停用消防设施、器材的行为进行处罚,"警告,罚款"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
区公安消防支队,C0594300,对占用、堵塞、封闭消防车通道的行为进行处罚,"警告,罚款"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
区公安消防支队,C0594700,对违法监理安装、使用不符合市场准入、不合格、国家明令淘汰的消防产品的行为进行处罚,罚款
,,,
区公安消防支队,C0595100,对隐瞒情况、提供虚假材料申请资质的行为进行处罚,警告
,,,
区公安消防支队,C0595400,对资质被注销继续从事社会消防技术服务活动的行为进行处罚,罚款
,,,
区公安消防支队,C0595600,对超越资质范围从事社会消防技术服务活动的行为进行处罚,罚款
,,,
,,,
区公安消防支队,C0595700,对不再符合资质条件逾期未改的行为进行处罚,罚款
,,,
区公安消防支队,C0596100,对指派无资格人员从事社会消防技术服务活动的行为进行处罚,罚款
,,,
区公安消防支队,C0596200,对转包、分包消防技术服务项目的行为进行处罚,罚款
,,,
区公安消防支队,C0596800,对未建立、保管消防技术服务档案的行为进行处罚,罚款
,,,
区公安消防支队,C0596900,对未公示资质证书、注册消防工程师资格证书等事项的行为进行处罚,罚款
,,,
区公安消防支队,C0597000,对未按标准检测、维修、保养消防设施、灭火器的行为进行处罚,罚款
,,,
区公安消防支队,C0597200,对未依法公示消防技术服务信息的行为进行处罚,罚款
,,,
区公安消防支队,C0597600,对未进行经常性的内部防火安全检查，及时制止、纠正违法、违章行为，发现并消除火灾隐患的行为进行处罚,"警告,罚款"
,,,
,,,
区公安消防支队,C0597700,对未按规定配置消防设施、器材并指定专人维护管理，保证消防设施、器材的正常、有效使用的行为进行处罚,"警告,罚款"
,,,
,,,
区公安消防支队,C0598400,对未制定并完善火灾扑救和应急疏散预案，并至少每半年进行 一次演练的行为进行处罚,"警告,罚款"
,,,
,,,
区公安消防支队,C0598800,对未严格落实有关动用明火的管理制度的行为进行处罚,"警告,罚款"
,,,
,,,
区公安消防支队,C0598900,对未在消防安全重点部位设置明显的防火标志，实行严格管理的行为进行处罚,"警告,罚款"
,,,
,,,
区公安消防支队,C0599100,对未开展消防安全宣传教育的行为进行处罚,"警告,罚款"
,,,
,,,
区公安消防支队,C0599200,对未进行经常性的消防安全检查，未及时消除火灾隐患的行为进行处罚,"警告,罚款"
,,,
,,,
区公安消防支队,C0599300,对占用、堵塞消防车通道、堵塞消防车通道的行为未及时制止、纠正的行为进行处罚,"警告,罚款"
,,,
,,,
区公安消防支队,C0599400,对未保障公共消防设施和器材、消防安全标志、疏散通道、安全出口等设施符合消防安全要求的行为进行处罚,"警告,罚款"
,,,
,,,
区公安消防支队,C0599600,对单位未填写消防安全检查记录的行为进行处罚,"警告,罚款"
,,,
,,,
区公安消防支队,C0599800,对单位未对存在的火灾隐患及时予以消除的行为进行处罚,"警告,罚款"
,,,
,,,
,,,
区公安消防支队,C0600200,对违反《北京市建设工程施工现场消防安全管理规定》存放、保管施工材料的行为进行处罚,"警告,罚款"
,,,
区公安消防支队,C0600400,对未设置临时消防车道，或者影响临时消防车道畅通的行为进行处罚,"警告,罚款"
,,,
区公安消防支队,C0600900,对未设置符合要求的应急照明设施、消防安全疏散标志和安全出口，确保疏散通道和安全出口畅通的行为进行处罚,罚款
,,,
区公安消防支队,C0601000,对未开展防火巡查和自检自查，及时消除火灾隐患的行为进行处罚,罚款
,,,
区公安消防支队,C0601400,对未配置消防设施和灭火器材，并做好维护保养工作的行为进行处罚,"警告,罚款"
,,,
