序号,企业名称
119.0,北京新元纵横科技发展有限公司
120.0,北京质信捷机电设备有限公司
121.0,北京碧小荷水健康科技有限公司
122.0,北京炎明生物科技有限公司
123.0,北京塞维斯达能源科技有限公司
124.0,北京泛生子基因科技有限公司
125.0,北京中恒驿站数码信息技术有限公司
126.0,北京网联直流工程技术有限公司
127.0,北京成电尚品电子发展有限公司
128.0,北京立华莱康平台科技有限公司
129.0,佰诺全景生物技术（北京）有限公司
130.0,北京智康博药肿瘤医学研究有限公司
131.0,北京博诺安科科技有限公司
132.0,北京朗时云帆科技有限公司
133.0,北京贝科溥装备有限公司
134.0,北京艺天下文化科技有限公司
135.0,北京羽乐创新科技有限公司
136.0,北京中测国宇科技有限公司
137.0,柒星通信科技（北京）有限公司
138.0,北京中诺恒康生物科技有限公司
139.0,北京马尔贝拉科技发展有限公司
140.0,北京路微科技有限公司
141.0,北京巨榴莲科技有限公司
142.0,北京弹弓科技有限公司
143.0,北京蓝印科技有限公司
144.0,北京银河欣源科技有限公司
145.0,北京温致科技有限公司
146.0,北京路特思达机电设备有限公司
147.0,北京冠宇信息科技股份有限公司
148.0,北京电科汇能检测技术有限公司
149.0,北京航天通联科技有限公司
150.0,北京正泰实达环保科技有限公司
151.0,华丽联合高科技有限公司
152.0,国能（北京）新材料科技有限公司
153.0,北京科润康高新聚合物功能材料科技研发有限公司
154.0,中科航宇（北京）自动化工程技术有限公司
155.0,北京赛傲生物技术有限公司
156.0,北京大清西格科技有限公司
157.0,税通企惠（北京）科技有限公司
158.0,北京智睿博科技有限公司
159.0,英索油能源科技（北京）有限责任公司
160.0,北京洁胜伦保洁服务有限公司
161.0,北京九碧木信息技术有限公司
162.0,北京华阳风科技有限公司
163.0,北京世卓泽坤科技有限公司
164.0,北京恒远志创信息科技有限公司
165.0,中咨公路养护检测技术有限公司
166.0,北京宇田相变储能科技有限公司
167.0,北京瑞智康诚科技有限公司
168.0,北京金威焊材有限公司
169.0,北京零一信安科技有限公司
170.0,北京未来科学城科技发展有限公司
171.0,北京明博信安信息技术有限公司
172.0,拍库（北京）科技有限公司
173.0,北京翌特视讯科技有限公司
174.0,捷和泰（北京）生物科技有限公司
175.0,北京金源利恒生物技术有限公司
176.0,语坤（北京）网络科技有限公司
177.0,北京米兰之窗节能建材有限公司
178.0,北京好奇星教育科技有限公司
179.0,北京中远通科技有限公司
180.0,捍疆前沿科技（北京）有限公司
181.0,北京赛贝生物技术有限公司
182.0,北京云创世联科技股份有限公司
183.0,北京三一智能电机有限公司
184.0,北京地矿工程建设有限责任公司
185.0,北京百纳友为科技有限公司
186.0,中电普瑞电力工程有限公司
187.0,北京哈三联科技有限责任公司
188.0,直订网网络科技（北京）有限公司
189.0,文灵科技（北京）有限公司
190.0,北京坦隆环境科技有限公司
191.0,北京超尔科技有限公司
192.0,北京红拾科技有限公司
193.0,北京锐云通信息技术有限公司
194.0,北京传动联普科技有限公司
195.0,万华化学（北京）有限公司
196.0,超级植物（北京）科技有限公司
197.0,北京兰信万通科技有限公司
198.0,北京泰德汇智科技有限公司
199.0,北京引航动力科技有限公司
200.0,北京博华鑫诺科技有限公司
201.0,艾威德（北京）医疗科技有限公司
202.0,北京华神生电医疗科技有限公司
203.0,北京泛生子医学检验实验室有限公司
204.0,北京修成药业有限公司
205.0,华清储创科技有限公司
206.0,北京聚高科技有限公司
207.0,中创实（北京）科技有限公司
208.0,北京藏卫信康医药研发有限公司
209.0,北京北大医疗脑健康科技有限公司
210.0,国能锅炉压力容器检验有限公司
211.0,北京拓普尔通信技术有限公司
212.0,中泰建工（北京）建筑工程有限公司
213.0,北京青山绿野环保科技有限公司
214.0,北京巴视科技有限责任公司
215.0,北京微岩医疗器械有限公司
216.0,北赛泓升（北京）生物科技有限公司
217.0,北京科创汇捷科技发展有限公司
218.0,北京中农绿源智慧农业有限公司
219.0,国网思极网安科技（北京）有限公司
220.0,北京康益药业有限公司
221.0,北京智联天下科技有限公司
222.0,北京高科物流仓储设备技术研究所有限公司
223.0,莱帕克（北京）科技有限公司
224.0,北京易临医药科技有限公司
225.0,北京森科源科技有限公司
226.0,北京华信农威生物科技有限公司
227.0,北京苏鑫华安幕墙装饰工程有限公司
228.0,北京路新沥青混凝土有限公司
229.0,北京金万众空调制冷设备有限责任公司
230.0,北京赛瑞宏业能源技术服务有限公司
231.0,北京聚酒窝科技有限公司
232.0,北京云拓科技有限公司
233.0,北京象芯科技有限公司
234.0,北京北钨科技有限公司
235.0,北京万泰利克药业有限公司
236.0,北京智芯半导体科技有限公司
237.0,理润科技（北京）有限公司
238.0,北京北方供热服务有限公司
239.0,科稷达隆（北京）生物技术有限公司
240.0,北京万孛力医疗器械有限公司
241.0,北京阿波罗百嘉健康科技有限公司
242.0,北京中车重工机械有限公司
243.0,国贸食品科学研究院有限公司
244.0,北京海宝精机数控机械有限公司
245.0,北京宗合铁路轴承有限公司
246.0,北京中科清峰科技有限公司
247.0,北京得度科技有限公司
248.0,北京泰尧科技有限公司
249.0,北京深蓝海域信息科技有限公司
250.0,北京掌上先机网络科技有限公司
251.0,北京盛谦智能科技有限公司
252.0,中科科辅（北京）科技有限公司
253.0,北京乐恒软创科技有限公司
254.0,北京艾驰凯环保科技有限公司
255.0,北京新合睿恩生物医疗科技有限公司
256.0,北京半人科技有限公司
257.0,北京百慕合金有限责任公司
258.0,北京迈格松生物科技有限公司
259.0,北京盈科瑞创新药物研究有限公司
260.0,微元合成生物技术（北京）有限公司
261.0,北京南口鸭育种科技有限公司
262.0,北京趣活科技有限公司
263.0,北京诺博特生物科技有限公司
264.0,北京源诚工业安全技术有限公司
265.0,北京正天恒业数控技术有限公司
266.0,国能龙源蓝天节能技术有限公司
267.0,北京中科戎威科技有限责任公司
268.0,博奥生物集团有限公司
269.0,北京锐志天宏科技股份有限公司
270.0,北京益远建业加气建材有限公司
271.0,北京北斗银河科技有限公司
272.0,北京格联科技有限公司
273.0,北京蓝军网安科技发展有限责任公司
274.0,扬子江药业集团北京海燕药业有限公司
275.0,韦克斯科技（北京）有限公司
276.0,绪正达成（北京）科技有限公司
277.0,北京航星永志软件技术有限公司
278.0,北京望尔生物技术有限公司
279.0,北京兴马阳光新能源科技有限公司
280.0,博玮科技（北京）有限公司
281.0,北京正旦国际科技有限责任公司
282.0,德和资（北京）人工环境技术有限公司
283.0,北京天艺科创雨水利用科技有限公司
284.0,北京汇科智控科技有限公司
285.0,北京锐影医疗技术有限公司
286.0,北京易达未来科技有限公司
287.0,壹佰米机器人技术（北京）有限公司
288.0,北京华云尚通科技有限公司
289.0,健达九州（北京）生物科技有限公司
290.0,中电普瑞科技有限公司
291.0,北京华电科能科技有限公司
292.0,汉科软（北京）科技有限公司
293.0,北京翼美云动光电科技有限公司
294.0,北京青檬艾柯科技有限公司
295.0,北京车脉科技有限公司
296.0,北京精诚瑞博仪表有限公司
297.0,北京华创龙达建设工程有限公司
298.0,北京联合涂层技术有限公司
299.0,北京恒鼎义和节能科技有限公司
300.0,北京畅发物联科技有限公司
301.0,北京海科华昌新材料技术有限公司
302.0,北京昊瑞昌科技有限公司
303.0,北京比瓴科技有限公司
304.0,北京嘉信恒生环保科技有限公司
305.0,北京中科圣泰环境科技有限公司
306.0,北京视界恒通科技有限公司
307.0,北京国创鼎诚知识产权应用技术研究院
308.0,北京昌航精铸技术有限公司
309.0,北京银河华晨科技发展有限公司
310.0,北京泰时康达科技有限公司
311.0,中科世安技术有限公司
312.0,北京丈八网络安全科技有限公司
313.0,太平洋远景石油技术（北京）有限公司
314.0,北京山禾源环境科技有限公司
315.0,北京展视互动科技有限公司
316.0,北京玛斯生物技术有限公司
317.0,北京东方星火能源科技有限公司
318.0,中电智能卡有限责任公司
319.0,华电瑞源（北京）电气有限公司
320.0,北京秦云科技有限公司
321.0,赛迪顾问股份有限公司
322.0,北京风末光电科技有限公司
323.0,北京博道焦点科技有限公司
324.0,芯象半导体科技（北京）有限公司
325.0,北京恒天宇航飞行器总体设计研究所
326.0,北京网格蔚来科技有限公司
327.0,北京泰豪生物科技有限公司
328.0,北京龙马负图科技有限公司
329.0,北京小鸟科技股份有限公司
330.0,北京博晖创新生物技术集团股份有限公司
331.0,北京微点云智科技有限公司
332.0,赫迈泽自控科技（北京）有限公司
333.0,北京盈科瑞药物安全有效性研究有限公司
334.0,新迈尔（北京）科技有限公司
335.0,北京中科岚图科技发展有限公司
336.0,北京佳讯视通科技有限公司
337.0,赛翌恒威（北京）医疗科技有限公司
338.0,北京世纪森朗实验仪器有限公司
339.0,国勘数字地球（北京）科技有限公司
340.0,北京北农城乡规划设计有限公司
341.0,北京希福电气安装工程有限公司
342.0,斯迈旭（北京）生物科技有限公司
343.0,北京正通永信科技有限公司
344.0,北京金泰永享科技发展有限公司
345.0,黎拓生物技术（北京）有限公司
346.0,北京晋辉科技有限公司
347.0,云锦华彰（北京）生物科技有限公司
348.0,北京环六环环保科技有限公司
349.0,北京特希达交通基础设施科技有限公司
350.0,北京清博华科技有限公司
351.0,甲乙丙丁（北京）电子商务股份有限公司
352.0,北京华德星科技有限责任公司
353.0,北京品物堂产品设计有限公司
354.0,北京唯公医疗技术有限公司
355.0,北京水建研信息技术有限公司
356.0,北京兴源科创科技发展有限责任公司
357.0,北京顺达昌泰科技有限公司
358.0,奥泰利新技术集团有限公司
359.0,除卫士环保科技（北京）有限公司
360.0,北京兰贝科技有限公司
361.0,北京司雷植保科技有限公司
362.0,北京倍肯恒业科技发展股份有限公司
363.0,北京阳光欣禾科技有限公司
364.0,北京长城华瑞科技有限公司
365.0,英德物联（北京）科技有限公司
366.0,北京中勘迈普科技有限公司
367.0,桑普能源科技有限公司
368.0,北京宝德润生健康管理有限公司
369.0,北京汇思慧能科技有限公司
370.0,北京晴空千鲤科技有限公司
371.0,中矿复绿（北京）生态科技发展有限公司
372.0,北京洛奇医学检验实验室股份有限公司
373.0,北京拓界生物医药科技有限公司
374.0,北京巴塔科技有限公司
375.0,北京城建亚泰金砼混凝土有限公司
376.0,北京微控工业网关技术有限公司
377.0,北京五木恒润科技有限公司
378.0,万瑞（北京）科技有限公司
379.0,北京天凯华尊科技有限公司
380.0,北京水研环境科技股份有限公司
381.0,北京法安通安全信息技术股份有限公司
382.0,北京天工俊联传感器有限公司
383.0,中嘉能源管理（北京）有限公司
384.0,北京惠中医疗器械有限公司
385.0,北京夕航科技有限公司
386.0,北京藜麦信息技术有限责任公司
387.0,北京国腾创新科技有限公司
388.0,北京德康正泰科技有限公司
389.0,北京华澳维科技有限公司
390.0,北京神州三丰互联网科技有限公司
391.0,中科泓能（北京）科技有限公司
392.0,北京博商智远科技有限公司
393.0,北京合众有益科技有限责任公司
394.0,北京星越科技有限公司
395.0,维泰瑞隆（北京）生物科技有限公司
396.0,北京深云智合科技有限公司
397.0,北京尚文汇通能源科技有限公司
398.0,北京天祥恒业实业有限公司
399.0,北京开元格物科技有限公司
400.0,北京劲群科技有限公司
401.0,北京搜麦联网络科技有限公司
402.0,北京方位通讯设备有限公司
403.0,领创能源（北京）有限公司
404.0,北京北龙源开关设备有限责任公司
405.0,北京艾普飞特科技有限责任公司
406.0,北京蓝客科技有限责任公司
407.0,北京齐力科技有限公司
408.0,北京金源汇程新材料科技有限公司
409.0,北京瑞尔腾普装备科技有限公司
410.0,北京中科泰佳电子科技有限公司
411.0,北京奥乘智能技术有限公司
412.0,北京海纳数聚科技有限公司
413.0,北京华星恒业电气设备有限公司
414.0,未来链上（北京）数字科技有限公司
415.0,北京金炫业科技有限公司
416.0,北京硕方信息技术有限公司
417.0,北京家帮帮科技有限公司
418.0,北京优脑银河科技有限公司
419.0,中材克普（北京）生态环境有限公司
420.0,北京华信创智科技有限公司
421.0,北京优稳昌盛科技有限公司
422.0,北京优乐复生科技有限责任公司
423.0,北京智信颐达科技有限公司
424.0,景天下生态环境科技有限公司
425.0,北京闪拓数码科技发展有限公司
426.0,北京丰科卓辰电子技术有限公司
427.0,邦能达（北京）工业技术有限公司
428.0,北京绿长城环保科技有限责任公司
429.0,道博医疗科技（北京）有限公司
430.0,北京未来氢能科技有限公司
431.0,北京京翰林模具制造有限公司
432.0,禾生创源（北京）生物技术有限公司
433.0,北京万裕久鑫科技有限公司
434.0,北京源碳环境股份有限公司
435.0,北京皮托尔科技股份有限公司
436.0,北京乐土医学检验实验室有限公司
437.0,北京华信科创科技有限公司
438.0,北京思达建茂科技发展有限公司
439.0,北京优思安科技有限公司
440.0,北京东明电力工程有限公司
441.0,北京安信恒发科技有限公司
442.0,中科微机电技术（北京）有限公司
443.0,北京特希达科技有限公司
444.0,北京峰智科技有限公司
445.0,中电长城网际系统应用有限公司
446.0,北京众优科技有限公司
447.0,北京朝阳高科应用技术研究所有限公司
448.0,北京中维数通软件有限公司
449.0,环球赛乐（北京）科技有限公司
450.0,福氏环保科技发展（北京）有限公司
451.0,北京恒达交安科技发展有限公司
452.0,北京起源爱心生物科技有限公司
453.0,北京拓领博泰生物科技有限公司
454.0,诺灵生物医药科技（北京）有限公司
455.0,国网思极数字科技（北京）有限公司
456.0,北京科睿金信技术有限公司
457.0,北京康品汇科技有限公司
458.0,北京慧舟普度科技有限公司
459.0,易联讯达（北京）科技有限公司
460.0,三一筑工科技股份有限公司
461.0,北京中清泰和科技文化有限公司
462.0,北京安驰中恺科技有限公司
463.0,北京博兴远志科技有限公司
464.0,欧世盛（北京）科技有限公司
465.0,北京汉希工业科技有限公司
466.0,北京可瑞生物科技有限公司
467.0,北京黑六牧业科技有限公司
468.0,北京睿博兴科生物技术有限公司
469.0,北京沃太斯环保科技发展有限公司
470.0,北京比酷天地文化股份有限公司
471.0,北京清影华康科技有限公司
472.0,北京海望氢能科技有限公司
473.0,北京国科融智生物技术有限公司
474.0,北京金纳科技有限公司
475.0,北京兆瓦云数据科技有限公司
476.0,北京博奥晶方生物科技有限公司
477.0,北京安领可信网络科技有限公司
478.0,北京华中创世科技发展有限公司
479.0,中科云达（北京）科技有限公司
480.0,北京西清能源科技有限公司
481.0,北京国成环境技术有限公司
482.0,北京一诺前景财税科技有限公司
483.0,创模生物科技（北京）有限公司
484.0,北京中科浩电科技有限公司
485.0,圣其安全技术（北京）有限公司
486.0,北京汉青天朗水处理科技有限公司
487.0,北京锐海三维科技有限公司
488.0,北京鼎震科技有限责任公司
489.0,北京高标物联科技有限公司
490.0,北京科林索尔环境修复有限责任公司
491.0,北京永益润成科技有限公司
492.0,北京满洁环境工程有限公司
493.0,北京龙睿海拓科技发展有限责任公司
494.0,北京赛博云睿智能科技有限公司
495.0,北京力德恒业电气有限公司
496.0,北京丹序生物制药有限公司
497.0,北京启迪中谷能源科技有限公司
498.0,北京赛为达科技有限公司
499.0,中美冠科生物技术（北京）有限公司
500.0,碳氢联合科技（北京）有限公司
501.0,北京千方创新科技有限公司
502.0,北京中睿昊天信息科技有限公司
503.0,北京航研射频科技有限公司
504.0,北京爱普聚合科技有限公司
505.0,瑞达通（北京）科技发展有限公司
506.0,北京安通尼电子技术有限公司
507.0,北京信智特科技有限公司
508.0,华信仪表（北京）有限公司
509.0,北京蓝色星云科技发展有限公司
510.0,北京轻天下健康科技有限公司
511.0,晓雨（北京）科技有限公司
512.0,北京昌科医学检验实验室有限公司
513.0,北京雪迪龙科技股份有限公司
514.0,北京银河方圆科技有限公司
515.0,北京空间维特科技发展有限公司
516.0,北京茗禾科技有限公司
517.0,北京荷塘生华医疗科技有限公司
518.0,中茶科技（北京）有限公司
519.0,北京添彩嘉业科技有限公司
520.0,北京泰格青川网络技术有限公司
521.0,元码基因科技（北京）股份有限公司
522.0,北京乐可威信息技术有限公司
523.0,北京华瑞康源生物科技发展有限公司
524.0,呈像科技（北京）有限公司
525.0,演生潮（北京）生物科技有限公司
526.0,北京佳业勇迈科技有限公司
527.0,北京绿色能量环境工程有限公司
528.0,北京华易文档信息科技有限公司
529.0,北京泰谱克科技发展有限公司
530.0,际安科技（北京）有限公司
531.0,中安国泰（北京）科技发展有限公司
532.0,北京新尖科技有限公司
533.0,北京摩纳科技有限责任公司
534.0,北京麦基克科技有限公司
535.0,北京绿佳杰园林工程有限公司
536.0,北京联研国芯技术有限责任公司
537.0,北京北科麦思科自动化工程技术有限公司
538.0,北京中科华宇电子科技有限公司
539.0,北京中能科越电力技术有限公司
540.0,北京擎天信安科技有限公司
541.0,北京特恩迈测控技术有限公司
542.0,北京简元科技有限公司
543.0,北京未名脑脑科技有限公司
544.0,北京质为科技有限公司
545.0,北京中科奥特自动化设备有限公司
546.0,北京怡诚科训技术发展有限公司
547.0,北京虎蜥信息技术有限公司
548.0,中建材创新科技研究院有限公司
549.0,北京兆科恒兴科技有限公司
550.0,北京恒泰科创光电科技有限公司
551.0,北京爱育新苗教育科技有限公司
552.0,北京智视数策科技发展有限公司
553.0,北京易联创安科技发展有限公司
554.0,北京知蜂堂健康科技股份有限公司
555.0,北京和瑞储能科技有限公司
556.0,北京科大京都高新技术有限公司
557.0,北京菲波安乐仪表有限公司
558.0,北京心润心激光医疗设备技术有限公司
559.0,北京普开数据技术有限公司
560.0,北京盈科瑞生物医药研究有限公司
561.0,北京冬雪数据工程有限公司
562.0,北京星奇原生物科技有限公司
563.0,北京恒通安泰科技有限公司
