昌平区专精特新企业,,
序号,企业名称,统一社会信用代码
47,语坤（北京）网络科技有限公司,91110105MA00GKWP7G
48,英索油能源科技（北京）有限责任公司,91110114MA008G5J1K
49,卧龙电气集团北京华泰变压器有限公司,91110114600001728T
50,北京比酷天地文化股份有限公司,91110114696336513R
51,桑普能源科技有限公司,91110114MA00C66QXW
52,中科科辅（北京）科技有限公司,91110114MA001YQJ6X
53,北京新胜福瑞机械设备股份有限公司,911101146717193152
54,北京德众国良环保科技有限公司,911101145636454516
55,北京锦程前方科技有限公司,91110108767525662D
56,北京金房暖通节能技术股份有限公司,91110114101646767U
57,北京鑫汇普瑞科技发展有限公司,911101087351291559
58,北京天华新瑞科技有限公司,91110114569476927G
59,北京弘进久安生物科技有限公司,91110114MA01FJUP7F
60,北京力威尔航空精密机械有限公司,91110114721445587E
61,北京华油鑫业工程技术有限公司,91110114760114086T
62,北京凯丰源信息技术股份有限公司,91110114696304423F
63,北京克力爱尔生物实验室工程有限公司,91110114746114354K
64,北京杰创永恒科技有限公司,911101146705977740
65,北京环鼎科技有限责任公司,91110114700233024W
66,北京华科兴盛电力工程技术有限公司,91110114761428829X
67,北京英特莱科技有限公司,911101147334473015
68,北京博德世达石油技术股份有限公司,911101146605332834
69,北京新世纪纳米塑胶材料有限公司,911101147521611304
70,数坤（北京）网络科技股份有限公司,91110105MA00FJHN72
71,北京昆仑隆源石油开采技术有限公司,9111011459766292XY
72,中节能铁汉盖雅（北京）环境科技有限公司,91110108758711957H
73,北京百奥药业有限责任公司,91110114101146762F
74,北京兴普精细化工技术开发有限公司,9111011410110620XH
75,北京北斗银河科技有限公司,91110114760926965K
76,北京美科艺数码科技发展有限公司,91110108744702689E
77,中生北控生物科技股份有限公司,9111000010194414XN
78,北京中联太信科技有限公司,911101146699372921
79,北京九州鹏跃科技有限公司,9111011406959496XK
80,华云升达（北京）气象科技有限责任公司,911101085996382962
81,北京中盾安民分析技术有限公司,91110114759611835W
82,北京亿玛在线科技股份有限公司,911101147855454052
83,盈科视控（北京）科技有限公司,911101140805242419
84,北京桦冠医药科技有限公司,91110114MA003WCM71
85,北京绿创声学工程股份有限公司,91110114766755618N
86,北京广厦环能科技股份有限公司,911101147226688971
87,北京晶品特装科技股份有限公司,91110114691650917R
88,北京亚东生物制药有限公司,91110114625903429M
89,北京金科龙石油技术开发有限公司,91110114600418275Y
90,中电智能科技有限公司,91110114MA01DKC77H
91,北京灵思创奇科技有限公司,911101140854603988
92,北京二六三企业通信有限公司,91110114585817189X
93,北京那镁克科技有限公司,911101143483846073
94,北京国电光宇机电设备有限公司,91110114795111598X
95,北京博康健基因科技有限公司,911100006343911035
96,元码基因科技（北京）股份有限公司,911101143183483307
97,北京中超伟业信息安全技术股份有限公司,91110114685107782U
98,北京联合普肯工程技术股份有限公司,911101147642169010
99,北京紫通科技有限责任公司,91110114102634426K
100,北京亿玮坤节能科技有限公司,91110114560387901G
101,北京贺氏天翔文化股份有限公司,91110114799976257M
102,北京国铁科林科技股份有限公司,911101147693919951
103,北京夕航科技有限公司,91110105MA01BGHT7B
104,北京青檬艾柯科技有限公司,91110114MA0071N474
105,北京特希达交通基础设施科技有限公司,91110114562094221H
106,北京瑞尔腾普装备科技有限公司,91110114MA01TYKA8K
107,北京得度科技有限公司,91110114MA01TF2MX3
108,北京哈三联科技有限责任公司,91110114573153805J
109,北京司雷植保科技有限公司,91110114MA00CLCD25
110,北京惠中医疗器械有限公司,911101145674909441
111,中外建设信息有限责任公司,9111011410116811XR
112,北京藜麦信息技术有限责任公司,91110114MA00A2J08T
113,北京三重华星电子科技有限公司,91110114071656154A
114,北京源诚工业安全技术有限公司,911101143303621945
115,北京视睿讯科技有限公司,91110114563669410B
116,北京东大金智科技股份有限公司,91110114773362716D
117,工福（北京）科技发展有限公司,91110114MA01B1HB9N
118,北京天地华泰矿业管理股份有限公司,911101147839532452
119,北京浦然轨道交通科技股份有限公司,911101146804798353
120,北京绿人科技有限责任公司,91110114556873720F
121,中生康元生物科技（北京）有限公司,91110108MA01CGCJ90
122,北京石大博诚科技有限公司,9111011479213812XG
123,北京华彬立成科技有限公司,911101143303623702
124,北京市华仁益康科技发展有限公司,91110114759628784K
125,北京东方同华科技股份有限公司,9111011472266225XK
126,北京运达华开科技有限公司,91110114MA00A58R7E
127,北京蛙火科技有限公司,91110105MA003XN85C
128,北京特希达交通勘察设计院有限公司,9111011475528550X3
129,北京光耀电力科技股份有限公司,91110114788646973U
130,北京博鹏中科环保科技有限公司,91110114MA017MLD62
131,北京直真科技股份有限公司,91110114682851688K
132,北京亿安天下科技股份有限公司,91110114696339036E
133,北京东豪建设集团有限公司,911100001026899611
134,北京小诚互娱文化科技有限公司,91110114MA0089C52E
135,北京普诺泰新材料科技有限公司,91110114746733884T
136,际高建业有限公司,9111011416668553XL
137,北京拓首能源科技股份有限公司,91110114051412769P
138,北京钛核互动信息技术有限公司,91110114318288040K
139,北京光耀环境科技有限公司,9111011479598556XK
140,北京希诺谷生物科技有限公司,91110108057361050F
141,北京九通衢检测技术股份有限公司,911101147533173287
142,北京精耕天下农业科技股份有限公司,91110114682898048Y
143,北京市腾河电子技术有限公司,91110114582515556F
144,北京壹心壹翼科技有限公司,91110114MA01C3GM3Y
145,北京鑫源寰宇环保科技有限公司,91110114MA01CDK9XC
146,北京煜邦电力技术股份有限公司,9111011410269391XD
147,北京博华信智科技股份有限公司,911101147899806312
148,北京信远华油科技有限公司,91110114580882942L
149,彩虹无线（北京）新技术有限公司,911101145769069807
150,北京宸控科技有限公司,91110114327153359F
151,北京东华原医疗设备有限责任公司,911101147214425627
152,博雅辑因（北京）生物科技有限公司,911101083443039021
153,北京世纪沃德生物科技有限公司,91110108738218778W
154,北京宏途创联科技有限公司,91110114MA0192XA42
155,北京星天地信息科技有限公司,91110108750149357F
156,北京安泰钢研超硬材料制品有限责任公司,91110114722666875A
157,北京和众大成环保科技有限公司,911102287951362427
158,北京盟固利新材料科技有限公司,911101147226031536
159,北京睿泽恒镒科技股份公司,91110114793442203X
160,有研医疗器械（北京）有限公司,91110114MA003QJ56J
161,北京爱康宜诚医疗器材有限公司,91110114750144214X
162,北京金晟达生物电子科技有限公司,911101140855023915
163,北京威林视讯科技有限公司,91110105584410862R
164,有研亿金新材料有限公司,91110000722661900N
165,北京豪锐达科技有限公司,911101147382191725
166,北京中实奥杰石油科技有限公司,911101140627559433
167,天新福（北京）医疗器材股份有限公司,9111011473511501XT
168,北京太极华保科技股份有限公司,91110114740436061T
169,北京派尔特医疗科技股份有限公司,911101147426127944
170,北京乐普诊断科技股份有限公司,911101146705533929
171,北京珠穆朗玛绿色建筑科技有限公司,911101147226697936
172,中农实创（北京）环境工程技术有限公司,91110114585807941N
173,北京祐林永磁材料有限公司,91110114700009196Y
174,北京科信印刷有限公司,91110114X00386660F
175,北京奥维视讯科技有限责任公司,911101146728036661
176,北京丈八网络安全科技有限公司,91110114MA0205PL3R
177,中天智领（北京）科技有限公司,91110108MA0035D42R
178,北京水研环境科技股份有限公司,91110114330366769G
179,北京阿叟阿巴科技有限公司,91110101MA00BN7M43
180,北京星奇原生物科技有限公司,91110108MA01GDHE3Y
181,北京格瑞德曼仪器设备有限公司,91110108569454306M
182,北京乐思创信科技有限公司,91110114684368251X
183,北京百纳友为科技有限公司,91110108584417917P
184,北京华夏智邦科技有限公司,91110108318279320C
185,国勘数字地球（北京）科技有限公司,91110114MA01BFQM4E
186,北京万古科技股份有限公司,91110108802025074M
187,北京中电智诚科技有限公司,91110114MA00C5WA1D
188,北京航天润普科技发展有限公司,911101146892325568
189,北京溢美四方软件技术有限公司,91110114067321749T
190,北京仁和诚信科技有限公司,91110114795140698K
191,中能瑞通（北京）科技有限公司,91110114MA002UJQ3T
192,北京炎黄国芯科技有限公司,91110108MA00968A5J
193,北京中联普瑞科技有限公司,9111010859066368XA
194,北京博纳电气股份有限公司,911101147704431668
195,北京托摩根生物科技有限公司,91110108776358309F
196,北京乐讯科技有限公司,91110114MA009AQ33J
197,北京上品极致产品设计有限公司,911101145732116300
198,北京红亚华宇科技有限公司,91110108592335006L
199,北京西盈信息技术有限公司,9111010869630700X7
200,北京安控雅智信息技术有限公司,91110114MA01F5P88E
201,北京斯贝克科技有限责任公司,91110114634390856J
202,北京网加时代科技有限公司,91110108335583455A
203,凯姆德（北京）能源环境科技有限公司,911101145636753945
204,北京资顺晨化科技有限公司,91110114690041618M
205,北京中景合天科技有限公司,91110114330284173B
206,北京赢家积财科技有限公司,91110114MA00BKRJ9T
207,北京飞马拓新电子设备有限公司,91110114754674730W
208,北京智胜东南信息技术有限公司,91110108318016985T
209,北京微未来科技有限公司,91110108MA01AG6127
210,瞭望者科技集团有限公司,91110114585806973Q
211,英赛克科技（北京）有限公司,91110108327202405J
212,酷渲（北京）科技有限公司,91110113MA00BKE6XF
213,北京至真互联网技术有限公司,91110108MA002L8738
214,北京神州安付科技股份有限公司,91110114MA001D4X3K
215,北京镁伽机器人科技有限公司,91110108MA006K8Y3P
216,北京中盛永信科技发展有限公司,9111010880209431XW
217,北京驮丰高新科技股份有限公司,9111010730672858XR
218,钧捷科技（北京）有限公司,91110117MA002H1C9K
219,中科航宇（北京）自动化工程技术有限公司,91110108696379628Y
220,北京中农弘科生物技术有限公司,91110114061347534L
221,北京瑞斯福高新科技股份有限公司,911101147552574021
222,北京清能互联科技有限公司,91110108763508021H
223,中科微机电技术（北京）有限公司,91110108MA004DJH4B
224,北京朗迪制药有限公司,911101147560300581
225,北京深华达交通工程检测有限公司,91110114802238600C
226,华钛空天（北京）技术有限责任公司,91110105MA007YHJ14
227,安路普（北京）汽车技术有限公司,911101085751656748
228,北京星辰万有科技有限公司,911101147355554619
229,北京光华荣昌汽车部件有限公司,91110114801184540U
230,北京翌特视讯科技有限公司,9111011469635448XW
231,北京虎蜥信息技术有限公司,91110108763545308F
232,北京立华莱康平台科技有限公司,911101087493506194
233,北京火星人视野科技有限公司,911102283067839097
234,美亚联创（北京）科技有限公司,91110114592312031Q
235,北京麦颂文化传播有限公司,91110114082819596F
236,中广高科（北京）信息技术有限公司,91110108071687049U
237,北京小佑科技有限公司,91110114MA01BHQ500
238,北京澜景科技有限公司,91110108351312831B
239,北京金科复合材料有限责任公司,911101146343949969
240,酷黑科技（北京）有限公司,91110114MA009DUH1H
241,北京市云合互联科技有限公司,91110114335445191K
242,北京质信捷机电设备有限公司,911101145732234637
243,北京菲波安乐仪表有限公司,911101141026776880
244,中咨公路养护检测技术有限公司,91110114700346598W
245,北京天工俊联传感器有限公司,91110101663120476P
246,北京盈帜新源科技有限公司,911101146857923611
247,有谦软联（北京）信息技术有限公司,91110114558573633Q
248,北京金隅北水环保科技有限公司,91110114634391832B
249,福星东联（北京）科技有限公司,9111011467573351XL
250,东方博沃（北京）科技有限公司,91110108795980734L
251,北京万龙精益科技有限公司,91110114590663348R
252,北京中科仙络咨询服务有限公司,91110114663718216J
253,北京华阜康生物科技股份有限公司,911100006812028979
254,北京金隅红树林环保技术有限责任公司,91110000783956745M
255,北京华业阳光新能源有限公司,9111011463438523X2
256,普迈德（北京）科技有限公司,91110114078587382R
257,北京东联哈尔仪器制造有限公司,91110114752630400G
258,北方天途航空技术发展（北京）有限公司,911101146796092682
259,北京中生金域诊断技术股份有限公司,91110114746701241M
260,北京智影技术有限公司,91110108330299981R
261,北京睿仁医疗科技有限公司,91110114678777761W
262,北京天宇沃特仪表科技有限公司,9111011406727695XD
263,三一机器人科技有限公司,91110114MA01Q13G2B
264,铁科（北京）轨道装备技术有限公司,911101146900106275
265,北京港创瑞博混凝土有限公司,911101068021295519
266,北京市燕通建筑构件有限公司,91110114076634229D
267,艾美特焊接自动化技术（北京）有限公司,911101147667528632
268,三一石油智能装备有限公司,91110114351633723Y
269,北京藏卫信康医药研发有限公司,91110114327233957E
270,万瑞（北京）科技有限公司,91110114775485015N
271,中交星宇科技有限公司,91110114MA0080FJ1Q
272,天根生化科技（北京）有限公司,91110108777650264L
273,北京盈科瑞创新医药股份有限公司,9111010278170742XX
274,北京阳光诺和药物研究股份有限公司,91110107685771683F
275,北京旭亚威科技发展有限公司,91110114660533021C
276,北京冠程科技有限公司,91110105306560473M
277,北京捷威思特科技有限公司,911101087704429215
278,依科瑞德（北京）能源科技有限公司,91110114777094261D
279,济凡生物科技（北京）有限公司,91110106MA007LG55K
280,北京泽辉辰星生物科技有限公司,91110114MA01FLQH14
281,北京康比特体育科技股份有限公司,911101148026529400
282,北京鼎成肽源生物技术有限公司,911101140962727988
283,北京众博达石油科技有限公司,9111011410265366XJ
284,北京志恒达科技有限公司,91110114802659237F
285,北京品驰医疗设备有限公司,9111011468357108XG
286,北京佰仁医疗科技股份有限公司,911101147770556682
287,北京新雷能科技股份有限公司,91110114102699924C
288,北京科林之星环保技术有限公司,91110114802662620L
289,北京知蜂堂健康科技股份有限公司,91110114634393459T
290,爱美客技术发展股份有限公司,91110114763510383J
291,爱博诺德（北京）医疗科技股份有限公司,9111011455135477XA
292,北京云航智信新能源科技有限公司,91110108MA01F9BH3B
293,北京中测国宇科技有限公司,91110108MA002UA03Y
294,北京石头创新科技有限公司,91110114MA01G73P8J
295,北京金威焊材有限公司,91110114600024735P
296,北京蓝印科技有限公司,91110108357964275K
297,北京中石曙光科技有限公司,91110108802047951B
298,北京卡林新能源技术有限公司,9111010857519503XN
299,北京民康百草医药科技有限公司,91110116787765460N
300,北京金河生态科技有限公司,91110108080468200M
301,伊特克斯惰性气体系统（北京）有限公司,91110114787775909K
302,昂坤视觉(北京)科技有限公司,91110114MA00BT241K
303,北京三盟恒业光电科技有限公司,91110114069595882K
304,民航协发机场设备有限公司,91110114100028190G
305,北京企慕科技有限公司,91110114MA0082KF6A
306,北京海吉雅医疗器材有限公司,91110107802351689U
307,稳恩佳力佳（北京）石油化工设备有限公司,91110114101175352P
308,北京昌东科技有限公司,91110114069641738A
309,北京创衡控制技术有限公司,91110108MA005LFA9W
310,北京科力丹迪技术开发有限责任公司,91110114744749508L
311,北京和光伟业传感技术有限公司,911101140649300630
312,北京赛凡策划有限公司,91110108781732895B
313,山景智能（北京）科技有限公司,91110114MA01HY7M85
314,爱协林热处理系统（北京）有限公司,911101147786008750
315,北京首钢吉泰安新材料有限公司,91110114801102904E
316,北京燕能电气技术有限公司,91110114306797948E
317,北京集光通达科技股份有限公司,91110108693246395R
318,北京智科车联科技有限公司,91110114MA01FEJH8C
319,北京宝德仪器有限公司,91110114330291285A
320,北京铁科首钢轨道技术股份有限公司,91110000795997288B
321,华夏龙晖（北京）汽车电子科技股份有限公司,91110114789980340Y
322,北京华电中试电力工程有限责任公司,91110114569480459R
323,中国医药研究开发中心有限公司,911101147488054749
324,北矿新材科技有限公司,91110000717830992R
325,北京航瑞达科技有限公司,91110114661560523N
326,北京新网医讯技术有限公司,91110114721441033K
327,北京易加三维科技有限公司,9111011431820154X9
328,鑫精合激光科技发展（北京）有限公司,91110105MA0022DL84
329,北京理工导航控制科技股份有限公司,91110114590616795B
330,北京希望组生物科技有限公司,911101143064109851
331,北京大成国测科技股份有限公司,91110114567475496L
332,北京京瀚禹电子工程技术有限公司,911101086774083588
333,北京兆信信息技术股份有限公司,91110114744716255J
334,北京华易德科技有限公司,91110114MA00CLA70D
335,北京慧聪国际资讯有限公司,91110000700007940P
336,北京星闪世图科技有限公司,91110108318027254U
337,北京陶冶正和旅游文化有限公司,911101146723623543
338,北京石油机械有限公司,91110114101929281W
339,莱帕克（北京）科技有限公司,91110108554885111K
340,北京特恩迈测控技术有限公司,91110114MA01NYQK51
341,北京掌上先机网络科技有限公司,91110114589114325P
342,北京星越科技有限公司,91110108317907508M
343,北京炎明生物科技有限公司,91110114MA01WLW89Y
344,超目科技（北京）有限公司,91110108MA01D2MG57
345,鲲鹏基因（北京）科技有限责任公司,91110302MA004N2T15
346,北京爱博生生物技术有限公司,911101086000888353
347,北京智信颐达科技有限公司,91110114348318503P
348,北京西清能源科技有限公司,91110106MA01G0JC4T
349,北京安通尼电子技术有限公司,911101147382085453
350,北京普赞生物技术有限公司,911101085548635109
351,北京优脑银河科技有限公司,91110108MA01LCKTXY
352,博奥生物集团有限公司,91110000722615242F
353,北京可瑞生物科技有限公司,91110114MA004CT06U
354,北京北大医疗脑健康科技有限公司,91110114317911857T
355,北京视界恒通科技有限公司,91110114074147945Y
356,国珍健康科技（北京）有限公司,91110114MA006D9P7W
357,佰诺全景生物技术（北京）有限公司,91110108MA01B3PH48
358,北京清辉联诺生物科技有限责任公司,91110114MA01ETXE8N
359,北京锐志天宏科技股份有限公司,91110114752619949E
360,北京冠宇信息科技股份有限公司,911101086892191598
361,北京简元科技有限公司,91110114MA01AT5F6A
362,北京汉智兴科技有限公司,91110114MA01AMXH11
363,北京慧宝源生物技术股份有限公司,91110108579008561M
364,北京中电昱邦技术有限公司,91110114580885633B
365,北京寻因生物科技有限公司,91110116358313263P
366,北京华亘安邦科技有限公司,91110114740405548C
367,北京创驰恒业科技有限公司,91110114MA01CY5836
368,北京华电智成电气设备有限公司,91110114318013469Q
369,北京和峰科技有限公司,911101143398244559
370,北京蓝晶微生物科技有限公司,91110108MA0094YX3E
371,华辉安健（北京）生物科技有限公司,91110114327298726F
372,北京金石湾管道技术有限公司,911101147493774835
373,北京力博明科技发展有限公司,91110114765007116K
374,北京质肽生物医药科技有限公司,91110114MA01EM1L27
375,北京博瑞世安科技有限公司,91110114MA00A2AA25
376,北京电通纬创电子技术有限公司,911101147513081885
377,北京北清视通信息技术有限公司,9111010874334084XK
378,北京见合八方科技发展有限公司,911101143354993092
379,北京铭海博纳科技发展有限公司,91110114089690457U
380,华电安诺（北京）信息科技有限公司,91110114MA001K6218
381,北京康润诚业生物科技有限公司,9111011476992523XK
382,北京库尔科技有限公司,91110114785541383H
383,中铝润滑科技有限公司,91110000710935724Q
384,帕潘纳（北京）科技有限公司,911101145657876723
385,北京中拓新源科技有限公司,91110105082804220P
386,北京万泰德瑞诊断技术有限公司,91110114777068418Y
387,东方众通科技发展集团有限公司,91110108MA0037LU1L
388,北京豪思生物科技股份有限公司,91110115MA0048EL1E
389,北京康彻思坦生物技术有限公司,91110114685127898L
390,军科正源（北京）药物研究有限责任公司,91110114335534768U
391,北京京创鑫业科技有限公司,91110114770426235X
392,北京中智核安科技有限公司,91110102076598360P
393,北京中泰华电科技有限公司,911101055960425698
394,北京碧水源智慧科技股份有限公司,91110114MA007HYC6A
395,同昕生物技术（北京）有限公司,91110114780951033E
396,北京视通科技有限公司,91110114096962836U
397,北京军腾高科信息技术有限公司,91110114690005502A
398,北京恒峰铭成生物科技有限公司,91110114MA005C5336
399,北京市大唐盛兴科技发展有限公司,91110105675096629E
400,轩昂环保科技股份有限公司,91110115766298250H
401,图湃（北京）医疗科技有限公司,91110108MA01850A7Y
402,北京市腾河智慧能源科技有限公司,9111011408549335X2
403,北京智盟信通科技有限公司,91110114MA00FC028M
404,北京集智达智能科技有限责任公司,911101147662920194
405,中航工程集成设备有限公司,91110114737678932R
406,北京金匙基因科技有限公司,91110108MA0177EG55
407,北京和欣运达科技有限公司,91110114688369286G
408,百世诺（北京）医学检验实验室有限公司,91110114MA0017GR4B
409,华夏英泰（北京）生物技术有限公司,91110108MA01B5CY6U
410,北京恩泽康泰生物科技有限公司,91110114MA00EXGC3E
411,北京中因科技有限公司,91110108MA0036544R
412,北京海林自控科技股份有限公司,91110114700200484W
413,北京华电光大环境股份有限公司,91110114062812004W
414,北京康普森生物技术有限公司,91110114580879794F
415,北京吉因加科技有限公司,91110114339725350Q
416,北京卓诚惠生生物科技股份有限公司,91110114556887989H
417,保诺科技（北京）有限公司,91110000783203401M
418,北京仁和汇智信息技术有限公司,911101146717403927
419,北京湃生生物科技有限公司,9111011432714054XA
420,艾吉泰康生物科技（北京）有限公司,91110106317940500C
421,北京合生基因科技有限公司,91110114306537337L
422,北京果壳生物科技有限公司,91110105MA00BW5816
423,北京东方棱镜科技有限公司,911101053063655714
424,北京益序医疗科技有限公司,91110114MA004J7G6U
425,北京吉因加医学检验实验室有限公司,91110114MA001MKJ5D
426,百世诺（北京）医疗科技有限公司,91110114069556402W
427,北京晶科瑞医学检验实验室有限公司,91110114MA00F91L1J
428,北京天诚医药科技有限公司,91110114MA002CX94G
429,博雅缉因（北京）生物科技有限公司,91110114MA004BYF81
430,北京诺诚健华医药科技有限公司,91110108085491397X
431,扬子江药业集团北京海燕药业有限公司,911101147587111807
432,北京勤邦科技股份有限公司,91110114685143687P
433,北京赛科希德科技股份有限公司,9111011475010452XE
434,北京雪迪龙科技股份有限公司,91110000802661150M
435,北京和盛天成科技有限公司,91110114MA01PULA1N
436,北京元安物联技术有限公司,91110105MA00FEMY5X
437,北京中清泰和科技文化有限公司,91110114662172215W
438,北京星辉汇智科技发展有限公司,91110114MA00BWBA6T
439,北京泰科智康环保科技有限公司,91110114MA01L7WEX7
440,北京金圣奥能源技术有限公司,91110114MA0181BM48
441,北京环渤高科能源技术有限公司,91110114318321787N
442,北京朝阳高科应用技术研究所有限公司,9111010510168953X5
443,北京黑六牧业科技有限公司,91110114746132544Y
444,北京恒鼎义和节能科技有限公司,91110116078501606J
445,国网思极网安科技（北京）有限公司,91110114MA017EAC6M
446,北京中科奥特自动化设备有限公司,911101145923135874
447,神华（北京）新材料科技有限公司,911101143529855286
448,北京帝测科技股份有限公司,911101147635026902
449,国能智深控制技术有限公司,91110108739373518E
450,中兴智慧（北京）技术有限公司,91110108740400560U
451,国网思极位置服务有限公司,91110114MA0179158D
452,国能信控互联技术有限公司,91110114749385547C
453,北京安科腐蚀技术有限公司,911101146892101703
454,北京利尔高温材料股份有限公司,911100007226626717
455,北京和荣工程技术有限公司,91110114MA0031GP27
456,迈邦（北京）环保工程有限公司,91110105339808818H
457,北京市意华健科贸有限责任公司,911101066337628734
458,北京朔方科技发展股份有限公司,91110114799030437D
459,北京文海阳工贸有限责任公司,911101147003450774
460,北京力源兴达科技有限公司,91110114802650320D
461,北京聚合信机电有限公司,9111010559230244XE
462,北京兰光精密机电有限公司,91110108102025858X
463,北京苏试创博环境可靠性技术有限公司,91110114567449722P
464,北京建工华创科技发展股份有限公司,91110114634323063C
465,北京巴视科技有限责任公司,91110114MA00ATLT1Q
466,北京博华鑫诺科技有限公司,91110106672378225X
467,北京方位通讯设备有限公司,91110114MA01NP5H27
468,北京格联科技有限公司,911101143552941837
469,北京汉青天朗水处理科技有限公司,91110114740099464L
470,北京华档致远科技有限公司,91110114MA01JX5N1M
471,北京华能新锐控制技术有限公司,911101087501357131
472,北京吉检医疗科技有限公司,91110114MA01LPGB20
473,北京金炫业科技有限公司,91110114758239699W
474,北京晋辉科技有限公司,91110114MA0042DQXR
475,北京九碧木信息技术有限公司,9111010807419707XA
476,北京康普森农业科技有限公司,91110114MA01AG751K
477,北京科睿金信技术有限公司,91110108MA002GGC1P
478,北京科润康高新聚合物功能材料科技研发有限公司,911101146774353644
479,北京绿长城环保科技有限责任公司,911101147002761045
480,北京玛斯生物技术有限公司,911101147415815271
481,北京普开数据技术有限公司,91110105565805658Q
482,北京起源爱心生物科技有限公司,91110114MA008PPWXD
483,北京赛傲生物技术有限公司,9111011407415343XN
484,北京三一智能电机有限公司,91110114MA01TEQG0R
485,北京深蓝海域信息科技有限公司,91110114781719260F
486,北京时信互联网络科技有限公司,91110114MA002A0PX9
487,北京硕方电子科技有限公司,911101145844565611
488,北京硕方信息技术有限公司,91110114MA001GR24P
489,北京拓领博泰生物科技有限公司,91110108MA01QN8P8K
490,北京泰格青川网络技术有限公司,91110114MA01K2GF74
491,北京坦隆环境科技有限公司,91110108MA005YAR1F
492,北京特希达科技有限公司,91110114634349001T
493,北京微控工业网关技术有限公司,91110114327262627A
494,北京新尖科技有限公司,91110114MA020U772D
495,北京星亢原生物科技有限公司,91110108MA01E9DD8A
496,北京怡诚科训技术发展有限公司,91110114669929073D
497,北京易联创安科技发展有限公司,911101146699458906
498,北京易临医药科技有限公司,91110114MA009E4W1H
499,北京优乐复生科技有限责任公司,9111010235157599XG
500,北京正天恒业数控技术有限公司,911101145657992192
501,北京智睿博科技有限公司,91110114085526043H
502,北京中核北研科技发展股份有限公司,91110114721444541G
503,北京中科泰佳电子科技有限公司,91110117069560807T
504,北京中睿昊天信息科技有限公司,91110114742647823T
505,北京中远通科技有限公司,911101146343121457
506,国能锅炉压力容器检验有限公司,911101140960676712
507,华泰慧能（北京）能源技术有限公司,91110114MA006AC702
508,华信仪表（北京）有限公司,91110114673840688Q
509,捷和泰（北京）生物科技有限公司,9111011458907786X4
510,领创能源（北京）有限公司,91110114MA01GT2B7N
511,诺灵生物医药科技（北京）有限公司,91110114MA001F409N
512,赛司医疗科技（北京）有限公司,91110114078509966N
513,韦克斯科技（北京）有限公司,91110114MA002A6033
514,中电智能卡有限责任公司,911101141011704125
