附件 1,Unnamed: 1,Unnamed: 2
44,红石阳光(北京)科技股份有限公司,朝阳区
45,华夏天信物联科技有限公司,朝阳区
46,华夏文广传媒集团股份有限公司,朝阳区
47,京东方再生医学科技有限公司,朝阳区
48,康硕电气集团有限公司,朝阳区
49,新港海岸（北京）科技有限公司,朝阳区
50,一铭寰宇科技（北京）有限公司,朝阳区
51,中电科安科技股份有限公司,朝阳区
52,中交一公局第五工程有限公司,朝阳区
53,中万恩科技有限公司,朝阳区
54,傲林科技有限公司,丰台区
55,北京阿瑞新通科技有限公司,丰台区
56,北京埃福瑞科技有限公司,丰台区
57,北京鼎兴达信息科技股份有限公司,丰台区
58,北京东青互联科技有限公司,丰台区
59,北京动力源新能源科技有限责任公司,丰台区
60,北京高控科技有限公司,丰台区
61,北京恒润泰生医药科技有限公司,丰台区
62,北京凯普林光电科技股份有限公司,丰台区
63,北京梅凯尼克环保科技有限公司,丰台区
64,北京免疫方舟医药科技有限公司,丰台区
65,北京能高普康测控技术有限公司,丰台区
66,北京睿悦生物医药科技有限公司,丰台区
67,北京三月雨文化传播有限责任公司,丰台区
68,北京实力源科技开发有限责任公司,丰台区
69,北京天达京丰技术开发有限公司,丰台区
70,北京天拓四方科技有限公司,丰台区
71,北京威安国泰科技有限公司,丰台区
72,北京维智控科技有限公司,丰台区
73,北京盈创力和电子科技有限公司,丰台区
74,北京元六鸿远电子科技股份有限公司,丰台区
75,北京值得买科技股份有限公司,丰台区
76,北京挚诚华腾建设工程有限公司,丰台区
77,北京中建建筑科学研究院有限公司,丰台区
78,北京中联勘工程技术有限责任公司,丰台区
79,北京中农绿源智慧农业有限公司,丰台区
80,北京中瑞祥合建筑工程有限公司,丰台区
81,北京中投润天环保科技有限公司,丰台区
82,北京中微普业科技有限公司,丰台区
83,北矿智云科技（北京）有限公司,丰台区
84,辰极智航（北京）科技有限公司,丰台区
85,蜂巢航宇科技（北京）有限公司,丰台区
86,明达海洋工程有限公司,丰台区
87,普瑞麦迪（北京）实验室技术有限公司,丰台区
88,全讯汇聚网络科技（北京）有限公司,丰台区
89,神州畅游未来环境科技（北京）有限公司,丰台区
90,中国建筑土木建设有限公司,丰台区
91,北京建筑材料检验研究院股份有限公司,石景山区
92,北京金水永利科技有限公司,石景山区
93,北京思明启创科技有限公司,石景山区
94,北京唐智科技发展有限公司,石景山区
95,睿尔曼智能科技（北京）有限公司,石景山区
96,中国司法大数据研究院有限公司,石景山区
97,中航信移动科技有限公司,石景山区
98,中节能工业节能有限公司,石景山区
99,安方高科电磁安全技术(北京）有限公司,海淀区
100,北京爱尔达电子设备有限公司,海淀区
101,北京爱芯科技有限公司,海淀区
102,北京安普诺信息技术有限公司,海淀区
103,北京百康芯生物科技有限公司,海淀区
104,北京百卓网络技术有限公司,海淀区
105,北京博能科技股份有限公司,海淀区
106,北京超星未来科技有限公司,海淀区
107,北京初速度科技有限公司,海淀区
108,北京大数元科技发展有限公司,海淀区
109,北京道达天际科技有限公司,海淀区
110,北京电科智芯科技有限公司,海淀区
111,北京电信易通信息技术股份有限公司,海淀区
112,北京方正印捷数码技术有限公司,海淀区
113,北京蜂巢世纪科技有限公司,海淀区
114,北京高普乐光电科技股份公司,海淀区
115,北京国舜科技股份有限公司,海淀区
116,北京国泰网信科技有限公司,海淀区
117,北京航天河科技发展有限公司,海淀区
118,北京和隆优化科技股份有限公司,海淀区
119,北京和升达信息安全技术有限公司,海淀区
120,北京红蓝黑能源科技有限公司,海淀区
121,北京华科博创科技有限公司,海淀区
122,北京华控智加科技有限公司,海淀区
123,北京华胜天成科技股份有限公司,海淀区
124,北京华夏电通科技股份有限公司,海淀区
125,北京华夏视科技术股份有限公司,海淀区
126,北京极豪科技有限公司,海淀区
127,北京寄云鼎城科技有限公司,海淀区
128,北京见合八方科技发展有限公司,海淀区
129,北京洁利安时代能源科技中心,海淀区
130,北京桀亚莱福生物技术有限责任公司,海淀区
131,北京金帮融和智能科技有限公司,海淀区
132,北京金睛云华科技有限公司,海淀区
133,北京鲸鲨软件科技有限公司,海淀区
134,北京九恒星科技股份有限公司,海淀区
135,北京快成科技有限公司,海淀区
136,北京蓝天航空科技股份有限公司,海淀区
137,北京理工亘舒科技有限公司,海淀区
138,北京力通通信有限公司,海淀区
139,北京联创信安科技股份有限公司,海淀区
140,北京灵犀微光科技有限公司,海淀区
141,北京罗森博特科技有限公司,海淀区
142,北京洛必德科技有限公司,海淀区
143,北京绿安创华环保科技有限公司,海淀区
144,北京敏视达雷达有限公司,海淀区
145,北京魔门塔科技有限公司,海淀区
146,北京纳米维景科技有限公司,海淀区
147,北京纳通医学研究院有限公司,海淀区
148,北京齐碳科技有限公司,海淀区
149,北京旗硕基业科技股份有限公司,海淀区
150,北京轻网科技股份有限公司,海淀区
151,北京仁创日升石油开采技术有限公司,海淀区
152,北京仁创砂业铸造材料有限公司,海淀区
153,北京融和友信科技股份有限公司,海淀区
154,北京瑞芯谷科技有限公司,海淀区
155,北京睿信丰科技有限公司,海淀区
156,北京润世能源技术有限公司,海淀区
157,北京深光科技有限公司,海淀区
158,北京声加科技有限公司,海淀区
159,北京石大万嘉新材料科技有限公司,海淀区
160,北京时代桃源环境科技股份有限公司,海淀区
161,北京世纪航凯电力科技股份有限公司,海淀区
162,北京市博汇科技股份有限公司,海淀区
163,北京顺造科技有限公司,海淀区
164,北京斯年智驾科技有限公司,海淀区
165,北京四象爱数科技有限公司,海淀区
166,北京拓盛电子科技有限公司,海淀区
167,北京太极华保科技股份有限公司,海淀区
168,北京钛方科技有限责任公司,海淀区
169,北京腾云天下科技有限公司,海淀区
170,北京天泽智云科技有限公司,海淀区
171,北京万里红科技有限公司,海淀区
172,北京微核芯科技有限公司,海淀区
173,北京先进数通信息技术股份公司,海淀区
174,北京芯格诺微电子有限公司,海淀区
175,北京信路威科技股份有限公司,海淀区
176,北京星辰天合科技股份有限公司,海淀区
177,北京兴天通电讯科技有限公司,海淀区
178,北京雅康博生物科技有限公司,海淀区
179,北京一径科技有限公司,海淀区
180,北京翼鸥教育科技有限公司,海淀区
181,北京鹰瞳科技发展股份有限公司,海淀区
182,北京优炫软件股份有限公司,海淀区
183,北京友友天宇系统技术有限公司,海淀区
184,北京与光科技有限公司,海淀区
185,北京驭光科技发展有限公司,海淀区
186,北京远鉴信息技术有限公司,海淀区
187,北京掌行通信息技术有限公司,海淀区
188,北京智机科技有限公司,海淀区
189,北京智星空间技术研究院有限公司,海淀区
190,北京智源人工智能研究院,海淀区
191,北京中安吉泰科技有限公司,海淀区
192,北京中地大工程勘察设计研究院有限责任公司,海淀区
193,北京中电红石科技股份有限公司,海淀区
194,北京中海闻达信息技术有限公司,海淀区
195,北京中科银河芯科技有限公司,海淀区
196,北京中科智加科技有限公司,海淀区
197,北京中斯水灵水处理技术有限公司,海淀区
198,北京卓视智通科技有限责任公司,海淀区
199,北京左江科技股份有限公司,海淀区
200,布比（北京）网络技术有限公司,海淀区
201,大恒新纪元科技股份有限公司,海淀区
202,度小满科技（北京）有限公司,海淀区
203,福昕鲲鹏（北京）信息科技有限公司,海淀区
204,高拓讯达（北京）科技有限公司,海淀区
205,国路高科（北京）工程技术研究院有限公司,海淀区
206,豪尔赛科技集团股份有限公司,海淀区
207,禾多科技（北京）有限公司,海淀区
208,华电智控（北京）技术有限公司,海淀区
209,嘉楠明芯（北京）科技有限公司,海淀区
210,江南信安（北京）科技有限公司,海淀区
211,普瑞基准科技（北京）有限公司,海淀区
212,千方捷通科技股份有限公司,海淀区
213,如你所视（北京）科技有限公司,海淀区
214,三环永磁（北京）科技有限公司,海淀区
215,神州网云（北京）信息技术有限公司,海淀区
216,水木未来（北京）科技有限公司,海淀区
217,椭圆时空（北京）科技有限公司,海淀区
218,小元感知（北京）科技有限公司,海淀区
219,依未科技（北京）有限公司,海淀区
220,亿景智联（北京）科技有限公司,海淀区
221,远江盛邦（北京）网络安全科技股份有限公司,海淀区
222,中测新图（北京）遥感技术有限责任公司,海淀区
223,中电环宇（北京）建设工程有限公司,海淀区
224,中关村人居环境工程与材料研究院,海淀区
225,中科声龙科技发展（北京）有限公司,海淀区
226,中科雨辰科技有限公司,海淀区
227,中勍科技股份有限公司,海淀区
228,北京国电成达电力工程有限公司,门头沟区
229,北京恒合信业技术股份有限公司,门头沟区
230,北京他山科技有限公司,门头沟区
231,北京芯盾时代科技有限公司,门头沟区
232,北京至格科技有限公司,门头沟区
233,北京八达电缆管有限公司,房山区
234,北京北方松阳机械技术有限公司,房山区
235,北京富瑞勒斯科技开发有限公司,房山区
236,北京海源通航科技有限公司,房山区
237,北京恒年伟业矿物纤维加工有限公司,房山区
238,北京华素制药股份有限公司,房山区
239,北京兰厚化妆品有限责任公司,房山区
240,北京盛聚玄德商贸有限公司,房山区
241,北京盛科伟业科技发展有限公司,房山区
242,北京唯触技术有限公司,房山区
243,北京新世纪达康生物科技开发有限责任公司,房山区
244,北京兴业建达电气有限公司,房山区
245,北京兴源联合医药科技有限公司,房山区
246,北京盈和瑞环境科技有限公司,房山区
247,北京远望空间文化科技有限公司,房山区
248,北京臻味坊食品有限公司,房山区
249,北京智博高科生物技术有限公司,房山区
250,富乐顿生物工程科技（北京）有限公司,房山区
251,氢山科技有限公司,房山区
252,北京皕核辛机电设备有限公司,通州区
253,北京晨晰环保工程有限公司,通州区
254,北京创思工贸有限公司,通州区
255,北京创伟高科电子技术有限公司,通州区
256,北京淳一航空科技有限公司,通州区
257,北京东方博汛科技发展有限公司,通州区
258,北京都视科技有限公司,通州区
259,北京高德利华科技有限公司,通州区
260,北京华林嘉业科技有限公司,通州区
261,北京佳兴创凡科技有限公司,通州区
262,北京京彩弘景生态建设有限公司,通州区
263,北京晶龙特碳科技有限公司,通州区
264,北京木真了时装有限公司,通州区
265,北京巧力科技有限责任公司,通州区
266,北京锐控自动化科技有限公司,通州区
267,北京圣泰洋电器有限公司,通州区
268,北京盛世润禾生态建设有限公司,通州区
269,北京实耐固连接技术有限公司,通州区
270,北京市一滴水环保科技有限公司,通州区
271,北京首嘉钢结构有限公司,通州区
272,北京双泰气动设备有限公司,通州区
273,北京网藤科技有限公司,通州区
274,北京新城禹潞环保科技有限责任公司,通州区
275,北京信研汇智信息技术有限公司,通州区
276,北京杏林药业有限责任公司,通州区
277,北京中科盛康科技有限公司,通州区
278,北京中农富源集团有限公司,通州区
279,德威土行孙工程机械（北京）有限公司,通州区
280,智安思创（北京）科技有限公司,通州区
281,艾柯医疗器械（北京）有限公司,顺义区
282,宝枫生物科技（北京）有限公司,顺义区
283,北京安通忆泰医疗科技有限公司,顺义区
284,北京北冥鲲鹏科技有限公司,顺义区
285,北京恒尚科技有限公司,顺义区
286,北京宏创天业建设工程有限公司,顺义区
287,北京华晖探测科技股份有限公司,顺义区
288,北京华之峰智能技术有限公司,顺义区
289,北京吉源生物科技有限公司,顺义区
290,北京嘉景生物科技有限责任公司,顺义区
291,北京莱伯泰科仪器股份有限公司,顺义区
292,北京理工华创电动车技术有限公司,顺义区
293,北京连山科技股份有限公司,顺义区
294,北京零创众成科技有限公司,顺义区
295,北京零立科技有限公司,顺义区
296,北京能创科技有限公司,顺义区
297,北京普康瑞仁医学检验所有限公司,顺义区
298,北京首钢气体有限公司,顺义区
299,北京顺美服装股份有限公司,顺义区
300,北京泰科斯曼科技发展有限公司,顺义区
301,北京蔚蓝集智科技有限公司,顺义区
302,北京新华世欣技术开发有限公司,顺义区
303,北京鑫瑞新材料有限公司,顺义区
304,北京艺高世纪科技股份有限公司,顺义区
305,北京易兴元石化科技有限公司,顺义区
306,北京园创园林景观工程有限公司,顺义区
307,北京长润化工有限公司,顺义区
308,北京中电中天电子工程有限公司,顺义区
309,北京中盛博方智能技术有限公司,顺义区
310,北京中卓时代消防装备科技有限公司,顺义区
311,晟至技术有限公司,顺义区
312,国交空间信息技术（北京）有限公司,顺义区
313,国药集团工业有限公司,顺义区
314,恒壹（北京）医疗科技有限公司,顺义区
315,斯卡特（北京）新材料技术有限公司,顺义区
316,中航材导航技术（北京）有限公司,顺义区
317,中科柏诚科技（北京）股份有限公司,顺义区
318,中科富创（北京）智能系统技术有限公司,顺义区
319,中科益安医疗科技（北京）股份有限公司,顺义区
320,中煤科工开采研究院有限公司,顺义区
321,中煤科工智能储装技术有限公司,顺义区
322,中消云（北京）物联网科技研究院有限公司,顺义区
323,北京碧水源净水工程技术股份有限公司,昌平区
324,北京宸控科技有限公司,昌平区
325,北京冠程科技有限公司,昌平区
326,北京广厦环能科技股份有限公司,昌平区
327,北京果壳生物科技有限公司,昌平区
328,北京豪思生物科技股份有限公司,昌平区
329,北京和盛天成科技有限公司,昌平区
330,北京华信佳音医疗科技发展有限责任公司,昌平区
331,北京九州鹏跃科技有限公司,昌平区
332,北京可瑞生物科技有限公司,昌平区
333,北京三一智造科技有限公司,昌平区
334,北京天工俊联传感器有限公司,昌平区
335,北京寻因生物科技有限公司,昌平区
336,北京雅丹石油技术开发有限公司,昌平区
337,北京优脑银河科技有限公司,昌平区
338,北京至真互联网技术有限公司,昌平区
339,北京中泰华电科技有限公司,昌平区
340,北京中因科技有限公司,昌平区
341,东方博沃（北京）科技有限公司,昌平区
342,国家电投集团氢能科技发展有限公司,昌平区
343,三一机器人科技有限公司,昌平区
344,数坤（北京）网络科技股份有限公司,昌平区
345,鑫精合激光科技发展（北京）有限公司,昌平区
346,中洁蓝环保科技有限公司,昌平区
347,中铝材料应用研究院有限公司,昌平区
348,中泰建工（北京）建筑工程有限公司,昌平区
349,艾克发（北京）生物技术有限公司,大兴区
350,爱亲母婴商业连锁有限公司,大兴区
351,宝都国际工程技术有限公司,大兴区
352,北京爱亲科技股份有限公司,大兴区
353,北京瑷格干细胞科技有限公司,大兴区
354,北京奥宇模板有限公司,大兴区
355,北京场道市政工程集团有限公司,大兴区
356,北京大鑫汇德运输有限公司,大兴区
357,北京恩力动力科技有限公司,大兴区
358,北京飞渡科技有限公司,大兴区
359,北京富思特房屋技术有限公司,大兴区
360,北京冠合医疗科技有限公司,大兴区
361,北京国电天昱建设工程有限公司,大兴区
362,北京翰东环境工程有限公司,大兴区
363,北京航天常兴科技发展股份有限公司,大兴区
364,北京浩朗智能科技有限公司,大兴区
365,北京洪天力药业有限公司,大兴区
366,北京华晟源医疗科技有限公司,大兴区
367,北京华海中谊节能科技股份有限公司,大兴区
368,北京惠尔诺科技集团有限公司,大兴区
369,北京霍里思特科技有限公司,大兴区
370,北京建工新型建材科技股份有限公司,大兴区
371,北京今日天鸿医疗器械制造有限公司,大兴区
372,北京金茂人居环境科技有限公司,大兴区
373,北京景达生物科技有限公司,大兴区
374,北京绿项科技有限公司,大兴区
375,北京浦江兄弟科技有限公司,大兴区
376,北京赛普九洲科技发展有限公司,大兴区
377,北京三极户外用品有限公司,大兴区
378,北京生态家园科技集团有限公司,大兴区
379,北京思迈特科技有限公司,大兴区
380,北京泰和佳科技股份有限公司,大兴区
381,北京天玑科技有限公司,大兴区
382,北京维瑞和医疗科技有限公司,大兴区
383,北京五木家具有限公司,大兴区
384,北京小趣智品科技有限公司,大兴区
385,北京新科环保科技有限公司,大兴区
386,北京新同达机电装备科技有限公司,大兴区
387,北京亿实筑业技术开发有限公司,大兴区
388,北京优备加科技有限公司,大兴区
389,北京钰林化工有限公司,大兴区
390,北京云中融信网络科技有限公司,大兴区
391,北京长石京源电子技术有限公司,大兴区
392,北京知优科技有限公司,大兴区
393,北京智束科技有限公司,大兴区
394,北京铸正机器人有限公司,大兴区
395,波粒（北京）光电科技有限公司,大兴区
396,简露（北京）生物科技有限公司,大兴区
397,荣昌耀华网络技术（北京）有限公司,大兴区
398,瑞鸿电控设备（北京）有限公司,大兴区
399,三和智控（北京）系统集成有限公司,大兴区
400,天普新能源科技有限公司,大兴区
401,翼德（北京）科技有限公司,大兴区
402,中科搏康（北京）医疗器械有限公司,大兴区
403,中科搏锐（北京）科技有限公司,大兴区
404,北京大为家具集团有限公司,怀柔区
405,北京第一生物化学药业有限公司,怀柔区
406,北京清谱科技有限公司,怀柔区
407,北京中科心研科技有限公司,怀柔区
408,达斯玛环境科技（北京）有限公司,怀柔区
409,中农创达（北京）环保科技有限公司,怀柔区
410,北京达成生物科技有限公司,平谷区
411,北京东升制药有限公司,平谷区
412,北京互联农业发展有限责任公司,平谷区
413,北京金华恒源集成房屋有限公司,平谷区
414,北京七一八友晟电子有限公司,平谷区
415,北京现代洋工机械科技发展有限公司,平谷区
416,北京云峰利民畜牧设备有限公司,平谷区
417,航科院中宇（北京）新技术发展有限公司,平谷区
418,北京方鸿智能科技有限公司,密云区
419,北京恒久实验设备有限公司,密云区
420,北京华安中泰检测技术有限公司,密云区
421,北京华昊水利水电工程有限责任公司,密云区
422,北京华厚能源科技有限公司,密云区
423,北京华尊建设集团有限公司,密云区
424,北京精益捷检测科技有限公司,密云区
425,北京仁创科技发展有限公司,密云区
426,北京神州泰业科技发展有限公司,密云区
427,北京世纪京纯蜂产品有限责任公司,密云区
428,搏世因（北京）高压电气有限公司,密云区
429,中创泰科(北京)科技有限公司,密云区
430,北京环都拓普空调有限公司,延庆区
431,北京全盛智能科技有限公司,延庆区
432,北京玮航科技有限公司,延庆区
433,华体体育发展股份有限公司,延庆区
434,斯贝福（北京）生物技术有限公司,延庆区
435,北方集成电路技术创新中心（北京）有限公司,经开区
436,北京德邦大为科技股份有限公司,经开区
437,北京东港瑞宏科技有限公司,经开区
438,北京富地时空信息技术有限公司,经开区
439,北京海步医药科技有限公司,经开区
440,北京航天和兴科技股份有限公司,经开区
441,北京合康新能变频技术有限公司,经开区
442,北京和合医学诊断技术股份有限公司,经开区
443,北京捷杰西石油设备有限公司,经开区
444,北京金诺美科技股份有限公司,经开区
445,北京锦篮基因科技有限公司,经开区
446,北京京深深向科技有限公司,经开区
447,北京精英路通科技有限公司,经开区
448,北京启辰生生物科技有限公司,经开区
449,北京求臻医学检验实验室有限公司,经开区
450,北京睿芯高通量科技有限公司,经开区
451,北京三力新能科技有限公司,经开区
452,北京升鑫网络科技有限公司,经开区
453,北京市科通电子继电器总厂有限公司,经开区
454,北京市新里程医药科技有限公司,经开区
455,北京四达基业市政建设工程有限公司,经开区
456,北京踏歌智行科技有限公司,经开区
457,北京天星博迈迪医疗器械有限公司,经开区
458,北京先通国际医药科技股份有限公司,经开区
459,北京显芯科技有限公司,经开区
460,北京橡鑫生物科技有限公司,经开区
461,北京新华印刷有限公司,经开区
462,北京新基永康生物科技有限公司,经开区
463,北京星河动力装备科技有限公司,经开区
464,北京星途探索科技有限公司,经开区
465,北京燕阳新材料技术发展有限公司,经开区
466,北京奕斯伟计算技术有限公司,经开区
467,北京宇航推进科技有限公司,经开区
468,北京悦康科创医药科技股份有限公司,经开区
469,北京兆阳能源技术有限公司,经开区
470,北京中飞艾维航空科技有限公司,经开区
471,国汽智控（北京）科技有限公司,经开区
472,蓝谷智慧（北京）能源科技有限公司,经开区
473,李宁（ 中国）体育用品有限公司,经开区
474,俐玛光电科技（北京）有限公司,经开区
475,路德通电子设备(北京)有限公司,经开区
476,美丽华夏生态环境科技有限公司,经开区
477,强联智创（北京）科技有限公司,经开区
478,陶普斯化学科技（北京）有限公司,经开区
479,微岩医学科技（北京）有限公司,经开区
480,小米汽车科技有限公司,经开区
481,新能动力（北京）电气科技有限公司,经开区
482,予果生物科技（北京）有限公司,经开区
483,庄亚（北京）生物科技有限公司,经开区
