项目名称,项目地址,建设单位,预售证号,发证时间,开发企业名称
翰宏花园,小汤山镇常兴庄村,北京翰宏基业房地产开发有限公司,京房售证字( 2006 ) 134 号,20060421,北京翰宏基业房地产开发有限公司
腾龙家园,窦店镇下坡店村,北京华风腾龙房地产开发有限公司,京房售证字( 2008 ) 209 号,20080605,北京华风腾龙房地产开发有限公司
海特花园57号楼,石景山区石景山区八大处高科技园区C13街坊西南部海特花园商住楼,北京伟恩房地产开发有限公司,京房售证字(2003)265号,20030829,北京伟恩房地产开发有限公司
中关村文化商厦,海淀区海淀镇中关村文化商厦,中关村文化发展股份有限公司,京房售证字(2004)487号,20050119,中关村文化发展股份有限公司
颐景花园,后沙峪镇裕华路东侧,北京景旭房地产开发有限公司,京房售证字( 2009 ) 350 号,20091022,北京景旭房地产开发有限公司
腾龙家园,窦店镇下坡店村,北京华风腾龙房地产开发有限公司,京房售证字( 2006 ) 319 号,20060821,北京华风腾龙房地产开发有限公司
永兴园,城关街道农林路东侧,北京永兴达房地产开发有限公司,京房售证字( 2009 ) 351 号,20091023,北京永兴达房地产开发有限公司
擎峰阁,西大望路与建国路交汇东南角,北京耀辉置业有限公司,京房售证字( 2008 ) 408 号,20081116,北京耀辉置业有限公司
长安丽景家园,永定镇居住项目,北京住总骏洋置业有限公司,京房售证字( 2014 ) 108 号,20140523,北京住总骏洋置业有限公司
中海九浩苑,花乡六圈（B地块、C地块）,北京中海豪景房地产开发有限公司,京房售证字( 2012 ) 11 号,20120224,北京中海豪景房地产开发有限公司
观湖嘉园,东四环北路外,北京国兴嘉业房地产开发有限责任公司,京房售证字( 2006 ) 433 号,20061115,北京国兴嘉业房地产开发有限责任公司
明日花园,宾阳村南侧,北京明日房地产开发有限公司,京房售证字( 2009 ) 310 号,20090919,北京明日房地产开发有限公司
颐景花园,后沙峪镇裕华路东侧,北京景旭房地产开发有限公司,京房售证字( 2009 ) 311 号,20090920,北京景旭房地产开发有限公司
天地美墅家园,通州区梨园镇公庄村,北京恒帝隆房地产开发有限公司,京房售证字(2004)336号,20040804,北京恒帝隆房地产开发有限公司
腾龙家园,窦店镇下坡店村,北京华风腾龙房地产开发有限公司,京房售证字( 2006 ) 419 号,20061001,北京华风腾龙房地产开发有限公司
京通苑12号、13号楼,朝阳区朝阳路京通苑12号楼（4-24层）,北京巨安金润房地产开发有限公司,京房售证字(外)294号,20020315,北京巨安金润房地产开发有限公司
盛业家园办公楼,永顺镇龙旺庄村,北京盛业房地产开发有限公司,京房售证字(2003)384号,20031210,北京盛业房地产开发有限公司
翰宏花园,小汤山镇常兴庄村,北京翰宏基业房地产开发有限公司,京房售证字( 2006 ) 73 号,20060315,北京翰宏基业房地产开发有限公司
定泗路88号,北七家镇世纪星城住宅小区,北京市八仙房地产开发有限责任公司,京房售证字( 2008 ) 104 号,20080410,北京市八仙房地产开发有限责任公司
骏景园,永外果园43号,北京珠江房地产开发有限公司,京房售证字( 2005 ) 372 号,20050804,北京珠江房地产开发有限公司
科协家园住宅小区,回龙观镇回龙观村东,北京新龙房地产开发有限公司,京房售证字( 2007 ) 190 号,20070609,北京新龙房地产开发有限公司
绿岛家园,剧场东街8号,北京市西达房地产开发有限责任公司,京房售证字( 2005 ) 475 号,20050916,北京市西达房地产开发有限责任公司
泽瑞苑,北辛安棚户区改造B区土地开发项目1608-667地块R2二类居住用地,北京鑫安兴业房地产开发有限公司,京房售证字( 2024 ) 30 号,20240329,北京鑫安兴业房地产开发有限公司
原香嘉苑,城关街道燕房片区FS00-YF05-0010、FS00-YF05-0013地块,中铁嘉业（北京）投资有限公司,京房售证字( 2014 ) 219 号,20141001,中铁嘉业（北京）投资有限公司
原香嘉苑,城关街道燕房片区FS00-YF05-0005、FS00-YF05-0006、FS00-YF05-0009地块,中铁嘉业（北京）投资有限公司,京房售证字( 2014 ) 218 号,20141001,中铁嘉业（北京）投资有限公司
裕融大厦,东风乡绿隔地区第一宗地J-1地块,北京泛海东风置业有限公司,京房售证字( 2024 ) 112 号,20241113,北京泛海东风置业有限公司
誉璟嘉苑,中关村生命科学园三期及“北四村”棚户区改造土地开发A地块CP02-0101-6004、6005地块R2二类居住用地,北京兆城房地产开发有限公司,京房售证字( 2022 ) 204 号,20221224,北京兆城房地产开发有限公司
星光都荟合苑,黄村镇DX00-0202-6007地块R2二类居住用地,北京品创建合房地产开发有限公司,京房售证字( 2023 ) 4 号,20230113,北京品创建合房地产开发有限公司
泽瑞苑,北辛安棚户区改造B区土地开发项目1608-667地块R2二类居住用地,北京鑫安兴业房地产开发有限公司,京房售证字( 2024 ) 58 号,20240629,北京鑫安兴业房地产开发有限公司
隅颂佳苑,中关村科技园东区三期项目1516-60地块R2二类居住用地,北京南苑嘉盛置业有限公司,京房售证字( 2025 ) 100 号,20250919,北京南苑嘉盛置业有限公司
东领鉴筑家园,定福庄北街（北京文教用品厂住宅楼及商业配套项目）,北京宝汇房地产开发有限责任公司,京房售证字( 2005 ) 151 号,20050430,北京宝汇房地产开发有限责任公司
上地辉煌国际中心,上地信息产业基地北区5号地（科技信息综合楼）,北京辉煌世纪房地产开发有限公司,京房售证字( 2006 ) 57 号,20060226,北京辉煌世纪房地产开发有限公司
北街家园,"沙河镇高教园区三期B区(规划D-6地块)住宅及配套,沙河镇高教园区三期C区(规划D-4地块)住宅及配套",北京罗顿沙河建设发展有限公司,京房售证字( 2008 ) 346 号,20080924,北京罗顿沙河建设发展有限公司
常青园,四季青镇常青通达新村D6C10C12D8A9住宅楼（3号地）,永泰房地产（集团）有限公司,京房售证字( 2005 ) 261 号,20050624,永泰房地产（集团）有限公司
迎宾花园,平谷镇迎宾环岛西南侧,北京乾元房地产开发有限公司,京房售证字( 2007 ) 102 号,20070413,北京乾元房地产开发有限公司
A1生产研发厂房等10项,马驹桥镇国家环保产业园区,北京联东金桥置业有限责任公司,京房售证字( 2008 ) 11 号,20080112,北京联东金桥置业有限责任公司
西钓鱼台嘉园,西钓鱼台村2号地,北京市御水苑房地产开发有限责任公司,京房售证字( 2006 ) 394 号,20060923,北京市御水苑房地产开发有限责任公司
万科蓝山苑,西大望路27号住宅及代建公建项目（B地块）,北京万科企业有限公司,京房售证字( 2010 ) 34 号,20100130,北京万科企业有限公司
世华水岸家园,南苑乡石榴庄住宅小区一期B区（B地块）,北京城建投资发展股份有限公司,京房售证字( 2007 ) 474 号,20071216,北京城建投资发展股份有限公司
鸿业兴园,花乡造甲村,北京鸿基世业房地产开发有限公司,京房售证字( 2005 ) 90 号,20050325,北京鸿基世业房地产开发有限公司
朱雀门家苑,太平街8号,北京中集宏达房地产开发有限公司,京房售证字( 2005 ) 363 号,20050801,北京中集宏达房地产开发有限公司
信和嘉园,马连道路15号广安门住宅小区A区A1、A4楼,北京中物信和房地产开发有限公司,京房售证字( 2005 ) 218 号,20050530,北京中物信和房地产开发有限公司
久居雅园,梨园镇魏家坟村（久居雅园B区） ,北京伯雅房地产开发有限公司,京房售证字( 2006 ) 304 号,20060812,北京伯雅房地产开发有限公司
安顺北里,通州区永顺镇北马庄村,北京同马房地产开发有限公司,京房售证字( 2008 ) 266 号,20080711,北京同马房地产开发有限公司
沙顺路68号翰宏花园,小汤山镇常兴庄村,北京翰宏基业房地产开发有限公司,京房售证字( 2005 ) 603 号,20051110,北京翰宏基业房地产开发有限公司
鸿业兴园,花乡造甲村,北京鸿基世业房地产开发有限公司,京房售证字( 2005 ) 86 号,20050324,北京鸿基世业房地产开发有限公司
润千秋佳苑,兴隆庄乙1号,华岳原林投资（北京）有限公司,京房售证字( 2005 ) 293 号,20050702,华岳原林投资（北京）有限公司
晓月苑,卢沟桥南里12号晓月苑二期四组团,北京市宛平房地产开发有限责任公司,京房售证字( 2007 ) 243 号,20070712,北京市宛平房地产开发有限责任公司
北街家园,沙河镇沙河高教园区住宅及配套一期C区,北京罗顿沙河建设发展有限公司,京房售证字( 2005 ) 701 号,20060101,北京罗顿沙河建设发展有限公司
朱雀门家苑,太平街8号,北京中集宏达房地产开发有限公司,京房售证字( 2005 ) 283 号,20050629,北京中集宏达房地产开发有限公司
鸿业兴园,花乡造甲村,北京鸿基世业房地产开发有限公司,京房售证字( 2005 ) 523 号,20051002,北京鸿基世业房地产开发有限公司
珠江逸景家园,马驹桥国家环保产业园区A1-2-3,北京珠江房地产开发有限公司,京房售证字( 2008 ) 157 号,20080502,北京珠江房地产开发有限公司
朱雀门家苑,太平街8号,北京中集宏达房地产开发有限公司,京房售证字( 2005 ) 549 号,20051019,北京中集宏达房地产开发有限公司
北京财富中心,东三环北路23号北京财富中心二期,北京香江兴利房地产开发有限公司,京房售证字( 2007 ) 276 号,20070810,北京香江兴利房地产开发有限公司
美立方家园,北苑路大羊坊6号院（出让部分）,中国水电建设集团房地产有限公司,京房售证字( 2009 ) 427 号,20091220,中国水电建设集团房地产有限公司
水岸花墅,密云镇密溪路西侧,北京大地海阔房地产开发有限公司,京房售证字( 2009 ) 445 号,20100102,北京大地海阔房地产开发有限公司
海上海花园,大红门西路16号B地块,北京匠心置业有限公司,京房售证字( 2009 ) 385 号,20091112,北京匠心置业有限公司
沙顺路96号院(南区),久长花园南区,北京久长房地产开发有限公司,京房售证字( 2007 ) 269 号,20070805,北京久长房地产开发有限公司
朱雀门家苑,太平街8号,北京中集宏达房地产开发有限公司,京房售证字( 2007 ) 183 号,20070606,北京中集宏达房地产开发有限公司
朱雀门家苑,太平街8号,北京中集宏达房地产开发有限公司,京房售证字( 2006 ) 165 号,20060502,北京中集宏达房地产开发有限公司
悦都新苑,长阳镇长阳西站4号地,北京兴泰吉成置业有限公司,京房售证字( 2014 ) 40 号,20140323,北京兴泰吉成置业有限公司
云墅中心,运河核心区IV-08多功能用地,北京华恒兴业房地产开发有限公司,京房售证字( 2015 ) 227 号,20151220,北京华恒兴业房地产开发有限公司
领秀翠澜家园,王佐镇佃起村,北京科技园置地有限公司,京房售证字( 2017 ) 149 号,20171115,北京科技园置地有限公司
玖峪家园,顺义新城第19街区19-85地块二类居住用地,北京中海盈璟房地产开发有限公司,京房售证字( 2022 ) 123 号,20220827,北京中海盈璟房地产开发有限公司
水畔芳邻嘉园,小沙河村,北京越昌房地产开发有限公司,京房售证字( 2025 ) 30 号,20250402,北京越昌房地产开发有限公司
玉章苑,西黄村棚户区改造土地开发项目1606-640地块,北京鑫安兴业房地产开发有限公司,京房售证字( 2025 ) 132 号,20251125,北京鑫安兴业房地产开发有限公司
天峰中心,永定镇曹各庄桥户营村MC16-041地块,北京骏辉房地产开发有限公司,京房售证字( 2022 ) 100 号,20220720,北京骏辉房地产开发有限公司
乐活雅苑,阎村镇04-0084地块内西侧,北京天恒乐活城置业有限公司,京房售证字( 2023 ) 15 号,20230301,北京天恒乐活城置业有限公司
和煦雅苑,平房乡棚户区改造和环境整治项目(一期)PF-44地块R2二类居住用地,北京建保常筑置业有限公司,京房售证字( 2023 ) 40 号,20230408,北京建保常筑置业有限公司
富华里汇园,西北旺镇HD00-0403街区永丰产业基地（新）F2地块HD00-0403-0015地块R2二类居住用地,北京中海盈丰房地产开发有限公司,京房售证字( 2022 ) 201 号,20221224,北京中海盈丰房地产开发有限公司
誉颂佳园,宋庄镇双埠头村、大庞村、大兴庄村土地一级开发项目TZ03-0403-6008地块,北京城建兴通置业有限公司,京房售证字( 2025 ) 146 号,20251218,北京城建兴通置业有限公司
誉颂佳园,宋庄镇双埠头村、大庞村、大兴庄村土地一级开发项目TZ03-0403-6015地块,北京城建兴通置业有限公司,京房售证字( 2025 ) 147 号,20251218,北京城建兴通置业有限公司
鼓楼东区,鼓楼街道鼓楼北大街东、康复路南,北京圣运通达房地产开发有限公司,京房售证字( 2010 ) 27 号,20100124,北京圣运通达房地产开发有限公司
天恒别墅山小区,怀柔镇红螺镇村南,北京山天置业有限公司,京房售证字( 2007 ) 210 号,20070627,北京山天置业有限公司
世嘉光织苑,雁栖镇陈各庄村西,北京军建育龙房地产开发有限责任公司,京房售证字( 2010 ) 176 号,20100813,北京军建育龙房地产开发有限责任公司
丰台北路46号楼,七里庄望园东里住宅楼,北京市丰台区城市建设综合开发公司,京房售证字( 2006 ) 7 号,20060111,北京市丰台区城市建设综合开发公司
上奥世纪中心2#A、2#B商业办公楼,西三旗环岛东北角,北京实创房地产开发公司,京房售证字( 2007 ) 268 号,20070805,北京实创房地产开发公司
尚华家园,回龙观村旧村改造1818-019号住宅及商业金融用地,北京住总万科房地产开发有限公司,京房售证字( 2014 ) 232 号,20141102,北京住总万科房地产开发有限公司
京奥家园,东坝乡北京奥林匹克花园三期C地块,北京奥林匹克置业投资有限公司,京房售证字( 2008 ) 87 号,20080327,北京奥林匹克置业投资有限公司
天恒别墅山小区,红螺镇村南,北京山天置业有限公司,京房售证字( 2009 ) 332 号,20091001,北京山天置业有限公司
金泉家园,大屯里居住区东南部地区,北京政泉置业有限公司,京房售证字( 2006 ) 234 号,20060701,北京政泉置业有限公司
天恒别墅山小区,红螺镇村南,北京山天置业有限公司,京房售证字( 2008 ) 360 号,20080930,北京山天置业有限公司
北苑5#院606号楼,北苑5#院佳兴园住宅小区6号楼,北京东方置地投资发展有限公司,京房售证字( 2008 ) 231 号,20080622,北京东方置地投资发展有限公司
东潞苑,永顺镇焦王庄村东潞苑北区（西）,北京东安恒新房地产开发有限公司,京房售证字( 2009 ) 7 号,20090114,北京东安恒新房地产开发有限公司
广华园,西坝河东里2号,茂华控股集团有限公司,京房售证字( 2007 ) 74 号,20070318,茂华控股集团有限公司
长昆名居,海淀区半壁街南路2号,北京鸿宇翔房地产开发有限责任公司,京房售证字(2004)585号,20041209,北京鸿宇翔房地产开发有限责任公司
望泉家园,望泉寺村,北京万科四季花城房地产开发有限公司,京房售证字( 2009 ) 128 号,20090510,北京万科四季花城房地产开发有限公司
东潞苑,永顺镇焦王庄村东潞苑北区（西）,北京东安恒新房地产开发有限公司,京房售证字( 2007 ) 416 号,20071109,北京东安恒新房地产开发有限公司
立方庭,海淀镇（中关村西区16#地块公寓式酒店项目）,北京轩盛创业房地产开发有限公司,京房售证字( 2006 ) 389 号,20060927,北京轩盛创业房地产开发有限公司
曼城家园,梨园镇小稿村 ,曼城置业（北京）有限公司,京房售证字( 2007 ) 84 号,20070325,曼城置业（北京）有限公司
晴翠园,金盏乡温榆河西岸,北京丰联房地产开发经营有限公司,京房售证字( 2006 ) 266 号,20060716,北京丰联房地产开发经营有限公司
世嘉光织苑,雁栖镇陈各庄村西,北京军建育龙房地产开发有限责任公司,京房售证字( 2011 ) 263 号,20111130,北京军建育龙房地产开发有限责任公司
乐活雅苑,阎村镇04-0084地块内西侧,北京天恒乐活城置业有限公司,京房售证字( 2015 ) 125 号,20150828,北京天恒乐活城置业有限公司
文合苑,来广营乡清河营村,北京第六大洲房地产开发有限公司,京房售证字( 2011 ) 192 号,20111001,北京第六大洲房地产开发有限公司
百富家园,石门村路1号东院（百富家园东区）,北京浙金都房地产开发有限公司,京房售证字( 2008 ) 128 号,20080424,北京浙金都房地产开发有限公司
融祥大厦,育教胡同3号、赵登禹路193号,北京圣乔房地产开发有限公司,京房售证字( 2007 ) 39 号,20070130,北京圣乔房地产开发有限公司
慈云嘉园,慈云寺危改小区二期用地,三能达置业有限公司,京房售证字( 2007 ) 496 号,20071231,三能达置业有限公司
远洋一方润园,管庄乡(地块4),北京中联置地房地产开发有限公司,京房售证字( 2009 ) 386 号,20091113,北京中联置地房地产开发有限公司
金泉家园,大屯里居住区东南部地区政泉花园（三期）,北京政泉置业有限公司,京房售证字( 2006 ) 355 号,20060908,北京政泉置业有限公司
曼城家园,梨园镇小稿村,曼城置业（北京）有限公司,京房售证字( 2009 ) 375 号,20091106,曼城置业（北京）有限公司
东潞苑,永顺镇焦王庄村东潞苑北区（东）,北京东安恒新房地产开发有限公司,京房售证字( 2005 ) 204 号,20050527,北京东安恒新房地产开发有限公司
瑞雪春堂,良乡卫星城东南侧,北京瑞雪春堂房地产有限公司,京房售证字( 2008 ) 150 号,20080501,北京瑞雪春堂房地产有限公司
铂宫国际中心,朝阳区东草园,北京京隆房地产开发有限公司,京房售证字(2003)330号,20031112,北京京隆房地产开发有限公司
金水利苑,马家堡利苑住宅小区及地下车库,北京市鑫华利苑房地产开发有限公司,京房售证字( 2005 ) 614 号,20051118,北京市鑫华利苑房地产开发有限公司
海阔名园,九棵树145号,北京市民望房地产开发有限责任公司,京房售证字( 2006 ) 175 号,20060519,北京市民望房地产开发有限责任公司
风景翠园,大兴区黄村镇高米店西侧,北京华润曙光房地产开发有限公司,京房售证字(2004)418号,20040908,北京华润曙光房地产开发有限公司
华盛香堤苑,半壁店大街25号,北京龙湖中佰置业有限公司,京房售证字( 2009 ) 188 号,20090618,北京龙湖中佰置业有限公司
望京新城K6区12号地商业1号楼等3项,望京新城K6区12、13号地,北京世安住房股份有限公司,京房售证字( 2008 ) 44 号,20080205,北京世安住房股份有限公司
腾龙家园,窦店镇下坡店村,北京华风腾龙房地产开发有限公司,京房售证字( 2005 ) 690 号,20051230,北京华风腾龙房地产开发有限公司
中体奥园,长辛店镇新区崔村居住区C区,北京创世愿景房地产开发有限公司,京房售证字( 2007 ) 280 号,20070810,北京创世愿景房地产开发有限公司
龙庆·望都佳园,康庄镇三街村,北京龙庆房地产开发有限公司,京房售证字( 2012 ) 26 号,20120314,北京龙庆房地产开发有限公司
大都汇中心,运河核心区IV-10地块F3其它类多功能用地项目,保利（北京）房地产开发有限公司,京房售证字( 2015 ) 185 号,20151107,保利（北京）房地产开发有限公司
新城国际公寓,朝阳区朝外大街6号,北京万置房地产开发有限公司,京房售证字(2003)228号,20031024,北京万置房地产开发有限公司
颐景花园,后沙峪镇裕华路东侧,北京景旭房地产开发有限公司,京房售证字( 2012 ) 17 号,20120302,北京景旭房地产开发有限公司
万悦家园,薛大人庄村南,北京天竺万科房地产开发有限公司,京房售证字( 2014 ) 160 号,20140727,北京天竺万科房地产开发有限公司
